,2020-07-06_2020-08-01,2020-07-13_2020-08-08,2020-07-20_2020-08-15,2020-07-27_2020-08-22,2020-08-03_2020-08-29,2020-08-10_2020-09-05,2020-08-17_2020-09-12,2020-08-24_2020-09-19,2020-08-31_2020-09-26,2020-09-07_2020-10-03,2020-09-14_2020-10-10,2020-09-21_2020-10-17,2020-09-28_2020-10-24,2020-10-05_2020-10-31,2020-10-12_2020-11-07,2020-10-19_2020-11-14,2020-10-26_2020-11-21,2020-11-02_2020-11-28,2020-11-09_2020-12-05,2020-11-16_2020-12-12,2020-11-23_2020-12-19,2020-11-30_2020-12-26,2020-12-07_2021-01-02,2020-12-14_2021-01-09,2020-12-21_2021-01-16,2020-12-28_2021-01-23,2021-01-04_2021-01-30,2021-01-11_2021-02-06,2021-01-18_2021-02-13,2021-01-25_2021-02-20,2021-02-01_2021-02-27,2021-02-08_2021-03-06
num_states_beat_baseline-TTU-squider,,,,,,,18,,,,11,,14,13,5,3,7,14,13,11,15,11,18,17,15,14,10,36,38,32,34,24
num_states_beat_baseline-UCF-AEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-UCLA-SuEIR,25,19,16,18,24,24,21,18,14,13,9,8,6,3,3,0,0,3,7,6,26,22,21,23,20,12,13,33,44,41,36,32
num_states_beat_baseline-UCSB-ACTS,,,,,,,,,,,,,,,,,33,38,30,26,21,14,11,10,13,9,10,24,8,3,,
num_states_beat_baseline-UMich-RidgeTfReg,,,5,3,2,9,7,15,17,19,24,21,21,28,26,30,32,24,15,9,16,3,4,4,15,13,15,18,19,13,12,18
num_states_beat_baseline-USACE-ERDC_SEIR,11,6,15,20,24,23,26,15,15,26,18,19,23,,29,,29,,,25,20,9,,,,,,,,,,
num_states_beat_baseline-USC-SI_kJalpha,31,16,17,28,25,23,22,12,12,18,13,15,16,22,24,25,24,26,18,17,25,25,32,26,29,24,25,42,31,49,48,43
num_states_beat_baseline-USC-SI_kJalpha_RF,,,,,,,,,,,,,,,,,,48,44,,,,,,,,,,,,,
num_states_beat_baseline-UVA-Ensemble,,,,,,,,,,,,,,,,,,,,27,24,24,17,11,13,9,13,12,7,5,41,
num_states_beat_baseline-UpstateSU-GRU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-Wadhwani_AI-BayesOpt,,,,,,,,,,,,,,,,,,,,,,,5,19,13,,8,,,,,
perc_beat_baseline-BPagano-RtDriven,,,,,,,,,,,,,,,,0.5490196078,0.5098039216,0.3921568627,0.5294117647,0.4509803922,0.3529411765,0.431372549,0.3725490196,0.3529411765,0.3529411765,0.3137254902,0.2156862745,0.5294117647,0.5490196078,0.7254901961,0.8235294118,0.7843137255
perc_beat_baseline-CEID-Walk,,,,,,0.4705882353,0.4509803922,0.3921568627,0.4705882353,0.5098039216,0.431372549,0.5098039216,0.431372549,0.4117647059,0.4509803922,0.6470588235,0.4705882353,0.4509803922,0.4901960784,0.4117647059,0.3921568627,0.4901960784,0.4901960784,,,0.3725490196,0.5098039216,0.5294117647,0.5294117647,0.568627451,0.4705882353,0.568627451
perc_beat_baseline-COVIDhub-ensemble,,,0.5294117647,0.6274509804,0.6666666667,0.5098039216,0.568627451,0.2549019608,0.2745098039,0.3921568627,0.1764705882,0.2549019608,0.1960784314,0.1176470588,0.1176470588,0.2941176471,0.4705882353,0.7450980392,0.9019607843,0.6862745098,0.6470588235,0.7254901961,0.6666666667,0.6862745098,0.8039215686,0.4509803922,0.6274509804,0.6862745098,0.7450980392,0.9215686275,0.9607843137,0.9215686275
perc_beat_baseline-COVIDhub-trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5882352941,0.5098039216
perc_beat_baseline-CU-select,,,,,,0.4509803922,0.3725490196,0.4705882353,0.3333333333,0.2549019608,0.2745098039,0.3921568627,0.4705882353,0.6862745098,0.7647058824,0.8039215686,0.7058823529,0.8039215686,0.8039215686,0.6274509804,0.6078431373,0.5294117647,0.5294117647,0.6470588235,0.5098039216,0.1176470588,0.1568627451,0.137254902,0.6666666667,0.5882352941,0.6470588235,0.5098039216
perc_beat_baseline-Columbia_UNC-SurvCon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-Covid19Sim-Simulator,0.4509803922,0.2941176471,0.2549019608,0.2352941176,0.1764705882,,0.625,0.2156862745,0.3333333333,0.4509803922,0.5294117647,0.2549019608,0.2549019608,0.5098039216,0.2549019608,0.137254902,0.3921568627,0.4509803922,0.2549019608,,0.4509803922,0.4901960784,0.4117647059,0.5098039216,0.568627451,0.6666666667,0.5882352941,0.8039215686,0.3725490196,0.4509803922,0.7647058824,0.862745098
perc_beat_baseline-CovidActNow-SEIR_CAN,0.3529411765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-CovidAnalytics-DELPHI,0.1764705882,0.09803921569,0.137254902,0.1568627451,0.2549019608,0.1960784314,0.2352941176,0.1960784314,0.1764705882,0.137254902,0.09803921569,0.05882352941,0.03921568627,0.03921568627,0.09803921569,0.05882352941,0.1764705882,0.07843137255,0.07843137255,0.05882352941,0.2941176471,0.3529411765,0.3333333333,0.3529411765,0.3529411765,0.2156862745,0.1176470588,0.6470588235,0.6078431373,0.568627451,0.568627451,0.6862745098
perc_beat_baseline-DDS-NBDS,,,,0.3725490196,0.6666666667,0.3725490196,0.2941176471,0.3725490196,0.2156862745,0.431372549,0.3333333333,0.431372549,0.568627451,0.5294117647,0.6862745098,0.7843137255,0.8823529412,0.8235294118,0.6862745098,0.5490196078,0.3137254902,0.568627451,0.3921568627,0.431372549,0.4705882353,0.137254902,0.2941176471,0.1176470588,0.2941176471,0.7647058824,0.5490196078,0.3529411765
perc_beat_baseline-FDANIHASU-Sweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-Google_Harvard-CPF,,,,,,,,,,,,,,,0.09803921569,,0.5098039216,0.4901960784,0.7450980392,0.5490196078,0.4117647059,0.4901960784,0.4509803922,0.3725490196,0.1764705882,0.3921568627,0.3921568627,0.1568627451,0.1568627451,0.5294117647,0.6666666667,0.7254901961
perc_beat_baseline-IBF-TimeSeries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-IEM_MED-CovidProject,,,,,,,,,,,,,,,,,,,,,,,0.4117647059,0.3137254902,0.4901960784,0.3137254902,0.3529411765,0.2549019608,0.431372549,0.8039215686,0.9607843137,0.8823529412
perc_beat_baseline-IHME-CurveFit,,,0.09803921569,0.137254902,0.1960784314,0.09803921569,,,,,,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-IQVIA_ACOE-STAN,,,,,,,,,,,,,,,,,,,,,,,,0.2448979592,,,,,,,,
perc_beat_baseline-IowaStateLW-STEM,0.4285714286,0.387755102,0.306122449,0.3673469388,0.5918367347,,0.4489795918,0.387755102,0.3469387755,0.4489795918,0.3469387755,0.3469387755,0.306122449,0.1020408163,0.08163265306,0.1224489796,0.2857142857,0.3469387755,0.3673469388,0.5306122449,0.387755102,0.5102040816,0.4489795918,0.3265306122,0.4693877551,0.5306122449,0.612244898,0.693877551,0.1836734694,0.4285714286,0.5918367347,0.5102040816
perc_beat_baseline-JCB-PRM,,,,,,,,,,0.3921568627,0.5098039216,0.3921568627,0.6078431373,0.6862745098,0.6274509804,0.5490196078,0.7450980392,0.6470588235,0.3725490196,0.5490196078,0.4901960784,0.4509803922,0.3137254902,0.2941176471,0.2745098039,0.431372549,,,,,,
perc_beat_baseline-JHUAPL-Bucky,,,,,,,,,0.3137254902,0.3725490196,0.568627451,0.5490196078,0.3725490196,0.3333333333,0.1960784314,0.4901960784,0.5294117647,0.4901960784,0.5098039216,0.3333333333,0.3725490196,0.5098039216,0.4705882353,0.3921568627,0.2941176471,0.07843137255,0.4117647059,0.4901960784,0.6666666667,0.8431372549,0.7843137255,0.6666666667
perc_beat_baseline-JHU_CSSE-DECOM,,,,,,,,,,,,,,0.7619047619,,0.8823529412,0.862745098,0.875,0.9019607843,0.568627451,0.3529411765,0.5098039216,0.431372549,0.46,0.5,0.4509803922,0.5714285714,0.2244897959,0.1632653061,0.4791666667,0.4901960784,0.6274509804
perc_beat_baseline-JHU_IDD-CovidSP,0.3333333333,0.4117647059,0.3725490196,0.2941176471,0.2941176471,0.2941176471,0.3137254902,0.431372549,0.2745098039,0.3725490196,0.4117647059,0.2745098039,0.3333333333,0.3725490196,0.2941176471,0.2549019608,0.2549019608,0.1764705882,,0.4509803922,0.5490196078,0.5490196078,0.3725490196,0.4705882353,0.4117647059,0.3333333333,0.2156862745,0.8431372549,0.862745098,0.8039215686,0.7843137255,0.7647058824
perc_beat_baseline-JHU_UNC_GAS-StatMechPool,,,,,,,,,,,,,,,,,0.8039215686,0.8823529412,0.7647058824,0.5098039216,,,0.5294117647,0.4509803922,0.4901960784,0.1960784314,0.2941176471,0.862745098,,0.6274509804,0.8431372549,0.7843137255
perc_beat_baseline-Karlen-pypm,,,0.07843137255,0.05882352941,0.137254902,0.2941176471,0.3725490196,0.2941176471,0.3529411765,0.3137254902,0.3529411765,0.3529411765,0.3333333333,0.3137254902,0.568627451,0.7647058824,0.8235294118,0.8039215686,0.6862745098,0.3529411765,0.3333333333,0.431372549,0.4117647059,0.3529411765,0.4509803922,0.3333333333,0.3137254902,0.7254901961,0.6666666667,0.7843137255,0.9215686275,0.8039215686
perc_beat_baseline-LANL-GrowthRate,0.1764705882,0.1568627451,0.1568627451,0.3725490196,0.4117647059,0.431372549,0.3725490196,0.1960784314,0.1764705882,0.1960784314,0.137254902,0.09803921569,0.05882352941,0.03921568627,0.03921568627,0,0.05882352941,0.8823529412,0.7647058824,0.6274509804,0.5882352941,0.6470588235,0.6470588235,0.5294117647,0.5098039216,0.4117647059,0.4509803922,0.5490196078,0.7254901961,0.9803921569,0.9215686275,0.7843137255
perc_beat_baseline-LNQ-ens1,,0.56,0.2941176471,0.4117647059,0.5882352941,0.4705882353,0.431372549,0.2549019608,0.4509803922,0.4901960784,0.3921568627,0.4705882353,0.5098039216,0.4509803922,0.8235294118,0.862745098,0.9411764706,0.9607843137,0.862745098,0.6078431373,0.6078431373,0.6078431373,0.6470588235,0.6862745098,0.5882352941,0.09803921569,0.5098039216,0.2156862745,0.8235294118,1,0.9607843137,0.8823529412
perc_beat_baseline-MIT_ISOLAT-Mixtures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5102040816,0.6,0.72,0.72
perc_beat_baseline-MOBS-GLEAM_COVID,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.92,0.76,0.76,0.68,0.6
perc_beat_baseline-MSRA-DeepST,,,,,,,,,,,,,,,,0.4893617021,,0.7234042553,0.6595744681,0.62,0.44,0.56,0.52,,,,,,,,,
perc_beat_baseline-Microsoft-DeepSTIA,,,,,,,,,,,,,,,,,,,,,,,0.5,0.56,0.54,0.62,0.64,0.48,0.3,0.22,0.88,0.84
perc_beat_baseline-OneQuietNight-ML,,,,,,,,,,,,,,,,,,,,,0.3921568627,0.4705882353,0.2941176471,0.568627451,0.5490196078,0.4509803922,0.3921568627,0.7254901961,0.7254901961,0.568627451,0.5490196078,0.2549019608
perc_beat_baseline-QJHong-Encounter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-RobertWalraven-ESG,0.01960784314,0.09803921569,0.25,0.306122449,0.5102040816,0.26,0.36,0.2352941176,0.1960784314,0.1568627451,0.1176470588,0.1176470588,0.02083333333,0.137254902,0.1176470588,0.7450980392,0.2156862745,0.4117647059,0.7450980392,0.56,0.4897959184,0.431372549,0.4,0.52,0.56,0.04,0.3921568627,0.6078431373,0.862745098,0.862745098,0.9215686275,0.8431372549
perc_beat_baseline-SigSci-TS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5294117647,0.5
perc_beat_baseline-TTU-squider,,,,,,,0.3529411765,,,,0.2156862745,,0.2745098039,0.2549019608,0.09803921569,0.05882352941,0.137254902,0.2745098039,0.2549019608,0.2156862745,0.2941176471,0.2156862745,0.3529411765,0.3333333333,0.2941176471,0.2745098039,0.1960784314,0.7058823529,0.7450980392,0.6274509804,0.6666666667,0.4705882353
perc_beat_baseline-UCF-AEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-UCLA-SuEIR,0.4901960784,0.3725490196,0.3137254902,0.3529411765,0.4705882353,0.4705882353,0.4117647059,0.3529411765,0.2745098039,0.2549019608,0.1764705882,0.1568627451,0.1176470588,0.05882352941,0.05882352941,0,0,0.05882352941,0.137254902,0.1176470588,0.5098039216,0.431372549,0.4117647059,0.4509803922,0.3921568627,0.2352941176,0.2549019608,0.6470588235,0.862745098,0.8039215686,0.7058823529,0.6274509804
perc_beat_baseline-UCSB-ACTS,,,,,,,,,,,,,,,,,0.6470588235,0.7450980392,0.5882352941,0.5098039216,0.4117647059,0.2745098039,0.2156862745,0.1960784314,0.2549019608,0.1764705882,0.1960784314,0.4705882353,0.1568627451,0.05882352941,,
perc_beat_baseline-UMich-RidgeTfReg,,,0.1612903226,0.1153846154,0.07142857143,0.2,0.1944444444,0.375,0.3953488372,0.387755102,0.4897959184,0.42,0.42,0.56,0.52,0.6,0.64,0.48,0.3,0.18,0.32,0.5,0.6666666667,0.6666666667,0.3,0.26,0.3,0.36,0.38,0.26,0.24,0.3673469388
perc_beat_baseline-USACE-ERDC_SEIR,0.2156862745,0.1176470588,0.2941176471,0.3921568627,0.4705882353,0.4509803922,0.5098039216,0.2941176471,0.2941176471,0.5098039216,0.3529411765,0.3725490196,0.4509803922,,0.568627451,,0.568627451,,,0.4901960784,0.3921568627,0.1764705882,,,,,,,,,,
perc_beat_baseline-USC-SI_kJalpha,0.6078431373,0.3137254902,0.3333333333,0.5490196078,0.4901960784,0.4509803922,0.431372549,0.2352941176,0.2352941176,0.3529411765,0.2549019608,0.2941176471,0.3137254902,0.431372549,0.4705882353,0.4901960784,0.4705882353,0.5098039216,0.3529411765,0.3333333333,0.4901960784,0.4901960784,0.6274509804,0.5098039216,0.568627451,0.4705882353,0.4901960784,0.8235294118,0.6078431373,0.9607843137,0.9411764706,0.8431372549
perc_beat_baseline-USC-SI_kJalpha_RF,,,,,,,,,,,,,,,,,,0.9411764706,0.862745098,,,,,,,,,,,,,
perc_beat_baseline-UVA-Ensemble,,,,,,,,,,,,,,,,,,,,0.5294117647,0.4705882353,0.4705882353,0.3333333333,0.2156862745,0.2549019608,0.1764705882,0.2549019608,0.2352941176,0.137254902,0.09803921569,0.8039215686,
perc_beat_baseline-UpstateSU-GRU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-Wadhwani_AI-BayesOpt,,,,,,,,,,,,,,,,,,,,,,,0.1111111111,0.4222222222,0.2954545455,,0.1818181818,,,,,
mean_abs_error-BPagano-RtDriven,,,,,,,,,,,,,,,,23321.92745,31607.48431,39736.65294,31277.35098,44563.18431,44762.14706,35822.29216,37184.83922,30775.6451,34821.64118,36301.81569,24541.94118,36918.6451,48315.56471,31580.95686,24717.3,10501.55686
mean_abs_error-CEID-Walk,,,,,,6881.166667,7800.386275,5544.531373,4318.064706,4562.005882,6373.507843,5771.864706,8064.458824,11758.43725,18120.56471,26354.92549,34598.59412,39646.5451,36734.34314,32157.38039,34129.51569,37346.5098,30507.99216,,,23062.08235,15565.87647,41421.8098,48360.02941,36598.72549,34754.05882,25400.06275
