,actual_deaths,Baseline,BPagano-RtDriven,COVIDhub-baseline,Columbia_UNC-SurvCon,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,QJHong-Encounter,UCLA-SuEIR,USACE-ERDC_SEIR,WalmartLabsML-LogForecasting,error-Baseline,error-BPagano-RtDriven,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-QJHong-Encounter,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-WalmartLabsML-LogForecasting,beat_baseline-BPagano-RtDriven,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-WalmartLabsML-LogForecasting
Iowa,4127,3120.4,4627.4,3128.7,76677.0,,3287.0,4352.0,7989.5,,2916.9,3976.6,2317.6,-1006.6,500.4,-998.3,72550.0,,-840.0,225.0,3862.5,,-1210.1,-150.4,-1809.4,True,True,False,,True,True,False,,False,True,False
Kansas,3141,1851.9,2585.5,1871.8,10500.0,,2001.0,2599.1,2976.1,,1820.8,1933.9,1436.4,-1217.1,-483.5,-1197.2,7431.0,,-1068.0,-469.9,-92.9,,-1248.2,-1135.1,-1632.6,True,True,False,,True,True,True,,False,True,False
Kentucky,2876,2415.3,3240.9,2434.1,3446.0,,2411.0,3110.5,2738.2,,2601.4,3752.4,1932.4,-460.7,364.9,-441.9,570.0,,-465.0,234.5,-137.8,,-274.6,876.4,-943.6,True,True,False,,False,True,True,,True,False,False
Louisiana,7833,6788.9,7396.4,6965.9,9158.0,,6768.0,7249.4,10641.8,,7211.3,7830.5,6393.2,-1033.1,-425.6,-856.1,1336.0,,-1054.0,-572.6,2819.8,,-610.7,8.5,-1428.8,True,True,False,,False,True,False,,True,True,False
Maine,432,267.1,362.4,259.0,8678.0,,236.0,233.3,1332.1,,238.9,510.9,179.0,-164.9,-69.6,-173.0,8246.0,,-196.0,-198.7,900.1,,-193.1,78.9,-253.0,True,False,False,,False,False,False,,False,True,False
Maryland,6246,5009.1,6194.4,5031.7,11208.0,,4792.0,5628.3,6850.2,,4912.0,8273.8,4560.0,-1236.9,-51.6,-1214.3,4962.0,,-1454.0,-617.7,604.2,,-1334.0,2027.8,-1686.0,True,True,False,,False,True,True,,False,False,False
Massachusetts,13074,11743.3,12162.0,11646.5,24592.0,,11993.0,13462.7,18096.1,,11031.0,21686.1,10815.6,-1330.7,-912.0,-1427.5,11518.0,,-1081.0,388.7,5022.1,,-2043.0,8612.1,-2258.4,True,False,False,,True,True,False,,False,False,False
Michigan,14145,11762.4,16005.9,11822.8,41205.0,,11681.0,14728.7,19292.7,,10786.3,23080.2,8839.0,-2382.6,1860.9,-2322.2,27060.0,,-2464.0,583.7,5147.7,,-3358.7,8935.2,-5306.0,True,True,False,,False,True,False,,False,False,False
Minnesota,5731,4933.1,8384.7,4938.9,61727.0,,5568.0,6781.2,11892.7,,4489.1,9482.1,3308.6,-797.9,2653.7,-792.1,55996.0,,-163.0,1050.2,6161.7,,-1241.9,3751.1,-2422.4,False,True,False,,True,False,False,,False,False,False
Mississippi,5146,4328.7,4501.6,4396.6,4663.0,,4474.0,4906.8,4844.7,,4369.5,5196.9,3952.2,-817.3,-644.4,-749.4,-483.0,,-672.0,-239.2,-301.3,,-776.5,50.9,-1193.8,True,True,True,,True,True,True,,True,True,False
Missouri,6173,5131.3,7411.4,5188.6,22610.0,,5230.0,6800.5,8916.6,,3939.1,6308.4,3748.3,-1019.7,1260.4,-962.4,16459.0,,-921.0,649.5,2765.6,,-2211.9,157.4,-2402.7,False,True,False,,True,True,False,,False,True,False
Montana,1054,1022.9,984.9,1066.1,1203.0,,1260.0,1699.9,1088.9,,735.8,1223.8,706.8,-31.1,-69.1,12.1,149.0,,206.0,645.9,34.9,,-318.2,169.8,-347.2,False,True,False,,False,False,False,,False,False,False
Nebraska,1737,1376.1,2615.4,1386.8,7618.0,,1588.0,2179.7,2116.7,,907.4,1488.8,926.6,-360.9,878.4,-350.2,5881.0,,-149.0,442.7,379.7,,-829.6,-248.2,-810.4,False,True,False,,True,False,False,,False,True,False
Nevada,3450,2364.7,2590.3,2372.1,4050.0,,2326.0,2747.2,3051.4,,2380.8,3154.4,2126.8,-1085.3,-859.7,-1077.9,600.0,,-1124.0,-702.8,-398.6,,-1069.2,-295.6,-1323.2,True,True,True,,False,True,True,,True,True,False
New Hampshire,862,577.6,898.6,581.3,1650.0,,658.0,678.4,1375.2,,570.0,2216.2,520.7,-284.4,36.6,-280.7,788.0,,-204.0,-183.6,513.2,,-292.0,1354.2,-341.3,True,True,False,,True,True,False,,False,False,False
New Jersey,19854,17642.4,18306.3,17758.1,24768.0,,17423.0,18462.0,21168.0,,17369.5,32988.1,16731.2,-2211.6,-1547.7,-2095.9,4914.0,,-2431.0,-1392.0,1314.0,,-2484.5,13134.1,-3122.8,True,True,False,,False,True,True,,False,False,False
New Mexico,2732,1977.1,2145.4,2039.9,3727.0,,2032.0,3269.2,3776.9,,1678.9,2723.8,1389.6,-754.9,-586.6,-692.1,995.0,,-700.0,537.2,1044.9,,-1053.1,-8.2,-1342.4,True,True,False,,True,True,False,,False,True,False
New York,39471,35045.6,35103.2,35852.2,53864.0,,35389.0,35954.9,51996.1,,34419.1,55422.4,33947.2,-4425.4,-4367.8,-3618.8,14393.0,,-4082.0,-3516.1,12525.1,,-5051.9,15951.4,-5523.8,True,True,False,,True,True,False,,False,False,False
North Carolina,7425,6369.6,5823.9,5963.4,6133.0,,6121.0,7283.5,6653.3,,5984.4,7224.9,5529.6,-1055.4,-1601.1,-1461.6,-1292.0,,-1304.0,-141.5,-771.7,,-1440.6,-200.1,-1895.4,False,False,False,,False,True,True,,False,True,False
North Dakota,1360,1498.1,1398.0,1510.0,2765.0,,1776.0,2343.3,1208.4,,1033.9,1272.4,990.9,138.1,38.0,150.0,1405.0,,416.0,983.3,-151.6,,-326.1,-87.6,-369.1,True,False,False,,False,False,False,,False,True,False
Ohio,14681,7332.7,9316.9,7381.6,21021.0,,8209.0,8978.2,16325.0,,6649.6,19498.5,6366.7,-6864.3,-4880.1,-6815.4,6824.0,,-5988.0,-5218.8,2128.0,,-7547.4,5301.5,-7830.3,True,True,True,,True,True,True,,False,True,False
Oklahoma,2738,2235.1,2858.8,2211.7,8335.0,,2442.0,3106.0,4533.7,,1980.3,3488.1,1799.7,-502.9,120.8,-526.3,5597.0,,-296.0,368.0,1795.7,,-757.7,750.1,-938.3,True,False,False,,True,True,False,,False,False,False
Oregon,1603,1004.6,1212.7,999.0,6176.0,,1091.0,1531.0,2896.5,,914.4,1891.0,875.0,-598.4,-390.3,-604.0,4573.0,,-512.0,-72.0,1293.5,,-688.6,288.0,-728.0,True,False,False,,True,True,False,,False,True,False
Pennsylvania,17626,11529.3,14761.5,11262.2,25375.0,,11288.0,13650.5,24196.6,,10771.3,23903.3,9999.3,-6096.7,-2864.5,-6363.8,7749.0,,-6338.0,-3975.5,6570.6,,-6854.7,6277.3,-7626.7,True,False,False,,False,True,False,,False,False,False
Rhode Island,2062,1489.7,1564.6,1507.9,1941.0,,1494.0,1824.5,2079.6,,1400.6,2014.1,1306.9,-535.3,-460.4,-517.1,-84.0,,-531.0,-200.5,54.6,,-624.4,-10.9,-718.1,True,True,True,,True,True,True,,False,True,False
South Carolina,5758,4709.1,4720.9,4870.2,6377.0,,4709.5,5148.8,5048.8,,4878.5,6158.0,4598.3,-1048.9,-1037.1,-887.8,619.0,,-1048.5,-609.2,-709.2,,-879.5,400.0,-1159.7,True,True,True,,True,True,True,,True,True,False
South Dakota,1570,1492.6,1457.9,1405.1,1905.0,,1583.0,2222.7,1396.3,,739.8,1237.5,867.0,-77.4,-112.1,-164.9,335.0,,13.0,652.7,-173.7,,-830.2,-332.5,-703.0,False,False,False,,True,False,False,,False,False,False
Tennessee,7704,6234.4,8530.6,6173.8,8668.0,,6477.0,7768.0,8513.0,,5696.7,6066.1,4575.8,-1469.6,826.6,-1530.2,964.0,,-1227.0,64.0,809.0,,-2007.3,-1637.9,-3128.2,True,False,True,,True,True,True,,False,False,False
Texas,30313,26398.6,29328.2,26088.7,48812.0,,25110.0,30283.6,35379.6,,24651.2,28660.6,22558.6,-3536.4,-606.8,-3846.3,18877.0,,-4825.0,348.6,5444.6,,-5283.8,-1274.4,-7376.4,True,False,False,,False,True,False,,False,True,False
Utah,1390,1181.6,1974.1,1126.1,4636.0,,1418.0,1634.4,1059.7,,1132.4,1504.7,650.2,-208.4,584.1,-263.9,3246.0,,28.0,244.4,-330.3,,-257.6,114.7,-739.8,False,False,False,,True,False,False,,False,True,False
Vermont,156,59.0,82.9,63.6,167.0,,67.0,59.0,167.6,,59.8,651.9,59.6,-97.0,-73.1,-92.4,11.0,,-89.0,-97.0,11.6,,-96.2,495.9,-96.4,True,True,True,,True,False,True,,True,False,True
Virginia,5381,4530.7,6179.7,4567.2,4923.0,,4591.0,4444.9,5053.1,,4452.1,5143.8,4235.3,-850.3,798.7,-813.8,-458.0,,-790.0,-936.1,-327.9,,-928.9,-237.2,-1145.7,True,True,True,,True,False,True,,False,True,False
Washington,3698,3147.6,4055.3,3158.5,14189.0,,3155.0,3892.5,6272.8,,3145.4,6661.3,2783.6,-564.4,343.3,-553.5,10477.0,,-557.0,180.5,2560.8,,-566.6,2949.3,-928.4,True,True,False,,True,True,False,,False,False,False
West Virginia,1570,1194.9,1722.9,1142.0,5245.0,,1267.0,1456.2,2706.2,,1014.3,1683.0,712.0,-375.1,152.9,-428.0,3675.0,,-303.0,-113.8,1136.2,,-555.7,113.0,-858.0,True,False,False,,True,True,False,,False,True,False
Wisconsin,5567,4173.1,4072.5,4267.1,6055.0,,4593.0,7155.5,6095.5,,4186.5,5987.4,3365.3,-1393.9,-1494.5,-1299.9,488.0,,-974.0,1588.5,528.5,,-1380.5,420.4,-2201.7,False,True,True,,True,False,True,,True,True,False
Wyoming,489,379.7,533.1,384.0,2768.0,,365.0,610.4,871.4,,232.1,354.3,205.5,-109.3,44.1,-105.0,2279.0,,-124.0,121.4,382.4,,-256.9,-134.7,-283.5,True,True,False,,False,False,False,,False,False,False
US,379070,306864.1,346406.6,306215.5,445164.0,330029.0,308736.0,363558.6,449657.8,369747.6,316739.1,460268.7,272373.8,-70827.9,-31285.4,-71476.5,67472.0,-47663.0,-68956.0,-14133.4,71965.8,-7944.4,-60952.9,82576.7,-105318.2,True,False,True,True,True,True,False,True,True,False,False
