,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-epiforecasts-ensemble1
Georgia,11457,11257.3,11299.0,11531.0,11348.3,11287.0,11293.1,11469.0,11249.0,11529.6,11947.0,11108.2,11450.0,11357.9,11442.6,11577.2,,12408.1,11684.0,11507.3,12224.2,11541.0,11319.5,11550.2,11206.0,11319.6,11423.0,11602.6,11514.3,11427.9,10892.0,,11210.8,11129.9,11493.0,12763.5,11098.0,11297.1,,11477.6,11507.1,11522.0,11323.3,11420.0,10957.5,-199.7,-158.0,74.0,-108.7,-170.0,-163.9,12.0,-208.0,72.6,490.0,-348.8,-7.0,-99.1,-14.4,120.2,,951.1,227.0,50.3,767.2,84.0,-137.5,93.2,-251.0,-137.4,-34.0,145.6,57.3,-29.1,-565.0,,-246.2,-327.1,36.0,1306.5,-359.0,-159.9,,20.6,50.1,65.0,-133.7,-37.0,-499.5,True,True,True,True,True,True,False,True,False,False,True,True,True,True,,False,False,True,False,True,True,True,False,True,True,True,True,True,False,,False,False,True,False,False,True,,True,True,True,True,True,False
Hawaii,307,290.6,308.6,295.6,294.4,298.0,293.0,305.0,311.0,306.6,315.0,319.4,300.0,293.1,,309.0,,324.3,,313.4,311.5,310.0,370.8,305.8,303.0,287.9,301.0,310.4,306.7,293.0,302.0,,,304.8,305.0,317.3,308.0,299.1,,305.0,285.0,301.0,288.4,295.0,312.5,-16.4,1.6,-11.4,-12.6,-9.0,-14.0,-2.0,4.0,-0.4,8.0,12.4,-7.0,-13.9,,2.0,,17.3,,6.4,4.5,3.0,63.8,-1.2,-4.0,-19.1,-6.0,3.4,-0.3,-14.0,-5.0,,,-2.2,-2.0,10.3,1.0,-7.9,,-2.0,-22.0,-6.0,-18.6,-12.0,5.5,True,True,True,True,True,True,True,True,True,True,True,True,,True,,False,,True,True,True,False,True,True,False,True,True,True,True,True,,,True,True,True,True,True,,True,False,True,False,True,True
Idaho,1528,1491.4,1488.6,1468.4,1521.6,1525.0,1512.0,1524.0,1582.0,1522.9,1515.0,1581.1,1508.0,1465.0,1494.6,1570.0,,1721.7,1570.0,1576.7,1468.7,1585.0,1575.7,1560.6,1514.0,1463.2,1531.0,1552.3,1563.8,1461.3,1651.0,,,1448.2,1577.0,1467.1,1443.0,1483.1,,1542.7,1470.6,1473.0,1526.4,1490.0,1520.5,-36.6,-39.4,-59.6,-6.4,-3.0,-16.0,-4.0,54.0,-5.1,-13.0,53.1,-20.0,-63.0,-33.4,42.0,,193.7,42.0,48.7,-59.3,57.0,47.7,32.6,-14.0,-64.8,3.0,24.3,35.8,-66.7,123.0,,,-79.8,49.0,-60.9,-85.0,-44.9,,14.7,-57.4,-55.0,-1.6,-38.0,-7.5,False,False,True,True,True,True,False,True,True,False,True,False,True,False,,False,False,False,False,False,False,True,True,False,True,True,True,False,False,,,False,False,False,False,False,,True,False,False,True,False,True
Illinois,19210,19061.3,19214.0,18900.7,18988.2,19079.0,19020.2,18981.0,19099.0,18789.1,19114.0,19115.1,18543.0,19885.0,18949.7,18908.2,,20337.3,19258.0,19444.3,17626.4,19013.0,18757.8,19028.7,18927.0,18765.4,18794.0,19210.6,19116.8,18740.1,19331.0,,18770.0,18594.2,18868.0,18176.6,18487.0,18658.2,,18490.0,19202.1,18755.0,19120.6,18882.0,18861.3,-148.7,4.0,-309.3,-221.8,-131.0,-189.8,-229.0,-111.0,-420.9,-96.0,-94.9,-667.0,675.0,-260.3,-301.8,,1127.3,48.0,234.3,-1583.6,-197.0,-452.2,-181.3,-283.0,-444.6,-416.0,0.6,-93.2,-469.9,121.0,,-440.0,-615.8,-342.0,-1033.4,-723.0,-551.8,,-720.0,-7.9,-455.0,-89.4,-328.0,-348.7,True,False,False,True,False,False,True,False,True,True,False,False,False,False,,False,True,False,False,False,False,False,False,False,False,True,True,False,True,,False,False,False,False,False,False,,False,True,False,True,False,False
Indiana,10089,8658.3,8714.3,8831.6,8732.4,8780.0,8726.9,8742.0,8516.0,8715.7,8866.0,8833.8,8516.0,8783.9,8742.0,8814.7,,9181.7,9036.0,8864.1,8219.8,8838.0,8491.3,8853.0,8677.0,8614.8,8720.0,8886.9,8814.4,8599.5,9241.0,,8549.1,8350.8,8539.0,9162.8,8388.0,8573.6,,8673.9,8837.2,8624.0,8880.9,8818.0,8629.6,-277.7,-221.7,-104.4,-203.6,-156.0,-209.1,-194.0,-420.0,-220.3,-70.0,-102.2,-420.0,-152.1,-194.0,-121.3,,245.7,100.0,-71.9,-716.2,-98.0,-444.7,-83.0,-259.0,-321.2,-216.0,-49.1,-121.6,-336.5,305.0,,-386.9,-585.2,-397.0,226.8,-548.0,-362.4,,-262.1,-98.8,-312.0,-55.1,-118.0,-306.4,True,True,True,True,True,True,False,True,True,True,False,True,True,True,,True,True,True,False,True,False,True,True,False,True,True,True,False,False,,False,False,False,True,False,False,,True,True,False,True,True,False
Iowa,4127,4033.7,4305.8,4119.6,4166.4,4205.0,4165.0,4166.0,4038.0,4131.0,4430.0,4468.7,4216.0,4175.9,4052.9,4127.5,,3427.8,4392.0,4143.8,4004.0,4251.0,4174.3,4249.4,4655.0,3937.8,4153.0,4207.1,4207.0,4170.8,4482.0,,4774.7,4019.7,4164.0,2999.3,3972.0,4074.9,,4138.7,4132.3,4004.0,4171.9,4171.0,4428.4,-93.3,178.8,-7.4,39.4,78.0,38.0,39.0,-89.0,4.0,303.0,341.7,89.0,48.9,-74.1,0.5,,-699.2,265.0,16.8,-123.0,124.0,47.3,122.4,528.0,-189.2,26.0,80.1,80.0,43.8,355.0,,647.7,-107.3,37.0,-1127.7,-155.0,-52.1,,11.7,5.3,-123.0,44.9,44.0,301.4,False,True,True,True,True,True,True,True,False,False,True,True,True,True,,False,False,True,False,False,True,False,False,False,True,True,True,True,False,,False,False,True,False,False,True,,True,True,False,True,True,False
Kansas,3141,2803.9,3002.0,2839.5,2792.8,2857.0,2827.0,2920.0,2933.0,2757.6,3044.0,3090.2,3063.0,2893.9,2859.2,3044.5,,3393.4,3207.0,3070.3,2949.6,3010.0,2868.6,2925.3,3089.5,2702.7,3026.0,2974.7,2896.5,2974.1,3006.0,,,2699.0,2885.0,2837.9,2608.0,2875.2,,2931.1,2912.2,2806.0,2883.1,2868.0,2956.8,-337.1,-139.0,-301.5,-348.2,-284.0,-314.0,-221.0,-208.0,-383.4,-97.0,-50.8,-78.0,-247.1,-281.8,-96.5,,252.4,66.0,-70.7,-191.4,-131.0,-272.4,-215.7,-51.5,-438.3,-115.0,-166.3,-244.5,-166.9,-135.0,,,-442.0,-256.0,-303.1,-533.0,-265.8,,-209.9,-228.8,-335.0,-257.9,-273.0,-184.2,True,True,False,True,True,True,True,False,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,False,True,True,True,True,True,,,False,True,True,False,True,,True,True,True,True,True,True
Kentucky,2876,2848.4,2829.8,2946.2,2839.2,2855.0,2860.0,2839.0,2768.0,2959.9,2805.0,2781.8,2760.0,2775.2,2804.2,2910.3,,2758.9,2940.0,2851.3,2876.6,2993.0,3104.8,2839.0,2838.0,2806.4,2928.0,2861.6,2951.2,2890.9,2837.0,,,2804.2,2731.0,3185.1,2785.0,2849.4,,2881.1,2792.9,2859.0,2864.2,2796.0,2877.7,-27.6,-46.2,70.2,-36.8,-21.0,-16.0,-37.0,-108.0,83.9,-71.0,-94.2,-116.0,-100.8,-71.8,34.3,,-117.1,64.0,-24.7,0.6,117.0,228.8,-37.0,-38.0,-69.6,52.0,-14.4,75.2,14.9,-39.0,,,-71.8,-145.0,309.1,-91.0,-26.6,,5.1,-83.1,-17.0,-11.8,-80.0,1.7,False,False,False,True,True,False,False,False,False,False,False,False,False,False,,False,False,True,True,False,False,False,False,False,False,True,False,True,False,,,False,False,False,False,True,,True,False,True,True,False,True
Louisiana,7833,7753.4,7609.6,7947.3,7828.8,7893.0,7828.0,7774.0,7584.0,7755.5,7737.0,7707.6,7853.0,7864.0,7873.0,7856.2,,7895.7,8072.0,7768.4,7455.4,7835.0,7733.0,7799.2,8077.0,7640.4,7704.0,7864.1,7863.6,7768.1,7613.0,,7633.1,7632.0,7763.0,8991.8,7630.0,7833.4,,7667.2,7779.0,7697.0,7702.9,7807.0,7725.7,-79.6,-223.4,114.3,-4.2,60.0,-5.0,-59.0,-249.0,-77.5,-96.0,-125.4,20.0,31.0,40.0,23.2,,62.7,239.0,-64.6,-377.6,2.0,-100.0,-33.8,244.0,-192.6,-129.0,31.1,30.6,-64.9,-220.0,,-199.9,-201.0,-70.0,1158.8,-203.0,0.4,,-165.8,-54.0,-136.0,-130.1,-26.0,-107.3,False,False,True,True,True,True,False,True,False,False,True,True,True,True,,True,False,True,False,True,False,True,False,False,False,True,True,True,False,,False,False,True,False,False,True,,False,True,False,False,True,False
Maine,432,380.6,368.7,410.0,375.1,392.0,373.0,402.0,417.0,408.7,465.0,433.6,403.0,381.2,370.1,401.2,,380.9,430.0,428.1,411.9,427.0,546.2,402.1,415.0,374.0,422.0,381.2,410.5,387.4,393.0,,,371.4,439.0,408.8,367.0,338.0,,390.5,319.0,391.0,375.3,413.0,418.0,-51.4,-63.3,-22.0,-56.9,-40.0,-59.0,-30.0,-15.0,-23.3,33.0,1.6,-29.0,-50.8,-61.9,-30.8,,-51.1,-2.0,-3.9,-20.1,-5.0,114.2,-29.9,-17.0,-58.0,-10.0,-50.8,-21.5,-44.6,-39.0,,,-60.6,7.0,-23.2,-65.0,-94.0,,-41.5,-113.0,-41.0,-56.7,-19.0,-14.0,False,True,False,True,False,True,True,True,True,True,True,True,False,True,,True,True,True,True,True,False,True,True,False,True,True,True,True,True,,,False,True,True,False,False,,True,False,True,False,True,True
Maryland,6246,6202.3,6029.9,6368.4,6224.3,6264.0,6216.0,6270.0,6182.0,6253.0,6261.0,6298.0,6147.0,6364.9,6326.1,6309.5,,6511.5,6410.0,6355.6,5939.2,6308.0,6220.5,6301.2,6295.0,6191.4,6239.0,6305.5,6311.4,6305.5,6230.0,,6143.8,6190.6,6216.0,6038.6,6158.0,6090.3,,6174.2,6223.4,6170.0,6285.9,6296.0,6260.1,-43.7,-216.1,122.4,-21.7,18.0,-30.0,24.0,-64.0,7.0,15.0,52.0,-99.0,118.9,80.1,63.5,,265.5,164.0,109.6,-306.8,62.0,-25.5,55.2,49.0,-54.6,-7.0,59.5,65.4,59.5,-16.0,,-102.2,-55.4,-30.0,-207.4,-88.0,-155.7,,-71.8,-22.6,-76.0,39.9,50.0,14.1,False,False,True,True,True,True,False,True,True,False,False,False,False,False,,False,False,False,False,False,True,False,False,False,True,False,False,False,True,,False,False,True,False,False,False,,False,True,False,True,False,True
