,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR
Kansas,3141,1452.1,1416.9,1106.0,,1191.3,-1680.9,-1716.1,-2027.0,,-1941.7,False,False,,False
Kentucky,2876,1929.6,2006.1,1880.0,,2056.7,-946.4,-869.9,-996.0,,-819.3,True,False,,True
Louisiana,7833,7129.0,6477.2,6613.0,,7392.4,-704.0,-1355.8,-1220.0,,-440.6,False,False,,True
Maine,432,169.7,175.3,188.0,,151.6,-262.3,-256.7,-244.0,,-280.4,True,True,,False
Maryland,6246,4276.7,4525.0,4259.0,,4204.0,-1969.3,-1721.0,-1987.0,,-2042.0,True,False,,False
Massachusetts,13074,10978.9,15343.1,10222.0,,10013.0,-2095.1,2269.1,-2852.0,,-3061.0,False,False,,False
Michigan,14145,8232.6,8268.6,7874.0,,7616.4,-5912.4,-5876.4,-6271.0,,-6528.6,True,False,,False
Minnesota,5731,3144.6,2992.1,3011.0,,3101.1,-2586.4,-2738.9,-2720.0,,-2629.9,False,False,,False
Mississippi,5146,4315.6,4323.5,4372.0,,4043.4,-830.4,-822.5,-774.0,,-1102.6,True,True,,False
Missouri,6173,4029.0,4875.0,3731.0,,2726.7,-2128.0,-1282.0,-2426.0,,-3430.3,True,False,,False
Montana,1054,381.0,1245.7,402.0,,335.7,-673.0,191.7,-652.0,,-718.3,True,True,,False
Nebraska,1737,930.6,1029.4,743.0,,583.2,-806.4,-707.6,-994.0,,-1153.8,True,False,,False
Nevada,3450,2149.6,2747.3,1977.0,,2553.4,-1300.4,-702.7,-1473.0,,-896.6,True,False,,True
New Hampshire,862,498.4,493.2,499.0,,494.3,-363.6,-368.8,-363.0,,-367.7,False,True,,False
New Jersey,19854,16551.7,17258.1,16498.5,,16395.7,-3302.3,-2595.9,-3355.5,,-3458.3,True,False,,False
New Mexico,2732,1196.9,1797.7,1114.0,,1027.1,-1535.1,-934.3,-1618.0,,-1704.9,True,False,,False
New York,39471,34230.4,39795.4,33639.0,,33615.1,-5056.6,508.4,-5648.0,,-5671.9,True,False,,False
North Carolina,7425,6308.4,6457.5,5750.0,,5170.6,-1116.6,-967.5,-1675.0,,-2254.4,True,False,,False
North Dakota,1360,869.9,1105.4,715.0,,431.3,-490.1,-254.6,-645.0,,-928.7,True,False,,False
Ohio,14681,7474.7,6775.9,6011.5,,6469.2,-7650.3,-8349.1,-9113.5,,-8655.8,False,False,,False
Oklahoma,2738,1674.6,2046.9,1806.0,,1737.2,-1063.4,-691.1,-932.0,,-1000.8,True,True,,True
Oregon,1603,973.9,885.6,788.0,,899.0,-629.1,-717.4,-815.0,,-704.0,False,False,,False
Pennsylvania,17626,9705.4,10557.7,9368.0,,8781.3,-7920.6,-7068.3,-8258.0,,-8844.7,True,False,,False
Rhode Island,2062,1270.4,1490.2,1238.0,,1184.0,-776.6,-556.8,-809.0,,-863.0,True,False,,False
South Carolina,5758,5212.9,4591.2,4552.0,,4798.3,-545.1,-1166.8,-1206.0,,-959.7,False,False,,False
South Dakota,1570,663.7,823.4,448.0,,342.6,-906.3,-746.6,-1122.0,,-1227.4,True,False,,False
Tennessee,7704,5348.4,4842.5,4216.0,,4735.7,-2355.6,-2861.5,-3488.0,,-2968.3,False,False,,False
Texas,30313,24287.9,26725.0,23353.0,30387.0,21888.1,-5744.1,-3307.0,-6679.0,355.0,-8143.9,True,False,True,False
Utah,1390,824.4,1056.7,645.0,,755.7,-565.6,-333.3,-745.0,,-634.3,True,False,,False
Vermont,156,58.0,65.2,58.0,,60.3,-98.0,-90.8,-98.0,,-95.7,True,False,,True
Virginia,5381,4835.9,4999.5,4216.0,,3871.2,-542.1,-378.5,-1162.0,,-1506.8,True,False,,False
Washington,3698,2724.0,5372.9,2492.0,,2980.4,-989.0,1659.9,-1221.0,,-732.6,False,False,,True
West Virginia,1570,710.4,710.7,706.0,,596.4,-859.6,-859.3,-864.0,,-973.6,True,False,,False
Wisconsin,5567,2707.3,3344.3,2240.0,,2434.6,-2783.7,-2146.7,-3251.0,,-3056.4,True,False,,False
Wyoming,489,94.6,473.5,90.0,,72.5,-394.4,-15.5,-399.0,,-416.5,True,False,,False
US,379070,278521.7,296926.3,267216.0,269755.0,259280.0,-100360.3,-81955.7,-111666.0,-109127.0,-119602.0,True,False,False,False
