,actual_deaths,Baseline,BPagano-RtDriven,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UT-Mobility,Wadhwani_AI-BayesOpt,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UT-Mobility,error-Wadhwani_AI-BayesOpt,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-Wadhwani_AI-BayesOpt,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Georgia,11457,11117.4,11765.2,11910.0,11203.7,12003.0,11977.0,11669.5,13072.0,11013.8,12050.0,12215.6,11767.6,12169.0,,12339.2,11829.0,11992.4,12209.6,12117.0,10906.2,12431.1,11454.0,11912.3,11617.0,11992.6,11861.0,,11104.5,12533.9,10993.0,,12003.2,11704.6,11914.0,12517.6,12025.0,11001.5,,11683.3,12025.2,12196.0,,12097.0,10865.0,,10472.1,11207.3,-339.6,308.2,453.0,-253.3,546.0,520.0,212.5,1615.0,-443.2,593.0,758.6,310.6,712.0,,882.2,372.0,535.4,752.6,660.0,-550.8,974.1,-3.0,455.3,160.0,535.6,404.0,,-352.5,1076.9,-464.0,,546.2,247.6,457.0,1060.6,568.0,-455.5,,226.3,568.2,739.0,,640.0,-592.0,,-984.9,-249.7,True,False,True,False,False,True,False,False,False,False,True,False,,False,False,False,False,False,False,False,True,False,True,False,False,,False,False,False,,False,True,False,False,False,False,,True,False,False,,False,False,,False,True
Hawaii,307,320.3,356.8,352.0,311.0,330.0,330.0,330.1,359.0,287.6,302.0,332.5,,326.3,,310.8,,313.1,319.3,333.0,363.2,328.5,316.0,319.4,395.0,333.7,331.4,,549.3,289.7,340.0,,,332.0,330.0,313.7,331.0,292.8,,348.6,377.4,322.0,,327.0,334.0,436.0,295.8,338.6,13.3,49.8,45.0,4.0,23.0,23.0,23.1,52.0,-19.4,-5.0,25.5,,19.3,,3.8,,6.1,12.3,26.0,56.2,21.5,9.0,12.4,88.0,26.7,24.4,,242.3,-17.3,33.0,,,25.0,23.0,6.7,24.0,-14.2,,41.6,70.4,15.0,,20.0,27.0,129.0,-11.2,31.6,False,False,True,False,False,False,False,False,True,False,,False,,True,,True,True,False,False,False,True,True,False,False,False,,False,False,False,,,False,False,True,False,False,,False,False,False,,False,False,False,True,False
Idaho,1528,1715.0,1932.9,1892.0,1717.0,1716.0,1707.0,1628.6,1706.0,1478.6,1480.0,2501.2,1715.1,1723.0,,1547.2,1790.0,1808.1,1575.2,1904.0,1477.4,1695.5,1875.0,1748.1,1665.0,1789.1,1772.6,,1696.8,1896.4,1645.0,,,1832.8,1743.0,1390.3,1747.0,1627.7,,1712.1,1838.7,1659.0,,1726.0,1645.0,1875.1,1354.2,1678.5,187.0,404.9,364.0,189.0,188.0,179.0,100.6,178.0,-49.4,-48.0,973.2,187.1,195.0,,19.2,262.0,280.1,47.2,376.0,-50.6,167.5,347.0,220.1,137.0,261.1,244.6,,168.8,368.4,117.0,,,304.8,215.0,-137.7,219.0,99.7,,184.1,310.7,131.0,,198.0,117.0,347.1,-173.8,150.5,False,False,False,False,True,True,True,True,True,False,False,False,,True,False,False,True,False,True,True,False,False,True,False,False,,True,False,True,,,False,False,True,False,True,,True,False,True,,False,True,False,True,True
Illinois,19210,20056.3,20745.9,21057.0,20091.8,19841.0,19846.0,19100.4,18457.0,18355.4,18444.0,24921.6,19906.6,19836.1,,19036.2,20329.0,20212.4,17824.7,19938.0,17494.9,19250.6,19914.0,20320.8,19832.0,20492.4,20660.2,17709.0,15458.6,15818.8,21226.5,,19960.1,21279.6,19338.0,17362.4,19447.0,19281.8,,19949.3,20560.1,19078.0,21625.8,19023.0,20266.5,,16554.1,19165.5,846.3,1535.9,1847.0,881.8,631.0,636.0,-109.6,-753.0,-854.6,-766.0,5711.6,696.6,626.1,,-173.8,1119.0,1002.4,-1385.3,728.0,-1715.1,40.6,704.0,1110.8,622.0,1282.4,1450.2,-1501.0,-3751.4,-3391.2,2016.5,,750.1,2069.6,128.0,-1847.6,237.0,71.8,,739.3,1350.1,-132.0,2415.8,-187.0,1056.5,,-2655.9,-44.5,False,False,False,True,True,True,True,False,True,False,True,True,,True,False,False,False,True,False,True,True,False,True,False,False,False,False,False,False,,True,False,True,False,True,True,,True,False,True,False,True,False,,False,True
Indiana,10089,8976.6,9429.7,9588.0,8961.8,9106.0,9608.0,8978.9,8582.0,8567.2,8543.0,10678.7,9276.2,9106.2,,8687.0,9291.0,9443.4,8412.4,9871.0,7818.2,9035.5,9027.0,9318.2,9006.0,9410.0,9572.5,7870.0,9637.4,9040.4,10175.5,,8362.0,9832.5,9144.0,8763.3,8930.0,8611.2,,9113.3,9443.9,9074.0,9608.2,9138.0,9033.0,9771.6,7108.5,8809.5,-228.4,224.7,383.0,-243.2,-99.0,403.0,-226.1,-623.0,-637.8,-662.0,1473.7,71.2,-98.8,,-518.0,86.0,238.4,-792.6,666.0,-1386.8,-169.5,-178.0,113.2,-199.0,205.0,367.5,-1335.0,432.4,-164.6,970.5,,-843.0,627.5,-61.0,-441.7,-275.0,-593.8,,-91.7,238.9,-131.0,403.2,-67.0,-172.0,566.6,-2096.5,-395.5,True,False,False,True,False,True,False,False,False,False,True,True,,False,True,False,False,False,False,True,True,True,True,True,False,False,False,True,False,,False,False,True,False,False,False,,True,False,True,False,True,True,False,False,False
Iowa,4127,5106.7,5708.1,6197.0,5311.9,4327.0,3868.0,4111.0,3743.0,3428.4,3929.0,5350.7,5621.2,3932.5,,3427.8,5070.0,3951.5,3145.6,4464.0,3674.2,3629.6,3333.0,4372.2,4490.0,4303.3,4711.4,,4320.1,4272.3,5641.0,,5257.2,3480.0,4209.0,2944.4,4954.0,3896.6,,4555.6,4468.0,3942.0,,3869.0,4905.5,4006.5,3670.2,4923.8,979.7,1581.1,2070.0,1184.9,200.0,-259.0,-16.0,-384.0,-698.6,-198.0,1223.7,1494.2,-194.5,,-699.2,943.0,-175.5,-981.4,337.0,-452.8,-497.4,-794.0,245.2,363.0,176.3,584.4,,193.1,145.3,1514.0,,1130.2,-647.0,82.0,-1182.6,827.0,-230.4,,428.6,341.0,-185.0,,-258.0,778.5,-120.5,-456.8,796.8,False,False,False,True,True,True,True,True,True,False,False,True,,True,True,True,False,True,True,True,True,True,True,True,True,,True,True,False,,False,True,True,False,True,True,,True,True,True,,True,True,True,True,True
Kansas,3141,3175.1,3929.9,3797.0,3216.2,3055.0,3150.0,2761.0,2827.0,2636.2,3170.0,2965.0,3264.4,3304.6,,3290.1,3400.0,3346.6,2547.1,3322.0,2365.2,2940.3,2850.0,2831.5,3121.0,2975.1,3309.0,,2477.2,3336.2,4213.5,,,3889.3,3045.0,2789.5,2893.0,2808.2,,2982.4,3065.6,3322.0,,3006.0,2862.5,3403.6,2129.4,3259.0,34.1,788.9,656.0,75.2,-86.0,9.0,-380.0,-314.0,-504.8,29.0,-176.0,123.4,163.6,,149.1,259.0,205.6,-593.9,181.0,-775.8,-200.7,-291.0,-309.5,-20.0,-165.9,168.0,,-663.8,195.2,1072.5,,,748.3,-96.0,-351.5,-248.0,-332.8,,-158.6,-75.4,181.0,,-135.0,-278.5,262.6,-1011.6,118.0,False,False,False,False,True,False,False,False,True,False,False,False,,False,False,False,False,False,False,False,False,False,True,False,False,,False,False,False,,,False,False,False,False,False,,False,False,False,,False,False,False,False,False
Kentucky,2876,2727.7,2929.0,2986.0,2712.0,2887.0,3143.0,3276.2,2909.0,2838.5,2696.0,3177.5,2749.4,2982.5,,2837.1,3080.0,2963.3,2685.9,3454.0,2990.2,2834.7,2783.5,2966.6,3347.0,2904.6,3081.6,2847.0,3135.8,3023.4,2973.5,,2793.3,2842.4,2843.0,3390.7,2737.0,2727.1,,3129.1,2954.3,2931.0,,2879.0,2605.0,2817.5,2453.2,2915.4,-148.3,53.0,110.0,-164.0,11.0,267.0,400.2,33.0,-37.5,-180.0,301.5,-126.6,106.5,,-38.9,204.0,87.3,-190.1,578.0,114.2,-41.3,-92.5,90.6,471.0,28.6,205.6,-29.0,259.8,147.4,97.5,,-82.7,-33.6,-33.0,514.7,-139.0,-148.9,,253.1,78.3,55.0,,3.0,-271.0,-58.5,-422.8,39.4,True,True,False,True,False,False,True,True,False,False,True,True,,True,False,True,False,False,True,True,True,True,False,True,False,True,False,True,True,,True,True,True,False,True,False,,False,True,True,,True,False,True,False,True
Louisiana,7833,7720.6,7877.0,7869.0,7643.3,7737.0,7686.0,7661.5,7562.0,7683.0,8053.0,8296.1,7910.9,7878.4,,7485.0,7777.0,7901.9,7836.4,7851.0,7409.6,8087.3,7734.0,7759.9,7810.0,7963.6,7956.6,,7427.3,7963.1,7540.0,,7319.0,7704.7,7737.0,9402.7,7938.0,7723.5,,7561.2,8005.4,7950.0,,7618.0,7591.5,7592.8,7176.8,7904.9,-112.4,44.0,36.0,-189.7,-96.0,-147.0,-171.5,-271.0,-150.0,220.0,463.1,77.9,45.4,,-348.0,-56.0,68.9,3.4,18.0,-423.4,254.3,-99.0,-73.1,-23.0,130.6,123.6,,-405.7,130.1,-293.0,,-514.0,-128.3,-96.0,1569.7,105.0,-109.5,,-271.8,172.4,117.0,,-215.0,-241.5,-240.2,-656.2,71.9,True,True,False,True,False,False,False,False,False,False,True,True,,False,True,True,True,True,False,False,True,True,True,False,False,,False,False,False,,False,False,True,False,True,True,,False,False,False,,False,False,False,False,True
Maine,432,372.7,381.8,412.0,377.0,433.0,461.0,411.1,460.0,406.6,346.0,447.9,402.6,523.0,,360.7,487.0,450.5,439.7,448.0,449.2,470.0,419.0,386.9,497.0,501.7,420.6,,282.1,444.5,672.0,,,454.5,417.0,380.9,450.0,323.8,,421.6,555.4,414.0,,440.0,358.0,603.8,278.4,426.9,-59.3,-50.2,-20.0,-55.0,1.0,29.0,-20.9,28.0,-25.4,-86.0,15.9,-29.4,91.0,,-71.3,55.0,18.5,7.7,16.0,17.2,38.0,-13.0,-45.1,65.0,69.7,-11.4,,-149.9,12.5,240.0,,,22.5,-15.0,-51.1,18.0,-108.2,,-10.4,123.4,-18.0,,8.0,-74.0,171.8,-153.6,-5.1,True,True,True,True,True,True,True,True,False,True,True,False,,False,True,True,True,True,True,True,True,True,False,False,True,,False,True,False,,,True,True,True,True,False,,True,False,True,,True,False,False,False,True
Maryland,6246,6162.3,6389.0,6452.0,6219.8,6346.0,6541.0,6254.8,6239.0,6273.2,6279.0,6854.0,6500.3,6416.6,,6322.9,6175.0,6524.8,6078.5,6380.0,5843.3,6458.3,6748.0,6377.5,6328.0,6647.3,6575.7,,6102.1,6696.1,7520.0,,6214.5,6727.5,6346.0,5982.9,6287.0,6044.3,,6147.6,6695.5,6262.0,,6431.0,6726.5,6364.2,5313.3,6359.5,-83.7,143.0,206.0,-26.2,100.0,295.0,8.8,-7.0,27.2,33.0,608.0,254.3,170.6,,76.9,-71.0,278.8,-167.5,134.0,-402.7,212.3,502.0,131.5,82.0,401.3,329.7,,-143.9,450.1,1274.0,,-31.5,481.5,100.0,-263.1,41.0,-201.7,,-98.4,449.5,16.0,,185.0,480.5,118.2,-932.7,113.5,False,False,True,False,False,True,True,True,True,False,False,False,,True,True,False,False,False,False,False,False,False,True,False,False,,False,False,False,,True,False,False,False,True,False,,False,False,True,,False,False,False,False,False
Massachusetts,13074,12679.7,13366.1,13228.0,12723.0,13120.0,13385.0,13035.4,14450.0,12570.8,12911.0,13196.0,13334.9,14082.2,,12290.1,12915.0,13427.9,13157.0,13175.0,12585.4,13696.5,13344.0,13105.7,12854.0,13248.9,13429.7,,13866.1,12996.2,12396.5,,12589.1,12993.7,12843.0,13916.5,13016.0,12593.8,,12548.6,13312.0,13404.0,,13788.0,13082.0,13845.6,11695.5,13029.7,-394.3,292.1,154.0,-351.0,46.0,311.0,-38.6,1376.0,-503.2,-163.0,122.0,260.9,1008.2,,-783.9,-159.0,353.9,83.0,101.0,-488.6,622.5,270.0,31.7,-220.0,174.9,355.7,,792.1,-77.8,-677.5,,-484.9,-80.3,-231.0,842.5,-58.0,-480.2,,-525.4,238.0,330.0,,714.0,8.0,771.6,-1378.5,-44.3,True,True,True,True,True,True,False,False,True,True,True,False,,False,True,True,True,True,False,False,True,True,True,True,True,,False,True,False,,False,True,True,False,True,False,,False,True,True,,False,True,False,False,True
Michigan,14145,14566.1,15140.9,14952.0,14690.7,14127.0,13802.0,14150.3,13736.0,13975.3,13963.0,19657.2,14517.3,14120.6,,14450.9,14596.0,15341.8,13404.9,15101.0,12867.7,14092.3,14027.0,14326.2,14730.0,14816.7,15189.8,11552.0,11256.1,14957.5,13574.0,,13676.3,16352.2,14509.0,12840.0,13161.0,13404.2,,15445.8,14901.2,13932.0,16709.8,14262.0,14104.0,17078.1,11726.6,14551.0,421.1,995.9,807.0,545.7,-18.0,-343.0,5.3,-409.0,-169.7,-182.0,5512.2,372.3,-24.4,,305.9,451.0,1196.8,-740.1,956.0,-1277.3,-52.7,-118.0,181.2,585.0,671.7,1044.8,-2593.0,-2888.9,812.5,-571.0,,-468.7,2207.2,364.0,-1305.0,-984.0,-740.8,,1300.8,756.2,-213.0,2564.8,117.0,-41.0,2933.1,-2418.4,406.0,False,False,False,True,True,True,True,True,True,False,True,True,,True,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,,False,False,True,False,False,False,,False,False,True,False,True,True,False,False,True
Minnesota,5731,6277.3,6485.2,6610.0,6173.6,5992.0,6175.0,6080.0,5427.0,5785.4,6097.0,7455.7,5979.5,5659.6,,5681.1,6659.0,6266.2,5438.8,6636.0,5434.7,5639.4,5623.0,6179.8,6593.0,6054.9,6552.1,5040.5,5458.6,5698.3,6008.0,,8512.1,6631.3,5738.0,4816.1,5801.0,6091.4,,6856.2,6080.5,5800.0,,5827.0,6686.5,6205.8,4930.7,5744.6,546.3,754.2,879.0,442.6,261.0,444.0,349.0,-304.0,54.4,366.0,1724.7,248.5,-71.4,,-49.9,928.0,535.2,-292.2,905.0,-296.3,-91.6,-108.0,448.8,862.0,323.9,821.1,-690.5,-272.4,-32.7,277.0,,2781.1,900.3,7.0,-914.9,70.0,360.4,,1125.2,349.5,69.0,,96.0,955.5,474.8,-800.3,13.6,False,False,True,True,True,True,True,True,True,False,True,True,,True,False,True,True,False,True,True,True,True,False,True,False,False,True,True,True,,False,False,True,False,True,True,,False,True,True,,True,False,True,False,True
Mississippi,5146,5117.0,5451.3,5182.0,5104.1,5136.0,5021.0,5209.8,5779.0,4892.2,4772.0,5402.6,5165.2,5135.8,,4548.0,5066.0,5462.5,5118.7,5144.0,4564.6,5323.3,5250.0,5205.6,4974.0,5125.1,5293.0,,4983.5,5641.1,4727.5,,4681.3,5596.6,5240.0,4847.9,5205.0,5129.5,,4813.2,5176.1,5695.0,,5402.0,5122.0,5158.5,4493.7,5184.5,-29.0,305.3,36.0,-41.9,-10.0,-125.0,63.8,633.0,-253.8,-374.0,256.6,19.2,-10.2,,-598.0,-80.0,316.5,-27.3,-2.0,-581.4,177.3,104.0,59.6,-172.0,-20.9,147.0,,-162.5,495.1,-418.5,,-464.7,450.6,94.0,-298.1,59.0,-16.5,,-332.8,30.1,549.0,,256.0,-24.0,12.5,-652.3,38.5,False,False,False,True,False,False,False,False,False,False,True,True,,False,False,False,True,True,False,False,False,False,False,True,False,,False,False,False,,False,False,False,False,False,True,,False,False,False,,False,True,True,False,False
Missouri,6173,5862.6,6426.9,6252.0,5905.0,5920.0,6305.0,5719.9,5626.0,5424.4,6194.0,6281.0,5780.0,5671.8,,5300.0,6927.0,5969.1,5186.8,6416.0,5267.1,5891.8,6179.0,6085.8,6259.0,5956.5,6377.5,,6663.7,5695.3,7916.0,,5852.0,6766.4,5933.0,5991.8,5710.0,5345.5,,6012.5,6024.3,5802.0,,5872.0,5789.0,,4835.0,5035.4,-281.4,282.9,108.0,-239.0,-224.0,161.0,-424.1,-518.0,-719.6,50.0,137.0,-364.0,-472.2,,-844.0,783.0,-174.9,-957.2,272.0,-876.9,-252.2,35.0,-58.2,115.0,-187.5,233.5,,519.7,-448.7,1772.0,,-292.0,622.4,-211.0,-152.2,-434.0,-798.5,,-131.5,-119.7,-342.0,,-272.0,-355.0,,-1309.0,-1108.6,False,True,True,True,True,False,False,False,True,True,False,False,,False,False,True,False,True,False,True,True,True,True,True,True,,False,False,False,,False,False,True,True,False,False,,True,True,False,,True,False,,False,False
Montana,1054,1134.3,1066.1,1121.0,1144.0,1069.0,982.0,1069.8,974.0,1003.7,960.0,1372.2,1110.5,1025.5,,937.7,1231.0,1069.8,975.9,1140.0,988.7,1036.3,1032.0,1094.4,1191.0,1108.6,1137.0,,1154.2,1091.0,1053.0,,,1148.9,1076.0,1022.0,1018.0,1192.1,,1126.7,1160.3,1103.0,,1073.0,988.0,1081.5,956.8,1069.9,80.3,12.1,67.0,90.0,15.0,-72.0,15.8,-80.0,-50.3,-94.0,318.2,56.5,-28.5,,-116.3,177.0,15.8,-78.1,86.0,-65.3,-17.7,-22.0,40.4,137.0,54.6,83.0,,100.2,37.0,-1.0,,,94.9,22.0,-32.0,-36.0,138.1,,72.7,106.3,49.0,,19.0,-66.0,27.5,-97.2,15.9,True,True,False,True,True,True,True,True,False,False,True,True,,False,False,True,True,False,True,True,True,True,False,True,False,,False,True,True,,,False,True,True,True,False,,True,False,True,,True,True,True,False,True
Nebraska,1737,2021.0,2238.2,2310.0,2048.9,1961.0,1817.0,1919.0,1851.0,1856.7,1908.0,2724.0,1999.5,2067.8,,1855.5,2252.0,2051.0,1787.4,2134.0,1680.1,1828.8,1909.0,1980.3,2203.0,2058.6,2222.9,,1824.0,1854.3,3103.0,,,2279.9,1920.0,1613.7,1891.0,1729.4,,2171.4,2107.8,1752.0,,1875.0,2157.0,2749.5,1600.7,2295.4,284.0,501.2,573.0,311.9,224.0,80.0,182.0,114.0,119.7,171.0,987.0,262.5,330.8,,118.5,515.0,314.0,50.4,397.0,-56.9,91.8,172.0,243.3,466.0,321.6,485.9,,87.0,117.3,1366.0,,,542.9,183.0,-123.3,154.0,-7.6,,434.4,370.8,15.0,,138.0,420.0,1012.5,-136.3,558.4,False,False,False,True,True,True,True,True,True,False,True,False,,True,False,False,True,False,True,True,True,True,False,False,False,,True,True,False,,,False,True,True,True,True,,False,False,True,,True,False,False,True,False
Nevada,3450,3403.0,3700.1,3770.0,3396.3,3504.0,3700.0,3406.9,3450.0,3399.9,3233.0,4319.9,3624.7,3635.3,,3269.5,3356.0,3631.1,3441.3,3684.0,3076.4,3766.5,3491.0,3532.1,3717.0,3427.6,3651.3,,3252.2,3703.4,3892.0,,3115.2,3767.0,3526.0,3853.5,3516.0,3338.6,,3309.3,3473.3,3402.0,,3549.0,3791.5,3776.8,2764.5,3435.1,-47.0,250.1,320.0,-53.7,54.0,250.0,-43.1,0.0,-50.1,-217.0,869.9,174.7,185.3,,-180.5,-94.0,181.1,-8.7,234.0,-373.6,316.5,41.0,82.1,267.0,-22.4,201.3,,-197.8,253.4,442.0,,-334.8,317.0,76.0,403.5,66.0,-111.4,,-140.7,23.3,-48.0,,99.0,341.5,326.8,-685.5,-14.9,False,False,False,False,False,True,True,False,False,False,False,False,,False,False,False,True,False,False,False,True,False,False,True,False,,False,False,False,,False,False,False,False,False,False,,False,True,False,,False,False,False,False,True
New Hampshire,862,753.4,966.8,819.0,764.0,866.0,960.0,862.4,900.0,738.6,809.0,749.7,796.9,918.8,,853.7,856.0,875.1,812.2,898.0,857.4,1003.8,887.0,821.1,859.0,793.5,871.2,,877.2,819.2,763.0,,,877.6,860.0,1082.7,883.0,731.3,,784.5,848.4,941.0,,888.0,1022.0,981.2,629.6,808.7,-108.6,104.8,-43.0,-98.0,4.0,98.0,0.4,38.0,-123.4,-53.0,-112.3,-65.1,56.8,,-8.3,-6.0,13.1,-49.8,36.0,-4.6,141.8,25.0,-40.9,-3.0,-68.5,9.2,,15.2,-42.8,-99.0,,,15.6,-2.0,220.7,21.0,-130.7,,-77.5,-13.6,79.0,,26.0,160.0,119.2,-232.4,-53.3,True,True,True,True,True,True,True,False,True,False,True,True,,True,True,True,True,True,True,False,True,True,True,True,True,,True,True,True,,,True,True,False,True,False,,True,True,True,,True,False,False,False,True
New Jersey,19854,19409.6,19920.2,19846.0,19435.6,19658.0,19658.0,19527.9,19442.0,19242.2,18973.0,20212.9,19662.8,20142.5,,19047.5,19365.0,19724.5,19113.8,20081.0,18956.1,19696.0,20643.0,19611.8,19815.0,19920.6,20000.0,,18591.6,20091.9,20471.5,,18648.0,19589.8,20051.0,19688.7,19241.0,19644.6,,19152.2,19981.5,19610.0,,19725.0,19948.0,19151.6,18074.7,19723.1,-444.4,66.2,-8.0,-418.4,-196.0,-196.0,-326.1,-412.0,-611.8,-881.0,358.9,-191.2,288.5,,-806.5,-489.0,-129.5,-740.2,227.0,-897.9,-158.0,789.0,-242.2,-39.0,66.6,146.0,,-1262.4,237.9,617.5,,-1206.0,-264.2,197.0,-165.3,-613.0,-209.4,,-701.8,127.5,-244.0,,-129.0,94.0,-702.4,-1779.3,-130.9,True,True,True,True,True,True,True,False,False,True,True,True,,False,False,True,False,True,False,True,False,True,True,True,True,,False,True,False,,False,True,True,True,False,True,,False,True,True,,True,True,False,False,True
New Mexico,2732,2759.3,2658.5,3018.0,2613.4,2659.0,2767.0,2739.1,2402.0,2875.8,2588.0,3751.4,2590.5,2878.6,,2871.4,2862.0,2922.6,2421.9,2681.0,2361.2,2631.4,2614.0,2716.4,2781.0,3054.3,2883.2,,2584.6,2657.6,3337.0,,,2797.8,2757.0,2594.7,2599.0,2269.7,,2873.4,3090.6,2785.0,,2524.0,2737.5,2738.2,2195.5,2790.6,27.3,-73.5,286.0,-118.6,-73.0,35.0,7.1,-330.0,143.8,-144.0,1019.4,-141.5,146.6,,139.4,130.0,190.6,-310.1,-51.0,-370.8,-100.6,-118.0,-15.6,49.0,322.3,151.2,,-147.4,-74.4,605.0,,,65.8,25.0,-137.3,-133.0,-462.3,,141.4,358.6,53.0,,-208.0,5.5,6.2,-536.5,58.6,False,False,False,False,False,True,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,True,False,False,False,,False,False,False,,,False,True,False,False,False,,False,False,False,,False,True,True,False,False
New York,39471,37867.4,39125.5,38685.0,37632.7,38419.0,38153.0,38642.7,38778.0,37821.2,38498.0,38628.2,37961.5,38647.1,,37793.2,38157.0,38509.3,38557.4,39019.0,38265.1,39165.6,38756.0,38740.6,38690.0,37809.0,38514.9,,36901.4,38493.4,36807.5,,36492.9,37439.7,40083.0,40382.6,38344.0,38033.7,,37907.0,37871.2,39134.0,,38695.0,38714.5,37505.4,35598.8,38935.8,-1540.6,-282.5,-723.0,-1775.3,-989.0,-1255.0,-765.3,-630.0,-1586.8,-910.0,-779.8,-1446.5,-760.9,,-1614.8,-1251.0,-898.7,-850.6,-389.0,-1142.9,-242.4,-652.0,-667.4,-718.0,-1599.0,-893.1,,-2506.6,-914.6,-2600.5,,-2915.1,-1968.3,675.0,974.6,-1064.0,-1374.3,,-1501.0,-1536.8,-274.0,,-713.0,-693.5,-1902.6,-3809.2,-472.2,True,True,False,True,True,True,True,False,True,True,True,True,,False,True,True,True,True,True,True,True,True,True,False,True,,False,True,False,,False,False,True,True,True,True,,True,True,True,,True,True,False,False,True
