,actual_deaths,Baseline,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,UCLA-SuEIR,UCM_MESALab-FoGSEIR,Wadhwani_AI-BayesOpt,WalmartLabsML-LogForecasting,error-Baseline,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-Wadhwani_AI-BayesOpt,error-WalmartLabsML-LogForecasting,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-Wadhwani_AI-BayesOpt,beat_baseline-WalmartLabsML-LogForecasting
Mississippi,5146,4713.9,4798.7,5171.0,4854.6,4605.0,,4808.6,4672.0,5089.2,5246.6,4402.0,5066.7,5061.0,4688.0,4135.0,,4844.0,,4707.0,4282.2,-432.1,-347.3,25.0,-291.4,-541.0,,-337.4,-474.0,-56.8,100.6,-744.0,-79.3,-85.0,-458.0,-1011.0,,-302.0,,-439.0,-863.8,True,True,True,False,,True,False,True,True,False,True,True,False,False,,True,,False,False
Missouri,6173,6392.0,6436.2,4687.0,5361.1,6504.0,,5610.3,5985.0,6230.4,4838.2,5167.7,5704.9,5650.0,6487.7,6584.0,,6182.9,,,4576.1,248.0,292.2,-1457.0,-782.9,360.0,,-533.7,-159.0,86.4,-1305.8,-976.3,-439.1,-494.0,343.7,440.0,,38.9,,,-1567.9,False,False,False,False,,False,True,True,False,False,False,False,False,False,,True,,,False
Montana,1054,1051.7,1059.0,904.0,1155.6,943.0,,1674.9,1196.0,1229.4,1049.8,962.9,1035.2,1018.0,835.6,1035.0,,1098.2,,1060.2,894.4,-2.3,5.0,-150.0,101.6,-111.0,,620.9,142.0,175.4,-4.2,-91.1,-18.8,-36.0,-218.4,-19.0,,44.2,,6.2,-159.6,False,False,False,False,,False,False,False,False,False,False,False,False,False,,False,,False,False
Nebraska,1737,2254.1,2218.7,1449.0,1822.7,1807.0,,2395.0,2391.0,1973.8,1672.2,1651.7,1881.2,2332.0,1692.4,2239.0,,2128.4,,1935.8,1429.7,517.1,481.7,-288.0,85.7,70.0,,658.0,654.0,236.8,-64.8,-85.3,144.2,595.0,-44.6,502.0,,391.4,,198.8,-307.3,True,True,True,True,,False,False,True,True,True,True,False,True,True,,True,,True,True
Nevada,3450,3184.4,3210.9,3243.0,3327.0,3162.0,,3153.9,3129.0,3699.3,3448.4,2993.6,3788.2,3957.5,2357.3,3302.5,,3270.7,,3189.9,2542.5,-265.6,-239.1,-207.0,-123.0,-288.0,,-296.1,-321.0,249.3,-1.6,-456.4,338.2,507.5,-1092.7,-147.5,,-179.3,,-260.1,-907.5,True,True,True,False,,False,False,True,True,False,False,False,False,True,,True,,True,False
New Hampshire,862,748.6,739.0,706.0,661.5,862.0,,603.6,763.0,743.0,742.3,868.4,882.5,794.0,814.7,663.0,,738.3,,645.8,586.0,-113.4,-123.0,-156.0,-200.5,0.0,,-258.4,-99.0,-119.0,-119.7,6.4,20.5,-68.0,-47.3,-199.0,,-123.7,,-216.2,-276.0,False,False,False,True,,False,True,False,False,True,True,True,True,False,,False,,False,False
New Jersey,19854,18987.0,19021.9,18382.0,19366.7,18882.0,,20211.9,18786.0,19469.9,19011.9,18864.4,19628.6,19048.0,18179.6,17340.0,,19342.1,,18911.3,17561.8,-867.0,-832.1,-1472.0,-487.3,-972.0,,357.9,-1068.0,-384.1,-842.1,-989.6,-225.4,-806.0,-1674.4,-2514.0,,-511.9,,-942.7,-2292.2,True,False,True,False,,True,False,True,True,False,True,True,False,False,,True,,False,False
New Mexico,2732,2764.1,2793.1,2497.0,3360.6,2670.0,,3427.2,2638.0,3353.1,2872.6,2347.5,2753.4,2614.0,2446.8,3684.5,,2502.4,,2682.3,1994.9,32.1,61.1,-235.0,628.6,-62.0,,695.2,-94.0,621.1,140.6,-384.5,21.4,-118.0,-285.2,952.5,,-229.6,,-49.7,-737.1,False,False,False,False,,False,False,False,False,False,True,False,False,False,,False,,False,False
New York,39471,36886.3,36921.8,37720.0,38519.3,38632.0,,37978.6,37016.0,37574.6,39624.2,38390.0,39447.3,39084.0,36161.9,34821.0,,37399.8,,36190.2,35064.7,-2545.7,-2510.2,-1712.0,-912.7,-800.0,,-1453.4,-2416.0,-1857.4,192.2,-1042.0,15.3,-348.0,-3270.1,-4611.0,,-2032.2,,-3241.8,-4367.3,True,True,True,True,,True,True,True,True,True,True,True,False,False,,True,,False,False
North Carolina,7425,7014.7,7001.0,7553.0,6878.6,7089.0,,7967.9,6834.0,7611.0,7488.6,7348.0,7767.3,7766.5,6419.9,6774.5,,7045.7,,6674.0,6146.5,-410.3,-424.0,128.0,-546.4,-336.0,,542.9,-591.0,186.0,63.6,-77.0,342.3,341.5,-1005.1,-650.5,,-379.3,,-751.0,-1278.5,False,True,False,True,,False,False,True,True,True,True,True,False,False,,True,,False,False
North Dakota,1360,1470.7,1473.0,1072.0,1433.2,1210.0,,1406.2,1491.0,1438.0,1280.2,1153.3,1273.9,1218.0,1306.8,1298.0,,1098.0,,1362.0,1205.7,110.7,113.0,-288.0,73.2,-150.0,,46.2,131.0,78.0,-79.8,-206.7,-86.1,-142.0,-53.2,-62.0,,-262.0,,2.0,-154.3,False,False,True,False,,True,False,True,True,False,True,False,True,True,,False,,True,False
Ohio,14681,9679.0,9787.3,8807.0,10356.6,10700.0,,9732.0,9802.0,10946.2,9576.7,10263.3,10187.0,11105.5,8828.2,9711.5,,10208.4,,12131.1,7609.6,-2969.0,-2860.7,-3841.0,-2291.4,-1948.0,,-2916.0,-2846.0,-1701.8,-3071.3,-2384.7,-2461.0,-1542.5,-3819.8,-2936.5,,-2439.6,,-516.9,-5038.4,True,False,True,True,,True,True,True,False,True,True,True,False,True,,True,,True,False
Oklahoma,2738,2673.1,2658.9,2283.0,2662.5,3298.0,,2830.2,2749.0,2775.4,2482.3,2675.2,2729.3,2497.0,2319.7,2656.0,,2887.7,,2549.2,2152.7,-64.9,-79.1,-455.0,-75.5,560.0,,92.2,11.0,37.4,-255.7,-62.8,-8.7,-241.0,-418.3,-82.0,,149.7,,-188.8,-585.3,False,False,False,False,,False,True,True,False,True,True,False,False,False,,False,,False,False
Oregon,1603,1654.7,1682.1,1650.0,1568.7,1713.0,,1950.0,1647.0,1971.2,1792.6,1820.0,2219.2,2319.0,1088.4,1688.0,,1776.1,,1801.8,1178.0,51.7,79.1,47.0,-34.3,110.0,,347.0,44.0,368.2,189.6,217.0,616.2,716.0,-514.6,85.0,,173.1,,198.8,-425.0,False,True,True,False,,False,True,False,False,False,False,False,False,False,,False,,False,False
Pennsylvania,17626,15908.1,15976.6,15363.0,17068.3,18202.0,,17328.3,16107.0,17532.7,17304.7,15350.0,21036.3,20449.5,16050.6,13472.0,,16084.3,,15426.3,11949.6,-1717.9,-1649.4,-2263.0,-557.7,576.0,,-297.7,-1519.0,-93.3,-321.3,-2276.0,3410.3,2823.5,-1575.4,-4154.0,,-1541.7,,-2199.7,-5676.4,True,False,True,True,,True,True,True,True,False,False,False,True,False,,True,,False,False
Rhode Island,2062,1738.4,1748.4,1735.0,1786.2,1750.0,,1734.3,1663.0,1832.9,1934.4,1635.5,2041.5,1800.0,2006.9,1679.0,,1695.9,,1760.2,1413.3,-239.6,-229.6,-243.0,-191.8,-228.0,,-243.7,-315.0,-145.1,-43.6,-342.5,63.5,-178.0,28.9,-299.0,,-282.1,,-217.8,-564.7,True,False,True,True,,False,False,True,True,False,True,True,True,False,,False,,True,False
South Carolina,5758,5600.6,5372.1,4970.0,5126.2,5449.0,,6127.3,5166.0,5551.3,5385.3,5307.6,5703.7,5459.0,4951.5,8138.5,,5581.7,,5166.6,4932.1,-157.4,-385.9,-788.0,-631.8,-309.0,,369.3,-592.0,-206.7,-372.7,-450.4,-54.3,-299.0,-806.5,2380.5,,-176.3,,-591.4,-825.9,False,False,False,False,,False,False,False,False,False,True,False,False,False,,False,,False,False
South Dakota,1570,1921.1,1836.0,1340.0,1742.2,1728.0,,1862.2,2076.0,2018.8,1592.3,1270.8,1664.4,1555.0,1494.3,1565.0,,1500.9,,2105.5,1436.5,351.1,266.0,-230.0,172.2,158.0,,292.2,506.0,448.8,22.3,-299.2,94.4,-15.0,-75.7,-5.0,,-69.1,,535.5,-133.5,True,True,True,True,,True,False,False,True,True,True,True,True,True,,True,,False,True
Tennessee,7704,6832.4,6724.2,6594.0,7446.5,7259.0,,7671.5,6890.0,7511.5,7251.2,6254.9,7723.0,7171.0,6308.6,6855.0,,6894.2,,6682.6,5565.9,-871.6,-979.8,-1110.0,-257.5,-445.0,,-32.5,-814.0,-192.5,-452.8,-1449.1,19.0,-533.0,-1395.4,-849.0,,-809.8,,-1021.4,-2138.1,False,False,True,True,,True,True,True,True,False,True,True,False,True,,True,,False,False
Texas,30313,29422.1,29385.7,25798.0,29690.6,29413.0,,30931.1,29708.0,31989.3,32452.9,27461.2,31438.9,29534.0,25628.9,28541.5,,29024.8,,28183.5,25329.7,-594.9,-631.3,-4219.0,-326.4,-604.0,,914.1,-309.0,1972.3,2435.9,-2555.8,1421.9,-483.0,-4388.1,-1475.5,,-992.2,,-1833.5,-4687.3,False,False,True,False,,False,True,False,False,False,False,True,False,False,,False,,False,False
Utah,1390,1283.9,1319.0,1119.0,1660.2,1310.0,,1603.0,1400.0,1588.1,1279.1,1247.5,1381.4,1268.0,2146.5,1577.0,,1272.1,,1427.2,800.7,-106.1,-71.0,-271.0,270.2,-80.0,,213.0,10.0,198.1,-110.9,-142.5,-8.6,-122.0,756.5,187.0,,-117.9,,37.2,-589.3,True,False,False,True,,False,True,False,False,False,True,False,False,False,,False,,True,False
Vermont,156,137.3,139.0,115.0,114.6,173.0,,90.5,81.5,155.4,140.2,148.7,207.7,103.0,101.4,107.0,,142.3,,204.9,82.5,-18.7,-17.0,-41.0,-41.4,17.0,,-65.5,-74.5,-0.6,-15.8,-7.3,51.7,-53.0,-54.6,-49.0,,-13.7,,48.9,-73.5,True,False,False,True,,False,False,True,True,True,False,False,False,False,,True,,False,False
Virginia,5381,4889.7,4912.4,5174.0,5193.9,4824.0,,6951.7,5075.0,5425.0,5395.3,5372.3,5505.5,5324.0,4920.0,5174.0,,4872.6,,4962.1,4534.1,-491.3,-468.6,-207.0,-187.1,-557.0,,1570.7,-306.0,44.0,14.3,-8.7,124.5,-57.0,-461.0,-207.0,,-508.4,,-418.9,-846.9,True,True,True,False,,False,True,True,True,True,True,True,True,True,,False,,True,False
Washington,3698,4003.3,4034.6,3657.0,3885.6,4877.0,,3616.5,3916.0,4079.2,3993.9,4094.9,3976.2,3443.0,3465.2,4181.0,,4350.1,,,3158.9,263.3,294.6,-83.0,145.6,1137.0,,-123.5,176.0,339.2,253.9,354.9,236.2,-297.0,-274.8,441.0,,610.1,,,-581.1,False,True,True,False,,True,True,False,True,False,True,False,False,False,,False,,,False
West Virginia,1570,1367.4,1384.0,952.0,1668.5,1695.0,,1639.4,1307.0,1619.9,1529.7,1344.4,1865.0,1292.0,983.7,1185.0,,1575.1,,1213.8,1002.4,-202.6,-186.0,-618.0,98.5,125.0,,69.4,-263.0,49.9,-40.3,-225.6,295.0,-278.0,-586.3,-385.0,,5.1,,-356.2,-567.6,True,False,True,True,,True,False,True,True,False,False,False,False,False,,True,,False,False
Wisconsin,5567,6210.6,6283.7,4446.0,5061.5,4562.0,,6167.9,6090.0,5911.3,4738.7,5262.5,5382.7,6434.5,5496.9,5938.0,,6240.6,,5754.5,4732.1,643.6,716.7,-1121.0,-505.5,-1005.0,,600.9,523.0,344.3,-828.3,-304.5,-184.3,867.5,-70.1,371.0,,673.6,,187.5,-834.9,False,False,True,False,,True,True,True,False,True,True,False,True,True,,False,,True,False
Wyoming,489,513.7,521.0,318.0,534.9,446.0,,632.9,507.0,455.5,416.1,380.8,411.2,447.0,568.2,558.0,,371.3,,522.0,331.8,24.7,32.0,-171.0,45.9,-43.0,,143.9,18.0,-33.5,-72.9,-108.2,-77.8,-42.0,79.2,69.0,,-117.7,,33.0,-157.2,False,False,False,False,,False,True,False,False,False,False,False,False,False,,False,,False,False
US,379070,357225.3,356901.9,359862.0,360461.7,355436.0,368523.0,371714.2,356320.0,377361.0,363020.0,343571.2,380695.1,371972.0,335900.8,369144.5,366071.8,359689.2,381008.0,,304793.6,-18593.7,-18917.1,-15957.0,-15357.3,-20383.0,-7296.0,-4104.8,-19499.0,1542.0,-12799.0,-32247.8,4876.1,-3847.0,-39918.2,-6674.5,-9747.2,-16129.8,5189.0,,-71025.4,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,True,True,,False
