,actual_deaths,Baseline,BPagano-RtDriven,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,error-Baseline,error-BPagano-RtDriven,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,beat_baseline-BPagano-RtDriven,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR
Ohio,9599,6715.1,16022.3,7458.4,8480.0,6960.0,,6326.6,-2883.9,6423.3,-2140.6,-1119.0,-2639.0,,-3272.4,False,True,True,True,,False
Oklahoma,2738,2095.9,3021.6,1985.7,3031.5,2032.0,,1898.8,-642.1,283.6,-752.3,293.5,-706.0,,-839.2,True,False,True,False,,False
Oregon,1603,1011.3,1412.4,1041.7,1313.2,855.0,,936.4,-591.7,-190.6,-561.3,-289.8,-748.0,,-666.6,True,True,True,False,,False
Pennsylvania,17626,10623.0,11776.4,11961.3,14914.8,10280.0,,9371.5,-7003.0,-5849.6,-5664.7,-2711.2,-7346.0,,-8254.5,True,True,True,False,,False
Rhode Island,1916,1448.4,1590.0,1922.1,1591.9,1381.0,,1270.5,-467.6,-326.0,6.1,-324.1,-535.0,,-645.5,True,True,True,False,,False
South Carolina,5758,5452.3,7665.0,4799.0,5765.7,4533.0,,4915.6,-305.7,1907.0,-959.0,7.7,-1225.0,,-842.4,False,False,True,False,,False
South Dakota,1570,939.6,1115.5,1239.9,830.1,798.0,,615.3,-630.4,-454.5,-330.1,-739.9,-772.0,,-954.7,True,True,False,False,,False
Tennessee,7704,5541.3,7028.1,6416.9,6476.5,5119.0,,4935.3,-2162.7,-675.9,-1287.1,-1227.5,-2585.0,,-2768.7,True,True,True,False,,False
Texas,30313,23275.0,23540.1,22868.5,25953.5,22913.0,39617.0,21992.9,-6732.0,-6466.9,-7138.5,-4053.5,-7094.0,9610.0,-8014.1,True,False,True,False,False,False
Utah,1390,886.9,1058.5,1398.1,1933.3,1006.0,,871.0,-503.1,-331.5,8.1,543.3,-384.0,,-519.0,True,True,False,True,,False
Vermont,156,58.0,59.1,62.1,62.8,58.0,,58.0,-98.0,-96.9,-93.9,-93.2,-98.0,,-98.0,True,True,True,False,,False
Virginia,5381,5149.3,8305.1,4726.9,4616.1,4652.0,,4197.3,-227.7,2928.1,-650.1,-760.9,-725.0,,-1179.7,False,False,False,False,,False
Washington,3698,2914.9,3925.6,3063.9,3360.6,2846.0,,2859.3,-794.1,216.6,-645.1,-348.4,-863.0,,-849.7,True,True,True,False,,False
West Virginia,1570,674.7,1449.3,729.1,767.4,778.0,,632.8,-895.3,-120.7,-840.9,-802.6,-792.0,,-937.2,True,True,True,True,,False
Wisconsin,5567,3992.9,7213.2,3922.7,5205.7,3682.0,,2990.9,-1271.1,1949.2,-1341.3,-58.3,-1582.0,,-2273.1,False,False,True,False,,False
Wyoming,489,187.4,748.9,254.6,109.1,119.0,,99.7,-301.6,259.9,-234.4,-379.9,-370.0,,-389.3,True,True,False,False,,False
US,372530,285540.4,322815.3,352361.6,335560.0,277222.0,272265.0,268438.5,-86152.6,-48877.7,-19331.4,-36133.0,-94471.0,-99428.0,-103254.5,True,True,True,False,False,False
