,actual_deaths,Baseline,BPagano-RtDriven,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,error-Baseline,error-BPagano-RtDriven,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,beat_baseline-BPagano-RtDriven,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR
New Jersey,19854,16649.7,16549.8,16861.9,16461.9,16448.0,,16451.7,-3204.3,-3304.2,-2992.1,-3392.1,-3406.0,,-3402.3,False,True,False,False,,False
New Mexico,2732,1206.7,1547.8,1791.7,1538.3,1105.0,,1052.5,-1525.3,-1184.2,-940.3,-1193.7,-1627.0,,-1679.5,True,True,True,False,,False
New York,39471,34104.0,33576.3,34030.6,37783.2,33773.0,,33751.7,-5165.0,-5692.7,-5238.4,-1485.8,-5496.0,,-5517.3,False,False,True,False,,False
North Carolina,7425,5878.6,10370.0,5980.6,7385.1,5374.0,,5208.3,-1546.4,2945.0,-1444.4,-39.9,-2051.0,,-2216.7,False,True,True,False,,False
North Dakota,1360,1198.4,1217.6,1266.2,1037.4,1033.0,,640.8,-161.6,-142.4,-93.8,-322.6,-327.0,,-719.2,True,True,False,False,,False
Ohio,9599,5873.3,5805.7,7320.7,8480.0,6672.0,,6128.2,-3725.7,-3793.3,-2278.3,-1119.0,-2927.0,,-3470.8,False,True,True,True,,True
Oklahoma,2738,2036.6,3720.7,1770.1,2173.8,1932.0,,1814.8,-701.4,982.7,-967.9,-564.2,-806.0,,-923.2,False,False,True,False,,False
Oregon,1603,869.0,892.5,1045.6,1362.6,770.0,,885.9,-734.0,-710.5,-557.4,-240.4,-833.0,,-717.1,True,True,True,False,,True
Pennsylvania,17626,10065.7,10383.6,10536.3,13704.7,9676.0,,8987.4,-7560.3,-7242.4,-7089.7,-3921.3,-7950.0,,-8638.6,True,True,True,False,,False
Rhode Island,1916,1412.9,2006.0,1314.4,1289.3,1249.0,,1189.1,-503.1,90.0,-601.6,-626.7,-667.0,,-726.9,True,False,False,False,,False
South Carolina,5758,4812.0,4835.0,4461.0,5676.2,4213.0,,4662.2,-946.0,-923.0,-1297.0,-81.8,-1545.0,,-1095.8,True,False,True,False,,False
South Dakota,1570,761.7,730.7,1099.2,862.4,588.0,,380.3,-808.3,-839.3,-470.8,-707.6,-982.0,,-1189.7,False,True,True,False,,False
Tennessee,7704,4592.7,4881.7,5567.5,6948.8,4640.0,,4737.9,-3111.3,-2822.3,-2136.5,-755.2,-3064.0,,-2966.1,True,True,True,True,,True
Texas,30313,23322.4,24193.7,21790.5,26636.1,23368.0,40355.0,21820.9,-6702.6,-5831.3,-8234.5,-3388.9,-6657.0,10330.0,-8204.1,True,False,True,True,False,False
Utah,1390,851.3,769.2,1254.7,2795.0,878.0,,828.2,-538.7,-620.8,-135.3,1405.0,-512.0,,-561.8,False,True,False,True,,False
Vermont,156,58.0,59.3,66.2,62.3,58.0,,59.9,-98.0,-96.7,-89.8,-93.7,-98.0,,-96.1,True,True,True,False,,True
Virginia,5381,4319.3,5037.4,4401.6,5861.1,4255.0,,3798.3,-1058.7,-340.6,-976.4,483.1,-1123.0,,-1579.7,True,True,True,False,,False
Washington,3698,2820.0,3898.0,2728.1,3380.0,2647.0,,2847.1,-896.0,182.0,-987.9,-336.0,-1069.0,,-868.9,True,False,True,False,,True
West Virginia,1570,603.6,853.3,639.6,855.9,693.0,,614.4,-966.4,-716.7,-930.4,-714.1,-877.0,,-955.6,True,True,True,True,,True
Wisconsin,5567,2866.4,3918.1,3362.3,5396.6,2818.0,,2534.6,-2475.6,-1423.9,-1979.7,54.6,-2524.0,,-2807.4,True,True,True,False,,False
Wyoming,489,92.6,186.8,171.2,108.6,105.0,,77.7,-396.4,-302.2,-317.8,-380.4,-384.0,,-411.3,True,True,True,True,,False
US,372530,277845.1,316983.2,264285.6,334994.6,264088.0,272850.0,266572.5,-93993.9,-54855.8,-107553.4,-36844.4,-107751.0,-98989.0,-105266.5,True,False,True,False,False,False
