,actual_deaths,Baseline,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,UCLA-SuEIR,USACE-ERDC_SEIR,WalmartLabsML-LogForecasting,error-Baseline,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-WalmartLabsML-LogForecasting,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-WalmartLabsML-LogForecasting
Georgia,11457,10871.1,10894.7,9345.0,12339.8,,11151.0,11968.7,10063.6,10337.8,10290.0,10907.0,10907.0,,10990.2,11735.1,10133.1,-585.9,-562.3,-2112.0,882.8,,-306.0,511.7,-1393.4,-1119.2,-1167.0,-550.0,-550.0,,-466.8,278.1,-1323.9,True,False,False,,True,True,False,False,False,True,True,,True,True,False
Hawaii,307,308.4,294.4,257.0,289.1,,,242.1,247.4,388.2,280.0,769.6,280.0,,279.2,269.9,267.1,1.4,-12.6,-50.0,-17.9,,,-64.9,-59.6,81.2,-27.0,462.6,-27.0,,-27.8,-37.1,-39.9,False,False,False,,,False,False,False,False,False,False,,False,False,False
Idaho,1528,1335.9,1309.2,1577.0,1789.8,,1461.0,1763.2,1379.9,1347.2,1404.0,1349.4,1839.0,,1198.2,1346.8,1090.2,-192.1,-218.8,49.0,261.8,,-67.0,235.2,-148.1,-180.8,-124.0,-178.6,311.0,,-329.8,-181.2,-437.8,False,True,False,,True,False,True,True,True,True,False,,False,True,False
Illinois,19210,17755.1,18161.8,16243.0,22141.2,,17827.0,21186.3,16790.3,16415.0,17252.5,15303.8,16348.0,,17865.1,24556.7,14066.1,-1454.9,-1048.2,-2967.0,2931.2,,-1383.0,1976.3,-2419.7,-2795.0,-1957.5,-3906.2,-2862.0,,-1344.9,5346.7,-5143.9,True,False,False,,True,False,False,False,False,False,False,,True,False,False
Indiana,10089,7910.7,8164.4,8880.0,10572.9,,8263.0,10204.7,8223.2,7364.8,7031.0,9672.7,8375.0,,8161.6,11952.5,6036.7,-1512.3,-1258.6,-543.0,1149.9,,-1160.0,781.7,-1199.8,-2058.2,-2392.0,249.7,-1048.0,,-1261.4,2529.5,-3386.3,True,True,True,,True,True,True,False,False,True,True,,True,False,False
Iowa,4127,3552.9,3478.9,2940.0,4430.6,,3708.0,4071.9,3045.7,3361.0,3117.0,4194.3,3309.0,,3415.5,3955.4,2767.9,-574.1,-648.1,-1187.0,303.6,,-419.0,-55.1,-1081.3,-766.0,-1010.0,67.3,-818.0,,-711.5,-171.6,-1359.1,False,False,True,,True,True,False,False,False,True,False,,False,True,False
Kansas,3141,2226.0,2242.3,2673.0,3158.3,,2512.0,2996.3,2522.4,2317.8,2260.0,2395.9,2409.0,,2545.4,2286.9,1686.2,-915.0,-898.7,-468.0,17.3,,-629.0,-144.7,-618.6,-823.2,-881.0,-745.1,-732.0,,-595.6,-854.1,-1454.8,True,True,True,,True,True,True,True,True,True,True,,True,True,False
Kentucky,2876,2534.4,2497.0,3105.0,3021.1,,2875.5,3030.4,2875.1,3062.1,2857.5,2315.4,2748.0,,2627.6,3705.6,2165.7,-341.6,-379.0,229.0,145.1,,-0.5,154.4,-0.9,186.1,-18.5,-560.6,-128.0,,-248.4,829.6,-710.3,False,True,True,,True,True,True,True,True,False,True,,True,False,False
Louisiana,7833,7268.0,7337.6,14070.0,8930.5,,7183.0,8097.5,9223.0,7404.3,7049.0,7397.7,7581.0,,7494.0,8380.1,6890.6,-565.0,-495.4,6237.0,1097.5,,-650.0,264.5,1390.0,-428.7,-784.0,-435.3,-252.0,,-339.0,547.1,-942.4,True,False,False,,False,True,False,True,False,True,True,,True,True,False
Maine,432,278.9,293.0,249.0,440.3,,356.0,362.9,303.2,456.2,232.0,219.8,302.0,,216.4,351.8,206.1,-153.1,-139.0,-183.0,8.3,,-76.0,-69.1,-128.8,24.2,-200.0,-212.2,-130.0,,-215.6,-80.2,-225.9,True,False,True,,True,True,True,True,False,False,True,,False,True,False
Maryland,6246,5743.7,5723.3,7457.0,6376.1,,5584.0,6365.6,6169.9,5739.2,6176.5,5712.4,6311.5,,5587.8,7156.9,4825.4,-502.3,-522.7,1211.0,130.1,,-662.0,119.6,-76.1,-506.8,-69.5,-533.6,65.5,,-658.2,910.9,-1420.6,False,False,True,,False,True,True,False,True,False,True,,False,False,False
Massachusetts,13074,11952.0,11812.4,12095.0,13198.2,,11971.0,12945.3,12053.1,12227.6,11946.0,12896.3,11120.0,,11558.0,17278.6,11167.7,-1122.0,-1261.6,-979.0,124.2,,-1103.0,-128.7,-1020.9,-846.4,-1128.0,-177.7,-1954.0,,-1516.0,4204.6,-1906.3,False,True,True,,True,True,True,True,False,True,False,,False,False,False
Michigan,14145,12934.4,13017.1,12038.0,17307.9,,13428.0,16004.5,12800.2,12836.8,13874.5,10710.5,12525.0,,11633.9,22167.8,9971.4,-1210.6,-1127.9,-2107.0,3162.9,,-717.0,1859.5,-1344.8,-1308.2,-270.5,-3434.5,-1620.0,,-2511.1,8022.8,-4173.6,True,False,False,,True,False,False,False,True,False,False,,False,False,False
Minnesota,5731,5628.4,5518.3,5689.0,8636.4,,6294.0,8044.2,5938.8,5255.8,5635.0,5676.5,6211.0,,5715.3,9847.3,4056.4,-102.6,-212.7,-42.0,2905.4,,563.0,2313.2,207.8,-475.2,-96.0,-54.5,480.0,,-15.7,4116.3,-1674.6,False,True,False,,False,False,False,False,True,True,False,,True,False,False
Mississippi,5146,4567.4,4511.2,5323.0,4885.1,,4463.0,4801.5,4661.9,4287.9,4619.5,4529.9,4677.0,,4580.9,5226.5,4156.6,-578.6,-634.8,177.0,-260.9,,-683.0,-344.5,-484.1,-858.1,-526.5,-616.1,-469.0,,-565.1,80.5,-989.4,False,True,True,,False,True,True,False,True,False,True,,True,True,False
Missouri,6173,5443.1,5465.5,5044.0,6267.9,,5722.0,6173.7,4455.0,5093.5,4469.0,6313.2,5088.5,,4844.2,6056.2,4115.8,-700.9,-678.5,-1100.0,123.9,,-422.0,29.7,-1689.0,-1050.5,-1675.0,169.2,-1055.5,,-1299.8,-87.8,-2028.2,True,False,True,,True,True,False,False,False,True,False,,False,True,False
Montana,1054,1069.3,1083.0,1490.0,1394.2,,1259.0,1517.5,1301.1,966.6,860.0,763.8,1276.0,,1060.9,1095.1,855.2,15.3,29.0,436.0,340.2,,205.0,463.5,247.1,-87.4,-194.0,-290.2,222.0,,6.9,41.1,-198.8,False,False,False,,False,False,False,False,False,False,False,,True,False,False
Nebraska,1737,1457.6,1493.1,1533.0,2246.9,,1876.0,2021.2,1433.4,1508.4,1632.0,1690.6,1957.0,,1199.4,1673.3,1170.2,-279.4,-243.9,-204.0,509.9,,139.0,284.2,-303.6,-228.6,-105.0,-46.4,220.0,,-537.6,-63.7,-566.8,True,True,False,,True,False,False,True,True,True,True,,False,True,False
Nevada,3450,2833.0,2767.2,5039.0,3301.4,,2695.0,3300.7,3226.9,3068.1,3342.0,2579.9,2633.0,,2697.7,3459.5,2357.8,-617.0,-682.8,1589.0,-148.6,,-755.0,-149.3,-223.1,-381.9,-108.0,-870.1,-817.0,,-752.3,9.5,-1092.2,False,False,True,,False,True,True,True,True,False,False,,False,True,False
New Hampshire,862,608.0,613.1,683.0,697.9,,684.0,676.7,729.9,790.8,646.0,713.9,641.0,,581.7,1683.2,546.9,-254.0,-248.9,-179.0,-164.1,,-178.0,-185.3,-132.1,-71.2,-216.0,-148.1,-221.0,,-280.3,821.2,-315.1,True,True,True,,True,True,True,True,True,True,True,,False,False,False
New Jersey,19854,18249.0,18328.0,19411.0,19883.9,,18546.0,19405.2,18978.1,18989.7,18670.5,18487.7,16990.0,,19074.0,28213.8,17243.3,-1605.0,-1526.0,-443.0,29.9,,-1308.0,-448.8,-875.9,-864.3,-1183.5,-1366.3,-2864.0,,-780.0,8359.8,-2610.7,True,True,True,,True,True,True,True,True,True,False,,True,False,False
New Mexico,2732,2459.6,2589.0,7365.0,3939.4,,2535.0,3738.4,4698.3,2285.9,2919.0,1839.0,3265.0,,2342.5,3265.3,1766.4,-272.4,-143.0,4633.0,1207.4,,-197.0,1006.4,1966.3,-446.1,187.0,-893.0,533.0,,-389.5,533.3,-965.6,True,False,False,,True,False,False,False,True,False,False,,False,False,False
New York,39471,35978.4,36093.3,39933.0,38382.1,,36732.0,36940.6,38500.5,38478.0,36506.0,36108.7,34395.0,,36882.8,54735.8,34738.9,-3480.6,-3365.7,474.0,-1076.9,,-2727.0,-2518.4,-958.5,-981.0,-2953.0,-3350.3,-5064.0,,-2576.2,15276.8,-4720.1,True,True,True,,True,True,True,True,True,True,False,,True,False,False
North Carolina,7425,6446.6,6503.2,7800.0,7103.8,,6826.0,7288.3,6934.1,7295.5,6460.0,5655.0,7607.0,,6350.9,7622.3,5884.0,-978.4,-921.8,375.0,-321.2,,-599.0,-136.7,-490.9,-129.5,-965.0,-1770.0,182.0,,-1074.1,197.3,-1541.0,True,True,True,,True,True,True,True,True,False,True,,False,True,False
North Dakota,1360,1394.6,1406.9,1139.0,1820.1,,1510.0,1715.0,1215.6,1121.4,1055.0,1249.5,1508.0,,1122.3,1314.2,1155.1,34.6,46.9,-221.0,460.1,,150.0,355.0,-144.4,-238.6,-305.0,-110.5,148.0,,-237.7,-45.8,-204.9,False,False,False,,False,False,False,False,False,False,False,,False,False,False
Ohio,14681,8759.4,8743.2,10823.0,11368.9,,9616.0,10351.5,9096.9,10681.5,9107.0,8041.5,7762.0,,9270.7,17086.8,7041.9,-4477.6,-4493.8,-2414.0,-1868.1,,-3621.0,-2885.5,-4140.1,-2555.5,-4130.0,-5195.5,-5475.0,,-3966.3,3849.8,-6195.1,False,True,True,,True,True,True,True,True,False,False,,True,True,False
Oklahoma,2738,2333.4,2274.9,3687.0,3227.9,,2605.0,2892.2,2744.1,2764.4,2174.0,2129.9,2190.0,,2507.9,3187.6,1993.3,-404.6,-463.1,949.0,489.9,,-133.0,154.2,6.1,26.4,-564.0,-608.1,-548.0,,-230.1,449.6,-744.7,False,False,False,,True,True,True,True,False,False,False,,True,False,False
Oregon,1603,1402.9,1357.8,1857.0,1868.9,,1343.0,1645.4,1563.8,1874.3,1509.0,987.5,1310.5,,1459.2,1917.5,1033.2,-200.1,-245.2,254.0,265.9,,-260.0,42.4,-39.2,271.3,-94.0,-615.5,-292.5,,-143.8,314.5,-569.8,False,False,False,,False,True,True,False,True,False,False,,True,False,False
Pennsylvania,17626,13114.3,12985.7,22097.0,17083.3,,14476.0,16094.6,17302.6,14948.1,14311.0,16598.0,12402.5,,12100.1,23018.5,10950.6,-4511.7,-4640.3,4471.0,-542.7,,-3150.0,-1531.4,-323.4,-2677.9,-3315.0,-1028.0,-5223.5,,-5525.9,5392.5,-6675.4,False,True,True,,True,True,True,True,True,True,False,,False,False,False
Rhode Island,2062,1650.6,1658.9,1616.0,1838.0,,1562.5,1880.3,1748.7,1626.1,1929.0,2047.9,1478.0,,1619.1,2420.9,1367.1,-349.4,-341.1,-384.0,-162.0,,-437.5,-119.7,-251.3,-373.9,-71.0,47.9,-522.0,,-380.9,420.9,-632.9,True,False,True,,False,True,True,False,True,True,False,,False,False,False
South Carolina,5758,4763.0,4779.7,5252.0,5281.3,,5154.0,5102.9,5235.4,5250.4,4894.5,4785.5,5215.0,,5052.6,5535.0,4752.0,-995.0,-978.3,-506.0,-476.7,,-604.0,-655.1,-522.6,-507.6,-863.5,-972.5,-543.0,,-705.4,-223.0,-1006.0,True,True,True,,True,True,True,True,True,True,True,,True,True,False
South Dakota,1570,1669.3,1932.0,1380.0,1855.3,,2058.0,2136.5,1332.8,1150.6,1282.0,1520.2,1660.0,,1354.5,1405.5,1270.3,99.3,362.0,-190.0,285.3,,488.0,566.5,-237.2,-419.4,-288.0,-49.8,90.0,,-215.5,-164.5,-299.7,False,False,False,,False,False,False,False,False,True,True,,False,False,False
Tennessee,7704,6240.9,6521.4,7308.0,8274.5,,6874.0,8004.3,6530.9,6071.9,6490.0,4895.7,8921.0,,6726.5,6049.6,5219.1,-1463.1,-1182.6,-396.0,570.5,,-830.0,300.3,-1173.1,-1632.1,-1214.0,-2808.3,1217.0,,-977.5,-1654.4,-2484.9,True,True,True,,True,True,True,False,True,False,True,,True,False,False
Texas,30313,26704.4,27099.3,30694.0,31126.8,,29598.0,29807.1,32767.1,26607.1,26578.0,25715.6,24596.0,,25885.5,28650.3,24152.1,-3252.6,-2857.7,737.0,1169.8,,-359.0,-149.9,2810.1,-3349.9,-3379.0,-4241.4,-5361.0,,-4071.5,-1306.7,-5804.9,True,True,True,,True,True,True,False,False,False,False,,False,True,False
Utah,1390,1307.3,1319.0,1457.0,1971.9,,1599.0,1680.9,1220.0,1336.4,1187.0,1186.4,1623.5,,1229.8,1395.1,754.3,-82.7,-71.0,67.0,581.9,,209.0,290.9,-170.0,-53.6,-203.0,-203.6,233.5,,-160.2,5.1,-635.7,True,True,False,,False,False,False,True,False,False,False,,False,True,False
Vermont,156,90.4,91.0,168.0,57.9,,90.0,92.1,130.8,139.4,80.0,93.6,67.0,,74.6,166.3,69.2,-65.6,-65.0,12.0,-98.1,,-66.0,-63.9,-25.2,-16.6,-76.0,-62.4,-89.0,,-81.4,10.3,-86.8,True,True,False,,False,True,True,True,False,True,False,,False,True,False
Virginia,5381,4760.9,4751.3,6587.0,5042.1,,4973.0,5398.7,5754.7,5492.2,5378.0,4899.2,4824.0,,4715.6,5983.2,4433.8,-620.1,-629.7,1206.0,-338.9,,-408.0,17.7,373.7,111.2,-3.0,-481.8,-557.0,,-665.4,602.2,-947.2,False,False,True,,True,True,True,True,True,True,True,,False,True,False
Washington,3698,3195.0,3207.2,4872.0,5392.5,,3508.0,3942.7,3992.7,4337.0,3472.0,3646.3,3016.0,,3558.6,5232.8,2932.3,-475.0,-462.8,1202.0,1722.5,,-162.0,272.7,322.7,667.0,-198.0,-23.7,-654.0,,-111.4,1562.8,-737.7,True,False,False,,True,True,True,False,True,True,False,,True,False,False
West Virginia,1570,1121.4,1077.8,1742.0,1975.7,,1378.0,1729.8,1854.1,1318.5,1323.0,975.8,1155.0,,1236.2,1451.9,880.5,-448.6,-492.2,172.0,405.7,,-192.0,159.8,284.1,-251.5,-247.0,-594.2,-415.0,,-333.8,-118.1,-689.5,False,True,True,,True,True,True,True,True,False,True,,True,True,False
Wisconsin,5567,5460.9,5390.4,4806.0,5472.1,,5908.0,6499.9,4658.1,5179.8,6267.0,5980.3,5246.0,,4975.3,6015.0,4234.6,-106.1,-176.6,-761.0,-94.9,,341.0,932.9,-908.9,-387.2,700.0,413.3,-321.0,,-591.7,448.0,-1332.4,False,False,True,,False,False,False,False,False,False,False,,False,False,False
Wyoming,489,443.4,449.0,494.0,780.5,,515.0,399.6,568.8,398.2,407.0,585.0,492.0,,359.3,400.4,292.0,-45.6,-40.0,5.0,291.5,,26.0,-89.4,79.8,-90.8,-82.0,96.0,3.0,,-129.7,-88.6,-197.0,True,True,False,,True,False,False,False,False,False,True,,False,False,False
US,379070,325485.4,326678.8,338589.0,389476.3,341962.0,339044.0,372544.8,355292.8,340404.8,319641.0,324467.9,325182.0,369483.6,320480.3,439001.2,290719.1,-50939.6,-49746.2,-37836.0,13051.3,-34463.0,-37381.0,-3880.2,-21132.2,-36020.2,-56784.0,-51957.1,-51243.0,-6941.4,-55944.7,62576.2,-85705.9,True,True,True,True,True,True,True,True,False,False,False,True,False,False,False
