,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MIT_CritData-GBCF,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,Wadhwani_AI-BayesOpt,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-Wadhwani_AI-BayesOpt,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-Wadhwani_AI-BayesOpt,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Georgia,11457,11199.7,11236.8,11236.6,11241.4,11300.0,11235.0,11284.0,11156.0,11357.3,11332.0,11042.8,11371.0,11192.8,11212.9,11242.6,11388.5,,11472.0,11989.6,11075.5,11387.4,11280.5,11306.9,11331.3,11407.0,11325.9,11341.3,11297.5,10846.0,,11232.7,11206.3,11302.0,12805.1,11246.0,11232.9,,11356.3,11321.5,11406.1,11354.0,11253.1,11273.0,,10797.4,10822.3,-257.3,-220.2,-220.4,-215.6,-157.0,-222.0,-173.0,-301.0,-99.7,-125.0,-414.2,-86.0,-264.2,-244.1,-214.4,-68.5,,15.0,532.6,-381.5,-69.6,-176.5,-150.1,-125.7,-50.0,-131.1,-115.7,-159.5,-611.0,,-224.3,-250.7,-155.0,1348.1,-211.0,-224.1,,-100.7,-135.5,-50.9,-103.0,-203.9,-184.0,,-659.6,-634.7,True,True,True,True,True,True,False,True,True,False,True,False,True,True,True,,True,False,False,True,True,True,True,True,True,True,True,False,,True,True,True,False,True,True,,True,True,True,True,True,True,,False,False
Hawaii,307,292.4,295.2,296.6,293.1,292.0,293.0,296.0,306.0,297.0,291.0,312.4,297.0,295.2,,291.9,299.5,,,291.3,332.9,296.5,295.0,291.5,296.5,313.0,301.4,297.1,293.9,298.0,,,289.9,294.0,315.3,300.0,296.6,,296.5,308.2,297.0,296.0,293.9,290.0,295.9,292.4,299.5,-14.6,-11.8,-10.4,-13.9,-15.0,-14.0,-11.0,-1.0,-10.0,-16.0,5.4,-10.0,-11.8,,-15.1,-7.5,,,-15.7,25.9,-10.5,-12.0,-15.5,-10.5,6.0,-5.6,-9.9,-13.1,-9.0,,,-17.1,-13.0,8.3,-7.0,-10.4,,-10.5,1.2,-10.0,-11.0,-13.1,-17.0,-11.1,-14.6,-7.5,True,True,True,False,True,True,True,True,False,True,True,True,,False,True,,,False,False,True,True,False,True,True,True,True,True,True,,,False,True,True,True,True,,True,True,True,True,True,False,True,True,True
Idaho,1528,1528.6,1524.7,1544.3,1543.7,1542.0,1542.0,1524.0,1514.0,1528.4,1495.0,1521.6,1527.0,1521.8,1528.6,1564.4,1533.0,,1555.0,1504.1,1549.8,1524.6,1485.0,1510.9,1532.8,1542.0,1551.5,1534.4,1513.0,1536.0,,,1491.5,1528.0,1467.1,1524.0,1544.8,,1513.5,1562.0,1548.5,1506.0,1541.7,1524.0,1515.4,1503.8,1521.1,0.6,-3.3,16.3,15.7,14.0,14.0,-4.0,-14.0,0.4,-33.0,-6.4,-1.0,-6.2,0.6,36.4,5.0,,27.0,-23.9,21.8,-3.4,-43.0,-17.1,4.8,14.0,23.5,6.4,-15.0,8.0,,,-36.5,0.0,-60.9,-4.0,16.8,,-14.5,34.0,20.5,-22.0,13.7,-4.0,-12.6,-24.2,-6.9,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,,,False,True,False,False,False,,False,False,False,False,False,False,False,False,False
Illinois,19210,19167.1,19476.9,19010.2,19213.0,19129.0,19204.0,19068.0,18903.0,18987.3,18976.0,18726.3,19182.0,19136.6,19114.0,19525.6,19069.2,,19105.0,18870.2,18924.5,19071.9,19215.0,19016.1,18844.0,18952.0,19191.1,19108.7,19034.0,19071.0,,18941.8,18999.8,18979.0,18194.4,19028.0,19190.8,,18791.4,19202.1,19142.9,19017.0,19281.2,19068.0,,18775.6,18852.4,-42.9,266.9,-199.8,3.0,-81.0,-6.0,-142.0,-307.0,-222.7,-234.0,-483.7,-28.0,-73.4,-96.0,315.6,-140.8,,-105.0,-339.8,-285.5,-138.1,5.0,-193.9,-366.0,-258.0,-18.9,-101.3,-176.0,-139.0,,-268.2,-210.2,-231.0,-1015.6,-182.0,-19.2,,-418.6,-7.9,-67.1,-193.0,71.2,-142.0,,-434.4,-357.6,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,,False,False,False,False,True,False,False,False,True,False,False,False,,False,False,False,False,False,True,,False,True,False,False,False,False,,False,False
Indiana,8966,9016.7,9052.9,8810.7,9037.5,9007.0,9019.0,8898.0,8644.0,8861.5,8774.0,8666.8,8793.0,8897.7,8845.3,9050.9,8939.4,,8895.0,8814.2,8553.8,8920.8,8982.0,8949.7,8833.8,8846.0,8988.2,8950.0,9010.4,9096.0,,8737.5,8770.8,8806.0,9133.5,8915.0,9040.3,,8778.7,8994.3,8990.6,8884.0,9041.8,8901.0,8949.9,8364.2,8939.3,50.7,86.9,-155.3,71.5,41.0,53.0,-68.0,-322.0,-104.5,-192.0,-299.2,-173.0,-68.3,-120.7,84.9,-26.6,,-71.0,-151.8,-412.2,-45.2,16.0,-16.3,-132.2,-120.0,22.2,-16.0,44.4,130.0,,-228.5,-195.2,-160.0,167.5,-51.0,74.3,,-187.3,28.3,24.6,-82.0,75.8,-65.0,-16.1,-601.8,-26.7,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,,False,False,False,True,True,True,False,False,True,True,True,False,,False,False,False,False,False,False,,False,True,True,False,False,False,True,False,True
Iowa,4127,4119.1,4106.5,4180.7,4161.3,4103.0,4149.0,4123.0,4018.0,4112.6,4168.0,4381.1,4199.0,4082.6,4105.8,4168.7,4104.1,,4152.0,4168.8,4131.3,4114.7,4118.0,4064.3,4129.1,4119.0,4177.6,4097.6,4107.5,4242.0,,4103.2,4015.2,4125.0,3403.7,4050.0,4121.4,,4053.6,4181.0,4149.4,4075.0,4154.6,4111.0,4397.6,4093.8,4213.5,-7.9,-20.5,53.7,34.3,-24.0,22.0,-4.0,-109.0,-14.4,41.0,254.1,72.0,-44.4,-21.2,41.7,-22.9,,25.0,41.8,4.3,-12.3,-9.0,-62.7,2.1,-8.0,50.6,-29.4,-19.5,115.0,,-23.8,-111.8,-2.0,-723.3,-77.0,-5.6,,-73.4,54.0,22.4,-52.0,27.6,-16.0,270.6,-33.2,86.5,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,,False,False,True,False,False,False,True,False,False,False,False,False,,False,False,True,False,False,True,,False,False,False,False,False,False,False,False,False
Kansas,3141,3188.3,3173.4,3000.9,3230.0,3226.0,3241.0,3088.0,3062.0,3024.2,3082.0,3005.1,3178.0,3260.5,3133.4,3233.8,3138.6,,3040.0,3062.2,2978.1,3106.3,3045.0,3085.7,3043.7,3084.0,3193.3,3088.9,3107.0,3114.0,,,3117.5,3102.0,2935.5,3088.0,3076.5,,3018.9,3217.6,3189.7,3083.0,3108.1,3064.0,3101.7,2920.9,,47.3,32.4,-140.1,89.0,85.0,100.0,-53.0,-79.0,-116.8,-59.0,-135.9,37.0,119.5,-7.6,92.8,-2.4,,-101.0,-78.8,-162.9,-34.7,-96.0,-55.3,-97.3,-57.0,52.3,-52.1,-34.0,-27.0,,,-23.5,-39.0,-205.5,-53.0,-64.5,,-122.1,76.6,48.7,-58.0,-32.9,-77.0,-39.3,-220.1,,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,,False,False,False,True,False,False,False,False,False,False,True,True,,,True,True,False,False,False,,False,False,False,False,True,False,True,False,
Kentucky,2876,2867.0,2854.3,2828.2,2862.1,2854.0,2862.0,2859.0,2779.0,2887.6,2825.0,2760.1,2832.0,2835.6,2854.2,2866.4,2861.4,,2847.0,3040.4,2984.2,2859.7,2855.0,2831.7,2816.3,2921.0,2863.8,2886.5,2903.5,2900.0,,,2830.3,2806.0,3018.7,2878.0,2864.9,,2842.0,2874.6,2938.0,2874.0,2868.1,2831.0,2921.0,2808.9,2878.5,-9.0,-21.7,-47.8,-13.9,-22.0,-14.0,-17.0,-97.0,11.6,-51.0,-115.9,-44.0,-40.4,-21.8,-9.6,-14.6,,-29.0,164.4,108.2,-16.3,-21.0,-44.3,-59.7,45.0,-12.2,10.5,27.5,24.0,,,-45.7,-70.0,142.7,2.0,-11.1,,-34.0,-1.4,62.0,-2.0,-7.9,-45.0,45.0,-67.1,2.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False,True,False,,False,True,False,True,True,False,False,False,True
Louisiana,7833,7747.9,7689.9,7715.7,7689.3,7733.0,7704.0,7739.0,7647.0,7710.9,7730.0,7693.2,7809.0,7797.5,7749.2,7635.4,7805.6,,7815.0,7740.8,7728.3,7746.2,7747.0,7695.0,7701.9,7716.0,7736.2,7763.7,7745.4,7789.5,,7679.2,7665.6,7727.0,8188.2,7798.0,7681.4,,7676.3,7738.4,7744.4,7744.0,7700.3,7661.0,7812.8,7636.7,7774.7,-85.1,-143.1,-117.3,-143.7,-100.0,-129.0,-94.0,-186.0,-122.1,-103.0,-139.8,-24.0,-35.5,-83.8,-197.6,-27.4,,-18.0,-92.2,-104.7,-86.8,-86.0,-138.0,-131.1,-117.0,-96.8,-69.3,-87.6,-43.5,,-153.8,-167.4,-106.0,355.2,-35.0,-151.6,,-156.7,-94.6,-88.6,-89.0,-132.7,-172.0,-20.2,-196.3,-58.3,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,,True,False,False,False,False,False,False,False,False,True,False,True,,False,False,False,False,True,False,,False,False,False,False,False,False,True,False,True
Maine,432,389.9,388.5,383.0,396.7,391.0,397.0,396.0,411.0,399.8,391.0,389.1,402.0,394.1,393.1,418.3,395.5,,404.0,379.7,460.6,388.6,395.0,387.0,379.2,421.0,405.0,397.4,397.1,397.0,,,384.8,410.0,408.7,387.0,397.6,,385.9,417.1,414.0,393.0,385.5,387.0,391.3,371.0,401.2,-42.1,-43.5,-49.0,-35.3,-41.0,-35.0,-36.0,-21.0,-32.2,-41.0,-42.9,-30.0,-37.9,-38.9,-13.7,-36.5,,-28.0,-52.3,28.6,-43.4,-37.0,-45.0,-52.8,-11.0,-27.0,-34.6,-34.9,-35.0,,,-47.2,-22.0,-23.3,-45.0,-34.4,,-46.1,-14.9,-18.0,-39.0,-46.5,-45.0,-40.7,-61.0,-30.8,False,False,True,True,True,True,True,True,True,False,True,True,True,True,True,,True,False,True,False,True,False,False,True,True,True,True,True,,,False,True,True,False,True,,False,True,True,True,False,False,True,False,True
Maryland,6246,6235.7,6244.6,6193.4,6237.7,6246.0,6254.0,6238.0,6242.0,6231.5,6227.0,6190.2,6178.0,6259.5,6252.9,6243.9,6273.2,,6265.0,6276.3,6194.7,6266.0,6236.0,6226.9,6192.2,6263.0,6255.5,6258.5,6280.1,6208.0,,6185.4,6211.8,6223.0,6038.6,6195.0,6239.5,,6156.7,6263.7,6266.1,6217.0,6300.4,6227.0,6389.3,6056.3,6277.0,-10.3,-1.4,-52.6,-8.3,0.0,8.0,-8.0,-4.0,-14.5,-19.0,-55.8,-68.0,13.5,6.9,-2.1,27.2,,19.0,30.3,-51.3,20.0,-10.0,-19.1,-53.8,17.0,9.5,12.5,34.1,-38.0,,-60.6,-34.2,-23.0,-207.4,-51.0,-6.5,,-89.3,17.7,20.1,-29.0,54.4,-19.0,143.3,-189.7,31.0,True,False,True,True,True,True,True,False,False,False,False,False,True,True,False,,False,False,False,False,True,False,False,False,True,False,False,False,,False,False,False,False,False,True,,False,False,False,False,False,False,False,False,False
Massachusetts,13074,13038.6,12998.3,12855.7,12987.4,12977.0,12994.0,12985.0,12879.0,12925.6,12862.0,12679.4,13033.0,12921.4,12969.7,13106.0,13000.9,,13032.0,13012.7,13072.3,13053.6,13109.0,12942.1,12908.5,12916.0,13013.8,13030.6,13012.0,12976.0,,12801.4,12883.8,12921.0,13683.7,13059.0,13003.1,,12813.0,13018.2,13013.5,13008.0,12968.1,12983.0,12958.3,12725.4,12956.6,-35.4,-75.7,-218.3,-86.6,-97.0,-80.0,-89.0,-195.0,-148.4,-212.0,-394.6,-41.0,-152.6,-104.3,32.0,-73.1,,-42.0,-61.3,-1.7,-20.4,35.0,-131.9,-165.5,-158.0,-60.2,-43.4,-62.0,-98.0,,-272.6,-190.2,-153.0,609.7,-15.0,-70.9,,-261.0,-55.8,-60.5,-66.0,-105.9,-91.0,-115.7,-348.6,-117.4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,False,False,True,True,True,False,False,False,False,False,False,False,,False,False,False,False,True,False,,False,False,False,False,False,False,False,False,False
Michigan,14145,13834.0,13976.4,13874.9,13911.7,13891.0,13922.0,13775.0,13670.0,13791.9,13731.0,13698.8,13820.0,13789.1,13835.6,13782.8,13805.2,,13890.0,13608.3,13614.9,13845.5,13947.0,13749.2,13870.9,13765.0,13971.3,13774.4,13940.1,13830.5,,13698.5,13702.2,13630.0,13200.5,13659.0,13455.2,,13635.6,14008.4,13865.0,13734.0,14097.9,13784.0,14076.5,13442.7,13774.7,-311.0,-168.6,-270.1,-233.3,-254.0,-223.0,-370.0,-475.0,-353.1,-414.0,-446.2,-325.0,-355.9,-309.4,-362.2,-339.8,,-255.0,-536.7,-530.1,-299.5,-198.0,-395.8,-274.1,-380.0,-173.7,-370.6,-204.9,-314.5,,-446.5,-442.8,-515.0,-944.5,-486.0,-689.8,,-509.4,-136.6,-280.0,-411.0,-47.1,-361.0,-68.5,-702.3,-370.3,True,True,True,True,True,False,False,False,False,False,False,False,True,False,False,,True,False,False,True,True,False,True,False,True,False,True,False,,False,False,False,False,False,False,,False,True,True,False,True,False,True,False,False
Minnesota,5731,5731.6,5766.4,5758.0,5706.0,5711.0,5706.0,5691.0,5605.0,5655.1,5645.0,5700.1,5824.0,5674.9,5681.6,5647.6,5676.5,,5750.0,5602.9,5668.7,5694.4,5706.0,5635.3,5657.4,5696.0,5750.2,5709.8,5685.5,5712.0,,5704.0,5616.7,5618.0,5051.0,5691.0,5690.7,,5609.5,5753.8,5680.5,5673.0,5772.4,5656.0,5823.7,5604.0,5763.6,0.6,35.4,27.0,-25.0,-20.0,-25.0,-40.0,-126.0,-75.9,-86.0,-30.9,93.0,-56.1,-49.4,-83.4,-54.5,,19.0,-128.1,-62.3,-36.6,-25.0,-95.7,-73.6,-35.0,19.2,-21.2,-45.5,-19.0,,-27.0,-114.3,-113.0,-680.0,-40.0,-40.3,,-121.5,22.8,-50.5,-58.0,41.4,-75.0,92.7,-127.0,32.6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False
Mississippi,5146,5098.1,5122.0,5004.6,5101.5,5091.0,5115.0,5082.0,5083.0,5091.2,5024.0,4973.7,5113.0,5081.5,5125.0,5174.4,5106.6,,5080.0,5093.9,5028.2,5082.2,5082.0,5061.8,4993.9,5017.0,5104.2,5088.1,5113.3,5045.0,,5007.1,5031.2,5070.0,5622.0,5063.0,5136.8,,4976.7,5118.1,5094.2,5052.0,5091.4,5089.0,5082.2,4969.4,5102.1,-47.9,-24.0,-141.4,-44.5,-55.0,-31.0,-64.0,-63.0,-54.8,-122.0,-172.3,-33.0,-64.5,-21.0,28.4,-39.4,,-66.0,-52.1,-117.8,-63.8,-64.0,-84.2,-152.1,-129.0,-41.8,-57.9,-32.7,-101.0,,-138.9,-114.8,-76.0,476.0,-83.0,-9.2,,-169.3,-27.9,-51.8,-94.0,-54.6,-57.0,-63.8,-176.6,-43.9,True,False,True,False,True,False,False,False,False,False,True,False,True,True,True,,False,False,False,False,False,False,False,False,True,False,True,False,,False,False,False,False,False,True,,False,True,False,False,False,False,False,False,True
Missouri,6143,5963.1,6038.7,6099.1,5965.1,5981.0,5964.0,6005.0,6034.0,5969.1,6051.0,6151.0,6102.0,6010.7,5992.5,5950.2,6133.5,,6237.0,5642.8,5723.3,6079.4,5985.0,6002.8,5913.7,6033.0,6075.9,6013.1,6117.0,6208.0,,5974.3,5871.6,5997.0,6057.2,5952.0,5858.7,,5965.0,6074.5,6015.9,5978.0,6124.6,5939.0,,5564.7,5004.1,-175.9,-100.3,-39.9,-173.9,-158.0,-175.0,-134.0,-105.0,-169.9,-88.0,12.0,-37.0,-128.3,-146.5,-188.8,-5.5,,98.0,-496.2,-415.7,-59.6,-154.0,-136.2,-225.3,-106.0,-63.1,-125.9,-22.0,69.0,,-164.7,-267.4,-142.0,-81.8,-187.0,-280.3,,-174.0,-64.5,-123.1,-161.0,-14.4,-200.0,,-574.3,-1134.9,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,,True,False,False,True,True,True,False,True,True,True,True,True,,True,False,True,True,False,False,,True,True,True,True,True,False,,False,False
Montana,1054,1013.1,1016.2,1024.1,1024.7,1022.0,1023.0,1012.0,978.0,1006.8,1006.0,977.6,998.0,1006.7,1024.5,1019.2,1009.5,,1039.0,1006.7,1039.7,1007.6,1001.0,999.4,1031.1,1045.0,1022.2,1017.8,1005.4,1016.5,,,1007.7,1008.0,978.3,998.0,1026.3,,1001.9,1033.9,1034.9,1006.0,1026.2,1012.0,1034.0,1007.1,1013.2,-40.9,-37.8,-29.9,-29.3,-32.0,-31.0,-42.0,-76.0,-47.2,-48.0,-76.4,-56.0,-47.3,-29.5,-34.8,-44.5,,-15.0,-47.3,-14.3,-46.4,-53.0,-54.6,-22.9,-9.0,-31.8,-36.2,-48.6,-37.5,,,-46.3,-46.0,-75.7,-56.0,-27.7,,-52.1,-20.1,-19.1,-48.0,-27.8,-42.0,-20.0,-46.9,-40.8,True,True,True,True,True,False,False,False,False,False,False,False,True,True,False,,True,False,True,False,False,False,True,True,True,True,False,True,,,False,False,False,False,True,,False,True,True,False,True,False,True,False,True
Nebraska,1737,1768.9,1796.1,1769.3,1779.0,1776.0,1779.0,1759.0,1744.0,1741.7,1724.0,1773.8,1785.0,1792.7,1783.1,1769.8,1758.6,,1772.0,1717.7,1783.6,1741.6,1716.0,1749.3,1761.9,1798.0,1778.9,1758.6,1744.1,1758.0,,,1748.7,1730.0,1606.5,1744.0,1778.7,,1737.1,1788.6,1788.4,1738.0,1797.3,1744.0,1764.0,1735.7,1779.5,31.9,59.1,32.3,42.0,39.0,42.0,22.0,7.0,4.7,-13.0,36.8,48.0,55.7,46.1,32.8,21.6,,35.0,-19.3,46.6,4.6,-21.0,12.3,24.9,61.0,41.9,21.6,7.1,21.0,,,11.7,-7.0,-130.5,7.0,41.7,,0.1,51.6,51.4,1.0,60.3,7.0,27.0,-1.3,42.5,False,False,False,False,False,True,True,True,True,False,False,False,False,False,True,,False,True,False,True,True,True,True,False,False,True,True,True,,,True,True,False,True,False,,True,False,False,True,False,True,True,True,False
Nevada,3450,3377.1,3339.6,3336.1,3351.2,3349.0,3354.0,3349.0,3307.0,3336.5,3322.0,3339.2,3349.0,3413.9,3350.4,3383.5,3353.3,,3391.0,3265.0,3361.4,3359.7,3334.0,3330.7,3359.8,3328.0,3362.9,3369.0,3393.3,3346.0,,3313.7,3296.3,3325.0,3483.5,3343.0,3350.8,,3314.5,3369.4,3365.3,3347.0,3349.4,3321.0,,3267.3,3388.1,-72.9,-110.4,-113.9,-98.8,-101.0,-96.0,-101.0,-143.0,-113.5,-128.0,-110.8,-101.0,-36.1,-99.6,-66.5,-96.7,,-59.0,-185.0,-88.6,-90.3,-116.0,-119.3,-90.2,-122.0,-87.1,-81.0,-56.7,-104.0,,-136.3,-153.7,-125.0,33.5,-107.0,-99.2,,-135.5,-80.6,-84.7,-103.0,-100.6,-129.0,,-182.7,-61.9,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,,True,False,False,False,False,False,False,False,False,False,True,False,,False,False,False,True,False,False,,False,False,False,False,False,False,,False,True
New Hampshire,862,841.7,866.4,807.7,836.9,836.0,837.0,829.0,788.0,837.0,831.0,813.9,825.0,826.3,830.1,840.5,837.1,,854.0,820.9,873.7,828.5,825.0,820.2,807.9,828.0,834.3,847.2,838.9,861.0,,,825.5,827.0,869.6,829.0,834.9,,818.8,846.4,844.2,820.0,828.7,832.0,840.8,795.1,845.5,-20.3,4.4,-54.3,-25.1,-26.0,-25.0,-33.0,-74.0,-25.0,-31.0,-48.1,-37.0,-35.7,-31.9,-21.5,-24.9,,-8.0,-41.1,11.7,-33.5,-37.0,-41.8,-54.1,-34.0,-27.7,-14.8,-23.1,-1.0,,,-36.5,-35.0,7.6,-33.0,-27.1,,-43.2,-15.6,-17.8,-42.0,-33.3,-30.0,-21.2,-66.9,-16.5,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,True,False,True,False,False,False,False,False,False,True,False,True,,,False,False,True,False,False,,False,True,True,False,False,False,False,False,True
New Jersey,19854,19703.4,19712.1,19603.8,19750.7,19744.0,19761.0,19678.0,19750.0,19633.3,19648.0,19374.9,19446.0,19705.1,19698.0,19841.8,19700.7,,19699.0,19414.5,19652.1,19675.1,19695.0,19725.8,19888.0,19635.0,19722.5,19717.6,19806.5,19809.0,,19454.0,19703.7,19661.0,19155.1,19602.0,19789.9,,19541.1,19733.4,19764.8,19589.0,19489.3,19677.0,19671.7,19348.0,19836.0,-150.6,-141.9,-250.2,-103.3,-110.0,-93.0,-176.0,-104.0,-220.7,-206.0,-479.1,-408.0,-148.9,-156.0,-12.2,-153.3,,-155.0,-439.5,-201.9,-178.9,-159.0,-128.2,34.0,-219.0,-131.5,-136.4,-47.5,-45.0,,-400.0,-150.3,-193.0,-698.9,-252.0,-64.1,,-312.9,-120.6,-89.2,-265.0,-364.7,-177.0,-182.3,-506.0,-18.0,True,False,True,True,True,False,True,False,False,False,False,True,False,True,False,,False,False,False,False,False,True,True,False,True,True,True,True,,False,True,False,False,False,True,,False,True,True,False,False,False,False,False,True
New Mexico,2732,2726.7,2706.4,2679.3,2761.5,2726.0,2752.0,2695.0,2672.0,2696.6,2691.0,2604.2,2683.0,2703.4,2700.0,2778.3,2703.8,,2709.0,2684.3,2646.6,2737.7,2689.0,2688.5,2733.3,2685.0,2731.8,2715.8,2684.0,2735.5,,,2701.1,2684.0,2729.4,2689.0,2749.3,,2602.7,2743.4,2729.5,2699.0,2743.3,2694.0,2723.5,2646.1,2697.9,-5.3,-25.6,-52.7,29.5,-6.0,20.0,-37.0,-60.0,-35.4,-41.0,-127.8,-49.0,-28.6,-32.0,46.3,-28.2,,-23.0,-47.7,-85.4,5.7,-43.0,-43.5,1.3,-47.0,-0.2,-16.2,-48.0,3.5,,,-30.9,-48.0,-2.6,-43.0,17.3,,-129.3,11.4,-2.5,-33.0,11.3,-38.0,-8.5,-85.9,-34.1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,True,False,True,False,False,True,,,False,False,True,False,False,,False,False,True,False,False,False,False,False,False
New York,39471,39275.6,39279.9,39305.1,39271.3,39286.0,39260.0,39271.0,39015.0,39216.8,39414.0,38869.0,39153.0,39255.6,39215.2,39248.7,39567.5,,39192.0,39011.3,39479.2,39439.0,39412.0,39356.7,39173.6,39290.0,39267.8,39335.4,39412.4,38692.0,,38949.2,39193.6,39585.0,38972.0,39271.0,39232.4,,39531.0,39280.6,39353.7,39258.0,39398.5,39291.0,39515.2,38350.0,39251.8,-195.4,-191.1,-165.9,-199.7,-185.0,-211.0,-200.0,-456.0,-254.2,-57.0,-602.0,-318.0,-215.4,-255.8,-222.3,96.5,,-279.0,-459.7,8.2,-32.0,-59.0,-114.3,-297.4,-181.0,-203.2,-135.6,-58.6,-779.0,,-521.8,-277.4,114.0,-499.0,-200.0,-238.6,,60.0,-190.4,-117.3,-213.0,-72.5,-180.0,44.2,-1121.0,-219.2,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,,False,False,True,True,True,True,False,True,False,True,True,False,,False,False,True,False,False,False,,True,True,True,False,True,True,True,False,False
