,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,JHUAPL-Bucky,QJHong-Encounter,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-QJHong-Encounter,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR
Montana,1054,1164.6,1604.6,1257.0,1942.4,,728.2,110.6,550.6,203.0,888.4,,-325.8,False,False,False,,False
Nebraska,1737,1137.0,1786.9,1228.0,1888.6,,832.7,-600.0,49.9,-509.0,151.6,,-904.3,True,True,True,,False
Nevada,3450,2471.0,2457.0,2212.0,2242.1,,2514.7,-979.0,-993.0,-1238.0,-1207.9,,-935.3,False,False,False,,True
New Hampshire,862,542.1,693.4,632.0,932.9,,519.2,-319.9,-168.6,-230.0,70.9,,-342.8,True,True,True,,False
New Jersey,19854,17093.3,17872.0,17318.0,18327.9,,16928.8,-2760.7,-1982.0,-2536.0,-1526.1,,-2925.2,True,True,True,,False
New Mexico,2732,1932.9,2186.6,1762.0,1985.3,,1630.2,-799.1,-545.4,-970.0,-746.7,,-1101.8,True,False,True,,False
New York,39471,35240.4,38345.3,35093.0,36228.4,,33961.8,-4230.6,-1125.7,-4378.0,-3242.6,,-5509.2,True,False,True,,False
North Carolina,7425,6591.0,6945.5,6395.0,6679.4,,6143.4,-834.0,-479.5,-1030.0,-745.6,,-1281.6,True,False,True,,False
North Dakota,1360,1595.6,1794.1,1527.0,1769.3,,963.6,235.6,434.1,167.0,409.3,,-396.4,False,True,False,,False
Ohio,9599,7412.4,7723.1,7631.0,8308.9,,7329.3,-2186.6,-1875.9,-1968.0,-1290.1,,-2269.7,True,True,True,,False
Oklahoma,2738,2261.7,2329.5,2565.0,2361.6,,2012.1,-476.3,-408.5,-173.0,-376.4,,-725.9,True,True,True,,False
Oregon,1603,1075.4,1243.7,1070.0,1390.4,,1003.9,-527.6,-359.3,-533.0,-212.6,,-599.1,True,False,True,,False
Pennsylvania,17626,10794.1,12322.4,10824.0,12193.1,,10423.7,-6831.9,-5303.6,-6802.0,-5432.9,,-7202.3,True,True,True,,False
Rhode Island,1916,1427.7,2077.3,1473.0,1598.2,,1268.1,-488.3,161.3,-443.0,-317.8,,-647.9,True,True,True,,False
South Carolina,5758,4921.7,5624.4,4986.0,5087.8,,4575.9,-836.3,-133.6,-772.0,-670.2,,-1182.1,True,True,True,,False
South Dakota,1570,1412.9,1519.4,1297.0,1597.9,,996.8,-157.1,-50.6,-273.0,27.9,,-573.2,True,False,True,,False
Tennessee,7704,5738.4,6396.6,5378.0,5714.3,,5578.5,-1965.6,-1307.4,-2326.0,-1989.7,,-2125.5,True,False,False,,False
Texas,30313,25224.6,26352.1,24741.0,27164.5,,24261.6,-4737.4,-3609.9,-5221.0,-2797.5,,-5700.4,True,False,True,,False
Utah,1390,1057.6,1641.1,1226.0,811.2,,1236.1,-332.4,251.1,-164.0,-578.8,,-153.9,True,True,False,,True
Vermont,156,67.9,59.1,68.0,67.9,,60.8,-88.1,-96.9,-88.0,-88.1,,-95.2,False,True,True,,False
Virginia,5381,4167.6,4895.5,4513.0,5104.0,,3940.0,-1213.4,-485.5,-868.0,-277.0,,-1441.0,True,True,True,,False
Washington,3698,3085.6,3946.6,3071.0,3341.1,,3099.9,-629.4,231.6,-644.0,-373.9,,-615.1,True,False,True,,True
West Virginia,1570,893.7,909.2,1051.0,1697.7,,800.0,-676.3,-660.8,-519.0,127.7,,-770.0,True,True,True,,False
Wisconsin,5567,4659.1,6409.4,4652.0,7588.9,,4147.0,-649.9,1100.4,-657.0,2279.9,,-1162.0,False,False,False,,False
Wyoming,489,353.1,550.2,337.0,815.0,,199.7,-135.9,61.2,-152.0,326.0,,-289.3,True,False,False,,False
US,372530,295908.4,375152.1,291068.0,326868.7,335025.9,302801.8,-75512.6,3731.1,-80353.0,-44552.3,-36395.1,-68619.2,True,False,True,True,True
