,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM
North Dakota,1360,810.4,747.7,603.8,449.0,-549.6,-612.3,-756.2,-911.0,False,False,False
Ohio,14681,6613.0,6331.1,11310.7,6028.0,-8444.0,-8725.9,-3746.3,-9029.0,False,True,False
Oklahoma,2738,1897.4,1829.1,3268.9,1720.0,-840.6,-908.9,530.9,-1018.0,False,True,False
Oregon,1603,795.6,846.1,1421.6,771.0,-807.4,-756.9,-181.4,-832.0,True,True,False
Pennsylvania,17626,9958.0,9631.5,15111.4,9494.0,-7668.0,-7994.5,-2514.6,-8132.0,False,True,False
Rhode Island,2062,1389.3,1357.6,1954.5,1202.0,-658.7,-690.4,-93.5,-846.0,False,True,False
South Carolina,5758,5212.9,4720.6,6747.2,4370.0,-545.1,-1037.4,989.2,-1388.0,False,False,False
South Dakota,1570,455.7,509.9,777.9,396.0,-1114.3,-1060.1,-792.1,-1174.0,True,True,False
Tennessee,7704,4739.3,4294.6,6975.6,4036.0,-2964.7,-3409.4,-728.4,-3668.0,False,True,False
Texas,30313,25506.1,24365.5,34640.7,23512.0,-4522.9,-5663.5,4611.7,-6517.0,False,False,False
Utah,1390,646.1,1153.3,667.3,649.0,-743.9,-236.7,-722.7,-741.0,True,True,True
Vermont,156,58.0,62.6,60.0,58.0,-98.0,-93.4,-96.0,-98.0,True,True,False
Virginia,5381,5296.4,5092.1,4798.2,4622.0,-82.6,-286.9,-580.8,-757.0,False,False,False
Washington,3698,3036.0,2759.7,3342.9,2430.0,-681.0,-957.3,-374.1,-1287.0,False,True,False
West Virginia,1570,710.4,851.2,1871.3,690.0,-859.6,-718.8,301.3,-880.0,True,True,False
Wisconsin,5567,1860.4,2875.7,3294.6,2122.0,-3617.6,-2602.3,-2183.4,-3356.0,True,True,True
Wyoming,489,64.9,395.5,81.0,93.0,-424.1,-93.5,-408.0,-396.0,True,True,True
US,379070,282711.4,243043.5,395746.0,243868.0,-96144.6,-135812.5,16890.0,-134988.0,False,True,False
