,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UT-Mobility,Wadhwani_AI-BayesOpt,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UT-Mobility,error-Wadhwani_AI-BayesOpt,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-Wadhwani_AI-BayesOpt,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Georgia,11457,11260.1,11460.5,11517.7,11690.0,11298.9,11653.0,11886.0,11672.6,13608.0,11088.8,11644.0,11372.3,11584.0,11906.7,,12408.1,11662.0,11806.3,12198.8,11611.0,11551.9,11641.2,11276.0,11525.2,11780.0,11802.2,11708.5,11944.0,10925.0,,11449.1,11055.3,11829.0,12763.5,11747.0,11324.3,,11527.3,11817.8,11818.0,11317.7,11721.0,11020.5,,10588.7,11032.5,-196.9,3.5,60.7,233.0,-158.1,196.0,429.0,215.6,2151.0,-368.2,187.0,-84.7,127.0,449.7,,951.1,205.0,349.3,741.8,154.0,94.9,184.2,-181.0,68.2,323.0,345.2,251.5,487.0,-532.0,,-7.9,-401.7,372.0,1306.5,290.0,-132.7,,70.3,360.8,361.0,-139.3,264.0,-436.5,,-868.3,-424.5,True,True,False,True,True,False,False,False,False,True,True,True,False,,False,False,False,False,True,True,True,True,True,False,False,False,False,False,,True,False,False,False,False,True,,True,False,False,True,False,False,,False,False
Hawaii,307,304.9,331.9,296.1,333.0,311.0,322.0,344.0,324.1,355.0,308.8,303.0,304.9,,315.8,,329.4,,324.9,329.8,326.0,417.5,325.1,310.0,305.8,371.0,324.8,316.4,309.3,327.0,,,300.1,328.0,315.6,321.0,306.3,,321.1,357.9,317.0,300.8,322.0,322.0,332.9,298.7,332.8,-2.1,24.9,-10.9,26.0,4.0,15.0,37.0,17.1,48.0,1.8,-4.0,-2.1,,8.8,,22.4,,17.9,22.8,19.0,110.5,18.1,3.0,-1.2,64.0,17.8,9.4,2.3,20.0,,,-6.9,21.0,8.6,14.0,-0.7,,14.1,50.9,10.0,-6.2,15.0,15.0,25.9,-8.3,25.8,False,False,False,False,False,False,False,False,True,False,True,,False,,False,,False,False,False,False,False,False,True,False,False,False,False,False,,,False,False,False,False,True,,False,False,False,False,False,False,False,False,False
Idaho,1528,1580.0,1478.9,1627.4,1696.0,1593.0,1625.0,1732.0,1574.5,1671.0,1560.5,1561.0,1572.6,1580.3,1702.4,,1825.6,1710.0,1697.5,1559.9,1753.0,1686.2,1647.5,1550.0,1632.8,1690.0,1657.9,1712.9,1548.1,1620.0,,,1512.0,1697.0,1467.1,1504.0,1502.2,,1732.4,1690.2,1520.0,1610.6,1623.0,1558.5,1896.7,1426.2,1589.8,52.0,-49.1,99.4,168.0,65.0,97.0,204.0,46.5,143.0,32.5,33.0,44.6,52.3,174.4,,297.6,182.0,169.5,31.9,225.0,158.2,119.5,22.0,104.8,162.0,129.9,184.9,20.1,92.0,,,-16.0,169.0,-60.9,-24.0,-25.8,,204.4,162.2,-8.0,82.6,95.0,30.5,368.7,-101.8,61.8,True,False,False,False,False,False,True,False,True,True,True,False,False,,False,False,False,True,False,False,False,True,False,False,False,False,True,False,,,True,False,False,True,True,,False,False,True,False,False,True,False,False,False
Illinois,19210,19458.4,20800.9,19210.6,19622.0,19610.9,19321.0,19869.0,19093.0,19316.0,18939.6,19056.0,20258.3,19163.3,19612.2,,21176.8,19497.0,20195.1,18103.8,19379.0,19011.3,19176.0,19011.0,19424.4,19504.0,19400.5,20228.9,19458.6,18586.0,,19391.5,19233.3,19326.0,18176.6,18673.0,18822.7,,19329.3,19398.2,18955.0,20057.3,19447.0,19333.0,,17320.2,18968.7,248.4,1590.9,0.6,412.0,400.9,111.0,659.0,-117.0,106.0,-270.4,-154.0,1048.3,-46.7,402.2,,1966.8,287.0,985.1,-1106.2,169.0,-198.7,-34.0,-199.0,214.4,294.0,190.5,1018.9,248.6,-624.0,,181.5,23.3,116.0,-1033.4,-537.0,-387.3,,119.3,188.2,-255.0,847.3,237.0,123.0,,-1889.8,-241.3,False,True,False,False,True,False,True,True,False,True,False,True,False,,False,False,False,False,True,True,True,True,True,False,True,False,False,False,,True,True,True,False,False,False,,True,True,False,False,True,True,,False,True
Indiana,10089,9115.4,9205.6,9092.4,9234.0,9078.0,9013.0,8692.0,8951.8,8993.0,8691.4,9069.0,9007.6,9019.9,8933.2,,9324.5,9258.0,9343.1,8484.7,9120.0,8845.2,9035.1,9053.0,9148.1,9142.0,8899.9,9495.3,8966.8,9114.0,,8521.2,8959.3,9118.0,9162.8,8811.0,8986.9,,9025.7,8912.5,8902.0,9277.7,9069.0,9385.5,9442.0,7529.7,9067.1,2.4,92.6,-20.6,121.0,-35.0,-100.0,-421.0,-161.2,-120.0,-421.6,-44.0,-105.4,-93.1,-179.8,,211.5,145.0,230.1,-628.3,7.0,-267.8,-77.9,-60.0,35.1,29.0,-213.1,382.3,-146.2,1.0,,-591.8,-153.7,5.0,49.8,-302.0,-126.1,,-87.3,-200.5,-211.0,164.7,-44.0,272.5,329.0,-1583.3,-45.9,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False
Iowa,4127,4670.9,4386.9,5460.8,4702.0,4503.9,4426.0,4138.0,4231.5,4380.0,4007.5,4224.0,4560.5,4332.8,4260.5,,3427.8,4842.0,4206.0,3677.1,5195.0,4367.6,4428.4,4519.0,4452.3,4440.0,4474.3,4747.5,4304.9,4968.5,,5406.9,4680.3,4232.0,2999.3,4310.0,4186.8,,5046.5,4505.8,4211.0,4642.7,4221.0,5000.0,6274.0,3923.6,4894.7,543.9,259.9,1333.8,575.0,376.9,299.0,11.0,104.5,253.0,-119.5,97.0,433.5,205.8,133.5,,-699.2,715.0,79.0,-449.9,1068.0,240.6,301.4,392.0,325.3,313.0,347.3,620.5,177.9,841.5,,1279.9,553.3,105.0,-1127.7,183.0,59.8,,919.5,378.8,84.0,515.7,94.0,873.0,2147.0,-203.4,767.7,True,False,False,True,True,True,True,True,True,True,True,True,True,,False,False,True,True,False,True,True,True,True,True,True,False,True,False,,False,False,True,False,True,True,,False,True,True,True,True,False,False,True,False
Kansas,3141,3109.6,3103.8,3220.3,3273.0,3148.0,3116.0,3273.0,2886.6,3110.0,2879.1,3039.0,2848.1,3058.5,3176.4,,3778.4,3346.0,3272.0,2878.7,3270.0,2980.7,3078.3,3004.0,2922.2,3189.0,3363.7,3328.1,3168.3,3047.5,,,3084.7,3239.0,2838.1,2750.0,2916.5,,3099.8,3424.2,3096.0,3168.0,3137.0,3071.0,3454.4,2530.3,3161.5,-31.4,-37.2,79.3,132.0,7.0,-25.0,132.0,-254.4,-31.0,-261.9,-102.0,-292.9,-82.5,35.4,,637.4,205.0,131.0,-262.3,129.0,-160.3,-62.7,-137.0,-218.8,48.0,222.7,187.1,27.3,-93.5,,,-56.3,98.0,-302.9,-391.0,-224.5,,-41.2,283.2,-45.0,27.0,-4.0,-70.0,313.4,-610.7,20.5,False,False,False,True,True,False,False,True,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,False,False,False,False,False,,False,False,False,True,True,False,False,False,True
Kentucky,2876,2939.9,2785.2,2864.2,2916.0,2908.2,2908.0,2678.0,3115.9,2804.0,2782.8,2867.0,2926.1,2847.9,2922.0,,2897.0,2949.0,2961.4,2696.6,3198.0,3406.1,2899.0,2833.0,2983.8,3254.0,2880.0,3011.7,3018.4,3009.0,,,2900.4,2835.0,3362.1,2854.0,2997.1,,3006.2,2916.7,2920.0,2869.9,2913.0,3021.5,2876.2,2581.0,2970.2,63.9,-90.8,-11.8,40.0,32.2,32.0,-198.0,239.9,-72.0,-93.2,-9.0,50.1,-28.1,46.0,,21.0,73.0,85.4,-179.4,322.0,530.1,23.0,-43.0,107.8,378.0,4.0,135.7,142.4,133.0,,,24.4,-41.0,486.1,-22.0,121.1,,130.2,40.7,44.0,-6.1,37.0,145.5,0.2,-295.0,94.2,False,True,True,True,True,False,False,False,False,True,True,True,True,,True,False,False,False,False,False,True,True,False,False,True,False,False,False,,,True,True,False,True,False,,False,True,True,True,True,False,True,False,False
Louisiana,7833,7682.0,8453.9,7839.7,7757.0,7675.0,7685.0,7695.0,7707.9,7653.0,7584.6,7710.0,7833.0,7812.3,7831.4,,7831.1,7785.0,7785.3,7655.9,7871.0,7842.0,7648.7,7639.0,7718.9,7778.0,7546.3,7905.1,7685.1,7536.0,,7466.5,7666.2,7796.0,8991.8,7778.0,7660.4,,7696.9,7565.0,7758.0,7590.1,7672.0,7682.0,8325.4,7288.7,7862.5,-151.0,620.9,6.7,-76.0,-158.0,-148.0,-138.0,-125.1,-180.0,-248.4,-123.0,0.0,-20.7,-1.6,,-1.9,-48.0,-47.7,-177.1,38.0,9.0,-184.3,-194.0,-114.1,-55.0,-286.7,72.1,-147.9,-297.0,,-366.5,-166.8,-37.0,1158.8,-55.0,-172.6,,-136.1,-268.0,-75.0,-242.9,-161.0,-151.0,492.4,-544.3,29.5,False,True,True,False,True,True,True,False,False,True,True,True,True,,True,True,True,False,True,True,False,False,True,True,False,True,True,False,,False,False,True,False,True,False,,True,False,True,False,False,False,False,False,True
Maine,432,392.0,357.6,368.2,402.0,397.0,421.0,470.0,416.2,514.0,437.9,411.0,412.6,394.1,452.4,,389.3,398.0,473.1,475.5,420.0,635.4,402.3,445.0,392.7,501.0,475.1,433.6,430.1,471.5,,,377.3,461.0,408.8,357.0,376.6,,405.6,513.2,411.0,366.5,463.0,401.5,382.3,311.0,417.8,-40.0,-74.4,-63.8,-30.0,-35.0,-11.0,38.0,-15.8,82.0,5.9,-21.0,-19.4,-37.9,20.4,,-42.7,-34.0,41.1,43.5,-12.0,203.4,-29.7,13.0,-39.3,69.0,43.1,1.6,-1.9,39.5,,,-54.7,29.0,-23.2,-75.0,-55.4,,-26.4,81.2,-21.0,-65.5,31.0,-30.5,-49.7,-121.0,-14.2,False,False,True,True,True,True,True,False,True,True,True,True,True,,False,True,False,False,True,False,True,True,True,False,False,True,True,True,,,False,True,True,False,False,,True,False,True,False,True,True,False,False,True
