,actual_deaths,Baseline,BPagano-RtDriven,Covid19Sim-Simulator,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,error-Baseline,error-BPagano-RtDriven,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,beat_baseline-BPagano-RtDriven,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR
Indiana,8294,4694.6,4877.9,4850.2,4579.0,,4248.2,-3553.4,-3370.1,-3397.8,-3669.0,,-3999.8,True,True,False,,False
Iowa,3532,2157.9,2611.6,2119.3,1942.0,,2001.0,-1374.1,-920.4,-1412.7,-1590.0,,-1531.0,True,False,False,,False
Kansas,2341,1287.1,1623.7,1251.4,1024.0,,1098.5,-1045.9,-709.3,-1081.6,-1309.0,,-1234.5,True,False,False,,False
Kentucky,2371,1773.6,2275.4,1805.6,1750.0,,1875.5,-597.4,-95.6,-565.4,-621.0,,-495.5,True,True,False,,True
Louisiana,6994,6793.0,6649.7,6304.9,6390.0,,7022.4,-201.0,-344.3,-689.1,-604.0,,28.4,False,False,False,,True
Maine,292,163.7,154.3,167.9,176.0,,149.9,-128.3,-137.7,-124.1,-116.0,,-142.1,False,True,True,,False
Maryland,5412,4207.7,3999.7,4394.1,4212.0,,4168.6,-1204.3,-1412.3,-1017.9,-1200.0,,-1243.4,False,True,True,,False
Massachusetts,11657,10660.9,10526.9,13112.9,10096.0,,9971.1,-996.1,-1130.1,1455.9,-1561.0,,-1685.9,False,False,False,,False
Michigan,12074,7992.6,8745.8,7976.6,7723.0,,7550.7,-4081.4,-3328.2,-4097.4,-4351.0,,-4523.3,True,False,False,,False
Minnesota,4839,2925.6,4055.1,2820.0,2815.0,,2885.2,-1913.4,-783.9,-2019.0,-2024.0,,-1953.8,True,False,False,,False
Mississippi,4390,4033.6,3382.3,4039.7,4081.0,,3881.0,-356.4,-1007.7,-350.3,-309.0,,-509.0,False,True,True,,False
Missouri,5077,3630.0,3188.1,4208.7,3420.0,,2659.3,-1431.0,-1872.9,-852.3,-1641.0,,-2401.7,False,True,False,,False
Montana,864,339.0,307.5,865.2,355.0,,310.4,-525.0,-556.5,1.2,-509.0,,-553.6,False,True,True,,False
Nebraska,1475,837.6,1136.8,892.9,693.0,,568.4,-637.4,-338.2,-582.1,-782.0,,-906.6,True,True,False,,False
Nevada,2749,2035.6,1725.4,2440.9,1920.0,,2350.9,-713.4,-1023.6,-308.1,-829.0,,-398.1,False,True,False,,True
New Hampshire,650,486.4,1256.9,474.9,487.0,,486.9,-163.6,606.9,-175.1,-163.0,,-163.1,False,False,True,,True
New Jersey,18173,16461.7,16282.5,17019.5,16448.5,,16353.5,-1711.3,-1890.5,-1153.5,-1724.5,,-1819.5,False,True,False,,False
New Mexico,2155,1130.9,1124.6,1474.1,1073.0,,1011.1,-1024.1,-1030.4,-680.9,-1082.0,,-1143.9,False,True,False,,False
New York,36318,34008.4,34697.1,35862.5,33577.0,,33532.6,-2125.6,-1436.9,-271.5,-2557.0,,-2601.4,True,True,False,,False
North Carolina,6184,5729.4,5254.9,5771.1,5301.0,,4931.6,-454.6,-929.1,-412.9,-883.0,,-1252.4,False,True,False,,False
North Dakota,1231,740.9,683.4,921.3,617.0,,416.6,-490.1,-547.6,-309.7,-614.0,,-814.4,False,True,False,,False
Ohio,11427,6922.7,9196.4,6363.9,5764.5,,6188.3,-4948.3,-2674.6,-5507.1,-6106.5,,-5682.7,True,False,False,,False
Oklahoma,2189,1539.6,1442.8,1824.2,1647.0,,1600.0,-649.4,-746.2,-364.8,-542.0,,-589.0,False,True,True,,True
Oregon,1340,886.9,1287.2,812.9,750.0,,840.9,-453.1,-52.8,-527.1,-590.0,,-499.1,True,False,False,,False
Pennsylvania,13754,9378.4,8883.4,9941.5,9129.0,,8707.7,-4375.6,-4870.6,-3812.5,-4625.0,,-5046.3,False,True,False,,False
Rhode Island,1754,1237.4,1134.8,1382.4,1221.0,,1176.2,-501.6,-604.2,-356.6,-518.0,,-562.8,False,True,False,,False
South Carolina,4895,4831.9,4527.1,4433.2,4340.0,,4567.8,-63.1,-367.9,-461.8,-555.0,,-327.2,False,False,False,,False
South Dakota,1350,573.7,757.1,665.1,403.0,,332.3,-776.3,-592.9,-684.9,-947.0,,-1017.7,True,True,False,,False
Tennessee,5960,4748.4,6822.0,4322.4,3857.0,,4314.9,-1211.6,862.0,-1637.6,-2103.0,,-1645.1,True,False,False,,False
Texas,25920,22562.9,22199.0,24790.8,21914.0,26332.0,21112.7,-3076.1,-3440.0,-848.2,-3725.0,693.0,-4526.3,False,True,False,True,False
Utah,1148,749.4,1578.6,912.3,606.0,,707.6,-398.6,430.6,-235.7,-542.0,,-440.4,False,True,False,,False
Vermont,108,58.0,60.6,62.7,58.0,,59.7,-50.0,-47.4,-45.3,-50.0,,-48.3,True,True,False,,True
Virginia,4643,4496.9,3424.4,4720.6,4059.0,,3814.0,-143.1,-1215.6,80.6,-581.0,,-826.0,False,True,False,,False
Washington,3104,2598.0,2579.0,3826.2,2441.0,,2820.6,-521.0,-540.0,707.2,-678.0,,-298.4,False,False,False,,True
West Virginia,1122,635.4,465.9,656.9,638.0,,555.2,-486.6,-656.1,-465.1,-484.0,,-566.8,False,True,True,,False
Wisconsin,4722,2419.3,4019.9,2810.5,2054.0,,2184.1,-2226.7,-626.1,-1835.5,-2592.0,,-2461.9,True,True,False,,False
Wyoming,351,85.6,115.2,269.6,82.0,,68.6,-265.4,-235.8,-81.4,-269.0,,-282.4,True,True,False,,False
US,320986,263626.7,255673.0,275381.5,256314.0,256977.0,251500.1,-57171.3,-65125.0,-45416.5,-64484.0,-63821.0,-69297.9,False,True,False,False,False
