,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UT-Mobility,Wadhwani_AI-BayesOpt,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UT-Mobility,error-Wadhwani_AI-BayesOpt,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-Wadhwani_AI-BayesOpt,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Massachusetts,11657,11644.7,11749.9,11659.2,11663.0,11661.0,11698.0,11771.0,11656.8,11781.0,11333.6,11663.0,11663.7,11702.8,11690.4,11740.4,,11435.1,11702.0,11691.6,11585.5,11696.0,11579.0,11729.5,11704.0,11692.4,11669.0,11693.9,11762.3,,11815.8,11724.8,11562.0,,11669.8,11662.1,11638.0,12136.0,11656.0,11660.6,,11608.3,11708.3,11704.0,11694.0,,11708.0,11716.0,11711.7,11433.7,11547.3,-12.3,92.9,2.2,6.0,4.0,41.0,114.0,-0.2,124.0,-323.4,6.0,6.7,45.8,33.4,83.4,,-221.9,45.0,34.6,-71.5,39.0,-78.0,72.5,47.0,35.4,12.0,36.9,105.3,,158.8,67.8,-95.0,,12.8,5.1,-19.0,479.0,-1.0,3.6,,-48.7,51.3,47.0,37.0,,51.0,59.0,54.7,-223.3,-109.7,False,True,True,True,False,False,True,False,False,True,True,False,False,False,,False,False,False,False,False,False,False,False,False,True,False,False,,False,False,False,,False,True,False,False,True,True,,False,False,False,False,,False,False,False,False,False
Michigan,12074,11944.1,12133.5,12087.5,12051.0,12069.0,11991.0,11941.0,12018.6,12004.0,11429.1,11865.0,12556.0,11993.0,12102.6,11841.9,,11872.0,11994.0,12159.8,11961.9,12144.0,11496.9,12004.5,11995.0,11955.7,12062.0,12028.7,12333.2,11306.0,11205.0,12062.7,11954.0,,12001.6,12183.7,11903.0,11412.9,11578.0,11970.2,,12028.4,12048.8,11957.7,11870.0,12316.1,12069.0,11865.0,12309.9,11280.4,11914.6,-129.9,59.5,13.5,-23.0,-5.0,-83.0,-133.0,-55.4,-70.0,-644.9,-209.0,482.0,-81.0,28.6,-232.1,,-202.0,-80.0,85.8,-112.1,70.0,-577.1,-69.5,-79.0,-118.3,-12.0,-45.3,259.2,-768.0,-869.0,-11.3,-120.0,,-72.4,109.7,-171.0,-661.1,-496.0,-103.8,,-45.6,-25.2,-116.3,-204.0,242.1,-5.0,-209.0,235.9,-793.6,-159.4,True,True,True,True,True,False,True,True,False,False,False,True,True,False,,False,True,True,True,True,False,True,True,True,True,True,False,False,False,True,True,,True,True,False,False,False,True,,True,True,True,False,False,True,False,False,False,False
Minnesota,4839,4897.3,4933.9,4857.5,4880.0,4857.0,4841.0,4981.0,4851.1,4769.0,4556.7,4879.0,4957.9,4810.4,4875.0,4727.4,,4642.7,4934.0,4879.7,4810.1,4900.0,4693.9,4795.3,4844.0,4902.1,4921.0,4816.8,4980.1,4577.0,4683.6,4833.4,4831.0,,5167.5,4866.5,4796.0,4425.2,4850.0,4852.9,,4940.5,4822.3,4867.7,4850.0,,4841.0,4975.0,4813.9,4576.0,4821.0,58.3,94.9,18.5,41.0,18.0,2.0,142.0,12.1,-70.0,-282.3,40.0,118.9,-28.6,36.0,-111.6,,-196.3,95.0,40.7,-28.9,61.0,-145.1,-43.7,5.0,63.1,82.0,-22.2,141.1,-262.0,-155.4,-5.6,-8.0,,328.5,27.5,-43.0,-413.8,11.0,13.9,,101.5,-16.7,28.7,11.0,,2.0,136.0,-25.1,-263.0,-18.0,False,True,True,True,True,False,True,False,False,True,False,True,True,False,,False,False,True,True,False,False,True,True,False,False,True,False,False,False,True,True,,False,True,True,False,True,True,,False,True,True,True,,True,False,True,False,True
Mississippi,4390,4403.0,4437.6,4414.1,4391.0,4411.0,4400.0,4345.0,4420.3,4433.0,4168.3,4319.0,4409.9,4410.1,4457.4,4410.2,,4174.0,4380.0,4427.8,4322.1,4376.0,4290.5,4411.7,4403.0,4412.5,4378.0,4394.9,4434.1,,4356.2,4468.4,4349.0,,4316.9,4423.9,4399.0,4428.5,4403.0,4421.1,,4329.7,4407.1,4397.6,4400.0,,4399.0,4394.0,4331.1,4278.5,4371.9,13.0,47.6,24.1,1.0,21.0,10.0,-45.0,30.3,43.0,-221.7,-71.0,19.9,20.1,67.4,20.2,,-216.0,-10.0,37.8,-67.9,-14.0,-99.5,21.7,13.0,22.5,-12.0,4.9,44.1,,-33.8,78.4,-41.0,,-73.1,33.9,9.0,38.5,13.0,31.1,,-60.3,17.1,7.6,10.0,,9.0,4.0,-58.9,-111.5,-18.1,False,False,True,False,True,False,False,False,False,False,False,False,False,False,,False,True,False,False,False,False,False,False,False,True,True,False,,False,False,False,,False,False,True,False,False,False,,False,False,True,True,,True,True,False,False,False
Missouri,5048,4887.6,5013.2,4969.5,4951.0,4928.0,4938.0,5089.0,4897.3,4947.0,4630.8,4937.0,4952.8,4888.7,4823.0,4620.3,,4622.5,5263.0,4946.2,4651.4,5045.0,4529.5,4945.7,4956.0,4958.1,5013.0,4928.9,5079.4,,5020.1,4904.4,5152.0,,4941.0,5054.9,4892.0,5007.1,4844.0,4867.7,,4928.3,4944.4,4937.1,4881.0,,4932.0,4938.0,,4445.2,4378.3,-160.4,-34.8,-78.5,-97.0,-120.0,-110.0,41.0,-150.7,-101.0,-417.2,-111.0,-95.2,-159.3,-225.0,-427.7,,-425.5,215.0,-101.8,-396.6,-3.0,-518.5,-102.3,-92.0,-89.9,-35.0,-119.1,31.4,,-27.9,-143.6,104.0,,-107.0,6.9,-156.0,-40.9,-204.0,-180.3,,-119.7,-103.6,-110.9,-167.0,,-116.0,-110.0,,-602.8,-669.7,True,True,True,True,True,True,True,True,False,True,True,True,False,False,,False,False,True,False,True,False,True,True,True,True,True,True,,True,True,True,,True,True,True,True,False,False,,True,True,True,False,,True,True,,False,False
Montana,864,888.3,875.7,897.6,894.0,898.0,882.0,879.0,879.3,868.0,822.2,864.0,929.7,891.6,918.0,867.6,,828.5,917.0,881.4,861.8,895.0,863.7,881.1,879.0,884.4,908.0,893.3,891.4,,891.3,893.3,881.0,,,884.7,882.0,874.9,864.0,905.2,,892.9,905.0,912.7,885.0,,888.0,870.0,885.8,860.4,869.6,24.3,11.7,33.6,30.0,34.0,18.0,15.0,15.3,4.0,-41.8,0.0,65.7,27.6,54.0,3.6,,-35.5,53.0,17.4,-2.2,31.0,-0.3,17.1,15.0,20.4,44.0,29.3,27.4,,27.3,29.3,17.0,,,20.7,18.0,10.9,0.0,41.2,,28.9,41.0,48.7,21.0,,24.0,6.0,21.8,-3.6,5.6,True,False,False,False,True,True,True,True,False,True,False,False,False,True,,False,False,True,True,False,True,True,True,True,False,False,False,,False,False,True,,,True,True,True,True,False,,False,False,False,True,,True,True,True,True,True
Nebraska,1475,1517.0,1584.6,1537.2,1536.0,1536.0,1526.0,1525.0,1510.3,1530.0,1428.4,1496.0,1643.9,1508.4,1559.1,1538.3,,1455.0,1604.0,1542.3,1538.2,1569.0,1449.7,1506.1,1516.0,1517.1,1584.0,1537.2,1560.4,,1474.5,1512.0,1630.0,,,1557.7,1487.0,1345.8,1514.0,1506.1,,1529.6,1548.5,1523.4,1476.0,,1516.0,1545.5,1631.2,1436.4,1599.3,42.0,109.6,62.2,61.0,61.0,51.0,50.0,35.3,55.0,-46.6,21.0,168.9,33.4,84.1,63.3,,-20.0,129.0,67.3,63.2,94.0,-25.3,31.1,41.0,42.1,109.0,62.2,85.4,,-0.5,37.0,155.0,,,82.7,12.0,-129.2,39.0,31.1,,54.6,73.5,48.4,1.0,,41.0,70.5,156.2,-38.6,124.3,False,False,False,False,False,False,True,False,False,True,False,True,False,False,,True,False,False,False,False,True,True,True,False,False,False,False,,True,True,False,,,False,True,False,True,True,,False,False,False,True,,True,False,False,True,False
Nevada,2749,2731.0,2778.9,2742.5,2736.0,2739.0,2740.0,2797.0,2738.0,2743.0,2565.8,2688.0,2835.0,2765.3,2761.9,2741.9,,2616.4,2735.0,2746.1,2828.3,2752.0,2679.2,2760.9,2744.0,2752.3,2768.0,2719.5,2812.1,,2697.6,2790.0,2776.0,,2677.7,2765.5,2730.0,2935.6,2729.0,2737.5,,2700.8,2730.2,2735.2,2713.0,,2749.0,2786.0,2740.8,2601.4,2722.0,-18.0,29.9,-6.5,-13.0,-10.0,-9.0,48.0,-11.0,-6.0,-183.2,-61.0,86.0,16.3,12.9,-7.1,,-132.6,-14.0,-2.9,79.3,3.0,-69.8,11.9,-5.0,3.3,19.0,-29.5,63.1,,-51.4,41.0,27.0,,-71.3,16.5,-19.0,186.6,-20.0,-11.5,,-48.2,-18.8,-13.8,-36.0,,0.0,37.0,-8.2,-147.6,-27.0,False,True,True,True,True,False,True,True,False,False,False,True,True,True,,False,True,True,False,True,False,True,True,True,False,False,False,,False,False,False,,False,True,False,False,False,True,,False,False,True,False,,True,False,True,False,False
New Hampshire,650,636.4,661.1,641.6,639.0,641.0,646.0,666.0,650.5,655.0,593.5,641.0,633.7,645.0,659.1,656.7,,619.0,656.0,648.0,629.2,652.0,651.1,658.2,646.5,643.7,653.0,637.8,653.8,,651.1,645.4,631.0,,,652.1,646.0,717.6,643.0,638.9,,637.2,650.1,656.3,647.0,,649.0,654.0,642.6,611.2,635.0,-13.6,11.1,-8.4,-11.0,-9.0,-4.0,16.0,0.5,5.0,-56.5,-9.0,-16.3,-5.0,9.1,6.7,,-31.0,6.0,-2.0,-20.8,2.0,1.1,8.2,-3.5,-6.3,3.0,-12.2,3.8,,1.1,-4.6,-19.0,,,2.1,-4.0,67.6,-7.0,-11.1,,-12.8,0.1,6.3,-3.0,,-1.0,4.0,-7.4,-38.8,-15.0,True,True,True,True,True,False,True,True,False,True,False,True,True,True,,False,True,True,False,True,True,True,True,True,True,True,True,,True,True,False,,,True,True,False,True,True,,True,True,True,True,,True,True,True,False,False
New Jersey,18173,18119.6,18275.3,18163.5,18150.0,18158.0,18163.0,18335.0,18156.8,18165.0,17827.0,18004.0,18216.6,18190.2,18218.7,18240.0,,17893.6,18168.0,18164.1,18107.0,18187.0,18001.8,18157.5,18282.0,18158.0,18190.0,18186.3,18327.1,,17974.8,18239.2,18230.0,,18003.1,18153.6,18127.0,17983.4,18060.0,18174.4,,18071.3,18200.9,18188.3,18107.0,,18163.0,18317.0,17981.3,17851.8,18304.0,-53.4,102.3,-9.5,-23.0,-15.0,-10.0,162.0,-16.2,-8.0,-346.0,-169.0,43.6,17.2,45.7,67.0,,-279.4,-5.0,-8.9,-66.0,14.0,-171.2,-15.5,109.0,-15.0,17.0,13.3,154.1,,-198.2,66.2,57.0,,-169.9,-19.4,-46.0,-189.6,-113.0,1.4,,-101.7,27.9,15.3,-66.0,,-10.0,144.0,-191.7,-321.2,131.0,False,True,True,True,True,False,True,True,False,False,True,True,True,False,,False,True,True,False,True,False,True,False,True,True,True,False,,False,False,False,,False,True,True,False,False,True,,False,True,True,False,,True,False,False,False,False
New Mexico,2155,2135.3,2127.5,2083.0,2107.0,2088.0,2112.0,2127.0,2135.8,2078.0,2039.7,2118.0,2241.3,2086.7,2067.7,2130.7,,2142.8,2171.0,2136.6,2100.5,2122.0,2057.4,2113.7,2112.0,2138.8,2130.0,2150.9,2166.4,,2078.7,2122.1,2209.0,,,2109.9,2101.0,2126.9,2112.0,2056.1,,2089.0,2159.1,2070.6,2140.0,,2091.0,2133.0,2119.7,2021.8,2136.6,-19.7,-27.5,-72.0,-48.0,-67.0,-43.0,-28.0,-19.2,-77.0,-115.3,-37.0,86.3,-68.3,-87.3,-24.3,,-12.2,16.0,-18.4,-54.5,-33.0,-97.6,-41.3,-43.0,-16.2,-25.0,-4.1,11.4,,-76.3,-32.9,54.0,,,-45.1,-54.0,-28.1,-43.0,-98.9,,-66.0,4.1,-84.4,-15.0,,-64.0,-22.0,-35.3,-133.2,-18.4,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,True,True,True,False,False,False,False,False,True,False,True,True,,False,False,False,,,False,False,False,False,False,,False,True,False,True,,False,False,False,False,True
New York,36318,36070.4,36356.3,35995.2,35997.0,35982.0,36056.0,36094.0,36092.0,36060.0,35528.7,36067.0,36107.9,35997.5,36167.2,36070.9,,35831.1,36171.0,36013.3,35856.5,36048.0,35889.8,36063.6,36139.0,36187.0,36073.0,35932.5,36173.4,,35896.0,36104.8,35623.5,,35783.0,35911.4,36419.0,36946.4,36165.0,36027.5,,35936.6,35947.6,36079.8,36113.0,,36051.0,36168.5,35916.0,35372.9,36118.5,-184.6,101.3,-259.8,-258.0,-273.0,-199.0,-161.0,-163.0,-195.0,-726.3,-188.0,-147.1,-257.5,-87.8,-184.1,,-423.9,-84.0,-241.7,-398.5,-207.0,-365.2,-191.4,-116.0,-68.0,-182.0,-322.5,-81.6,,-359.0,-150.2,-631.5,,-472.0,-343.6,164.0,691.4,-90.0,-227.5,,-318.4,-307.4,-175.2,-142.0,,-204.0,-86.5,-339.0,-882.1,-136.5,True,False,False,False,False,True,True,False,False,False,True,False,True,True,,False,True,False,False,False,False,False,True,True,True,False,True,,False,True,False,,False,False,True,False,True,False,,False,False,True,True,,False,True,False,False,True
North Carolina,6184,6063.0,6139.6,6075.8,6095.0,6076.0,6127.0,6277.0,6128.3,6202.0,5823.0,6127.0,6206.9,6088.6,6041.9,6186.4,,5993.1,6178.0,6150.3,6207.2,6197.0,6168.5,6140.2,6156.0,6134.2,6184.0,6049.8,6157.8,,5901.2,6144.5,6170.0,,6064.0,6099.4,6100.0,6437.6,6127.0,6064.2,,6144.1,6059.7,6230.5,6133.0,,6119.0,6073.0,6110.9,5966.9,6106.2,-121.0,-44.4,-108.2,-89.0,-108.0,-57.0,93.0,-55.7,18.0,-361.0,-57.0,22.9,-95.4,-142.1,2.4,,-190.9,-6.0,-33.7,23.2,13.0,-15.5,-43.8,-28.0,-49.8,0.0,-134.2,-26.2,,-282.8,-39.5,-14.0,,-120.0,-84.6,-84.0,253.6,-57.0,-119.8,,-39.9,-124.3,46.5,-51.0,,-65.0,-111.0,-73.1,-217.1,-77.8,True,True,True,True,True,True,True,True,False,True,True,True,False,True,,False,True,True,True,True,True,True,True,True,True,False,True,,False,True,True,,True,True,True,False,True,True,,True,False,True,True,,True,True,True,False,True
North Dakota,1231,1266.0,1287.0,1288.3,1289.0,1291.0,1242.0,1195.0,1236.1,1218.0,1133.9,1194.0,1265.2,1276.3,1326.8,1219.1,,1141.2,1298.0,1224.2,1217.4,1261.0,1185.2,1230.4,1220.0,1229.6,1237.0,1267.1,1265.9,,1242.6,1293.2,1246.0,,,1311.7,1249.0,1149.6,1222.0,1294.3,,1212.6,1279.4,1259.4,1228.0,,1238.0,1223.0,1247.3,1211.4,1226.0,35.0,56.0,57.3,58.0,60.0,11.0,-36.0,5.1,-13.0,-97.1,-37.0,34.2,45.3,95.8,-11.9,,-89.8,67.0,-6.8,-13.6,30.0,-45.8,-0.6,-11.0,-1.4,6.0,36.1,34.9,,11.6,62.2,15.0,,,80.7,18.0,-81.4,-9.0,63.3,,-18.4,48.4,28.4,-3.0,,7.0,-8.0,16.3,-19.6,-5.0,False,False,False,False,True,False,True,True,False,False,True,False,False,True,,False,False,True,True,True,False,True,True,True,True,False,True,,True,False,True,,,False,True,False,True,False,,True,False,True,True,,True,True,True,True,True
Ohio,8031,7948.9,8081.2,7991.6,8057.0,8008.0,8082.0,8506.0,8095.7,8156.0,7754.6,7972.0,8204.6,7976.5,8278.9,8071.3,,7909.0,8321.0,8148.4,8119.5,8211.0,8111.0,8109.2,8066.0,8112.3,8247.0,8150.1,8201.5,8233.0,7736.9,8071.5,8300.0,,8200.5,8114.5,8082.0,8696.8,8029.0,7986.6,,8089.8,8160.0,8208.8,8012.0,8064.3,8044.0,8002.5,8162.7,7664.5,8020.8,-82.1,50.2,-39.4,26.0,-23.0,51.0,475.0,64.7,125.0,-276.4,-59.0,173.6,-54.5,247.9,40.3,,-122.0,290.0,117.4,88.5,180.0,80.0,78.2,35.0,81.3,216.0,119.1,170.5,202.0,-294.1,40.5,269.0,,169.5,83.5,51.0,665.8,-2.0,-44.4,,58.8,129.0,177.8,-19.0,33.3,13.0,-28.5,131.7,-366.5,-10.2,True,True,True,True,True,False,True,False,False,True,False,True,False,True,,False,False,False,False,False,True,True,True,True,False,False,False,False,False,True,False,,False,False,True,False,True,True,,True,False,False,True,True,True,True,False,False,True
Oklahoma,2189,2208.0,2247.5,2213.6,2195.0,2210.0,2210.0,2257.0,2240.0,2185.0,2032.8,2260.0,2307.5,2195.9,2261.4,2197.3,,2050.5,2254.0,2196.3,2127.9,2272.0,2208.5,2203.7,2206.0,2237.4,2289.0,2213.3,2233.0,,2108.6,2210.6,2193.0,,,2216.0,2195.0,2287.8,2209.0,2210.8,,2239.5,2225.8,2258.0,2216.0,,2212.0,2244.5,2215.9,2130.0,2183.3,19.0,58.5,24.6,6.0,21.0,21.0,68.0,51.0,-4.0,-156.2,71.0,118.5,6.9,72.4,8.3,,-138.5,65.0,7.3,-61.1,83.0,19.5,14.7,17.0,48.4,100.0,24.3,44.0,,-80.4,21.6,4.0,,,27.0,6.0,98.8,20.0,21.8,,50.5,36.8,69.0,27.0,,23.0,55.5,26.9,-59.0,-5.7,False,False,True,False,False,False,False,True,False,False,False,True,False,True,,False,False,True,False,False,False,True,True,False,False,False,False,,False,False,True,,,False,True,False,False,False,,False,False,False,False,,False,False,False,False,True
Oregon,1340,1259.6,1319.8,1270.8,1292.0,1273.0,1293.0,1293.0,1292.9,1316.0,1192.7,1270.0,1299.6,1269.6,1311.3,1291.4,,1270.2,1332.0,1291.2,1323.0,1328.0,1270.3,1294.2,1268.0,1279.3,1338.0,1304.4,1299.5,,1183.8,1305.0,1336.0,,,1298.3,1282.0,1300.8,1249.0,1264.4,,1279.4,1315.7,1282.2,1257.0,,1299.0,1273.0,1341.3,1194.5,1254.4,-80.4,-20.2,-69.2,-48.0,-67.0,-47.0,-47.0,-47.1,-24.0,-147.3,-70.0,-40.4,-70.4,-28.7,-48.6,,-69.8,-8.0,-48.8,-17.0,-12.0,-69.7,-45.8,-72.0,-60.7,-2.0,-35.6,-40.5,,-156.2,-35.0,-4.0,,,-41.7,-58.0,-39.2,-91.0,-75.6,,-60.6,-24.3,-57.8,-83.0,,-41.0,-67.0,1.3,-145.5,-85.6,True,True,True,True,True,True,True,True,False,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,,False,True,True,,,True,True,True,False,True,,True,True,True,False,,True,True,True,False,False
Pennsylvania,13754,13548.6,13906.7,13568.6,13509.0,13551.0,13643.0,13472.0,13515.7,13751.0,12607.9,13538.0,13828.1,13610.4,13576.8,13536.5,,12823.1,13821.0,13747.4,13485.0,13544.0,13194.6,13744.8,13937.0,13684.6,13565.0,13751.5,13975.1,,12734.1,13862.2,13715.0,,13574.9,13794.4,13542.0,13121.6,13574.0,13527.3,,13204.6,13782.4,13504.9,13457.0,14056.1,13656.0,13868.0,13633.6,12714.4,13482.5,-205.4,152.7,-185.4,-245.0,-203.0,-111.0,-282.0,-238.3,-3.0,-1146.1,-216.0,74.1,-143.6,-177.2,-217.5,,-930.9,67.0,-6.6,-269.0,-210.0,-559.4,-9.2,183.0,-69.4,-189.0,-2.5,221.1,,-1019.9,108.2,-39.0,,-179.1,40.4,-212.0,-632.4,-180.0,-226.7,,-549.4,28.4,-249.1,-297.0,302.1,-98.0,114.0,-120.4,-1039.6,-271.5,True,True,False,True,True,False,False,True,False,False,True,True,True,False,,False,True,True,False,False,False,True,True,True,True,True,False,,False,True,True,,True,True,False,False,True,False,,False,True,False,False,False,True,True,True,False,False
Rhode Island,1625,1591.3,1616.7,1605.0,1590.0,1605.0,1601.0,1593.0,1548.1,1618.0,1527.9,1578.0,1605.5,1599.4,1615.2,1611.7,,1565.2,1608.0,1606.7,1657.7,1611.0,1480.3,1614.5,1601.0,1584.7,1592.0,1603.3,1620.8,,1541.8,1625.5,1583.5,,,1608.1,1590.0,1643.8,1543.0,1606.1,,1591.7,1614.4,1594.8,1592.0,,1600.0,1566.0,1622.4,1444.1,1655.4,-33.7,-8.3,-20.0,-35.0,-20.0,-24.0,-32.0,-76.9,-7.0,-97.1,-47.0,-19.5,-25.6,-9.8,-13.3,,-59.8,-17.0,-18.3,32.7,-14.0,-144.7,-10.5,-24.0,-40.3,-33.0,-21.7,-4.2,,-83.2,0.5,-41.5,,,-16.9,-35.0,18.8,-82.0,-18.9,,-33.3,-10.6,-30.2,-33.0,,-25.0,-59.0,-2.6,-180.9,30.4,True,True,False,True,True,True,False,True,False,False,True,True,True,True,,False,True,True,True,True,False,True,True,False,True,True,True,,False,True,False,,,True,False,True,False,True,,True,True,True,True,,True,False,True,False,True
South Carolina,4895,4887.3,4937.5,4850.8,4869.0,4853.0,4889.0,4917.0,4879.5,4917.0,4684.1,4884.0,4941.5,4896.8,4831.7,4885.2,,4725.2,4898.0,4855.5,4851.0,4896.0,4883.0,4894.0,4923.0,4943.5,4879.0,4878.7,4911.0,,4830.2,4893.6,4811.0,,4889.3,4850.6,4884.0,5337.7,5018.0,4847.7,,4832.3,4890.6,4904.8,4937.0,,4874.0,4919.0,4855.3,4822.3,4892.4,-7.7,42.5,-44.2,-26.0,-42.0,-6.0,22.0,-15.5,22.0,-210.9,-11.0,46.5,1.8,-63.3,-9.8,,-169.8,3.0,-39.5,-44.0,1.0,-12.0,-1.0,28.0,48.5,-16.0,-16.3,16.0,,-64.8,-1.4,-84.0,,-5.7,-44.4,-11.0,442.7,123.0,-47.3,,-62.7,-4.4,9.8,42.0,,-21.0,24.0,-39.7,-72.7,-2.6,False,False,False,False,True,False,False,False,False,False,False,True,False,False,,False,True,False,False,True,False,True,False,False,False,False,False,,False,True,False,,True,False,False,False,False,False,,False,True,False,False,,False,False,False,False,True
South Dakota,1350,1386.7,1393.9,1386.4,1394.0,1395.0,1380.0,1294.0,1354.9,1358.0,1315.5,1375.0,1473.7,1389.7,1395.6,1367.5,,1426.4,1422.0,1414.5,1391.3,1392.0,1291.8,1371.1,1376.0,1362.8,1374.0,1392.0,1400.0,,1359.4,1373.0,1389.0,,,1394.5,1354.0,1189.0,1374.0,1380.3,,1373.2,1400.9,1366.5,1362.0,,1394.0,1408.0,1389.3,1339.8,1352.8,36.7,43.9,36.4,44.0,45.0,30.0,-56.0,4.9,8.0,-34.5,25.0,123.7,39.7,45.6,17.5,,76.4,72.0,64.5,41.3,42.0,-58.2,21.1,26.0,12.8,24.0,42.0,50.0,,9.4,23.0,39.0,,,44.5,4.0,-161.0,24.0,30.3,,23.2,50.9,16.5,12.0,,44.0,58.0,39.3,-10.2,2.8,False,True,False,False,True,False,True,True,True,True,False,False,False,True,,False,False,False,False,False,False,True,True,True,True,False,False,,True,True,False,,,False,True,False,True,True,,True,False,True,True,,False,False,False,True,True
