,actual_deaths,Baseline,BPagano-RtDriven,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,QJHong-Encounter,STH-3PU,UCLA-SuEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,error-Baseline,error-BPagano-RtDriven,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-QJHong-Encounter,error-STH-3PU,error-UCLA-SuEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,beat_baseline-BPagano-RtDriven,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-QJHong-Encounter,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting
Georgia,10381,9160.4,9503.1,9175.6,11724.0,9819.2,,9409.0,9393.8,9277.1,,,9050.1,9700.0,8698.2,-1220.6,-877.9,-1205.4,1343.0,-561.8,,-972.0,-987.2,-1103.9,,,-1330.9,-681.0,-1682.8,True,True,False,True,,True,True,True,,,False,True,False
Hawaii,281,267.0,667.2,269.4,,363.1,,,397.5,336.3,,,239.6,245.0,261.5,-14.0,386.2,-11.6,,82.1,,,116.5,55.3,,,-41.4,-36.0,-19.5,False,True,,False,,,False,False,,,False,False,False
Idaho,1275,1020.9,1757.9,1027.9,1109.0,1043.8,,968.0,1128.0,986.6,,,939.9,892.0,740.4,-254.1,482.9,-247.1,-166.0,-231.2,,-307.0,-147.0,-288.4,,,-335.1,-383.0,-534.6,False,True,True,True,,False,True,False,,,False,False,False
Illinois,16326,12132.1,14342.8,11694.0,26124.0,15317.3,,11915.0,13185.6,13315.9,,,11000.5,12511.0,10618.0,-4193.9,-1983.2,-4632.0,9798.0,-1008.7,,-4411.0,-3140.4,-3010.1,,,-5325.5,-3815.0,-5708.0,True,False,False,True,,False,True,True,,,False,True,False
Indiana,7338,5968.6,6739.8,5830.7,9242.0,7207.3,,5711.0,6733.4,6651.5,,,5253.8,7344.0,4550.3,-1369.4,-598.2,-1507.3,1904.0,-130.7,,-1627.0,-604.6,-686.5,,,-2084.2,6.0,-2787.7,True,False,False,True,,False,True,True,,,False,True,False
Iowa,3532,2405.0,2947.4,2290.1,4141.0,2866.6,,2393.0,2690.0,2747.2,,,2069.4,3216.0,1982.6,-1127.0,-584.6,-1241.9,609.0,-665.4,,-1139.0,-842.0,-784.8,,,-1462.6,-316.0,-1549.4,True,False,True,True,,False,True,True,,,False,True,False
Kansas,2341,1498.1,2050.7,1507.7,2486.0,2197.6,,1614.0,1926.7,2049.9,,,1296.4,1517.0,1251.0,-838.9,-286.3,-829.3,149.0,-139.4,,-723.0,-410.3,-287.1,,,-1040.6,-820.0,-1086.0,True,True,True,True,,True,True,True,,,False,True,False
Kentucky,2371,2051.3,2707.6,2051.9,2943.0,2421.8,,2176.0,2366.7,2504.2,,,2007.3,2696.0,1711.9,-319.7,336.6,-319.1,572.0,50.8,,-195.0,-4.3,133.2,,,-363.7,325.0,-659.1,False,True,False,True,,True,True,True,,,False,False,False
Louisiana,6994,6536.3,6498.4,6616.6,7260.0,6629.5,,6492.0,6684.7,6321.8,,,6797.2,6350.0,6195.0,-457.7,-495.6,-377.4,266.0,-364.5,,-502.0,-309.3,-672.2,,,-196.8,-644.0,-799.0,False,True,True,True,,False,True,False,,,True,False,False
Maine,292,153.9,149.5,157.6,198.0,164.1,,203.0,154.6,275.1,,,152.8,167.0,156.2,-138.1,-142.5,-134.4,-94.0,-127.9,,-89.0,-137.4,-16.9,,,-139.2,-125.0,-135.8,False,True,True,True,,True,True,True,,,False,True,True
Maryland,5412,4536.0,4631.4,4546.9,5032.0,4580.3,,4392.0,4597.1,4504.4,,20358.0,4470.3,4751.0,4378.0,-876.0,-780.6,-865.1,-380.0,-831.7,,-1020.0,-814.9,-907.6,,14946.0,-941.7,-661.0,-1034.0,True,True,True,True,,False,True,False,,False,False,True,False
Massachusetts,11657,11034.7,11110.6,11091.6,13625.0,11614.6,,10780.0,11492.7,11309.1,,,10666.1,12065.0,10288.6,-622.3,-546.4,-565.4,1968.0,-42.4,,-877.0,-164.3,-347.9,,,-990.9,408.0,-1368.4,True,True,False,True,,False,True,True,,,False,True,False
Michigan,12074,8912.7,10755.8,8945.4,20862.0,11094.3,,9146.0,10064.4,10405.8,,,8332.5,11037.0,7998.1,-3161.3,-1318.2,-3128.6,8788.0,-979.7,,-2928.0,-2009.6,-1668.2,,,-3741.5,-1037.0,-4075.9,True,True,False,True,,True,True,True,,,False,True,False
Minnesota,4839,3399.9,3887.0,3420.9,4507.0,3956.0,,3609.0,3822.6,3425.0,,,3222.8,3635.0,2761.1,-1439.1,-952.0,-1418.1,-332.0,-883.0,,-1230.0,-1016.4,-1414.0,,,-1616.2,-1204.0,-2077.9,True,True,True,True,,True,True,True,,,False,True,False
Mississippi,4390,3985.7,3963.2,3886.8,4075.0,4032.8,,3831.0,3909.0,3893.5,,,3951.8,3909.0,3711.1,-404.3,-426.8,-503.2,-315.0,-357.2,,-559.0,-481.0,-496.5,,,-438.2,-481.0,-678.9,False,False,True,True,,False,False,False,,,False,False,False
Missouri,5048,4532.9,4889.3,4639.9,5979.0,5248.1,,4212.0,5371.2,4391.1,,,3909.5,4810.0,3356.1,-526.1,-169.7,-419.1,920.0,189.1,,-847.0,312.2,-667.9,,,-1149.5,-249.0,-1702.9,True,True,False,True,,False,True,False,,,False,True,False
Montana,864,917.7,912.0,942.0,871.0,1051.5,,964.0,1154.6,1176.7,,,795.8,945.0,511.6,53.7,48.0,78.0,7.0,187.5,,100.0,290.6,312.7,,,-68.2,81.0,-352.4,True,False,True,False,,False,False,False,,,False,False,False
Nebraska,1475,1051.7,1684.6,1050.9,1278.0,1213.5,,1044.0,1238.5,1119.5,,,886.7,1078.0,763.4,-423.3,209.6,-424.1,-197.0,-261.5,,-431.0,-236.5,-355.5,,,-588.3,-397.0,-711.6,True,False,True,True,,False,True,True,,,False,True,False
Nevada,2749,2003.3,1924.8,2011.1,2149.0,2226.6,,2002.0,2115.0,2068.6,,,2191.3,2089.0,1966.2,-741.7,-820.2,-733.9,-596.0,-518.4,,-743.0,-630.0,-676.4,,,-553.7,-656.0,-778.8,False,True,True,True,,False,True,True,,,True,True,False
New Hampshire,650,551.6,494.7,554.8,609.0,662.1,,591.0,600.9,583.4,,,536.6,613.0,503.7,-98.4,-155.3,-95.2,-41.0,12.1,,-59.0,-49.1,-66.6,,,-113.4,-37.0,-146.3,False,True,True,True,,True,True,True,,,False,True,False
New Jersey,18173,16827.1,17341.4,17100.0,18127.0,17121.4,,16786.0,17013.2,17672.4,,,16636.9,17334.0,16528.2,-1345.9,-831.6,-1073.0,-46.0,-1051.6,,-1387.0,-1159.8,-500.6,,,-1536.1,-839.0,-1644.8,True,True,True,True,,False,True,True,,,False,True,False
New Mexico,2155,1430.6,1513.3,1388.8,1708.0,1690.4,,1333.0,1567.6,1510.5,,,1299.6,1396.0,1136.9,-724.4,-641.7,-766.2,-447.0,-464.6,,-822.0,-587.4,-644.5,,,-855.4,-759.0,-1018.1,True,False,True,True,,False,True,True,,,False,False,False
New York,36318,34309.9,33873.1,34847.3,34052.0,34858.5,,34217.0,34160.8,35106.1,,,33751.0,34416.0,33572.5,-1791.1,-2227.9,-1253.7,-2049.0,-1242.5,,-1884.0,-1940.2,-994.9,,,-2350.0,-1685.0,-2528.5,False,True,False,True,,False,False,True,,,False,True,False
North Carolina,6184,5932.7,7305.9,6015.6,6443.0,6201.2,,5810.0,6308.6,5672.1,,,5750.2,6375.0,5029.6,-251.3,1121.9,-168.4,259.0,17.2,,-374.0,124.6,-511.9,,,-433.8,191.0,-1154.4,False,True,False,True,,False,True,False,,,False,True,False
North Dakota,1231,1045.3,804.5,1056.2,2015.0,1428.3,,1068.0,1536.4,1261.7,,,741.5,1314.0,708.7,-185.7,-426.5,-174.8,784.0,197.3,,-163.0,305.4,30.7,,,-489.5,83.0,-522.3,False,True,False,False,,True,False,True,,,False,True,False
Ohio,8031,5968.1,11876.9,5979.2,8480.0,6459.0,,6662.0,6086.2,6720.8,,,5846.4,6298.0,5827.1,-2062.9,3845.9,-2051.8,449.0,-1572.0,,-1369.0,-1944.8,-1310.2,,,-2184.6,-1733.0,-2203.9,False,True,True,True,,True,True,True,,,False,True,False
Oklahoma,2189,2003.3,2336.4,1980.9,2082.0,1972.6,,2035.0,2028.2,1841.2,,,1839.3,1829.0,1568.3,-185.7,147.4,-208.1,-107.0,-216.4,,-154.0,-160.8,-347.8,,,-349.7,-360.0,-620.7,True,False,True,False,,True,True,False,,,False,False,False
Oregon,1340,951.6,1085.8,941.1,919.0,965.5,,893.0,923.5,953.8,,,855.0,1071.0,788.0,-388.4,-254.2,-398.9,-421.0,-374.5,,-447.0,-416.5,-386.2,,,-485.0,-269.0,-552.0,True,False,False,True,,False,False,True,,,False,True,False
Pennsylvania,13754,9872.7,10759.2,9961.4,12921.0,11046.6,,10156.0,10737.8,10766.9,,,9525.1,10688.0,9364.6,-3881.3,-2994.8,-3792.6,-833.0,-2707.4,,-3598.0,-3016.2,-2987.1,,,-4228.9,-3066.0,-4389.4,True,True,True,True,,True,True,True,,,False,True,False
Rhode Island,1625,1365.6,1449.8,1385.5,2758.0,1806.3,,1381.0,1536.4,1504.1,,,1281.0,1372.0,1217.5,-259.4,-175.2,-239.5,1133.0,181.3,,-244.0,-88.6,-120.9,,,-344.0,-253.0,-407.5,True,True,False,True,,True,True,True,,,False,True,False
South Carolina,4895,4854.9,6536.6,4927.8,6597.0,4926.5,,4803.0,4663.9,4769.9,,,4657.7,5007.0,4411.9,-40.1,1641.6,32.8,1702.0,31.5,,-92.0,-231.1,-125.1,,,-237.3,112.0,-483.1,False,True,False,True,,False,False,False,,,False,False,False
South Dakota,1350,862.1,1018.3,837.9,1576.0,1095.9,,843.0,1108.9,1049.9,,,593.6,806.0,556.5,-487.9,-331.7,-512.1,226.0,-254.1,,-507.0,-241.1,-300.1,,,-756.4,-544.0,-793.5,True,False,True,True,,False,True,True,,,False,False,False
Tennessee,5960,4875.3,6195.8,5124.2,8159.0,5654.5,,4666.0,5585.3,4913.2,,,5196.3,4845.0,3898.1,-1084.7,235.8,-835.8,2199.0,-305.5,,-1294.0,-374.7,-1046.8,,,-763.7,-1115.0,-2061.9,True,True,False,True,,False,True,True,,,True,False,False
Texas,25920,22252.9,22543.3,22315.1,28220.0,22620.2,,22468.0,22929.6,23355.2,,34284.0,22124.6,24492.0,20669.2,-3329.1,-3038.7,-3266.9,2638.0,-2961.8,,-3114.0,-2652.4,-2226.8,,8702.0,-3457.4,-1090.0,-4912.8,True,True,True,True,,True,True,True,,False,False,True,False
Utah,1148,902.0,872.0,855.9,801.0,1209.2,,939.0,976.6,648.0,,,875.2,844.0,545.1,-246.0,-276.0,-292.1,-347.0,61.2,,-209.0,-171.4,-500.0,,,-272.8,-304.0,-602.9,False,False,False,True,,True,True,False,,,False,False,False
Vermont,108,58.0,58.6,61.5,58.0,59.1,,59.0,58.0,61.5,,,59.1,58.0,57.9,-50.0,-49.4,-46.5,-50.0,-48.9,,-49.0,-50.0,-46.5,,,-48.9,-50.0,-50.1,True,True,False,True,,True,False,True,,,True,False,False
Virginia,4643,4176.1,6380.0,4196.5,4812.0,4362.6,,4462.0,4261.1,4685.7,,,3896.2,4657.0,4079.3,-466.9,1737.0,-446.5,169.0,-280.4,,-181.0,-381.9,42.7,,,-746.8,14.0,-563.7,False,True,True,True,,True,True,True,,,False,True,False
Washington,3104,2846.0,3115.5,2856.5,2952.0,2946.4,,2834.0,3002.6,2807.2,,,2884.2,2927.0,2588.2,-271.0,-1.5,-260.5,-165.0,-170.6,,-283.0,-114.4,-309.8,,,-232.8,-190.0,-528.8,True,True,True,True,,False,True,False,,,True,True,False
West Virginia,1122,700.0,999.1,703.9,1283.0,642.2,,698.0,713.9,964.1,,,687.7,819.0,539.8,-422.0,-122.9,-418.1,161.0,-479.8,,-424.0,-408.1,-157.9,,,-434.3,-303.0,-582.2,True,True,True,False,,False,True,True,,,False,True,False
Wisconsin,4722,3891.6,5455.2,3857.9,6457.0,4050.7,,3506.0,4560.2,4278.6,,,3605.3,3995.0,2423.3,-514.4,1049.2,-548.1,2051.0,-355.3,,-900.0,154.2,-127.4,,,-800.7,-411.0,-1982.7,False,False,False,True,,False,True,True,,,False,True,False
Wyoming,351,217.3,506.6,220.0,570.0,241.2,,221.0,270.0,362.8,,,140.3,272.0,93.3,-133.7,155.6,-131.0,219.0,-109.8,,-130.0,-81.0,11.8,,,-210.7,-79.0,-257.7,False,True,False,True,,True,True,True,,,False,True,False
US,316382,270505.9,291609.7,270119.2,309341.0,299860.4,282502.0,270022.0,286002.1,282857.0,291690.9,265322.0,268019.0,289246.0,253246.2,-45020.1,-23916.3,-45406.8,-6185.0,-15665.6,-33024.0,-45504.0,-29523.9,-32669.0,-23835.1,-50204.0,-47507.0,-26280.0,-62279.8,True,False,True,True,True,False,True,True,True,False,False,True,False
