,actual_deaths,Baseline,BPagano-RtDriven,COVIDhub-baseline,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,UCLA-SuEIR,UCM_MESALab-FoGSEIR,USACE-ERDC_SEIR,WalmartLabsML-LogForecasting,error-Baseline,error-BPagano-RtDriven,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-USACE-ERDC_SEIR,error-WalmartLabsML-LogForecasting,beat_baseline-BPagano-RtDriven,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-WalmartLabsML-LogForecasting
Georgia,10381,10457.9,9502.0,10500.4,18216.0,9846.0,,10349.0,11513.6,11508.1,9833.1,11369.5,11019.5,,10101.8,13108.0,,9805.0,,10685.0,9584.9,76.9,-879.0,119.4,7835.0,-535.0,,-32.0,1132.6,1127.1,-547.9,988.5,638.5,,-279.2,2727.0,,-576.0,,304.0,-796.1,False,False,False,False,,True,False,False,False,False,False,,False,False,,False,,False,False
Hawaii,281,226.9,225.9,236.0,,261.0,,,250.1,239.2,358.3,236.4,265.0,,716.5,461.0,,246.7,,242.1,243.9,-54.1,-55.1,-45.0,,-20.0,,,-30.9,-41.8,77.3,-44.6,-16.0,,435.5,180.0,,-34.3,,-38.9,-37.1,False,True,,True,,,True,True,False,True,True,,False,False,,True,,True,True
Idaho,1275,1113.6,1296.1,1139.0,1429.0,928.0,,1198.0,1374.6,1111.0,1114.6,1384.2,1086.0,,1065.2,1425.5,,1074.9,,1167.7,876.4,-161.4,21.1,-136.0,154.0,-347.0,,-77.0,99.6,-164.0,-160.4,109.2,-189.0,,-209.8,150.5,,-200.1,,-107.3,-398.6,True,True,True,False,,True,True,False,True,True,False,,False,True,,False,,True,False
Illinois,16326,14192.9,17194.6,14086.6,22329.0,16030.0,,14215.0,15475.2,18684.4,14475.5,18892.9,16002.0,14088.0,13521.0,13411.0,,11915.8,,23349.0,12045.8,-2133.1,868.6,-2239.4,6003.0,-296.0,,-2111.0,-850.8,2358.4,-1850.5,2566.9,-324.0,-2238.0,-2805.0,-2915.0,,-4410.2,,7023.0,-4280.2,True,False,False,True,,True,True,False,True,False,True,False,False,False,,False,,False,False
Indiana,8294,6274.9,7281.9,6368.8,9945.0,10068.0,,6575.0,7899.0,8535.7,6776.5,8120.4,7371.0,6528.0,7257.3,6560.5,,5964.1,,11746.8,5077.1,-1669.1,-662.1,-1575.2,2001.0,2124.0,,-1369.0,-45.0,591.7,-1167.5,176.4,-573.0,-1416.0,-686.7,-1383.5,,-1979.9,,3802.8,-2866.9,True,True,False,False,,True,True,True,True,True,True,True,True,True,,False,,False,False
Iowa,3532,2688.4,3631.2,2699.8,11238.0,3783.0,,2800.0,3247.4,5028.1,3120.4,4715.5,3317.0,,4271.1,2567.0,,2603.8,,3816.5,2221.5,-843.6,99.2,-832.2,7706.0,251.0,,-732.0,-284.6,1496.1,-411.6,1183.5,-215.0,,739.1,-965.0,,-928.2,,284.5,-1310.5,True,True,False,True,,True,True,False,True,False,True,,True,False,,False,,True,False
Kansas,2341,1596.9,1964.1,1614.2,3167.0,1603.0,,1720.0,1896.8,2143.2,1931.6,2457.7,1601.0,,1869.9,1651.5,,1593.4,,1801.4,1374.8,-672.1,-304.9,-654.8,898.0,-666.0,,-549.0,-372.2,-125.8,-337.4,188.7,-668.0,,-399.1,-617.5,,-675.6,,-467.6,-894.2,True,True,False,True,,True,True,True,True,True,True,,True,True,,False,,True,False
Kentucky,2371,2127.3,2518.2,2143.0,2479.0,2143.0,,2154.0,2393.4,2164.4,2681.9,2402.4,2037.0,2632.0,1932.4,2307.0,,2220.4,,3149.1,1857.3,-243.7,147.2,-228.0,108.0,-228.0,,-217.0,22.4,-206.6,310.9,31.4,-334.0,261.0,-438.6,-64.0,,-150.6,,778.1,-513.7,True,True,True,True,,True,True,True,False,True,False,False,False,True,,True,,False,False
Louisiana,6994,6533.9,6944.2,6647.1,7216.0,6295.0,,6532.0,6768.4,7661.7,6545.7,6750.6,6721.0,,6509.6,6370.0,,6814.4,,7135.1,6232.0,-449.1,-38.8,-335.9,233.0,-688.0,,-451.0,-214.6,678.7,-437.3,-232.4,-262.0,,-473.4,-613.0,,-168.6,,152.1,-751.0,True,True,True,False,,False,True,False,True,True,True,,False,False,,True,,True,False
Maine,292,228.1,283.6,223.0,900.0,385.0,,209.0,202.4,467.8,399.0,502.3,188.0,,173.0,173.0,,217.5,,331.8,174.1,-63.9,-8.4,-69.0,608.0,93.0,,-83.0,-89.6,175.8,107.0,210.3,-104.0,,-119.0,-119.0,,-74.5,,39.8,-117.9,True,False,False,False,,False,False,False,False,False,False,,False,False,,False,,True,False
Maryland,5412,4739.1,5356.6,4753.5,5893.0,4795.0,,4632.0,4934.3,5210.6,5029.1,5485.9,4929.0,,4702.3,4401.0,,4718.0,,6487.2,4467.0,-672.9,-55.4,-658.5,481.0,-617.0,,-780.0,-477.7,-201.4,-382.9,73.9,-483.0,,-709.7,-1011.0,,-694.0,,1075.2,-945.0,True,True,True,True,,False,True,True,True,True,True,,False,False,,False,,False,False
Massachusetts,11657,11203.3,11520.7,11122.2,13929.0,11683.0,,11353.0,11886.2,13386.9,11386.0,13233.4,11282.0,,10722.8,10847.0,,10847.6,,15982.8,10664.8,-453.7,-136.3,-534.8,2272.0,26.0,,-304.0,229.2,1729.9,-271.0,1576.4,-375.0,,-934.2,-810.0,,-809.4,,4325.8,-992.2,True,False,False,True,,True,True,False,True,False,True,,False,False,,False,,False,False
Michigan,12074,10469.4,13216.1,10529.8,16509.0,14291.0,,10407.0,11627.7,13213.8,11379.9,14077.5,12894.5,10259.0,9197.2,9698.0,,10110.0,,18417.7,8650.9,-1604.6,1142.1,-1544.2,4435.0,2217.0,,-1667.0,-446.3,1139.8,-694.1,2003.5,820.5,-1815.0,-2876.8,-2376.0,,-1964.0,,6343.7,-3423.1,True,True,False,False,,False,True,True,True,False,True,False,False,False,,False,,False,False
Minnesota,4839,4180.1,6324.6,4184.5,12033.0,5557.0,,4505.0,4982.1,6893.3,4628.2,6001.6,5736.5,3650.5,3634.0,4529.0,,4007.0,,7923.4,3181.0,-658.9,1485.6,-654.5,7194.0,718.0,,-334.0,143.1,2054.3,-210.8,1162.6,897.5,-1188.5,-1205.0,-310.0,,-832.0,,3084.4,-1658.0,False,True,False,False,,True,True,False,True,False,False,False,False,True,,False,,False,False
Mississippi,4390,4028.7,4185.2,4075.6,4169.0,3793.0,,4127.0,4241.3,4106.4,3939.1,4198.1,4191.0,,4143.7,3964.0,,4069.6,,4644.4,3831.9,-361.3,-204.8,-314.4,-221.0,-597.0,,-263.0,-148.7,-283.6,-450.9,-191.9,-199.0,,-246.3,-426.0,,-320.4,,254.4,-558.1,True,True,True,False,,True,True,True,False,True,True,,True,False,,True,,True,False
Missouri,5077,4465.3,5645.4,4512.0,7848.0,4344.0,,4627.0,5111.7,5557.5,4742.7,5954.4,4221.0,,5856.4,4721.0,,3765.6,,5657.7,3582.5,-589.7,590.4,-543.0,2793.0,-711.0,,-428.0,56.7,502.5,-312.3,899.4,-834.0,,801.4,-334.0,,-1289.4,,602.7,-1472.5,False,True,False,False,,True,True,True,True,False,False,,False,True,,False,,False,False
Montana,864,830.9,818.3,859.0,956.0,921.0,,973.0,1127.2,826.9,846.4,1116.7,934.0,,623.4,904.0,,659.0,,1056.6,665.6,-33.1,-45.7,-5.0,92.0,57.0,,109.0,263.2,-37.1,-17.6,252.7,70.0,,-240.6,40.0,,-205.0,,192.6,-198.4,False,True,False,False,,False,False,False,True,False,False,,False,False,,False,,False,False
Nebraska,1475,1148.1,1839.7,1159.3,2376.0,1321.0,,1287.0,1502.1,1446.7,1293.3,1697.6,1006.0,,1021.0,1125.0,,861.0,,1399.4,883.8,-326.9,364.7,-315.7,901.0,-154.0,,-188.0,27.1,-28.3,-181.7,222.6,-469.0,,-454.0,-350.0,,-614.0,,-75.6,-591.2,False,True,False,True,,True,True,True,True,True,False,,False,False,,False,,True,False
Nevada,2749,2190.7,2335.2,2198.2,2673.0,2079.0,,2188.0,2334.9,2427.6,2447.0,2514.0,2334.0,,2503.9,2999.0,,2199.6,,2792.6,2067.4,-558.3,-413.8,-550.8,-76.0,-670.0,,-561.0,-414.1,-321.4,-302.0,-235.0,-415.0,,-245.1,250.0,,-549.4,,43.6,-681.6,True,True,True,False,,False,True,True,True,True,True,,True,True,,True,,True,False
New Hampshire,650,547.6,687.2,549.4,708.0,629.0,,597.0,595.1,776.5,659.7,735.5,605.0,,561.9,596.0,,547.2,,1180.8,514.9,-102.4,37.2,-100.6,58.0,-21.0,,-53.0,-54.9,126.5,9.7,85.5,-45.0,,-88.1,-54.0,,-102.8,,530.8,-135.1,True,True,True,True,,True,True,False,True,True,True,,True,True,,False,,False,False
New Jersey,18173,17231.4,17715.2,17231.2,18616.0,17894.0,,17139.0,17461.2,18920.5,18122.6,18178.3,17782.0,,17217.8,16626.0,,17103.7,,26916.8,16685.1,-941.6,-457.8,-941.8,443.0,-279.0,,-1034.0,-711.8,747.5,-50.4,5.3,-391.0,,-955.2,-1547.0,,-1069.3,,8743.8,-1487.9,True,False,True,True,,False,True,True,True,True,True,,False,False,,False,,False,False
New Mexico,2155,1686.1,1832.3,1728.1,2343.0,1396.0,,1731.0,2188.5,2271.6,1765.6,2454.8,1972.0,,1616.9,2142.0,,1562.6,,2332.7,1335.8,-468.9,-322.7,-426.9,188.0,-759.0,,-424.0,33.5,116.6,-389.4,299.8,-183.0,,-538.1,-13.0,,-592.4,,177.7,-819.2,True,True,True,False,,True,True,True,True,True,True,,False,True,,False,,True,False
New York,36318,34658.6,34764.9,34845.9,38300.0,35182.0,,34950.0,35027.8,40885.2,36688.4,36396.1,35884.0,,34664.8,33915.0,,34328.8,,45725.8,33917.7,-1659.4,-1553.1,-1472.1,1982.0,-1136.0,,-1368.0,-1290.2,4567.2,370.4,78.1,-434.0,,-1653.2,-2403.0,,-1989.2,,9407.8,-2400.3,True,True,False,True,,True,True,False,True,True,True,,True,False,,False,,False,False
North Carolina,6184,5772.6,5421.4,5510.9,5701.0,5595.0,,5605.0,6134.7,5729.5,6287.4,6084.9,5558.0,,5485.8,7092.0,,5515.3,,6332.5,5332.7,-411.4,-762.6,-673.1,-483.0,-589.0,,-579.0,-49.3,-454.5,103.4,-99.1,-626.0,,-698.2,908.0,,-668.7,,148.5,-851.3,False,False,False,False,,False,True,False,True,True,False,,False,False,,False,,True,False
North Dakota,1231,1207.1,1244.2,1215.9,1690.0,1257.0,,1371.0,1535.1,1061.5,982.4,1737.2,1189.0,,1412.6,1249.0,,1001.8,,1219.0,932.3,-23.9,13.2,-15.1,459.0,26.0,,140.0,304.1,-169.5,-248.6,506.2,-42.0,,181.6,18.0,,-229.2,,-12.0,-298.7,True,True,False,False,,False,False,False,False,False,False,,False,True,,False,,True,False
Ohio,11427,6717.7,7767.0,6753.8,9912.0,6529.0,,7259.0,7463.5,9630.4,9010.7,8626.5,8986.5,8318.5,12453.2,6879.0,,6325.7,,13982.5,6167.1,-4225.3,-3176.0,-4189.2,-1031.0,-4414.0,,-3684.0,-3479.5,-1312.6,-1932.3,-2316.5,-1956.5,-2624.5,1510.2,-4064.0,,-4617.3,,3039.5,-4775.9,True,True,True,False,,True,True,True,True,True,True,True,True,True,,False,,True,False
Oklahoma,2189,1965.1,2239.2,1951.0,3224.0,1958.0,,2068.0,2334.4,2690.3,2215.5,2594.7,2418.0,,1761.4,1873.0,,1836.7,,2819.7,1725.0,-223.9,50.2,-238.0,1035.0,-231.0,,-121.0,145.4,501.3,26.5,405.7,229.0,,-427.6,-316.0,,-352.3,,630.7,-464.0,True,False,False,False,,True,True,False,True,False,False,,False,False,,False,,False,False
Oregon,1340,911.6,999.5,908.9,1847.0,925.0,,986.0,1151.2,1406.5,1442.3,1484.1,1104.5,,848.0,1031.0,,863.3,,1312.5,842.7,-428.4,-340.5,-431.1,507.0,-415.0,,-354.0,-188.8,66.5,102.3,144.1,-235.5,,-492.0,-309.0,,-476.7,,-27.5,-497.3,True,False,False,True,,True,True,True,True,True,True,,False,True,,False,,True,False
Pennsylvania,13754,10674.3,12439.3,10506.3,13575.0,11623.0,,10525.0,11350.8,14317.4,12302.4,13185.2,11097.0,,11563.2,11532.0,,10284.6,,17940.9,9743.7,-3079.7,-1314.7,-3247.7,-179.0,-2131.0,,-3229.0,-2403.2,563.4,-1451.6,-568.8,-2657.0,,-2190.8,-2222.0,,-3469.4,,4186.9,-4010.3,True,False,True,True,,False,True,True,True,True,True,,True,True,,False,,False,False
Rhode Island,1754,1399.7,1452.9,1407.9,1544.0,1569.0,,1410.0,1538.4,1685.7,1463.9,1639.7,1411.0,,1589.7,1422.0,,1362.2,,1840.6,1276.6,-317.3,-264.1,-309.1,-173.0,-148.0,,-307.0,-178.6,-31.3,-253.1,-77.3,-306.0,,-127.3,-295.0,,-354.8,,123.6,-440.4,True,True,True,True,,True,True,True,True,True,True,,True,True,,False,,True,False
South Carolina,4895,4481.1,4488.7,4585.1,5080.0,4447.0,,4519.5,4679.6,4602.1,4731.9,4656.3,4337.5,,4479.4,4573.0,,4610.8,,5292.9,4457.9,-413.9,-406.3,-309.9,185.0,-448.0,,-375.5,-215.4,-292.9,-163.1,-238.7,-557.5,,-415.6,-322.0,,-284.2,,397.9,-437.1,True,True,True,False,,True,True,True,True,True,False,,False,True,,True,,True,False
South Dakota,1350,1168.6,1231.8,1111.0,1325.0,1022.0,,1212.0,1424.7,1084.5,846.2,1358.8,1233.0,,1700.7,1119.0,,717.7,,1172.9,807.4,-181.4,-118.2,-239.0,-25.0,-328.0,,-138.0,74.7,-265.5,-503.8,8.8,-117.0,,350.7,-231.0,,-632.3,,-177.1,-542.6,True,False,True,False,,True,True,False,False,True,True,,False,False,,False,,True,False
Tennessee,5960,5340.4,6636.5,5311.6,6169.0,4770.0,,5477.0,5910.9,5776.0,5203.2,7151.6,6024.0,,4761.1,5629.0,,4962.1,,5355.2,4389.3,-619.6,676.5,-648.4,209.0,-1190.0,,-483.0,-49.1,-184.0,-756.8,1191.6,64.0,,-1198.9,-331.0,,-997.9,,-604.8,-1570.7,False,False,True,False,,True,True,True,False,False,True,,False,True,,False,,True,False
Texas,25920,23953.6,25866.8,23779.0,29402.0,21650.0,,23011.0,25215.8,26763.2,23232.7,25715.6,26202.5,,23447.8,28327.5,,23230.2,,25963.2,21809.1,-1588.4,324.8,-1763.0,3860.0,-3892.0,,-2531.0,-326.2,1221.2,-2309.3,173.6,660.5,,-2094.2,2785.5,,-2311.8,,421.2,-3732.9,True,False,False,False,,False,True,True,False,True,True,,False,False,,False,,True,False
Utah,1148,1004.6,1384.0,970.0,1713.0,842.0,,1140.0,1172.2,834.7,1324.7,1298.7,1179.0,,826.7,1129.0,,969.9,,1295.8,623.9,-143.4,236.0,-178.0,565.0,-306.0,,-8.0,24.2,-313.3,176.7,150.7,31.0,,-321.3,-19.0,,-178.1,,147.8,-524.1,False,False,False,False,,True,True,False,False,False,True,,False,True,,False,,False,False
Vermont,108,59.0,69.2,61.0,85.0,68.0,,63.0,59.0,111.8,117.0,88.7,60.0,,62.9,59.0,,59.4,,187.8,59.4,-49.0,-38.8,-47.0,-23.0,-40.0,,-45.0,-49.0,3.8,9.0,-19.3,-48.0,,-45.1,-49.0,,-48.6,,79.8,-48.6,True,True,True,True,,True,False,True,True,True,True,,True,False,,True,,False,True
Virginia,4643,4251.7,4971.0,4276.1,4340.0,4184.0,,4341.0,4163.5,4313.5,4782.3,4314.7,4051.0,,4293.4,4571.0,,4250.5,,4771.4,4100.8,-391.3,328.0,-366.9,-303.0,-459.0,,-302.0,-479.5,-329.5,139.3,-328.3,-592.0,,-349.6,-72.0,,-392.5,,128.4,-542.2,True,True,True,False,,True,False,True,True,True,False,,True,True,,False,,True,False
Washington,3104,2907.6,3315.1,2918.4,5098.0,2722.0,,2960.0,3264.4,3717.6,3565.9,4290.4,3632.0,,2862.8,2954.0,,2913.3,,4486.4,2697.7,-210.4,197.1,-199.6,1980.0,-396.0,,-158.0,146.4,599.6,447.9,1172.4,514.0,,-255.2,-164.0,,-204.7,,1368.4,-420.3,True,True,False,False,,True,True,False,False,False,False,,False,True,,True,,False,False
West Virginia,1122,960.9,1272.7,929.0,1943.0,794.0,,1010.0,999.1,1400.9,1031.2,1166.4,1099.0,,754.9,716.0,,881.6,,1181.1,679.5,-161.1,150.7,-193.0,821.0,-328.0,,-112.0,-122.9,278.9,-90.8,44.4,-23.0,,-367.1,-406.0,,-240.4,,59.1,-442.5,True,False,False,False,,True,True,False,True,True,True,,False,False,,False,,True,False
Wisconsin,4722,3630.1,3512.8,3694.1,4327.0,3933.0,,3859.0,4957.4,4589.1,4529.7,5257.6,3114.0,3998.0,4666.8,3642.0,,3585.4,,5572.7,3190.4,-1091.9,-1209.2,-1027.9,-395.0,-789.0,,-863.0,235.4,-132.9,-192.3,535.6,-1608.0,-724.0,-55.2,-1080.0,,-1136.6,,850.7,-1531.6,False,True,True,True,,True,True,True,True,True,False,True,True,True,,False,,True,False
Wyoming,351,289.7,377.2,294.0,794.0,274.0,,278.0,374.5,491.2,336.2,536.7,254.0,,176.1,630.5,,190.7,,325.9,192.2,-61.3,26.2,-57.0,443.0,-77.0,,-73.0,23.5,140.2,-14.8,185.7,-97.0,,-174.9,279.5,,-160.3,,-25.1,-158.8,True,True,False,False,,False,True,False,True,False,False,,False,False,,False,,True,False
US,320986,283704.1,306355.9,283483.7,317540.0,295000.0,297578.0,285530.0,305806.9,332424.3,303259.8,331626.3,304608.5,,291133.7,307006.5,311346.3,286595.0,279211.0,383034.3,264012.1,-35903.9,-13252.1,-36124.3,-2068.0,-24608.0,-22030.0,-34078.0,-13801.1,12816.3,-16348.2,12018.3,-14999.5,,-28474.3,-12601.5,-8261.7,-33013.0,-40397.0,63426.3,-55595.9,True,False,True,True,True,True,True,True,True,True,True,,True,True,True,True,False,False,False
