,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,MSRA-DeepST,Microsoft-DeepSTIA,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UT-Mobility,Wadhwani_AI-BayesOpt,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-MSRA-DeepST,error-Microsoft-DeepSTIA,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UT-Mobility,error-Wadhwani_AI-BayesOpt,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-MSRA-DeepST,beat_baseline-Microsoft-DeepSTIA,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-Wadhwani_AI-BayesOpt,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Georgia,10381,10482.0,10753.3,10530.7,10604.0,10530.9,10530.0,10365.0,10463.8,9722.0,9981.4,10675.0,10635.5,10469.5,10427.5,,10133.5,10511.0,10482.5,10254.8,10481.0,9890.7,10614.7,10499.0,10654.5,10438.0,10556.1,10551.3,10540.5,,10329.7,10740.5,10294.0,,10598.2,11260.7,10522.0,10292.4,10483.0,10605.2,,10529.8,10566.1,10884.8,10542.0,,10567.0,10357.5,,9888.4,9981.0,101.0,372.3,149.7,223.0,149.9,149.0,-16.0,82.8,-659.0,-399.6,294.0,254.5,88.5,46.5,,-247.5,130.0,101.5,-126.2,100.0,-490.3,233.7,118.0,273.5,57.0,175.1,170.3,159.5,,-51.3,359.5,-87.0,,217.2,879.7,141.0,-88.6,102.0,224.2,,148.8,185.1,503.8,161.0,,186.0,-23.5,,-492.6,-400.0,False,False,False,False,False,True,True,False,False,False,False,True,True,,False,False,False,False,True,False,False,False,False,True,False,False,False,,True,False,True,,False,False,False,True,False,False,,False,False,False,False,,False,True,,False,False
Hawaii,281,295.4,317.7,302.8,300.0,303.0,287.0,278.0,285.9,260.0,250.7,277.0,282.9,,286.4,,271.0,,276.7,284.8,292.0,289.5,287.9,280.0,284.3,301.0,292.1,286.5,291.5,,407.9,275.9,306.0,,,333.5,286.0,281.0,288.0,273.5,,273.5,306.5,297.8,286.0,,296.0,298.0,312.0,273.6,317.0,14.4,36.7,21.8,19.0,22.0,6.0,-3.0,4.9,-21.0,-30.3,-4.0,1.9,,5.4,,-10.0,,-4.3,3.8,11.0,8.5,6.9,-1.0,3.3,20.0,11.1,5.5,10.5,,126.9,-5.1,25.0,,,52.5,5.0,-0.0,7.0,-7.5,,-7.5,25.5,16.8,5.0,,15.0,17.0,31.0,-7.4,36.0,False,False,False,False,True,True,True,False,False,True,True,,True,,True,,True,True,True,True,True,True,True,False,True,True,True,,False,True,False,,,False,True,True,True,True,,True,False,False,True,,False,False,False,True,False
Idaho,1275,1248.6,1334.9,1270.7,1313.0,1270.0,1244.0,1168.0,1235.6,1091.0,1157.8,1201.0,1258.9,1255.3,1245.9,,1304.3,1300.0,1290.4,1231.0,1311.0,1185.4,1246.0,1198.0,1248.9,1247.0,1268.9,1260.4,1262.6,,1192.5,1300.8,1216.0,,,1331.7,1233.0,1199.5,1254.0,1290.6,,1244.7,1284.0,1358.8,1191.0,,1224.0,1153.0,1242.8,1115.4,1238.0,-26.4,59.9,-4.3,38.0,-5.0,-31.0,-107.0,-39.4,-184.0,-117.2,-74.0,-16.1,-19.7,-29.1,,29.3,25.0,15.4,-44.0,36.0,-89.6,-29.0,-77.0,-26.1,-28.0,-6.1,-14.6,-12.4,,-82.5,25.8,-59.0,,,56.7,-42.0,-75.5,-21.0,15.6,,-30.3,9.0,83.8,-84.0,,-51.0,-122.0,-32.2,-159.6,-37.0,False,True,False,True,False,False,False,False,False,False,True,True,False,,False,True,True,False,False,False,False,False,True,False,True,True,True,,False,True,False,,,False,False,False,True,True,,False,True,False,False,,False,False,False,False,False
Illinois,16326,16407.7,16595.6,16391.0,16597.0,16371.7,16061.0,15606.0,16200.1,14367.0,15576.8,15884.0,16337.7,16204.6,15546.1,,16230.2,16045.0,16369.4,15984.3,15917.0,15226.1,16001.7,16360.5,16451.0,16086.0,16157.6,16287.8,16365.1,15639.0,15096.6,16502.5,15939.0,,16597.8,17363.8,15939.0,15266.9,15918.0,16327.6,,16333.9,16228.3,16416.7,15920.0,16144.2,16034.0,16342.5,,14657.4,16429.0,81.7,269.6,65.0,271.0,45.7,-265.0,-720.0,-125.9,-1959.0,-749.2,-442.0,11.7,-121.4,-779.9,,-95.8,-281.0,43.4,-341.7,-409.0,-1099.9,-324.3,34.5,125.0,-240.0,-168.4,-38.2,39.1,-687.0,-1229.4,176.5,-387.0,,271.8,1037.8,-387.0,-1059.1,-408.0,1.6,,7.9,-97.7,90.7,-406.0,-181.8,-292.0,16.5,,-1668.6,103.0,False,True,False,True,False,False,False,False,False,False,True,False,False,,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,,False,False,False,False,False,True,,True,False,False,False,False,False,True,,False,False
Indiana,7338,7276.4,7522.7,7300.3,7431.0,7295.0,7298.0,7149.0,7252.8,6521.0,6882.0,7262.0,7318.1,7419.3,7160.7,,7192.9,7254.0,7370.1,7283.7,7519.0,6601.5,7354.9,7358.0,7391.7,7230.0,7433.9,7381.5,7404.1,6368.5,7378.0,7323.5,7293.0,,7189.7,7513.7,7276.0,7333.5,7110.0,7343.8,,7291.7,7453.3,7625.1,7331.0,7265.7,7157.0,7045.5,7693.6,6216.3,7376.0,-61.6,184.7,-37.7,93.0,-43.0,-40.0,-189.0,-85.2,-817.0,-456.0,-76.0,-19.9,81.3,-177.3,,-145.1,-84.0,32.1,-54.3,181.0,-736.5,16.9,20.0,53.7,-108.0,95.9,43.5,66.1,-969.5,40.0,-14.5,-45.0,,-148.3,175.7,-62.0,-4.5,-228.0,5.8,,-46.3,115.3,287.1,-7.0,-72.3,-181.0,-292.5,355.6,-1121.7,38.0,False,True,False,True,True,False,False,False,False,False,True,False,False,,False,False,True,True,False,False,True,True,True,False,False,True,False,False,True,True,True,,False,False,False,True,False,True,,True,False,False,True,False,False,False,False,False,True
Iowa,3532,3307.6,3447.0,3314.3,3392.0,3296.0,3204.0,3023.0,3146.7,2685.0,2895.8,3149.0,3361.5,3315.3,2974.5,,3117.2,3454.0,3143.5,3013.8,3235.0,3030.9,3061.9,3105.0,3267.2,3183.0,3296.3,3201.8,3242.5,,4068.9,3178.4,3305.0,,3570.9,3590.0,3051.0,2822.3,3058.0,3345.7,,3233.2,3322.6,3363.0,3081.0,,3105.0,3199.0,3127.4,2889.6,3389.0,-224.4,-85.0,-217.7,-140.0,-236.0,-328.0,-509.0,-385.3,-847.0,-636.2,-383.0,-170.5,-216.7,-557.5,,-414.8,-78.0,-388.5,-518.2,-297.0,-501.1,-470.1,-427.0,-264.8,-349.0,-235.7,-330.2,-289.5,,536.9,-353.6,-227.0,,38.9,58.0,-481.0,-709.7,-474.0,-186.3,,-298.8,-209.4,-169.0,-451.0,,-427.0,-333.0,-404.6,-642.4,-143.0,True,True,True,False,False,False,False,False,False,False,True,True,False,,False,True,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,True,True,False,False,False,True,,False,True,True,False,,False,False,False,False,True
Kansas,2341,2263.3,2438.0,2323.8,2353.0,2300.0,2208.0,2088.0,2104.5,1812.0,1963.0,2240.0,2159.8,2278.7,2168.9,,2417.6,2409.0,2288.8,2116.1,2195.0,1906.4,2194.8,2064.0,2107.8,2222.0,2294.5,2211.0,2230.2,,2226.6,2297.5,2258.0,,,2941.2,2164.0,2072.4,2171.0,2101.1,,2198.1,2338.4,2358.2,2230.0,,2204.0,2104.5,1961.4,1750.4,2109.0,-77.7,97.0,-17.2,12.0,-41.0,-133.0,-253.0,-236.5,-529.0,-378.0,-101.0,-181.2,-62.3,-172.1,,76.6,68.0,-52.2,-224.9,-146.0,-434.6,-146.2,-277.0,-233.2,-119.0,-46.5,-130.0,-110.8,,-114.4,-43.5,-83.0,,,600.2,-177.0,-268.6,-170.0,-239.9,,-142.9,-2.6,17.2,-111.0,,-137.0,-236.5,-379.6,-590.6,-232.0,False,True,True,True,False,False,False,False,False,False,False,True,False,,True,True,True,False,False,False,False,False,False,False,True,False,False,,False,True,False,,,False,False,False,False,False,,False,True,True,False,,False,False,False,False,False
Kentucky,2371,2398.9,2514.8,2425.1,2480.0,2415.9,2430.0,2460.0,2539.2,2199.0,2224.1,2337.0,2386.5,2421.7,2369.9,,2399.7,2422.0,2441.4,2293.2,2455.0,2467.4,2449.2,2383.0,2454.1,2544.0,2473.3,2474.7,2468.2,2440.0,2135.7,2466.7,2370.0,,2331.0,2730.3,2379.0,2740.6,2400.0,2486.6,,2464.5,2496.2,2827.0,2440.0,,2431.0,2399.0,2337.2,2196.0,2430.0,27.9,143.8,54.1,109.0,44.9,59.0,89.0,168.2,-172.0,-146.9,-34.0,15.5,50.7,-1.1,,28.7,51.0,70.4,-77.8,84.0,96.4,78.2,12.0,83.1,173.0,102.3,103.7,97.2,69.0,-235.3,95.7,-1.0,,-40.0,359.3,8.0,369.6,29.0,115.6,,93.5,125.2,456.0,69.0,,60.0,28.0,-33.8,-175.0,59.0,False,False,False,False,False,False,False,False,False,False,True,False,True,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,,False,False,True,False,False,False,,False,False,False,False,,False,False,False,False,False
Louisiana,6994,6912.7,6974.7,6863.7,6914.0,6861.9,6941.0,6860.0,6953.1,6733.0,6946.6,6892.0,7012.4,6981.8,6966.1,,7109.0,6915.0,6982.6,7424.3,6964.0,6882.1,6991.1,6910.5,6945.3,7036.0,6957.2,7006.8,7003.6,,6901.8,6937.9,7072.0,,6841.4,6764.1,7000.0,7590.7,6922.0,6863.7,,6885.3,6970.1,7021.6,6980.0,,6906.0,6862.0,7077.3,6758.4,6956.0,-81.3,-19.3,-130.3,-80.0,-132.1,-53.0,-134.0,-40.9,-261.0,-47.4,-102.0,18.4,-12.2,-27.9,,115.0,-79.0,-11.4,430.3,-30.0,-111.9,-2.9,-83.5,-48.7,42.0,-36.8,12.8,9.6,,-92.2,-56.1,78.0,,-152.6,-229.9,6.0,596.7,-72.0,-130.3,,-108.7,-23.9,27.6,-14.0,,-88.0,-132.0,83.3,-235.6,-38.0,True,False,True,False,True,False,True,False,True,False,True,True,True,,False,True,True,False,True,False,True,False,True,True,True,True,True,,False,True,True,,False,False,True,False,True,False,,False,True,True,True,,False,False,False,False,True
Maine,292,293.9,319.5,300.3,306.0,299.0,290.0,247.0,276.6,218.0,264.1,265.0,273.2,300.5,305.2,,253.4,309.0,299.3,281.8,287.0,314.1,290.0,262.0,273.5,305.0,278.9,288.6,294.0,,238.2,316.0,298.0,,,298.6,291.0,272.2,287.0,235.9,,270.0,297.3,317.3,267.0,,282.0,285.0,264.5,235.5,306.0,1.9,27.5,8.3,14.0,7.0,-2.0,-45.0,-15.4,-74.0,-27.9,-27.0,-18.8,8.5,13.2,,-38.6,17.0,7.3,-10.2,-5.0,22.1,-2.0,-30.0,-18.5,13.0,-13.1,-3.4,2.0,,-53.8,24.0,6.0,,,6.6,-1.0,-19.8,-5.0,-56.1,,-22.0,5.3,25.3,-25.0,,-10.0,-7.0,-27.5,-56.5,14.0,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,,False,True,False,False,False,,False,False,False,False,,False,False,False,False,False
Maryland,5412,5256.4,5436.2,5250.6,5315.0,5256.0,5332.0,5337.0,5283.1,4932.0,5201.8,5332.0,5354.7,5475.8,5301.7,,5316.1,5274.0,5368.2,5354.8,5290.0,5108.4,5358.8,5380.0,5353.8,5284.0,5308.7,5392.6,5396.2,,5193.8,5350.1,5510.0,,5581.7,5271.3,5348.0,5203.4,5278.0,5215.8,,5215.5,5327.0,5384.4,5312.0,,5349.0,5568.0,5475.3,4902.0,5428.0,-155.6,24.2,-161.4,-97.0,-156.0,-80.0,-75.0,-128.9,-480.0,-210.2,-80.0,-57.3,63.8,-110.3,,-95.9,-138.0,-43.8,-57.2,-122.0,-303.6,-53.2,-32.0,-58.2,-128.0,-103.3,-19.4,-15.8,,-218.2,-61.9,98.0,,169.7,-140.7,-64.0,-208.6,-134.0,-196.2,,-196.5,-85.0,-27.6,-100.0,,-63.0,156.0,63.3,-510.0,16.0,True,False,True,False,True,True,True,False,False,True,True,True,True,,True,True,True,True,True,False,True,True,True,True,True,True,True,,False,True,True,,False,True,True,False,True,False,,False,True,True,True,,True,False,True,False,True
Massachusetts,11657,11527.7,11656.4,11510.0,11582.0,11507.0,11610.0,11672.0,11566.3,11133.0,11299.3,11589.0,11677.2,11611.9,11615.3,,11503.9,11525.0,11582.7,11619.0,11588.0,11455.1,11737.5,11715.0,11675.4,11524.0,11645.8,11767.1,11731.8,,11908.6,11747.3,11402.0,,11666.4,11608.4,11514.0,12132.1,11597.0,11525.6,,11462.1,11664.7,11664.5,11754.0,,11618.0,11508.0,11412.3,11167.4,11575.0,-129.3,-0.6,-147.0,-75.0,-150.0,-47.0,15.0,-90.7,-524.0,-357.7,-68.0,20.2,-45.1,-41.7,,-153.1,-132.0,-74.3,-38.0,-69.0,-201.9,80.5,58.0,18.4,-133.0,-11.2,110.1,74.8,,251.6,90.3,-255.0,,9.4,-48.6,-143.0,475.1,-60.0,-131.4,,-194.9,7.7,7.5,97.0,,-39.0,-149.0,-244.7,-489.6,-82.0,True,False,True,False,True,True,True,False,False,True,True,True,True,,False,False,True,True,True,False,True,True,True,False,True,True,True,,False,True,False,,True,True,False,False,True,False,,False,True,True,True,,True,False,False,False,True
Michigan,12074,11907.0,12386.6,12006.5,12154.0,12029.1,11870.0,11424.0,11973.2,10424.0,11446.3,11680.0,12063.3,11811.4,11325.3,,11478.7,11863.0,12118.3,11642.7,12053.0,11237.8,11992.2,12234.0,11880.8,11879.0,12071.2,12105.5,12128.4,10148.0,10879.3,11938.5,11685.0,,11813.8,13745.2,11850.0,11412.9,11233.0,12100.7,,11987.7,12117.8,12145.1,11850.0,11975.4,11877.0,11702.5,11945.4,10494.9,11958.0,-167.0,312.6,-67.5,80.0,-44.9,-204.0,-650.0,-100.8,-1650.0,-627.7,-394.0,-10.7,-262.6,-748.7,,-595.3,-211.0,44.3,-431.3,-21.0,-836.2,-81.8,160.0,-193.2,-195.0,-2.8,31.5,54.4,-1926.0,-1194.7,-135.5,-389.0,,-260.2,1671.2,-224.0,-661.1,-841.0,26.7,,-86.3,43.8,71.1,-224.0,-98.6,-197.0,-371.5,-128.6,-1579.1,-116.0,False,True,True,True,False,False,True,False,False,False,True,False,False,,False,False,True,False,True,False,True,True,False,False,True,True,True,False,False,True,False,,False,False,False,False,False,True,,True,True,True,False,True,False,False,True,False,True
Minnesota,4839,4797.0,4841.1,4780.9,4910.0,4777.2,4804.0,4841.0,4927.0,4214.0,4737.7,5246.0,4892.3,4793.0,4550.2,,4919.4,4872.0,4953.2,4898.2,4785.0,4548.3,4811.4,4600.0,4887.2,4928.0,4979.8,5076.3,5042.2,4222.0,4803.2,4751.8,4714.5,,5720.7,5109.6,4671.0,4422.5,4788.0,4824.2,,5097.2,4990.6,5065.1,4804.0,,4772.0,4810.5,4736.0,4195.1,4851.0,-42.0,2.1,-58.1,71.0,-61.8,-35.0,2.0,88.0,-625.0,-101.3,407.0,53.3,-46.0,-288.8,,80.4,33.0,114.2,59.2,-54.0,-290.7,-27.6,-239.0,48.2,89.0,140.8,237.3,203.2,-617.0,-35.8,-87.2,-124.5,,881.7,270.6,-168.0,-416.5,-51.0,-14.8,,258.2,151.6,226.1,-35.0,,-67.0,-28.5,-103.0,-643.9,12.0,True,False,False,False,True,True,False,False,False,False,False,False,False,,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,,False,False,False,False,False,True,,False,False,False,True,,False,True,False,False,True
Mississippi,4390,4248.9,4267.0,4284.0,4319.0,4288.9,4289.0,4105.0,4328.1,4161.0,4178.5,4193.0,4331.8,4366.4,4325.5,,4268.0,4231.0,4312.6,4327.8,4271.0,4144.8,4321.7,4333.0,4301.5,4279.0,4333.8,4311.0,4307.7,,4233.7,4351.9,4037.0,,4233.3,4566.9,4293.0,4428.5,4247.0,4316.0,,4201.0,4351.8,4431.8,4364.0,,4277.0,4308.5,4218.2,4100.9,4325.0,-141.1,-123.0,-106.0,-71.0,-101.1,-101.0,-285.0,-61.9,-229.0,-211.5,-197.0,-58.2,-23.6,-64.5,,-122.0,-159.0,-77.4,-62.2,-119.0,-245.2,-68.3,-57.0,-88.5,-111.0,-56.2,-79.0,-82.3,,-156.3,-38.1,-353.0,,-156.7,176.9,-97.0,38.5,-143.0,-74.0,,-189.0,-38.2,41.8,-26.0,,-113.0,-81.5,-171.8,-289.1,-65.0,True,True,True,True,True,False,True,False,False,False,True,True,True,,True,False,True,True,True,False,True,True,True,True,True,True,True,,False,True,False,,False,False,True,True,False,True,,False,True,True,True,,True,True,False,False,True
Missouri,5048,5090.0,5485.1,5088.5,5198.0,5140.2,4985.0,4901.0,4868.8,4319.0,4458.4,5034.0,4846.4,4910.2,4513.3,,4738.9,5068.0,4984.6,4467.9,4985.0,4483.2,4900.3,4830.0,5067.6,4985.0,4999.9,5123.7,5151.5,,5098.3,5162.3,5048.0,,5047.6,6576.6,4919.0,5060.8,4713.0,5153.5,,4986.1,5056.9,5297.4,4898.0,,4872.0,4763.0,,4255.4,4515.0,42.0,437.1,40.5,150.0,92.2,-63.0,-147.0,-179.2,-729.0,-589.6,-14.0,-201.6,-137.8,-534.7,,-309.1,20.0,-63.4,-580.1,-63.0,-564.8,-147.7,-218.0,19.6,-63.0,-48.1,75.7,103.5,,50.3,114.3,0.0,,-0.4,1528.6,-129.0,12.8,-335.0,105.5,,-61.9,8.9,249.4,-150.0,,-176.0,-285.0,,-792.6,-533.0,False,True,False,False,False,False,False,False,False,True,False,False,False,,False,True,False,False,False,False,False,False,True,False,False,False,False,,False,False,True,,True,False,False,True,False,False,,False,True,False,False,,False,False,,False,False
Montana,864,856.7,831.8,866.6,877.0,864.0,870.0,885.0,849.4,786.0,870.4,846.0,849.2,877.5,865.2,,1210.1,922.0,913.3,889.1,898.0,842.4,875.4,858.0,853.0,909.0,886.3,900.5,896.7,,805.0,841.7,868.0,,,807.4,882.0,874.9,835.0,872.3,,937.8,903.8,974.6,892.0,,833.0,827.0,890.0,815.1,,-7.3,-32.2,2.6,13.0,0.0,6.0,21.0,-14.6,-78.0,6.4,-18.0,-14.8,13.5,1.2,,346.1,58.0,49.3,25.1,34.0,-21.6,11.4,-6.0,-11.0,45.0,22.3,36.5,32.7,,-59.0,-22.3,4.0,,,-56.6,18.0,10.9,-29.0,8.3,,73.8,39.8,110.6,28.0,,-31.0,-37.0,26.0,-48.9,,False,True,False,True,True,False,False,False,True,False,False,False,True,,False,False,False,False,False,False,False,True,False,False,False,False,False,,False,False,True,,,False,False,False,False,False,,False,False,False,False,,False,False,False,False,
Nebraska,1475,1606.1,1756.8,1574.6,1651.0,1604.0,1523.0,1441.0,1487.3,1243.0,1356.7,1456.0,1554.6,1507.4,1475.2,,1742.2,1713.0,1503.0,1467.8,1574.0,1384.8,1492.5,1593.0,1540.9,1582.0,1548.8,1547.0,1570.4,,1465.1,1613.9,1605.5,,,1800.3,1484.0,1345.8,1488.0,1633.8,,1501.0,1566.9,1719.8,1430.0,,1479.0,1432.5,1448.7,1302.4,1553.0,131.1,281.8,99.6,176.0,129.0,48.0,-34.0,12.3,-232.0,-118.3,-19.0,79.6,32.4,0.2,,267.2,238.0,28.0,-7.2,99.0,-90.2,17.5,118.0,65.9,107.0,73.8,72.0,95.4,,-9.9,138.9,130.5,,,325.3,9.0,-129.2,13.0,158.8,,26.0,91.9,244.8,-45.0,,4.0,-42.5,-26.3,-172.6,78.0,False,True,False,True,True,True,True,False,True,True,True,True,True,,False,False,True,True,True,True,True,True,True,True,True,True,True,,True,False,True,,,False,True,True,True,False,,True,True,False,True,,True,True,True,False,True
Nevada,2749,2647.4,2794.6,2674.1,2738.0,2665.0,2676.0,2640.0,2665.9,2505.0,2535.8,2611.0,2651.0,2727.0,2670.6,,2529.7,2655.0,2739.8,2765.0,2704.0,2603.7,2738.5,2835.0,2712.3,2721.0,2671.9,2708.4,2717.5,,2336.0,2676.1,2625.0,,2619.2,2900.5,2678.0,2935.6,2651.0,2697.3,,2647.5,2690.0,2708.7,2660.0,,2682.0,2808.5,2599.6,2414.8,2679.0,-101.6,45.6,-74.9,-11.0,-84.0,-73.0,-109.0,-83.1,-244.0,-213.2,-138.0,-98.0,-22.0,-78.4,,-219.3,-94.0,-9.2,16.0,-45.0,-145.3,-10.5,86.0,-36.7,-28.0,-77.1,-40.6,-31.5,,-413.0,-72.9,-124.0,,-129.8,151.5,-71.0,186.6,-98.0,-51.7,,-101.5,-59.0,-40.3,-89.0,,-67.0,59.5,-149.4,-334.2,-70.0,True,True,True,True,True,False,True,False,False,False,True,True,True,,False,True,True,True,True,False,True,True,True,True,True,True,True,,False,True,False,,False,False,True,False,True,True,,True,True,True,True,,True,True,False,False,True
New Hampshire,650,634.6,695.7,634.4,638.0,631.0,637.0,636.0,638.5,585.0,562.6,648.0,626.1,647.1,626.0,,550.5,630.0,613.4,607.2,636.0,659.6,639.5,640.0,633.6,639.0,628.6,648.0,649.1,,628.4,645.4,595.0,,,720.5,625.0,717.6,652.0,638.4,,606.3,647.8,659.4,644.0,,638.0,682.0,580.0,571.6,628.0,-15.4,45.7,-15.6,-12.0,-19.0,-13.0,-14.0,-11.5,-65.0,-87.4,-2.0,-23.9,-2.9,-24.0,,-99.5,-20.0,-36.6,-42.8,-14.0,9.6,-10.5,-10.0,-16.4,-11.0,-21.4,-2.0,-0.9,,-21.6,-4.6,-55.0,,,70.5,-25.0,67.6,2.0,-11.6,,-43.7,-2.2,9.4,-6.0,,-12.0,32.0,-70.0,-78.4,-22.0,False,False,True,False,True,True,True,False,False,True,False,True,False,,False,False,False,False,True,True,True,True,False,True,False,True,True,,False,True,False,,,False,False,False,True,True,,False,True,True,True,,True,False,False,False,False
New Jersey,18173,17958.0,18199.9,17975.8,18081.0,17987.8,18004.0,18162.0,18031.1,17583.0,17813.5,17850.0,17944.3,18101.8,18076.9,,18123.0,17952.0,18013.0,18015.2,17921.0,17849.1,18068.5,17962.0,18099.4,18054.0,18023.5,18149.2,18162.2,,17672.9,18150.4,17324.0,,17848.3,18077.6,18172.0,17983.4,17924.0,18048.5,,17965.9,18044.7,18246.2,17928.0,,17995.0,18184.0,17928.4,17415.7,18221.0,-215.0,26.9,-197.2,-92.0,-185.2,-169.0,-11.0,-141.9,-590.0,-359.5,-323.0,-228.7,-71.2,-96.1,,-50.0,-221.0,-160.0,-157.8,-252.0,-323.9,-104.5,-211.0,-73.6,-119.0,-149.5,-23.8,-10.8,,-500.1,-22.6,-849.0,,-324.7,-95.4,-1.0,-189.6,-249.0,-124.5,,-207.1,-128.3,73.2,-245.0,,-178.0,11.0,-244.6,-757.3,48.0,True,True,True,True,True,True,True,False,False,False,False,True,True,,True,False,True,True,False,False,True,True,True,True,True,True,True,,False,True,False,,False,True,True,True,False,True,,True,True,True,False,,True,True,False,False,True
New Mexico,2155,2137.1,2206.1,2158.4,2227.0,2160.0,2164.0,2055.0,2192.1,1939.0,2182.1,2138.0,2182.7,2178.9,2249.9,,2398.8,2123.0,2246.9,2260.6,2145.0,1995.3,2189.2,2098.0,2135.1,2151.0,2296.2,2189.4,2193.8,,2027.6,2150.3,2364.0,,,2402.1,2219.0,2126.1,2016.0,2113.4,,2181.4,2313.3,2221.7,2118.0,,2133.0,2072.0,2084.4,1854.2,2225.0,-17.9,51.1,3.4,72.0,5.0,9.0,-100.0,37.1,-216.0,27.1,-17.0,27.7,23.9,94.9,,243.8,-32.0,91.9,105.6,-10.0,-159.7,34.2,-57.0,-19.9,-4.0,141.2,34.4,38.8,,-127.4,-4.7,209.0,,,247.1,64.0,-28.9,-139.0,-41.6,,26.4,158.3,66.7,-37.0,,-22.0,-83.0,-70.6,-300.8,70.0,False,True,False,True,True,False,False,False,False,True,False,False,False,,False,False,False,False,True,False,False,False,False,True,False,False,False,,False,True,False,,,False,False,False,False,False,,False,False,False,False,,False,False,False,False,False
