,actual_deaths,Baseline,BPagano-RtDriven,Covid19Sim-Simulator,IowaStateLW-STEM,JHUAPL-Bucky,STH-3PU,UCLA-SuEIR,error-Baseline,error-BPagano-RtDriven,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-STH-3PU,error-UCLA-SuEIR,beat_baseline-BPagano-RtDriven,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR
Missouri,5048,4770.0,7002.4,3902.2,3353.0,3455.0,,2908.2,-278.0,1954.4,-1145.8,-1695.0,-1593.0,,-2139.8,False,False,False,False,,False
Montana,864,436.7,843.5,885.2,412.0,795.6,,371.2,-427.3,-20.5,21.2,-452.0,-68.4,,-492.8,True,True,False,True,,False
Nebraska,1475,696.4,700.7,866.0,773.0,791.5,,623.4,-778.6,-774.3,-609.0,-702.0,-683.5,,-851.6,True,True,True,True,,False
Nevada,2749,2035.6,2250.8,2395.7,1879.0,2054.1,,2319.4,-713.4,-498.2,-353.3,-870.0,-694.9,,-429.6,True,True,False,True,,True
New Hampshire,650,584.1,731.8,488.8,495.0,564.8,,516.5,-65.9,81.8,-161.2,-155.0,-85.2,,-133.5,False,False,False,False,,False
New Jersey,18173,16548.6,16515.2,17148.1,16453.5,17117.7,,16421.0,-1624.4,-1657.8,-1024.9,-1719.5,-1055.3,,-1752.0,False,True,False,True,,False
New Mexico,2155,1098.3,1055.2,1575.4,1083.0,1371.1,,1013.7,-1056.7,-1099.8,-579.6,-1072.0,-783.9,,-1141.3,False,True,False,True,,False
New York,36318,34171.3,34866.0,34670.0,33762.0,35119.5,,33627.8,-1971.7,-1277.0,-1473.0,-2381.0,-1023.5,,-2515.2,True,True,False,True,,False
North Carolina,6184,5110.6,4792.5,5700.4,5419.0,5721.0,,4971.0,-1073.4,-1391.5,-483.6,-765.0,-463.0,,-1213.0,False,True,True,True,,False
North Dakota,1231,958.0,1142.2,946.7,713.0,696.1,,495.2,-273.0,-88.8,-284.3,-518.0,-534.9,,-735.8,True,False,False,False,,False
Ohio,8031,5728.4,5726.3,6633.6,6241.0,6802.8,,5920.4,-2302.6,-2304.7,-1397.4,-1790.0,-1228.2,,-2110.6,False,True,True,True,,True
Oklahoma,2189,1561.3,1614.8,1741.4,1744.0,1532.8,,1612.0,-627.7,-574.2,-447.6,-445.0,-656.2,,-577.0,True,True,True,False,,True
Oregon,1340,865.1,1426.4,891.9,773.0,927.7,,854.5,-474.9,86.4,-448.1,-567.0,-412.3,,-485.5,True,True,False,True,,False
Pennsylvania,13754,9660.7,10782.9,9856.6,9290.0,10051.2,,9009.9,-4093.3,-2971.1,-3897.4,-4464.0,-3702.8,,-4744.1,True,True,False,True,,False
Rhode Island,1625,1248.3,1179.1,1305.5,1221.0,1339.1,,1169.4,-376.7,-445.9,-319.5,-404.0,-285.9,,-455.6,False,True,False,True,,False
South Carolina,4895,4527.9,4944.1,4384.9,4492.0,4254.8,,4544.4,-367.1,49.1,-510.1,-403.0,-640.2,,-350.6,True,False,False,False,,True
South Dakota,1350,660.6,1070.1,728.6,530.0,725.5,,296.0,-689.4,-279.9,-621.4,-820.0,-624.5,,-1054.0,True,True,False,True,,False
Tennessee,5960,4639.9,6213.1,4486.7,4438.0,4419.3,,4453.5,-1320.1,253.1,-1473.3,-1522.0,-1540.7,,-1506.5,True,False,False,False,,False
Texas,25714,23388.0,26137.2,23953.4,21875.0,20511.0,18956.0,21515.7,-2264.0,485.2,-1698.6,-3777.0,-5141.0,-6696.0,-4136.3,True,True,False,False,False,False
Utah,1148,901.4,1064.0,1064.7,790.0,684.9,,756.9,-246.6,-84.0,-83.3,-358.0,-463.1,,-391.1,True,True,False,False,,False
Vermont,108,58.0,60.5,65.0,59.0,59.8,,59.3,-50.0,-47.5,-43.0,-49.0,-48.2,,-48.7,True,True,True,True,,True
Virginia,4643,4192.9,3787.0,4472.1,3967.0,4352.6,,3775.9,-447.1,-853.0,-167.9,-673.0,-287.4,,-864.1,False,True,False,True,,False
Washington,3104,2663.1,2723.1,2794.5,2543.0,2760.5,,2710.8,-459.9,-399.9,-328.5,-580.0,-362.5,,-412.2,True,True,False,True,,True
West Virginia,1122,592.0,636.3,621.9,629.0,692.1,,571.0,-530.0,-485.7,-500.1,-493.0,-429.9,,-551.0,True,True,True,True,,False
Wisconsin,4722,2332.4,2885.9,2785.8,2239.0,2431.7,,2073.6,-2258.6,-1705.1,-1805.2,-2352.0,-2159.3,,-2517.4,True,True,False,True,,False
Wyoming,351,63.9,81.7,141.1,84.0,110.5,,69.1,-287.1,-269.3,-209.9,-267.0,-240.5,,-281.9,True,True,True,True,,True
US,316159,264517.0,272238.5,275396.7,257370.0,258749.4,259113.0,255274.4,-51288.0,-43566.5,-40408.3,-58435.0,-57055.6,-56692.0,-60530.6,True,True,False,False,False,False
