,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,MSRA-DeepST,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-MSRA-DeepST,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-MSRA-DeepST,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Georgia,10381,10127.6,9411.5,10459.1,10312.0,10072.7,10440.0,10208.0,10229.2,9438.0,14346.1,11917.0,10334.1,10842.9,10428.3,,11560.3,10452.0,10823.3,9951.0,10572.0,9910.3,10827.6,11128.0,10110.2,11053.0,10931.1,10382.5,,10173.2,10346.6,10576.0,,10463.1,10031.5,11605.0,10280.1,10548.0,9906.6,,11484.9,10937.1,10684.0,10418.5,11234.4,11083.0,9977.0,9645.6,9612.0,-253.4,-969.5,78.1,-69.0,-308.3,59.0,-173.0,-151.8,-943.0,3965.1,1536.0,-46.9,461.9,47.3,,1179.3,71.0,442.3,-430.0,191.0,-470.7,446.6,747.0,-270.8,672.0,550.1,1.5,,-207.8,-34.4,195.0,,82.1,-349.5,1224.0,-100.9,167.0,-474.4,,1103.9,556.1,303.0,37.5,853.4,702.0,-404.0,-735.4,-769.0,False,True,True,False,True,True,True,False,False,False,True,False,True,,False,True,False,False,True,False,False,False,False,False,False,True,,True,True,True,,True,False,False,True,True,False,,False,False,False,True,False,False,False,False,False
Hawaii,281,275.4,318.6,269.4,242.0,267.0,269.0,254.0,251.9,222.0,273.5,267.0,274.7,,301.0,,234.1,,231.0,240.5,301.0,299.4,238.3,255.0,247.5,288.0,284.3,269.2,,524.8,277.6,322.0,,,232.6,256.0,290.1,292.0,253.6,,233.1,298.8,276.0,284.7,251.8,257.0,250.0,250.6,,-5.6,37.6,-11.6,-39.0,-14.0,-12.0,-27.0,-29.1,-59.0,-7.5,-14.0,-6.3,,20.0,,-46.9,,-50.0,-40.5,20.0,18.4,-42.7,-26.0,-33.5,7.0,3.3,-11.8,,243.8,-3.4,41.0,,,-48.4,-25.0,9.1,11.0,-27.4,,-47.9,17.8,-5.0,3.7,-29.2,-24.0,-31.0,-30.4,,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,False,False,False,False,False,False,False,True,False,,False,True,False,,,False,False,False,False,False,,False,False,True,True,False,False,False,False,
Idaho,1275,1196.1,1392.8,1203.7,1334.0,1199.0,1272.0,1077.0,1303.2,1357.0,1350.2,1207.0,1148.6,1378.4,1311.4,,1261.5,1247.0,1293.2,1107.5,1387.0,1139.7,1340.9,1140.0,1239.8,1331.0,1372.1,1292.3,,1114.5,1330.5,1467.0,,,1214.2,1364.0,1199.6,1317.0,1165.4,,1487.2,1391.1,1162.0,1121.3,1216.0,1272.0,1003.0,965.4,1245.0,-78.9,117.8,-71.3,59.0,-76.0,-3.0,-198.0,28.2,82.0,75.2,-68.0,-126.4,103.4,36.4,,-13.5,-28.0,18.2,-167.5,112.0,-135.3,65.9,-135.0,-35.2,56.0,97.1,17.3,,-160.5,55.5,192.0,,,-60.8,89.0,-75.4,42.0,-109.6,,212.2,116.1,-113.0,-153.7,-59.0,-3.0,-272.0,-309.6,-30.0,False,True,True,True,True,False,True,False,True,True,False,False,True,,True,True,True,False,False,False,True,False,True,True,False,True,,False,True,False,,,True,False,True,True,False,,False,False,False,False,True,True,False,False,True
Illinois,16326,15475.1,16194.9,15403.4,17037.0,15403.9,16256.0,15293.0,16296.6,16160.0,17811.5,17163.0,15336.6,16184.1,16409.7,,16118.9,15472.0,17270.3,14089.7,16337.0,14775.2,16360.2,16265.0,16145.0,15780.0,16114.4,16769.9,14342.5,13924.5,16308.9,13809.0,,15001.8,16135.5,17501.0,13104.2,15168.0,15775.1,,17107.0,16239.4,16246.0,16745.5,22659.9,16896.0,17462.0,12947.2,21823.0,-850.9,-131.1,-922.6,711.0,-922.1,-70.0,-1033.0,-29.4,-166.0,1485.5,837.0,-989.4,-141.9,83.7,,-207.1,-854.0,944.3,-2236.3,11.0,-1550.8,34.2,-61.0,-181.0,-546.0,-211.6,443.9,-1983.5,-2401.5,-17.1,-2517.0,,-1324.2,-190.5,1175.0,-3221.8,-1158.0,-550.9,,781.0,-86.6,-80.0,419.5,6333.9,570.0,1136.0,-3378.8,5497.0,True,False,True,False,True,False,True,True,False,True,False,True,True,,True,False,False,False,True,False,True,True,True,True,True,True,False,False,True,False,,False,True,False,False,False,True,,True,True,True,True,False,True,False,False,False
Indiana,7338,6828.6,7254.8,6676.1,7563.0,6677.6,7277.0,7260.0,7163.3,8375.0,8431.9,8098.0,7116.3,8839.4,7582.0,,7122.1,7070.0,7830.3,7472.7,7276.0,6832.0,7642.1,6588.0,7368.7,6968.0,7327.6,7288.9,5612.5,7466.9,7170.3,6548.0,,6554.1,7289.5,8029.0,6200.6,6723.0,6862.7,,7995.9,7350.5,7644.0,7085.9,10836.7,8213.0,6991.0,5418.1,7199.0,-509.4,-83.2,-661.9,225.0,-660.4,-61.0,-78.0,-174.7,1037.0,1093.9,760.0,-221.7,1501.4,244.0,,-215.9,-268.0,492.3,134.7,-62.0,-506.0,304.1,-750.0,30.7,-370.0,-10.4,-49.1,-1725.5,128.9,-167.7,-790.0,,-783.9,-48.5,691.0,-1137.4,-615.0,-475.3,,657.9,12.5,306.0,-252.1,3498.7,875.0,-347.0,-1919.9,-139.0,True,False,True,False,True,True,True,False,False,False,True,False,True,,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,False,,False,True,False,False,False,True,,False,True,True,True,False,False,True,False,True
Iowa,3532,3023.6,2989.7,3014.2,3250.0,3014.6,3258.0,3153.0,3344.2,3325.0,3979.6,3351.0,3090.8,3655.1,3477.9,,3304.4,3077.0,3436.0,2752.9,3845.0,3003.6,3279.0,2804.0,3150.5,3519.0,3418.7,3300.4,,4243.2,3191.9,3265.0,,3013.6,3322.4,2959.0,3628.8,2840.0,3100.0,,4009.7,3436.8,3053.0,3181.6,3872.0,3479.0,2925.0,2432.2,3320.0,-508.4,-542.3,-517.8,-282.0,-517.4,-274.0,-379.0,-187.8,-207.0,447.6,-181.0,-441.2,123.1,-54.1,,-227.6,-455.0,-96.0,-779.1,313.0,-528.4,-253.0,-728.0,-381.5,-13.0,-113.3,-231.6,,711.2,-340.1,-267.0,,-518.4,-209.6,-573.0,96.8,-692.0,-432.0,,477.7,-95.2,-479.0,-350.4,340.0,-53.0,-607.0,-1099.8,-212.0,False,False,True,False,True,True,True,True,True,True,True,True,True,,True,True,True,False,True,False,True,False,True,True,True,True,,False,True,True,,False,True,False,True,False,True,,True,True,True,True,True,True,False,False,True
Kansas,2341,1873.7,2108.6,1870.4,2012.0,1889.0,2025.0,2049.0,2043.6,2026.0,2066.7,2369.0,1878.9,2529.2,2025.3,,1780.9,2012.0,1962.1,2229.4,2519.0,1948.6,2283.9,1835.0,1899.0,2188.0,2061.6,2011.7,,2231.5,1956.6,1686.0,,,2407.5,2281.0,1998.4,1850.0,2013.0,,2268.1,2086.1,2791.0,1684.3,1969.2,2285.0,1612.0,1516.5,1922.0,-383.3,-148.4,-386.6,-245.0,-368.0,-232.0,-208.0,-213.4,-231.0,-190.3,112.0,-378.1,272.2,-231.7,,-476.1,-245.0,-294.9,-27.6,262.0,-308.4,26.9,-422.0,-358.0,-69.0,-195.4,-245.3,,-25.5,-300.4,-571.0,,,150.5,24.0,-258.6,-407.0,-244.0,,11.1,-170.9,534.0,-572.7,-287.8,28.0,-645.0,-740.5,-335.0,True,False,True,True,True,True,True,True,True,True,True,True,True,,False,True,True,True,True,True,True,False,True,True,True,True,,True,True,False,,,True,True,True,False,True,,True,True,False,False,True,True,False,False,True
Kentucky,2371,2273.0,2655.8,2291.9,2435.0,2282.9,2419.0,2486.0,2568.9,2338.0,2426.8,2331.0,2273.1,2368.6,2440.5,,2566.2,2366.5,2452.1,2350.4,2892.0,2624.9,2526.8,2321.0,2709.8,2709.0,2558.4,2449.2,2381.0,1977.3,2575.1,2122.0,,,2411.1,2460.0,2740.6,2463.0,2385.7,,2773.7,2578.6,2715.0,2322.4,3183.8,2546.0,2209.0,1971.6,2301.0,-98.0,284.8,-79.1,64.0,-88.1,48.0,115.0,197.9,-33.0,55.8,-40.0,-97.9,-2.4,69.5,,195.2,-4.5,81.1,-20.6,521.0,253.9,155.8,-50.0,338.8,338.0,187.4,78.2,10.0,-393.7,204.1,-249.0,,,40.1,89.0,369.6,92.0,14.7,,402.7,207.6,344.0,-48.6,812.8,175.0,-162.0,-399.4,-70.0,False,True,True,True,True,False,False,True,True,True,True,True,True,,False,True,True,True,False,False,False,True,False,False,False,True,True,False,False,False,,,True,True,False,True,True,,False,False,False,True,False,False,False,False,True
Louisiana,6994,6796.1,7365.0,6682.7,6985.0,6680.9,6869.0,6869.0,6971.2,9846.0,7047.0,6606.0,6696.0,7250.8,6831.8,,8536.2,7188.0,6984.3,12918.4,6875.0,6800.1,6987.8,7119.0,7118.2,7015.0,6657.4,6921.1,,6692.5,6718.2,6441.0,,6651.3,6623.7,7105.0,6635.6,6849.0,6752.5,,7058.0,6673.6,7559.0,6954.9,8282.9,7467.0,6583.0,6594.1,6728.0,-197.9,371.0,-311.3,-9.0,-313.1,-125.0,-125.0,-22.8,2852.0,53.0,-388.0,-298.0,256.8,-162.2,,1542.2,194.0,-9.7,5924.4,-119.0,-193.9,-6.2,125.0,124.2,21.0,-336.6,-72.9,,-301.5,-275.8,-553.0,,-342.7,-370.3,111.0,-358.4,-145.0,-241.5,,64.0,-320.4,565.0,-39.1,1288.9,473.0,-411.0,-399.9,-266.0,False,False,True,False,True,True,True,False,True,False,False,False,True,,False,True,True,False,True,True,True,True,True,True,False,True,,False,False,False,,False,False,True,False,True,False,,True,False,False,True,False,False,False,False,False
Maine,292,218.4,207.1,222.0,233.0,218.0,257.0,196.0,248.4,312.0,325.9,279.0,214.2,263.9,262.6,,232.0,232.0,256.0,219.7,264.0,374.9,322.4,301.0,219.9,312.0,244.8,260.3,,180.9,242.0,206.0,,,201.9,275.0,227.4,279.0,201.1,,258.6,270.7,233.0,189.3,329.5,264.0,397.0,184.5,229.0,-73.6,-84.9,-70.0,-59.0,-74.0,-35.0,-96.0,-43.6,20.0,33.9,-13.0,-77.8,-28.1,-29.4,,-60.0,-60.0,-36.0,-72.3,-28.0,82.9,30.4,9.0,-72.1,20.0,-47.2,-31.7,,-111.1,-50.0,-86.0,,,-90.1,-17.0,-64.6,-13.0,-90.9,,-33.4,-21.3,-59.0,-102.7,37.5,-28.0,105.0,-107.5,-63.0,False,True,True,False,True,False,True,True,True,True,False,True,True,,True,True,True,True,True,False,True,True,True,True,True,True,,False,True,False,,,False,True,True,True,False,,True,True,True,False,True,True,False,False,True
Maryland,5412,4943.1,5413.3,4897.2,5239.0,4902.8,5125.0,5337.0,5060.8,5920.0,5196.2,4772.0,4930.5,5467.8,5261.7,,5110.4,5064.0,5083.8,5136.0,5124.0,5076.7,5880.4,5260.5,5328.4,5022.0,5029.5,5148.4,,4962.1,5213.6,4890.0,,4781.1,4814.4,5372.0,5203.4,4987.0,4860.6,,5078.1,5053.1,5384.0,4857.4,6388.6,5387.0,5309.0,4562.2,5616.0,-468.9,1.3,-514.8,-173.0,-509.2,-287.0,-75.0,-351.2,508.0,-215.8,-640.0,-481.5,55.8,-150.3,,-301.6,-348.0,-328.2,-276.0,-288.0,-335.3,468.4,-151.5,-83.6,-390.0,-382.5,-263.6,,-449.9,-198.4,-522.0,,-630.9,-597.6,-40.0,-208.6,-425.0,-551.4,,-333.9,-358.9,-28.0,-554.6,976.6,-25.0,-103.0,-849.8,204.0,True,False,True,False,True,True,True,False,True,False,False,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,False,,False,False,True,True,True,False,,True,True,True,False,False,True,True,False,True
Massachusetts,11657,11217.9,11507.2,11252.8,11578.0,11268.3,11442.0,11434.0,11631.8,12254.0,12067.6,11967.0,11568.2,11951.5,11847.5,,11590.3,11446.0,11727.4,11884.1,11332.0,11344.1,11846.1,11221.0,11529.0,11350.0,11667.3,11441.3,,11268.3,11441.8,10992.0,,11163.9,11156.0,11348.0,13105.8,11404.0,11245.5,,11871.5,11689.2,11652.0,10853.5,14979.1,11689.0,11268.5,10808.4,11302.0,-439.1,-149.8,-404.2,-79.0,-388.7,-215.0,-223.0,-25.2,597.0,410.6,310.0,-88.8,294.5,190.5,,-66.7,-211.0,70.4,227.1,-325.0,-312.9,189.1,-436.0,-128.0,-307.0,10.3,-215.7,,-388.7,-215.2,-665.0,,-493.1,-501.0,-309.0,1448.8,-253.0,-411.5,,214.5,32.2,-5.0,-803.5,3322.1,32.0,-388.5,-848.6,-355.0,True,True,True,True,True,True,True,False,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,False,,False,False,True,False,True,True,,True,True,True,False,False,True,True,False,True
Michigan,12074,10799.7,11251.3,10834.2,11644.0,10871.8,11758.0,11244.0,11528.1,13248.0,13539.7,13281.0,10824.1,13336.6,11879.2,,12476.5,11668.0,12027.9,11207.9,11518.0,11379.3,13378.7,12888.5,11640.5,11069.0,11983.2,11833.6,9998.0,9660.7,11694.4,10192.5,,10523.0,12581.4,13019.0,14253.9,10201.0,10562.5,,13024.4,12041.9,12342.0,14001.1,18223.6,12946.0,11243.5,9121.0,11548.0,-1274.3,-822.7,-1239.8,-430.0,-1202.2,-316.0,-830.0,-545.9,1174.0,1465.7,1207.0,-1249.9,1262.6,-194.8,,402.5,-406.0,-46.1,-866.1,-556.0,-694.7,1304.7,814.5,-433.5,-1005.0,-90.8,-240.4,-2076.0,-2413.3,-379.6,-1881.5,,-1551.0,507.4,945.0,2179.9,-1873.0,-1511.5,,950.4,-32.1,268.0,1927.1,6149.6,872.0,-830.5,-2953.0,-526.0,True,True,True,True,True,True,True,True,False,True,True,True,True,,True,True,True,True,True,True,False,True,True,True,True,True,False,False,True,False,,False,True,True,False,False,False,,True,True,True,False,False,True,True,False,True
Minnesota,4839,4593.0,5067.9,4552.4,5653.0,4565.0,5182.0,5096.0,5218.4,7670.0,6417.8,6370.0,4621.0,5134.2,5373.9,,5240.1,5074.0,5501.7,5321.7,5577.0,4521.2,6273.7,4999.5,5169.5,5091.0,5146.1,5323.9,3978.5,3819.1,5113.3,5150.5,,4796.5,5412.4,5963.0,3428.6,4507.0,4629.5,,5806.5,5182.0,5419.0,4917.0,7412.2,5581.0,6458.0,3513.6,6741.0,-246.0,228.9,-286.6,814.0,-274.0,343.0,257.0,379.4,2831.0,1578.8,1531.0,-218.0,295.2,534.9,,401.1,235.0,662.7,482.7,738.0,-317.8,1434.7,160.5,330.5,252.0,307.1,484.9,-860.5,-1019.9,274.3,311.5,,-42.5,573.4,1124.0,-1410.4,-332.0,-209.5,,967.5,343.0,580.0,78.0,2573.2,742.0,1619.0,-1325.4,1902.0,True,False,False,False,False,False,False,False,False,False,True,False,False,,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,True,False,False,False,False,True,,False,False,False,True,False,False,False,False,False
Mississippi,4390,4189.0,4324.4,4122.0,4229.0,4124.5,4208.0,3868.0,4164.3,4354.0,4197.8,3929.0,4117.1,4205.1,4284.5,,4307.9,4190.0,4324.6,4201.1,4487.0,3996.9,4350.2,4287.0,4267.4,4227.0,4175.1,4269.3,,4059.0,4214.1,4247.0,,4091.4,4340.9,4287.0,4428.5,4286.0,4165.9,,4351.3,4194.8,4451.0,4058.3,4612.8,4339.0,4112.0,3920.3,4474.0,-201.0,-65.6,-268.0,-161.0,-265.5,-182.0,-522.0,-225.7,-36.0,-192.2,-461.0,-272.9,-184.9,-105.5,,-82.1,-200.0,-65.4,-188.9,97.0,-393.1,-39.8,-103.0,-122.6,-163.0,-214.9,-120.7,,-331.0,-175.9,-143.0,,-298.6,-49.1,-103.0,38.5,-104.0,-224.1,,-38.7,-195.2,61.0,-331.7,222.8,-51.0,-278.0,-469.7,84.0,True,False,True,False,True,False,False,True,True,False,False,True,True,,True,True,True,True,True,False,True,True,True,True,False,True,,False,True,True,,False,True,True,True,True,False,,True,True,True,False,False,True,False,False,True
Missouri,5048,4314.7,4700.6,4274.2,5064.0,4321.6,4609.0,4836.0,4748.0,5225.0,5475.1,5752.0,4651.3,4618.8,4697.9,,4973.5,4716.0,4915.3,4674.2,4707.0,4682.7,5032.6,4155.0,4673.8,4931.0,4504.3,4486.1,,5251.3,4829.0,4308.5,,4172.0,4425.1,4407.0,5485.9,4310.0,4182.2,,5951.5,4510.3,4818.0,4252.2,5595.2,4636.0,4065.0,3704.2,4355.0,-733.3,-347.4,-773.8,16.0,-726.4,-439.0,-212.0,-300.0,177.0,427.1,704.0,-396.7,-429.2,-350.1,,-74.5,-332.0,-132.7,-373.8,-341.0,-365.3,-15.4,-893.0,-374.2,-117.0,-543.7,-561.9,,203.3,-219.0,-739.5,,-876.0,-622.9,-641.0,437.9,-738.0,-865.8,,903.5,-537.7,-230.0,-795.8,547.2,-412.0,-983.0,-1343.8,-693.0,True,False,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,False,True,True,True,True,,True,True,False,,False,True,True,True,False,False,,False,True,True,False,True,True,False,False,True
Montana,864,923.1,1087.0,950.0,1019.0,944.0,1045.0,1040.0,924.7,1086.0,1121.4,922.0,920.4,1120.5,971.5,,693.2,1028.0,1150.6,1209.4,1180.0,861.4,1067.4,747.0,975.8,1064.0,1065.3,936.8,,700.2,1071.6,859.0,,,1072.1,1111.0,998.6,1056.0,912.5,,1245.8,1085.1,1150.0,868.9,1014.0,1115.0,744.0,743.6,976.0,59.1,223.0,86.0,155.0,80.0,181.0,176.0,60.7,222.0,257.4,58.0,56.4,256.5,107.5,,-170.8,164.0,286.6,345.4,316.0,-2.6,203.4,-117.0,111.8,200.0,201.3,72.8,,-163.8,207.6,-5.0,,,208.1,247.0,134.6,192.0,48.5,,381.8,221.1,286.0,4.9,150.0,251.0,-120.0,-120.4,112.0,False,False,False,False,False,False,False,False,False,True,True,False,False,,False,False,False,False,False,True,False,False,False,False,False,False,,False,False,True,,,False,False,False,False,True,,False,False,False,True,False,False,False,False,False
Nebraska,1475,1410.4,1659.3,1426.4,1546.0,1408.9,1557.0,1449.0,1514.1,1740.0,1611.4,1478.0,1426.1,1778.0,1516.9,,1398.4,1388.0,1659.1,1304.4,1885.0,1342.9,1634.8,1306.0,1499.9,1635.0,1632.1,1560.7,,1197.1,1586.0,1555.0,,,1802.4,1713.0,1345.8,1472.0,1362.6,,1638.9,1658.8,1410.0,1178.1,1513.4,1596.0,1302.5,1025.7,1706.0,-64.6,184.3,-48.6,71.0,-66.1,82.0,-26.0,39.1,265.0,136.4,3.0,-48.9,303.0,41.9,,-76.6,-87.0,184.1,-170.6,410.0,-132.1,159.8,-169.0,24.9,160.0,157.1,85.7,,-277.9,111.0,80.0,,,327.4,238.0,-129.2,-3.0,-112.4,,163.9,183.8,-65.0,-296.9,38.4,121.0,-172.5,-449.3,231.0,False,True,False,False,False,True,True,False,False,True,True,False,True,,False,False,False,False,False,False,False,False,True,False,False,False,,False,False,False,,,False,False,False,True,False,,False,False,False,False,True,False,False,False,False
Nevada,2749,2433.6,2577.7,2404.7,2490.0,2422.9,2582.0,2557.0,2545.8,2752.0,2491.2,2400.0,2290.0,2654.0,2592.0,,2486.0,2250.0,2543.7,2477.2,2552.0,2518.5,2678.5,2589.0,2596.6,2413.0,2576.7,2594.6,,2386.2,2655.0,2211.0,,2563.8,3310.2,2600.0,2034.1,2612.0,2474.1,,2624.7,2600.8,2628.0,2298.3,2901.1,2714.0,2467.5,2164.6,2877.0,-315.4,-171.3,-344.3,-259.0,-326.1,-167.0,-192.0,-203.2,3.0,-257.8,-349.0,-459.0,-95.0,-157.0,,-263.0,-499.0,-205.3,-271.8,-197.0,-230.5,-70.5,-160.0,-152.4,-336.0,-172.3,-154.4,,-362.8,-94.0,-538.0,,-185.2,561.2,-149.0,-714.9,-137.0,-274.9,,-124.3,-148.2,-121.0,-450.7,152.1,-35.0,-281.5,-584.4,128.0,True,False,True,False,True,True,True,True,True,False,False,True,True,,True,False,True,True,True,True,True,True,True,False,True,True,,False,True,False,,True,False,True,False,True,True,,True,True,True,False,True,True,True,False,True
New Hampshire,650,562.1,638.9,542.6,570.0,544.1,595.0,643.0,610.4,706.0,583.9,737.0,598.9,707.3,673.3,,539.9,605.0,582.6,705.0,602.0,726.3,663.6,593.0,601.4,618.0,564.7,592.5,,591.9,594.7,567.0,,,541.3,619.0,716.8,642.0,540.1,,612.3,590.6,657.0,532.4,1045.1,604.0,572.0,525.5,548.0,-87.9,-11.1,-107.4,-80.0,-105.9,-55.0,-7.0,-39.6,56.0,-66.1,87.0,-51.1,57.3,23.3,,-110.1,-45.0,-67.4,55.0,-48.0,76.3,13.6,-57.0,-48.6,-32.0,-85.3,-57.5,,-58.1,-55.3,-83.0,,,-108.7,-31.0,66.8,-8.0,-109.9,,-37.7,-59.4,7.0,-117.6,395.1,-46.0,-78.0,-124.5,-102.0,True,False,True,False,True,True,True,True,True,True,True,True,True,,False,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,,,False,True,True,True,False,,True,True,True,False,False,True,True,False,False
New Jersey,18173,17513.1,18006.4,17547.8,18148.0,17554.9,17926.0,18205.0,17969.4,19118.0,18041.2,17893.0,17457.7,19259.4,18314.1,,17658.2,17695.0,17802.9,17757.0,17886.0,17993.3,18245.5,18268.5,18023.6,17701.0,17916.9,17894.7,,17413.5,17873.4,16926.0,,17187.2,17322.1,17863.0,17634.9,17573.0,17940.2,,18035.2,17941.9,17970.0,17478.5,24655.7,18083.0,18571.5,16876.2,18516.0,-659.9,-166.6,-625.2,-25.0,-618.1,-247.0,32.0,-203.6,945.0,-131.8,-280.0,-715.3,1086.4,141.1,,-514.8,-478.0,-370.1,-416.0,-287.0,-179.7,72.5,95.5,-149.4,-472.0,-256.1,-278.3,,-759.5,-299.6,-1247.0,,-985.8,-850.9,-310.0,-538.1,-600.0,-232.8,,-137.8,-231.1,-203.0,-694.5,6482.7,-90.0,398.5,-1296.8,343.0,True,True,True,True,True,True,True,False,True,True,False,False,True,,True,True,True,True,True,True,True,True,True,True,True,True,,False,True,False,,False,False,True,True,True,True,,True,True,True,False,False,True,True,False,True
New Mexico,2155,2031.0,2305.6,1915.9,2021.0,1918.2,2218.0,2147.0,2143.3,2588.0,2371.3,2131.0,1946.3,2331.7,2345.6,,1900.1,2068.0,2232.3,1968.1,2159.0,1899.7,2601.0,2604.0,2537.9,1888.0,2209.6,2225.6,,1678.5,2332.8,2723.0,,,2123.2,2400.0,6109.9,2158.0,1838.9,,2033.3,2232.3,2894.0,2730.6,2940.9,2380.0,2203.5,1508.9,2342.0,-124.0,150.6,-239.1,-134.0,-236.8,63.0,-8.0,-11.7,433.0,216.3,-24.0,-208.7,176.7,190.6,,-254.9,-87.0,77.3,-186.9,4.0,-255.3,446.0,449.0,382.9,-267.0,54.6,70.6,,-476.5,177.8,568.0,,,-31.8,245.0,3954.9,3.0,-316.1,,-121.7,77.3,739.0,575.6,785.9,225.0,48.5,-646.1,187.0,False,False,False,False,True,True,True,False,False,True,False,False,False,,False,True,True,False,True,False,False,False,False,False,True,True,,False,False,False,,,True,False,False,True,False,,True,True,False,False,False,False,True,False,False
