,actual_deaths,Baseline,BPagano-RtDriven,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,QJHong-Encounter,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,error-Baseline,error-BPagano-RtDriven,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-QJHong-Encounter,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,beat_baseline-BPagano-RtDriven,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-QJHong-Encounter,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting
Georgia,10381,9152.6,9621.6,9412.8,12591.0,9642.2,,10298.3,9167.0,9316.0,9612.4,,,9217.3,9427.4,9909.0,8664.1,-1228.4,-759.4,-968.2,2210.0,-738.8,,-82.7,-1214.0,-1065.0,-768.6,,,-1163.7,-953.6,-472.0,-1716.9,True,True,False,True,,True,True,True,True,,,True,True,True,False
Hawaii,281,408.4,754.8,420.0,387.0,357.7,,357.6,,375.6,309.9,,,263.4,260.5,333.0,265.8,127.4,473.8,139.0,106.0,76.7,,76.6,,94.6,28.9,,,-17.6,-20.5,52.0,-15.2,False,False,True,True,,True,,True,True,,,True,True,True,True
Idaho,1275,926.6,1825.8,916.4,1004.0,917.8,,753.8,830.0,1048.2,997.6,,,802.0,1007.7,997.0,670.4,-348.4,550.8,-358.6,-271.0,-357.2,,-521.2,-445.0,-226.8,-277.4,,,-473.0,-267.3,-278.0,-604.6,False,False,True,False,,False,False,True,True,,,False,True,True,False
Illinois,16326,12140.0,14639.3,12145.4,40160.0,13646.3,,13948.2,11456.0,13778.4,14072.1,,,11052.1,17739.5,13149.0,10384.1,-4186.0,-1686.7,-4180.6,23834.0,-2679.7,,-2377.8,-4870.0,-2547.6,-2253.9,,,-5273.9,1413.5,-3177.0,-5941.9,True,True,False,True,,True,False,True,True,,,False,True,True,False
Indiana,7338,5646.4,6986.6,5717.7,14148.0,6647.9,,6922.5,5398.0,6918.8,6395.4,,,4892.5,8701.4,7276.0,4323.9,-1691.6,-351.4,-1620.3,6810.0,-690.1,,-415.5,-1940.0,-419.2,-942.6,,,-2445.5,1363.4,-62.0,-3014.1,True,True,False,True,,True,False,True,True,,,False,True,True,False
Iowa,3532,2444.3,3100.3,2481.9,3343.0,2534.6,,2702.9,2195.5,2678.8,2718.3,,,2183.9,2738.7,2594.0,1887.4,-1087.7,-431.7,-1050.1,-189.0,-997.4,,-829.1,-1336.5,-853.2,-813.7,,,-1348.1,-793.3,-938.0,-1644.6,True,True,True,True,,True,False,True,True,,,False,True,True,False
Kansas,2341,1718.1,2265.7,1732.0,3857.0,1796.4,,2417.6,1448.0,1999.7,2417.2,,,1385.3,1297.0,1668.0,1187.3,-603.9,-56.3,-590.0,1535.0,-525.6,,95.6,-874.0,-322.3,95.2,,,-936.7,-1025.0,-654.0,-1134.7,True,True,False,True,,True,False,True,True,,,False,False,False,False
Kentucky,2371,2106.3,2891.2,2139.9,2285.0,2161.3,,2263.2,2031.0,2327.3,2287.9,,,2012.3,3065.1,2540.0,1631.7,-264.7,520.2,-231.1,-86.0,-209.7,,-107.8,-340.0,-43.7,-83.1,,,-358.7,694.1,169.0,-739.3,False,True,True,True,,True,False,True,True,,,False,False,True,False
Louisiana,6994,6520.6,6465.6,6573.4,7023.0,6575.6,,6995.5,6467.0,6471.1,6599.1,,,6773.9,6780.7,6356.0,6174.1,-473.4,-528.4,-420.6,29.0,-418.4,,1.5,-527.0,-522.9,-394.9,,,-220.1,-213.3,-638.0,-819.9,False,True,True,True,,True,False,False,True,,,True,True,False,False
Maine,292,146.0,150.2,154.0,161.0,159.3,,164.5,172.0,155.8,259.6,,,148.6,261.5,162.0,156.6,-146.0,-141.8,-138.0,-131.0,-132.7,,-127.5,-120.0,-136.2,-32.4,,,-143.4,-30.5,-130.0,-135.4,True,True,True,True,,True,True,True,True,,,True,True,True,True
Maryland,5412,4559.6,4578.5,4544.2,4541.0,4465.8,,4853.5,4322.0,4516.6,4570.0,,24387.0,4309.6,5496.3,4550.0,4246.7,-852.4,-833.5,-867.8,-871.0,-946.2,,-558.5,-1090.0,-895.4,-842.0,,18975.0,-1102.4,84.3,-862.0,-1165.3,True,False,False,False,,True,False,False,True,,False,False,True,False,False
Massachusetts,11657,10861.9,11052.7,10851.5,10896.0,11433.2,,11364.1,10649.0,11233.6,11124.8,,,10235.8,14233.3,11438.0,10168.9,-795.1,-604.3,-805.5,-761.0,-223.8,,-292.9,-1008.0,-423.4,-532.2,,,-1421.2,2576.3,-219.0,-1488.1,True,False,True,True,,True,False,True,True,,,False,False,True,False
Michigan,12074,8952.0,11209.2,8993.9,17460.0,9694.2,,10415.2,8988.0,10331.2,10770.6,,,8127.0,13138.8,11228.0,7779.1,-3122.0,-864.8,-3080.1,5386.0,-2379.8,,-1658.8,-3086.0,-1742.8,-1303.4,,,-3947.0,1064.8,-846.0,-4294.9,True,True,False,True,,True,True,True,True,,,False,True,True,False
Minnesota,4839,3305.6,3924.7,3270.4,4299.0,3745.8,,4252.0,3419.0,3759.4,3538.3,,,3011.3,4576.2,3469.0,2627.2,-1533.4,-914.3,-1568.6,-540.0,-1093.2,,-587.0,-1420.0,-1079.6,-1300.7,,,-1827.7,-262.8,-1370.0,-2211.8,True,False,True,True,,True,True,True,True,,,False,True,True,False
Mississippi,4390,3915.0,3995.1,3926.7,4811.0,4068.1,,4404.3,3812.0,4241.2,4182.2,,,3856.4,4138.2,3945.0,3657.1,-475.0,-394.9,-463.3,421.0,-321.9,,14.3,-578.0,-148.8,-207.8,,,-533.6,-251.8,-445.0,-732.9,True,True,True,True,,True,False,True,True,,,False,True,True,False
Missouri,5048,4611.4,4548.2,4623.6,6572.0,5144.1,,4193.8,3884.0,5672.2,5147.2,,,3199.9,4478.3,4088.0,3126.8,-436.6,-499.8,-424.4,1524.0,96.1,,-854.2,-1164.0,624.2,99.2,,,-1848.1,-569.7,-960.0,-1921.2,False,True,False,True,,False,False,False,True,,,False,False,False,False
Montana,864,737.0,915.7,734.2,897.0,857.8,,845.0,572.0,1038.4,1588.6,,,451.7,733.0,744.0,390.1,-127.0,51.7,-129.8,33.0,-6.2,,-19.0,-292.0,174.4,724.6,,,-412.3,-131.0,-120.0,-473.9,True,False,True,True,,True,False,False,False,,,False,False,True,False
Nebraska,1475,973.1,1921.5,979.2,1442.0,1046.2,,922.5,928.0,1108.4,1113.1,,,759.0,965.4,931.0,695.9,-501.9,446.5,-495.8,-33.0,-428.8,,-552.5,-547.0,-366.6,-361.9,,,-716.0,-509.6,-544.0,-779.1,True,True,True,True,,False,False,True,True,,,False,False,False,False
Nevada,2749,2011.1,1925.6,1996.3,2344.0,2285.1,,2839.2,2060.0,2220.5,2271.5,,,2209.0,2663.6,2060.0,1959.6,-733.9,-819.4,-748.7,-401.0,-459.9,,94.2,-685.0,-524.5,-473.5,,,-536.0,-81.4,-685.0,-785.4,False,False,True,True,,True,True,True,True,,,True,True,True,False
New Hampshire,650,528.0,487.1,534.6,632.0,727.1,,1002.2,542.0,644.3,708.3,,,509.6,921.0,604.0,489.3,-122.0,-162.9,-115.4,-18.0,77.1,,352.2,-108.0,-5.7,58.3,,,-140.4,271.0,-46.0,-160.7,False,True,True,True,,False,True,True,True,,,False,False,True,False
New Jersey,18173,16866.4,17400.8,17256.9,16969.0,17402.1,,16519.8,16617.0,16883.6,17346.2,,,16582.5,22625.6,17182.0,16464.4,-1306.6,-772.2,-916.1,-1204.0,-770.9,,-1653.2,-1556.0,-1289.4,-826.8,,,-1590.5,4452.6,-991.0,-1708.6,True,True,True,True,,False,False,True,True,,,False,False,True,False
New Mexico,2155,1226.3,1542.4,1252.9,2853.0,1571.8,,1640.8,1140.0,1684.8,1645.6,,,1106.3,2264.7,1788.0,1075.8,-928.7,-612.6,-902.1,698.0,-583.2,,-514.2,-1015.0,-470.2,-509.4,,,-1048.7,109.7,-367.0,-1079.2,True,True,True,True,,True,False,True,True,,,False,True,True,False
New York,36318,33932.7,33766.9,35085.7,34090.0,35084.5,,34513.8,33884.0,34389.4,35330.3,,,33752.7,41899.4,34108.0,33412.3,-2165.3,-2331.1,-1012.3,-2008.0,-1013.5,,-1584.2,-2214.0,-1708.6,-767.7,,,-2345.3,5801.4,-1990.0,-2685.7,False,True,True,True,,True,False,True,True,,,False,False,True,False
North Carolina,6184,5909.1,7643.3,5864.6,8397.0,5939.3,,5953.1,5631.0,6359.0,5520.5,,,5200.6,6021.5,5858.0,4813.3,-274.9,1459.3,-319.4,2213.0,-244.7,,-230.9,-553.0,175.0,-663.5,,,-983.4,-162.5,-326.0,-1370.7,False,False,False,True,,True,False,True,False,,,False,True,False,False
North Dakota,1231,864.6,744.6,839.8,3784.0,1379.7,,995.1,921.0,1190.3,1889.7,,,729.7,818.6,1306.0,613.9,-366.4,-486.4,-391.2,2553.0,148.7,,-235.9,-310.0,-40.7,658.7,,,-501.3,-412.4,75.0,-617.1,False,False,False,True,,True,True,True,False,,,False,False,True,False
Ohio,8031,6298.1,13182.5,6324.5,10497.0,6697.4,,7033.9,6478.0,6424.7,6974.6,,,6059.4,10498.3,7639.0,5798.6,-1732.9,5151.5,-1706.5,2466.0,-1333.6,,-997.1,-1553.0,-1606.3,-1056.4,,,-1971.6,2467.3,-392.0,-2232.4,False,True,False,True,,True,True,True,True,,,False,False,True,False
Oklahoma,2189,1861.9,2462.8,1908.8,1863.0,1768.8,,2413.6,1814.0,1940.3,1890.7,,,1748.2,2186.8,1914.0,1466.8,-327.1,273.8,-280.2,-326.0,-420.2,,224.6,-375.0,-248.7,-298.3,,,-440.8,-2.2,-275.0,-722.2,True,True,True,False,,True,False,True,True,,,False,True,True,False
Oregon,1340,912.3,1121.3,924.8,785.0,938.6,,954.2,814.0,896.4,925.8,,,870.2,1115.6,941.0,751.2,-427.7,-218.7,-415.2,-555.0,-401.4,,-385.8,-526.0,-443.6,-414.2,,,-469.8,-224.4,-399.0,-588.8,True,True,False,True,,True,False,False,True,,,False,True,True,False
Pennsylvania,13754,10077.0,10875.9,10197.8,12687.0,10829.7,,12218.0,9851.0,10778.5,11091.2,,,9294.9,14361.6,10390.0,9263.4,-3677.0,-2878.1,-3556.2,-1067.0,-2924.3,,-1536.0,-3903.0,-2975.5,-2662.8,,,-4459.1,607.6,-3364.0,-4490.6,True,True,True,True,,True,False,True,True,,,False,True,True,False
Rhode Island,1625,1373.4,1504.3,1398.9,3899.0,1625.3,,1412.5,1339.0,1495.8,1586.0,,,1260.8,1605.3,1474.0,1192.7,-251.6,-120.7,-226.1,2274.0,0.3,,-212.5,-286.0,-129.2,-39.0,,,-364.2,-19.7,-151.0,-432.3,True,True,False,True,,True,False,True,True,,,False,True,True,False
South Carolina,4895,4996.3,6829.2,5042.0,4794.0,4484.8,,5061.6,4373.0,4565.9,4487.0,,,4682.3,4963.2,4800.0,4304.6,101.3,1934.2,147.0,-101.0,-410.2,,166.6,-522.0,-329.1,-408.0,,,-212.7,68.2,-95.0,-590.4,False,False,True,False,,False,False,False,False,,,False,True,True,False
South Dakota,1350,783.6,946.4,774.0,1727.0,986.8,,720.6,678.0,942.7,1145.4,,,595.9,864.4,768.0,474.3,-566.4,-403.6,-576.0,377.0,-363.2,,-629.4,-672.0,-407.3,-204.6,,,-754.1,-485.6,-582.0,-875.7,True,False,True,True,,False,False,True,True,,,False,True,False,False
Tennessee,5960,4875.3,5922.6,4677.4,8640.0,5427.4,,5367.0,4562.0,5560.8,5363.9,,,4473.2,5031.2,4485.0,3660.2,-1084.7,-37.4,-1282.6,2680.0,-532.6,,-593.0,-1398.0,-399.2,-596.1,,,-1486.8,-928.8,-1475.0,-2299.8,True,False,False,True,,True,False,True,True,,,False,True,False,False
Texas,25714,21805.0,21965.8,21718.9,20602.0,21529.0,,22545.8,21554.0,22028.0,23041.9,,36299.0,21141.8,24806.0,22239.0,20315.7,-3822.0,-3661.2,-3908.1,-5025.0,-4098.0,,-3081.2,-4073.0,-3599.0,-2585.1,,10672.0,-4485.2,-821.0,-3388.0,-5311.3,True,False,False,False,,True,False,True,True,,False,False,True,True,False
Utah,1148,799.9,868.2,792.3,823.0,1168.5,,1218.1,883.0,952.8,730.5,,,794.5,1101.0,820.0,525.1,-348.1,-279.8,-355.7,-325.0,20.5,,70.1,-265.0,-195.2,-417.5,,,-353.5,-47.0,-328.0,-622.9,True,False,True,True,,True,True,True,False,,,False,True,True,False
Vermont,108,58.0,58.6,63.0,58.0,59.9,,61.2,58.0,58.0,61.9,,,58.0,295.3,58.0,57.9,-50.0,-49.4,-45.0,-50.0,-48.1,,-46.8,-50.0,-50.0,-46.1,,,-50.0,187.3,-50.0,-50.1,True,True,False,True,,True,False,False,True,,,False,False,False,False
Virginia,4643,4714.3,6930.6,4814.5,4812.0,4374.7,,4110.6,4416.0,4369.4,4539.2,,,4120.1,4738.3,4538.0,4042.5,75.3,2291.6,175.5,173.0,-264.3,,-528.4,-223.0,-269.6,-99.8,,,-518.9,99.3,-101.0,-596.5,False,False,False,False,,False,False,False,False,,,False,False,False,False
Washington,3104,2743.9,3351.5,2752.9,2856.0,2819.8,,2813.0,2736.0,3024.9,2912.4,,,2716.9,3466.8,2845.0,2534.6,-371.1,236.5,-362.1,-259.0,-295.2,,-302.0,-379.0,-90.1,-202.6,,,-398.1,351.8,-270.0,-580.4,True,True,True,True,,True,False,True,True,,,False,True,True,False
West Virginia,1122,605.7,1117.6,608.1,1059.0,630.0,,637.6,685.0,632.7,1248.2,,,581.1,697.3,610.0,500.5,-516.3,-4.4,-513.9,-63.0,-492.0,,-484.4,-437.0,-489.3,126.2,,,-540.9,-424.7,-512.0,-621.5,True,True,True,True,,True,True,True,True,,,False,True,True,False
Wisconsin,4722,3380.9,5728.0,3338.6,3130.0,3300.9,,3987.7,3149.0,3639.4,3751.0,,,2699.6,3988.7,2943.0,2084.8,-1038.1,1309.0,-1080.4,-1289.0,-1118.1,,-431.3,-1270.0,-779.6,-668.0,,,-1719.4,-430.3,-1476.0,-2334.2,False,False,False,False,,True,False,True,True,,,False,True,False,False
Wyoming,351,154.4,591.4,156.0,178.0,180.9,,87.4,105.0,148.4,196.9,,,88.8,210.4,165.0,79.5,-196.6,240.4,-195.0,-173.0,-170.1,,-263.6,-246.0,-202.6,-154.1,,,-262.2,-140.6,-186.0,-271.5,False,True,True,True,,False,False,False,True,,,False,True,True,False
US,316159,268875.4,294911.5,269734.4,306069.0,300284.4,280823.0,293092.7,264306.0,285614.9,289070.2,286744.0,259427.0,258572.7,326589.9,286867.0,249575.5,-46655.6,-20619.5,-45796.6,-9462.0,-15246.6,-34708.0,-22438.3,-51225.0,-29916.1,-26460.8,-28787.0,-56104.0,-56958.3,11058.9,-28664.0,-65955.5,True,True,True,True,True,True,False,True,True,True,False,False,True,True,False
