,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,MSRA-DeepST,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-MSRA-DeepST,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-MSRA-DeepST,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Georgia,10381,10139.1,10157.0,10236.6,10250.0,10158.3,10327.0,9885.0,10218.8,9320.0,11043.6,11011.0,10448.5,10682.9,10266.9,,10383.0,10482.5,9680.8,10498.0,9728.3,10608.2,9941.0,10052.1,10387.0,10343.1,10187.4,10185.3,10331.6,10006.0,,10836.5,9914.5,10907.0,10254.8,10033.0,10206.6,,10744.5,10350.4,10294.0,,10678.2,10346.0,9910.0,9719.9,9685.0,-241.9,-224.0,-144.4,-131.0,-222.7,-54.0,-496.0,-162.2,-1061.0,662.6,630.0,67.5,301.9,-114.1,,2.0,101.5,-700.2,117.0,-652.7,227.2,-440.0,-328.9,6.0,-37.9,-193.6,-195.7,-49.4,-375.0,,455.5,-466.5,526.0,-126.2,-348.0,-174.4,,363.5,-30.6,-87.0,,297.2,-35.0,-471.0,-661.1,-696.0,True,True,True,True,True,False,True,False,False,False,True,False,True,,True,True,False,True,False,True,False,False,True,True,True,True,True,False,,False,False,False,True,False,True,,False,True,True,,False,True,False,False,False
Hawaii,281,275.4,333.5,266.7,296.0,267.0,267.0,263.0,264.8,243.0,264.6,268.0,266.5,,290.2,,,241.0,243.3,274.0,293.3,261.0,261.0,263.1,273.0,272.5,273.5,438.5,272.5,255.5,,,232.6,263.0,291.3,288.0,263.1,,246.7,283.9,269.0,,254.4,279.0,262.0,257.9,274.0,-5.6,52.5,-14.3,15.0,-14.0,-14.0,-18.0,-16.2,-38.0,-16.4,-13.0,-14.5,,9.2,,,-40.0,-37.7,-7.0,12.3,-20.0,-20.0,-17.9,-8.0,-8.5,-7.5,157.5,-8.5,-25.5,,,-48.4,-18.0,10.3,7.0,-17.9,,-34.3,2.9,-12.0,,-26.6,-2.0,-19.0,-23.1,-7.0,False,False,False,False,False,False,False,False,False,False,False,,False,,,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,,False,True,False,,False,True,False,False,False
Idaho,1275,1122.9,1135.5,1111.8,1140.0,1111.0,1182.0,1075.0,1190.8,1181.0,1378.6,1173.0,1107.5,1179.6,1229.5,,1206.0,1272.7,1193.2,1231.0,1142.6,1190.1,1161.0,1127.5,1260.0,1243.0,1210.2,1181.8,1284.8,1305.0,,,1239.7,1267.0,1199.6,1164.0,1064.4,,1346.9,1259.5,1112.0,,1211.4,1118.0,1037.0,1016.9,1161.0,-152.1,-139.5,-163.2,-135.0,-164.0,-93.0,-200.0,-84.2,-94.0,103.6,-102.0,-167.5,-95.4,-45.5,,-69.0,-2.3,-81.8,-44.0,-132.4,-84.9,-114.0,-147.5,-15.0,-32.0,-64.8,-93.2,9.8,30.0,,,-35.3,-8.0,-75.4,-111.0,-210.6,,71.9,-15.5,-163.0,,-63.6,-157.0,-238.0,-258.1,-114.0,True,False,True,False,True,False,True,True,True,True,False,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,True,True,True,True,False,,True,True,False,,True,False,False,False,True
Illinois,16326,15259.1,16130.0,15489.7,15843.0,15500.1,15511.0,15083.0,15593.1,14645.0,17874.2,15328.0,15032.7,16088.4,15958.0,,15496.0,16463.9,15522.3,15603.0,14678.5,15650.2,15139.0,15241.6,16318.0,16353.1,15885.6,14376.3,16037.0,14951.0,,15954.0,19337.8,16215.0,16236.0,14684.0,15271.2,,16537.1,16413.8,15066.0,15163.1,21194.4,15694.0,15536.0,13514.1,15408.0,-1066.9,-196.0,-836.3,-483.0,-825.9,-815.0,-1243.0,-732.9,-1681.0,1548.2,-998.0,-1293.3,-237.6,-368.0,,-830.0,137.9,-803.7,-723.0,-1647.5,-675.8,-1187.0,-1084.4,-8.0,27.1,-440.4,-1949.7,-289.0,-1375.0,,-372.0,3011.8,-111.0,-90.0,-1642.0,-1054.8,,211.1,87.8,-1260.0,-1162.9,4868.4,-632.0,-790.0,-2811.9,-918.0,True,True,True,True,True,False,True,False,False,True,False,True,True,,True,True,True,True,False,True,False,False,True,True,True,False,True,False,,True,False,True,True,False,True,,True,True,False,False,False,True,True,False,True
Indiana,7338,6770.7,7274.7,6922.2,7046.0,6913.8,7063.0,6884.0,7107.0,6863.0,8139.0,7340.0,6737.2,7141.6,7206.5,,6978.0,7470.8,7062.5,7173.0,6406.5,7072.7,6464.5,6758.9,7213.0,7477.9,7174.1,7233.4,7267.1,6904.0,,7006.6,7310.6,7597.0,7992.5,6596.0,6899.2,,7449.8,7496.7,6930.0,6884.7,10124.7,7127.0,6717.5,5749.3,6990.0,-567.3,-63.3,-415.8,-292.0,-424.2,-275.0,-454.0,-231.0,-475.0,801.0,2.0,-600.8,-196.4,-131.5,,-360.0,132.8,-275.5,-165.0,-931.5,-265.3,-873.5,-579.1,-125.0,139.9,-163.9,-104.6,-70.9,-434.0,,-331.4,-27.4,259.0,654.5,-742.0,-438.8,,111.8,158.7,-408.0,-453.3,2786.7,-211.0,-620.5,-1588.7,-348.0,True,True,True,True,True,True,True,True,False,True,False,True,True,,True,True,True,True,False,True,False,False,True,True,True,True,True,True,,True,True,True,False,False,True,,True,True,True,True,False,True,False,False,True
Iowa,3532,2961.9,2954.5,2935.6,3055.0,2926.7,2992.0,2908.0,3091.8,2718.0,3488.6,3146.0,3023.2,2995.7,3039.0,,3073.0,3127.3,2885.5,3205.0,2934.4,2831.7,2806.0,2891.2,3462.0,3021.6,3127.2,3260.1,3177.9,2915.0,,3397.6,3459.8,2990.0,3774.5,2752.0,2879.7,,3445.5,3032.6,2820.0,,3680.5,2880.0,3080.0,2600.4,2851.0,-570.1,-577.5,-596.4,-477.0,-605.3,-540.0,-624.0,-440.2,-814.0,-43.4,-386.0,-508.8,-536.3,-493.0,,-459.0,-404.7,-646.5,-327.0,-597.6,-700.3,-726.0,-640.8,-70.0,-510.4,-404.8,-271.9,-354.1,-617.0,,-134.4,-72.2,-542.0,242.5,-780.0,-652.3,,-86.5,-499.4,-712.0,,148.5,-652.0,-452.0,-931.6,-681.0,False,False,True,False,True,False,True,False,True,True,True,True,True,,True,True,False,True,False,False,False,False,True,True,True,True,True,False,,True,True,True,True,False,False,,True,True,False,,True,False,True,False,False
Kansas,2341,1869.0,2074.9,1907.2,1980.0,1886.0,2030.0,1860.0,2005.8,2018.0,2345.8,2340.0,1712.4,2206.5,2054.3,,2065.0,2094.5,2043.3,2200.0,1891.2,2038.3,1884.0,1797.3,2254.0,2014.6,1955.4,1990.4,2118.7,1969.0,,,2931.9,2182.0,2002.4,1899.0,1984.0,,2271.3,2024.5,2069.0,,2109.9,2001.0,1776.0,1577.4,1920.0,-472.0,-266.1,-433.8,-361.0,-455.0,-311.0,-481.0,-335.2,-323.0,4.8,-1.0,-628.6,-134.5,-286.7,,-276.0,-246.5,-297.7,-141.0,-449.8,-302.7,-457.0,-543.7,-87.0,-326.4,-385.6,-350.6,-222.3,-372.0,,,590.9,-159.0,-338.6,-442.0,-357.0,,-69.7,-316.5,-272.0,,-231.1,-340.0,-565.0,-763.6,-421.0,True,True,True,True,True,False,True,True,True,True,False,True,True,,True,True,True,True,True,True,True,False,True,True,True,True,True,True,,,False,True,True,True,True,,True,True,True,,True,True,False,False,True
Kentucky,2371,2207.4,2424.2,2198.2,2262.0,2190.9,2298.0,2257.0,2458.5,2286.0,2419.7,2298.0,2192.2,2139.4,2382.9,,2415.0,2345.3,2239.5,2470.0,2489.0,2300.3,2362.0,2284.6,2619.0,2263.1,2387.9,2142.3,2528.1,2275.0,,,2780.5,2319.0,2740.6,2298.0,2206.7,,2561.7,2276.7,2337.0,,2986.9,2318.0,2160.0,2047.8,2209.0,-163.6,53.2,-172.8,-109.0,-180.1,-73.0,-114.0,87.5,-85.0,48.7,-73.0,-178.8,-231.6,11.9,,44.0,-25.7,-131.5,99.0,118.0,-70.7,-9.0,-86.4,248.0,-107.9,16.9,-228.7,157.1,-96.0,,,409.5,-52.0,369.6,-73.0,-164.3,,190.7,-94.3,-34.0,,615.9,-53.0,-211.0,-323.2,-162.0,True,False,True,False,True,True,True,True,True,True,False,False,True,,True,True,True,True,True,True,True,True,False,True,True,False,True,True,,,False,True,False,True,False,,False,True,True,,False,True,False,False,True
Louisiana,6994,6827.0,7059.5,6847.8,6944.0,6864.4,6935.0,6825.0,6993.3,7648.0,7514.6,6738.0,6769.8,7016.6,6963.0,,6792.0,7069.9,7538.0,7110.0,6853.8,7045.5,6766.0,6790.3,7220.0,6999.3,6960.7,6875.9,6935.5,6934.0,,6879.9,6821.4,7135.0,6804.8,6835.0,6931.6,,7001.8,7014.2,6886.0,,7908.0,7279.0,6663.0,6663.6,6843.0,-167.0,65.5,-146.2,-50.0,-129.6,-59.0,-169.0,-0.7,654.0,520.6,-256.0,-224.2,22.6,-31.0,,-202.0,75.9,544.0,116.0,-140.2,51.5,-228.0,-203.7,226.0,5.3,-33.3,-118.1,-58.5,-60.0,,-114.1,-172.6,141.0,-189.2,-159.0,-62.4,,7.8,20.2,-108.0,,914.0,285.0,-331.0,-330.4,-151.0,True,True,True,True,True,False,True,False,False,False,False,True,True,,False,True,False,True,True,True,False,False,False,True,True,True,True,True,,True,False,True,False,True,True,,True,True,True,,False,False,False,False,True
Maine,292,233.9,246.9,241.6,251.0,242.0,252.0,188.0,240.2,220.0,307.8,252.0,228.2,241.8,268.0,,270.0,259.5,245.7,255.0,319.7,262.3,212.0,219.2,301.0,261.3,248.8,208.9,253.1,237.0,,,188.6,296.0,308.6,286.0,200.9,,252.2,282.4,234.0,,304.8,237.0,253.0,199.0,237.0,-58.1,-45.1,-50.4,-41.0,-50.0,-40.0,-104.0,-51.8,-72.0,15.8,-40.0,-63.8,-50.2,-24.0,,-22.0,-32.5,-46.3,-37.0,27.7,-29.7,-80.0,-72.8,9.0,-30.7,-43.2,-83.1,-38.9,-55.0,,,-103.4,4.0,16.6,-6.0,-91.1,,-39.8,-9.6,-58.0,,12.8,-55.0,-39.0,-93.0,-55.0,True,True,True,True,True,False,True,False,True,True,False,True,True,,True,True,True,True,True,True,False,False,True,True,True,False,True,True,,,False,True,True,True,False,,True,True,True,,True,True,True,False,True
Maryland,5412,5170.7,5574.1,5168.2,5200.0,5162.8,5255.0,5085.0,5177.5,5357.0,5469.4,5391.0,5106.5,5590.6,5321.3,,5113.0,5276.6,5220.4,5212.0,5064.1,5149.9,5274.0,5228.1,5180.0,5252.7,5280.2,5099.8,5255.1,5244.0,,5284.1,4814.4,5150.0,5203.4,5088.0,5141.4,,5154.7,5273.0,5171.0,,6094.9,5368.0,5659.5,4709.1,5573.0,-241.3,162.1,-243.8,-212.0,-249.2,-157.0,-327.0,-234.5,-55.0,57.4,-21.0,-305.5,178.6,-90.7,,-299.0,-135.4,-191.6,-200.0,-347.9,-262.1,-138.0,-183.9,-232.0,-159.3,-131.8,-312.2,-156.9,-168.0,,-127.9,-597.6,-262.0,-208.6,-324.0,-270.6,,-257.3,-139.0,-241.0,,682.9,-44.0,247.5,-702.9,161.0,True,False,True,False,True,False,True,True,True,True,False,True,True,,False,True,True,True,False,False,True,True,True,True,True,False,True,True,,True,False,False,True,False,False,,False,True,True,,False,True,False,False,True
Massachusetts,11657,11322.0,11350.3,11255.0,11292.0,11240.0,11415.0,11330.0,11409.9,11217.0,11864.7,11744.0,11476.8,11661.7,11599.5,,11318.0,11576.8,11360.3,11317.0,11338.5,11583.0,11365.0,11368.7,11397.0,11531.0,11520.6,11674.3,11427.1,10950.0,,11517.1,11156.0,11326.0,13063.7,11709.0,11148.1,,11521.2,11540.4,11486.0,,14196.3,11364.0,11403.0,10948.4,11058.0,-335.0,-306.7,-402.0,-365.0,-417.0,-242.0,-327.0,-247.1,-440.0,207.7,87.0,-180.2,4.7,-57.5,,-339.0,-80.2,-296.7,-340.0,-318.5,-74.0,-292.0,-288.3,-260.0,-126.0,-136.4,17.3,-229.9,-707.0,,-139.9,-501.0,-331.0,1406.7,52.0,-508.9,,-135.8,-116.6,-171.0,,2539.3,-293.0,-254.0,-708.6,-599.0,True,False,False,False,True,True,True,False,True,True,True,True,True,,False,True,True,False,True,True,True,True,True,True,True,True,True,False,,True,False,True,False,True,False,,True,True,True,,False,True,True,False,False
Michigan,12074,11158.4,11847.9,11249.0,11419.0,11243.3,11586.0,10905.0,11420.4,10644.0,13199.2,12001.0,10776.7,11738.9,11453.7,,11478.0,12036.3,11386.1,11449.0,11001.3,12574.6,11644.0,11129.7,11953.0,12022.8,11620.6,10202.1,11727.1,10805.5,,11263.1,13296.2,12082.0,14253.9,10709.0,10928.2,,12266.4,12078.9,11573.0,11669.5,18015.6,11692.0,11248.5,9693.3,11325.0,-915.6,-226.1,-825.0,-655.0,-830.7,-488.0,-1169.0,-653.6,-1430.0,1125.2,-73.0,-1297.3,-335.1,-620.3,,-596.0,-37.7,-687.9,-625.0,-1072.7,500.6,-430.0,-944.3,-121.0,-51.2,-453.4,-1871.9,-346.9,-1268.5,,-810.9,1222.2,8.0,2179.9,-1365.0,-1145.8,,192.4,4.9,-501.0,-404.5,5941.6,-382.0,-825.5,-2380.7,-749.0,True,True,True,True,True,False,True,False,False,True,False,True,True,,True,True,True,True,False,True,True,False,True,True,True,False,True,False,,True,False,True,False,False,False,,True,True,True,True,False,True,True,False,True
Minnesota,4839,4608.4,4830.5,4530.7,4788.0,4548.7,4881.0,4765.0,4992.3,4516.0,6268.8,5791.0,4561.2,4516.2,4756.3,,4868.0,5278.9,4893.8,4972.0,4458.2,4902.0,4668.0,4769.3,5334.0,5117.8,5157.3,4650.4,5059.9,4703.0,,5455.0,6071.6,5282.0,6155.9,4955.0,4544.1,,5535.5,5146.3,4822.0,,7000.0,4808.0,4951.0,3831.6,5053.0,-230.6,-8.5,-308.3,-51.0,-290.3,42.0,-74.0,153.3,-323.0,1429.8,952.0,-277.8,-322.8,-82.7,,29.0,439.9,54.8,133.0,-380.8,63.0,-171.0,-69.7,495.0,278.8,318.3,-188.6,220.9,-136.0,,616.0,1232.6,443.0,1316.9,116.0,-294.9,,696.5,307.3,-17.0,,2161.0,-31.0,112.0,-1007.4,214.0,True,False,True,False,True,True,True,False,False,False,False,False,True,,True,False,True,True,False,True,True,True,False,False,False,True,True,True,,False,False,False,False,True,False,,False,False,True,,False,True,True,False,True
Mississippi,4390,4177.4,4245.9,4147.3,4178.0,4144.9,4187.0,3898.0,4145.6,4256.0,4362.7,4061.0,4186.5,4232.1,4314.0,,4123.0,4216.2,4187.1,4267.0,4046.5,4284.6,4218.0,4166.7,4220.0,4135.0,4218.1,4170.8,4236.2,4207.0,,4165.9,4339.3,4209.0,4428.5,4313.0,4160.5,,4230.4,4156.7,4179.0,,4515.5,4266.0,4187.5,3999.5,4184.0,-212.6,-144.1,-242.7,-212.0,-245.1,-203.0,-492.0,-244.4,-134.0,-27.3,-329.0,-203.5,-157.9,-76.0,,-267.0,-173.8,-202.9,-123.0,-343.5,-105.4,-172.0,-223.3,-170.0,-255.0,-171.9,-219.2,-153.8,-183.0,,-224.1,-50.7,-181.0,38.5,-77.0,-229.5,,-159.6,-233.3,-211.0,,125.5,-124.0,-202.5,-390.5,-206.0,True,False,True,False,True,False,False,True,True,False,True,True,True,,False,True,True,True,False,True,True,False,True,False,True,False,True,True,,False,True,True,True,True,False,,True,False,True,,True,True,True,False,True
Missouri,5048,4627.1,4925.4,4649.8,4864.0,4653.6,4663.0,4600.0,4608.2,4345.0,5025.1,5213.0,4359.3,4783.4,4398.8,,4882.0,4820.7,4152.2,4891.0,4361.0,4665.3,4210.0,4508.9,4987.0,4674.3,4614.3,4957.2,4807.1,4484.0,,4387.0,4401.6,4591.0,5489.7,4663.0,4323.9,,5162.9,4776.2,4597.0,,5394.7,4635.0,4275.0,3894.2,4070.0,-420.9,-122.6,-398.2,-184.0,-394.4,-385.0,-448.0,-439.8,-703.0,-22.9,165.0,-688.7,-264.6,-649.2,,-166.0,-227.3,-895.8,-157.0,-687.0,-382.7,-838.0,-539.1,-61.0,-373.7,-433.7,-90.8,-240.9,-564.0,,-661.0,-646.4,-457.0,441.7,-385.0,-724.1,,114.9,-271.8,-451.0,,346.7,-413.0,-773.0,-1153.8,-978.0,True,True,True,True,True,False,False,False,True,True,False,True,False,,True,True,False,True,False,True,False,False,True,True,False,True,True,False,,False,False,False,False,True,False,,True,True,False,,True,True,False,False,False
Montana,864,865.3,942.2,884.5,963.0,876.0,925.0,921.0,874.2,958.0,1058.0,891.0,793.1,876.9,924.7,,962.0,1027.3,917.3,990.0,841.3,954.2,784.0,828.8,1012.0,927.5,934.9,705.4,1052.4,956.0,,,1376.2,952.0,998.6,885.0,864.4,,1107.0,942.8,915.0,,985.0,984.0,778.0,784.7,896.0,1.3,78.2,20.5,99.0,12.0,61.0,57.0,10.2,94.0,194.0,27.0,-70.9,12.9,60.7,,98.0,163.3,53.3,126.0,-22.7,90.2,-80.0,-35.2,148.0,63.5,70.9,-158.6,188.4,92.0,,,512.2,88.0,134.6,21.0,0.4,,243.0,78.8,51.0,,121.0,120.0,-86.0,-79.3,32.0,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False,False,True,,False,False,False,,False,False,False,False,False
Nebraska,1475,1217.6,1335.1,1269.7,1328.0,1241.0,1341.0,1302.0,1350.4,1275.0,1652.0,1362.0,1259.5,1343.2,1417.9,,1449.0,1439.2,1299.0,1454.0,1255.4,1332.0,1288.0,1245.5,1633.0,1428.7,1363.6,1375.0,1551.6,1399.0,,,2064.1,1459.0,1345.8,1285.0,1094.5,,1512.3,1443.4,1264.0,,1487.4,1295.0,1230.5,1086.8,1295.0,-257.4,-139.9,-205.3,-147.0,-234.0,-134.0,-173.0,-124.6,-200.0,177.0,-113.0,-215.5,-131.8,-57.1,,-26.0,-35.8,-176.0,-21.0,-219.6,-143.0,-187.0,-229.5,158.0,-46.3,-111.4,-100.0,76.6,-76.0,,,589.1,-16.0,-129.2,-190.0,-380.5,,37.3,-31.6,-211.0,,12.4,-180.0,-244.5,-388.2,-180.0,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,False,True,True,True,False,,True,True,True,,True,True,True,False,True
Nevada,2749,2476.0,2764.5,2417.7,2484.0,2442.7,2581.0,2580.0,2558.1,2790.0,2692.3,2544.0,2406.5,2372.1,2607.8,,2423.0,2581.4,2611.2,2532.0,2583.8,2633.7,2694.0,2530.9,2674.0,2563.9,2609.3,2469.1,2633.7,2359.0,,2600.9,3358.7,2632.0,2929.6,2469.0,2422.1,,2573.6,2581.3,2581.0,,2888.7,2671.0,2699.0,2258.8,2704.0,-273.0,15.5,-331.3,-265.0,-306.3,-168.0,-169.0,-190.9,41.0,-56.7,-205.0,-342.5,-376.9,-141.2,,-326.0,-167.6,-137.8,-217.0,-165.2,-115.3,-55.0,-218.1,-75.0,-185.1,-139.7,-279.9,-115.3,-390.0,,-148.1,609.7,-117.0,180.6,-280.0,-326.9,,-175.4,-167.7,-168.0,,139.7,-78.0,-50.0,-490.2,-45.0,True,False,True,False,True,True,True,True,True,True,False,False,True,,False,True,True,True,True,True,True,True,True,True,True,False,True,False,,True,False,True,True,False,False,,True,True,True,,True,True,True,False,True
New Hampshire,650,566.0,593.7,568.5,562.0,568.0,591.0,587.0,603.2,562.0,590.7,655.0,584.0,642.0,631.7,,599.0,580.2,597.1,609.0,635.3,591.7,585.0,575.0,637.0,585.4,609.0,590.4,584.9,573.0,,,539.3,623.0,716.8,603.0,548.9,,602.1,608.0,595.0,,987.8,584.0,579.0,536.0,574.0,-84.0,-56.3,-81.5,-88.0,-82.0,-59.0,-63.0,-46.8,-88.0,-59.3,5.0,-66.0,-8.0,-18.3,,-51.0,-69.8,-52.9,-41.0,-14.7,-58.3,-65.0,-75.0,-13.0,-64.6,-41.0,-59.6,-65.1,-77.0,,,-110.7,-27.0,66.8,-47.0,-101.1,,-47.9,-42.0,-55.0,,337.8,-66.0,-71.0,-114.0,-76.0,True,True,False,True,True,True,True,False,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,False,True,True,True,False,,True,True,True,,False,True,True,False,True
New Jersey,18173,17598.0,18015.4,17642.7,17858.0,17625.5,17843.0,17849.0,17852.7,17744.0,18315.8,17843.0,17553.6,18858.5,18182.7,,17814.0,17930.7,17953.5,17776.0,17859.0,17947.5,17771.0,17739.0,17935.0,17867.9,17842.5,17624.9,17851.8,16983.0,,17668.6,17322.1,17732.0,18258.8,17621.0,17781.5,,17884.4,17893.7,17559.0,,23581.0,17988.0,18178.0,17120.8,18000.0,-575.0,-157.6,-530.3,-315.0,-547.5,-330.0,-324.0,-320.3,-429.0,142.8,-330.0,-619.4,685.5,9.7,,-359.0,-242.3,-219.5,-397.0,-314.0,-225.5,-402.0,-434.0,-238.0,-305.1,-330.5,-548.1,-321.2,-1190.0,,-504.4,-850.9,-441.0,85.8,-552.0,-391.5,,-288.6,-279.3,-614.0,,5408.0,-185.0,5.0,-1052.2,-173.0,True,True,True,True,True,True,True,True,True,True,False,False,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,False,,True,False,True,True,True,True,,True,True,False,,False,True,True,False,True
New Mexico,2155,1988.6,2264.9,2054.2,2138.0,2058.0,2159.0,2030.0,2162.6,2698.0,2729.8,2184.0,1948.1,2146.3,2350.7,,2038.0,2357.6,2414.2,2117.0,1912.9,2281.9,2201.0,2026.2,2087.0,2171.7,2114.8,1713.5,2213.0,2225.0,,,2159.4,2376.0,2455.5,1862.0,1990.4,,2102.5,2192.8,2072.0,,2757.0,2351.0,2071.0,1660.6,2177.0,-166.4,109.9,-100.8,-17.0,-97.0,4.0,-125.0,7.6,543.0,574.8,29.0,-206.9,-8.7,195.7,,-117.0,202.6,259.2,-38.0,-242.1,126.9,46.0,-128.8,-68.0,16.7,-40.2,-441.5,58.0,70.0,,,4.4,221.0,300.5,-293.0,-164.6,,-52.5,37.8,-83.0,,602.0,196.0,-84.0,-494.4,22.0,True,True,True,True,True,True,True,False,False,True,False,True,False,,True,False,False,True,False,True,True,True,True,True,True,False,True,True,,,True,False,False,False,True,,True,True,True,,False,False,True,False,True
New York,36318,35252.4,35654.8,35175.4,35531.0,35191.2,35681.0,35530.0,35756.8,35927.0,36055.8,36241.0,35248.4,35929.7,35861.8,,35702.0,35455.4,35875.9,35549.0,35972.7,35977.2,35476.0,35581.1,35900.0,35469.0,35747.8,35331.6,35717.5,34393.0,,35226.6,34741.3,37007.0,37018.9,35850.0,35424.6,,36043.8,35486.9,35836.0,,43084.3,35681.0,35393.0,34567.6,35457.0,-1053.6,-651.2,-1130.6,-775.0,-1114.8,-625.0,-776.0,-549.2,-379.0,-250.2,-65.0,-1057.6,-376.3,-444.2,,-604.0,-850.6,-430.1,-757.0,-333.3,-328.8,-830.0,-724.9,-406.0,-837.0,-558.2,-974.4,-588.5,-1913.0,,-1079.4,-1564.7,701.0,712.9,-456.0,-881.4,,-262.2,-819.1,-470.0,,6778.3,-625.0,-913.0,-1738.4,-849.0,True,False,True,False,True,True,True,True,True,True,False,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,False,,False,False,True,True,True,True,,True,True,True,,False,True,True,False,True
