,actual_deaths,Baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,MITCovAlliance-SIR,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,RobertWalraven-ESG,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,YYG-ParamSearch,error-Baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-RobertWalraven-ESG,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,error-YYG-ParamSearch,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-YYG-ParamSearch
Georgia,7808,8066.7,7857.0,7658.8,7856.0,,7863.0,7841.3,7264.7,7648.2,7386.4,8506.9,,8004.6,7756.0,,7307.2,,7899.2,7668.4,7450.0,7237.8,7447.8,258.7,49.0,-149.2,48.0,,55.0,33.3,-543.3,-159.8,-421.6,698.9,,196.6,-52.0,,-500.8,,91.2,-139.6,-358.0,-570.2,-360.2,True,True,True,,True,True,False,True,False,False,,True,True,,False,,True,True,False,False,False
Hawaii,212,181.0,144.0,166.9,163.0,,,165.9,133.2,293.6,136.4,142.6,,135.0,557.5,,143.0,,170.7,137.0,140.0,135.0,167.1,-31.0,-68.0,-45.1,-49.0,,,-46.1,-78.8,81.6,-75.6,-69.4,,-77.0,345.5,,-69.0,,-41.3,-75.0,-72.0,-77.0,-44.9,False,False,False,,,False,False,False,False,False,,False,False,,False,,False,False,False,False,False
Idaho,572,590.7,547.0,574.3,532.0,,574.0,557.9,510.6,712.8,553.8,1529.0,,480.8,569.0,,446.8,,561.8,547.6,553.0,514.2,557.1,18.7,-25.0,2.3,-40.0,,2.0,-14.1,-61.4,140.8,-18.2,957.0,,-91.2,-3.0,,-125.2,,-10.2,-24.4,-19.0,-57.8,-14.9,False,True,False,,True,True,False,False,True,False,,False,True,,False,,True,False,False,False,True
Illinois,9751,9425.4,9845.0,9321.3,9193.0,,9363.0,9574.2,10330.8,9707.6,8940.1,8977.8,11377.5,8627.8,10511.0,,9006.2,,9230.0,11117.1,9259.0,8645.7,9245.3,-325.6,94.0,-429.7,-558.0,,-388.0,-176.8,579.8,-43.4,-810.9,-773.2,1626.5,-1123.2,760.0,,-744.8,,-521.0,1366.1,-492.0,-1105.3,-505.7,True,False,False,,False,True,False,True,False,False,False,False,False,,False,,False,False,False,False,False
Indiana,4118,3871.4,3825.0,3885.2,3976.0,,4102.0,3870.8,4236.1,4196.1,3759.5,4032.9,3927.0,3983.8,3946.0,,3588.4,,3778.9,5051.4,3779.0,3482.9,3816.0,-246.6,-293.0,-232.8,-142.0,,-16.0,-247.2,118.1,78.1,-358.5,-85.1,-191.0,-134.2,-172.0,,-529.6,,-339.1,933.4,-339.0,-635.1,-302.0,False,True,True,,True,False,True,True,False,True,True,True,True,,False,,False,False,False,False,False
Iowa,1634,1530.4,1623.0,1600.3,1632.0,,1662.0,1596.4,1552.4,1632.2,1362.2,1535.7,,1865.5,1316.0,,1333.7,,1503.8,1678.7,1566.0,1377.2,1548.0,-103.6,-11.0,-33.7,-2.0,,28.0,-37.6,-81.6,-1.8,-271.8,-98.3,,231.5,-318.0,,-300.3,,-130.2,44.7,-68.0,-256.8,-86.0,True,True,True,,True,True,True,True,False,True,,False,False,,False,,False,True,True,False,True
Kansas,956,803.3,677.0,749.2,729.0,,620.0,686.1,721.0,868.2,574.6,717.5,,732.1,760.0,,608.8,,728.5,680.4,702.0,607.8,696.8,-152.7,-279.0,-206.8,-227.0,,-336.0,-269.9,-235.0,-87.8,-381.4,-238.5,,-223.9,-196.0,,-347.2,,-227.5,-275.6,-254.0,-348.2,-259.2,False,False,False,,False,False,False,True,False,False,,False,False,,False,,False,False,False,False,False
Kentucky,1404,1434.9,1607.0,1477.7,1408.0,,1546.0,1476.4,1412.2,1643.6,1298.0,1355.7,1408.0,1318.5,1515.0,,1223.4,,1413.5,1572.2,1332.0,1213.2,1372.5,30.9,203.0,73.7,4.0,,142.0,72.4,8.2,239.6,-106.0,-48.3,4.0,-85.5,111.0,,-180.6,,9.5,168.2,-72.0,-190.8,-31.5,False,False,True,,False,False,True,False,False,False,True,False,False,,False,,True,False,False,False,False
Louisiana,5820,6066.7,8453.0,5799.4,5751.0,,5856.0,5654.2,5667.6,5706.0,5864.4,6455.9,,5526.0,5589.0,,5740.1,,6301.7,6138.2,5724.0,5602.2,5763.6,246.7,2633.0,-20.6,-69.0,,36.0,-165.8,-152.4,-114.0,44.4,635.9,,-294.0,-231.0,,-79.9,,481.7,318.2,-96.0,-217.8,-56.4,False,True,True,,True,True,True,True,True,False,,False,True,,True,,False,False,True,True,True
Maine,146,147.7,142.0,145.8,141.0,,186.0,153.1,156.4,189.1,147.5,177.6,,139.8,147.0,,143.6,,140.1,175.8,143.0,142.5,147.5,1.7,-4.0,-0.2,-5.0,,40.0,7.1,10.4,43.1,1.5,31.6,,-6.2,1.0,,-2.4,,-5.9,29.8,-3.0,-3.5,1.5,False,True,False,,False,False,False,False,True,False,,False,True,,False,,False,False,False,False,True
Maryland,4091,4066.4,5335.0,4124.9,3878.0,,3994.0,4110.6,4271.2,4140.2,4007.8,4052.0,,3998.3,3942.0,,4034.9,,4014.9,4670.9,4080.0,3974.0,4067.7,-24.6,1244.0,33.9,-213.0,,-97.0,19.6,180.2,49.2,-83.2,-39.0,,-92.7,-149.0,,-56.1,,-76.1,579.9,-11.0,-117.0,-23.3,False,False,False,,False,True,False,False,False,False,,False,False,,False,,False,False,True,False,True
Massachusetts,9839,9707.9,9207.0,9396.1,9263.0,,9449.0,9758.9,9197.6,9678.3,9539.2,9532.8,,9398.8,9386.0,,9453.5,,9460.2,10885.5,9682.0,9434.9,9552.7,-131.1,-632.0,-442.9,-576.0,,-390.0,-80.1,-641.4,-160.7,-299.8,-306.2,,-440.2,-453.0,,-385.5,,-378.8,1046.5,-157.0,-404.1,-286.3,False,False,False,,False,True,False,False,False,False,,False,False,,False,,False,False,False,False,False
Michigan,7522,7526.0,8092.0,7540.9,7234.0,,7409.0,7509.5,7991.7,7990.4,7080.7,7317.8,7899.0,7059.9,7535.0,,7037.4,,7284.9,8711.1,7576.0,7029.1,7303.0,4.0,570.0,18.9,-288.0,,-113.0,-12.5,469.7,468.4,-441.3,-204.2,377.0,-462.1,13.0,,-484.6,,-237.1,1189.1,54.0,-492.9,-219.0,False,False,False,,False,False,False,False,False,False,False,False,False,,False,,False,False,False,False,False
Minnesota,2381,2334.1,2305.0,2240.4,2020.0,,2406.0,2212.9,2386.9,2378.1,2087.2,2152.2,2702.5,2462.0,2486.0,,2163.5,,2284.5,2587.9,2201.0,2047.2,2255.4,-46.9,-76.0,-140.6,-361.0,,25.0,-168.1,5.9,-2.9,-293.8,-228.8,321.5,81.0,105.0,,-217.5,,-96.5,206.9,-180.0,-333.8,-125.6,False,False,False,,True,False,True,True,False,False,False,False,False,,False,,False,False,False,False,False
Mississippi,3255,3358.9,3295.0,3109.1,3175.0,,3883.0,3160.6,3001.3,3104.9,3024.9,3453.0,,3676.8,3481.0,,2967.8,,3278.4,3214.0,3048.0,3128.9,3091.0,103.9,40.0,-145.9,-80.0,,628.0,-94.4,-253.7,-150.1,-230.1,198.0,,421.8,226.0,,-287.2,,23.4,-41.0,-207.0,-126.1,-164.0,True,False,True,,False,True,False,False,False,False,,False,False,,False,,True,True,False,False,False
Missouri,2808,2000.4,3422.0,2539.3,2309.0,,2116.0,2387.7,2393.6,2385.7,2237.9,2475.1,,2459.3,2106.0,,1853.4,,2047.7,2898.2,2166.0,1836.5,2184.3,-807.6,614.0,-268.7,-499.0,,-692.0,-420.3,-414.4,-422.3,-570.1,-332.9,,-348.7,-702.0,,-954.6,,-760.3,90.2,-642.0,-971.5,-623.7,True,True,True,,True,True,True,True,True,True,,True,True,,False,,True,True,True,False,True
Montana,294,240.4,258.0,251.1,179.0,,349.0,218.9,188.8,246.9,174.9,301.5,,160.3,217.5,,148.6,,200.2,199.6,205.0,169.0,218.8,-53.6,-36.0,-42.9,-115.0,,55.0,-75.1,-105.2,-47.1,-119.1,7.5,,-133.7,-76.5,,-145.4,,-93.8,-94.4,-89.0,-125.0,-75.2,True,True,False,,False,False,False,True,False,True,,False,False,,False,,False,False,False,False,False
Nebraska,595,609.7,680.0,635.3,453.0,,703.0,582.6,554.2,634.2,497.7,597.6,,499.7,559.0,,487.5,,543.6,574.1,562.0,487.4,539.1,14.7,85.0,40.3,-142.0,,108.0,-12.4,-40.8,39.2,-97.3,2.6,,-95.3,-36.0,,-107.5,,-51.4,-20.9,-33.0,-107.6,-55.9,False,False,False,,False,True,False,False,False,True,,False,False,,False,,False,False,False,False,False
Nevada,1739,1821.0,1677.0,1710.5,1754.0,,1850.0,1670.4,1589.2,1751.9,1655.7,2107.5,,1561.8,1707.0,,1510.0,,1889.8,1675.7,1640.0,1719.0,1702.5,82.0,-62.0,-28.5,15.0,,111.0,-68.6,-149.8,12.9,-83.3,368.5,,-177.2,-32.0,,-229.0,,150.8,-63.3,-99.0,-20.0,-36.5,True,True,True,,False,True,False,True,False,False,,False,True,,False,,False,True,False,True,True
New Hampshire,473,453.6,481.0,458.2,438.0,,473.0,461.7,481.7,479.3,454.7,450.8,,465.5,439.0,,498.0,,459.3,550.0,479.0,446.5,454.3,-19.4,8.0,-14.8,-35.0,,0.0,-11.3,8.7,6.3,-18.3,-22.2,,-7.5,-34.0,,25.0,,-13.7,77.0,6.0,-26.5,-18.7,True,True,False,,True,True,True,True,True,False,,True,False,,False,,True,False,True,False,True
New Jersey,16281,16277.0,16464.0,16288.6,16072.0,,16478.0,16277.7,16497.4,16260.6,16166.8,16609.9,,16209.4,16190.5,,16107.3,,16207.4,17014.0,16358.0,16348.8,16206.8,-4.0,183.0,7.6,-209.0,,197.0,-3.3,216.4,-20.4,-114.2,328.9,,-71.6,-90.5,,-173.7,,-73.6,733.0,77.0,67.8,-74.2,False,False,False,,False,True,False,False,False,False,,False,False,,False,,False,False,False,False,False
New Mexico,965,940.1,980.0,927.3,892.0,,1045.0,909.3,897.8,1026.1,895.1,1181.3,,918.8,839.0,,869.3,,907.1,947.5,895.0,915.5,928.5,-24.9,15.0,-37.7,-73.0,,80.0,-55.7,-67.2,61.1,-69.9,216.3,,-46.2,-126.0,,-95.7,,-57.9,-17.5,-70.0,-49.5,-36.5,True,False,False,,False,False,False,False,False,False,,False,False,,False,,False,True,False,False,False
New York,33418,33233.9,33771.0,33410.2,33027.0,,33611.0,33437.0,34027.0,34018.1,33191.3,34732.4,,33844.9,33048.0,,34003.3,,33219.9,35297.4,33375.0,33190.1,33279.1,-184.1,353.0,-7.8,-391.0,,193.0,19.0,609.0,600.1,-226.7,1314.4,,426.9,-370.0,,585.3,,-198.1,1879.4,-43.0,-227.9,-138.9,False,True,False,,False,True,False,False,False,False,,False,False,,False,,False,False,True,False,True
North Carolina,4144,4000.9,4851.0,4034.8,3889.0,,4358.0,3840.9,3608.9,4266.9,3637.5,4016.8,,3621.9,3335.0,,3427.1,,3807.4,3829.8,3792.0,3534.3,3881.6,-143.1,707.0,-109.2,-255.0,,214.0,-303.1,-535.1,122.9,-506.5,-127.2,,-522.1,-809.0,,-716.9,,-336.6,-314.2,-352.0,-609.7,-262.4,False,True,False,,False,False,False,True,False,True,,False,False,,False,,False,False,False,False,False
North Dakota,448,238.3,311.0,308.5,170.0,,278.0,284.6,245.7,256.9,239.9,249.3,,320.8,277.0,,197.0,,192.2,355.5,240.0,195.5,233.6,-209.7,-137.0,-139.5,-278.0,,-170.0,-163.4,-202.3,-191.1,-208.1,-198.7,,-127.2,-171.0,,-251.0,,-255.8,-92.5,-208.0,-252.5,-214.4,True,True,False,,True,True,True,True,True,True,,True,True,,False,,False,True,True,False,False
Ohio,5206,5328.7,5753.0,5165.1,5171.0,,5738.0,5301.5,5263.5,5647.8,4897.8,5608.4,6217.5,4479.4,5120.0,,4742.2,,5176.5,5904.9,5132.0,4918.8,5218.6,122.7,547.0,-40.9,-35.0,,532.0,95.5,57.5,441.8,-308.2,402.4,1011.5,-726.6,-86.0,,-463.8,,-29.5,698.9,-74.0,-287.2,12.6,False,True,True,,False,True,True,False,False,False,False,False,True,,False,,True,False,True,False,True
Oklahoma,1245,1209.6,1681.0,1233.1,1207.0,,1397.0,1318.9,1247.8,1421.3,1106.0,1429.6,,1190.1,1234.0,,1013.2,,1173.0,1378.5,1218.0,1060.9,1194.5,-35.4,436.0,-11.9,-38.0,,152.0,73.9,2.8,176.3,-139.0,184.6,,-54.9,-11.0,,-231.8,,-72.0,133.5,-27.0,-184.1,-50.5,False,True,False,,False,False,True,False,False,False,,False,True,,False,,False,False,True,False,False
Oregon,653,673.0,617.0,618.3,620.0,,708.0,634.2,605.6,937.2,601.7,770.3,,609.2,592.0,,584.8,,647.3,653.9,625.0,593.0,637.2,20.0,-36.0,-34.7,-33.0,,55.0,-18.8,-47.4,284.2,-51.3,117.3,,-43.8,-61.0,,-68.2,,-5.7,0.9,-28.0,-60.0,-15.8,False,False,False,,False,True,False,False,False,False,,False,False,,False,,True,True,False,False,True
Pennsylvania,8636,8291.7,8985.0,8402.3,8037.0,,8356.0,8544.5,8735.1,8905.9,8054.7,8337.9,,8241.9,8113.0,,8010.5,,8145.5,9317.6,8442.0,8092.0,8246.8,-344.3,349.0,-233.7,-599.0,,-280.0,-91.5,99.1,269.9,-581.3,-298.1,,-394.1,-523.0,,-625.5,,-490.5,681.6,-194.0,-544.0,-389.2,False,True,False,,True,True,True,True,False,True,,False,False,,False,,False,False,True,False,False
Rhode Island,1177,1164.7,1144.0,1137.5,1074.0,,1114.0,1131.4,1148.6,1250.2,1091.6,1469.1,,1145.7,1097.0,,1114.9,,1127.7,1226.4,1146.0,0.0,1123.5,-12.3,-33.0,-39.5,-103.0,,-63.0,-45.6,-28.4,73.2,-85.4,292.1,,-31.3,-80.0,,-62.1,,-49.3,49.4,-31.0,-1177.0,-53.5,False,False,False,,False,False,False,False,False,False,,False,False,,False,,False,False,False,False,False
South Carolina,3793,4100.7,5099.0,4115.7,3824.0,,3862.0,4018.6,3516.7,3672.9,4125.0,3940.2,,3920.3,3670.0,,3461.4,,3843.2,4393.7,3849.0,3546.7,3701.5,307.7,1306.0,322.7,31.0,,69.0,225.6,-276.3,-120.1,332.0,147.2,,127.3,-123.0,,-331.6,,50.2,600.7,56.0,-246.3,-91.5,False,False,True,,True,True,True,True,False,True,,True,True,,False,,True,False,True,True,True
South Dakota,366,248.4,217.0,284.2,194.0,,328.0,275.8,249.4,235.2,216.3,342.1,,274.9,223.0,,208.7,,222.4,308.8,215.0,209.0,251.9,-117.6,-149.0,-81.8,-172.0,,-38.0,-90.2,-116.6,-130.8,-149.7,-23.9,,-91.1,-143.0,,-157.3,,-143.6,-57.2,-151.0,-157.0,-114.1,False,True,False,,True,True,True,False,False,True,,True,False,,False,,False,True,False,False,True
Tennessee,3100,3325.6,3302.0,2810.9,2678.0,,3101.0,2815.1,2517.5,3019.8,2569.5,3574.8,,2462.0,3192.0,,2485.1,,3065.9,2632.8,2962.0,2464.8,2827.7,225.6,202.0,-289.1,-422.0,,1.0,-284.9,-582.5,-80.2,-530.5,474.8,,-638.0,92.0,,-614.9,,-34.1,-467.2,-138.0,-635.2,-272.3,True,False,False,,True,False,False,True,False,False,,False,True,,False,,True,False,True,False,False
Texas,17915,18803.7,16614.0,16839.6,18041.0,,18374.0,17153.7,16504.5,17986.4,17352.3,20395.7,,17269.6,17522.0,,16337.4,17745.0,17988.9,17361.0,17044.0,16626.1,16931.9,888.7,-1301.0,-1075.4,126.0,,459.0,-761.3,-1410.5,71.4,-562.7,2480.7,,-645.4,-393.0,,-1577.6,-170.0,73.9,-554.0,-871.0,-1288.9,-983.1,False,False,True,,True,True,False,True,True,False,,True,True,,False,True,True,True,True,False,False
Utah,568,497.4,592.0,632.2,486.0,,663.0,549.0,479.0,625.0,511.3,552.7,,576.4,463.0,,442.4,,531.8,598.6,533.0,407.2,534.7,-70.6,24.0,64.2,-82.0,,95.0,-19.0,-89.0,57.0,-56.7,-15.3,,8.4,-105.0,,-125.6,,-36.2,30.6,-35.0,-160.8,-33.3,True,True,False,,False,True,False,True,True,True,,True,False,,False,,True,True,True,False,True
Vermont,58,58.0,58.0,60.3,58.0,,74.0,58.0,71.0,78.8,59.6,65.6,,59.7,58.0,,58.0,,58.7,66.8,58.0,58.0,63.5,0.0,0.0,2.3,0.0,,16.0,0.0,13.0,20.8,1.6,7.6,,1.7,0.0,,0.0,,0.7,8.8,0.0,0.0,5.5,True,False,True,,False,True,False,False,False,False,,False,True,,True,,False,False,True,False,False
Virginia,3578,2993.4,3679.0,3217.8,2842.0,,3509.0,3277.4,3480.0,3490.9,3029.8,3284.2,,2789.3,3199.0,,2863.5,,2934.9,3689.2,2955.0,3003.6,3163.4,-584.6,101.0,-360.2,-736.0,,-69.0,-300.6,-98.0,-87.1,-548.2,-293.8,,-788.7,-379.0,,-714.5,,-643.1,111.2,-623.0,-574.4,-414.6,True,True,False,,True,True,True,True,True,True,,False,True,,False,,False,True,False,True,True
Washington,2296,2213.6,2137.0,2175.5,2450.0,,2208.0,2211.2,2274.9,2506.6,2165.6,2537.7,,2135.4,2040.0,,2074.5,,2287.4,2427.3,2182.0,2184.2,2225.5,-82.4,-159.0,-120.5,154.0,,-88.0,-84.8,-21.1,210.6,-130.4,241.7,,-160.6,-256.0,,-221.5,,-8.6,131.3,-114.0,-111.8,-70.5,False,False,False,,False,False,True,False,False,False,,False,False,,False,,True,False,False,False,True
West Virginia,424,372.4,1119.0,554.7,366.0,,544.0,573.8,394.5,534.7,421.0,610.2,,311.5,822.0,,309.3,,360.2,454.4,432.0,330.8,409.1,-51.6,695.0,130.7,-58.0,,120.0,149.8,-29.5,110.7,-3.0,186.2,,-112.5,398.0,,-114.7,,-63.8,30.4,8.0,-93.2,-14.9,False,False,False,,False,False,True,False,True,False,,False,False,,False,,False,True,True,False,True
Wisconsin,1770,1456.0,1994.0,1669.1,1563.0,,1567.0,1607.5,1701.8,1818.5,1489.6,1484.7,1646.0,2010.7,1549.0,,1369.2,,1420.4,2299.1,1621.0,1346.2,1485.2,-314.0,224.0,-100.9,-207.0,,-203.0,-162.5,-68.2,48.5,-280.4,-285.3,-124.0,240.7,-221.0,,-400.8,,-349.6,529.1,-149.0,-423.8,-284.8,True,True,True,,True,True,True,True,True,True,True,True,True,,False,,False,False,True,False,True
Wyoming,68,42.0,59.0,57.1,55.0,,119.0,61.3,85.8,83.8,55.5,184.2,,57.7,78.0,,60.9,,44.5,65.3,45.0,77.6,55.3,-26.0,-9.0,-10.9,-13.0,,51.0,-6.7,17.8,15.8,-12.5,116.2,,-10.3,10.0,,-7.1,,-23.5,-2.7,-23.0,9.6,-12.7,True,True,True,,False,True,True,True,True,False,,True,True,,True,,True,True,True,True,True
US,224893,224118.1,222222.0,217301.7,217351.0,230435.8,226826.0,218634.6,215132.2,227802.3,212407.4,,,219764.4,216908.5,216864.8,206818.9,223653.0,217665.4,231092.9,217375.0,213900.7,215567.9,-774.9,-2671.0,-7591.3,-7542.0,5542.8,1933.0,-6258.4,-9760.8,2909.3,-12485.6,,,-5128.6,-7984.5,-8028.2,-18074.1,-1240.0,-7227.6,6199.9,-7518.0,-10992.3,-9325.1,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False,False
