,actual_deaths,Baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,MITCovAlliance-SIR,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,RobertWalraven-ESG,STH-3PU,UCLA-SuEIR,UCM_MESALab-FoGSEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,YYG-ParamSearch,error-Baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-RobertWalraven-ESG,error-STH-3PU,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,error-YYG-ParamSearch,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-YYG-ParamSearch
Maryland,4091,4078.1,4319.0,4071.9,3901.0,,4172.5,4102.0,4098.2,4264.6,4118.2,4104.1,4006.2,4058.8,,4189.9,4076.0,,3968.6,,4029.0,,4590.8,4091.0,3996.3,4066.8,-12.9,228.0,-19.1,-190.0,,81.5,11.0,7.2,173.6,27.2,13.1,-84.8,-32.2,,98.9,-15.0,,-122.4,,-62.0,,499.8,0.0,-94.7,-24.2,False,False,False,,False,True,True,False,False,False,False,False,,False,False,,False,,False,,False,True,False,False
Massachusetts,9839,9795.7,20823.0,9423.4,9339.0,,9825.5,9482.0,9758.3,9701.8,9729.7,9700.0,9654.4,9581.9,,9556.3,9455.0,,9593.8,,9582.3,,10456.9,10072.0,9502.9,9605.4,-43.3,10984.0,-415.6,-500.0,,-13.5,-357.0,-80.7,-137.2,-109.3,-139.0,-184.6,-257.1,,-282.7,-384.0,,-245.2,,-256.7,,617.9,233.0,-336.1,-233.6,False,False,False,,True,False,False,False,False,False,False,False,,False,False,,False,,False,,False,False,False,False
Michigan,7522,7250.7,7549.0,7396.2,7216.0,,7127.6,7592.0,7393.9,7823.4,7717.4,7388.6,7057.7,7307.7,8531.5,7134.0,7389.0,,7243.5,,7166.1,,8367.3,7141.0,7050.8,7262.9,-271.3,27.0,-125.8,-306.0,,-394.4,70.0,-128.1,301.4,195.4,-133.4,-464.3,-214.3,1009.5,-388.0,-133.0,,-278.5,,-355.9,,845.3,-381.0,-471.2,-259.1,True,True,False,,False,True,True,False,True,True,False,True,False,False,True,,False,,False,,False,False,False,True
Minnesota,2381,2240.4,2203.0,2229.6,2079.0,,2267.2,2412.0,2287.2,2419.3,2374.5,2228.0,2270.7,2162.3,2778.0,2204.8,2356.0,,2145.6,,2307.2,,3007.1,2356.0,2076.9,2252.9,-140.6,-178.0,-151.4,-302.0,,-113.8,31.0,-93.8,38.3,-6.5,-153.0,-110.3,-218.7,397.0,-176.2,-25.0,,-235.4,,-73.8,,626.1,-25.0,-304.1,-128.1,False,False,False,,True,True,True,True,True,False,True,False,False,False,True,,False,,True,,False,True,False,True
Mississippi,3255,3358.9,3233.0,3092.9,3189.0,,2988.9,3616.0,3287.9,3082.3,3130.3,3192.7,3208.9,3427.1,,3051.7,2965.0,,2982.5,,3328.0,,3301.3,3216.0,3179.8,3176.3,103.9,-22.0,-162.1,-66.0,,-266.1,361.0,32.9,-172.7,-124.7,-62.3,-46.1,172.1,,-203.3,-290.0,,-272.5,,73.0,,46.3,-39.0,-75.2,-78.7,True,False,True,,False,False,True,False,False,True,True,False,,False,False,,False,,True,,True,True,True,True
Missouri,2808,2287.4,2692.0,2305.2,2324.0,,2047.5,2424.0,2374.6,2352.0,2378.1,2338.2,2110.5,2500.6,,2834.4,2455.0,,1977.0,,2184.8,,2715.4,2203.0,1908.7,2221.4,-520.6,-116.0,-502.8,-484.0,,-760.5,-384.0,-433.4,-456.0,-429.9,-469.8,-697.5,-307.4,,26.4,-353.0,,-831.0,,-623.2,,-92.6,-605.0,-899.3,-586.6,True,True,True,,False,True,True,True,True,True,False,True,,True,True,,False,,False,,True,False,False,False
Montana,294,263.9,270.0,257.5,192.0,,197.0,213.0,247.9,205.0,242.7,239.3,239.5,307.1,,204.9,238.0,,183.6,,232.9,,256.7,284.0,194.2,238.8,-30.1,-24.0,-36.5,-102.0,,-97.0,-81.0,-46.1,-89.0,-51.3,-54.7,-54.5,13.1,,-89.1,-56.0,,-110.4,,-61.1,,-37.3,-10.0,-99.8,-55.2,True,False,False,,False,False,False,False,False,False,False,True,,False,False,,False,,False,,False,True,False,False
Nebraska,595,480.9,661.0,598.4,474.0,,640.2,537.0,561.7,557.4,596.7,552.0,501.9,587.2,,553.5,540.0,,474.4,,471.1,,597.6,538.0,485.7,515.3,-114.1,66.0,3.4,-121.0,,45.2,-58.0,-33.3,-37.6,1.7,-43.0,-93.1,-7.8,,-41.5,-55.0,,-120.6,,-123.9,,2.6,-57.0,-109.3,-79.7,True,True,False,,True,True,True,True,True,True,True,True,,True,True,,False,,False,,True,True,True,True
Nevada,1739,1914.7,1701.0,1695.5,1772.0,,1737.8,1852.0,1738.1,1654.4,1774.5,1737.3,1781.7,2081.9,,1732.4,1740.0,,1638.6,,1930.1,,1743.4,1807.0,1760.9,1763.8,175.7,-38.0,-43.5,33.0,,-1.2,113.0,-0.9,-84.6,35.5,-1.7,42.7,342.9,,-6.6,1.0,,-100.4,,191.1,,4.4,68.0,21.9,24.8,True,True,True,,True,True,True,True,True,True,True,False,,True,True,,True,,False,,True,True,True,True
New Hampshire,473,447.7,599.0,454.8,439.0,,443.5,453.0,455.5,484.9,475.1,464.5,456.0,466.6,,467.2,441.0,,447.0,,457.3,,528.6,458.0,448.2,456.0,-25.3,126.0,-18.2,-34.0,,-29.5,-20.0,-17.5,11.9,2.1,-8.5,-17.0,-6.4,,-5.8,-32.0,,-26.0,,-15.7,,55.6,-15.0,-24.8,-17.0,False,True,False,,False,True,True,True,True,True,True,True,,True,False,,False,,True,,False,True,True,True
