,actual_deaths,Baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,LANL-GrowthRate,MITCovAlliance-SIR,RobertWalraven-ESG,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,YYG-ParamSearch,error-Baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-RobertWalraven-ESG,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,error-YYG-ParamSearch,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-YYG-ParamSearch
Hawaii,212,235.9,173.0,251.7,171.0,,125.5,,232.7,144.9,135.4,151.2,,242.4,149.3,231.0,121.1,224.1,23.9,-39.0,39.7,-41.0,,-86.5,,20.7,-67.1,-76.6,-60.8,,30.4,-62.7,19.0,-90.9,12.1,False,False,False,,False,,True,False,False,False,,False,False,True,False,True
Idaho,572,563.3,550.0,548.5,529.0,,1051.9,606.0,538.7,513.2,1557.3,405.1,,536.8,456.3,491.0,476.2,563.6,-8.7,-22.0,-23.5,-43.0,,479.9,34.0,-33.3,-58.8,985.3,-166.9,,-35.2,-115.7,-81.0,-95.8,-8.4,False,False,False,,False,False,False,False,False,False,,False,False,False,False,True
Illinois,9751,9500.9,9877.0,9579.0,9087.0,,10181.2,9052.0,9534.6,8927.2,8906.8,8653.2,,9523.3,13112.5,9645.0,8549.2,9217.6,-250.1,126.0,-172.0,-664.0,,430.2,-699.0,-216.4,-823.8,-844.2,-1097.8,,-227.7,3361.5,-106.0,-1201.8,-533.4,True,True,False,,False,False,True,False,False,False,,True,False,True,False,False
Indiana,4118,3864.6,4038.0,3825.5,4025.0,,4089.0,3853.0,3992.3,3643.2,4031.9,3506.2,,3823.9,4917.9,3854.0,3440.4,3744.7,-253.4,-80.0,-292.5,-93.0,,-29.0,-265.0,-125.7,-474.8,-86.1,-611.8,,-294.1,799.9,-264.0,-677.6,-373.3,True,False,True,,True,False,True,False,True,False,,False,False,False,False,False
Iowa,1634,1537.3,7111.0,1926.3,1699.0,,2389.0,1658.0,1946.3,1325.8,1526.6,1288.9,,1540.0,1718.7,1541.0,1339.9,1629.9,-96.7,5477.0,292.3,65.0,,755.0,24.0,312.3,-308.2,-107.4,-345.1,,-94.0,84.7,-93.0,-294.1,-4.1,False,False,True,,False,True,False,False,False,False,,True,True,True,False,True
Kansas,956,700.4,1061.0,761.6,707.0,,732.0,622.0,693.3,547.7,692.8,517.1,,698.4,710.0,644.0,555.7,645.2,-255.6,105.0,-194.4,-249.0,,-224.0,-334.0,-262.7,-408.3,-263.2,-438.9,,-257.6,-246.0,-312.0,-400.3,-310.8,True,True,True,,True,False,False,False,False,False,,False,True,False,False,False
Kentucky,1404,1455.4,2076.0,1529.8,1402.0,,1793.2,1221.0,1433.5,1214.0,1331.7,1164.1,,1537.0,1614.9,1475.0,1155.4,1345.9,51.4,672.0,125.8,-2.0,,389.2,-183.0,29.5,-190.0,-72.3,-239.9,,133.0,210.9,71.0,-248.6,-58.1,False,False,True,,False,False,True,False,False,False,,False,False,False,False,False
Louisiana,5820,6203.9,6346.0,5658.5,5747.0,,6733.0,5870.0,5701.7,5885.5,6421.5,5553.3,,5959.0,6130.4,5532.0,5539.5,5783.6,383.9,526.0,-161.5,-73.0,,913.0,50.0,-118.3,65.5,601.5,-266.7,,139.0,310.4,-288.0,-280.5,-36.4,False,True,True,,False,True,True,True,False,True,,True,True,True,True,True
Maine,146,147.7,213.0,148.7,140.0,,162.5,175.0,156.1,147.4,178.5,136.5,,142.4,178.4,152.0,145.4,147.6,1.7,67.0,2.7,-6.0,,16.5,29.0,10.1,1.4,32.5,-9.5,,-3.6,32.4,6.0,-0.6,1.6,False,False,False,,False,False,False,True,False,False,,False,False,False,True,True
Maryland,4091,4121.3,4063.0,4133.6,3850.0,,4428.0,4009.0,4114.2,4002.9,4046.1,4006.6,,4006.3,5036.8,4194.0,3953.9,4106.5,30.3,-28.0,42.6,-241.0,,337.0,-82.0,23.2,-88.1,-44.9,-84.4,,-84.7,945.8,103.0,-137.1,15.5,True,False,False,,False,False,True,False,False,False,,False,False,False,False,True
Massachusetts,9839,9646.1,9297.0,11848.5,9251.0,,10479.7,9322.0,9852.1,9390.0,9420.3,9416.5,,9299.5,10914.3,9221.0,9368.2,9492.0,-192.9,-542.0,2009.5,-588.0,,640.7,-517.0,13.1,-449.0,-418.7,-422.5,,-539.5,1075.3,-618.0,-470.8,-347.0,False,False,False,,False,False,True,False,False,False,,False,False,False,False,False
Michigan,7522,7203.7,8096.0,7322.1,7203.0,,7716.0,7364.0,7382.4,6986.2,7267.5,7381.7,,7187.1,8461.9,7273.0,6952.4,7188.1,-318.3,574.0,-199.9,-319.0,,194.0,-158.0,-139.6,-535.8,-254.5,-140.3,,-334.9,939.9,-249.0,-569.6,-333.9,False,True,False,,True,True,True,False,True,True,,False,False,True,False,False
Minnesota,2381,2210.7,3241.0,2295.0,1945.0,,2897.2,2181.0,2341.8,2133.3,2122.2,2091.7,,2203.5,2880.7,2271.0,1978.7,2222.8,-170.3,860.0,-86.0,-436.0,,516.2,-200.0,-39.2,-247.7,-258.8,-289.3,,-177.5,499.7,-110.0,-402.3,-158.2,False,True,False,,False,False,True,False,False,False,,False,False,True,False,True
Mississippi,3255,3564.6,3640.0,3437.5,3189.0,,3659.2,3590.0,3341.6,3133.2,3467.6,2965.2,,3192.2,3313.8,3271.0,3081.6,3164.4,309.6,385.0,182.5,-66.0,,404.2,335.0,86.6,-121.8,212.6,-289.8,,-62.8,58.8,16.0,-173.4,-90.6,False,True,True,,False,False,True,True,True,True,,True,True,True,True,True
Missouri,2808,2727.3,2826.0,2705.5,2347.0,,2247.6,2050.0,2245.4,2192.3,2513.8,2089.5,,2256.1,3118.8,2743.0,1823.0,2258.0,-80.7,18.0,-102.5,-461.0,,-560.4,-758.0,-562.6,-615.7,-294.2,-718.5,,-551.9,310.8,-65.0,-985.0,-550.0,True,False,False,,False,False,False,False,False,False,,False,False,True,False,False
Montana,294,206.1,437.0,231.2,170.0,,162.4,248.0,202.0,179.3,297.6,149.3,,169.8,210.6,227.0,149.2,196.1,-87.9,143.0,-62.8,-124.0,,-131.6,-46.0,-92.0,-114.7,3.6,-144.7,,-124.2,-83.4,-67.0,-144.8,-97.9,False,True,False,,False,True,False,False,True,False,,False,True,True,False,False
Nebraska,595,486.3,613.0,543.8,433.0,,524.1,517.0,528.5,441.7,577.6,455.9,,463.5,525.2,495.0,453.7,499.6,-108.7,18.0,-51.2,-162.0,,-70.9,-78.0,-66.5,-153.3,-17.4,-139.1,,-131.5,-69.8,-100.0,-141.3,-95.4,True,True,False,,True,True,True,False,True,False,,False,True,True,False,True
Nevada,1739,1985.6,1731.0,1744.3,1771.0,,2131.3,1856.0,1773.1,1700.7,2141.1,1480.8,,1908.5,1722.5,1703.0,1700.5,1821.4,246.6,-8.0,5.3,32.0,,392.3,117.0,34.1,-38.3,402.1,-258.2,,169.5,-16.5,-36.0,-38.5,82.4,True,True,True,,False,True,True,True,False,False,,True,True,True,True,True
New Hampshire,473,439.9,446.0,451.6,436.0,,467.1,450.0,452.9,452.6,450.0,505.6,,452.6,531.2,442.0,447.7,454.6,-33.1,-27.0,-21.4,-37.0,,-5.9,-23.0,-20.1,-20.4,-23.0,32.6,,-20.4,58.2,-31.0,-25.3,-18.4,True,True,False,,True,True,True,True,True,True,,True,False,True,True,True
New Jersey,16281,16345.6,16114.0,16127.9,16008.0,,16167.7,16311.0,16154.3,16130.2,16677.7,16228.1,,16343.3,17247.1,16357.0,16400.5,16146.6,64.6,-167.0,-153.1,-273.0,,-113.3,30.0,-126.7,-150.8,396.7,-52.9,,62.3,966.1,76.0,119.5,-134.4,False,False,False,,False,True,False,False,False,True,,True,False,False,False,False
New Mexico,965,1029.3,1212.0,958.3,893.0,,1048.9,989.0,913.2,896.0,1195.9,857.7,,957.8,965.2,965.0,909.8,939.9,64.3,247.0,-6.7,-72.0,,83.9,24.0,-51.8,-69.0,230.9,-107.3,,-7.2,0.2,0.0,-55.2,-25.1,False,True,False,,False,True,True,False,False,False,,True,True,True,True,True
New York,33418,33521.9,34084.0,33486.6,32992.0,,33727.2,33311.0,33328.4,33224.9,35018.3,33170.5,,33368.7,35687.5,33862.0,33190.7,33323.4,103.9,666.0,68.6,-426.0,,309.2,-107.0,-89.6,-193.1,1600.3,-247.5,,-49.3,2269.5,444.0,-227.3,-94.6,False,True,False,,False,False,True,False,False,False,,True,False,False,False,True
North Carolina,4144,4247.7,7815.0,4398.8,3902.0,,4506.0,3975.0,3985.7,3460.1,3994.0,3300.6,,4128.1,3925.3,4321.0,3417.4,3877.0,103.7,3671.0,254.8,-242.0,,362.0,-169.0,-158.3,-683.9,-150.0,-843.4,,-15.9,-218.7,177.0,-726.6,-267.0,False,False,False,,False,False,False,False,False,False,,True,False,False,False,False
North Dakota,448,252.0,689.0,304.1,159.0,,246.3,218.0,293.5,224.2,246.9,190.1,,261.0,341.5,273.0,184.6,243.0,-196.0,241.0,-143.9,-289.0,,-201.7,-230.0,-154.5,-223.8,-201.1,-257.9,,-187.0,-106.5,-175.0,-263.4,-205.0,False,True,False,,False,False,True,False,False,False,,True,True,True,False,False
Ohio,5206,5150.4,6638.0,5245.6,5152.0,,5652.9,5283.0,5312.3,4769.1,5585.9,4755.5,,4764.8,6224.6,5326.0,4805.7,4901.6,-55.6,1432.0,39.6,-54.0,,446.9,77.0,106.3,-436.9,379.9,-450.5,,-441.2,1018.6,120.0,-400.3,-304.4,False,True,True,,False,False,False,False,False,False,,False,False,False,False,False
Oklahoma,1245,1223.3,1635.0,1318.0,1213.0,,1862.1,1304.0,1282.7,1105.5,1447.0,996.9,,1097.5,1418.3,1281.0,1025.3,1207.7,-21.7,390.0,73.0,-32.0,,617.1,59.0,37.7,-139.5,202.0,-248.1,,-147.5,173.3,36.0,-219.7,-37.3,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False
Oregon,653,638.7,623.0,641.5,623.0,,827.6,603.0,642.8,593.2,773.8,526.9,,609.0,672.3,640.0,574.9,629.5,-14.3,-30.0,-11.5,-30.0,,174.6,-50.0,-10.2,-59.8,120.8,-126.1,,-44.0,19.3,-13.0,-78.1,-23.5,False,True,False,,False,False,True,False,False,False,,False,False,True,False,False
Pennsylvania,8636,8380.9,8849.0,8352.0,8007.0,,8652.7,8146.0,8492.9,8186.6,8333.2,7924.9,,8168.0,10164.7,8726.0,8060.7,8277.3,-255.1,213.0,-284.0,-629.0,,16.7,-490.0,-143.1,-449.4,-302.8,-711.1,,-468.0,1528.7,90.0,-575.3,-358.7,True,False,False,,True,False,True,False,False,False,,False,False,True,False,False
Rhode Island,1177,1116.7,1131.0,1134.3,1059.0,,1353.5,1099.0,1120.4,1067.5,1481.3,1166.1,,1101.3,1224.6,1087.0,0.0,1114.7,-46.3,-32.0,-28.7,-104.0,,190.5,-64.0,-42.6,-95.5,318.3,3.1,,-61.7,61.6,-76.0,-1163.0,-48.3,True,True,False,,False,False,True,False,False,True,,False,False,False,False,False
South Carolina,3793,4107.6,7513.0,4131.1,3855.0,,4256.8,3689.0,3964.4,3617.5,3932.7,3245.1,,3808.5,3905.3,4418.0,3401.4,3676.8,314.6,3720.0,338.1,62.0,,463.8,-104.0,171.4,-175.5,139.7,-547.9,,15.5,112.3,625.0,-391.6,-116.2,False,False,True,,False,True,True,True,True,False,,True,True,False,False,True
South Dakota,366,214.1,1620.0,311.0,186.0,,224.6,246.0,354.7,206.3,346.6,187.0,,255.8,306.6,276.0,198.6,244.9,-151.9,1254.0,-55.0,-180.0,,-141.4,-120.0,-11.3,-159.7,-19.4,-179.0,,-110.2,-59.4,-90.0,-167.4,-121.1,False,True,False,,True,True,True,False,True,False,,True,True,True,False,True
Tennessee,3100,2674.1,3392.0,2726.9,2576.0,,3766.4,2726.0,2677.6,2510.6,3497.8,2176.5,,2733.1,2630.8,2517.0,2233.1,2610.7,-425.9,292.0,-373.1,-524.0,,666.4,-374.0,-422.4,-589.4,397.8,-923.5,,-366.9,-469.2,-583.0,-866.9,-489.3,True,True,False,,False,True,True,False,True,False,,True,False,False,False,False
Texas,17915,20312.3,17938.0,17453.9,18834.0,,20985.1,19441.0,17966.5,16037.9,20621.7,16854.0,17051.0,18492.7,17085.2,17530.0,16074.5,17681.9,2397.3,23.0,-461.1,919.0,,3070.1,1526.0,51.5,-1877.1,2706.7,-1061.0,-864.0,577.7,-829.8,-385.0,-1840.5,-233.1,True,True,True,,False,True,True,True,False,True,True,True,True,True,True,True
Utah,568,524.9,646.0,625.0,483.0,,721.0,608.0,546.7,504.2,554.2,464.7,,539.3,560.5,515.0,405.2,549.9,-43.1,78.0,57.0,-85.0,,153.0,40.0,-21.3,-63.8,-13.8,-103.3,,-28.7,-7.5,-53.0,-162.8,-18.1,False,False,False,,False,True,True,False,True,False,,True,True,False,False,True
Vermont,58,58.0,53.0,60.3,59.0,,58.6,58.0,59.8,58.8,66.1,58.0,,58.8,66.3,58.0,58.0,64.5,0.0,-5.0,2.3,1.0,,0.6,0.0,1.8,0.8,8.1,0.0,,0.8,8.3,0.0,0.0,6.5,False,False,False,,False,True,False,False,False,True,,False,False,True,False,False
Virginia,3578,3425.4,3573.0,3508.5,2795.0,,4721.5,3151.0,3320.3,3105.1,3306.4,2913.2,,3042.2,3780.5,2996.0,3015.0,3247.2,-152.6,-5.0,-69.5,-783.0,,1143.5,-427.0,-257.7,-472.9,-271.6,-664.8,,-535.8,202.5,-582.0,-563.0,-330.8,True,True,False,,False,False,False,False,False,False,,False,False,False,False,False
Washington,2296,2282.1,2217.0,2152.8,2499.0,,2343.3,2223.0,2286.2,2156.9,2571.0,2124.4,,2334.1,2448.5,2198.0,2180.2,2270.9,-13.9,-79.0,-143.2,203.0,,47.3,-73.0,-9.8,-139.1,275.0,-171.6,,38.1,152.5,-98.0,-115.8,-25.1,False,False,False,,False,False,True,False,False,False,,False,False,False,False,False
West Virginia,424,489.0,,659.3,340.0,,616.9,338.0,534.0,423.8,619.4,309.3,,336.3,495.5,770.0,319.7,437.1,65.0,,235.3,-84.0,,192.9,-86.0,110.0,-0.2,195.4,-114.7,,-87.7,71.5,346.0,-104.3,13.1,,False,False,,False,False,False,True,False,False,,False,False,False,False,True
Wisconsin,1770,1483.4,1787.0,1570.5,1554.0,,1640.3,1417.0,1425.3,1381.5,1474.0,1284.0,,1478.7,1981.6,1481.0,1319.2,1484.9,-286.6,17.0,-199.5,-216.0,,-129.7,-353.0,-344.7,-388.5,-296.0,-486.0,,-291.3,211.6,-289.0,-450.8,-285.1,True,True,True,,True,False,False,False,False,False,,False,True,False,False,True
Wyoming,68,76.3,67.0,55.7,57.0,,50.8,62.0,57.5,50.3,183.7,46.1,,58.2,60.3,51.0,115.0,65.3,8.3,-1.0,-12.3,-11.0,,-17.2,-6.0,-10.5,-17.7,115.7,-21.9,,-9.8,-7.7,-17.0,47.0,-2.7,True,False,False,,False,True,False,False,False,False,,False,True,False,False,True
US,224893,229514.7,229745.0,218210.7,218681.0,236652.6,241302.1,221908.0,219850.8,206146.8,,204503.6,200770.0,218699.4,234881.8,221496.0,211593.6,216709.9,4635.7,4866.0,-6668.3,-6198.0,11773.6,16423.1,-2971.0,-5028.2,-18732.2,,-20375.4,-24109.0,-6179.6,10002.8,-3383.0,-13285.4,-8169.1,False,False,False,False,False,True,False,False,,False,False,False,False,True,False,False
