,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MIT_CritData-GBCF,MOBS-GLEAM_COVID,MSRA-DeepST,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-MSRA-DeepST,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-MSRA-DeepST,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Georgia,7808,7828.3,7843.5,7822.1,7813.0,7821.0,7820.0,7787.0,7814.4,7626.5,7792.0,7880.4,7820.3,7796.7,7813.0,,7728.5,7801.0,7799.5,7773.8,7643.9,7740.4,7789.9,7827.7,7831.1,7820.7,7786.0,7834.3,7805.3,,7785.9,7840.2,7615.0,,7836.5,7822.5,,7825.0,7776.7,7857.0,7819.4,,7834.1,7822.0,7822.0,7837.0,7816.0,7640.2,7854.0,20.3,35.5,14.1,5.0,13.0,12.0,-21.0,6.4,-181.5,-16.0,72.4,12.3,-11.3,5.0,,-79.5,-7.0,-8.5,-34.2,-164.1,-67.6,-18.1,19.7,23.1,12.7,-22.0,26.3,-2.7,,-22.1,32.2,-193.0,,28.5,14.5,,17.0,-31.3,49.0,11.4,,26.1,14.0,14.0,29.0,8.0,-167.8,46.0,False,True,True,True,True,False,True,False,True,False,True,True,True,,False,True,True,False,False,False,True,True,False,True,False,False,True,,False,False,False,,False,True,,True,False,False,True,,False,True,True,False,True,False,False
Hawaii,212,202.4,204.6,204.2,204.0,204.0,201.0,194.0,,192.1,198.0,204.9,,198.3,193.2,,203.1,,200.8,209.9,197.9,208.8,200.8,200.9,195.5,206.6,206.0,198.3,204.2,,202.2,200.9,198.0,,,196.2,,203.0,160.1,211.0,192.8,,197.5,198.0,203.8,203.0,206.0,196.4,204.0,-9.6,-7.4,-7.8,-8.0,-8.0,-11.0,-18.0,,-19.9,-14.0,-7.1,,-13.7,-18.8,,-8.9,,-11.2,-2.1,-14.1,-3.2,-11.2,-11.1,-16.5,-5.4,-6.0,-13.7,-7.8,,-9.8,-11.1,-14.0,,,-15.8,,-9.0,-51.9,-1.0,-19.2,,-14.5,-14.0,-8.2,-9.0,-6.0,-15.6,-8.0,True,True,True,True,False,False,,False,False,True,,False,False,,True,,False,True,False,True,False,False,False,True,True,False,True,,False,False,False,,,False,,True,False,True,False,,False,False,True,True,True,False,True
Idaho,572,546.0,550.0,552.1,552.0,551.0,552.0,576.0,553.3,531.9,544.0,553.6,564.8,542.4,552.0,,575.6,553.0,555.2,572.1,565.6,561.5,563.9,548.5,554.1,543.9,579.0,561.2,561.3,,562.1,554.0,541.0,,,545.7,,556.0,470.0,555.0,551.2,,564.4,551.0,550.5,551.0,546.0,544.5,551.0,-26.0,-22.0,-19.9,-20.0,-21.0,-20.0,4.0,-18.7,-40.1,-28.0,-18.4,-7.2,-29.6,-20.0,,3.6,-19.0,-16.8,0.1,-6.4,-10.5,-8.1,-23.5,-17.9,-28.1,7.0,-10.8,-10.7,,-9.9,-18.0,-31.0,,,-26.3,,-16.0,-102.0,-17.0,-20.8,,-7.6,-21.0,-21.5,-21.0,-26.0,-27.5,-21.0,True,True,True,True,True,True,True,False,False,True,True,False,True,,True,True,True,True,True,True,True,True,True,False,True,True,True,,True,True,False,,,False,,True,False,True,True,,True,True,True,True,False,False,True
Illinois,9751,9683.1,9762.3,9682.3,9659.0,9683.0,9682.0,9725.0,9759.4,9475.0,9590.0,9722.1,9681.0,9675.0,9627.8,,9421.5,9644.0,9677.6,9744.7,9421.0,9648.7,9709.3,9714.3,9725.0,9682.2,9658.0,9611.9,9674.6,9574.5,9597.1,9727.0,9594.0,,9627.6,9683.6,,9682.0,9617.7,9738.0,9665.2,,9618.5,9693.0,9689.3,9695.0,9707.0,9334.7,9486.0,-67.9,11.3,-68.7,-92.0,-68.0,-69.0,-26.0,8.4,-276.0,-161.0,-28.9,-70.0,-76.0,-123.2,,-329.5,-107.0,-73.4,-6.3,-330.0,-102.3,-41.7,-36.7,-26.0,-68.8,-93.0,-139.1,-76.4,-176.5,-153.9,-24.0,-157.0,,-123.4,-67.4,,-69.0,-133.3,-13.0,-85.8,,-132.5,-58.0,-61.7,-56.0,-44.0,-416.3,-265.0,True,False,False,False,False,True,True,False,False,True,False,False,False,,False,False,False,True,False,False,True,True,True,False,False,False,False,False,False,True,False,,False,True,,False,False,True,False,,False,True,True,True,True,False,False
Indiana,4118,4063.9,4102.7,4054.0,4051.0,4054.0,4058.0,4081.0,4122.7,3921.6,4006.0,4077.1,4058.9,4080.5,4044.4,,4043.9,3970.0,4042.2,4108.6,3821.0,4007.0,4065.6,4044.5,4082.3,4053.2,4042.0,4054.0,4046.0,4106.0,4065.2,4100.2,4008.0,,4006.6,4059.2,,4058.0,4731.0,4079.0,4041.7,,4058.4,4063.0,4028.2,4083.0,4091.0,3763.0,4099.0,-54.1,-15.3,-64.0,-67.0,-64.0,-60.0,-37.0,4.7,-196.4,-112.0,-40.9,-59.1,-37.5,-73.6,,-74.1,-148.0,-75.8,-9.4,-297.0,-111.0,-52.4,-73.5,-35.7,-64.8,-76.0,-64.0,-72.0,-12.0,-52.8,-17.8,-110.0,,-111.4,-58.8,,-60.0,613.0,-39.0,-76.3,,-59.6,-55.0,-89.8,-35.0,-27.0,-355.0,-19.0,True,False,False,False,False,True,True,False,False,True,False,True,False,,False,False,False,True,False,False,True,False,True,False,False,False,False,True,True,True,False,,False,False,,False,False,True,False,,False,False,False,True,True,False,True
Iowa,1634,1592.0,1601.7,1598.6,1603.0,1597.0,1599.0,1577.0,1632.9,1552.6,1576.0,1606.2,1597.7,1584.1,1602.6,,1610.2,1588.0,1599.5,1637.3,1617.3,1587.8,1611.1,1580.3,1604.3,1594.9,1628.0,1603.9,1607.6,,1610.1,1610.9,1618.0,,1599.3,1584.5,,1603.0,1880.6,1596.0,1594.6,,1606.0,1593.0,1597.6,1602.0,1605.0,1570.6,1609.0,-42.0,-32.3,-35.4,-31.0,-37.0,-35.0,-57.0,-1.1,-81.4,-58.0,-27.8,-36.3,-49.9,-31.4,,-23.8,-46.0,-34.5,3.3,-16.7,-46.2,-22.9,-53.7,-29.7,-39.1,-6.0,-30.1,-26.4,,-23.9,-23.1,-16.0,,-34.7,-49.5,,-31.0,246.6,-38.0,-39.4,,-28.0,-41.0,-36.4,-32.0,-29.0,-63.4,-25.0,True,True,True,True,True,False,True,False,False,True,True,False,True,,True,False,True,True,True,False,True,False,True,True,True,True,True,,True,True,True,,True,False,,True,False,True,True,,True,True,True,True,True,False,True
Kansas,975,931.9,969.4,944.4,955.0,945.0,938.0,910.0,954.5,833.7,866.0,948.7,951.9,961.7,926.3,,949.3,912.0,941.4,917.2,952.3,918.2,937.9,912.7,925.8,922.3,966.0,946.6,942.4,,897.0,952.1,939.0,,,936.0,,943.0,826.2,930.0,937.6,,948.8,955.0,945.1,948.0,927.0,893.0,937.0,-43.1,-5.6,-30.6,-20.0,-30.0,-37.0,-65.0,-20.5,-141.3,-109.0,-26.3,-23.1,-13.3,-48.7,,-25.7,-63.0,-33.6,-57.8,-22.7,-56.8,-37.1,-62.3,-49.2,-52.7,-9.0,-28.4,-32.6,,-78.0,-22.9,-36.0,,,-39.0,,-32.0,-148.8,-45.0,-37.4,,-26.2,-20.0,-29.9,-27.0,-48.0,-82.0,-38.0,True,True,True,True,True,False,True,False,False,True,True,True,False,,True,False,True,False,True,False,True,False,False,False,True,True,True,,False,True,True,,,True,,True,False,False,True,,True,True,True,True,False,False,True
Kentucky,1404,1374.6,1393.6,1375.0,1377.0,1375.0,1375.0,1384.0,1368.2,1304.8,1364.0,1389.4,,1377.6,1370.9,,1387.7,1367.0,1369.7,1364.8,1383.6,1379.8,1379.4,1360.4,1373.4,1384.6,1409.0,1383.2,1374.5,1386.0,1350.9,1379.2,1344.0,,1351.8,1382.4,,1379.0,1465.6,1367.0,1375.7,,1387.0,1377.0,1358.0,1382.0,1371.0,1353.0,1386.0,-29.4,-10.4,-29.0,-27.0,-29.0,-29.0,-20.0,-35.8,-99.2,-40.0,-14.6,,-26.4,-33.1,,-16.3,-37.0,-34.3,-39.2,-20.4,-24.2,-24.6,-43.6,-30.6,-19.4,5.0,-20.8,-29.5,-18.0,-53.1,-24.8,-60.0,,-52.2,-21.6,,-25.0,61.6,-37.0,-28.3,,-17.0,-27.0,-46.0,-22.0,-33.0,-51.0,-18.0,True,True,True,True,True,True,False,False,False,True,,True,False,,True,False,False,False,True,True,True,False,False,True,True,True,False,True,False,True,False,,False,True,,True,False,False,True,,True,True,False,True,False,False,True
Louisiana,5820,5831.4,5809.1,5819.9,5811.0,5819.0,5818.0,5793.0,5811.2,5737.2,5809.0,5834.3,5835.8,5843.0,5809.6,,5820.7,5781.0,5808.9,5808.8,5623.5,5780.6,5807.7,5835.9,5806.9,5838.4,5805.0,5824.3,5811.0,,5820.1,5817.7,5771.0,,5810.3,5802.0,,5824.0,5650.6,5844.0,5826.4,,5824.0,5792.0,5847.1,5815.0,5814.0,5627.5,5835.0,11.4,-10.9,-0.1,-9.0,-1.0,-2.0,-27.0,-8.8,-82.8,-11.0,14.3,15.8,23.0,-10.4,,0.7,-39.0,-11.1,-11.2,-196.5,-39.4,-12.3,15.9,-13.1,18.4,-15.0,4.3,-9.0,,0.1,-2.3,-49.0,,-9.7,-18.0,,4.0,-169.4,24.0,6.4,,4.0,-28.0,27.1,-5.0,-6.0,-192.5,15.0,True,True,True,True,True,False,True,False,True,False,False,False,True,,True,False,True,True,False,False,False,False,False,False,False,True,True,,True,True,False,,True,False,,True,False,False,True,,True,False,False,True,True,False,False
Maine,146,148.6,150.7,148.3,149.0,149.0,148.0,147.0,146.8,144.4,147.0,149.2,148.0,148.8,148.2,,144.5,143.0,147.1,144.7,150.1,151.5,148.3,147.2,146.2,149.7,155.0,148.3,149.9,,146.8,148.5,146.0,,,146.1,,148.0,164.5,153.0,146.8,,152.1,148.0,149.3,149.0,148.0,147.6,,2.6,4.7,2.3,3.0,3.0,2.0,1.0,0.8,-1.6,1.0,3.2,2.0,2.8,2.2,,-1.5,-3.0,1.1,-1.3,4.1,5.5,2.3,1.2,0.2,3.7,9.0,2.3,3.9,,0.8,2.5,0.0,,,0.1,,2.0,18.5,7.0,0.8,,6.1,2.0,3.3,3.0,2.0,1.6,,False,True,False,False,True,True,True,True,True,False,True,False,True,,True,False,True,True,False,False,True,True,True,False,False,True,False,,True,True,True,,,True,,True,False,False,True,,False,True,False,False,True,True,
Maryland,4091,4069.6,4087.4,4075.3,4083.0,4077.0,4075.0,4140.0,4076.6,4033.3,4064.0,4079.0,4072.8,4081.6,4083.2,,4053.6,4075.0,4076.3,4080.8,4074.4,4084.2,4072.8,4069.2,4073.5,4079.9,4078.0,4087.2,4078.3,,4074.2,4076.1,4074.0,,4066.4,4089.9,4094.0,4079.0,4463.4,4075.0,4073.7,,4090.7,4071.0,4076.3,4081.0,4124.0,4053.5,4137.0,-21.4,-3.6,-15.7,-8.0,-14.0,-16.0,49.0,-14.4,-57.7,-27.0,-12.0,-18.2,-9.4,-7.8,,-37.4,-16.0,-14.7,-10.2,-16.6,-6.8,-18.2,-21.8,-17.5,-11.1,-13.0,-3.8,-12.7,,-16.8,-14.9,-17.0,,-24.6,-1.1,3.0,-12.0,372.4,-16.0,-17.3,,-0.3,-20.0,-14.7,-10.0,33.0,-37.5,46.0,True,True,True,True,True,False,True,False,False,True,True,True,True,,False,True,True,True,True,True,True,False,True,True,True,True,True,,True,True,True,,False,True,True,True,False,True,True,,True,True,True,True,False,False,False
Massachusetts,9839,9851.0,9874.8,9858.5,9850.0,9859.0,9840.0,9897.0,9820.9,9736.1,9815.0,9858.3,9810.2,9900.4,9814.7,,9830.4,9804.0,9838.5,9855.6,9837.7,9824.4,9868.4,9826.2,9847.4,9857.9,9827.0,9821.4,9821.5,,9825.4,9864.7,9752.0,,9801.6,9851.3,,9854.0,10186.4,9856.0,9843.1,,9826.5,9845.0,9839.2,9879.0,9887.0,9766.5,9759.0,12.0,35.8,19.5,11.0,20.0,1.0,58.0,-18.1,-102.9,-24.0,19.3,-28.8,61.4,-24.3,,-8.6,-35.0,-0.5,16.6,-1.3,-14.6,29.4,-12.8,8.4,18.9,-12.0,-17.6,-17.5,,-13.6,25.7,-87.0,,-37.4,12.3,,15.0,347.4,17.0,4.1,,-12.5,6.0,0.2,40.0,48.0,-72.5,-80.0,False,False,True,False,True,False,False,False,False,False,False,False,False,,True,False,True,False,True,False,False,False,True,False,False,False,False,,False,False,False,,False,False,,False,False,False,True,,False,True,True,False,False,False,False
Michigan,7522,7443.7,7511.4,7460.8,7456.0,7461.0,7449.0,7508.0,7472.9,7329.1,7381.0,7456.5,7482.8,7495.7,7362.4,,7406.0,7388.0,7444.2,7479.5,7375.7,7454.2,7472.3,7400.2,7456.6,7453.9,7456.0,7466.8,7439.6,7444.0,7379.8,7480.0,7470.0,,7327.0,7455.7,,7449.0,7849.9,7401.0,7447.7,,7469.4,7466.0,7437.6,7469.0,7431.0,7280.8,7418.0,-78.3,-10.6,-61.2,-66.0,-61.0,-73.0,-14.0,-49.1,-192.9,-141.0,-65.5,-39.2,-26.3,-159.6,,-116.0,-134.0,-77.8,-42.5,-146.3,-67.8,-49.7,-121.8,-65.4,-68.1,-66.0,-55.2,-82.4,-78.0,-142.2,-42.0,-52.0,,-195.0,-66.3,,-73.0,327.9,-121.0,-74.3,,-52.6,-56.0,-84.4,-53.0,-91.0,-241.2,-104.0,True,True,True,True,True,True,True,False,False,True,True,True,False,,False,False,True,True,False,True,True,False,True,True,True,True,False,True,False,True,True,,False,True,,True,False,False,True,,True,True,False,True,False,False,False
Minnesota,2381,2366.7,2386.9,2357.9,2299.0,2356.0,2355.0,2361.0,2364.1,2272.0,2357.0,2355.1,2349.6,2356.3,2346.9,,2335.3,2340.0,2344.4,2365.4,2325.8,2336.8,2359.8,2362.6,2377.3,2349.3,2370.0,2336.8,2360.8,2384.5,2348.1,2377.9,2334.0,,2329.7,2345.7,,2327.0,2591.7,2348.0,2353.1,,2340.2,2371.0,2345.8,2359.0,2408.0,2270.8,2393.0,-14.3,5.9,-23.1,-82.0,-25.0,-26.0,-20.0,-16.9,-109.0,-24.0,-25.9,-31.4,-24.7,-34.1,,-45.7,-41.0,-36.6,-15.6,-55.2,-44.2,-21.2,-18.4,-3.7,-31.7,-11.0,-44.2,-20.2,3.5,-32.9,-3.1,-47.0,,-51.3,-35.3,,-54.0,210.7,-33.0,-27.9,,-40.8,-10.0,-35.2,-22.0,27.0,-110.2,12.0,True,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,,False,False,,False,False,False,False,,False,True,False,False,False,False,True
Mississippi,3255,3231.0,3262.1,3246.2,3247.0,3246.0,3246.0,3253.0,3282.1,3192.4,3231.0,3240.9,3245.1,3252.8,3256.3,,3219.0,3245.0,3265.6,3295.3,3250.3,3213.4,3278.4,3230.9,3237.7,3246.2,3255.0,3216.6,3252.3,,3237.9,3255.0,3215.0,,3250.9,3248.8,,3261.0,2995.4,3230.0,3247.0,,3219.7,3261.0,3263.9,3255.0,3217.0,3242.9,3236.0,-24.0,7.1,-8.8,-8.0,-9.0,-9.0,-2.0,27.1,-62.6,-24.0,-14.1,-9.9,-2.2,1.3,,-36.0,-10.0,10.6,40.3,-4.7,-41.6,23.4,-24.1,-17.3,-8.8,0.0,-38.4,-2.7,,-17.1,0.0,-40.0,,-4.1,-6.2,,6.0,-259.6,-25.0,-8.0,,-35.3,6.0,8.9,0.0,-38.0,-12.1,-19.0,True,True,True,True,True,True,False,False,False,True,True,True,True,,False,True,True,False,True,False,True,False,True,True,True,False,True,,True,True,False,,True,True,,True,False,False,True,,False,True,True,True,False,True,True
Missouri,2808,2736.0,2788.1,2722.0,2757.0,2738.0,2776.0,2876.0,2831.9,2641.6,2673.0,2785.1,2739.2,2989.6,2615.1,,2583.9,2865.0,2750.4,2697.7,2564.1,2694.3,2784.3,2761.6,2751.2,2803.5,2770.0,2790.0,2772.9,,2730.5,2797.0,2793.0,,2599.6,2775.9,,2792.0,2729.7,2764.0,2646.8,,2805.5,2694.0,2708.0,2769.0,2881.0,2505.1,2913.0,-72.0,-19.9,-86.0,-51.0,-70.0,-32.0,68.0,23.9,-166.4,-135.0,-22.9,-68.8,181.6,-192.9,,-224.1,57.0,-57.6,-110.3,-243.9,-113.7,-23.7,-46.4,-56.8,-4.5,-38.0,-18.0,-35.1,,-77.5,-11.0,-15.0,,-208.4,-32.1,,-16.0,-78.3,-44.0,-161.2,,-2.5,-114.0,-100.0,-39.0,73.0,-302.9,105.0,True,False,True,True,True,True,True,False,False,True,True,False,False,,False,True,True,False,False,False,True,True,True,True,True,True,True,,False,True,True,,False,True,,True,False,True,False,,True,False,False,True,False,False,False
Montana,294,267.6,283.5,267.8,272.0,269.0,268.0,264.0,276.5,228.9,263.0,266.7,269.3,274.2,273.8,,250.0,266.0,270.8,288.0,283.1,257.4,279.5,263.2,268.0,259.9,300.0,277.2,278.7,,264.6,277.3,262.0,,,265.8,,282.0,345.6,267.0,267.2,,280.3,278.0,260.5,278.0,264.0,253.5,271.0,-26.4,-10.5,-26.2,-22.0,-25.0,-26.0,-30.0,-17.5,-65.1,-31.0,-27.3,-24.7,-19.8,-20.2,,-44.0,-28.0,-23.2,-6.0,-10.9,-36.6,-14.5,-30.8,-26.0,-34.1,6.0,-16.8,-15.3,,-29.4,-16.7,-32.0,,,-28.2,,-12.0,51.6,-27.0,-26.8,,-13.7,-16.0,-33.5,-16.0,-30.0,-40.5,-23.0,True,True,True,True,True,False,True,False,False,False,True,True,True,,False,False,True,True,True,False,True,False,True,False,True,True,True,,False,True,False,,,False,,True,False,False,False,,True,True,False,True,False,False,True
Nebraska,595,572.9,585.1,572.9,577.0,575.0,576.0,616.0,580.9,551.6,562.0,587.1,582.3,583.6,583.4,,593.5,565.0,569.3,599.6,601.6,576.2,582.5,572.5,575.1,570.1,642.0,577.6,582.5,,570.4,582.8,573.0,,,576.2,,579.0,581.4,576.0,556.5,,581.0,576.0,566.5,577.0,587.0,560.8,591.0,-22.1,-9.9,-22.1,-18.0,-20.0,-19.0,21.0,-14.1,-43.4,-33.0,-7.9,-12.7,-11.4,-11.6,,-1.5,-30.0,-25.7,4.6,6.6,-18.8,-12.5,-22.5,-19.9,-24.9,47.0,-17.4,-12.5,,-24.6,-12.2,-22.0,,,-18.8,,-16.0,-13.6,-19.0,-38.5,,-14.0,-19.0,-28.5,-18.0,-8.0,-34.2,-4.0,True,True,True,True,True,True,True,False,False,True,True,True,True,,True,False,False,True,True,True,True,False,True,False,False,True,True,,False,True,True,,,True,,True,True,True,False,,True,True,False,True,True,False,True
Nevada,1743,1752.0,1767.9,1754.2,1755.0,1755.0,1758.0,1775.0,1758.2,1701.3,1743.0,1754.1,1745.1,1790.6,1748.4,,1732.3,1759.0,1747.4,1772.1,1757.3,1741.9,1762.4,1753.0,1753.2,1754.9,1752.0,1768.6,1760.2,,1772.7,1763.6,1743.0,,1750.7,1750.7,,1761.0,1893.8,1755.0,1759.2,,1770.5,1757.0,1750.0,1760.0,1751.0,1751.2,1769.0,9.0,24.9,11.2,12.0,12.0,15.0,32.0,15.2,-41.7,0.0,11.1,2.1,47.6,5.4,,-10.7,16.0,4.4,29.1,14.3,-1.1,19.4,10.0,10.2,11.9,9.0,25.6,17.2,,29.7,20.6,0.0,,7.7,7.7,,18.0,150.8,12.0,16.2,,27.5,14.0,7.0,17.0,8.0,8.2,26.0,False,False,False,False,False,False,False,False,True,False,True,False,True,,False,False,True,False,False,True,False,False,False,False,False,False,False,,False,False,True,,True,True,,False,False,False,False,,False,False,True,False,True,True,False
New Hampshire,473,474.6,480.1,476.0,477.0,477.0,477.0,472.0,484.8,463.6,478.0,478.4,478.2,480.7,474.4,,466.1,468.0,471.6,486.8,475.8,473.2,479.5,470.8,471.9,474.5,477.0,469.6,478.2,,472.2,476.9,472.0,,,484.2,,480.0,471.6,481.0,471.2,,473.6,476.0,478.7,482.0,480.0,468.6,475.0,1.6,7.1,3.0,4.0,4.0,4.0,-1.0,11.8,-9.4,5.0,5.4,5.2,7.7,1.4,,-6.9,-5.0,-1.4,13.8,2.8,0.2,6.5,-2.2,-1.1,1.5,4.0,-3.4,5.2,,-0.8,3.9,-1.0,,,11.2,,7.0,-1.4,8.0,-1.8,,0.6,3.0,5.7,9.0,7.0,-4.4,2.0,False,False,False,False,False,True,False,False,False,False,False,False,True,,False,False,True,False,False,True,False,False,True,True,False,False,False,,True,False,True,,,False,,False,True,False,False,,True,False,False,False,False,False,False
New Jersey,16281,16242.7,16241.9,16236.9,16238.0,16237.0,16250.0,16472.0,16237.8,16241.0,16271.0,16259.1,16242.3,16232.2,16266.8,,16188.6,16251.0,16245.9,16287.0,16243.3,16253.2,16250.5,16248.3,16251.5,16350.1,16258.0,16237.7,16249.4,,16257.4,16245.7,16212.0,,16224.0,16242.7,,16251.0,18235.3,16251.0,16235.1,,16240.8,16250.0,16398.7,16243.0,16437.0,16223.4,16453.0,-38.3,-39.1,-44.1,-43.0,-44.0,-31.0,191.0,-43.2,-40.0,-10.0,-21.9,-38.7,-48.8,-14.2,,-92.4,-30.0,-35.1,6.0,-37.7,-27.8,-30.5,-32.7,-29.5,69.1,-23.0,-43.3,-31.6,,-23.6,-35.3,-69.0,,-57.0,-38.3,,-30.0,1954.3,-30.0,-45.9,,-40.2,-31.0,117.7,-38.0,156.0,-57.6,172.0,False,False,False,False,True,False,False,False,True,True,False,False,True,,False,True,True,True,True,True,True,True,True,False,True,False,True,,True,True,False,,False,False,,True,False,True,False,,False,True,False,True,False,False,False
New Mexico,965,953.7,955.2,951.6,951.0,951.0,955.0,979.0,967.8,935.4,945.0,957.6,,952.9,959.8,,938.7,949.0,958.3,995.2,957.3,954.3,966.8,963.2,956.4,965.3,960.0,950.5,957.9,,958.3,959.7,940.0,,,946.2,,966.0,1087.1,963.0,949.4,,954.1,963.0,953.7,964.0,953.0,949.5,957.0,-11.3,-9.8,-13.4,-14.0,-14.0,-10.0,14.0,2.8,-29.6,-20.0,-7.4,,-12.1,-5.2,,-26.3,-16.0,-6.7,30.2,-7.7,-10.7,1.8,-1.8,-8.6,0.3,-5.0,-14.5,-7.1,,-6.7,-5.3,-25.0,,,-18.8,,1.0,122.1,-2.0,-15.6,,-10.9,-2.0,-11.3,-1.0,-12.0,-15.5,-8.0,True,False,False,False,True,False,True,False,False,True,,False,True,,False,False,True,False,True,True,True,True,True,True,True,False,True,,True,True,False,,,False,,True,False,True,False,,True,True,False,True,False,False,True
New York,33634,33411.0,33401.7,33405.0,33428.0,33401.0,33424.0,33490.0,33459.2,33424.2,33445.0,33428.3,33407.5,33473.1,33409.0,,33410.6,33420.0,33437.4,33482.8,33400.7,33456.6,33454.8,33401.0,33430.4,33686.2,33476.0,33396.5,33423.3,,33428.4,33415.2,33347.0,,33421.4,33436.6,,33425.0,33690.5,33414.0,33397.8,,33397.2,33437.0,33460.7,33451.0,33468.5,33267.3,33337.0,-21.0,-30.3,-27.0,-4.0,-31.0,-8.0,58.0,27.2,-7.8,13.0,-3.7,-24.5,41.1,-23.0,,-21.4,-12.0,5.4,50.8,-31.3,24.6,22.8,-31.0,-1.6,254.2,44.0,-35.5,-8.7,,-3.6,-16.8,-85.0,,-10.6,4.6,,-7.0,258.5,-18.0,-34.2,,-34.8,5.0,28.7,19.0,36.5,-164.7,-95.0,False,False,True,False,True,False,False,True,True,True,False,False,False,,False,True,True,False,False,False,False,False,True,False,False,False,True,,True,True,False,,True,True,,True,False,True,False,,False,True,False,True,False,False,False
