,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Georgia,7808,7779.1,7597.3,7762.4,7723.0,7790.7,7724.0,7656.0,7680.0,7730.6,7819.0,7805.4,7702.6,7747.0,7781.0,7681.3,7707.6,7743.4,7665.6,7738.7,7709.8,7720.7,7713.0,7687.4,,7823.7,7705.2,7602.0,,8005.8,7718.1,,7805.0,7575.6,7841.0,7792.3,,7653.7,7763.0,7838.1,7646.0,7678.0,7559.4,7759.5,7510.0,-28.9,-210.7,-45.6,-85.0,-17.3,-84.0,-152.0,-128.0,-77.4,11.0,-2.6,-105.4,-61.0,-27.0,-126.7,-100.4,-64.6,-142.4,-69.3,-98.2,-87.3,-95.0,-120.6,,15.7,-102.8,-206.0,,197.8,-89.9,,-3.0,-232.4,33.0,-15.7,,-154.3,-45.0,30.1,-162.0,-130.0,-248.6,-48.5,-298.0,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,,True,False,False,,False,False,,True,False,False,True,,False,False,False,False,False,False,False,False
Hawaii,212,224.6,275.5,222.3,199.0,219.0,189.0,175.0,183.0,165.1,174.0,205.9,,195.0,,182.1,168.7,324.1,225.0,195.4,192.9,188.1,187.0,172.9,,183.1,204.5,186.0,,,174.4,,185.0,190.7,220.0,175.1,,168.6,204.0,209.7,213.0,212.0,184.8,202.6,178.0,12.6,63.5,10.3,-13.0,7.0,-23.0,-37.0,-29.0,-46.9,-38.0,-6.1,,-17.0,,-29.9,-43.3,112.1,13.0,-16.6,-19.1,-23.9,-25.0,-39.1,,-28.9,-7.5,-26.0,,,-37.6,,-27.0,-21.3,8.0,-36.9,,-43.4,-8.0,-2.3,1.0,0.0,-27.2,-9.4,-34.0,False,True,False,True,False,False,False,False,False,True,,False,,False,False,False,False,False,False,False,False,False,,False,True,False,,,False,,False,False,True,False,,False,True,True,True,True,False,True,False
Idaho,572,544.9,570.8,541.4,553.0,540.0,549.0,591.0,627.0,546.1,555.0,530.6,551.0,557.3,554.0,564.2,597.3,598.7,590.1,559.5,529.4,561.0,596.0,524.6,,577.0,562.4,526.0,,,490.0,,550.0,461.1,603.0,541.9,,526.7,558.0,536.4,561.0,526.0,529.7,550.4,502.0,-27.1,-1.2,-30.6,-19.0,-32.0,-23.0,19.0,55.0,-25.9,-17.0,-41.4,-21.0,-14.7,-18.0,-7.8,25.3,26.7,18.1,-12.5,-42.6,-11.0,24.0,-47.4,,5.0,-9.6,-46.0,,,-82.0,,-22.0,-110.9,31.0,-30.1,,-45.3,-14.0,-35.6,-11.0,-46.0,-42.3,-21.6,-70.0,True,False,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,,True,True,False,,,False,,True,False,False,False,,False,True,False,True,False,False,True,False
Illinois,9751,9597.1,9709.4,9565.5,9563.0,9596.1,9499.0,9610.0,9505.0,9396.3,9478.0,9452.9,9522.2,9345.4,9469.0,9563.0,9601.2,9862.8,9554.3,9540.3,9386.7,9617.4,9474.0,9461.9,9347.0,9395.1,9712.4,9472.0,,9408.8,9594.7,,9545.0,9737.9,9660.0,9498.9,,9467.4,9520.0,9636.5,9659.0,9796.0,9012.2,9534.7,9118.0,-153.9,-41.6,-185.5,-188.0,-154.9,-252.0,-141.0,-246.0,-354.7,-273.0,-298.1,-228.8,-405.6,-282.0,-188.0,-149.8,111.8,-196.7,-210.7,-364.3,-133.6,-277.0,-289.1,-404.0,-355.9,-38.6,-279.0,,-342.2,-156.3,,-206.0,-13.1,-91.0,-252.1,,-283.6,-231.0,-114.5,-92.0,45.0,-738.8,-216.3,-633.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,,False,False,,False,True,True,False,,False,False,True,True,True,False,False,False
Indiana,4118,3942.6,3923.8,3942.0,3935.0,3945.2,3934.0,3999.0,3929.0,3885.8,3923.0,3874.4,3839.6,3870.7,3945.0,3917.5,3976.1,4018.2,3940.4,3918.2,3895.4,3971.4,3934.0,3989.4,3704.0,3886.9,4034.5,3895.0,,3850.5,3810.0,,3922.0,4731.0,4019.0,3894.0,,3995.8,3964.0,3951.4,3936.0,3981.0,3595.2,3988.8,3824.0,-175.4,-194.2,-176.0,-183.0,-172.8,-184.0,-119.0,-189.0,-232.2,-195.0,-243.6,-278.4,-247.3,-173.0,-200.5,-141.9,-99.8,-177.6,-199.8,-222.6,-146.6,-184.0,-128.6,-414.0,-231.1,-83.5,-223.0,,-267.5,-308.0,,-196.0,613.0,-99.0,-224.0,,-122.2,-154.0,-166.6,-182.0,-137.0,-522.8,-129.2,-294.0,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,True,False,False,False,True,False,True,False,False,True,False,,False,False,,False,False,True,False,,True,True,True,False,True,False,True,False
Iowa,1634,1589.9,1626.4,1579.9,1567.0,1581.9,1560.0,1479.0,1539.0,1523.0,1578.0,1545.0,1565.7,1529.1,1545.0,1596.3,1588.3,1597.8,1571.9,1597.9,1482.8,1586.7,1620.0,1592.4,,1489.6,1590.5,1505.0,,1527.1,1486.4,,1560.0,1702.1,1587.0,1567.1,,1595.9,1538.0,1547.5,1611.0,1586.5,1480.7,1568.3,1526.0,-44.1,-7.6,-54.1,-67.0,-52.1,-74.0,-155.0,-95.0,-111.0,-56.0,-89.0,-68.3,-104.9,-89.0,-37.7,-45.7,-36.2,-62.1,-36.1,-151.2,-47.3,-14.0,-41.6,,-144.4,-43.5,-129.0,,-106.9,-147.6,,-74.0,68.1,-47.0,-66.9,,-38.1,-96.0,-86.5,-23.0,-47.5,-153.3,-65.7,-108.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,True,,False,True,False,,False,False,,False,False,False,False,,True,False,False,True,False,False,False,False
Kansas,975,847.1,848.0,847.1,832.0,855.0,838.0,791.0,901.0,813.0,800.0,807.0,902.6,858.2,795.0,850.9,852.4,912.1,840.4,875.5,773.7,807.4,939.0,888.7,,804.5,860.6,865.0,,,725.4,,867.0,853.9,854.0,828.3,,895.8,860.0,820.3,840.0,826.0,755.8,821.5,815.0,-119.9,-119.0,-119.9,-135.0,-112.0,-129.0,-176.0,-66.0,-154.0,-167.0,-160.0,-64.4,-108.8,-172.0,-116.1,-114.6,-54.9,-126.6,-91.5,-193.3,-159.6,-28.0,-78.3,,-162.5,-106.4,-102.0,,,-241.6,,-100.0,-113.1,-113.0,-138.7,,-71.2,-107.0,-146.7,-127.0,-141.0,-211.2,-145.5,-152.0,True,False,False,True,False,False,True,False,False,False,True,True,False,True,True,True,False,True,False,False,True,True,,False,True,True,,,False,,True,True,True,False,,True,True,False,False,False,False,False,False
Kentucky,1404,1357.6,1379.6,1356.6,1365.0,1358.0,1370.0,1407.0,1365.0,1325.0,1389.0,1352.1,1372.9,1380.3,1387.0,1390.3,1383.2,1433.0,1440.3,1366.9,1336.9,1380.1,1468.0,1401.0,1437.0,1274.6,1406.0,1411.0,,1326.8,1329.3,,1367.0,1471.8,1422.0,1375.3,,1404.1,1389.0,1336.5,1395.0,1331.0,1299.2,1384.8,1289.0,-46.4,-24.4,-47.4,-39.0,-46.0,-34.0,3.0,-39.0,-79.0,-15.0,-51.9,-31.1,-23.7,-17.0,-13.7,-20.8,29.0,36.3,-37.1,-67.1,-23.9,64.0,-3.0,33.0,-129.4,2.0,7.0,,-77.2,-74.7,,-37.0,67.8,18.0,-28.7,,0.1,-15.0,-67.5,-9.0,-73.0,-104.8,-19.2,-115.0,True,False,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,False,True,False,True,True,False,True,True,,False,False,,True,False,True,True,,True,True,False,True,False,False,True,False
Louisiana,5820,5897.0,5895.7,5822.8,5797.0,5848.1,5796.0,5757.0,5734.0,5769.4,5774.0,5788.0,5898.1,5738.1,5782.0,5801.1,5789.2,5791.8,5752.1,5794.0,5808.9,5779.9,5789.0,5879.0,,5811.0,5791.5,5747.0,,5727.8,5795.9,,5830.0,5473.4,6006.0,5916.3,,5860.6,5789.0,5959.9,5777.0,5793.0,5652.0,5882.5,5655.0,77.0,75.7,2.8,-23.0,28.1,-24.0,-63.0,-86.0,-50.6,-46.0,-32.0,78.1,-81.9,-38.0,-18.9,-30.8,-28.2,-67.9,-26.0,-11.1,-40.1,-31.0,59.0,,-9.0,-28.5,-73.0,,-92.2,-24.1,,10.0,-346.6,186.0,96.3,,40.6,-31.0,139.9,-43.0,-27.0,-168.0,62.5,-165.0,True,True,True,True,True,True,False,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,,True,True,True,,False,True,,True,False,False,False,,True,True,False,True,True,False,True,False
Maine,146,147.7,145.7,148.0,148.0,148.0,148.0,143.0,147.0,147.7,150.0,151.1,148.8,152.0,146.0,149.4,148.5,156.6,162.3,149.7,147.4,142.0,170.0,147.0,,144.7,149.0,147.0,,,145.4,,148.0,158.0,158.0,144.7,,152.8,149.0,152.3,150.0,149.0,146.9,149.8,,1.7,-0.3,2.0,2.0,2.0,2.0,-3.0,1.0,1.7,4.0,5.1,2.8,6.0,0.0,3.4,2.5,10.6,16.3,3.7,1.4,-4.0,24.0,1.0,,-1.3,3.0,1.0,,,-0.6,,2.0,12.0,12.0,-1.3,,6.8,3.0,6.3,4.0,3.0,0.9,3.8,,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,,True,False,True,,,True,,False,False,False,True,,False,False,False,False,False,True,False,
Maryland,4091,4023.7,3984.9,4054.8,4060.0,4055.5,4069.0,4158.0,4069.0,4069.0,4015.0,4074.8,,4121.7,4060.0,4063.5,4117.1,4102.4,4107.6,4079.0,4033.4,4055.8,4081.0,4051.7,,4151.5,4062.1,4056.0,,4070.0,4015.8,,4071.0,4426.5,4076.0,4034.7,,4053.7,4067.0,4085.6,4061.0,4083.0,4023.3,4105.5,4079.0,-67.3,-106.1,-36.2,-31.0,-35.5,-22.0,67.0,-22.0,-22.0,-76.0,-16.2,,30.7,-31.0,-27.5,26.1,11.4,16.6,-12.0,-57.6,-35.2,-10.0,-39.3,,60.5,-28.9,-35.0,,-21.0,-75.2,,-20.0,335.5,-15.0,-56.3,,-37.3,-24.0,-5.4,-30.0,-8.0,-67.7,14.5,-12.0,False,True,True,True,True,True,True,True,False,True,,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,,True,False,,True,False,True,True,,True,True,True,True,True,False,True,True
