,actual_deaths,Baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MIT_CritData-GBCF,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Georgia,7808,8272.9,8131.6,7962.0,8173.3,7862.0,7609.0,7875.0,7540.2,7871.0,8150.9,7868.6,7752.2,,7756.5,7779.0,7772.6,7370.7,7717.8,7763.6,7499.0,7880.5,8086.9,7691.0,8158.8,,7892.5,8087.5,7550.0,,7877.2,7556.9,8106.0,7575.6,7820.0,8016.6,,8175.4,7802.0,8055.1,7757.4,8039.0,7290.0,7540.2,8068.0,7750.0,464.9,323.6,154.0,365.3,54.0,-199.0,67.0,-267.8,63.0,342.9,60.6,-55.8,,-51.5,-29.0,-35.4,-437.3,-90.2,-44.4,-309.0,72.5,278.9,-117.0,350.8,,84.5,279.5,-258.0,,69.2,-251.1,298.0,-232.4,12.0,208.6,,367.4,-6.0,247.1,-50.6,231.0,-518.0,-267.8,260.0,-58.0,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,,True,True,True,True,True,True,,True,True,True,True,True,False,True,True,True
Hawaii,212,178.3,185.7,172.0,175.0,180.0,192.0,162.0,154.8,157.0,230.4,,209.3,,155.1,,161.0,160.2,232.1,174.6,177.6,162.3,232.7,184.0,252.2,,242.6,168.4,180.0,,,149.6,180.0,190.7,200.0,168.5,,270.7,169.0,165.3,153.3,159.0,189.0,163.9,187.4,167.0,-33.7,-26.3,-40.0,-37.0,-32.0,-20.0,-50.0,-57.2,-55.0,18.4,,-2.7,,-56.9,,-51.0,-51.8,20.1,-37.4,-34.4,-49.7,20.7,-28.0,40.2,,30.6,-43.6,-32.0,,,-62.4,-32.0,-21.3,-12.0,-43.5,,58.7,-43.0,-46.7,-58.7,-53.0,-23.0,-48.1,-24.6,-45.0,True,False,False,True,True,False,False,False,True,,True,,False,,False,False,True,False,False,False,True,True,False,,True,False,True,,,False,True,True,True,False,,False,False,False,False,False,True,False,True,False
Idaho,572,525.6,541.9,537.0,536.0,557.0,705.0,783.0,544.3,541.0,578.9,552.1,553.9,,585.2,551.0,574.5,612.6,623.2,570.7,542.9,551.6,583.9,603.0,620.9,,562.3,557.4,534.0,,,468.9,577.0,461.1,622.0,539.3,,638.3,538.0,540.1,573.6,579.0,495.0,522.8,544.7,482.0,-46.4,-30.1,-35.0,-36.0,-15.0,133.0,211.0,-27.7,-31.0,6.9,-19.9,-18.1,,13.2,-21.0,2.5,40.6,51.2,-1.3,-29.1,-20.4,11.9,31.0,48.9,,-9.7,-14.6,-38.0,,,-103.1,5.0,-110.9,50.0,-32.7,,66.3,-34.0,-31.9,1.6,7.0,-77.0,-49.2,-27.3,-90.0,True,True,True,True,False,False,True,True,True,True,True,,True,True,True,True,False,True,True,True,True,True,False,,True,True,True,,,False,True,False,False,True,,False,True,True,True,True,False,False,True,False
Illinois,9751,9458.3,9472.8,9361.0,9474.4,9467.0,9855.0,9326.0,9316.7,9280.0,9365.8,9436.4,9590.0,,9277.4,9391.0,9479.1,9846.2,9539.1,9467.5,9247.5,9531.9,9560.1,9370.0,9553.4,11296.0,9396.5,9572.1,9214.5,,9323.4,9147.4,9476.0,9737.9,9604.0,9389.0,,9570.9,9462.0,9680.7,10727.9,9492.0,9165.5,8884.6,9426.9,9039.0,-292.7,-278.2,-390.0,-276.6,-284.0,104.0,-425.0,-434.3,-471.0,-385.2,-314.6,-161.0,,-473.6,-360.0,-271.9,95.2,-211.9,-283.5,-503.5,-219.1,-190.9,-381.0,-197.6,1545.0,-354.5,-178.9,-536.5,,-427.6,-603.6,-275.0,-13.1,-147.0,-362.0,,-180.1,-289.0,-70.3,976.9,-259.0,-585.5,-866.4,-324.1,-712.0,True,False,True,True,True,False,False,False,False,False,True,,False,False,True,True,True,True,False,True,True,False,True,False,False,True,False,,False,False,True,True,True,False,,True,True,True,False,True,False,False,False,False
Indiana,4118,3865.4,3878.5,3835.0,3874.5,3892.0,4054.0,3809.0,3791.6,3917.0,3850.2,3764.5,3993.6,,3985.9,3857.0,3863.3,3977.5,3984.3,3856.8,3800.9,3871.4,4091.6,3908.0,3918.0,4226.0,3827.8,3908.2,3879.0,,3801.2,3765.5,3878.0,4731.0,3919.0,3821.0,,3935.6,3892.0,3982.9,4491.9,3848.0,6192.0,3542.1,3909.2,3698.0,-252.6,-239.5,-283.0,-243.5,-226.0,-64.0,-309.0,-326.4,-201.0,-267.8,-353.5,-124.4,,-132.1,-261.0,-254.7,-140.5,-133.7,-261.2,-317.1,-246.6,-26.4,-210.0,-200.0,108.0,-290.2,-209.8,-239.0,,-316.8,-352.5,-240.0,613.0,-199.0,-297.0,,-182.4,-226.0,-135.1,373.9,-270.0,2074.0,-575.9,-208.8,-420.0,True,False,True,True,True,False,False,True,False,False,True,,True,False,False,True,True,False,False,True,True,True,True,True,False,True,True,,False,False,True,False,True,False,,True,True,True,False,False,False,False,True,False
Iowa,1634,1512.7,1508.8,1498.0,1510.0,1515.0,1730.0,1465.0,1462.4,1572.0,1565.7,1484.6,1547.6,,1466.6,1547.0,1584.2,1639.1,1572.2,1592.0,1465.9,1519.5,1610.3,1596.0,1521.6,,1442.6,1563.4,1624.0,,1511.9,1395.1,1538.0,1702.1,1550.0,1515.1,,1539.1,1496.0,1509.0,1721.9,1522.0,1384.0,1430.5,1528.0,1342.0,-121.3,-125.2,-136.0,-124.0,-119.0,96.0,-169.0,-171.6,-62.0,-68.3,-149.4,-86.4,,-167.4,-87.0,-49.8,5.1,-61.8,-42.0,-168.1,-114.5,-23.7,-38.0,-112.4,,-191.4,-70.6,-10.0,,-122.1,-238.9,-96.0,68.1,-84.0,-118.9,,-94.9,-138.0,-125.0,87.9,-112.0,-250.0,-203.5,-106.0,-292.0,False,False,False,True,True,False,False,True,True,False,True,,False,True,True,True,True,True,False,True,True,True,True,,False,True,True,,False,False,True,True,True,True,,True,False,False,True,True,False,False,True,False
Kansas,975,789.3,787.6,793.0,799.1,799.0,820.0,836.0,873.5,783.0,796.6,851.5,852.3,,1313.6,774.0,809.6,890.1,842.0,874.8,761.7,783.6,878.7,954.0,732.7,,798.4,861.5,883.0,,,666.1,855.0,853.9,818.0,778.7,,750.0,750.0,747.0,793.9,833.0,728.0,711.4,798.0,776.0,-185.7,-187.4,-182.0,-175.9,-176.0,-155.0,-139.0,-101.5,-192.0,-178.4,-123.5,-122.7,,338.6,-201.0,-165.4,-84.9,-133.0,-100.2,-213.3,-191.4,-96.3,-21.0,-242.3,,-176.6,-113.5,-92.0,,,-308.9,-120.0,-121.1,-157.0,-196.3,,-225.0,-225.0,-228.0,-181.1,-142.0,-247.0,-263.6,-177.0,-199.0,False,True,True,True,True,True,True,False,True,True,True,,False,False,True,True,True,True,False,False,True,True,False,,True,True,True,,,False,True,True,True,False,,False,False,False,True,True,False,False,True,False
Kentucky,1404,1334.4,1340.2,1327.0,1338.0,1380.0,1705.0,1374.0,1319.9,1391.0,1371.2,1515.6,1425.6,,1506.8,1348.0,1391.7,1387.4,1502.1,1389.8,1298.6,1350.9,1520.2,1482.0,1368.3,1418.5,1259.5,1399.3,1448.0,,,1211.0,1383.0,1471.8,1383.0,1376.3,,1385.5,1384.0,1321.9,1538.9,1366.0,1272.5,1269.9,1385.9,1332.0,-69.6,-63.8,-77.0,-66.0,-24.0,301.0,-30.0,-84.1,-13.0,-32.8,111.6,21.6,,102.8,-56.0,-12.3,-16.6,98.1,-14.2,-105.4,-53.1,116.2,78.0,-35.7,14.5,-144.5,-4.7,44.0,,,-193.0,-21.0,67.8,-21.0,-27.7,,-18.5,-20.0,-82.1,134.9,-38.0,-131.5,-134.1,-18.1,-72.0,True,False,True,True,False,True,False,True,True,False,True,,False,True,True,True,False,True,False,True,False,False,True,True,False,True,True,,,False,True,True,True,True,,True,True,False,False,True,False,False,True,False
Louisiana,5820,5839.1,5865.2,5759.0,5852.1,5827.0,5654.0,5858.0,5836.4,5754.0,5859.9,5999.7,5755.4,,6070.0,5814.0,5771.3,5739.5,5708.6,5794.3,5745.4,5732.9,5953.5,5787.0,5862.2,,5698.4,5713.7,5688.0,,5779.3,5695.1,5907.0,5473.4,6008.0,5967.6,,5879.1,5784.0,6063.5,5957.3,5724.0,5640.0,5639.6,5862.4,5533.0,19.1,45.2,-61.0,32.1,7.0,-166.0,38.0,16.4,-66.0,39.9,179.7,-64.6,,250.0,-6.0,-48.7,-80.5,-111.4,-25.7,-74.6,-87.1,133.5,-33.0,42.2,,-121.6,-106.3,-132.0,,-40.7,-124.9,87.0,-346.6,188.0,147.6,,59.1,-36.0,243.5,137.3,-96.0,-180.0,-180.4,42.4,-287.0,False,False,False,True,False,False,True,False,False,False,False,,False,True,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False
Maine,146,143.9,146.5,146.0,145.2,150.0,142.0,153.0,154.2,144.0,160.7,150.8,148.3,,151.0,176.0,152.1,152.6,165.5,150.6,145.3,140.0,169.1,177.0,147.0,,142.9,145.7,148.0,,,140.7,152.0,158.0,149.0,143.6,,164.6,149.0,155.4,164.3,151.0,143.0,146.6,148.5,,-2.1,0.5,0.0,-0.8,4.0,-4.0,7.0,8.2,-2.0,14.7,4.8,2.3,,5.0,30.0,6.1,6.6,19.5,4.6,-0.7,-6.0,23.1,31.0,1.0,,-3.1,-0.3,2.0,,,-5.3,6.0,12.0,3.0,-2.4,,18.6,3.0,9.4,18.3,5.0,-3.0,0.6,2.5,,True,True,True,False,False,False,False,True,False,False,False,,False,False,False,False,False,False,True,False,False,False,True,,False,True,True,,,False,False,False,False,False,,False,False,False,False,False,False,True,False,
Maryland,4091,4151.0,4117.0,4093.0,4123.3,4112.0,4110.0,4089.0,4055.3,3953.0,4126.1,4123.7,4230.9,,4064.1,4163.0,4077.4,4140.9,4133.8,4101.1,4037.0,4129.7,4213.7,4097.0,4166.7,,4128.5,4096.4,4074.0,,4042.1,4004.3,4114.0,4426.5,4161.0,4068.6,,4184.4,4082.0,4150.0,4428.7,4077.0,4095.0,4021.5,4151.1,4093.0,60.0,26.0,2.0,32.3,21.0,19.0,-2.0,-35.7,-138.0,35.1,32.7,139.9,,-26.9,72.0,-13.6,49.9,42.8,10.1,-54.0,38.7,122.7,6.0,75.7,,37.5,5.4,-17.0,,-48.9,-86.7,23.0,335.5,70.0,-22.4,,93.4,-9.0,59.0,337.7,-14.0,4.0,-69.5,60.1,2.0,True,True,True,True,True,True,True,False,True,True,False,,True,False,True,True,True,True,True,True,False,True,False,,True,True,True,,True,False,True,False,False,True,,False,True,True,False,True,True,False,False,True
