,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-YYG-ParamSearch
Idaho,572,584.4,527.7,418.0,,401.2,583.4,12.4,-44.3,-154.0,,-170.8,11.4,False,False,,False,True
Illinois,9751,9039.3,9300.4,8595.0,,8746.9,9269.4,-711.7,-450.6,-1156.0,,-1004.1,-481.6,True,False,,False,True
Indiana,4118,4039.9,3985.2,3708.0,,3866.8,4093.3,-78.1,-132.8,-410.0,,-251.2,-24.7,False,False,,False,True
Iowa,1634,1408.7,1346.1,1403.0,,1163.4,1405.8,-225.3,-287.9,-231.0,,-470.6,-228.2,False,False,,False,False
Kansas,956,662.3,698.1,606.0,,559.9,651.0,-293.7,-257.9,-350.0,,-396.1,-305.0,True,False,,False,False
Kentucky,1404,1174.7,,1013.0,,1151.3,1204.7,-229.3,,-391.0,,-252.7,-199.3,,False,,False,True
Louisiana,5820,6912.1,,6363.0,,5309.0,5724.8,1092.1,,543.0,,-511.0,-95.2,,True,,True,True
Maine,146,146.7,,139.0,,138.4,151.0,0.7,,-7.0,,-7.6,5.0,,False,,False,False
Maryland,4091,4171.3,,3883.0,,4002.1,4364.1,80.3,,-208.0,,-88.9,273.1,,False,,False,False
Massachusetts,9839,9853.3,,8953.0,,9471.9,9791.7,14.3,,-886.0,,-367.1,-47.3,,False,,False,False
Michigan,7522,7311.6,,7102.0,,7019.6,7242.7,-210.4,,-420.0,,-502.4,-279.3,,False,,False,False
Minnesota,2381,2284.3,,2099.0,,1825.1,2242.0,-96.7,,-282.0,,-555.9,-139.0,,False,,False,False
Mississippi,3255,3937.1,,3557.0,,3192.1,3148.4,682.1,,302.0,,-62.9,-106.6,,True,,True,True
Missouri,2808,1866.0,,1745.0,,2424.5,1983.4,-942.0,,-1063.0,,-383.5,-824.6,,False,,True,True
Montana,294,151.0,,188.0,,101.3,203.4,-143.0,,-106.0,,-192.7,-90.6,,True,,False,True
Nebraska,595,518.7,,505.0,,467.3,506.6,-76.3,,-90.0,,-127.7,-88.4,,False,,False,False
Nevada,1739,2205.6,,1972.0,,1608.2,1859.6,466.6,,233.0,,-130.8,120.6,,True,,True,True
New Hampshire,473,462.4,,427.0,,492.3,485.1,-10.6,,-46.0,,19.3,12.1,,False,,False,False
New Jersey,16281,16286.6,,16211.0,,16365.3,16107.7,5.6,,-70.0,,84.3,-173.3,,False,,False,False
New Mexico,965,999.9,,948.0,,903.3,1000.5,34.9,,-17.0,,-61.7,35.5,,True,,False,False
New York,33418,33490.6,,33204.0,,33136.3,33229.6,48.6,,-238.0,,-305.7,-212.4,,False,,False,False
North Carolina,4144,3874.9,,3787.0,,3007.8,3753.3,-269.1,,-357.0,,-1136.2,-390.7,,False,,False,False
North Dakota,448,253.1,,213.0,,220.1,219.9,-194.9,,-235.0,,-227.9,-228.1,,False,,False,False
Ohio,5206,5373.6,,4867.0,,4787.1,5286.7,167.6,,-339.0,,-418.9,80.7,,False,,False,True
Oklahoma,1245,1232.7,,1026.0,,934.1,1167.1,-12.3,,-219.0,,-310.9,-77.9,,False,,False,False
Oregon,653,703.4,,616.0,,538.9,735.7,50.4,,-37.0,,-114.1,82.7,,True,,False,False
Pennsylvania,8636,8852.7,,7781.0,,8574.6,8586.3,216.7,,-855.0,,-61.4,-49.7,,False,,True,True
Rhode Island,1177,1090.0,,1076.0,,1095.7,1099.9,-81.0,,-95.0,,-75.3,-71.1,,False,,True,True
South Carolina,3793,4615.0,,3297.0,,3449.8,3840.7,822.0,,-496.0,,-343.2,47.7,,True,,True,True
South Dakota,366,222.0,,247.0,,233.3,225.3,-144.0,,-119.0,,-132.7,-140.7,,True,,True,True
Tennessee,3100,2775.6,,2529.0,,1950.3,2430.9,-324.4,,-571.0,,-1149.7,-669.1,,False,,False,False
Texas,17915,22609.0,,23729.0,16564.0,15919.3,18308.1,4694.0,,5814.0,-1351.0,-1995.7,393.1,,False,True,True,True
Utah,568,629.1,,572.0,,574.0,627.6,61.1,,4.0,,6.0,59.6,,True,,True,True
Vermont,58,58.0,,58.0,,59.5,71.3,0.0,,0.0,,1.5,13.3,,True,,False,False
Virginia,3574,2923.1,,2836.0,,2613.4,3334.3,-650.9,,-738.0,,-960.6,-239.7,,False,,False,True
Washington,2296,2697.7,,2251.0,,2061.8,2731.5,401.7,,-45.0,,-234.2,435.5,,True,,True,False
West Virginia,424,367.0,,265.0,,344.6,400.8,-57.0,,-159.0,,-79.4,-23.2,,False,,False,True
Wisconsin,1770,1443.1,,1316.0,,1225.1,1545.9,-326.9,,-454.0,,-544.9,-224.1,,False,,False,True
Wyoming,68,49.7,,32.0,,40.4,46.7,-18.3,,-36.0,,-27.6,-21.3,,False,,False,False
US,224889,240175.7,199661.2,217128.0,224703.0,217494.5,221711.3,15268.7,-25245.8,-7779.0,-204.0,-7412.5,-3195.7,False,True,True,True,True
