,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,MSRA-DeepST,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-MSRA-DeepST,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-MSRA-DeepST,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Georgia,7808,7887.7,7825.2,7886.7,7867.0,7913.5,7819.0,7766.0,7769.7,7633.2,7842.0,7878.6,7810.2,7816.6,,7907.0,7776.0,7768.1,7710.4,7719.6,7812.0,7820.7,7844.6,7739.0,7972.7,7849.7,,7689.1,7869.3,7446.0,,7843.2,7712.7,,7822.0,7907.5,7891.0,7887.9,,7976.1,7815.0,7869.2,7748.0,7777.0,7777.0,7624.8,7907.0,79.7,17.2,78.7,59.0,105.5,11.0,-42.0,-38.3,-174.8,34.0,70.6,2.2,8.6,,99.0,-32.0,-39.9,-97.6,-88.4,4.0,12.7,36.6,-69.0,164.7,41.7,,-118.9,61.3,-362.0,,35.2,-95.3,,14.0,99.5,83.0,79.9,,168.1,7.0,61.2,-60.0,-31.0,-31.0,-183.2,99.0,True,True,True,False,True,True,True,False,True,True,True,True,,False,True,True,False,False,True,True,True,True,False,True,,False,True,False,,True,False,,True,False,False,False,,False,True,True,True,True,True,False,False
Hawaii,212,193.1,214.8,199.8,198.0,198.0,193.0,183.0,258.2,177.8,192.0,205.0,,185.4,,,,195.5,199.9,212.8,192.3,199.5,187.5,195.0,182.0,205.6,,185.3,194.7,192.0,,,181.5,,204.0,175.6,187.0,193.0,,181.4,193.0,200.9,178.0,199.0,207.0,188.0,201.0,-18.9,2.8,-12.2,-14.0,-14.0,-19.0,-29.0,46.2,-34.2,-20.0,-7.0,,-26.6,,,,-16.5,-12.1,0.8,-19.7,-12.5,-24.5,-17.0,-30.0,-6.4,,-26.7,-17.3,-20.0,,,-30.5,,-8.0,-36.4,-25.0,-19.0,,-30.6,-19.0,-11.1,-34.0,-13.0,-5.0,-24.0,-11.0,True,True,True,True,False,False,False,False,False,True,,False,,,,True,True,True,False,True,False,True,False,True,,False,True,False,,,False,,True,False,False,False,,False,False,True,False,True,True,False,True
Idaho,572,553.4,598.9,562.7,558.0,561.0,563.0,592.0,578.5,530.9,549.0,553.2,579.5,559.0,,553.0,561.0,560.4,576.8,572.6,571.4,541.7,556.8,592.0,575.5,578.0,,588.2,572.0,531.0,,,522.0,,576.0,470.0,572.0,559.2,,580.5,552.0,552.0,578.7,572.0,537.0,539.4,553.0,-18.6,26.9,-9.3,-14.0,-11.0,-9.0,20.0,6.5,-41.1,-23.0,-18.8,7.5,-13.0,,-19.0,-11.0,-11.6,4.8,0.6,-0.6,-30.3,-15.2,20.0,3.5,6.0,,16.2,-0.0,-41.0,,,-50.0,,4.0,-102.0,0.0,-12.8,,8.5,-20.0,-20.0,6.7,0.0,-35.0,-32.6,-19.0,False,True,True,True,True,False,True,False,False,False,True,True,,False,True,True,True,True,True,False,True,False,True,True,,True,True,False,,,False,,True,False,True,True,,True,False,False,True,True,False,False,False
Illinois,9751,9582.9,9721.3,9616.7,9623.0,9617.3,9614.0,9655.0,9650.2,9421.0,9558.0,9591.4,9585.6,9509.8,,9623.0,9597.0,9660.6,9718.8,9558.9,9602.1,9597.9,9660.2,9550.0,9537.8,9640.3,9902.5,9480.1,9660.5,9630.0,,9533.9,9625.6,,9622.0,9617.7,9695.0,9571.3,,9546.8,9611.0,9653.9,10169.4,9671.0,9617.0,9195.1,9399.0,-168.1,-29.7,-134.3,-128.0,-133.7,-137.0,-96.0,-100.8,-330.0,-193.0,-159.6,-165.4,-241.2,,-128.0,-154.0,-90.4,-32.2,-192.1,-148.9,-153.1,-90.8,-201.0,-213.2,-110.7,151.5,-270.9,-90.5,-121.0,,-217.1,-125.4,,-129.0,-133.3,-56.0,-179.7,,-204.2,-140.0,-97.1,418.4,-80.0,-134.0,-555.9,-352.0,True,True,True,True,True,True,True,False,False,True,True,False,,True,True,True,True,False,True,True,True,False,False,True,True,False,True,True,,False,True,,True,True,True,False,,False,True,True,False,True,True,False,False
Indiana,4118,4002.6,4061.8,4007.3,4012.0,4008.0,4003.0,4052.0,4040.0,3882.9,3964.0,3951.2,3959.1,3987.9,,3967.0,3938.0,4022.8,4073.0,3961.4,4009.4,4004.3,4043.2,3975.0,3984.4,3978.0,3903.0,4014.2,4092.0,3940.0,,3933.0,3930.4,,4008.0,4731.0,4048.0,3972.3,,3992.8,4018.0,3982.8,4272.9,4036.0,4017.0,3669.1,4060.0,-115.4,-56.2,-110.7,-106.0,-110.0,-115.0,-66.0,-78.0,-235.1,-154.0,-166.8,-158.9,-130.1,,-151.0,-180.0,-95.2,-45.0,-156.6,-108.6,-113.7,-74.8,-143.0,-133.6,-140.0,-215.0,-103.8,-26.0,-178.0,,-185.0,-187.6,,-110.0,613.0,-70.0,-145.7,,-125.2,-100.0,-135.2,154.9,-82.0,-101.0,-448.9,-58.0,True,True,True,True,True,True,True,False,False,False,False,False,,False,False,True,True,False,True,True,True,False,False,False,False,True,True,False,,False,False,,True,False,True,False,,False,True,False,False,True,True,False,True
Iowa,1634,1601.3,1664.4,1618.7,1606.0,1615.0,1598.0,1520.0,1596.2,1522.6,1587.0,1556.3,1589.1,1585.0,,1596.0,1560.0,1584.9,1613.4,1580.1,1623.3,1579.7,1621.2,1635.0,1636.9,1609.7,,1578.5,1632.4,1605.0,,1578.0,1561.1,,1597.0,1880.6,1597.0,1601.1,,1642.4,1591.0,1598.4,1676.6,1618.0,1598.0,1532.3,1645.0,-32.7,30.4,-15.3,-28.0,-19.0,-36.0,-114.0,-37.8,-111.4,-47.0,-77.7,-44.9,-49.0,,-38.0,-74.0,-49.1,-20.6,-53.9,-10.7,-54.3,-12.8,1.0,2.9,-24.3,,-55.5,-1.6,-29.0,,-56.0,-72.9,,-37.0,246.6,-37.0,-32.9,,8.4,-43.0,-35.6,42.6,-16.0,-36.0,-101.7,11.0,True,True,True,True,False,False,False,False,False,False,False,False,,False,False,False,True,False,True,False,True,True,True,True,,False,True,True,,False,False,,False,False,False,False,,True,False,False,False,True,False,False,True
Kansas,975,930.0,1090.1,941.0,929.0,939.0,906.0,825.0,904.2,793.3,855.0,891.7,958.2,941.1,,913.0,904.0,881.1,915.5,878.4,906.3,857.3,884.8,953.0,930.5,866.1,,822.2,951.9,953.0,,,814.7,,906.0,826.2,876.0,837.2,,939.7,894.0,913.1,870.3,927.0,887.0,828.9,963.0,-45.0,115.1,-34.0,-46.0,-36.0,-69.0,-150.0,-70.8,-181.7,-120.0,-83.3,-16.8,-33.9,,-62.0,-71.0,-93.9,-59.5,-96.6,-68.7,-117.7,-90.2,-22.0,-44.5,-108.9,,-152.8,-23.1,-22.0,,,-160.3,,-69.0,-148.8,-99.0,-137.8,,-35.3,-81.0,-61.9,-104.7,-48.0,-88.0,-146.1,-12.0,False,True,False,True,False,False,False,False,False,False,True,True,,False,False,False,False,False,False,False,False,True,True,False,,False,True,True,,,False,,False,False,False,False,,True,False,False,False,False,False,False,True
Kentucky,1404,1331.9,1348.1,1338.6,1333.0,1337.0,1360.0,1380.0,1391.2,1307.4,1377.0,1356.7,1372.2,1379.5,,1340.0,1386.0,1359.7,1422.2,1387.7,1377.5,1330.0,1349.4,1431.0,1356.5,1361.0,1418.5,1319.3,1357.0,1299.0,,1343.1,1310.2,,1367.0,1470.3,1360.0,1355.6,,1360.3,1363.0,1335.6,1467.8,1364.0,1334.0,1313.8,1347.0,-72.1,-55.9,-65.4,-71.0,-67.0,-44.0,-24.0,-12.8,-96.6,-27.0,-47.3,-31.8,-24.5,,-64.0,-18.0,-44.3,18.2,-16.3,-26.5,-74.0,-54.6,27.0,-47.5,-43.0,14.5,-84.7,-47.0,-105.0,,-60.9,-93.8,,-37.0,66.3,-44.0,-48.4,,-43.7,-41.0,-68.4,63.8,-40.0,-70.0,-90.2,-57.0,True,True,True,True,True,True,True,False,True,True,True,True,,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False,,True,False,,True,True,True,True,,True,True,True,True,True,True,False,True
Louisiana,5820,5799.9,5815.6,5814.8,5799.0,5815.0,5801.0,5777.0,5759.2,5738.5,5773.0,5808.5,5845.3,5787.7,,5804.0,5773.0,5767.3,5837.9,5745.1,5787.2,5823.1,5771.4,5779.0,5881.4,5798.4,,5800.4,5773.9,5739.0,,5807.3,5761.8,,5828.0,5650.6,5898.0,5979.0,,5875.7,5787.0,5885.2,5872.2,5797.0,5772.0,5634.0,5803.0,-20.1,-4.4,-5.2,-21.0,-5.0,-19.0,-43.0,-60.8,-81.5,-47.0,-11.5,25.3,-32.3,,-16.0,-47.0,-52.7,17.9,-74.9,-32.8,3.1,-48.6,-41.0,61.4,-21.6,,-19.6,-46.1,-81.0,,-12.7,-58.2,,8.0,-169.4,78.0,159.0,,55.7,-33.0,65.2,52.2,-23.0,-48.0,-186.0,-17.0,True,True,False,True,True,False,False,False,False,True,False,False,,True,False,False,True,False,False,True,False,False,False,False,,True,False,False,,True,False,,True,False,False,False,,False,False,False,False,False,False,False,True
Maine,146,144.9,147.1,145.6,145.0,145.0,146.0,143.0,145.4,145.2,148.0,148.2,146.7,147.3,,145.0,146.0,144.2,146.7,155.5,146.3,146.1,143.1,161.0,145.9,151.0,,144.6,145.4,145.0,,,144.3,,146.0,164.5,146.0,144.8,,152.0,147.0,149.3,156.2,146.0,146.0,146.2,,-1.1,1.1,-0.4,-1.0,-1.0,0.0,-3.0,-0.6,-0.8,2.0,2.2,0.7,1.3,,-1.0,0.0,-1.8,0.7,9.5,0.3,0.1,-2.9,15.0,-0.1,5.0,,-1.4,-0.6,-1.0,,,-1.7,,0.0,18.5,0.0,-1.2,,6.0,1.0,3.3,10.2,0.0,0.0,0.2,,True,True,True,True,True,False,True,True,False,False,True,False,,True,True,False,True,False,True,True,False,False,True,False,,False,True,True,,,False,,True,False,True,False,,False,True,False,False,True,True,True,
