,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,MITCovAlliance-SIR,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-MITCovAlliance-SIR,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-MITCovAlliance-SIR,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01021,653,584.0,,,,272.0,,368.7,,520.3,,284.0,-69.0,,,,-381.0,,-284.3,,-132.7,,-369.0,,,,False,,False,,False,,False
01023,64,112.0,,,,99.0,,77.2,,,,176.0,48.0,,,,35.0,,13.2,,,,112.0,,,,True,,True,,,,False
01025,446,584.0,,,,228.0,,343.1,,446.6,,154.0,138.0,,,,-218.0,,-102.9,,0.6,,-292.0,,,,False,,True,,True,,False
01027,313,264.0,,,,64.0,,164.0,,,,230.0,-49.0,,,,-249.0,,-149.0,,,,-83.0,,,,False,,False,,,,False
01029,351,344.0,,,,94.0,,209.4,,,,66.0,-7.0,,,,-257.0,,-141.6,,,,-285.0,,,,False,,False,,,,False
01031,1108,552.0,,,,322.0,,473.5,,267.2,,552.0,-556.0,,,,-786.0,,-634.5,,-840.8,,-556.0,,,,False,,False,,False,,False
01033,1703,656.0,,,,588.0,,395.3,,520.9,,523.0,-1047.0,,,,-1115.0,,-1307.7,,-1182.1,,-1180.0,,,,False,,False,,False,,False
01035,189,56.0,,,,62.0,,37.0,0.0,,,16.0,-133.0,,,,-127.0,,-152.0,-189.0,,,-173.0,,,,True,,False,False,,,False
01037,199,64.0,,,,34.0,,61.4,0.0,,,103.0,-135.0,,,,-165.0,,-137.6,-199.0,,,-96.0,,,,False,,False,False,,,True
01039,804,512.0,,,,301.0,,435.7,0.3,155.2,,327.0,-292.0,,,,-503.0,,-368.3,-803.7,-648.8,,-477.0,,,,False,,False,False,False,,False
01041,173,128.0,,,,73.0,,77.5,0.0,,,50.0,-45.0,,,,-100.0,,-95.5,-173.0,,,-123.0,,,,False,,False,False,,,False
01043,2949,720.0,,,,857.0,,485.3,171.0,363.6,,753.0,-2229.0,,,,-2092.0,,-2463.7,-2778.0,-2585.4,,-2196.0,,,,True,,False,False,False,,True
01045,972,304.0,,,,280.0,,271.5,0.5,237.6,,532.0,-668.0,,,,-692.0,,-700.5,-971.5,-734.4,,-440.0,,,,False,,False,False,False,,True
01047,556,184.0,,,,194.0,,128.0,0.2,95.1,,68.0,-372.0,,,,-362.0,,-428.0,-555.8,-460.9,,-488.0,,,,True,,False,False,False,,False
01049,2442,1936.0,,,,820.0,,1434.4,28.8,1067.4,,1435.0,-506.0,,,,-1622.0,,-1007.6,-2413.2,-1374.6,,-1007.0,,,,False,,False,False,False,,False
01051,1508,1024.0,,,,329.0,,673.3,7.7,624.8,,927.0,-484.0,,,,-1179.0,,-834.7,-1500.3,-883.2,,-581.0,,,,False,,False,False,False,,False
01053,416,272.0,,,,354.0,,213.2,0.2,85.6,,303.0,-144.0,,,,-62.0,,-202.8,-415.8,-330.4,,-113.0,,,,True,,False,False,False,,True
01055,3395,800.0,,,,1028.0,,544.8,6.9,444.4,,377.0,-2595.0,,,,-2367.0,,-2850.2,-3388.1,-2950.6,,-3018.0,,,,True,,False,False,False,,False
01057,527,168.0,,,,132.0,,71.4,0.5,,,26.0,-359.0,,,,-395.0,,-455.6,-526.5,,,-501.0,,,,False,,False,False,,,False
01059,801,400.0,,,,396.0,,205.3,9.8,244.0,,642.0,-401.0,,,,-405.0,,-595.7,-791.2,-557.0,,-159.0,,,,False,,False,False,False,,True
01061,517,440.0,,,,202.0,,570.6,0.1,,,428.0,-77.0,,,,-315.0,,53.6,-516.9,,,-89.0,,,,False,,True,False,,,False
01063,140,152.0,,,,32.0,,99.9,0.0,,,146.0,12.0,,,,-108.0,,-40.1,-140.0,,,6.0,,,,False,,False,False,,,True
01065,322,248.0,,,,100.0,,174.0,0.8,,,108.0,-74.0,,,,-222.0,,-148.0,-321.2,,,-214.0,,,,False,,False,False,,,False
01067,325,288.0,,,,95.0,,293.8,0.1,,,272.0,-37.0,,,,-230.0,,-31.2,-324.9,,,-53.0,,,,False,,True,False,,,False
01069,2153,1208.0,,,,660.0,,1735.0,1.4,601.5,,1929.0,-945.0,,,,-1493.0,,-418.0,-2151.6,-1551.5,,-224.0,,,,False,,True,False,False,,True
01071,2044,1032.0,,,,689.0,,724.8,2.1,408.8,,737.0,-1012.0,,,,-1355.0,,-1319.2,-2041.9,-1635.2,,-1307.0,,,,False,,False,False,False,,False
01073,14680,6008.0,,,,3628.0,,3445.3,258.4,2933.3,,3379.0,-8672.0,,,,-11052.0,,-11234.7,-14421.6,-11746.7,,-11301.0,,,,False,,False,False,False,,False
01075,326,128.0,,,,121.0,,72.4,0.3,,,50.0,-198.0,,,,-205.0,,-253.6,-325.7,,,-276.0,,,,False,,False,False,,,False
01077,2679,856.0,,,,970.0,,609.4,259.1,583.9,,772.0,-1823.0,,,,-1709.0,,-2069.6,-2419.9,-2095.1,,-1907.0,,,,True,,False,False,False,,False
01079,699,472.0,,,,326.0,,338.7,124.7,,,82.0,-227.0,,,,-373.0,,-360.3,-574.3,,,-617.0,,,,False,,False,False,,,False
01081,1881,1312.0,,,,801.0,,914.8,5.8,693.6,,671.0,-569.0,,,,-1080.0,,-966.2,-1875.2,-1187.4,,-1210.0,,,,False,,False,False,False,,False
01083,2173,1992.0,,,,874.0,,1546.2,834.2,707.4,,1909.0,-181.0,,,,-1299.0,,-626.8,-1338.8,-1465.6,,-264.0,,,,False,,False,False,False,,False
01085,152,136.0,,,,27.0,,70.7,0.2,,,0.0,-16.0,,,,-125.0,,-81.3,-151.8,,,-152.0,,,,False,,False,False,,,False
01087,268,168.0,,,,42.0,,108.0,0.0,,,345.0,-100.0,,,,-226.0,,-160.0,-268.0,,,77.0,,,,False,,False,False,,,True
01089,6402,2408.0,,,,2401.0,,1607.7,209.8,956.3,,1035.0,-3994.0,,,,-4001.0,,-4794.3,-6192.2,-5445.7,,-5367.0,,,,False,,False,False,False,,False
01091,421,1080.0,,,,163.0,,563.8,125.4,,,253.0,659.0,,,,-258.0,,142.8,-295.6,,,-168.0,,,,True,,True,True,,,True
01093,523,224.0,,,,261.0,,165.0,0.3,,,206.0,-299.0,,,,-262.0,,-358.0,-522.7,,,-317.0,,,,True,,False,False,,,False
01095,2933,896.0,,,,1013.0,,568.7,11.4,448.5,,979.0,-2037.0,,,,-1920.0,,-2364.3,-2921.6,-2484.5,,-1954.0,,,,True,,False,False,False,,True
01097,6833,1824.0,,,,3511.0,,1076.5,25.8,1302.1,,780.0,-5009.0,,,,-3322.0,,-5756.5,-6807.2,-5530.9,,-6053.0,,,,True,,False,False,False,,False
01099,247,104.0,,,,140.0,,74.7,0.0,,,81.0,-143.0,,,,-107.0,,-172.3,-247.0,,,-166.0,,,,True,,False,False,,,False
01101,3716,1776.0,,,,895.0,,907.3,39.0,1220.3,,2532.0,-1940.0,,,,-2821.0,,-2808.7,-3677.0,-2495.7,,-1184.0,,,,False,,False,False,False,,True
01103,3833,1696.0,,,,1054.0,,1106.9,27.7,705.5,,1834.0,-2137.0,,,,-2779.0,,-2726.1,-3805.3,-3127.5,,-1999.0,,,,False,,False,False,False,,True
01105,136,184.0,,,,27.0,,109.9,0.0,,,384.0,48.0,,,,-109.0,,-26.1,-136.0,,,248.0,,,,False,,True,False,,,False
01107,589,264.0,,,,142.0,,138.0,0.6,,,119.0,-325.0,,,,-447.0,,-451.0,-588.4,,,-470.0,,,,False,,False,False,,,False
01109,400,256.0,,,,180.0,,149.1,0.0,164.3,,94.0,-144.0,,,,-220.0,,-250.9,-400.0,-235.7,,-306.0,,,,False,,False,False,False,,False
01111,344,360.0,,,,133.0,,246.3,0.9,,,192.0,16.0,,,,-211.0,,-97.7,-343.1,,,-152.0,,,,False,,False,False,,,False
01113,510,232.0,,,,294.0,,176.8,0.4,123.5,,158.0,-278.0,,,,-216.0,,-333.2,-509.6,-386.5,,-352.0,,,,True,,False,False,False,,False
01115,2158,1008.0,,,,495.0,,764.1,21.0,619.8,,467.0,-1150.0,,,,-1663.0,,-1393.9,-2137.0,-1538.2,,-1691.0,,,,False,,False,False,False,,False
01117,4775,2528.0,,,,927.0,,1662.4,181.1,889.7,,1367.0,-2247.0,,,,-3848.0,,-3112.6,-4593.9,-3885.3,,-3408.0,,,,False,,False,False,False,,False
01119,153,136.0,,,,69.0,,85.0,0.1,,,167.0,-17.0,,,,-84.0,,-68.0,-152.9,,,14.0,,,,False,,False,False,,,True
01121,1519,1024.0,,,,496.0,,725.8,0.7,540.6,,831.0,-495.0,,,,-1023.0,,-793.2,-1518.3,-978.4,,-688.0,,,,False,,False,False,False,,False
01123,717,240.0,,,,188.0,,147.2,0.7,132.3,,168.0,-477.0,,,,-529.0,,-569.8,-716.3,-584.7,,-549.0,,,,False,,False,False,False,,False
01125,4642,2392.0,,,,1525.0,,1351.8,7.6,2488.7,,310.0,-2250.0,,,,-3117.0,,-3290.2,-4634.4,-2153.3,,-4332.0,,,,False,,False,False,True,,False
01127,1431,896.0,,,,581.0,,595.7,1.8,329.3,,532.0,-535.0,,,,-850.0,,-835.3,-1429.2,-1101.7,,-899.0,,,,False,,False,False,False,,False
01129,345,152.0,,,,181.0,,79.2,0.1,,,209.0,-193.0,,,,-164.0,,-265.8,-344.9,,,-136.0,,,,True,,False,False,,,True
01131,114,112.0,,,,31.0,,73.6,0.1,,,72.0,-2.0,,,,-83.0,,-40.4,-113.9,,,-42.0,,,,False,,False,False,,,False
01133,653,424.0,,,,228.0,,245.1,1.6,,,268.0,-229.0,,,,-425.0,,-407.9,-651.4,,,-385.0,,,,False,,False,False,,,False
02013,28,8.0,,,,,,0.5,,,,22.0,-20.0,,,,,,-27.5,,,,-6.0,,,,,,False,,,,True
02016,16,0.0,,,,,,0.1,,,,0.0,-16.0,,,,,,-15.9,,,,-16.0,,,,,,True,,,,False
02020,12687,5328.0,,,,,,4147.2,1800.3,2057.9,,980.0,-7359.0,,,,,,-8539.8,-10886.7,-10629.1,,-11707.0,,,,,,False,False,False,,False
02050,1516,400.0,,,,,,672.6,0.0,,,457.0,-1116.0,,,,,,-843.4,-1516.0,,,-1059.0,,,,,,True,False,,,True
02060,0,0.0,,,,,,0.0,,,,0.0,0.0,,,,,,0.0,,,,0.0,,,,,,False,,,,True
02068,30,24.0,,,,,,20.9,,,,1.0,-6.0,,,,,,-9.1,,,,-29.0,,,,,,False,,,,False
02070,74,24.0,,,,,,9.4,,,,3.0,-50.0,,,,,,-64.6,,,,-71.0,,,,,,False,,,,False
02090,2152,2216.0,,,,,,2549.1,644.4,958.1,,659.0,64.0,,,,,,397.1,-1507.6,-1193.9,,-1493.0,,,,,,False,False,False,,False
02100,8,0.0,,,,,,0.2,,,,0.0,-8.0,,,,,,-7.8,,,,-8.0,,,,,,True,,,,False
02105,0,0.0,,,,,,0.2,,,,,0.0,,,,,,0.2,,,,,,,,,,False,,,,
02110,504,104.0,,,,,,61.9,272.6,,,40.0,-400.0,,,,,,-442.1,-231.4,,,-464.0,,,,,,False,True,,,False
02122,2258,336.0,,,,,,199.3,223.9,,,674.0,-1922.0,,,,,,-2058.7,-2034.1,,,-1584.0,,,,,,False,False,,,True
02130,141,32.0,,,,,,30.2,,,,302.0,-109.0,,,,,,-110.8,,,,161.0,,,,,,False,,,,False
02150,348,104.0,,,,,,436.9,,,,229.0,-244.0,,,,,,88.9,,,,-119.0,,,,,,True,,,,True
02158,442,24.0,,,,,,15.9,,,,10.0,-418.0,,,,,,-426.1,,,,-432.0,,,,,,False,,,,False
02164,53,0.0,,,,,,2.4,,,,,-53.0,,,,,,-50.6,,,,,,,,,,True,,,,
02170,3982,544.0,,,,,,420.0,340.9,,,449.0,-3438.0,,,,,,-3562.0,-3641.1,,,-3533.0,,,,,,False,False,,,False
02180,140,160.0,,,,,,257.1,0.0,,,100.0,20.0,,,,,,117.1,-140.0,,,-40.0,,,,,,False,False,,,False
02185,378,80.0,,,,,,91.1,0.0,,,35.0,-298.0,,,,,,-286.9,-378.0,,,-343.0,,,,,,True,False,,,False
02188,201,224.0,,,,,,205.3,0.0,,,20.0,23.0,,,,,,4.3,-201.0,,,-181.0,,,,,,True,False,,,False
02195,14,0.0,,,,,,0.2,,,,69.0,-14.0,,,,,,-13.8,,,,55.0,,,,,,True,,,,False
02198,27,0.0,,,,,,0.2,,,,0.0,-27.0,,,,,,-26.8,,,,-27.0,,,,,,True,,,,False
02220,153,0.0,,,,,,0.2,,,,1.0,-153.0,,,,,,-152.8,,,,-152.0,,,,,,True,,,,True
02230,12,0.0,,,,,,0.0,,,,,-12.0,,,,,,-12.0,,,,,,,,,,True,,,,
02240,280,40.0,,,,,,51.5,,,,45.0,-240.0,,,,,,-228.5,,,,-235.0,,,,,,True,,,,True
02261,144,40.0,,,,,,38.7,,,,68.0,-104.0,,,,,,-105.3,,,,-76.0,,,,,,False,,,,True
02275,3,0.0,,,,,,0.1,,,,0.0,-3.0,,,,,,-2.9,,,,-3.0,,,,,,True,,,,False
02282,21,8.0,,,,,,4.5,,,,2.0,-13.0,,,,,,-16.5,,,,-19.0,,,,,,False,,,,False
02290,91,40.0,,,,,,34.6,,,,103.0,-51.0,,,,,,-56.4,,,,12.0,,,,,,False,,,,True
04001,2117,1072.0,,,,966.0,,361.4,1.4,466.9,,146.0,-1045.0,,,,-1151.0,,-1755.6,-2115.6,-1650.1,,-1971.0,,,,False,,False,False,False,,False
04003,2300,288.0,,,,269.0,,174.5,0.0,145.3,,284.0,-2012.0,,,,-2031.0,,-2125.5,-2300.0,-2154.7,,-2016.0,,,,False,,False,False,False,,False
04005,3641,1456.0,,,,673.0,,812.8,0.7,535.7,,429.0,-2185.0,,,,-2968.0,,-2828.2,-3640.3,-3105.3,,-3212.0,,,,False,,False,False,False,,False
04007,1739,632.0,,,,136.0,,545.4,287.3,163.9,,880.0,-1107.0,,,,-1603.0,,-1193.6,-1451.7,-1575.1,,-859.0,,,,False,,False,False,False,,True
04009,1402,488.0,,,,91.0,,362.1,0.0,,,190.0,-914.0,,,,-1311.0,,-1039.9,-1402.0,,,-1212.0,,,,False,,False,False,,,False
04011,229,24.0,,,,35.0,,20.5,,,,320.0,-205.0,,,,-194.0,,-208.5,,,,91.0,,,,True,,False,,,,True
04012,402,160.0,,,,24.0,,163.6,0.0,,,2080.0,-242.0,,,,-378.0,,-238.4,-402.0,,,1678.0,,,,False,,True,False,,,False
04013,79935,23032.0,,,,8058.0,,14686.8,799.2,12385.8,,26101.0,-56903.0,,,,-71877.0,,-65248.2,-79135.8,-67549.2,,-53834.0,,,,False,,False,False,False,,True
04015,3026,336.0,,,,484.0,,272.5,197.6,179.4,,192.0,-2690.0,,,,-2542.0,,-2753.5,-2828.4,-2846.6,,-2834.0,,,,True,,False,False,False,,False
04017,2863,552.0,,,,781.0,,320.6,3.1,238.3,,1840.0,-2311.0,,,,-2082.0,,-2542.4,-2859.9,-2624.7,,-1023.0,,,,True,,False,False,False,,True
04019,17567,4064.0,,,,1069.0,,2766.5,1163.4,1799.0,,2639.0,-13503.0,,,,-16498.0,,-14800.5,-16403.6,-15768.0,,-14928.0,,,,False,,False,False,False,,False
04021,7431,2304.0,,,,521.0,,1676.4,174.0,1546.8,,2297.0,-5127.0,,,,-6910.0,,-5754.6,-7257.0,-5884.2,,-5134.0,,,,False,,False,False,False,,False
04023,1419,184.0,,,,65.0,,134.3,0.4,48.7,,0.0,-1235.0,,,,-1354.0,,-1284.7,-1418.6,-1370.3,,-1419.0,,,,False,,False,False,False,,False
04025,3663,672.0,,,,429.0,,575.8,326.7,428.9,,377.0,-2991.0,,,,-3234.0,,-3087.2,-3336.3,-3234.1,,-3286.0,,,,False,,False,False,False,,False
04027,6250,1368.0,,,,168.0,,772.2,2.6,636.2,,2225.0,-4882.0,,,,-6082.0,,-5477.8,-6247.4,-5613.8,,-4025.0,,,,False,,False,False,False,,True
05001,478,776.0,,,,306.0,,930.7,192.9,,,57.0,298.0,,,,-172.0,,452.7,-285.1,,,-421.0,,,,True,,False,True,,,False
05003,471,160.0,,,,226.0,,113.8,0.6,,,254.0,-311.0,,,,-245.0,,-357.2,-470.4,,,-217.0,,,,True,,False,False,,,True
05005,1077,496.0,,,,711.0,,569.6,240.0,,,278.0,-581.0,,,,-366.0,,-507.4,-837.0,,,-799.0,,,,True,,True,False,,,False
05007,5961,2384.0,,,,3643.0,,1794.8,97.4,1946.3,,1653.0,-3577.0,,,,-2318.0,,-4166.2,-5863.6,-4014.7,,-4308.0,,,,True,,False,False,False,,False
05009,1114,600.0,,,,952.0,,530.5,0.3,,,395.0,-514.0,,,,-162.0,,-583.5,-1113.7,,,-719.0,,,,True,,False,False,,,False
05011,230,24.0,,,,135.0,,22.3,0.0,,,13.0,-206.0,,,,-95.0,,-207.7,-230.0,,,-217.0,,,,True,,False,False,,,False
05013,124,16.0,,,,42.0,,14.9,,,,32.0,-108.0,,,,-82.0,,-109.1,,,,-92.0,,,,True,,False,,,,True
05015,746,800.0,,,,511.0,,789.4,306.2,,,632.0,54.0,,,,-235.0,,43.4,-439.8,,,-114.0,,,,False,,True,False,,,False
05017,238,40.0,,,,158.0,,18.9,0.3,64.9,,91.0,-198.0,,,,-80.0,,-219.1,-237.7,-173.1,,-147.0,,,,True,,False,False,True,,True
05019,503,328.0,,,,298.0,,322.4,103.7,,,163.0,-175.0,,,,-205.0,,-180.6,-399.3,,,-340.0,,,,False,,False,False,,,False
05021,641,352.0,,,,299.0,,359.1,74.7,,,239.0,-289.0,,,,-342.0,,-281.9,-566.3,,,-402.0,,,,False,,True,False,,,False
05023,422,240.0,,,,618.0,,240.9,51.3,,,273.0,-182.0,,,,196.0,,-181.1,-370.7,,,-149.0,,,,False,,True,False,,,True
05025,213,48.0,,,,81.0,,41.4,0.0,,,63.0,-165.0,,,,-132.0,,-171.6,-213.0,,,-150.0,,,,True,,False,False,,,True
05027,578,520.0,,,,232.0,,544.0,176.3,,,196.0,-58.0,,,,-346.0,,-34.0,-401.7,,,-382.0,,,,False,,True,False,,,False
05029,468,104.0,,,,703.0,,136.2,71.5,,,140.0,-364.0,,,,235.0,,-331.8,-396.5,,,-328.0,,,,True,,True,False,,,True
05031,4100,2968.0,,,,2275.0,,2620.5,1477.8,1840.3,,3259.0,-1132.0,,,,-1825.0,,-1479.5,-2622.2,-2259.7,,-841.0,,,,False,,False,False,False,,True
05033,1627,1288.0,,,,1614.0,,1177.1,690.3,599.0,,980.0,-339.0,,,,-13.0,,-449.9,-936.7,-1028.0,,-647.0,,,,True,,False,False,False,,False
05035,1430,432.0,,,,901.0,,327.9,1.8,202.3,,263.0,-998.0,,,,-529.0,,-1102.1,-1428.2,-1227.7,,-1167.0,,,,True,,False,False,False,,False
05037,449,200.0,,,,454.0,,194.4,0.7,,,42.0,-249.0,,,,5.0,,-254.6,-448.3,,,-407.0,,,,True,,False,False,,,False
05039,170,40.0,,,,88.0,,35.0,0.0,,,28.0,-130.0,,,,-82.0,,-135.0,-170.0,,,-142.0,,,,True,,False,False,,,False
05041,307,224.0,,,,154.0,,194.3,0.1,,,226.0,-83.0,,,,-153.0,,-112.7,-306.9,,,-81.0,,,,False,,False,False,,,True
05043,570,88.0,,,,258.0,,82.6,0.0,,,237.0,-482.0,,,,-312.0,,-487.4,-570.0,,,-333.0,,,,True,,False,False,,,True
05045,2401,1768.0,,,,2137.0,,1591.9,1061.2,443.1,,1113.0,-633.0,,,,-264.0,,-809.1,-1339.8,-1957.9,,-1288.0,,,,True,,False,False,False,,False
05047,478,576.0,,,,543.0,,624.2,125.5,,,18.0,98.0,,,,65.0,,146.2,-352.5,,,-460.0,,,,True,,False,False,,,False
05049,368,192.0,,,,167.0,,208.2,1.2,,,46.0,-176.0,,,,-201.0,,-159.8,-366.8,,,-322.0,,,,False,,True,False,,,False
05051,2019,592.0,,,,1661.0,,476.1,34.5,423.1,,187.0,-1427.0,,,,-358.0,,-1542.9,-1984.5,-1595.9,,-1832.0,,,,True,,False,False,False,,False
05053,368,216.0,,,,192.0,,167.4,79.8,,,136.0,-152.0,,,,-176.0,,-200.6,-288.2,,,-232.0,,,,False,,False,False,,,False
05055,2241,1016.0,,,,855.0,,897.3,331.8,,,800.0,-1225.0,,,,-1386.0,,-1343.7,-1909.2,,,-1441.0,,,,False,,False,False,,,False
05057,475,368.0,,,,203.0,,372.2,122.0,,,46.0,-107.0,,,,-272.0,,-102.8,-353.0,,,-429.0,,,,False,,True,False,,,False
05059,971,776.0,,,,533.0,,517.4,4.7,237.5,,13.0,-195.0,,,,-438.0,,-453.6,-966.3,-733.5,,-958.0,,,,False,,False,False,False,,False
05061,344,96.0,,,,186.0,,91.4,0.7,,,42.0,-248.0,,,,-158.0,,-252.6,-343.3,,,-302.0,,,,True,,False,False,,,False
05063,931,688.0,,,,1195.0,,678.8,1.3,475.7,,547.0,-243.0,,,,264.0,,-252.2,-929.7,-455.3,,-384.0,,,,False,,False,False,False,,False
05065,681,632.0,,,,276.0,,741.2,47.6,,,252.0,-49.0,,,,-405.0,,60.2,-633.4,,,-429.0,,,,False,,False,False,,,False
05067,1522,648.0,,,,569.0,,864.0,271.8,,,127.0,-874.0,,,,-953.0,,-658.0,-1250.2,,,-1395.0,,,,False,,True,False,,,False
05069,1708,1736.0,,,,991.0,,1325.4,0.8,1197.0,,251.0,28.0,,,,-717.0,,-382.6,-1707.2,-511.0,,-1457.0,,,,False,,False,False,False,,False
05071,435,264.0,,,,922.0,,172.6,1.9,,,219.0,-171.0,,,,487.0,,-262.4,-433.1,,,-216.0,,,,False,,False,False,,,False
05073,140,112.0,,,,64.0,,114.8,0.0,,,48.0,-28.0,,,,-76.0,,-25.2,-140.0,,,-92.0,,,,False,,True,False,,,False
05075,667,784.0,,,,414.0,,712.7,177.8,,,177.0,117.0,,,,-253.0,,45.7,-489.2,,,-490.0,,,,False,,True,False,,,False
05077,157,96.0,,,,168.0,,40.9,0.3,59.1,,154.0,-61.0,,,,11.0,,-116.1,-156.7,-97.9,,-3.0,,,,True,,False,False,False,,True
05079,422,440.0,,,,187.0,,290.0,0.6,122.3,,2125.0,18.0,,,,-235.0,,-132.0,-421.4,-299.7,,1703.0,,,,False,,False,False,False,,False
05081,277,176.0,,,,158.0,,128.0,0.0,,,188.0,-101.0,,,,-119.0,,-149.0,-277.0,,,-89.0,,,,False,,False,False,,,True
05083,557,416.0,,,,654.0,,402.3,0.2,,,678.0,-141.0,,,,97.0,,-154.7,-556.8,,,121.0,,,,True,,False,False,,,True
05085,1567,776.0,,,,1028.0,,704.5,21.0,314.4,,342.0,-791.0,,,,-539.0,,-862.5,-1546.0,-1252.6,,-1225.0,,,,True,,False,False,False,,False
05087,348,144.0,,,,428.0,,140.6,0.7,,,27.0,-204.0,,,,80.0,,-207.4,-347.3,,,-321.0,,,,True,,False,False,,,False
05089,365,64.0,,,,207.0,,67.3,63.3,,,16.0,-301.0,,,,-158.0,,-297.7,-301.7,,,-349.0,,,,True,,True,False,,,False
05091,1224,1040.0,,,,461.0,,1159.1,347.3,,,9.0,-184.0,,,,-763.0,,-64.9,-876.7,,,-1215.0,,,,False,,True,False,,,False
05093,1634,696.0,,,,1049.0,,465.4,2.0,377.4,,528.0,-938.0,,,,-585.0,,-1168.6,-1632.0,-1256.6,,-1106.0,,,,True,,False,False,False,,False
05095,154,280.0,,,,182.0,,303.2,27.2,,,129.0,126.0,,,,28.0,,149.2,-126.8,,,-25.0,,,,True,,False,False,,,True
05097,168,48.0,,,,150.0,,37.5,0.0,,,32.0,-120.0,,,,-18.0,,-130.5,-168.0,,,-136.0,,,,True,,False,False,,,False
05099,245,128.0,,,,105.0,,100.8,0.1,,,87.0,-117.0,,,,-140.0,,-144.2,-244.9,,,-158.0,,,,False,,False,False,,,False
05101,201,160.0,,,,198.0,,104.0,0.0,,,26.0,-41.0,,,,-3.0,,-97.0,-201.0,,,-175.0,,,,True,,False,False,,,False
05103,627,144.0,,,,259.0,,109.1,0.0,,,79.0,-483.0,,,,-368.0,,-517.9,-627.0,,,-548.0,,,,True,,False,False,,,False
05105,166,168.0,,,,142.0,,283.6,58.7,,,290.0,2.0,,,,-24.0,,117.6,-107.3,,,124.0,,,,False,,False,False,,,False
05107,392,520.0,,,,379.0,,409.9,128.5,,,0.0,128.0,,,,-13.0,,17.9,-263.5,,,-392.0,,,,True,,True,False,,,False
05109,184,80.0,,,,151.0,,67.6,0.0,,,47.0,-104.0,,,,-33.0,,-116.4,-184.0,,,-137.0,,,,True,,False,False,,,False
05111,996,656.0,,,,586.0,,600.2,269.7,,,285.0,-340.0,,,,-410.0,,-395.8,-726.3,,,-711.0,,,,False,,False,False,,,False
