,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UChicagoCHATTOPADHYAY-UnIT,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UChicagoCHATTOPADHYAY-UnIT,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
Georgia,52567,47798.0,10994.0,36155.3,49903.0,55375.0,,38913.4,86532.0,70628.7,49557.7,,53082.0,45452.0,49439.2,19754.5,69843.0,29113.3,71090.8,50395.5,53458.9,60528.4,63263.0,50827.0,,87627.1,37763.8,,43109.0,84235.4,67087.3,35302.3,45650.1,57847.0,41284.1,-4769.0,-41573.0,-16411.7,-2664.0,2808.0,,-13653.6,33965.0,18061.7,-3009.3,,515.0,-7115.0,-3127.8,-32812.5,17276.0,-23453.7,18523.8,-2171.5,891.9,7961.4,10696.0,-1740.0,,35060.1,-14803.2,,-9458.0,31668.4,14520.3,-17264.7,-6916.9,5280.0,-11282.9,False,False,True,True,,False,False,False,True,,True,False,True,False,False,False,False,True,True,False,False,True,,False,False,,False,False,False,False,False,False,False
Hawaii,1377,1204.0,2630.4,1146.6,1240.0,993.0,,1176.8,1232.0,1454.6,2219.3,,,,1590.9,393.2,1543.0,1775.3,1344.3,1653.5,1762.1,2014.3,1417.0,2396.0,,1468.6,1242.7,,1122.6,2181.9,1544.6,1665.8,1726.8,1181.0,976.3,-173.0,1253.4,-230.4,-137.0,-384.0,,-200.2,-145.0,77.6,842.3,,,,213.9,-983.8,166.0,398.3,-32.7,276.5,385.1,637.3,40.0,1019.0,,91.6,-134.3,,-254.4,804.9,167.6,288.8,349.8,-196.0,-400.7,False,False,True,False,,False,True,True,False,,,,False,False,True,False,True,False,False,False,True,False,,True,True,,False,False,True,False,False,False,False
Idaho,18871,19034.0,26948.5,18770.5,20503.0,16814.0,,18492.5,21821.0,38882.7,22553.4,,21326.0,22911.0,22852.9,17776.7,23745.0,10674.5,25531.9,19690.5,18910.8,23931.5,23375.0,24560.0,,20159.3,17830.7,,20502.8,30932.2,20931.1,17559.5,12887.6,20933.0,20795.0,163.0,8077.5,-100.5,1632.0,-2057.0,,-378.5,2950.0,20011.7,3682.4,,2455.0,4040.0,3981.9,-1094.3,4874.0,-8196.5,6660.9,819.5,39.8,5060.5,4504.0,5689.0,,1288.3,-1040.3,,1631.8,12061.2,2060.1,-1311.5,-5983.4,2062.0,1924.0,False,True,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,True,False,False,False,,False,False,,False,False,False,False,False,False,False
Illinois,133689,166602.0,201514.5,166448.2,166602.0,142402.0,,159638.7,311976.0,241167.3,229922.5,,187638.0,179464.0,222155.3,150899.8,176986.0,131977.1,161131.7,159521.5,149295.8,157818.1,198316.0,196068.0,,153606.8,91408.9,,189427.5,312233.1,165418.4,170096.7,104576.2,157038.0,179455.7,32913.0,67825.5,32759.2,32913.0,8713.0,,25949.7,178287.0,107478.3,96233.5,,53949.0,45775.0,88466.3,17210.8,43297.0,-1711.9,27442.7,25832.5,15606.8,24129.1,64627.0,62379.0,,19917.8,-42280.1,,55738.5,178544.1,31729.4,36407.7,-29112.8,23349.0,45766.7,False,True,False,True,,True,False,False,False,,False,False,False,True,False,True,True,True,True,True,False,False,,True,False,,False,False,True,False,True,True,False
Indiana,85836,88592.0,111932.0,89446.2,105966.0,89976.0,,82991.8,138744.0,115098.3,112868.2,,105981.0,100356.0,112479.4,114778.9,112634.0,64728.0,138186.0,90677.0,89149.1,107688.6,110072.0,108181.0,,101643.2,46827.6,,103389.2,142661.1,96307.8,111474.0,73716.1,119025.0,107484.5,2756.0,26096.0,3610.2,20130.0,4140.0,,-2844.2,52908.0,29262.3,27032.2,,20145.0,14520.0,26643.4,28942.9,26798.0,-21108.0,52350.0,4841.0,3313.1,21852.6,24236.0,22345.0,,15807.2,-39008.4,,17553.2,56825.1,10471.8,25638.0,-12119.9,33189.0,21648.5,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False,False,False
Iowa,34182,51296.0,54297.0,50245.9,50983.0,43827.0,,48601.8,86583.0,60294.5,71647.3,,58174.0,61036.0,81037.9,41808.5,62681.0,29640.8,52423.2,39609.0,45513.1,61326.3,66264.0,52683.0,,31948.7,70572.7,,47871.5,103184.3,55531.1,35459.0,22898.6,47528.0,58011.7,17114.0,20115.0,16063.9,16801.0,9645.0,,14419.8,52401.0,26112.5,37465.3,,23992.0,26854.0,46855.9,7626.5,28499.0,-4541.2,18241.2,5427.0,11331.1,27144.3,32082.0,18501.0,,-2233.3,36390.7,,13689.5,69002.3,21349.1,1277.0,-11283.4,13346.0,23829.7,False,True,True,True,,True,False,False,False,,False,False,False,True,False,True,False,True,True,False,False,False,,True,False,,True,False,False,True,True,True,False
Kansas,34297,39086.0,52182.9,39341.0,39341.0,39613.0,,37375.6,64653.0,20236.7,41398.3,,37615.0,38928.0,42683.9,62057.5,53761.0,23908.7,58258.6,12928.5,30104.2,39612.6,46675.0,48743.0,,37372.9,46997.3,,35021.0,52562.8,44691.5,23977.2,18990.6,41275.0,39885.9,4789.0,17885.9,5044.0,5044.0,5316.0,,3078.6,30356.0,-14060.3,7101.3,,3318.0,4631.0,8386.9,27760.5,19464.0,-10388.3,23961.6,-21368.5,-4192.8,5315.6,12378.0,14446.0,,3075.9,12700.3,,724.0,18265.8,10394.5,-10319.8,-15306.4,6978.0,5588.9,False,False,False,False,,True,False,False,False,,True,True,False,False,False,False,False,False,True,False,False,False,,True,False,,True,False,False,False,False,False,False
Kentucky,42156,39542.0,59991.7,39196.0,46979.0,42831.0,,36690.2,40016.0,73269.5,48924.8,,43509.0,50641.0,48806.3,44763.0,54943.0,25747.5,48948.4,49336.5,47029.4,52259.0,51128.0,49805.0,,63878.8,40938.9,,41418.7,55755.0,51851.2,57150.1,38605.0,47384.0,37932.0,-2614.0,17835.7,-2960.0,4823.0,675.0,,-5465.8,-2140.0,31113.5,6768.8,,1353.0,8485.0,6650.3,2607.0,12787.0,-16408.5,6792.4,7180.5,4873.4,10103.0,8972.0,7649.0,,21722.8,-1217.1,,-737.3,13599.0,9695.2,14994.1,-3551.0,5228.0,-4224.0,False,False,False,True,,False,True,False,False,,True,False,False,True,False,False,False,False,False,False,False,False,,False,True,,True,False,False,False,False,False,False
Louisiana,30468,29456.0,54556.9,28596.8,35114.0,38589.0,,30385.0,17726.0,109781.9,27378.8,,26301.0,38343.0,25664.4,282601.1,35864.0,27559.1,55824.8,42214.5,40419.8,52309.5,36401.0,41257.0,,40603.9,8920.7,,25052.6,34301.3,47988.2,30450.2,43645.3,44142.0,42873.7,-1012.0,24088.9,-1871.2,4646.0,8121.0,,-83.0,-12742.0,79313.9,-3089.2,,-4167.0,7875.0,-4803.6,252133.1,5396.0,-2908.9,25356.8,11746.5,9951.8,21841.5,5933.0,10789.0,,10135.9,-21547.3,,-5415.4,3833.3,17520.2,-17.8,13177.3,13674.0,12405.7,False,False,False,False,,True,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,True,False,False,False
Maine,3004,2664.0,1521.6,2668.8,3022.0,3005.0,,2636.0,6413.0,2831.3,3061.7,,2418.0,3462.0,3420.0,3378.1,3662.0,4043.8,6530.9,3054.5,3318.5,4910.9,3471.0,4797.0,,2491.8,1889.8,,2722.3,3891.7,3771.9,2773.8,3248.9,2640.0,3115.9,-340.0,-1482.4,-335.2,18.0,1.0,,-368.0,3409.0,-172.7,57.7,,-586.0,458.0,416.0,374.1,658.0,1039.8,3526.9,50.5,314.5,1906.9,467.0,1793.0,,-512.2,-1114.2,,-281.7,887.7,767.9,-230.2,244.9,-364.0,111.9,False,True,True,True,,False,False,True,True,,False,False,False,False,False,False,False,True,True,False,False,False,,False,False,,True,False,False,True,True,False,True
Maryland,32413,31762.0,49743.2,31583.2,38718.0,39424.0,,28568.5,73738.0,35972.0,35634.5,,32184.0,30630.0,33264.3,45244.8,44483.0,27992.1,59352.9,40754.0,38718.5,46036.9,40327.0,39891.0,,33108.8,28389.3,,30378.0,30597.8,33670.3,54030.6,39312.9,41917.0,37066.0,-651.0,17330.2,-829.8,6305.0,7011.0,,-3844.5,41325.0,3559.0,3221.5,,-229.0,-1783.0,851.3,12831.8,12070.0,-4420.9,26939.9,8341.0,6305.5,13623.9,7914.0,7478.0,,695.8,-4023.7,,-2035.0,-1815.2,1257.3,21617.6,6899.9,9504.0,4653.0,False,False,False,False,,False,False,False,False,,True,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False,False,False
Massachusetts,47862,36026.0,41677.9,36981.2,41767.0,32691.0,,35549.3,58263.0,55355.4,52474.3,,30622.0,39257.0,44863.9,48187.3,45342.0,37858.2,56150.8,50327.5,41212.8,53543.3,43054.0,46414.0,,41383.7,42476.8,,48047.8,50222.2,39033.7,50142.7,37274.9,35718.0,35986.1,-11836.0,-6184.1,-10880.8,-6095.0,-15171.0,,-12312.7,10401.0,7493.4,4612.3,,-17240.0,-8605.0,-2998.1,325.3,-2520.0,-10003.8,8288.8,2465.5,-6649.2,5681.3,-4808.0,-1448.0,,-6478.3,-5385.2,,185.8,2360.2,-8828.3,2280.7,-10587.1,-12144.0,-11875.9,True,True,True,False,,False,True,True,True,,False,True,True,True,True,True,True,True,True,True,True,True,,True,True,,True,True,True,True,True,False,False
Michigan,97555,106458.0,113763.6,107315.0,132648.0,100490.0,,105904.5,192251.0,179529.4,157503.9,,128166.0,134461.0,135264.5,135052.5,140432.0,109104.9,172020.1,171317.0,107740.3,116361.0,129750.0,130776.0,,139015.9,191943.6,,116059.5,164159.4,111361.1,153760.2,56848.5,129078.0,133191.4,8903.0,16208.6,9760.0,35093.0,2935.0,,8349.5,94696.0,81974.4,59948.9,,30611.0,36906.0,37709.5,37497.5,42877.0,11549.9,74465.1,73762.0,10185.3,18806.0,32195.0,33221.0,,41460.9,94388.6,,18504.5,66604.4,13806.1,56205.2,-40706.5,31523.0,35636.4,False,False,False,True,,True,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False,False,False
Minnesota,82329,93848.0,119687.6,94119.6,107874.0,88943.0,,86500.1,185916.0,104692.1,123988.4,,106500.0,126206.0,115473.7,156837.2,119960.0,49643.5,158780.2,87389.0,88883.1,114551.3,116302.0,119007.0,,93197.8,23023.2,,89487.7,141369.7,82125.9,116295.6,78006.1,103819.0,122295.0,11519.0,37358.6,11790.6,25545.0,6614.0,,4171.1,103587.0,22363.1,41659.4,,24171.0,43877.0,33144.7,74508.2,37631.0,-32685.5,76451.2,5060.0,6554.1,32222.3,33973.0,36678.0,,10868.8,-59305.8,,7158.7,59040.7,-203.1,33966.6,-4322.9,21490.0,39966.0,False,False,False,True,,True,False,False,False,,False,False,False,False,False,False,False,True,True,False,False,False,,True,False,,True,False,True,False,True,False,False
Mississippi,21057,18122.0,21361.4,17768.0,19631.0,15174.0,,15105.8,13415.0,24703.0,21730.0,,19645.0,23311.0,21303.8,20188.2,26031.0,11748.2,20985.2,16974.5,19631.4,23347.3,23641.0,24059.0,,23225.4,12630.2,,18540.9,23886.4,21848.3,17580.7,18162.3,21213.0,16974.0,-2935.0,304.4,-3289.0,-1426.0,-5883.0,,-5951.2,-7642.0,3646.0,673.0,,-1412.0,2254.0,246.8,-868.8,4974.0,-9308.8,-71.8,-4082.5,-1425.6,2290.3,2584.0,3002.0,,2168.4,-8426.8,,-2516.1,2829.4,791.3,-3476.3,-2894.7,156.0,-4083.0,True,False,True,False,,False,False,False,True,,True,True,True,True,False,False,True,False,True,True,True,False,,True,False,,True,True,True,False,True,True,False
Missouri,52767,58118.0,76044.3,59372.6,65577.0,48617.0,,64502.9,120224.0,79889.7,77890.2,,67395.0,64879.0,83194.9,70394.9,70874.0,35197.8,92156.3,58036.5,66651.8,79896.5,82233.0,74671.0,,60386.6,90993.7,,61002.3,120719.5,66545.3,55553.1,48108.2,73020.0,66186.3,5351.0,23277.3,6605.6,12810.0,-4150.0,,11735.9,67457.0,27122.7,25123.2,,14628.0,12112.0,30427.9,17627.9,18107.0,-17569.2,39389.3,5269.5,13884.8,27129.5,29466.0,21904.0,,7619.6,38226.7,,8235.3,67952.5,13778.3,2786.1,-4658.8,20253.0,13419.3,False,False,False,True,,False,False,False,False,,False,False,False,False,False,False,False,True,False,False,False,False,,False,False,,False,False,False,True,True,False,False
Montana,12527,17312.0,23278.6,17333.8,18854.0,15141.0,,16527.1,11925.0,23255.3,19083.9,,18086.0,20305.0,21839.1,33147.2,21418.0,7251.1,19183.0,17074.0,17060.8,18706.1,18012.0,21460.0,,22932.9,19187.9,,15246.8,23733.6,21060.8,19862.8,12428.1,21226.0,16810.8,4785.0,10751.6,4806.8,6327.0,2614.0,,4000.1,-602.0,10728.3,6556.9,,5559.0,7778.0,9312.1,20620.2,8891.0,-5275.9,6656.0,4547.0,4533.8,6179.1,5485.0,8933.0,,10405.9,6660.9,,2719.8,11206.6,8533.8,7335.8,-98.9,8699.0,4283.8,False,False,False,True,,True,True,False,False,,False,False,False,False,False,False,False,True,True,False,False,False,,False,False,,True,False,False,False,True,False,True
Nebraska,25539,32390.0,47722.1,33042.9,34452.0,28921.0,,30717.8,41983.0,33834.1,38491.2,,36016.0,39260.0,42031.6,39982.2,42517.0,18511.7,46319.1,25939.0,27307.0,36959.8,37630.0,41232.0,,31178.4,32856.9,,34768.6,48017.7,36166.8,31067.4,16470.7,32774.0,36053.5,6851.0,22183.1,7503.9,8913.0,3382.0,,5178.8,16444.0,8295.1,12952.2,,10477.0,13721.0,16492.6,14443.2,16978.0,-7027.3,20780.1,400.0,1768.0,11420.8,12091.0,15693.0,,5639.4,7317.9,,9229.6,22478.7,10627.8,5528.4,-9068.3,7235.0,10514.5,False,False,False,True,,True,False,False,False,,False,False,False,False,False,False,False,True,True,False,False,False,,True,False,,False,False,False,True,False,False,False
