,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UChicagoCHATTOPADHYAY-UnIT,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UChicagoCHATTOPADHYAY-UnIT,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
Georgia,31807,20760.0,20688.2,21784.3,21566.0,19884.0,,23072.1,37024.0,27186.7,23131.3,22637.1,,22407.0,26590.0,23397.6,17111.7,22234.0,14140.2,22108.7,15510.5,17400.9,19121.8,26856.0,22813.0,,48813.2,19410.8,,20603.5,34595.7,23925.3,,19254.7,22041.0,26332.4,-11047.0,-11118.8,-10022.7,-10241.0,-11923.0,,-8734.9,5217.0,-4620.3,-8675.7,-9169.9,,-9400.0,-5217.0,-8409.4,-14695.3,-9573.0,-17666.8,-9698.3,-16296.5,-14406.1,-12685.2,-4951.0,-8994.0,,17006.2,-12396.2,,-11203.5,2788.7,-7881.7,,-12552.3,-9766.0,-5474.6,False,True,True,False,,True,True,True,True,True,,True,True,True,False,True,False,True,False,False,False,True,True,,False,False,,False,True,True,,False,True,True
Hawaii,656,721.0,1263.0,729.5,692.0,765.0,,750.1,656.0,492.7,721.0,945.0,,,,728.9,569.9,788.0,774.7,695.4,656.0,637.1,763.5,774.0,751.0,,689.6,639.2,,669.3,1037.8,793.5,,695.3,851.0,682.1,65.0,607.0,73.5,36.0,109.0,,94.1,0.0,-163.3,65.0,289.0,,,,72.9,-86.1,132.0,118.7,39.4,0.0,-18.9,107.5,118.0,95.0,,33.6,-16.8,,13.3,381.8,137.5,,39.3,195.0,26.1,False,False,True,False,,False,True,False,True,False,,,,False,False,False,False,True,True,True,False,False,False,,True,True,,True,False,False,,True,False,True
Idaho,10045,8826.0,8807.9,8891.5,8826.0,8226.0,,9048.0,10335.0,7285.1,9201.3,9939.8,,9459.0,10353.0,11497.6,8366.8,9668.0,5394.3,8729.4,9059.5,8083.7,9059.1,9740.0,8906.0,,9508.0,8852.3,,8460.5,16255.0,8613.4,,6202.1,8481.0,10800.7,-1219.0,-1237.1,-1153.5,-1219.0,-1819.0,,-997.0,290.0,-2759.9,-843.7,-105.2,,-586.0,308.0,1452.6,-1678.2,-377.0,-4650.7,-1315.6,-985.5,-1961.3,-985.9,-305.0,-1139.0,,-537.0,-1192.7,,-1584.5,6210.0,-1431.6,,-3842.9,-1564.0,755.7,False,True,False,False,,True,True,False,True,True,,True,True,False,False,True,False,False,True,False,True,True,True,,True,True,,False,False,False,,False,False,True
Illinois,67039,66650.0,76028.8,65269.7,65960.0,61586.0,,70291.5,99729.0,84560.1,48213.8,76595.2,,73495.0,75022.0,93294.3,55809.8,69753.0,49894.7,55331.3,47045.5,55022.0,57292.5,69143.0,60969.0,,62728.9,148978.9,,75551.5,149698.2,61829.1,53228.0,48088.4,64334.0,70913.5,-389.0,8989.8,-1769.3,-1079.0,-5453.0,,3252.5,32690.0,17521.1,-18825.2,9556.2,,6456.0,7983.0,26255.3,-11229.2,2714.0,-17144.3,-11707.7,-19993.5,-12017.0,-9746.5,2104.0,-6070.0,,-4310.1,81939.9,,8512.5,82659.2,-5209.9,-13811.0,-18950.6,-2705.0,3874.5,False,False,False,False,,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False,False,False
Indiana,46011,39825.0,48210.1,40297.3,40481.0,38430.0,,41272.6,59874.0,45499.6,42387.7,45592.6,,45530.0,40664.0,52516.6,39623.0,41616.0,24573.3,28737.7,32581.0,32554.3,37451.6,44928.0,38805.0,,51268.3,67967.2,,42039.3,79460.9,37773.3,35357.6,27203.7,39438.0,59037.7,-6186.0,2199.1,-5713.7,-5530.0,-7581.0,,-4738.4,13863.0,-511.4,-3623.3,-418.4,,-481.0,-5347.0,6505.6,-6388.0,-4395.0,-21437.7,-17273.3,-13430.0,-13456.7,-8559.4,-1083.0,-7206.0,,5257.3,21956.2,,-3971.7,33449.9,-8237.7,-10653.4,-18807.3,-6573.0,13026.7,True,True,True,False,,True,False,True,True,True,,True,True,False,False,True,False,False,False,False,False,True,False,,True,False,,True,False,False,False,False,False,False
Iowa,16206,17976.0,18822.7,17350.7,17976.0,16738.0,,20146.9,36874.0,20989.2,13009.7,20188.3,,19310.0,20640.0,27976.4,13629.3,19654.0,12067.9,13319.9,10903.5,13592.8,15375.0,17921.0,15828.0,,4247.3,39778.5,,18238.1,51572.8,17436.9,,9431.7,16729.0,23747.1,1770.0,2616.7,1144.7,1770.0,532.0,,3940.9,20668.0,4783.2,-3196.3,3982.3,,3104.0,4434.0,11770.4,-2576.7,3448.0,-4138.1,-2886.1,-5302.5,-2613.2,-831.0,1715.0,-378.0,,-11958.7,23572.5,,2032.1,35366.8,1230.9,,-6774.3,523.0,7541.1,False,True,False,True,,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,True,True,True,,False,False,,False,False,True,,False,True,False
Kansas,15717,18434.0,21471.5,18423.7,18062.0,17223.0,,18823.1,34378.0,6875.7,22225.7,17102.8,,16858.0,18758.0,24043.7,20228.2,19009.0,11798.7,15967.7,5344.5,12257.9,16267.6,21934.0,17987.0,,14269.7,25156.0,,17595.5,32119.6,17725.3,,9003.0,15653.0,21003.7,2717.0,5754.5,2706.7,2345.0,1506.0,,3106.1,18661.0,-8841.3,6508.7,1385.8,,1141.0,3041.0,8326.7,4511.2,3292.0,-3918.3,250.7,-10372.5,-3459.1,550.6,6217.0,2270.0,,-1447.3,9439.0,,1878.5,16402.6,2008.3,,-6714.0,-64.0,5286.7,False,True,True,True,,False,False,False,False,True,,True,False,False,False,False,False,True,False,False,True,False,True,,True,False,,True,False,True,,False,True,False
Kentucky,23882,18274.0,23743.3,18045.0,19833.0,18938.0,,19777.1,20539.0,20094.3,26467.3,21925.2,,18594.0,21565.0,23582.8,21914.0,19578.0,11836.8,20690.4,23811.0,19312.8,20241.1,21792.0,18308.0,,39517.2,21325.5,,17674.1,32907.7,19293.7,,16902.9,19833.0,24324.4,-5608.0,-138.7,-5837.0,-4049.0,-4944.0,,-4104.9,-3343.0,-3787.7,2585.3,-1956.8,,-5288.0,-2317.0,-299.2,-1968.0,-4304.0,-12045.2,-3191.6,-71.0,-4569.2,-3640.9,-2090.0,-5574.0,,15635.2,-2556.5,,-6207.9,9025.7,-4588.3,,-6979.1,-4049.0,442.4,True,False,True,True,,True,True,True,True,True,,True,True,True,True,True,False,True,True,True,True,True,True,,False,True,,False,False,True,,False,True,True
Louisiana,16575,13893.0,17747.0,13219.6,14674.0,17237.0,,14673.5,12754.0,41050.3,19499.0,13004.5,,11070.0,16417.0,17712.3,19964.2,15149.0,14145.2,21512.2,16976.5,10962.8,13808.4,17174.0,15612.0,,28892.0,6907.5,,12185.6,25786.8,13786.1,,7731.5,13118.0,16291.3,-2682.0,1172.0,-3355.4,-1901.0,662.0,,-1901.5,-3821.0,24475.3,2924.0,-3570.5,,-5505.0,-158.0,1137.3,3389.2,-1426.0,-2429.8,4937.2,401.5,-5612.2,-2766.6,599.0,-963.0,,12317.0,-9667.5,,-4389.4,9211.8,-2788.9,,-8843.5,-3457.0,-283.7,True,False,True,True,,True,False,False,False,False,,False,True,True,False,True,True,False,True,False,False,True,True,,False,False,,False,False,False,,False,False,True
Maine,1839,1165.0,1240.5,1122.7,1270.0,1209.0,,1362.0,2636.0,1343.5,1397.9,995.5,,896.0,1716.0,1702.7,1486.3,1242.0,1545.0,921.8,1441.5,1172.3,1700.7,1295.0,2009.0,,1008.1,2834.4,,1419.2,2287.2,1277.2,,725.6,1096.0,1553.8,-674.0,-598.5,-716.3,-569.0,-630.0,,-477.0,797.0,-495.5,-441.1,-843.5,,-943.0,-123.0,-136.3,-352.7,-597.0,-294.0,-917.2,-397.5,-666.7,-138.3,-544.0,170.0,,-830.9,995.4,,-419.8,448.2,-561.8,,-1113.4,-743.0,-285.2,True,False,True,True,,True,False,True,True,False,,False,True,True,True,True,True,False,True,True,True,True,True,,False,False,,True,True,True,,False,False,True
Maryland,17936,14477.0,21815.5,14585.9,15091.0,14237.0,,15091.0,25103.0,18870.5,15901.2,16264.0,,14374.0,17245.0,18642.9,18734.6,14968.0,13064.8,13112.8,12565.0,14370.8,15992.1,18352.0,16165.0,,28848.9,15248.9,,14422.6,22730.4,13196.9,,12530.8,16306.0,21208.1,-3459.0,3879.5,-3350.1,-2845.0,-3699.0,,-2845.0,7167.0,934.5,-2034.8,-1672.0,,-3562.0,-691.0,706.9,798.6,-2968.0,-4871.2,-4823.2,-5371.0,-3565.2,-1943.9,416.0,-1771.0,,10912.9,-2687.1,,-3513.4,4794.4,-4739.1,,-5405.2,-1630.0,3272.1,False,True,True,False,,True,False,True,True,True,,False,True,True,True,True,False,False,False,False,True,True,True,,False,True,,False,False,False,,False,True,True
Massachusetts,29548,18314.0,18513.0,18105.5,18638.0,15990.0,,17810.6,27076.0,18262.7,20182.1,23499.3,,16441.0,18298.0,23298.7,16938.0,19196.0,18279.2,21605.1,20375.0,18638.4,19420.9,18952.0,19529.0,,24472.7,31465.7,,20174.1,29672.0,16898.5,,17015.4,19024.0,25287.2,-11234.0,-11035.0,-11442.5,-10910.0,-13558.0,,-11737.4,-2472.0,-11285.3,-9365.9,-6048.7,,-13107.0,-11250.0,-6249.3,-12610.0,-10352.0,-11268.8,-7942.9,-9173.0,-10909.6,-10127.1,-10596.0,-10019.0,,-5075.3,1917.7,,-9373.9,124.0,-12649.5,,-12532.6,-10524.0,-4260.8,True,False,True,False,,False,True,False,True,True,,False,False,True,False,True,False,True,True,True,True,True,True,,True,True,,True,True,False,,False,True,True
Michigan,48424,49131.0,57982.9,49185.2,49158.0,44148.0,,48821.7,79399.0,46487.6,48509.8,67337.0,,58430.0,53910.0,66018.7,42534.5,52273.0,43119.5,41564.0,45224.0,43691.3,43070.5,51961.0,47878.0,,76782.3,108915.3,,50678.8,95205.4,43881.4,48657.9,34726.1,49968.0,77780.6,707.0,9558.9,761.2,734.0,-4276.0,,397.7,30975.0,-1936.4,85.8,18913.0,,10006.0,5486.0,17594.7,-5889.5,3849.0,-5304.5,-6860.0,-3200.0,-4732.7,-5353.5,3537.0,-546.0,,28358.3,60491.3,,2254.8,46781.4,-4542.6,233.9,-13697.9,1544.0,29356.6,False,False,False,False,,True,False,False,True,False,,False,False,False,False,False,False,False,False,False,False,False,True,,False,False,,False,False,False,True,False,False,False
Minnesota,41258,41071.0,46713.5,39761.9,42219.0,39256.0,,40378.7,86100.0,40284.6,54065.2,54562.3,,46639.0,38538.0,60695.8,42218.9,42808.0,21965.3,36970.0,47724.5,43173.9,43812.3,44492.0,38259.0,,45877.1,83686.7,,42730.1,84970.7,33958.6,,53207.2,39329.0,77269.0,-187.0,5455.5,-1496.1,961.0,-2002.0,,-879.3,44842.0,-973.4,12807.2,13304.3,,5381.0,-2720.0,19437.8,960.9,1550.0,-19292.7,-4288.0,6466.5,1915.9,2554.3,3234.0,-2999.0,,4619.1,42428.7,,1472.1,43712.7,-7299.4,,11949.2,-1929.0,36011.0,False,False,False,False,,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,,False,False,False
Mississippi,13518,7539.0,9093.8,7433.4,8838.0,7431.0,,8149.9,9122.0,10422.6,8400.2,9196.5,,8326.0,8233.0,9275.3,7439.6,8262.0,5610.5,10652.3,8838.5,9597.0,8920.4,9762.0,8183.0,,11786.2,6299.7,,7632.3,14554.0,7440.5,,9376.3,7660.0,9238.1,-5979.0,-4424.2,-6084.6,-4680.0,-6087.0,,-5368.1,-4396.0,-3095.4,-5117.8,-4321.5,,-5192.0,-5285.0,-4242.7,-6078.4,-5256.0,-7907.5,-2865.7,-4679.5,-3921.0,-4597.6,-3756.0,-5335.0,,-1731.8,-7218.3,,-5885.7,1036.0,-6077.5,,-4141.7,-5858.0,-4279.9,True,False,True,False,,True,True,True,True,True,,True,True,True,False,True,False,True,True,True,True,True,True,,True,False,,True,True,False,,True,True,True
Missouri,30183,26274.0,34840.7,25619.4,26274.0,24081.0,,28500.3,52113.0,27144.8,22322.2,25932.4,,27224.0,30688.0,36453.3,21316.4,28509.0,17128.3,22299.9,17396.0,23950.5,25341.4,28569.0,26960.0,,29385.1,48824.8,,28142.5,57155.7,25146.7,,17409.6,25351.0,30665.2,-3909.0,4657.7,-4563.6,-3909.0,-6102.0,,-1682.7,21930.0,-3038.2,-7860.8,-4250.6,,-2959.0,505.0,6270.3,-8866.6,-1674.0,-13054.7,-7883.1,-12787.0,-6232.5,-4841.6,-1614.0,-3223.0,,-797.9,18641.8,,-2040.5,26972.7,-5036.3,,-12773.4,-4832.0,482.2,False,False,False,False,,True,False,True,False,False,,True,True,False,False,True,False,False,False,False,False,True,True,,True,False,,True,False,False,,False,False,True
Montana,6224,6303.0,7585.6,6874.4,6682.0,5944.0,,7140.8,5520.0,4688.1,6304.9,7732.1,,5915.0,6682.0,9437.3,8572.7,6732.0,2865.8,8262.7,7118.0,5985.2,6588.0,6556.0,5589.0,,12026.4,9683.9,,5513.2,13642.8,6960.4,,4236.2,6080.0,7841.0,79.0,1361.6,650.4,458.0,-280.0,,916.8,-704.0,-1535.9,80.9,1508.1,,-309.0,458.0,3213.3,2348.7,508.0,-3358.2,2038.7,894.0,-238.8,364.0,332.0,-635.0,,5802.4,3459.9,,-710.8,7418.8,736.4,,-1987.8,-144.0,1617.0,False,False,False,False,,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,,False,False,False
Nebraska,13245,12294.0,13223.4,12900.0,12294.0,10558.0,,12265.0,18821.0,12807.1,11342.9,14579.2,,13561.0,14552.0,16673.8,7418.4,13614.0,7169.4,10858.4,8716.5,10879.2,11852.2,11140.0,11283.0,,9680.0,16897.7,,12550.8,27766.0,12204.1,,8816.7,11136.0,15371.6,-951.0,-21.6,-345.0,-951.0,-2687.0,,-980.0,5576.0,-437.9,-1902.1,1334.2,,316.0,1307.0,3428.8,-5826.6,369.0,-6075.6,-2386.6,-4528.5,-2365.8,-1392.8,-2105.0,-1962.0,,-3565.0,3652.7,,-694.2,14521.0,-1040.9,,-4428.3,-2109.0,2126.6,True,True,False,False,,False,False,True,False,False,,True,False,False,False,True,False,False,False,False,False,False,False,,False,False,,True,False,False,,False,False,False
