,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,QJHong-Encounter,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-QJHong-Encounter,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
01053,325,205.0,,18.0,,,,,434.0,,168.1,56.9,,278.0,,161.0,238.0,-120.0,,-307.0,,,,,109.0,,-156.9,-268.1,,-47.0,,-164.0,-87.0,,False,,,,,True,,False,False,,True,,False,True
01055,2646,1235.0,,1804.0,,,,,1128.0,,1144.6,265.0,,1673.5,,569.3,609.0,-1411.0,,-842.0,,,,,-1518.0,,-1501.4,-2381.0,,-972.5,,-2076.7,-2037.0,,True,,,,,False,,False,False,,True,,False,False
01057,432,170.0,,110.0,,,,,151.0,,198.9,54.4,,215.0,,,102.0,-262.0,,-322.0,,,,,-281.0,,-233.1,-377.6,,-217.0,,,-330.0,,False,,,,,False,,True,False,,True,,,False
01059,509,340.0,,154.0,,,,,441.0,,253.9,123.6,,452.0,,259.9,1089.0,-169.0,,-355.0,,,,,-68.0,,-255.1,-385.4,,-57.0,,-249.1,580.0,,False,,,,,True,,False,False,,True,,False,False
01061,332,355.0,,265.0,,,,,236.0,,555.1,141.2,,383.0,,,244.0,23.0,,-67.0,,,,,-96.0,,223.1,-190.8,,51.0,,,-88.0,,False,,,,,False,,False,False,,False,,,False
01063,116,45.0,,0.0,,,,,44.0,,32.1,12.7,,0.0,,,22.0,-71.0,,-116.0,,,,,-72.0,,-83.9,-103.3,,-116.0,,,-94.0,,False,,,,,False,,False,False,,False,,,False
01065,226,130.0,,55.0,,,,,141.0,,141.2,50.5,,92.0,,,50.0,-96.0,,-171.0,,,,,-85.0,,-84.8,-175.5,,-134.0,,,-176.0,,False,,,,,True,,True,False,,False,,,False
01067,172,180.0,,88.0,,,,,102.0,,651.6,63.3,,182.0,,,112.0,8.0,,-84.0,,,,,-70.0,,479.6,-108.7,,10.0,,,-60.0,,False,,,,,False,,False,False,,False,,,False
01069,1332,760.0,,1600.0,,,,,892.0,,4111.7,454.3,,1027.0,,559.4,579.0,-572.0,,268.0,,,,,-440.0,,2779.7,-877.7,,-305.0,,-772.6,-753.0,,True,,,,,True,,False,False,,True,,False,False
01071,1511,860.0,,1112.0,,,,,756.0,,856.5,168.2,,1021.0,,268.9,398.0,-651.0,,-399.0,,,,,-755.0,,-654.5,-1342.8,,-490.0,,-1242.1,-1113.0,,True,,,,,False,,False,False,,True,,False,False
01073,11622,5780.0,,6612.0,,,,,4059.0,,4881.1,1358.3,,7386.0,,3764.1,5546.0,-5842.0,,-5010.0,,,,,-7563.0,,-6740.9,-10263.7,,-4236.0,,-7857.9,-6076.0,,True,,,,,False,,False,False,,True,,False,False
01075,215,200.0,,200.0,,,,,143.0,,362.6,34.1,,250.0,,,119.0,-15.0,,-15.0,,,,,-72.0,,147.6,-180.9,,35.0,,,-96.0,,False,,,,,False,,False,False,,False,,,False
01077,1853,1015.0,,1295.0,,,,,1129.0,,1730.7,185.7,,2004.0,,471.7,1735.0,-838.0,,-558.0,,,,,-724.0,,-122.3,-1667.3,,151.0,,-1381.3,-118.0,,True,,,,,True,,True,False,,True,,False,True
01079,477,330.0,,389.0,,,,,350.0,,379.1,83.1,,378.0,,,25.0,-147.0,,-88.0,,,,,-127.0,,-97.9,-393.9,,-99.0,,,-452.0,,True,,,,,True,,True,False,,True,,,False
01081,1425,840.0,,1883.0,,,,,1104.0,,601.4,307.3,,1062.0,,747.8,837.0,-585.0,,458.0,,,,,-321.0,,-823.6,-1117.7,,-363.0,,-677.2,-588.0,,True,,,,,True,,False,False,,True,,False,False
01083,1580,945.0,,811.0,,,,,1016.0,,1181.7,168.7,,853.0,,519.4,1072.0,-635.0,,-769.0,,,,,-564.0,,-398.3,-1411.3,,-727.0,,-1060.6,-508.0,,False,,,,,True,,True,False,,False,,False,True
01085,105,85.0,,0.0,,,,,41.0,,66.6,18.3,,53.0,,,2.0,-20.0,,-105.0,,,,,-64.0,,-38.4,-86.7,,-52.0,,,-103.0,,False,,,,,False,,False,False,,False,,,False
01087,214,120.0,,53.0,,,,,77.0,,65.0,28.8,,117.0,,,287.0,-94.0,,-161.0,,,,,-137.0,,-149.0,-185.2,,-97.0,,,73.0,,False,,,,,False,,False,False,,False,,,True
01089,5113,2000.0,,1842.0,,,,,2802.0,,1640.9,632.3,,2561.0,,1365.5,892.0,-3113.0,,-3271.0,,,,,-2311.0,,-3472.1,-4480.7,,-2552.0,,-3747.5,-4221.0,,False,,,,,True,,False,False,,True,,False,False
01091,231,265.0,,0.0,,,,,234.0,,239.0,50.0,,224.0,,138.9,61.0,34.0,,-231.0,,,,,3.0,,8.0,-181.0,,-7.0,,-92.1,-170.0,,False,,,,,True,,True,False,,True,,False,False
01093,408,225.0,,259.0,,,,,316.0,,237.9,59.7,,347.0,,182.9,204.0,-183.0,,-149.0,,,,,-92.0,,-170.1,-348.3,,-61.0,,-225.1,-204.0,,True,,,,,True,,True,False,,True,,False,False
01095,2508,780.0,,1019.0,,,,,1169.0,,589.6,199.5,,1114.0,,362.1,968.0,-1728.0,,-1489.0,,,,,-1339.0,,-1918.4,-2308.5,,-1394.0,,-2145.9,-1540.0,,True,,,,,True,,False,False,,True,,False,True
01097,3502,2060.0,,2918.0,,,,,5701.0,,19238.3,557.8,,3056.0,,1204.2,901.0,-1442.0,,-584.0,,,,,2199.0,,15736.3,-2944.2,,-446.0,,-2297.8,-2601.0,,True,,,,,False,,False,False,,True,,False,False
01099,189,105.0,,26.0,,,,,187.0,,112.2,16.4,,184.0,,,69.0,-84.0,,-163.0,,,,,-2.0,,-76.8,-172.6,,-5.0,,,-120.0,,False,,,,,True,,True,False,,True,,,False
01101,2247,2285.0,,2800.0,,,,,1287.0,,2868.0,414.1,,3124.0,,1611.3,2064.0,38.0,,553.0,,,,,-960.0,,621.0,-1832.9,,877.0,,-635.7,-183.0,,False,,,,,False,,False,False,,False,,False,False
01103,2987,1770.0,,2450.0,,,,,1226.0,,1312.3,240.3,,1561.0,,971.9,1365.0,-1217.0,,-537.0,,,,,-1761.0,,-1674.7,-2746.7,,-1426.0,,-2015.1,-1622.0,,True,,,,,False,,False,False,,False,,False,False
01105,101,75.0,,0.0,,,,,44.0,,57.4,8.0,,85.5,,,90.0,-26.0,,-101.0,,,,,-57.0,,-43.6,-93.0,,-15.5,,,-11.0,,False,,,,,False,,False,False,,True,,,True
01107,377,345.0,,139.0,,,,,180.0,,310.7,55.7,,506.0,,,166.0,-32.0,,-238.0,,,,,-197.0,,-66.3,-321.3,,129.0,,,-211.0,,False,,,,,False,,False,False,,False,,,False
01109,273,220.0,,188.0,,,,,247.0,,179.9,82.1,,249.0,,184.0,286.0,-53.0,,-85.0,,,,,-26.0,,-93.1,-190.9,,-24.0,,-89.0,13.0,,False,,,,,True,,False,False,,True,,False,True
01111,217,180.0,,245.0,,,,,212.0,,171.8,97.8,,170.0,,,111.0,-37.0,,28.0,,,,,-5.0,,-45.2,-119.2,,-47.0,,,-106.0,,True,,,,,True,,False,False,,False,,,False
01113,352,300.0,,437.0,,,,,424.0,,270.6,69.6,,331.0,,198.0,317.0,-52.0,,85.0,,,,,72.0,,-81.4,-282.4,,-21.0,,-154.0,-35.0,,False,,,,,False,,False,False,,True,,False,True
01115,1502,1405.0,,1412.0,,,,,633.0,,1312.4,253.9,,2090.0,,800.0,230.0,-97.0,,-90.0,,,,,-869.0,,-189.6,-1248.1,,588.0,,-702.0,-1272.0,,True,,,,,False,,False,False,,False,,False,False
01117,3653,1890.0,,1893.0,,,,,1107.0,,2004.3,695.2,,2611.5,,974.3,1539.0,-1763.0,,-1760.0,,,,,-2546.0,,-1648.7,-2957.8,,-1041.5,,-2678.7,-2114.0,,True,,,,,False,,True,False,,True,,False,False
01119,124,75.0,,20.0,,,,,84.0,,37.8,32.8,,51.0,,,78.0,-49.0,,-104.0,,,,,-40.0,,-86.2,-91.2,,-73.0,,,-46.0,,False,,,,,True,,False,False,,False,,,True
01121,1106,720.0,,498.0,,,,,660.0,,713.9,225.5,,889.0,,540.5,429.0,-386.0,,-608.0,,,,,-446.0,,-392.1,-880.5,,-217.0,,-565.5,-677.0,,False,,,,,False,,False,False,,True,,False,False
01123,532,405.0,,153.0,,,,,292.0,,271.3,88.8,,641.5,,251.2,347.0,-127.0,,-379.0,,,,,-240.0,,-260.7,-443.2,,109.5,,-280.8,-185.0,,False,,,,,False,,False,False,,True,,False,False
01125,3301,2190.0,,2086.0,,,,,1861.0,,1972.9,853.1,,2593.5,,2008.1,1013.0,-1111.0,,-1215.0,,,,,-1440.0,,-1328.1,-2447.9,,-707.5,,-1292.9,-2288.0,,False,,,,,False,,False,False,,True,,False,False
01127,990,885.0,,1195.0,,,,,683.0,,723.8,143.3,,928.5,,503.0,492.0,-105.0,,205.0,,,,,-307.0,,-266.2,-846.7,,-61.5,,-487.0,-498.0,,False,,,,,False,,False,False,,True,,False,False
01129,174,120.0,,0.0,,,,,257.0,,1094.4,28.0,,135.0,,,59.0,-54.0,,-174.0,,,,,83.0,,920.4,-146.0,,-39.0,,,-115.0,,False,,,,,False,,False,False,,True,,,False
01131,87,30.0,,0.0,,,,,44.0,,42.5,8.2,,30.0,,,25.0,-57.0,,-87.0,,,,,-43.0,,-44.5,-78.8,,-57.0,,,-62.0,,False,,,,,True,,True,False,,False,,,False
01133,492,210.0,,184.0,,,,,273.0,,167.6,71.8,,214.0,,,177.0,-282.0,,-308.0,,,,,-219.0,,-324.4,-420.2,,-278.0,,,-315.0,,False,,,,,True,,False,False,,True,,,False
02013,27,0.0,,0.0,,,,,,,5.3,2.9,,0.0,,,0.0,-27.0,,-27.0,,,,,,,-21.7,-24.1,,-27.0,,,-27.0,,False,,,,,,,True,True,,False,,,False
02016,13,10.0,,0.0,,,,,,,4.7,0.5,,6.0,,,79.0,-3.0,,-13.0,,,,,,,-8.3,-12.5,,-7.0,,,66.0,,False,,,,,,,False,False,,False,,,False
02020,9791,6550.0,,10061.0,,,,,,,10277.3,2007.1,,9830.5,,6371.0,159.0,-3241.0,,270.0,,,,,,,486.3,-7783.9,,39.5,,-3420.0,-9632.0,,True,,,,,,,True,False,,True,,False,False
02050,1213,530.0,,0.0,,,,,,,2984.4,31.3,,859.0,,,187.0,-683.0,,-1213.0,,,,,,,1771.4,-1181.7,,-354.0,,,-1026.0,,False,,,,,,,False,False,,True,,,False
02060,0,0.0,,0.0,,,,,,,0.8,0.0,,,,,,0.0,,0.0,,,,,,,0.8,0.0,,,,,,,True,,,,,,,False,True,,,,,
02068,16,30.0,,0.0,,,,,,,168.5,7.4,,18.0,,,19.0,14.0,,-16.0,,,,,,,152.5,-8.6,,2.0,,,3.0,,False,,,,,,,False,True,,True,,,True
02070,47,75.0,,0.0,,,,,,,167.6,15.3,,24.0,,,66.0,28.0,,-47.0,,,,,,,120.6,-31.7,,-23.0,,,19.0,,False,,,,,,,False,False,,True,,,True
02090,1460,1520.0,,1821.0,,,,,,,2170.3,293.7,,1014.0,,1992.2,447.0,60.0,,361.0,,,,,,,710.3,-1166.3,,-446.0,,532.2,-1013.0,,False,,,,,,,False,False,,False,,False,False
02100,4,5.0,,0.0,,,,,,,10.9,0.2,,5.0,,,4.0,1.0,,-4.0,,,,,,,6.9,-3.8,,1.0,,,0.0,,False,,,,,,,False,False,,False,,,True
02105,0,0.0,,0.0,,,,,,,3.8,1.7,,,,,,0.0,,0.0,,,,,,,3.8,1.7,,,,,,,True,,,,,,,False,False,,,,,
02110,326,485.0,,863.0,,,,,,,743.4,98.9,,610.0,,,505.0,159.0,,537.0,,,,,,,417.4,-227.1,,284.0,,,179.0,,False,,,,,,,False,False,,False,,,False
02122,1850,1290.0,,1866.0,,,,,,,2384.7,88.6,,2262.5,,,1061.0,-560.0,,16.0,,,,,,,534.7,-1761.4,,412.5,,,-789.0,,True,,,,,,,True,False,,True,,,False
02130,128,35.0,,,,,,,,,10.6,6.8,,24.0,,,213.0,-93.0,,,,,,,,,-117.4,-121.2,,-104.0,,,85.0,,,,,,,,,False,False,,False,,,True
02150,313,130.0,,0.0,,,,,,,34.9,16.1,,42.0,,,277.0,-183.0,,-313.0,,,,,,,-278.1,-296.9,,-271.0,,,-36.0,,False,,,,,,,False,False,,False,,,True
02158,220,370.0,,117.0,,,,,,,4388.4,,,506.5,,,99.0,150.0,,-103.0,,,,,,,4168.4,,,286.5,,,-121.0,,True,,,,,,,False,,,False,,,True
02164,35,50.0,,,,,,,,,31.3,0.8,,19.0,,,0.0,15.0,,,,,,,,,-3.7,-34.2,,-16.0,,,-35.0,,,,,,,,,True,False,,False,,,False
02170,3272,2215.0,,0.0,,,,,,,10893.6,402.0,,4510.5,,1128.1,1097.0,-1057.0,,-3272.0,,,,,,,7621.6,-2870.0,,1238.5,,-2143.9,-2175.0,,False,,,,,,,False,False,,False,,False,False
02180,108,55.0,,0.0,,,,,,,151.0,11.3,,34.0,,,25.0,-53.0,,-108.0,,,,,,,43.0,-96.7,,-74.0,,,-83.0,,False,,,,,,,True,False,,False,,,False
02185,270,165.0,,0.0,,,,,,,354.2,31.4,,203.0,,,92.0,-105.0,,-270.0,,,,,,,84.2,-238.6,,-67.0,,,-178.0,,False,,,,,,,True,False,,True,,,False
02188,114,165.0,,0.0,,,,,,,174.8,16.8,,74.0,,,1.0,51.0,,-114.0,,,,,,,60.8,-97.2,,-40.0,,,-113.0,,False,,,,,,,False,False,,True,,,False
02195,7,20.0,,0.0,,,,,,,7.9,0.3,,5.0,,,51.0,13.0,,-7.0,,,,,,,0.9,-6.7,,-2.0,,,44.0,,True,,,,,,,True,True,,True,,,False
02198,24,5.0,,0.0,,,,,,,4.9,3.5,,0.0,,,16.0,-19.0,,-24.0,,,,,,,-19.1,-20.5,,-24.0,,,-8.0,,False,,,,,,,False,False,,False,,,True
02220,141,50.0,,,,,,,,,17.3,6.0,,19.0,,,127.0,-91.0,,,,,,,,,-123.7,-135.0,,-122.0,,,-14.0,,,,,,,,,False,False,,False,,,True
02230,4,10.0,,0.0,,,,,,,631.3,15.1,,,,,2.0,6.0,,-4.0,,,,,,,627.3,11.1,,,,,-2.0,,True,,,,,,,False,False,,,,,True
02240,241,110.0,,0.0,,,,,,,217.5,3.0,,165.0,,,137.0,-131.0,,-241.0,,,,,,,-23.5,-238.0,,-76.0,,,-104.0,,False,,,,,,,True,False,,True,,,True
02261,108,70.0,,,,,,,,,107.9,2.9,,84.0,,,118.0,-38.0,,,,,,,,,-0.1,-105.1,,-24.0,,,10.0,,,,,,,,,True,False,,True,,,True
02275,3,0.0,,0.0,,,,,,,0.4,0.2,,0.0,,,0.0,-3.0,,-3.0,,,,,,,-2.6,-2.8,,-3.0,,,-3.0,,False,,,,,,,True,True,,False,,,False
02282,14,10.0,,0.0,,,,,,,17.9,0.0,,5.0,,,0.0,-4.0,,-14.0,,,,,,,3.9,-14.0,,-9.0,,,-14.0,,False,,,,,,,True,False,,False,,,False
02290,62,65.0,,0.0,,,,,,,100.7,0.9,,18.0,,,59.0,3.0,,-62.0,,,,,,,38.7,-61.1,,-44.0,,,-3.0,,False,,,,,,,False,False,,False,,,False
04001,1820,745.0,,577.0,,,,,1288.0,,440.6,382.1,,594.0,,344.1,103.0,-1075.0,,-1243.0,,,,,-532.0,,-1379.4,-1437.8,,-1226.0,,-1475.9,-1717.0,,False,,,,,True,,False,False,,False,,False,False
04003,2049,495.0,,1172.0,,,,,946.0,,354.5,591.3,,613.0,,224.7,275.0,-1554.0,,-877.0,,,,,-1103.0,,-1694.5,-1457.7,,-1436.0,,-1824.3,-1774.0,,True,,,,,True,,False,True,,True,,False,False
04005,2711,1920.0,,2591.0,,,,,1250.0,,1154.0,1062.6,,2123.0,,921.6,1009.0,-791.0,,-120.0,,,,,-1461.0,,-1557.0,-1648.4,,-588.0,,-1789.4,-1702.0,,True,,,,,False,,False,False,,True,,False,False
04007,1279,710.0,,849.0,,,,,521.0,,737.7,416.5,,626.0,,299.1,565.0,-569.0,,-430.0,,,,,-758.0,,-541.3,-862.5,,-653.0,,-979.9,-714.0,,True,,,,,False,,True,False,,False,,False,False
04009,1094,680.0,,835.0,,,,,331.0,,813.7,154.0,,1128.0,,314.8,455.0,-414.0,,-259.0,,,,,-763.0,,-280.3,-940.0,,34.0,,-779.2,-639.0,,True,,,,,False,,True,False,,True,,False,False
04011,184,10.0,,0.0,,,,,98.0,,328.5,15.7,,36.0,,,5.0,-174.0,,-184.0,,,,,-86.0,,144.5,-168.3,,-148.0,,,-179.0,,False,,,,,True,,True,True,,True,,,False
04012,343,80.0,,67.0,,,,,56.0,,173.5,61.9,,79.0,,,36.0,-263.0,,-276.0,,,,,-287.0,,-169.5,-281.1,,-264.0,,,-307.0,,False,,,,,False,,True,False,,False,,,False
04013,67021,27920.0,,49477.0,,,,,19611.0,,18567.0,12372.1,,34355.0,,14797.5,27401.0,-39101.0,,-17544.0,,,,,-47410.0,,-48454.0,-54648.9,,-32666.0,,-52223.5,-39620.0,,True,,,,,False,,False,False,,True,,False,False
04015,2674,870.0,,830.0,,,,,1020.0,,540.5,792.7,,1575.5,,547.0,819.0,-1804.0,,-1844.0,,,,,-1654.0,,-2133.5,-1881.3,,-1098.5,,-2127.0,-1855.0,,False,,,,,True,,False,False,,True,,False,False
04017,2213,1150.0,,235.0,,,,,1608.0,,526.8,471.4,,2183.0,,521.0,1691.0,-1063.0,,-1978.0,,,,,-605.0,,-1686.2,-1741.6,,-30.0,,-1692.0,-522.0,,False,,,,,True,,False,False,,True,,False,True
04019,15332,5905.0,,63149.0,,,,,3254.0,,3616.1,5715.2,,7490.5,,2865.8,8694.0,-9427.0,,47817.0,,,,,-12078.0,,-11715.9,-9616.8,,-7841.5,,-12466.2,-6638.0,,False,,,,,False,,False,False,,True,,False,True
04021,6319,2140.0,,2320.0,,,,,1227.0,,1507.2,1997.8,,2610.5,,909.3,1796.0,-4179.0,,-3999.0,,,,,-5092.0,,-4811.8,-4321.2,,-3708.5,,-5409.7,-4523.0,,True,,,,,False,,False,False,,True,,False,False
04023,1278,360.0,,0.0,,,,,320.0,,173.1,171.0,,497.0,,162.4,21.0,-918.0,,-1278.0,,,,,-958.0,,-1104.9,-1107.0,,-781.0,,-1115.6,-1257.0,,False,,,,,False,,False,False,,True,,False,False
04025,3334,740.0,,1304.0,,,,,981.0,,617.3,764.1,,1125.0,,599.5,386.0,-2594.0,,-2030.0,,,,,-2353.0,,-2716.7,-2569.9,,-2209.0,,-2734.5,-2948.0,,True,,,,,True,,False,True,,True,,False,False
04027,5305,2150.0,,1572.0,,,,,703.0,,1460.3,998.7,,2780.5,,1624.5,2755.0,-3155.0,,-3733.0,,,,,-4602.0,,-3844.7,-4306.3,,-2524.5,,-3680.5,-2550.0,,False,,,,,False,,False,False,,True,,False,True
05001,320,270.0,,251.0,,,,,200.0,,319.7,104.2,,244.5,,,17.0,-50.0,,-69.0,,,,,-120.0,,-0.3,-215.8,,-75.5,,,-303.0,,False,,,,,False,,True,False,,False,,,False
05003,379,160.0,,0.0,,,,,160.0,,201.9,34.1,,183.0,,,221.0,-219.0,,-379.0,,,,,-219.0,,-177.1,-344.9,,-196.0,,,-158.0,,False,,,,,False,,True,False,,True,,,True
05005,787,530.0,,610.0,,,,,502.0,,869.2,158.9,,747.0,,,504.0,-257.0,,-177.0,,,,,-285.0,,82.2,-628.1,,-40.0,,,-283.0,,True,,,,,False,,True,False,,True,,,False
