,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
Georgia,76466,53604.0,25090.4,62539.2,56131.0,66075.0,,19953.0,81510.8,168848.2,,47534.0,85265.7,29476.8,81910.0,41261.8,51488.5,62024.5,56510.5,61088.8,107234.5,84066.0,,67985.1,14239.4,,26645.2,185052.0,55965.6,9910.4,47108.0,67365.4,-22862.0,-51375.6,-13926.8,-20335.0,-10391.0,,-56513.0,5044.8,92382.2,,-28932.0,8799.7,-46989.2,5444.0,-35204.2,-24977.5,-14441.5,-19955.5,-15377.2,30768.5,7600.0,,-8480.9,-62226.6,,-49820.8,108586.0,-20500.4,-66555.6,-29358.0,-9100.6,False,True,True,True,,False,True,False,,False,True,False,True,False,False,True,True,True,False,True,,True,False,,False,False,True,False,False,True
Hawaii,1979,2124.0,508.2,2010.6,2014.0,1446.0,,807.0,1309.4,2264.3,,,2805.5,1891.4,3252.0,4383.4,2110.0,1580.7,1946.0,2160.6,2756.0,1895.0,,2273.9,1445.4,,1227.6,2568.3,3356.3,1244.4,1812.0,2234.2,145.0,-1470.8,31.6,35.0,-533.0,,-1172.0,-669.6,285.3,,,826.5,-87.6,1273.0,2404.4,131.0,-398.3,-33.0,181.6,777.0,-84.0,,294.9,-533.6,,-751.4,589.3,1377.3,-734.6,-167.0,255.2,False,True,True,False,,False,False,False,,,False,True,False,False,True,False,True,False,False,True,,False,False,,False,False,False,False,False,False
Idaho,28388,27015.0,35909.3,27445.3,30992.0,27421.0,,10930.0,52324.2,39342.4,,30172.0,35161.0,31372.9,40533.0,14248.0,31964.0,39103.8,30192.5,33808.7,34135.1,34800.0,,38542.4,24414.4,,16513.4,32368.6,27131.3,19036.4,16734.0,39292.9,-1373.0,7521.3,-942.7,2604.0,-967.0,,-17458.0,23936.2,10954.4,,1784.0,6773.0,2984.9,12145.0,-14140.0,3576.0,10715.8,1804.5,5420.7,5747.1,6412.0,,10154.4,-3973.6,,-11874.6,3980.6,-1256.7,-9351.6,-11654.0,10904.9,False,True,False,True,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,True,False,False,False
Illinois,216990,255021.0,435974.3,259477.6,291588.0,270012.0,,262073.0,385743.4,398017.5,,229576.0,291277.1,529695.3,292518.0,179972.1,339625.5,453810.2,434484.5,300174.9,300134.3,347066.0,,342507.1,76809.9,,151338.5,271132.2,473653.8,187097.7,167744.0,462153.6,38031.0,218984.3,42487.6,74598.0,53022.0,,45083.0,168753.4,181027.5,,12586.0,74287.1,312705.3,75528.0,-37017.9,122635.5,236820.2,217494.5,83184.9,83144.3,130076.0,,125517.1,-140180.1,,-65651.5,54142.2,256663.8,-29892.3,-49246.0,245163.6,False,False,False,False,,False,False,False,,True,False,False,False,True,False,False,False,False,False,False,,False,False,,False,False,False,True,False,False
Indiana,130132,117495.0,158665.7,116521.9,157114.0,153118.0,,282819.0,191808.2,148893.4,,133009.0,129597.8,195868.6,161565.0,94271.4,142646.5,170953.3,214265.0,189876.3,169537.6,167399.0,,159800.4,39125.9,,102742.2,114226.1,290989.5,136920.3,176869.0,194935.5,-12637.0,28533.7,-13610.1,26982.0,22986.0,,152687.0,61676.2,18761.4,,2877.0,-534.2,65736.6,31433.0,-35860.6,12514.5,40821.3,84133.0,59744.3,39405.6,37267.0,,29668.4,-91006.1,,-27389.8,-15905.9,160857.5,6788.3,46737.0,64803.5,False,False,False,False,,False,False,False,,True,True,False,False,False,True,False,False,False,False,False,,False,False,,False,False,False,True,False,False
Iowa,59830,99903.0,152492.0,95564.1,117426.0,111362.0,,132879.0,111903.8,156462.7,,96040.0,98700.3,221862.0,136340.0,57213.3,137126.0,213541.4,164626.0,102098.8,125150.1,124369.0,,145247.1,40396.0,,69883.7,87394.9,143569.2,42455.1,125441.0,139442.6,40073.0,92662.0,35734.1,57596.0,51532.0,,73049.0,52073.8,96632.7,,36210.0,38870.3,162032.0,76510.0,-2616.7,77296.0,153711.4,104796.0,42268.8,65320.1,64539.0,,85417.1,-19434.0,,10053.7,27564.9,83739.2,-17374.9,65611.0,79612.6,False,True,False,False,,False,False,False,,True,True,False,False,True,False,False,False,False,False,False,,False,True,,True,True,False,True,False,False
Kansas,53840,53253.0,69336.7,54009.9,52080.0,60792.0,,27060.0,32870.4,63662.7,,60077.0,48517.0,44804.3,70732.0,32664.8,60426.0,95089.9,38743.5,37311.6,53095.4,53713.0,,55592.9,52747.1,,40180.8,51149.8,79762.3,25552.6,26573.0,70388.7,-587.0,15496.7,169.9,-1760.0,6952.0,,-26780.0,-20969.6,9822.7,,6237.0,-5323.0,-9035.7,16892.0,-21175.2,6586.0,41249.9,-15096.5,-16528.4,-744.6,-127.0,,1752.9,-1092.9,,-13659.2,-2690.2,25922.3,-28287.4,-27267.0,16548.7,False,True,False,False,,False,False,False,,False,False,False,False,False,False,False,False,False,False,True,,False,False,,False,False,False,False,False,False
Kentucky,61927,49428.0,74969.7,48833.6,59182.0,61053.0,,23421.0,116533.2,76154.6,,45794.0,58563.3,54635.1,72185.0,37498.8,57879.0,56303.4,59504.5,66436.2,62516.4,60994.0,,68069.6,47690.7,,47362.2,55000.8,75097.6,48626.1,65930.0,61437.1,-12499.0,13042.7,-13093.4,-2745.0,-874.0,,-38506.0,54606.2,14227.6,,-16133.0,-3363.7,-7291.9,10258.0,-24428.2,-4048.0,-5623.6,-2422.5,4509.2,589.4,-933.0,,6142.6,-14236.3,,-14564.8,-6926.2,13170.6,-13300.9,4003.0,-489.9,False,False,True,True,,False,False,False,,False,True,True,True,False,True,True,True,True,True,True,,True,False,,False,True,False,False,True,True
Louisiana,45196,30798.0,35591.7,28780.5,26989.0,31509.0,,4618.0,129183.7,149637.1,,25974.0,18024.9,71674.0,42295.0,21770.4,22885.0,18994.0,16136.5,23204.0,31360.3,35830.0,,41964.0,3969.6,,21876.0,18686.4,41347.0,22050.7,34698.0,30318.4,-14398.0,-9604.3,-16415.5,-18207.0,-13687.0,,-40578.0,83987.7,104441.1,,-19222.0,-27171.1,26478.0,-2901.0,-23425.6,-22311.0,-26202.0,-29059.5,-21992.0,-13835.7,-9366.0,,-3232.0,-41226.4,,-23320.0,-26509.6,-3849.0,-23145.3,-10498.0,-14877.6,True,False,False,True,,False,False,False,,False,False,False,True,False,False,False,False,False,True,True,,True,False,,False,False,True,False,True,False
Maine,4336,3573.0,5634.5,3550.5,4580.0,7126.0,,17490.0,3554.8,9914.4,,3841.0,3764.6,18963.2,4987.0,6487.8,4269.5,15228.9,4138.0,4911.8,5456.3,5196.0,,5004.9,1438.3,,2563.6,3767.4,6040.0,4614.0,4328.0,5308.7,-763.0,1298.5,-785.5,244.0,2790.0,,13154.0,-781.2,5578.4,,-495.0,-571.4,14627.2,651.0,2151.8,-66.5,10892.9,-198.0,575.8,1120.3,860.0,,668.9,-2897.7,,-1772.4,-568.6,1704.0,278.0,-8.0,972.7,False,False,True,False,,False,False,False,,True,True,False,True,False,True,False,True,True,False,False,,True,False,,False,True,False,True,True,False
Maryland,48294,33525.0,65112.0,34085.5,44193.0,47600.0,,23491.0,50330.7,52397.6,,33374.0,41190.5,52873.2,47617.0,35797.2,33585.0,70669.5,52280.0,54285.9,48084.8,51978.0,,55073.9,6797.0,,22675.9,30839.1,59050.0,55943.1,37544.0,40225.4,-14769.0,16818.0,-14208.5,-4101.0,-694.0,,-24803.0,2036.7,4103.6,,-14920.0,-7103.5,4579.2,-677.0,-12496.8,-14709.0,22375.5,3986.0,5991.9,-209.2,3684.0,,6779.9,-41497.0,,-25618.1,-17454.9,10756.0,7649.1,-10750.0,-8068.6,False,True,True,True,,False,True,True,,False,True,True,True,True,True,False,True,True,True,True,,True,False,,False,False,True,True,True,True
Massachusetts,65875,49698.0,56488.3,49846.9,63897.0,63443.0,,32566.0,81980.2,175324.2,,54578.0,55807.5,90375.1,73560.0,60345.0,56984.0,99097.9,73663.0,72323.5,69228.6,68460.0,,70266.2,48180.4,,41201.2,49279.3,102747.4,72466.2,53620.0,71649.4,-16177.0,-9386.7,-16028.1,-1978.0,-2432.0,,-33309.0,16105.2,109449.2,,-11297.0,-10067.5,24500.1,7685.0,-5530.0,-8891.0,33222.9,7788.0,6448.5,3353.6,2585.0,,4391.2,-17694.6,,-24673.8,-16595.7,36872.4,6591.2,-12255.0,5774.4,True,True,True,True,,False,True,False,,True,True,False,True,True,True,False,True,True,True,True,,True,False,,False,False,False,True,True,True
Michigan,150784,140157.0,256013.1,139167.7,193880.0,177279.0,,362740.0,288837.7,185760.8,,155687.0,151282.7,226371.0,202321.0,165687.5,184483.5,260681.0,249534.5,167605.9,171955.3,168943.0,,208696.5,240202.7,,112080.2,139881.7,323906.5,102042.9,218599.0,228261.9,-10627.0,105229.1,-11616.3,43096.0,26495.0,,211956.0,138053.7,34976.8,,4903.0,498.7,75587.0,51537.0,14903.5,33699.5,109897.0,98750.5,16821.9,21171.3,18159.0,,57912.5,89418.7,,-38703.8,-10902.3,173122.5,-48741.1,67815.0,77477.9,False,False,False,False,,False,False,False,,True,True,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False,False
Minnesota,129253,123222.0,258070.2,124952.0,165685.0,157487.0,,182834.0,169949.3,182957.3,,178971.0,121609.4,283713.1,156838.0,86568.2,161871.5,183362.8,287032.5,192093.0,170284.8,174461.0,,177212.2,33862.3,,80148.1,108372.1,281572.4,141519.4,92053.0,207419.7,-6031.0,128817.2,-4301.0,36432.0,28234.0,,53581.0,40696.3,53704.3,,49718.0,-7643.6,154460.1,27585.0,-42684.8,32618.5,54109.8,157779.5,62840.0,41031.8,45208.0,,47959.2,-95390.7,,-49104.9,-20880.9,152319.4,12266.4,-37200.0,78166.7,False,True,False,False,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False,False
Mississippi,30118,22365.0,25789.2,22869.3,23714.0,19407.0,,7442.0,35006.9,24696.2,,24897.0,27693.4,26891.8,31553.0,15729.1,20736.5,22791.0,25863.5,30473.8,29033.2,30618.0,,21848.4,13119.5,,19417.4,23289.5,20693.7,25787.0,20723.0,26700.3,-7753.0,-4328.8,-7248.7,-6404.0,-10711.0,,-22676.0,4888.9,-5421.8,,-5221.0,-2424.6,-3226.2,1435.0,-14388.9,-9381.5,-7327.0,-4254.5,355.8,-1084.8,500.0,,-8269.6,-16998.5,,-10700.6,-6828.5,-9424.3,-4331.0,-9395.0,-3417.7,True,True,True,False,,False,True,True,,True,True,True,True,False,False,True,True,True,True,True,,False,False,,False,True,False,True,False,True
Missouri,81826,104463.0,171551.1,106267.5,106804.0,116898.0,,39577.0,99628.2,171360.8,,99516.0,113641.5,156746.6,141977.0,50414.7,112503.0,145481.4,104119.5,117919.8,116322.7,122656.0,,85837.8,57387.7,,77792.8,91075.4,131203.1,74550.1,37940.0,117926.0,22637.0,89725.1,24441.5,24978.0,35072.0,,-42249.0,17802.2,89534.8,,17690.0,31815.5,74920.6,60151.0,-31411.3,30677.0,63655.4,22293.5,36093.8,34496.7,40830.0,,4011.8,-24438.3,,-4033.2,9249.4,49377.1,-7275.9,-43886.0,36100.0,False,False,False,False,,False,True,False,,True,False,False,False,False,False,False,True,False,False,False,,True,False,,True,True,False,True,False,False
Montana,21183,20814.0,17593.8,20869.8,23519.0,18637.0,,16320.0,33028.9,23827.2,,23577.0,27197.5,19527.7,28803.0,10492.0,26577.5,25883.2,23842.0,32292.1,28051.1,24182.0,,37331.8,36674.9,,11671.9,27541.1,27448.7,25761.1,10362.0,27847.9,-369.0,-3589.2,-313.2,2336.0,-2546.0,,-4863.0,11845.9,2644.2,,2394.0,6014.5,-1655.3,7620.0,-10691.0,5394.5,4700.2,2659.0,11109.1,6868.1,2999.0,,16148.8,15491.9,,-9511.1,6358.1,6265.7,4578.1,-10821.0,6664.9,False,True,False,False,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False,False
Nebraska,41734,43317.0,93775.3,42590.0,51492.0,38555.0,,47531.0,74784.0,56955.9,,48925.0,52949.6,77967.6,61749.0,25904.7,55424.0,74626.4,61763.5,49932.7,58871.3,57996.0,,64207.7,39270.4,,40297.6,47496.3,60041.9,23945.8,21941.0,54330.4,1583.0,52041.3,856.0,9758.0,-3179.0,,5797.0,33050.0,15221.9,,7191.0,11215.6,36233.6,20015.0,-15829.3,13690.0,32892.4,20029.5,8198.7,17137.3,16262.0,,22473.7,-2463.6,,-1436.4,5762.3,18307.9,-17788.2,-19793.0,12596.4,False,True,False,False,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,,True,False,False,False,False,False
Nevada,46622,30780.0,37478.4,30298.3,36129.0,37944.0,,7349.0,40494.6,34159.6,,28702.0,37251.0,43225.0,37592.0,28170.5,34356.0,41422.2,41274.0,41051.7,40723.5,42040.0,,47890.6,5337.2,,17794.6,33963.0,32762.5,31095.8,30051.0,51331.4,-15842.0,-9143.6,-16323.7,-10493.0,-8678.0,,-39273.0,-6127.4,-12462.4,,-17920.0,-9371.0,-3397.0,-9030.0,-18451.5,-12266.0,-5199.8,-5348.0,-5570.3,-5898.5,-4582.0,,1268.6,-41284.8,,-28827.4,-12659.0,-13859.5,-15526.2,-16571.0,4709.4,True,False,True,True,,False,True,True,,False,True,True,True,False,True,True,True,True,True,True,,True,False,,False,True,True,True,False,True
New Hampshire,9911,6240.0,15597.0,6168.6,8521.0,9819.0,,5978.0,9755.1,11773.3,,6590.0,5281.4,11989.8,8877.0,5988.9,6736.0,15333.9,12765.0,10035.8,9102.9,9235.0,,10602.8,6498.7,,5065.0,4853.4,15629.7,12236.4,8393.0,7669.2,-3671.0,5686.0,-3742.4,-1390.0,-92.0,,-3933.0,-155.9,1862.3,,-3321.0,-4629.6,2078.8,-1034.0,-3922.1,-3175.0,5422.9,2854.0,124.8,-808.1,-676.0,,691.8,-3412.3,,-4846.0,-5057.6,5718.7,2325.4,-1518.0,-2241.8,False,False,True,True,,False,True,True,,True,False,True,True,False,True,False,True,True,True,True,,True,True,,False,False,False,True,True,True
New Jersey,87250,66462.0,104913.7,65999.9,86250.0,89736.0,,55466.0,129289.6,72898.0,,61596.0,73372.9,78030.7,99378.0,96436.6,76505.5,119922.1,116881.0,119329.8,97518.3,98661.0,,111164.0,66154.0,,53334.1,63365.5,156776.6,107596.3,69701.0,99464.0,-20788.0,17663.7,-21250.1,-1000.0,2486.0,,-31784.0,42039.6,-14352.0,,-25654.0,-13877.1,-9219.3,12128.0,9186.6,-10744.5,32672.1,29631.0,32079.8,10268.3,11411.0,,23914.0,-21096.0,,-33915.9,-23884.5,69526.6,20346.3,-17549.0,12214.0,True,False,True,True,,False,False,True,,False,True,True,True,True,True,False,False,False,True,True,,False,False,,False,False,False,True,True,True
New Mexico,43685,28500.0,29199.5,28407.5,32154.0,31425.0,,8264.0,61544.7,34708.6,,29685.0,37982.9,60973.1,42136.0,24762.3,36615.0,51430.5,40618.5,32038.4,35399.8,33901.0,,34168.8,173627.8,,23892.8,32574.1,46566.9,21025.9,21965.0,33891.5,-15185.0,-14485.5,-15277.5,-11531.0,-12260.0,,-35421.0,17859.7,-8976.4,,-14000.0,-5702.1,17288.1,-1549.0,-18922.7,-7070.0,7745.5,-3066.5,-11646.6,-8285.2,-9784.0,,-9516.2,129942.8,,-19792.2,-11110.9,2881.9,-22659.1,-21720.0,-9793.5,True,False,True,True,,False,False,True,,True,True,False,True,False,True,True,True,True,True,True,,True,False,,False,True,True,False,False,True
