,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USC-SI_kJalpha,USC-SI_kJalpha_RF,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-USC-SI_kJalpha_RF,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-USC-SI_kJalpha_RF
Georgia,94334,44140.0,78155.7,44526.3,46677.0,45272.0,,46797.5,15908.0,67373.3,73237.4,,43264.0,49420.9,44350.5,54404.0,49246.5,63950.5,44311.5,47280.4,54665.9,,47243.4,19968.1,23458.1,56211.5,51369.7,46921.0,66268.7,-50194.0,-16178.3,-49807.7,-47657.0,-49062.0,,-47536.5,-78426.0,-26960.7,-21096.6,,-51070.0,-44913.1,-49983.5,-39930.0,-45087.5,-30383.5,-50022.5,-47053.6,-39668.1,,-47090.6,-74365.9,-70875.9,-38122.5,-42964.3,-47413.0,-28065.3,True,True,True,True,,True,False,True,True,,False,True,True,True,True,True,True,True,True,,True,False,False,True,True,True,True
Hawaii,2687,2992.0,117.0,2899.1,2766.0,6203.0,,2481.5,949.0,4168.0,2243.3,,,2424.9,2654.1,3300.0,2523.5,1984.6,3015.5,4455.3,6038.1,,3416.2,1862.4,1705.3,1860.9,3264.7,2199.0,3749.3,305.0,-2570.0,212.1,79.0,3516.0,,-205.5,-1738.0,1481.0,-443.7,,,-262.1,-32.9,613.0,-163.5,-702.4,328.5,1768.3,3351.1,,729.2,-824.6,-981.7,-826.1,577.7,-488.0,1062.3,False,True,True,False,,True,False,False,False,,,True,True,False,True,False,False,False,False,,False,False,False,False,False,False,False
Idaho,37393,30816.0,20240.4,31498.1,34608.0,36178.0,,25764.2,12445.0,102285.7,29856.5,,33312.0,31003.4,38969.7,36013.0,35352.0,50943.2,30807.5,39930.6,34469.6,,46181.9,32203.8,16881.0,36264.9,34012.6,14961.0,37006.6,-6577.0,-17152.6,-5894.9,-2785.0,-1215.0,,-11628.8,-24948.0,64892.7,-7536.5,,-4081.0,-6389.6,1576.7,-1380.0,-2041.0,13550.2,-6585.5,2537.6,-2923.4,,8788.9,-5189.2,-20512.0,-1128.1,-3380.4,-22432.0,-386.4,False,True,True,True,,False,False,False,False,,True,True,True,True,True,False,False,True,True,,False,True,False,True,True,False,True
Illinois,301997,245724.0,407339.6,243731.0,248780.0,483355.0,,256103.7,175485.0,499563.5,269046.0,,196257.0,222586.6,218357.4,219220.0,341984.5,482131.4,462869.5,395172.1,169436.5,,306150.0,101940.2,147123.7,224691.6,728336.0,192644.0,170480.5,-56273.0,105342.6,-58266.0,-53217.0,181358.0,,-45893.3,-126512.0,197566.5,-32951.0,,-105740.0,-79410.4,-83639.6,-82777.0,39987.5,180134.4,160872.5,93175.1,-132560.5,,4153.0,-200056.8,-154873.3,-77305.4,426339.0,-109353.0,-131516.5,False,False,True,False,,True,False,False,True,,False,False,False,False,True,False,False,False,False,,True,False,False,False,False,False,False
Indiana,169297,105456.0,133716.8,103771.1,138637.0,160287.0,,93721.8,325862.0,214802.5,115200.3,,90517.0,102508.8,149940.0,125781.0,138313.0,186831.1,185925.0,171903.6,101100.5,,159811.5,37928.3,93094.9,100634.5,244572.8,143733.0,142962.3,-63841.0,-35580.2,-65525.9,-30660.0,-9010.0,,-75575.2,156565.0,45505.5,-54096.7,,-78780.0,-66788.2,-19357.0,-43516.0,-30984.0,17534.1,16628.0,2606.6,-68196.5,,-9485.5,-131368.7,-76202.1,-68662.5,75275.8,-25564.0,-26334.7,True,False,True,True,,False,False,True,True,,False,False,True,True,True,True,True,True,False,,True,False,False,False,False,True,True
Iowa,93131,86976.0,140729.4,86873.4,107939.0,122081.0,,84773.8,52681.0,111434.7,72977.4,,80496.0,69198.8,134056.1,98511.0,109139.0,197317.6,143552.5,152025.7,80820.6,,155185.0,52986.0,50020.8,64876.2,233022.6,166010.0,124244.6,-6155.0,47598.4,-6257.6,14808.0,28950.0,,-8357.2,-40450.0,18303.7,-20153.6,,-12635.0,-23932.2,40925.1,5380.0,16008.0,104186.6,50421.5,58894.7,-12310.4,,62054.0,-40145.0,-43110.2,-28254.8,139891.6,72879.0,31113.6,False,False,False,False,,False,False,False,False,,False,False,False,True,False,False,False,False,False,,False,False,False,False,False,False,False
Kansas,71591,47728.0,65706.5,47730.9,53986.0,57200.0,,42105.7,32276.0,54682.6,18485.8,,37391.0,34088.7,71169.8,56095.0,54942.0,95667.7,69061.0,64976.8,43891.7,,70731.7,21803.0,29299.4,36857.6,109724.9,32359.0,63149.4,-23863.0,-5884.5,-23860.1,-17605.0,-14391.0,,-29485.3,-39315.0,-16908.4,-53105.2,,-34200.0,-37502.3,-421.2,-15496.0,-16649.0,24076.7,-2530.0,-6614.2,-27699.3,,-859.3,-49788.0,-42291.6,-34733.4,38133.9,-39232.0,-8441.6,True,True,True,True,,False,False,True,False,,False,False,True,True,True,False,True,True,False,,True,False,False,False,False,False,True
Kentucky,78403,49768.0,50631.6,49708.5,59523.0,61273.0,,45536.9,29942.0,143488.6,63455.9,,46154.0,56079.5,76849.2,60077.0,63893.5,67478.7,68596.5,59307.5,52016.9,,63051.0,21663.8,53384.7,60439.0,73250.9,54144.0,75572.7,-28635.0,-27771.4,-28694.5,-18880.0,-17130.0,,-32866.1,-48461.0,65085.6,-14947.1,,-32249.0,-22323.5,-1553.8,-18326.0,-14509.5,-10924.3,-9806.5,-19095.5,-26386.1,,-15352.0,-56739.2,-25018.3,-17964.0,-5152.1,-24259.0,-2830.3,True,False,True,True,,False,False,False,True,,False,True,True,True,True,True,True,True,True,,True,False,True,True,True,True,True
Louisiana,55462,17700.0,16296.3,17484.5,17436.0,25568.0,,16771.9,4430.0,35821.1,20130.5,,18222.0,19212.3,16544.1,20373.0,18785.5,16212.2,15967.0,20500.6,26699.3,,11806.8,5637.7,15615.7,17182.6,22604.2,12987.0,23259.2,-37762.0,-39165.7,-37977.5,-38026.0,-29894.0,,-38690.1,-51032.0,-19640.9,-35331.5,,-37240.0,-36249.7,-38917.9,-35089.0,-36676.5,-39249.8,-39495.0,-34961.4,-28762.7,,-43655.2,-49824.3,-39846.3,-38279.4,-32857.8,-42475.0,-32202.8,False,False,False,True,,False,False,True,True,,True,True,False,True,True,False,False,True,True,,False,False,False,False,True,False,True
Maine,5527,3752.0,46929.3,3839.2,4300.0,12112.0,,3027.2,3375.0,3301.3,3835.5,,4491.0,3063.5,6690.9,4458.0,4422.5,24354.0,6239.0,5648.4,7088.2,,6450.6,1696.5,2700.3,2420.2,13272.4,8888.0,5682.3,-1775.0,41402.3,-1687.8,-1227.0,6585.0,,-2499.8,-2152.0,-2225.7,-1691.5,,-1036.0,-2463.5,1163.9,-1069.0,-1104.5,18827.0,712.0,121.4,1561.2,,923.6,-3830.5,-2826.7,-3106.8,7745.4,3361.0,155.3,False,True,True,False,,False,False,False,True,,True,False,True,True,True,False,True,True,True,,True,False,False,False,False,False,True
Maryland,59469,30536.0,31833.1,30592.1,31740.0,50797.0,,30077.7,11848.0,47609.0,33688.6,,23735.0,25167.1,24633.8,36822.0,30030.0,37376.5,40241.0,47771.8,37376.9,,47360.6,9386.0,21899.8,29274.4,25947.2,32890.0,38346.8,-28933.0,-27635.9,-28876.9,-27729.0,-8672.0,,-29391.3,-47621.0,-11860.0,-25780.4,,-35734.0,-34301.9,-34835.2,-22647.0,-29439.0,-22092.5,-19228.0,-11697.2,-22092.1,,-12108.4,-50083.0,-37569.2,-30194.6,-33521.8,-26579.0,-21122.2,True,True,True,True,,False,False,True,True,,False,False,False,True,False,True,True,True,True,,True,False,False,False,False,True,True
Massachusetts,82441,44000.0,38339.3,43473.4,48861.0,55971.0,,41884.5,20304.0,113170.2,26513.0,,48036.0,39764.3,31321.4,51087.0,50410.5,77939.3,76068.0,73870.5,52282.8,,55950.0,59506.9,33511.8,50299.2,26508.9,42734.0,63191.4,-38441.0,-44101.7,-38967.6,-33580.0,-26470.0,,-40556.5,-62137.0,30729.2,-55928.0,,-34405.0,-42676.7,-51119.6,-31354.0,-32030.5,-4501.7,-6373.0,-8570.5,-30158.2,,-26491.0,-22934.1,-48929.2,-32141.8,-55932.1,-39707.0,-19249.6,False,False,True,True,,False,False,True,False,,True,False,False,True,True,True,True,True,True,,True,True,False,True,False,False,True
Michigan,197503,126668.0,176152.1,129431.7,149797.0,197182.0,,139978.8,238284.0,149034.5,162056.0,,128059.0,121798.1,152330.5,144441.0,177320.5,283055.9,236095.5,153528.3,101517.2,,205638.7,54028.0,101240.5,116137.6,314490.3,175044.0,153780.9,-70835.0,-21350.9,-68071.3,-47706.0,-321.0,,-57524.2,40781.0,-48468.5,-35447.0,,-69444.0,-75704.9,-45172.5,-53062.0,-20182.5,85552.9,38592.5,-43974.7,-95985.8,,8135.7,-143475.0,-96262.5,-81365.4,116987.3,-22459.0,-43722.1,True,True,True,True,,True,True,True,True,,True,False,True,True,True,False,True,True,False,,True,False,False,False,False,True,True
Minnesota,170327,105928.0,204100.9,104179.6,129552.0,188892.0,,100093.9,102083.0,162645.0,104714.8,,122850.0,86756.5,165007.4,128751.0,137010.5,171866.0,207510.0,203411.4,102877.2,,180138.7,44334.9,57652.7,83858.2,382857.1,74125.0,133715.0,-64399.0,33773.9,-66147.4,-40775.0,18565.0,,-70233.1,-68244.0,-7682.0,-65612.2,,-47477.0,-83570.5,-5319.6,-41576.0,-33316.5,1539.0,37183.0,33084.4,-67449.8,,9811.7,-125992.1,-112674.3,-86468.8,212530.1,-96202.0,-36612.0,True,False,True,True,,False,False,True,False,,True,False,True,True,True,True,True,True,False,,True,False,False,False,False,False,True
Mississippi,37573,22900.0,23424.7,22719.9,24467.0,27715.0,,17218.6,8818.0,34965.1,22116.9,,22639.0,24306.3,22974.5,26103.0,22879.5,29198.0,20887.5,31490.8,32649.3,,34533.0,17672.1,20315.9,28816.3,21752.8,19331.0,30022.0,-14673.0,-14148.3,-14853.1,-13106.0,-9858.0,,-20354.4,-28755.0,-2607.9,-15456.1,,-14934.0,-13266.7,-14598.5,-11470.0,-14693.5,-8375.0,-16685.5,-6082.2,-4923.7,,-3040.0,-19900.9,-17257.1,-8756.7,-15820.2,-18242.0,-7551.0,True,False,True,True,,False,False,True,False,,False,True,True,True,False,True,False,True,True,,True,False,False,True,False,False,True
Missouri,116647,91796.0,65097.1,88418.6,99767.0,135650.0,,90169.9,43384.0,174898.2,111899.2,,87307.0,78380.9,112816.9,104198.0,100586.0,114521.9,128903.0,152018.8,85883.9,,109008.7,75093.7,59648.4,78907.5,95332.4,39649.0,112189.9,-24851.0,-51549.9,-28228.4,-16880.0,19003.0,,-26477.1,-73263.0,58251.2,-4747.8,,-29340.0,-38266.1,-3830.1,-12449.0,-16061.0,-2125.1,12256.0,35371.8,-30763.1,,-7638.3,-41553.3,-56998.6,-37739.5,-21314.6,-76998.0,-4457.1,False,False,True,True,,False,False,False,True,,False,False,True,True,True,True,True,False,False,,True,False,False,False,True,False,True
Montana,28121,24588.0,18148.1,24847.4,25979.0,22527.0,,25175.4,19537.0,88579.3,23903.1,,23108.0,31336.6,53374.2,29827.0,35838.0,36381.5,25419.0,28981.0,28415.1,,24419.2,46706.7,10988.1,33936.3,37533.1,15084.0,32244.3,-3533.0,-9972.9,-3273.6,-2142.0,-5594.0,,-2945.6,-8584.0,60458.3,-4217.9,,-5013.0,3215.6,25253.2,1706.0,7717.0,8260.5,-2702.0,860.0,294.1,,-3701.8,18585.7,-17132.9,5815.3,9412.1,-13037.0,4123.3,False,True,True,False,,True,False,False,False,,False,True,False,True,False,False,True,True,True,,False,False,False,False,False,False,False
Nebraska,56173,46652.0,38287.3,47542.9,54148.0,64309.0,,43393.9,45360.0,72611.8,40452.9,,53198.0,41683.2,73850.3,55482.0,57473.5,86026.7,72380.0,74491.3,44997.9,,62531.4,49944.3,46713.9,41480.0,93429.6,21033.0,57350.2,-9521.0,-17885.7,-8630.1,-2025.0,8136.0,,-12779.1,-10813.0,16438.8,-15720.1,,-2975.0,-14489.8,17677.3,-691.0,1300.5,29853.7,16207.0,18318.3,-11175.1,,6358.4,-6228.7,-9459.1,-14693.0,37256.6,-35140.0,1177.2,False,True,True,True,,False,False,False,False,,True,False,False,True,True,False,False,False,False,,True,True,True,False,False,False,True
Nevada,56882,31940.0,86412.0,31758.0,35358.0,45360.0,,27259.4,7338.0,54074.3,35791.3,,28969.0,27766.8,24090.0,44419.0,35746.5,44555.9,45081.0,51507.1,40430.8,,36878.2,6470.1,16489.6,34262.7,37540.0,30582.0,40565.3,-24942.0,29530.0,-25124.0,-21524.0,-11522.0,,-29622.6,-49544.0,-2807.7,-21090.7,,-27913.0,-29115.2,-32792.0,-12463.0,-21135.5,-12326.1,-11801.0,-5374.9,-16451.2,,-20003.8,-50411.9,-40392.4,-22619.3,-19342.0,-26300.0,-16316.7,False,False,True,True,,False,False,True,True,,False,False,False,True,True,True,True,True,True,,True,False,False,True,True,False,True
New Hampshire,11897,4628.0,4935.4,4717.8,5164.0,8563.0,,4512.7,3346.0,8747.0,6491.6,,6159.0,4590.5,14573.7,5281.0,5029.5,8286.6,6694.0,8658.3,9167.7,,8287.4,7832.5,4868.8,4888.4,5712.0,6504.0,8219.8,-7269.0,-6961.6,-7179.2,-6733.0,-3334.0,,-7384.3,-8551.0,-3150.0,-5405.4,,-5738.0,-7306.5,2676.7,-6616.0,-6867.5,-3610.4,-5203.0,-3238.7,-2729.3,,-3609.6,-4064.5,-7028.2,-7008.6,-6185.0,-5393.0,-3677.2,True,True,True,True,,False,False,True,True,,True,False,True,True,True,True,True,True,True,,True,True,True,True,True,True,True
New Jersey,109404,58784.0,43119.4,58505.5,67867.0,94732.0,,52316.2,67711.0,166653.4,91104.4,,43837.0,52405.2,38482.2,70831.0,68147.5,99414.9,94012.5,91316.3,62500.4,,91218.4,48091.6,49682.3,59903.4,29459.9,55725.0,86181.4,-50620.0,-66284.6,-50898.5,-41537.0,-14672.0,,-57087.8,-41693.0,57249.4,-18299.6,,-65567.0,-56998.8,-70921.8,-38573.0,-41256.5,-9989.1,-15391.5,-18087.7,-46903.6,,-18185.6,-61312.4,-59721.7,-49500.6,-79944.1,-53679.0,-23222.6,False,False,True,True,,False,True,False,True,,False,False,False,True,True,True,True,True,True,,True,False,False,True,False,False,True
New Mexico,53185,28724.0,34363.9,29010.6,33289.0,31323.0,,24151.4,8027.0,60908.1,41623.0,,28417.0,31625.9,38163.3,34322.0,39063.0,62483.4,40687.5,41306.0,34403.1,,36145.6,194877.4,23450.2,33707.2,38146.8,20581.0,34969.0,-24461.0,-18821.1,-24174.4,-19896.0,-21862.0,,-29033.6,-45158.0,7723.1,-11562.0,,-24768.0,-21559.1,-15021.7,-18863.0,-14122.0,9298.4,-12497.5,-11879.0,-18781.9,,-17039.4,141692.4,-29734.8,-19477.8,-15038.2,-32604.0,-18216.0,True,True,True,True,,False,False,True,True,,False,True,True,True,True,True,True,True,True,,True,False,False,True,True,False,True
New York,174465,72260.0,146228.2,71623.1,83066.0,123873.0,,134533.6,36429.0,226728.3,113092.4,,64894.0,58250.5,56381.4,84167.0,75012.5,103500.9,104039.0,122339.1,81424.7,,118373.9,80865.3,47947.8,76231.8,38739.8,78345.0,108158.4,-102205.0,-28236.8,-102841.9,-91399.0,-50592.0,,-39931.4,-138036.0,52263.3,-61372.6,,-109571.0,-116214.5,-118083.6,-90298.0,-99452.5,-70964.1,-70426.0,-52125.9,-93040.3,,-56091.1,-93599.7,-126517.2,-98233.2,-135725.2,-96120.0,-66306.6,True,False,True,True,,True,False,True,True,,False,False,False,True,True,True,True,True,True,,True,True,False,True,False,True,True
North Carolina,97307,66440.0,76022.2,66890.6,76520.0,74914.0,,62831.7,39743.0,111312.3,73491.2,,61164.0,73942.0,77652.7,77973.0,74838.0,93107.4,76491.5,79779.7,71232.9,,87410.1,45701.0,71364.4,89685.7,63939.7,64007.0,111055.9,-30867.0,-21284.8,-30416.4,-20787.0,-22393.0,,-34475.3,-57564.0,14005.3,-23815.8,,-36143.0,-23365.0,-19654.3,-19334.0,-22469.0,-4199.6,-20815.5,-17527.3,-26074.1,,-9896.9,-51606.0,-25942.6,-7621.3,-33367.3,-33300.0,13748.9,True,True,True,True,,False,False,True,True,,False,True,True,True,True,True,True,True,True,,True,False,True,True,False,False,True
