,actual_cases,COVIDhub-baseline,BPagano-RtDriven,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,LANL-GrowthRate,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-LANL-GrowthRate,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-LANL-GrowthRate,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
New Mexico,70513,25347.0,46265.2,,26095.0,2676.0,,20114.0,28683.2,30174.6,16512.9,9701.5,25152.0,-45166.0,-24247.8,,-44418.0,-67837.0,,-50399.0,-41829.8,-40338.4,-54000.1,-60811.5,-45361.0,True,,True,False,,False,True,True,False,False,False
New York,218476,68236.0,20365.6,,15207.2,15486.0,,37048.0,94674.9,59149.5,37794.5,27788.9,55632.0,-150240.0,-198110.4,,-203268.8,-202990.0,,-181428.0,-123801.1,-159326.5,-180681.5,-190687.1,-162844.0,False,,False,False,,False,True,False,False,False,False
North Carolina,144827,97811.0,265217.9,,79981.0,35821.0,,82752.0,104859.4,103609.1,63128.9,45386.6,83526.0,-47016.0,120390.9,,-64846.0,-109006.0,,-62075.0,-39967.6,-41217.9,-81698.1,-99440.4,-61301.0,False,,False,False,,False,True,True,False,False,False
North Dakota,51243,32438.0,29652.2,,24668.2,12435.0,,25887.0,15698.0,54522.5,23428.9,11084.3,41588.0,-18805.0,-21590.8,,-26574.8,-38808.0,,-25356.0,-35545.0,3279.5,-27814.1,-40158.7,-9655.0,False,,False,False,,False,False,True,False,False,True
Ohio,287207,89369.0,52495.0,,87559.3,31006.0,,74388.0,92255.9,106243.1,51197.2,41974.4,90871.0,-197838.0,-234712.0,,-199647.7,-256201.0,,-212819.0,-194951.1,-180963.9,-236009.8,-245232.6,-196336.0,False,,False,False,,False,True,True,False,False,True
Oklahoma,106777,54929.0,158735.7,,50827.3,31101.0,,56800.0,56993.2,65433.0,28348.7,18456.0,32837.0,-51848.0,51958.7,,-55949.7,-75676.0,,-49977.0,-49783.8,-41344.0,-78428.3,-88321.0,-73940.0,False,,False,False,,True,True,True,False,False,False
Oregon,43928,16737.0,13488.2,,15331.7,4745.0,,12907.0,23754.8,30985.6,8903.7,6036.1,18109.0,-27191.0,-30439.8,,-28596.3,-39183.0,,-31021.0,-20173.2,-12942.4,-35024.3,-37891.9,-25819.0,False,,False,False,,False,True,True,False,False,True
Pennsylvania,229967,69097.0,68381.8,,63410.5,16850.0,,59221.0,86692.8,87820.3,34253.4,27964.5,87764.0,-160870.0,-161585.2,,-166556.5,-213117.0,,-170746.0,-143274.2,-142146.7,-195713.6,-202002.5,-142203.0,False,,False,False,,False,True,True,False,False,True
Rhode Island,34446,9779.0,31251.4,,7166.2,1141.0,,6031.0,7728.3,7567.6,3359.5,4409.0,10539.0,-24667.0,-3194.6,,-27279.8,-33305.0,,-28415.0,-26717.7,-26878.4,-31086.5,-30037.0,-23907.0,True,,False,False,,False,False,False,False,False,True
South Carolina,66021,46151.0,45668.4,,37957.6,14782.0,,32806.0,46514.2,39579.4,24741.8,20218.5,32971.0,-19870.0,-20352.6,,-28063.4,-51239.0,,-33215.0,-19506.8,-26441.6,-41279.2,-45802.5,-33050.0,False,,False,False,,False,True,False,False,False,False
South Dakota,52693,32648.0,27445.2,,30267.8,13303.0,,31831.0,19799.6,69994.0,23997.8,11680.1,15125.0,-20045.0,-25247.8,,-22425.2,-39390.0,,-20862.0,-32893.4,17301.0,-28695.2,-41012.9,-37568.0,False,,False,False,,False,False,True,False,False,False
Tennessee,171383,94430.0,83036.3,,97461.9,39159.0,,69218.0,86210.5,117597.2,66135.3,41913.8,67951.0,-76953.0,-88346.7,,-73921.1,-132224.0,,-102165.0,-85172.5,-53785.8,-105247.7,-129469.2,-103432.0,False,,True,False,,False,False,True,False,False,False
Texas,518205,227689.0,220400.7,,163740.8,68686.0,,220418.0,220599.8,209330.8,143723.0,112761.9,149794.0,-290516.0,-297804.3,,-354464.2,-449519.0,,-297787.0,-297605.2,-308874.2,-374482.0,-405443.1,-368411.0,False,,False,False,,False,False,False,False,False,False
Utah,119547,60571.0,20117.8,,57588.4,21722.0,,48222.0,51284.2,49973.3,34587.9,17896.0,30968.0,-58976.0,-99429.2,,-61958.6,-97825.0,,-71325.0,-68262.8,-69573.7,-84959.1,-101651.0,-88579.0,False,,False,False,,False,False,False,False,False,False
Vermont,2968,483.0,160.8,,585.2,42.0,,510.0,815.5,2341.4,256.8,307.4,760.0,-2485.0,-2807.2,,-2382.8,-2926.0,,-2458.0,-2152.5,-626.6,-2711.2,-2660.6,-2208.0,False,,True,False,,True,True,True,False,False,True
Virginia,85935,50302.0,79353.0,,50478.5,8354.0,,34045.0,57728.2,74768.1,25686.6,23004.2,48999.0,-35633.0,-6582.0,,-35456.5,-77581.0,,-51890.0,-28206.8,-11166.9,-60248.4,-62930.8,-36936.0,True,,True,False,,False,True,True,False,False,False
Washington,82976,32452.0,67026.6,,16197.4,7016.0,,14834.0,33348.5,29986.4,16575.8,17584.9,34410.0,-50524.0,-15949.4,,-66778.6,-75960.0,,-68142.0,-49627.5,-52989.6,-66400.2,-65391.1,-48566.0,True,,False,False,,False,True,False,False,False,True
West Virginia,33767,13146.0,20862.8,,10857.0,6881.0,,7689.0,12562.0,39686.3,8921.4,6336.3,10042.0,-20621.0,-12904.2,,-22910.0,-26886.0,,-26078.0,-21205.0,5919.3,-24845.6,-27430.7,-23725.0,True,,False,False,,False,False,True,False,False,False
Wisconsin,271732,130382.0,163284.5,,126688.9,89453.0,,110460.0,101473.3,244783.1,20620.1,117292.7,59284.0,-141350.0,-108447.5,,-145043.1,-182279.0,,-161272.0,-170258.7,-26948.9,-251111.9,-154439.3,-212448.0,True,,False,False,,False,False,True,False,False,False
Wyoming,27125,9527.0,15199.1,,8984.8,5851.0,,8642.0,9247.8,31666.8,6830.8,4568.4,6032.0,-17598.0,-11925.9,,-18140.2,-21274.0,,-18483.0,-17877.2,4541.8,-20294.2,-22556.6,-21093.0,True,,False,False,,False,False,True,False,False,False
US,6602061,2719164.0,3740287.0,3718792.8,1828216.7,1026036.0,2772229.0,2011071.0,2651795.4,3061738.4,1308423.8,1695077.2,2265626.0,-3882897.0,-2861774.0,-2883268.2,-4773844.3,-5576025.0,-3829832.0,-4590990.0,-3950265.6,-3540322.6,-5293637.2,-4906983.8,-4336435.0,True,True,False,False,True,False,False,True,False,False,False
