,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01021,138,90.0,,90.9,,90.0,76.0,,,,,67.8,,85.0,,,127.0,,96.0,,75.0,,90.0,92.9,,108.0,118.0,,,,,85.5,75.4,,,,,110.4,-48.0,,-47.1,,-48.0,-62.0,,,,,-70.2,,-53.0,,,-11.0,,-42.0,,-63.0,,-48.0,-45.1,,-30.0,-20.0,,,,,-52.5,-62.6,,,,,-27.6,,True,,False,False,,,,,False,,False,,,True,,True,,False,,False,True,,True,True,,,,,False,False,,,,,True
01023,16,6.0,,5.7,,6.0,0.0,,,,,10.2,,6.1,,,29.0,,5.9,,5.6,,10.0,10.8,,8.0,17.0,,,,,,5.0,,,,,6.1,-10.0,,-10.3,,-10.0,-16.0,,,,,-5.8,,-9.9,,,13.0,,-10.1,,-10.4,,-6.0,-5.2,,-8.0,1.0,,,,,,-11.0,,,,,-9.9,,False,,False,False,,,,,True,,True,,,False,,False,,False,,True,True,,True,True,,,,,,False,,,,,True
01025,76,37.0,,38.7,,40.0,43.0,,,,,41.8,,39.3,,,64.0,,29.6,,42.3,,46.0,39.7,,42.0,59.0,,,,,,36.9,,,,,47.4,-39.0,,-37.3,,-36.0,-33.0,,,,,-34.2,,-36.7,,,-12.0,,-46.4,,-33.7,,-30.0,-36.3,,-34.0,-17.0,,,,,,-39.1,,,,,-28.6,,True,,True,True,,,,,True,,True,,,True,,False,,True,,True,True,,True,True,,,,,,False,,,,,True
01027,37,36.0,,36.2,,35.0,27.0,,,,,25.8,,36.1,,,39.0,,39.0,,15.5,,31.0,28.1,,41.0,43.0,,,,,,38.9,,,,,35.4,-1.0,,-0.8,,-2.0,-10.0,,,,,-11.2,,-0.9,,,2.0,,2.0,,-21.5,,-6.0,-8.9,,4.0,6.0,,,,,,1.9,,,,,-1.6,,True,,False,False,,,,,False,,True,,,False,,False,,False,,False,False,,False,False,,,,,,False,,,,,False
01029,47,32.0,,25.8,,32.0,39.0,,,,,27.1,,24.5,,,43.0,,82.6,,22.2,,8.0,30.3,,62.0,45.0,,,,,,29.4,,,,,54.5,-15.0,,-21.2,,-15.0,-8.0,,,,,-19.9,,-22.5,,,-4.0,,35.6,,-24.8,,-39.0,-16.7,,15.0,-2.0,,,,,,-17.6,,,,,7.5,,False,,False,True,,,,,False,,False,,,True,,False,,False,,False,False,,False,True,,,,,,False,,,,,True
01031,183,173.0,,175.7,,131.0,121.0,,,,,90.8,,137.8,,,117.0,,125.5,,120.3,,140.0,135.5,,171.0,192.0,,,,,169.4,207.4,,,,,215.3,-10.0,,-7.3,,-52.0,-62.0,,,,,-92.2,,-45.2,,,-66.0,,-57.5,,-62.7,,-43.0,-47.5,,-12.0,9.0,,,,,-13.6,24.4,,,,,32.3,,True,,False,False,,,,,False,,False,,,False,,False,,False,,False,False,,False,True,,,,,False,False,,,,,False
01033,397,196.0,,210.3,,193.0,168.0,,,,,141.3,,180.0,,,232.0,,112.2,,140.6,,214.0,190.9,,213.0,220.0,,,,,163.1,228.1,,,,,272.4,-201.0,,-186.7,,-204.0,-229.0,,,,,-255.7,,-217.0,,,-165.0,,-284.8,,-256.4,,-183.0,-206.1,,-184.0,-177.0,,,,,-233.9,-168.9,,,,,-124.6,,True,,False,False,,,,,False,,False,,,True,,False,,False,,True,False,,True,True,,,,,False,True,,,,,True
01035,51,16.0,,17.8,,15.0,9.0,,,,,16.3,,9.4,,,26.0,,15.1,,16.5,,1.0,12.2,,18.0,22.0,,,,,,14.3,,,,,22.6,-35.0,,-33.2,,-36.0,-42.0,,,,,-34.7,,-41.6,,,-25.0,,-35.9,,-34.5,,-50.0,-38.8,,-33.0,-29.0,,,,,,-36.7,,,,,-28.4,,True,,False,False,,,,,True,,False,,,True,,False,,True,,False,False,,True,True,,,,,,False,,,,,True
01037,49,40.0,,39.6,,29.0,29.0,,,,,18.6,,20.6,,,22.0,,81.6,,10.2,,22.0,27.3,,53.0,40.0,,,,,,34.6,,,,,44.5,-9.0,,-9.4,,-20.0,-20.0,,,,,-30.4,,-28.4,,,-27.0,,32.6,,-38.9,,-27.0,-21.7,,4.0,-9.0,,,,,,-14.4,,,,,-4.5,,False,,False,False,,,,,False,,False,,,False,,False,,False,,False,False,,True,False,,,,,,False,,,,,True
01039,169,73.0,,87.0,,75.0,45.0,,,,,55.8,,58.8,,,94.0,,87.3,,63.1,,68.0,77.7,,86.0,93.0,,,,,69.5,80.2,,,,,91.7,-96.0,,-82.0,,-94.0,-124.0,,,,,-113.2,,-110.2,,,-75.0,,-81.7,,-105.9,,-101.0,-91.3,,-83.0,-76.0,,,,,-99.5,-88.8,,,,,-77.3,,True,,True,False,,,,,False,,False,,,True,,True,,False,,False,True,,True,True,,,,,False,True,,,,,True
01041,30,11.0,,13.2,,13.0,20.0,,,,,19.3,,11.0,,,31.0,,11.9,,16.0,,6.0,13.9,,13.0,28.0,,,,,,15.5,,,,,16.8,-19.0,,-16.8,,-17.0,-10.0,,,,,-10.7,,-19.0,,,1.0,,-18.1,,-14.0,,-24.0,-16.1,,-17.0,-2.0,,,,,,-14.5,,,,,-13.2,,True,,True,True,,,,,True,,True,,,True,,True,,True,,False,True,,True,True,,,,,,True,,,,,True
01043,591,329.0,,328.3,,329.0,295.0,,,,,199.3,,472.9,,,358.0,,244.7,,232.7,,334.0,363.2,,331.0,350.0,,,,,335.9,257.6,,,,,369.8,-262.0,,-262.7,,-262.0,-296.0,,,,,-391.7,,-118.1,,,-233.0,,-346.3,,-358.3,,-257.0,-227.8,,-260.0,-241.0,,,,,-255.1,-333.4,,,,,-221.2,,False,,False,False,,,,,False,,True,,,True,,False,,False,,True,True,,True,True,,,,,True,False,,,,,True
01045,184,84.0,,89.0,,76.0,85.0,,,,,67.5,,76.1,,,118.0,,42.5,,64.6,,67.0,90.5,,62.0,108.0,,,,,78.9,96.8,,,,,66.9,-100.0,,-95.0,,-108.0,-99.0,,,,,-116.5,,-107.9,,,-66.0,,-141.5,,-119.4,,-117.0,-93.5,,-122.0,-76.0,,,,,-105.1,-87.2,,,,,-117.1,,True,,False,True,,,,,False,,False,,,True,,False,,False,,False,True,,False,True,,,,,False,True,,,,,False
01047,116,74.0,,66.6,,78.0,123.0,,,,,61.4,,53.6,,,89.0,,187.3,,69.1,,83.0,62.1,,116.0,92.0,,,,,63.0,51.8,,,,,85.5,-42.0,,-49.4,,-38.0,7.0,,,,,-54.6,,-62.4,,,-27.0,,71.3,,-46.9,,-33.0,-53.9,,0.0,-24.0,,,,,-53.0,-64.2,,,,,-30.5,,False,,True,True,,,,,False,,False,,,True,,False,,False,,True,False,,True,True,,,,,False,False,,,,,True
01049,427,278.0,,271.1,,278.0,396.0,,,,,175.7,,357.9,,,282.0,,405.3,,177.3,,261.0,278.8,,351.0,290.0,,,,,270.3,228.7,,,,,377.2,-149.0,,-155.9,,-149.0,-31.0,,,,,-251.3,,-69.1,,,-145.0,,-21.7,,-249.7,,-166.0,-148.2,,-76.0,-137.0,,,,,-156.7,-198.3,,,,,-49.8,,False,,False,True,,,,,False,,True,,,True,,True,,False,,False,True,,True,True,,,,,False,False,,,,,True
01051,378,183.0,,184.2,,183.0,130.0,,,,,140.0,,187.6,,,183.0,,271.5,,145.4,,151.0,184.5,,229.0,243.0,,,,,180.1,199.8,,,,,192.6,-195.0,,-193.8,,-195.0,-248.0,,,,,-238.0,,-190.4,,,-195.0,,-106.5,,-232.6,,-227.0,-193.5,,-149.0,-135.0,,,,,-197.9,-178.2,,,,,-185.4,,True,,False,False,,,,,False,,True,,,False,,True,,False,,False,True,,True,True,,,,,False,True,,,,,True
01053,113,43.0,,41.9,,43.0,54.0,,,,,41.4,,38.6,,,95.0,,72.6,,35.5,,34.0,35.4,,62.0,64.0,,,,,,53.2,,,,,57.3,-70.0,,-71.1,,-70.0,-59.0,,,,,-71.6,,-74.4,,,-18.0,,-40.4,,-77.5,,-79.0,-77.6,,-51.0,-49.0,,,,,,-59.8,,,,,-55.7,,False,,False,True,,,,,False,,False,,,True,,True,,False,,False,False,,True,True,,,,,,True,,,,,True
01055,892,476.0,,475.4,,457.0,514.0,,,,,299.9,,540.3,,,372.0,,490.7,,364.8,,608.0,437.7,,577.0,494.0,,,,,520.1,450.2,,,,,354.2,-416.0,,-416.6,,-435.0,-378.0,,,,,-592.1,,-351.7,,,-520.0,,-401.3,,-527.2,,-284.0,-454.3,,-315.0,-398.0,,,,,-371.9,-441.8,,,,,-537.8,,False,,False,True,,,,,False,,True,,,False,,True,,False,,True,False,,True,True,,,,,True,False,,,,,False
01057,129,98.0,,98.1,,98.0,41.0,,,,,44.1,,73.9,,,64.0,,123.8,,45.7,,103.0,73.2,,127.0,95.0,,,,,,79.4,,,,,100.8,-31.0,,-30.9,,-31.0,-88.0,,,,,-84.9,,-55.1,,,-65.0,,-5.2,,-83.3,,-26.0,-55.8,,-2.0,-34.0,,,,,,-49.6,,,,,-28.2,,True,,False,False,,,,,False,,False,,,False,,True,,False,,True,False,,True,False,,,,,,False,,,,,True
01059,159,106.0,,102.5,,103.0,66.0,,,,,86.3,,93.1,,,153.0,,102.9,,82.5,,105.0,100.6,,125.0,118.0,,,,,105.7,86.4,,,,,147.9,-53.0,,-56.5,,-56.0,-93.0,,,,,-72.7,,-65.9,,,-6.0,,-56.1,,-76.5,,-54.0,-58.4,,-34.0,-41.0,,,,,-53.3,-72.6,,,,,-11.1,,False,,False,False,,,,,False,,False,,,True,,False,,False,,False,False,,True,True,,,,,False,False,,,,,True
01061,84,66.0,,66.6,,67.0,52.0,,,,,44.2,,50.2,,,68.0,,57.8,,47.6,,82.0,74.3,,65.0,79.0,,,,,,63.1,,,,,77.1,-18.0,,-17.4,,-17.0,-32.0,,,,,-39.8,,-33.8,,,-16.0,,-26.2,,-36.4,,-2.0,-9.7,,-19.0,-5.0,,,,,,-20.9,,,,,-6.9,,True,,True,False,,,,,False,,False,,,True,,False,,False,,True,True,,False,True,,,,,,False,,,,,True
01063,40,30.0,,30.2,,20.0,2.0,,,,,14.2,,15.0,,,16.0,,49.7,,9.1,,11.0,19.6,,37.0,29.0,,,,,,20.8,,,,,35.3,-10.0,,-9.8,,-20.0,-38.0,,,,,-25.8,,-25.0,,,-24.0,,9.7,,-30.9,,-29.0,-20.4,,-3.0,-11.0,,,,,,-19.2,,,,,-4.7,,True,,False,False,,,,,False,,False,,,False,,True,,False,,False,False,,True,False,,,,,,False,,,,,True
01065,54,60.0,,61.0,,53.0,40.0,,,,,31.3,,43.9,,,38.0,,53.1,,31.4,,54.0,49.5,,66.0,61.0,,,,,,29.7,,,,,55.1,6.0,,7.0,,-1.0,-14.0,,,,,-22.7,,-10.1,,,-16.0,,-0.9,,-22.6,,0.0,-4.5,,12.0,7.0,,,,,,-24.3,,,,,1.1,,False,,True,False,,,,,False,,False,,,False,,True,,False,,True,True,,False,False,,,,,,False,,,,,True
01067,67,18.0,,16.9,,18.0,16.0,,,,,25.3,,19.0,,,39.0,,15.2,,20.4,,27.0,35.9,,17.0,36.0,,,,,,21.7,,,,,33.1,-49.0,,-50.1,,-49.0,-51.0,,,,,-41.7,,-48.0,,,-28.0,,-51.8,,-46.6,,-40.0,-31.1,,-50.0,-31.0,,,,,,-45.3,,,,,-33.9,,False,,False,False,,,,,True,,True,,,True,,False,,True,,True,True,,False,True,,,,,,True,,,,,True
01069,394,261.0,,263.8,,262.0,304.0,,,,,193.5,,275.9,,,230.0,,301.0,,159.1,,416.0,303.7,,323.0,323.0,,,,,256.6,279.7,,,,,250.7,-133.0,,-130.2,,-132.0,-90.0,,,,,-200.5,,-118.1,,,-164.0,,-93.0,,-234.9,,22.0,-90.3,,-71.0,-71.0,,,,,-137.4,-114.3,,,,,-143.3,,True,,True,True,,,,,False,,True,,,False,,True,,False,,True,True,,True,True,,,,,False,True,,,,,False
01071,635,319.0,,325.8,,289.0,312.0,,,,,156.0,,292.5,,,203.0,,248.9,,143.3,,278.0,300.1,,366.0,320.0,,,,,309.7,212.0,,,,,310.8,-316.0,,-309.2,,-346.0,-323.0,,,,,-479.0,,-342.5,,,-432.0,,-386.1,,-491.7,,-357.0,-334.9,,-269.0,-315.0,,,,,-325.3,-423.0,,,,,-324.2,,True,,False,False,,,,,False,,False,,,False,,False,,False,,False,False,,True,True,,,,,False,False,,,,,False
01073,3688,2287.0,,2205.9,2599.1,2122.0,2039.0,,,,,1456.7,,2838.4,,,1906.0,,2752.3,,1516.1,,2440.0,2428.8,,2903.0,2643.0,,,,,2339.7,2075.7,1939.0,,,,1971.5,-1401.0,,-1482.1,-1088.9,-1566.0,-1649.0,,,,,-2231.3,,-849.6,,,-1782.0,,-935.7,,-2171.9,,-1248.0,-1259.2,,-785.0,-1045.0,,,,,-1348.3,-1612.3,-1749.0,,,,-1716.5,,False,True,False,False,,,,,False,,True,,,False,,True,,False,,True,True,,True,True,,,,,True,False,False,,,,False
01075,65,70.0,,69.1,,49.0,42.0,,,,,28.4,,41.8,,,49.0,,57.7,,23.7,,33.0,46.2,,73.0,65.0,,,,,,50.8,,,,,83.0,5.0,,4.1,,-16.0,-23.0,,,,,-36.6,,-23.2,,,-16.0,,-7.3,,-41.3,,-32.0,-18.8,,8.0,0.0,,,,,,-14.2,,,,,18.0,,True,,False,False,,,,,False,,False,,,False,,False,,False,,False,False,,False,True,,,,,,False,,,,,False
01077,515,366.0,,365.7,,367.0,379.0,,,,,223.3,,373.3,,,387.0,,447.1,,293.2,,481.5,353.8,,464.0,404.0,,,,,382.4,269.7,,,,,369.0,-149.0,,-149.3,,-148.0,-136.0,,,,,-291.7,,-141.7,,,-128.0,,-67.9,,-221.8,,-33.5,-161.2,,-51.0,-111.0,,,,,-132.6,-245.3,,,,,-146.0,,False,,True,True,,,,,False,,True,,,True,,True,,False,,True,False,,True,True,,,,,True,False,,,,,True
01079,142,78.0,,79.5,,89.0,94.0,,,,,58.1,,57.7,,,139.0,,182.4,,58.9,,89.0,94.1,,114.0,101.0,,,,,,58.6,,,,,86.6,-64.0,,-62.5,,-53.0,-48.0,,,,,-83.9,,-84.3,,,-3.0,,40.4,,-83.1,,-53.0,-47.9,,-28.0,-41.0,,,,,,-83.4,,,,,-55.4,,True,,True,True,,,,,False,,False,,,True,,True,,False,,True,True,,True,True,,,,,,False,,,,,True
01081,374,279.0,,280.4,,279.0,299.0,,,,,195.2,,294.6,,,348.0,,267.7,,220.8,,316.0,270.0,,336.0,350.0,,,,,244.5,299.8,260.0,,,,282.4,-95.0,,-93.6,,-95.0,-75.0,,,,,-178.8,,-79.4,,,-26.0,,-106.3,,-153.2,,-58.0,-104.0,,-38.0,-24.0,,,,,-129.5,-74.2,-114.0,,,,-91.6,,True,,False,True,,,,,False,,True,,,True,,False,,False,,True,False,,True,True,,,,,False,True,False,,,,True
01083,446,281.0,,281.3,,296.0,286.0,,,,,175.2,,387.2,,,321.0,,344.5,,201.4,,346.0,306.5,,357.0,328.0,,,,,270.6,268.5,,,,,396.8,-165.0,,-164.7,,-150.0,-160.0,,,,,-270.8,,-58.8,,,-125.0,,-101.5,,-244.6,,-100.0,-139.5,,-89.0,-118.0,,,,,-175.4,-177.5,,,,,-49.2,,True,,True,True,,,,,False,,True,,,True,,True,,False,,True,True,,True,True,,,,,False,False,,,,,True
01085,34,17.0,,14.2,,15.0,8.0,,,,,22.4,,18.0,,,16.0,,23.1,,14.8,,12.0,14.6,,27.0,17.0,,,,,,9.6,,,,,21.6,-17.0,,-19.8,,-19.0,-26.0,,,,,-11.6,,-16.0,,,-18.0,,-10.9,,-19.2,,-22.0,-19.4,,-7.0,-17.0,,,,,,-24.4,,,,,-12.4,,False,,False,False,,,,,True,,True,,,False,,True,,False,,False,False,,True,False,,,,,,False,,,,,True
01087,41,49.0,,47.2,,44.0,64.0,,,,,24.6,,31.5,,,28.0,,43.7,,30.9,,44.0,42.5,,51.0,50.0,,,,,,40.9,,,,,54.6,8.0,,6.2,,3.0,23.0,,,,,-16.4,,-9.5,,,-13.0,,2.7,,-10.1,,3.0,1.5,,10.0,9.0,,,,,,-0.1,,,,,13.6,,True,,True,False,,,,,False,,False,,,False,,True,,False,,True,True,,False,False,,,,,,True,,,,,False
01089,1631,1131.0,,1127.3,,1006.0,1021.0,,,,,698.7,,1056.8,,,989.0,,979.5,,714.0,,1254.0,1178.0,,1343.0,1203.0,,,,,1170.9,1111.0,1006.0,,,,833.9,-500.0,,-503.7,,-625.0,-610.0,,,,,-932.3,,-574.2,,,-642.0,,-651.5,,-917.0,,-377.0,-453.0,,-288.0,-428.0,,,,,-460.1,-520.0,-625.0,,,,-797.1,,False,,False,False,,,,,False,,False,,,False,,False,,False,,True,True,,True,True,,,,,True,False,False,,,,False
