,actual_cases,COVIDhub-baseline,BPagano-RtDriven,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,LANL-GrowthRate,MITCovAlliance-SIR,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
01051,1376,903.0,,,,,,320.0,,774.1,438.2,3.5,533.7,870.0,-473.0,,,,,,-1056.0,,-601.9,-937.8,-1372.5,-842.3,-506.0,,,,,,False,,False,False,False,False,False
01053,393,126.0,,,,,,320.0,,119.4,14.9,0.1,59.4,48.0,-267.0,,,,,,-73.0,,-273.6,-378.1,-392.9,-333.6,-345.0,,,,,,True,,False,False,False,False,False
01055,3198,1274.0,,,,,,924.0,,809.4,937.3,5.0,780.8,792.0,-1924.0,,,,,,-2274.0,,-2388.6,-2260.7,-3193.0,-2417.2,-2406.0,,,,,,False,,False,False,False,False,False
01057,499,273.0,,,,,,132.0,,200.3,80.6,0.5,,464.0,-226.0,,,,,,-367.0,,-298.7,-418.4,-498.5,,-35.0,,,,,,False,,False,False,False,,True
01059,711,616.0,,,,,,351.0,,251.7,316.2,7.4,368.9,760.0,-95.0,,,,,,-360.0,,-459.3,-394.8,-703.6,-342.1,49.0,,,,,,False,,False,False,False,False,True
01061,480,266.0,,,,,,166.0,,361.8,52.8,0.0,,76.0,-214.0,,,,,,-314.0,,-118.2,-427.2,-480.0,,-404.0,,,,,,False,,True,False,False,,False
01063,132,21.0,,,,,,42.0,,90.4,7.4,0.0,,76.0,-111.0,,,,,,-90.0,,-41.6,-124.6,-132.0,,-56.0,,,,,,True,,True,False,False,,True
01065,284,266.0,,,,,,101.0,,195.0,42.9,0.5,,76.0,-18.0,,,,,,-183.0,,-89.0,-241.1,-283.5,,-208.0,,,,,,False,,False,False,False,,False
01067,292,196.0,,,,,,76.0,,237.1,45.8,0.0,,105.0,-96.0,,,,,,-216.0,,-54.9,-246.2,-292.0,,-187.0,,,,,,False,,True,False,False,,False
01069,2017,819.0,,,,,,561.0,,721.5,425.6,0.8,513.9,217.0,-1198.0,,,,,,-1456.0,,-1295.5,-1591.4,-2016.2,-1503.1,-1800.0,,,,,,False,,False,False,False,False,False
01071,1880,1155.0,,,,,,605.0,,1028.3,831.6,244.1,456.3,843.0,-725.0,,,,,,-1275.0,,-851.7,-1048.4,-1635.9,-1423.7,-1037.0,,,,,,False,,False,False,False,False,False
01073,13799,6013.0,,,,,,3324.0,,4308.7,4342.8,201.1,3491.0,5794.0,-7786.0,,,,,,-10475.0,,-9490.3,-9456.2,-13597.9,-10308.0,-8005.0,,,,,,False,,False,False,False,False,False
01075,293,231.0,,,,,,119.0,,142.0,149.3,0.3,,182.0,-62.0,,,,,,-174.0,,-151.0,-143.7,-292.7,,-111.0,,,,,,False,,False,False,False,,False
01077,2549,805.0,,,,,,923.0,,554.1,595.6,19.9,595.0,562.0,-1744.0,,,,,,-1626.0,,-1994.9,-1953.4,-2529.1,-1954.0,-1987.0,,,,,,True,,False,False,False,False,False
01079,628,497.0,,,,,,308.0,,563.1,319.9,91.3,,49.0,-131.0,,,,,,-320.0,,-64.9,-308.1,-536.7,,-579.0,,,,,,False,,True,False,False,,False
01081,1723,980.0,,,,,,747.0,,619.7,507.0,5.4,620.8,429.0,-743.0,,,,,,-976.0,,-1103.3,-1216.0,-1717.6,-1102.2,-1294.0,,,,,,False,,False,False,False,False,False
01083,1997,1260.0,,,,,,801.0,,1758.2,977.3,592.7,318.6,683.0,-737.0,,,,,,-1196.0,,-238.8,-1019.7,-1404.3,-1678.4,-1314.0,,,,,,False,,True,False,False,False,False
01085,135,119.0,,,,,,33.0,,74.1,16.8,0.1,,0.0,-16.0,,,,,,-102.0,,-60.9,-118.2,-134.9,,-135.0,,,,,,False,,False,False,False,,False
01087,252,105.0,,,,,,51.0,,122.2,7.8,0.0,,70.0,-147.0,,,,,,-201.0,,-129.8,-244.2,-252.0,,-182.0,,,,,,False,,True,False,False,,False
01089,5990,2870.0,,,,,,2200.0,,1933.1,2344.9,72.8,1191.0,859.0,-3120.0,,,,,,-3790.0,,-4056.9,-3645.1,-5917.2,-4799.0,-5131.0,,,,,,False,,False,False,False,False,False
01091,336,560.0,,,,,,162.0,,1001.1,194.4,112.2,,194.0,224.0,,,,,,-174.0,,665.1,-141.6,-223.8,,-142.0,,,,,,True,,False,True,True,,True
01093,498,119.0,,,,,,261.0,,80.7,48.6,0.2,69.9,46.0,-379.0,,,,,,-237.0,,-417.3,-449.4,-497.8,-428.1,-452.0,,,,,,True,,False,False,False,False,False
01095,2830,721.0,,,,,,918.0,,541.0,405.3,7.6,273.5,864.0,-2109.0,,,,,,-1912.0,,-2289.0,-2424.7,-2822.4,-2556.5,-1966.0,,,,,,True,,False,False,False,False,True
01097,6508,2079.0,,,,,,3220.0,,1209.7,1669.1,17.9,1456.9,3197.0,-4429.0,,,,,,-3288.0,,-5298.3,-4838.9,-6490.1,-5051.1,-3311.0,,,,,,True,,False,False,False,False,True
01099,230,112.0,,,,,,141.0,,79.3,8.7,0.0,,170.0,-118.0,,,,,,-89.0,,-150.7,-221.3,-230.0,,-60.0,,,,,,True,,False,False,False,,True
01101,3337,2618.0,,,,,,871.0,,1500.1,1107.1,33.8,2338.4,10845.0,-719.0,,,,,,-2466.0,,-1836.9,-2229.9,-3303.2,-998.6,7508.0,,,,,,False,,False,False,False,False,False
01103,3568,1771.0,,,,,,979.0,,1455.6,934.2,537.2,865.9,1961.0,-1797.0,,,,,,-2589.0,,-2112.4,-2633.8,-3030.8,-2702.1,-1607.0,,,,,,False,,False,False,False,False,True
01105,127,77.0,,,,,,36.0,,111.2,6.0,0.0,,251.0,-50.0,,,,,,-91.0,,-15.8,-121.0,-127.0,,124.0,,,,,,False,,True,False,False,,False
01107,514,462.0,,,,,,153.0,,342.1,342.0,66.3,,300.0,-52.0,,,,,,-361.0,,-171.9,-172.0,-447.7,,-214.0,,,,,,False,,False,False,False,,False
01109,362,231.0,,,,,,167.0,,181.9,26.6,0.0,352.5,304.0,-131.0,,,,,,-195.0,,-180.1,-335.4,-362.0,-9.5,-58.0,,,,,,False,,False,False,False,True,True
01111,291,315.0,,,,,,127.0,,288.0,179.1,0.6,,143.0,24.0,,,,,,-164.0,,-3.0,-111.9,-290.4,,-148.0,,,,,,False,,True,False,False,,False
01113,458,385.0,,,,,,267.0,,201.8,64.4,0.2,194.8,683.0,-73.0,,,,,,-191.0,,-256.2,-393.6,-457.8,-263.2,225.0,,,,,,False,,False,False,False,False,False
01115,1973,1134.0,,,,,,479.0,,875.2,854.2,18.9,603.1,297.0,-839.0,,,,,,-1494.0,,-1097.8,-1118.8,-1954.1,-1369.9,-1676.0,,,,,,False,,False,False,False,False,False
01117,4438,2226.0,,,,,,813.0,,1884.6,1571.3,155.5,1125.1,1664.0,-2212.0,,,,,,-3625.0,,-2553.4,-2866.7,-4282.5,-3312.9,-2774.0,,,,,,False,,False,False,False,False,False
01119,148,70.0,,,,,,80.0,,81.6,3.5,0.0,,213.0,-78.0,,,,,,-68.0,,-66.4,-144.5,-148.0,,65.0,,,,,,True,,True,False,False,,True
01121,1383,1078.0,,,,,,483.0,,1048.6,349.7,0.4,674.9,821.0,-305.0,,,,,,-900.0,,-334.4,-1033.3,-1382.6,-708.1,-562.0,,,,,,False,,False,False,False,False,False
01123,667,329.0,,,,,,182.0,,159.9,159.0,0.4,193.3,143.0,-338.0,,,,,,-485.0,,-507.1,-508.0,-666.6,-473.7,-524.0,,,,,,False,,False,False,False,False,False
01125,4237,2464.0,,,,,,1370.0,,1701.4,1596.3,5.4,1863.8,833.0,-1773.0,,,,,,-2867.0,,-2535.6,-2640.7,-4231.6,-2373.2,-3404.0,,,,,,False,,False,False,False,False,False
01127,1319,700.0,,,,,,552.0,,681.3,134.3,0.8,230.4,300.0,-619.0,,,,,,-767.0,,-637.7,-1184.7,-1318.2,-1088.6,-1019.0,,,,,,False,,False,False,False,False,False
01129,329,105.0,,,,,,177.0,,147.5,15.4,0.0,,137.0,-224.0,,,,,,-152.0,,-181.5,-313.6,-329.0,,-192.0,,,,,,True,,True,False,False,,True
01131,110,21.0,,,,,,41.0,,44.2,0.2,0.0,,11.0,-89.0,,,,,,-69.0,,-65.8,-109.8,-110.0,,-99.0,,,,,,True,,True,False,False,,False
01133,596,462.0,,,,,,222.0,,486.3,175.2,83.2,,194.0,-134.0,,,,,,-374.0,,-109.7,-420.8,-512.8,,-402.0,,,,,,False,,True,False,False,,False
02013,28,0.0,,,,,,,,6.0,,,,0.0,-28.0,,,,,,,,-22.0,,,,-28.0,,,,,,,,True,,,,False
02016,15,7.0,,,,,,,,0.3,,,,0.0,-8.0,,,,,,,,-14.7,,,,-15.0,,,,,,,,False,,,,False
02020,11955,4977.0,,,,,,,,8337.5,2652.2,1624.2,1575.8,1177.0,-6978.0,,,,,,,,-3617.5,-9302.8,-10330.8,-10379.2,-10778.0,,,,,,,,True,False,False,False,False
02050,1446,462.0,,,,,,,,2893.0,295.0,0.0,,587.0,-984.0,,,,,,,,1447.0,-1151.0,-1446.0,,-859.0,,,,,,,,False,False,False,,True
02060,0,0.0,,,,,,,,0.2,0.8,,,0.0,0.0,,,,,,,,0.2,0.8,,,0.0,,,,,,,,False,False,,,True
02068,26,28.0,,,,,,,,77.2,,,,14.0,2.0,,,,,,,,51.2,,,,-12.0,,,,,,,,False,,,,False
02070,71,21.0,,,,,,,,50.8,1.9,,,186.0,-50.0,,,,,,,,-20.2,-69.1,,,115.0,,,,,,,,True,False,,,False
02090,1942,1442.0,,,,,,,,4385.5,1119.2,626.1,685.4,584.0,-500.0,,,,,,,,2443.5,-822.8,-1315.9,-1256.6,-1358.0,,,,,,,,False,False,False,False,False
02100,6,7.0,,,,,,,,6.9,,,,124.0,1.0,,,,,,,,0.9,,,,118.0,,,,,,,,True,,,,False
02105,0,0.0,,,,,,,,1.7,,,,,0.0,,,,,,,,1.7,,,,,,,,,,,,False,,,,
02110,458,322.0,,,,,,,,221.1,83.9,213.7,,702.0,-136.0,,,,,,,,-236.9,-374.1,-244.3,,244.0,,,,,,,,False,False,False,,False
02122,2208,336.0,,,,,,,,595.9,63.6,203.4,,1012.0,-1872.0,,,,,,,,-1612.1,-2144.4,-2004.6,,-1196.0,,,,,,,,True,False,False,,True
02130,137,28.0,,,,,,,,19.3,5.0,,,237.0,-109.0,,,,,,,,-117.7,-132.0,,,100.0,,,,,,,,False,False,,,True
02150,342,42.0,,,,,,,,83.4,3.9,,,27.0,-300.0,,,,,,,,-258.6,-338.1,,,-315.0,,,,,,,,True,False,,,False
02158,427,63.0,,,,,,,,224.9,,,,257.0,-364.0,,,,,,,,-202.1,,,,-170.0,,,,,,,,True,,,,True
02164,50,0.0,,,,,,,,12.3,,,,,-50.0,,,,,,,,-37.7,,,,,,,,,,,,True,,,,
02170,3884,679.0,,,,,,,,889.9,550.3,324.6,,801.0,-3205.0,,,,,,,,-2994.1,-3333.7,-3559.4,,-3083.0,,,,,,,,True,False,False,,True
02180,134,42.0,,,,,,,,251.2,0.9,0.0,,27.0,-92.0,,,,,,,,117.2,-133.1,-134.0,,-107.0,,,,,,,,False,False,False,,False
02185,335,294.0,,,,,,,,266.5,47.7,0.0,,186.0,-41.0,,,,,,,,-68.5,-287.3,-335.0,,-149.0,,,,,,,,False,False,False,,False
02188,166,252.0,,,,,,,,827.5,36.0,0.0,,11.0,86.0,,,,,,,,661.5,-130.0,-166.0,,-155.0,,,,,,,,False,False,False,,False
02195,11,21.0,,,,,,,,0.8,0.5,,,0.0,10.0,,,,,,,,-10.2,-10.5,,,-11.0,,,,,,,,False,False,,,False
02198,25,21.0,,,,,,,,0.3,3.8,,,338.0,-4.0,,,,,,,,-24.7,-21.2,,,313.0,,,,,,,,False,False,,,False
02220,152,7.0,,,,,,,,6.4,4.7,,,1.0,-145.0,,,,,,,,-145.6,-147.3,,,-151.0,,,,,,,,False,False,,,False
02230,11,7.0,,,,,,,,0.1,,,,0.0,-4.0,,,,,,,,-10.9,,,,-11.0,,,,,,,,False,,,,False
02240,270,70.0,,,,,,,,17.1,7.3,,,4.0,-200.0,,,,,,,,-252.9,-262.7,,,-266.0,,,,,,,,False,False,,,False
02261,130,91.0,,,,,,,,125.9,10.1,,,307.0,-39.0,,,,,,,,-4.1,-119.9,,,177.0,,,,,,,,True,False,,,False
02275,3,0.0,,,,,,,,0.1,,,,0.0,-3.0,,,,,,,,-2.9,,,,-3.0,,,,,,,,True,,,,False
02282,19,7.0,,,,,,,,0.4,,,,3.0,-12.0,,,,,,,,-18.6,,,,-16.0,,,,,,,,False,,,,False
02290,82,63.0,,,,,,,,100.4,8.9,1.2,,100.0,-19.0,,,,,,,,18.4,-73.1,-80.8,,18.0,,,,,,,,True,False,False,,True
04001,2044,462.0,,,,,,1097.0,,387.2,95.2,0.9,161.1,151.0,-1582.0,,,,,,-947.0,,-1656.8,-1948.8,-2043.1,-1882.9,-1893.0,,,,,,True,,False,False,False,False,False
04003,2229,497.0,,,,,,357.0,,289.3,107.6,0.1,223.9,633.0,-1732.0,,,,,,-1872.0,,-1939.7,-2121.4,-2228.9,-2005.1,-1596.0,,,,,,False,,False,False,False,False,True
04005,3402,1673.0,,,,,,734.0,,888.4,1129.9,0.5,728.1,978.0,-1729.0,,,,,,-2668.0,,-2513.6,-2272.1,-3401.5,-2673.9,-2424.0,,,,,,False,,False,False,False,False,False
04007,1537,1414.0,,,,,,152.0,,866.4,1530.6,474.2,505.6,3912.0,-123.0,,,,,,-1385.0,,-670.6,-6.4,-1062.8,-1031.4,2375.0,,,,,,False,,False,True,False,False,False
04009,1318,588.0,,,,,,103.0,,396.7,356.8,0.0,,545.0,-730.0,,,,,,-1215.0,,-921.3,-961.2,-1318.0,,-773.0,,,,,,False,,False,False,False,,False
04011,217,70.0,,,,,,33.0,,42.6,4.7,,,176.0,-147.0,,,,,,-184.0,,-174.4,-212.3,,,-41.0,,,,,,False,,False,False,,,True
04012,381,147.0,,,,,,32.0,,241.1,20.4,0.0,,339.0,-234.0,,,,,,-349.0,,-139.9,-360.6,-381.0,,-42.0,,,,,,False,,True,False,False,,True
04013,76580,23485.0,,,,,,11080.0,,15015.5,17830.5,498.0,13701.7,20193.0,-53095.0,,,,,,-65500.0,,-61564.5,-58749.5,-76082.0,-62878.3,-56387.0,,,,,,False,,False,False,False,False,False
04015,2937,616.0,,,,,,632.0,,354.0,240.2,115.4,380.3,465.0,-2321.0,,,,,,-2305.0,,-2583.0,-2696.8,-2821.6,-2556.7,-2472.0,,,,,,True,,False,False,False,False,False
04017,2614,1743.0,,,,,,855.0,,462.4,896.4,4.1,619.0,6379.0,-871.0,,,,,,-1759.0,,-2151.6,-1717.6,-2609.9,-1995.0,3765.0,,,,,,False,,False,False,False,False,False
04019,17087,3360.0,,,,,,1428.0,,2490.5,2174.8,67.2,1533.2,2630.0,-13727.0,,,,,,-15659.0,,-14596.5,-14912.2,-17019.8,-15553.8,-14457.0,,,,,,False,,False,False,False,False,False
04021,7129,2114.0,,,,,,705.0,,1505.4,1289.1,10.5,1064.7,1535.0,-5015.0,,,,,,-6424.0,,-5623.6,-5839.9,-7118.5,-6064.3,-5594.0,,,,,,False,,False,False,False,False,False
04023,1381,259.0,,,,,,123.0,,133.3,39.3,0.4,100.5,0.0,-1122.0,,,,,,-1258.0,,-1247.7,-1341.7,-1380.6,-1280.5,-1381.0,,,,,,False,,False,False,False,False,False
04025,3590,511.0,,,,,,554.0,,475.3,278.7,417.0,340.2,220.0,-3079.0,,,,,,-3036.0,,-3114.7,-3311.3,-3173.0,-3249.8,-3370.0,,,,,,True,,False,False,False,False,False
04027,6045,1428.0,,,,,,253.0,,895.1,206.4,2.1,531.6,2594.0,-4617.0,,,,,,-5792.0,,-5149.9,-5838.6,-6042.9,-5513.4,-3451.0,,,,,,False,,False,False,False,False,True
05001,430,336.0,,,,,,268.0,,1101.3,85.4,161.3,,25.0,-94.0,,,,,,-162.0,,671.3,-344.6,-268.7,,-405.0,,,,,,False,,False,False,False,,False
05003,444,189.0,,,,,,205.0,,203.3,46.4,0.4,,272.0,-255.0,,,,,,-239.0,,-240.7,-397.6,-443.6,,-172.0,,,,,,True,,True,False,False,,True
05005,1004,511.0,,,,,,764.0,,916.7,248.9,165.4,,332.0,-493.0,,,,,,-240.0,,-87.3,-755.1,-838.6,,-672.0,,,,,,True,,True,False,False,,False
05007,5573,2716.0,,,,,,3689.0,,2015.0,974.8,126.1,1701.3,2227.0,-2857.0,,,,,,-1884.0,,-3558.0,-4598.2,-5446.9,-3871.7,-3346.0,,,,,,True,,False,False,False,False,False
05009,1038,532.0,,,,,,927.0,,519.2,265.3,0.3,,794.0,-506.0,,,,,,-111.0,,-518.8,-772.7,-1037.7,,-244.0,,,,,,True,,False,False,False,,True
05011,223,49.0,,,,,,127.0,,22.4,3.4,0.0,,283.0,-174.0,,,,,,-96.0,,-200.6,-219.6,-223.0,,60.0,,,,,,True,,False,False,False,,True
05013,120,28.0,,,,,,50.0,,14.8,,,,25.0,-92.0,,,,,,-70.0,,-105.2,,,,-95.0,,,,,,True,,False,,,,False
05015,668,546.0,,,,,,474.0,,1039.6,141.3,309.4,,335.0,-122.0,,,,,,-194.0,,371.6,-526.7,-358.6,,-333.0,,,,,,False,,False,False,False,,False
05017,227,77.0,,,,,,147.0,,30.9,6.1,0.2,66.0,207.0,-150.0,,,,,,-80.0,,-196.1,-220.9,-226.8,-161.0,-20.0,,,,,,True,,False,False,False,False,True
05019,458,315.0,,,,,,281.0,,342.5,85.0,127.4,,119.0,-143.0,,,,,,-177.0,,-115.5,-373.0,-330.6,,-339.0,,,,,,False,,True,False,False,,False
05021,594,329.0,,,,,,296.0,,422.0,294.8,70.6,,128.0,-265.0,,,,,,-298.0,,-172.0,-299.2,-523.4,,-466.0,,,,,,False,,True,False,False,,False
05023,382,280.0,,,,,,569.0,,232.2,175.2,91.1,,110.0,-102.0,,,,,,187.0,,-149.8,-206.8,-290.9,,-272.0,,,,,,False,,False,False,False,,False
05025,207,42.0,,,,,,81.0,,26.6,5.6,0.0,,4.0,-165.0,,,,,,-126.0,,-180.4,-201.4,-207.0,,-203.0,,,,,,True,,False,False,False,,False
05027,542,252.0,,,,,,242.0,,293.0,148.6,0.0,,76.0,-290.0,,,,,,-300.0,,-249.0,-393.4,-542.0,,-466.0,,,,,,False,,True,False,False,,False
05029,447,147.0,,,,,,579.0,,138.3,49.0,0.0,,80.0,-300.0,,,,,,132.0,,-308.7,-398.0,-447.0,,-367.0,,,,,,True,,False,False,False,,False
05031,3706,2758.0,,,,,,2222.0,,3284.1,960.7,1356.2,1623.9,3209.0,-948.0,,,,,,-1484.0,,-421.9,-2745.3,-2349.8,-2082.1,-497.0,,,,,,False,,True,False,False,False,True
05033,1476,1057.0,,,,,,1458.0,,1375.7,381.5,593.9,589.3,571.0,-419.0,,,,,,-18.0,,-100.3,-1094.5,-882.1,-886.7,-905.0,,,,,,True,,True,False,False,False,False
05035,1313,819.0,,,,,,838.0,,384.1,318.4,1.9,392.5,307.0,-494.0,,,,,,-475.0,,-928.9,-994.6,-1311.1,-920.5,-1006.0,,,,,,True,,False,False,False,False,False
05037,414,245.0,,,,,,375.0,,181.9,41.4,0.8,,3.0,-169.0,,,,,,-39.0,,-232.1,-372.6,-413.2,,-411.0,,,,,,True,,False,False,False,,False
05039,165,21.0,,,,,,87.0,,34.1,0.4,0.0,,9.0,-144.0,,,,,,-78.0,,-130.9,-164.6,-165.0,,-156.0,,,,,,True,,True,False,False,,False
05041,283,168.0,,,,,,130.0,,153.1,90.6,0.1,,69.0,-115.0,,,,,,-153.0,,-129.9,-192.4,-282.9,,-214.0,,,,,,False,,False,False,False,,False
05043,543,189.0,,,,,,223.0,,78.4,79.0,0.0,,71.0,-354.0,,,,,,-320.0,,-464.6,-464.0,-543.0,,-472.0,,,,,,True,,False,False,False,,False
05045,2188,1491.0,,,,,,2191.0,,1442.1,1191.9,5.4,415.8,756.0,-697.0,,,,,,3.0,,-745.9,-996.1,-2182.6,-1772.2,-1432.0,,,,,,True,,False,False,False,False,False
05047,417,427.0,,,,,,427.0,,1496.3,267.0,134.0,,0.0,10.0,,,,,,10.0,,1079.3,-150.0,-283.0,,-417.0,,,,,,False,,False,False,False,,False
05049,321,329.0,,,,,,152.0,,408.8,250.5,68.0,,152.0,8.0,,,,,,-169.0,,87.8,-70.5,-253.0,,-169.0,,,,,,False,,False,False,False,,False
05051,1880,973.0,,,,,,1620.0,,685.2,703.0,1.5,517.0,303.0,-907.0,,,,,,-260.0,,-1194.8,-1177.0,-1878.5,-1363.0,-1577.0,,,,,,True,,False,False,False,False,False
05053,337,217.0,,,,,,179.0,,366.0,105.5,71.1,,220.0,-120.0,,,,,,-158.0,,29.0,-231.5,-265.9,,-117.0,,,,,,False,,True,False,False,,True
05055,2087,1078.0,,,,,,861.0,,1594.5,951.5,333.7,635.6,577.0,-1009.0,,,,,,-1226.0,,-492.5,-1135.5,-1753.3,-1451.4,-1510.0,,,,,,False,,True,False,False,False,False
05057,429,322.0,,,,,,210.0,,575.3,140.9,135.8,,24.0,-107.0,,,,,,-219.0,,146.3,-288.1,-293.2,,-405.0,,,,,,False,,False,False,False,,False
