,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,MITCovAlliance-SIR,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01021,487,540.0,,422.0,,,,,360.0,,581.3,141.2,335.1,,404.3,,296.0,53.0,,-65.0,,,,,-127.0,,94.3,-345.8,-151.9,,-82.7,,-191.0,,False,,,,,False,,False,False,False,,False,,False
01023,47,24.0,,19.0,,,,,151.0,,204.6,21.3,7.1,,,,66.0,-23.0,,-28.0,,,,,104.0,,157.6,-25.7,-39.9,,,,19.0,,False,,,,,False,,False,False,False,,,,True
01025,313,504.0,,318.0,,,,,312.0,,345.1,46.6,345.9,,355.8,,84.0,191.0,,5.0,,,,,-1.0,,32.1,-266.4,32.9,,42.8,,-229.0,,True,,,,,True,,True,False,True,,True,,False
01027,214,264.0,,216.0,,,,,96.0,,508.5,36.1,56.8,,,,287.0,50.0,,2.0,,,,,-118.0,,294.5,-177.9,-157.2,,,,73.0,,True,,,,,False,,False,False,False,,,,False
01029,251,246.0,,175.0,,,,,150.0,,571.7,35.1,155.5,,,,139.0,-5.0,,-76.0,,,,,-101.0,,320.7,-215.9,-95.5,,,,-112.0,,False,,,,,False,,False,False,False,,,,False
01031,870,888.0,,1115.0,,,,,350.0,,835.4,301.4,594.8,,512.0,,624.0,18.0,,245.0,,,,,-520.0,,-34.6,-568.6,-275.2,,-358.0,,-246.0,,False,,,,,False,,False,False,False,,False,,False
01033,1497,732.0,,999.0,,,,,692.0,,622.5,134.2,460.4,,478.6,,481.0,-765.0,,-498.0,,,,,-805.0,,-874.5,-1362.8,-1036.6,,-1018.4,,-1016.0,,True,,,,,False,,False,False,False,,False,,False
01035,173,42.0,,5.0,,,,,77.0,,54.2,16.2,3.2,0.0,,,57.0,-131.0,,-168.0,,,,,-96.0,,-118.8,-156.8,-169.8,-173.0,,,-116.0,,False,,,,,True,,True,False,False,False,,,True
01037,183,42.0,,49.0,,,,,50.0,,102.4,17.9,13.4,0.0,,,76.0,-141.0,,-134.0,,,,,-133.0,,-80.6,-165.1,-169.6,-183.0,,,-107.0,,True,,,,,True,,True,False,False,False,,,True
01039,619,600.0,,670.0,,,,,321.0,,508.8,143.6,362.0,0.2,193.8,,186.0,-19.0,,51.0,,,,,-298.0,,-110.2,-475.4,-257.0,-618.8,-425.2,,-433.0,,False,,,,,False,,False,False,False,False,False,,False
01041,135,138.0,,34.0,,,,,87.0,,306.0,40.0,31.4,0.0,,,131.0,3.0,,-101.0,,,,,-48.0,,171.0,-95.0,-103.6,-135.0,,,-4.0,,False,,,,,False,,False,False,False,False,,,False
01043,2515,1368.0,,2601.0,,,,,948.0,,1327.3,146.3,736.0,5.8,601.1,,481.0,-1147.0,,86.0,,,,,-1567.0,,-1187.7,-2368.7,-1779.0,-2509.2,-1913.9,,-2034.0,,True,,,,,False,,False,False,False,False,False,,False
01045,753,882.0,,352.0,,,,,338.0,,495.6,138.3,705.0,0.8,495.6,,309.0,129.0,,-401.0,,,,,-415.0,,-257.4,-614.7,-48.0,-752.2,-257.4,,-444.0,,False,,,,,False,,False,False,True,False,False,,False
01047,518,120.0,,81.0,,,,,297.0,,237.0,54.7,14.3,0.1,51.4,,90.0,-398.0,,-437.0,,,,,-221.0,,-281.0,-463.3,-503.7,-517.9,-466.6,,-428.0,,False,,,,,True,,True,False,False,False,False,,False
01049,1862,1758.0,,2363.0,,,,,1009.0,,2242.7,222.2,1565.2,533.7,616.9,,943.0,-104.0,,501.0,,,,,-853.0,,380.7,-1639.8,-296.8,-1328.3,-1245.1,,-919.0,,False,,,,,False,,False,False,False,False,False,,False
01051,1252,756.0,,608.0,,,,,438.0,,704.9,221.8,491.5,3.0,640.8,,650.0,-496.0,,-644.0,,,,,-814.0,,-547.1,-1030.2,-760.5,-1249.0,-611.2,,-602.0,,False,,,,,False,,False,False,False,False,False,,False
01053,369,138.0,,38.0,,,,,478.0,,253.7,73.7,20.0,0.1,86.0,,220.0,-231.0,,-331.0,,,,,109.0,,-115.3,-295.3,-349.0,-368.9,-283.0,,-149.0,,False,,,,,True,,True,False,False,False,False,,True
01055,2903,1884.0,,4643.0,,,,,1211.0,,1586.9,290.0,1367.8,6.8,1011.1,,1205.0,-1019.0,,1740.0,,,,,-1692.0,,-1316.1,-2613.0,-1535.2,-2896.2,-1891.9,,-1698.0,,False,,,,,False,,False,False,False,False,False,,False
01057,463,228.0,,136.0,,,,,153.0,,409.1,55.2,93.7,0.6,,,296.0,-235.0,,-327.0,,,,,-310.0,,-53.9,-407.8,-369.3,-462.4,,,-167.0,,False,,,,,False,,True,False,False,False,,,True
01059,636,468.0,,244.0,,,,,451.0,,606.5,139.2,179.4,351.3,236.3,,1020.0,-168.0,,-392.0,,,,,-185.0,,-29.5,-496.8,-456.6,-284.7,-399.7,,384.0,,False,,,,,False,,True,False,False,False,False,,False
01061,402,462.0,,269.0,,,,,215.0,,385.4,126.2,159.4,0.1,,,131.0,60.0,,-133.0,,,,,-187.0,,-16.6,-275.8,-242.6,-401.9,,,-271.0,,False,,,,,False,,True,False,False,False,,,False
01063,126,78.0,,0.0,,,,,49.0,,116.6,14.2,3.3,0.0,,,44.0,-48.0,,-126.0,,,,,-77.0,,-9.4,-111.8,-122.7,-126.0,,,-82.0,,False,,,,,False,,True,False,False,False,,,False
01065,256,198.0,,79.0,,,,,158.0,,337.5,65.8,29.2,0.4,,,36.0,-58.0,,-177.0,,,,,-98.0,,81.5,-190.2,-226.8,-255.6,,,-220.0,,False,,,,,False,,False,False,False,False,,,False
01067,203,522.0,,86.0,,,,,95.0,,318.1,78.7,191.9,124.7,,,38.0,319.0,,-117.0,,,,,-108.0,,115.1,-124.3,-11.1,-78.3,,,-165.0,,True,,,,,True,,True,True,True,True,,,True
01069,1476,3294.0,,264.0,,,,,822.0,,648.0,462.4,2394.7,1001.0,1472.2,,453.0,1818.0,,-1212.0,,,,,-654.0,,-828.0,-1013.6,918.7,-475.0,-3.8,,-1023.0,,True,,,,,True,,True,True,True,True,True,,True
01071,1706,1110.0,,1564.0,,,,,812.0,,1311.2,146.8,829.2,347.3,411.2,,406.0,-596.0,,-142.0,,,,,-894.0,,-394.8,-1559.2,-876.8,-1358.7,-1294.8,,-1300.0,,True,,,,,False,,True,False,False,False,False,,False
01073,12808,5610.0,,5592.0,,,,,4591.0,,4787.7,1681.8,4611.5,237.8,3008.3,,4100.0,-7198.0,,-7216.0,,,,,-8217.0,,-8020.3,-11126.2,-8196.5,-12570.2,-9799.7,,-8708.0,,False,,,,,False,,False,False,False,False,False,,False
01075,254,264.0,,198.0,,,,,141.0,,385.4,52.0,164.8,71.7,,,134.0,10.0,,-56.0,,,,,-113.0,,131.4,-202.0,-89.2,-182.3,,,-120.0,,False,,,,,False,,False,False,False,False,,,False
01077,2300,1398.0,,1354.0,,,,,1146.0,,1262.7,204.2,1408.1,577.5,746.5,,882.0,-902.0,,-946.0,,,,,-1154.0,,-1037.3,-2095.8,-891.9,-1722.5,-1553.5,,-1418.0,,False,,,,,False,,False,False,True,False,False,,False
01079,559,408.0,,535.0,,,,,378.0,,618.4,88.5,372.9,104.9,,,0.0,-151.0,,-24.0,,,,,-181.0,,59.4,-470.5,-186.1,-454.1,,,-559.0,,True,,,,,False,,True,False,False,False,,,False
01081,1604,678.0,,351.0,,,,,954.0,,532.9,482.3,455.4,13.2,660.0,,638.0,-926.0,,-1253.0,,,,,-650.0,,-1071.1,-1121.7,-1148.6,-1590.8,-944.0,,-966.0,,False,,,,,True,,False,False,False,False,False,,False
01083,1798,1104.0,,852.0,,,,,1068.0,,1074.9,208.3,1012.4,794.3,586.6,,536.0,-694.0,,-946.0,,,,,-730.0,,-723.1,-1589.7,-785.6,-1003.7,-1211.4,,-1262.0,,False,,,,,False,,False,False,False,False,False,,False
01085,120,78.0,,0.0,,,,,37.0,,107.9,26.6,15.9,0.1,,,0.0,-42.0,,-120.0,,,,,-83.0,,-12.1,-93.4,-104.1,-119.9,,,-120.0,,False,,,,,False,,True,False,False,False,,,False
01087,243,42.0,,42.0,,,,,81.0,,222.4,33.0,5.6,0.0,,,10.0,-201.0,,-201.0,,,,,-162.0,,-20.6,-210.0,-237.4,-243.0,,,-233.0,,False,,,,,True,,True,False,False,False,,,False
01089,5584,2322.0,,2211.0,,,,,2920.0,,2043.7,791.9,2019.6,80.2,1068.2,,754.0,-3262.0,,-3373.0,,,,,-2664.0,,-3540.3,-4792.1,-3564.4,-5503.8,-4515.8,,-4830.0,,False,,,,,True,,False,False,False,False,False,,False
01091,282,312.0,,16.0,,,,,245.0,,546.0,49.6,154.4,0.2,,,80.0,30.0,,-266.0,,,,,-37.0,,264.0,-232.4,-127.6,-281.8,,,-202.0,,False,,,,,False,,False,False,False,False,,,False
01093,457,234.0,,143.0,,,,,306.0,,254.1,55.5,141.5,0.2,131.8,,284.0,-223.0,,-314.0,,,,,-151.0,,-202.9,-401.5,-315.5,-456.8,-325.2,,-173.0,,False,,,,,True,,True,False,False,False,False,,True
01095,2688,846.0,,1209.0,,,,,1184.0,,729.4,191.5,557.5,7.4,382.2,,1582.0,-1842.0,,-1479.0,,,,,-1504.0,,-1958.6,-2496.5,-2130.5,-2680.6,-2305.8,,-1106.0,,True,,,,,True,,False,False,False,False,False,,True
01097,3904,15792.0,,3517.0,,,,,6522.0,,1502.7,713.7,15796.0,2262.9,6008.5,,48217.0,11888.0,,-387.0,,,,,2618.0,,-2401.3,-3190.3,11892.0,-1641.1,2104.5,,44313.0,,True,,,,,True,,True,True,False,True,True,,False
01099,209,132.0,,19.0,,,,,194.0,,262.8,18.8,13.5,0.0,,,150.0,-77.0,,-190.0,,,,,-15.0,,53.8,-190.2,-195.5,-209.0,,,-59.0,,False,,,,,True,,True,False,False,False,,,True
01101,2696,3678.0,,3623.0,,,,,1251.0,,2062.9,467.1,2059.9,1554.6,1965.7,,4072.0,982.0,,927.0,,,,,-1445.0,,-633.1,-2228.9,-636.1,-1141.4,-730.3,,1376.0,,True,,,,,False,,True,False,True,False,True,,False
01103,3340,1410.0,,1145.0,,,,,1288.0,,1442.6,264.6,811.1,29.1,1008.3,,711.0,-1930.0,,-2195.0,,,,,-2052.0,,-1897.4,-3075.4,-2528.9,-3310.9,-2331.7,,-2629.0,,False,,,,,False,,True,False,False,False,False,,False
01105,116,72.0,,0.0,,,,,44.0,,59.6,7.3,29.6,0.0,,,7.0,-44.0,,-116.0,,,,,-72.0,,-56.4,-108.7,-86.4,-116.0,,,-109.0,,False,,,,,False,,False,False,False,False,,,False
01107,456,414.0,,174.0,,,,,200.0,,622.4,69.7,213.3,75.1,,,125.0,-42.0,,-282.0,,,,,-256.0,,166.4,-386.3,-242.7,-380.9,,,-331.0,,False,,,,,False,,False,False,False,False,,,False
01109,322,216.0,,167.0,,,,,238.0,,276.4,86.4,58.2,0.0,141.3,,226.0,-106.0,,-155.0,,,,,-84.0,,-45.6,-235.6,-263.8,-322.0,-180.7,,-96.0,,False,,,,,True,,True,False,False,False,False,,True
01111,254,252.0,,326.0,,,,,197.0,,430.0,99.1,76.7,0.4,,,205.0,-2.0,,72.0,,,,,-57.0,,176.0,-154.9,-177.3,-253.6,,,-49.0,,False,,,,,False,,False,False,False,False,,,False
01113,411,276.0,,370.0,,,,,400.0,,277.8,70.6,115.9,0.2,110.0,,342.0,-135.0,,-41.0,,,,,-11.0,,-133.2,-340.4,-295.1,-410.8,-301.0,,-69.0,,True,,,,,True,,True,False,False,False,False,,True
01115,1786,1140.0,,1366.0,,,,,611.0,,1368.9,222.1,762.3,20.1,645.4,,403.0,-646.0,,-420.0,,,,,-1175.0,,-417.1,-1563.9,-1023.7,-1765.9,-1140.6,,-1383.0,,True,,,,,False,,True,False,False,False,False,,False
01117,4049,2298.0,,3497.0,,,,,1055.0,,1981.1,782.8,1792.0,188.2,1121.8,,1369.0,-1751.0,,-552.0,,,,,-2994.0,,-2067.9,-3266.2,-2257.0,-3860.8,-2927.2,,-2680.0,,True,,,,,False,,False,False,False,False,False,,False
01119,141,48.0,,2.0,,,,,94.0,,66.7,30.2,3.8,0.0,,,32.0,-93.0,,-139.0,,,,,-47.0,,-74.3,-110.8,-137.2,-141.0,,,-109.0,,False,,,,,True,,True,False,False,False,,,False
01121,1255,744.0,,639.0,,,,,685.0,,900.0,248.7,297.9,0.4,316.7,,527.0,-511.0,,-616.0,,,,,-570.0,,-355.0,-1006.3,-957.1,-1254.6,-938.3,,-728.0,,False,,,,,False,,True,False,False,False,False,,False
01123,605,300.0,,148.0,,,,,271.0,,461.2,100.8,186.6,0.4,194.1,,580.0,-305.0,,-457.0,,,,,-334.0,,-143.8,-504.2,-418.4,-604.6,-410.9,,-25.0,,False,,,,,False,,True,False,False,False,False,,True
01125,3776,3084.0,,5886.0,,,,,1832.0,,2151.4,966.3,1758.5,5.7,3542.7,,1010.0,-692.0,,2110.0,,,,,-1944.0,,-1624.6,-2809.7,-2017.5,-3770.3,-233.3,,-2766.0,,False,,,,,False,,False,False,False,False,True,,False
01127,1161,870.0,,970.0,,,,,671.0,,745.8,143.3,284.8,0.7,508.9,,361.0,-291.0,,-191.0,,,,,-490.0,,-415.2,-1017.7,-876.2,-1160.3,-652.1,,-800.0,,True,,,,,False,,False,False,False,False,False,,False
01129,202,780.0,,4.0,,,,,255.0,,225.6,32.7,218.7,74.5,,,228.0,578.0,,-198.0,,,,,53.0,,23.6,-169.3,16.7,-127.5,,,26.0,,True,,,,,True,,True,True,True,True,,,True
01131,96,78.0,,0.0,,,,,40.0,,46.0,10.1,11.0,0.0,,,20.0,-18.0,,-96.0,,,,,-56.0,,-50.0,-85.9,-85.0,-96.0,,,-76.0,,False,,,,,False,,False,False,False,False,,,False
01133,550,240.0,,261.0,,,,,260.0,,471.8,75.6,90.7,0.6,,,103.0,-310.0,,-289.0,,,,,-290.0,,-78.2,-474.4,-459.3,-549.4,,,-447.0,,True,,,,,True,,True,False,False,False,,,False
02013,27,6.0,,0.0,,,,,,,365.0,4.1,,,,,0.0,-21.0,,-27.0,,,,,,,338.0,-22.9,,,,,-27.0,,False,,,,,,,False,False,,,,,False
02016,15,0.0,,0.0,,,,,,,176.4,0.7,,,,,59.0,-15.0,,-15.0,,,,,,,161.4,-14.3,,,,,44.0,,False,,,,,,,False,True,,,,,False
02020,11101,5136.0,,6872.0,,,,,,,5335.6,2103.3,4154.0,1803.6,2033.5,,865.0,-5965.0,,-4229.0,,,,,,,-5765.4,-8997.7,-6947.0,-9297.4,-9067.5,,-10236.0,,True,,,,,,,True,False,False,False,False,,False
02050,1319,768.0,,0.0,,,,,,,2468.8,42.3,523.8,0.1,,,341.0,-551.0,,-1319.0,,,,,,,1149.8,-1276.7,-795.2,-1318.9,,,-978.0,,False,,,,,,,False,False,False,False,,,False
02060,0,0.0,,0.0,,,,,,,119.0,0.0,,,,,,0.0,,0.0,,,,,,,119.0,0.0,,,,,,,True,,,,,,,False,True,,,,,
02068,22,24.0,,0.0,,,,,,,492.4,8.8,,,,,61.0,2.0,,-22.0,,,,,,,470.4,-13.2,,,,,39.0,,False,,,,,,,False,False,,,,,False
02070,62,54.0,,0.0,,,,,,,2034.6,12.3,4.9,,,,178.0,-8.0,,-62.0,,,,,,,1972.6,-49.7,-57.1,,,,116.0,,False,,,,,,,False,False,False,,,,False
02090,1764,1080.0,,950.0,,,,,,,1665.6,453.2,1043.2,541.0,1174.7,,396.0,-684.0,,-814.0,,,,,,,-98.4,-1310.8,-720.8,-1223.0,-589.3,,-1368.0,,False,,,,,,,True,False,False,False,True,,False
02100,5,0.0,,0.0,,,,,,,165.0,0.4,,,,,0.0,-5.0,,-5.0,,,,,,,160.0,-4.6,,,,,-5.0,,False,,,,,,,False,True,,,,,False
02105,0,0.0,,0.0,,,,,,,128.8,2.1,,,,,,0.0,,0.0,,,,,,,128.8,2.1,,,,,,,True,,,,,,,False,False,,,,,
02110,423,198.0,,226.0,,,,,,,486.5,110.9,192.3,136.2,,,301.0,-225.0,,-197.0,,,,,,,63.5,-312.1,-230.7,-286.8,,,-122.0,,True,,,,,,,True,False,False,False,,,True
02122,2108,618.0,,417.0,,,,,,,797.6,89.8,298.1,143.0,,,992.0,-1490.0,,-1691.0,,,,,,,-1310.4,-2018.2,-1809.9,-1965.0,,,-1116.0,,False,,,,,,,True,False,False,False,,,True
02130,136,6.0,,0.0,,,,,,,70.7,5.1,3.6,,,,12.0,-130.0,,-136.0,,,,,,,-65.3,-130.9,-132.4,,,,-124.0,,False,,,,,,,True,False,False,,,,True
02150,339,18.0,,0.0,,,,,,,135.4,18.7,4.1,,,,208.0,-321.0,,-339.0,,,,,,,-203.6,-320.3,-334.9,,,,-131.0,,False,,,,,,,True,True,False,,,,True
02158,294,828.0,,352.0,,,,,,,169.0,,,,,,348.0,534.0,,58.0,,,,,,,-125.0,,,,,,54.0,,True,,,,,,,True,,,,,,True
02164,45,222.0,,52.0,,,,,,,232.5,1.2,,,,,57.0,177.0,,7.0,,,,,,,187.5,-43.8,,,,,12.0,,True,,,,,,,False,True,,,,,True
02170,3715,1020.0,,0.0,,,,,,,1418.2,383.9,1869.8,228.7,,,1496.0,-2695.0,,-3715.0,,,,,,,-2296.8,-3331.1,-1845.2,-3486.3,,,-2219.0,,False,,,,,,,True,False,True,False,,,True
02180,120,84.0,,0.0,,,,,,,81.8,17.9,15.5,0.0,,,77.0,-36.0,,-120.0,,,,,,,-38.2,-102.1,-104.5,-120.0,,,-43.0,,False,,,,,,,False,False,False,False,,,False
02185,303,180.0,,0.0,,,,,,,651.4,37.4,33.9,0.0,,,238.0,-123.0,,-303.0,,,,,,,348.4,-265.6,-269.1,-303.0,,,-65.0,,False,,,,,,,False,False,False,False,,,True
02188,147,114.0,,0.0,,,,,,,167.1,16.6,28.8,0.0,,,0.0,-33.0,,-147.0,,,,,,,20.1,-130.4,-118.2,-147.0,,,-147.0,,False,,,,,,,True,False,False,False,,,False
02195,11,0.0,,0.0,,,,,,,200.0,0.2,0.2,,,,82.0,-11.0,,-11.0,,,,,,,189.0,-10.8,-10.8,,,,71.0,,False,,,,,,,False,True,True,,,,False
02198,25,0.0,,0.0,,,,,,,52.9,3.7,2.8,,,,59.0,-25.0,,-25.0,,,,,,,27.9,-21.3,-22.2,,,,34.0,,False,,,,,,,False,True,True,,,,False
02220,151,6.0,,0.0,,,,,,,42.5,6.8,5.6,,,,6.0,-145.0,,-151.0,,,,,,,-108.5,-144.2,-145.4,,,,-145.0,,False,,,,,,,True,True,False,,,,False
02230,6,30.0,,0.0,,,,,,,53.2,49.0,,,,,43.0,24.0,,-6.0,,,,,,,47.2,43.0,,,,,37.0,,True,,,,,,,False,False,,,,,False
02240,263,42.0,,0.0,,,,,,,920.5,4.1,7.0,,,,150.0,-221.0,,-263.0,,,,,,,657.5,-258.9,-256.0,,,,-113.0,,False,,,,,,,False,False,False,,,,True
02261,122,54.0,,,,,,,,,242.3,3.3,10.4,97.5,,,80.0,-68.0,,,,,,,,,120.3,-118.7,-111.6,-24.5,,,-42.0,,,,,,,,,False,False,False,True,,,True
02275,3,0.0,,0.0,,,,,,,52.3,0.5,,,,,0.0,-3.0,,-3.0,,,,,,,49.3,-2.5,,,,,-3.0,,False,,,,,,,False,True,,,,,False
02282,17,18.0,,0.0,,,,,,,135.9,0.0,,,,,6.0,1.0,,-17.0,,,,,,,118.9,-17.0,,,,,-11.0,,False,,,,,,,False,False,,,,,False
02290,75,42.0,,0.0,,,,,,,220.4,1.5,10.0,0.0,,,46.0,-33.0,,-75.0,,,,,,,145.4,-73.5,-65.0,-75.0,,,-29.0,,False,,,,,,,False,False,False,False,,,True
04001,1969,450.0,,435.0,,,,,1088.0,,282.0,455.3,132.6,0.8,216.8,,152.0,-1519.0,,-1534.0,,,,,-881.0,,-1687.0,-1513.7,-1836.4,-1968.2,-1752.2,,-1817.0,,False,,,,,True,,False,True,False,False,False,,False
04003,2149,480.0,,913.0,,,,,782.0,,560.9,616.0,110.9,0.2,195.4,,606.0,-1669.0,,-1236.0,,,,,-1367.0,,-1588.1,-1533.0,-2038.1,-2148.8,-1953.6,,-1543.0,,True,,,,,True,,True,True,False,False,False,,True
04005,3095,1842.0,,2445.0,,,,,1020.0,,910.8,720.0,1648.6,775.2,1009.1,,1235.0,-1253.0,,-650.0,,,,,-2075.0,,-2184.2,-2375.0,-1446.4,-2319.8,-2085.9,,-1860.0,,True,,,,,False,,False,False,False,False,False,,False
04007,1421,696.0,,1073.0,,,,,519.0,,1544.7,475.1,418.6,513.3,266.2,,1575.0,-725.0,,-348.0,,,,,-902.0,,123.7,-945.9,-1002.4,-907.7,-1154.8,,154.0,,True,,,,,False,,True,False,False,False,False,,True
04009,1230,528.0,,723.0,,,,,187.0,,856.8,116.4,279.1,147.4,291.8,,652.0,-702.0,,-507.0,,,,,-1043.0,,-373.2,-1113.6,-950.9,-1082.6,-938.2,,-578.0,,True,,,,,False,,True,False,False,False,False,,True
04011,188,168.0,,0.0,,,,,71.0,,430.9,29.5,39.0,0.0,,,372.0,-20.0,,-188.0,,,,,-117.0,,242.9,-158.5,-149.0,-188.0,,,184.0,,False,,,,,False,,False,False,False,False,,,False
04012,359,132.0,,78.0,,,,,40.0,,470.3,107.8,5.3,0.0,,,375.0,-227.0,,-281.0,,,,,-319.0,,111.3,-251.2,-353.7,-359.0,,,16.0,,False,,,,,False,,True,False,False,False,,,True
04013,72605,23850.0,,28146.0,,,,,16760.0,,16087.1,10647.0,20142.3,581.0,13742.6,,26464.0,-48755.0,,-44459.0,,,,,-55845.0,,-56517.9,-61958.0,-52462.7,-72024.0,-58862.4,,-46141.0,,True,,,,,False,,False,False,False,False,False,,True
04015,2848,528.0,,544.0,,,,,1042.0,,575.0,1036.8,160.4,35.8,433.5,,831.0,-2320.0,,-2304.0,,,,,-1806.0,,-2273.0,-1811.2,-2687.6,-2812.2,-2414.5,,-2017.0,,True,,,,,True,,True,True,False,False,False,,True
04017,2446,768.0,,180.0,,,,,1778.0,,742.2,470.4,643.1,4.1,229.9,,759.0,-1678.0,,-2266.0,,,,,-668.0,,-1703.8,-1975.6,-1802.9,-2441.9,-2216.1,,-1687.0,,False,,,,,True,,False,False,False,False,False,,False
04019,16513,3444.0,,16114.0,,,,,2195.0,,2277.0,5736.5,2376.4,46.5,1925.3,,2800.0,-13069.0,,-399.0,,,,,-14318.0,,-14236.0,-10776.5,-14136.6,-16466.5,-14587.7,,-13713.0,,True,,,,,False,,False,True,False,False,False,,False
04021,6747,2292.0,,2472.0,,,,,1186.0,,2177.9,2129.0,1304.7,9.1,1138.8,,2776.0,-4455.0,,-4275.0,,,,,-5561.0,,-4569.1,-4618.0,-5442.3,-6737.9,-5608.2,,-3971.0,,True,,,,,False,,False,False,False,False,False,,True
