,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,QJHong-Encounter,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-QJHong-Encounter,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
Georgia,138581,55925.0,49218.2,61419.0,,56957.1,17360.0,,60543.0,55774.5,51068.1,31268.9,77909.1,62551.0,,30134.1,65663.0,-82656.0,-89362.8,-77162.0,,-81623.9,-121221.0,,-78038.0,-82806.5,-87512.9,-107312.1,-60671.9,-76030.0,,-108446.9,-72918.0,False,True,,True,False,,True,False,False,False,True,True,,False,True
Hawaii,3454,2590.0,6944.5,2327.0,,3144.3,1138.0,,,4218.4,3980.6,3711.5,2397.8,2194.0,,1423.8,680.0,-864.0,3490.5,-1127.0,,-309.7,-2316.0,,,764.4,526.6,257.5,-1056.2,-1260.0,,-2030.2,-2774.0,False,False,,True,False,,,True,True,True,False,False,,False,False
Idaho,45097,29570.0,98630.7,27828.0,,31089.0,14456.0,,28359.0,38027.2,51768.6,10192.9,66334.9,30456.0,,9692.1,14028.0,-15527.0,53533.7,-17269.0,,-14008.0,-30641.0,,-16738.0,-7069.8,6671.6,-34904.1,21237.9,-14641.0,,-35404.9,-31069.0,False,False,,True,False,,False,True,True,False,False,True,,False,False
Illinois,363428,168735.0,254708.8,248019.0,,217700.5,112371.0,,168059.0,184150.6,194246.7,109177.3,486531.7,363104.0,,106957.7,107732.0,-194693.0,-108719.2,-115409.0,,-145727.5,-251057.0,,-195369.0,-179277.4,-169181.3,-254250.7,123103.7,-324.0,,-256470.3,-255696.0,True,True,,True,False,,False,True,True,False,True,True,,False,False
Indiana,195661,94520.0,98812.4,129122.0,,86317.3,260484.0,,88919.0,99397.5,125693.8,64526.7,210315.5,121357.0,,55798.2,140145.0,-101141.0,-96848.6,-66539.0,,-109343.7,64823.0,,-106742.0,-96263.5,-69967.2,-131134.3,14654.5,-74304.0,,-139862.8,-55516.0,True,True,,False,True,,False,True,True,False,True,True,,False,True
Iowa,114875,68370.0,62120.6,87250.0,,65283.0,33735.0,,53291.0,60913.9,70153.5,21821.4,55410.5,96804.0,,36080.7,112826.0,-46505.0,-52754.4,-27625.0,,-49592.0,-81140.0,,-61584.0,-53961.1,-44721.5,-93053.6,-59464.5,-18071.0,,-78794.3,-2049.0,False,True,,False,False,,False,False,True,False,False,True,,False,True
Kansas,84420,36225.0,34350.6,51392.0,,35435.2,34738.0,,31377.0,36715.6,45973.5,11301.8,27498.2,48813.5,,22879.4,23214.0,-48195.0,-50069.4,-33028.0,,-48984.8,-49682.0,,-53043.0,-47704.4,-38446.5,-73118.2,-56921.8,-35606.5,,-61540.6,-61206.0,False,True,,False,False,,False,True,True,False,False,True,,False,False
Kentucky,90845,58695.0,66735.1,79297.0,,59410.5,36576.0,,54795.0,60127.9,100892.0,21194.6,76182.9,89691.0,,37309.4,85575.0,-32150.0,-24109.9,-11548.0,,-31434.5,-54269.0,,-36050.0,-30717.1,10047.0,-69650.4,-14662.1,-1154.0,,-53535.6,-5270.0,True,True,,True,False,,False,True,True,False,True,True,,False,True
Louisiana,60528,17000.0,17639.1,14489.0,,18863.5,5096.0,,20967.0,23874.7,18775.1,15332.8,19889.3,23039.5,,9214.5,7349.0,-43528.0,-42888.9,-46039.0,,-41664.5,-55432.0,,-39561.0,-36653.3,-41752.9,-45195.2,-40638.7,-37488.5,,-51313.5,-53179.0,True,False,,True,False,,True,True,True,False,True,True,,False,False
Maine,6465,2630.0,268.8,7309.0,,1625.3,729.0,,3378.0,1426.5,13155.9,3591.0,1715.5,3098.0,,1743.3,5944.0,-3835.0,-6196.2,844.0,,-4839.7,-5736.0,,-3087.0,-5038.5,6690.9,-2874.0,-4749.5,-3367.0,,-4721.7,-521.0,False,True,,False,False,,True,False,False,True,False,True,,False,True
Maryland,67103,28970.0,25594.5,42039.0,,30776.5,5323.0,,24903.0,26400.8,21422.4,23964.9,42264.3,34720.5,,21844.3,32693.0,-38133.0,-41508.5,-25064.0,,-36326.5,-61780.0,,-42200.0,-40702.2,-45680.6,-43138.1,-24838.7,-32382.5,,-45258.7,-34410.0,False,True,,True,False,,False,False,False,False,True,True,,False,True
Massachusetts,93441,45440.0,32454.9,68778.0,,49949.0,25239.0,,42264.0,40491.2,35170.4,41234.8,89768.0,64679.5,,29180.1,51457.0,-48001.0,-60986.1,-24663.0,,-43492.0,-68202.0,,-51177.0,-52949.8,-58270.6,-52206.2,-3673.0,-28761.5,,-64260.9,-41984.0,False,True,,True,False,,False,False,False,False,True,True,,False,True
Michigan,229170,108970.0,136538.3,170090.0,,123355.1,94107.0,,108614.0,103579.4,114701.6,95962.1,301782.2,200702.0,,66664.1,198301.0,-120200.0,-92631.7,-59080.0,,-105814.9,-135063.0,,-120556.0,-125590.6,-114468.4,-133207.9,72612.2,-28468.0,,-162505.9,-30869.0,True,True,,True,False,,False,False,True,False,True,True,,False,True
Minnesota,196809,81750.0,80653.7,125694.0,,82356.3,101553.0,,99887.0,80370.4,83470.8,26872.2,138909.9,110123.0,,40322.0,69827.0,-115059.0,-116155.3,-71115.0,,-114452.7,-95256.0,,-96922.0,-116438.6,-113338.2,-169936.8,-57899.1,-86686.0,,-156487.0,-126982.0,False,True,,True,True,,True,False,True,False,True,True,,False,False
Mississippi,43298,25360.0,25736.5,24824.0,,22739.4,9760.0,,25455.0,28505.0,30403.9,9667.9,37155.9,26451.5,,19961.4,22589.0,-17938.0,-17561.5,-18474.0,,-20558.6,-33538.0,,-17843.0,-14793.0,-12894.1,-33630.1,-6142.1,-16846.5,,-23336.6,-20709.0,True,False,,False,False,,True,True,True,False,True,True,,False,False
Missouri,139596,80815.0,73437.6,97807.0,,78094.8,51089.0,,66670.0,84018.1,92124.4,24915.3,97966.2,83857.0,,62638.5,41081.0,-58781.0,-66158.4,-41789.0,,-61501.2,-88507.0,,-72926.0,-55577.9,-47471.6,-114680.7,-41629.8,-55739.0,,-76957.5,-98515.0,False,True,,False,False,,False,True,True,False,True,True,,False,False
Montana,34268,28295.0,27873.7,29668.0,,25566.1,21217.0,,26630.0,42006.8,77426.8,3368.0,47047.8,28654.0,,11433.8,18679.0,-5973.0,-6394.3,-4600.0,,-8701.9,-13051.0,,-7638.0,7738.8,43158.8,-30900.0,12779.8,-5614.0,,-22834.2,-15589.0,False,True,,False,False,,False,False,False,False,False,True,,False,False
Nebraska,67836,37585.0,74301.7,51129.0,,36962.0,35932.0,,35349.0,38499.2,53186.5,16283.3,66415.0,48865.5,,22382.6,26537.0,-30251.0,6465.7,-16707.0,,-30874.0,-31904.0,,-32487.0,-29336.8,-14649.5,-51552.7,-1421.0,-18970.5,,-45453.4,-41299.0,True,True,,False,False,,False,True,True,False,True,True,,False,False
Nevada,64867,29745.0,13474.8,34339.0,,28618.7,7309.0,,23756.0,31098.3,23371.0,18286.5,52682.4,35299.0,,13837.1,31890.0,-35122.0,-51392.2,-30528.0,,-36248.3,-57558.0,,-41111.0,-33768.7,-41496.0,-46580.5,-12184.6,-29568.0,,-51029.9,-32977.0,False,True,,False,False,,False,True,False,False,True,True,,False,True
New Hampshire,13054,4230.0,594.1,6595.0,,4063.4,4345.0,,3528.0,3496.3,4079.0,6473.9,7643.0,4695.5,,4025.5,6016.0,-8824.0,-12459.9,-6459.0,,-8990.6,-8709.0,,-9526.0,-9557.7,-8975.0,-6580.1,-5411.0,-8358.5,,-9028.5,-7038.0,False,True,,False,True,,False,False,False,True,True,True,,False,True
New Jersey,124100,52735.0,66533.0,77802.0,,56426.7,59747.0,,46298.0,45886.2,35521.6,70147.7,111591.3,79860.0,,29662.8,76578.0,-71365.0,-57567.0,-46298.0,,-67673.3,-64353.0,,-77802.0,-78213.8,-88578.4,-53952.3,-12508.7,-44240.0,,-94437.2,-47522.0,True,True,,True,True,,False,False,False,True,True,True,,False,True
New Mexico,60366,27250.0,40184.0,31202.0,,28729.5,8373.0,,32532.0,30474.6,38887.7,13318.1,75778.5,41156.5,,19189.2,21211.0,-33116.0,-20182.0,-29164.0,,-31636.5,-51993.0,,-27834.0,-29891.4,-21478.3,-47047.9,15412.5,-19209.5,,-41176.8,-39155.0,True,True,,True,False,,True,True,True,False,True,True,,False,False
New York,192922,68555.0,35477.4,98381.0,,100334.6,32795.0,,45111.0,57934.1,58945.6,152602.1,123977.7,80425.5,,49696.2,78398.0,-124367.0,-157444.6,-94541.0,,-92587.4,-160127.0,,-147811.0,-134987.9,-133976.4,-40319.9,-68944.3,-112496.5,,-143225.8,-114524.0,False,True,,True,False,,False,False,False,True,True,True,,False,True
North Carolina,113917,81715.0,124229.5,102589.0,,75092.7,45356.0,,79246.0,88784.6,92153.0,50400.9,113913.4,80671.5,,89963.1,87130.0,-32202.0,10312.5,-11328.0,,-38824.3,-68561.0,,-34671.0,-25132.4,-21764.0,-63516.1,-3.6,-33245.5,,-23953.9,-26787.0,True,True,,False,False,,False,True,True,False,True,False,,True,True
North Dakota,38588,35210.0,17128.1,33390.0,,30500.6,12390.0,,35346.0,46036.7,57547.8,6043.0,64507.6,49023.5,,23714.3,42814.0,-3378.0,-21459.9,-5198.0,,-8087.4,-26198.0,,-3242.0,7448.7,18959.8,-32545.0,25919.6,10435.5,,-14873.7,4226.0,False,False,,False,False,,True,False,False,False,False,False,,False,False
Ohio,251735,99455.0,416244.6,135510.0,,96106.7,42984.0,,102698.0,101436.2,99179.4,91084.1,218818.8,173573.0,,48595.4,96733.0,-152280.0,164509.6,-116225.0,,-155628.3,-208751.0,,-149037.0,-150298.8,-152555.6,-160650.9,-32916.2,-78162.0,,-203139.6,-155002.0,False,True,,False,False,,True,True,False,False,True,True,,False,False
Oklahoma,90483,35385.0,68018.7,30190.0,,40900.6,25538.0,,47044.0,56242.9,57693.4,18541.4,51491.8,33295.0,,14249.1,22993.0,-55098.0,-22464.3,-60293.0,,-49582.4,-64945.0,,-43439.0,-34240.1,-32789.6,-71941.6,-38991.2,-57188.0,,-76233.9,-67490.0,True,False,,True,False,,True,True,True,False,True,False,,False,False
Oregon,38322,15910.0,19542.3,20098.0,,15289.9,9108.0,,14831.0,16288.5,22690.5,13140.7,21729.3,18757.0,,8272.0,20232.0,-22412.0,-18779.7,-18224.0,,-23032.1,-29214.0,,-23491.0,-22033.5,-15631.5,-25181.3,-16592.7,-19565.0,,-30050.0,-18090.0,True,True,,False,False,,False,True,True,False,True,True,,False,True
Pennsylvania,202844,77105.0,73661.0,111148.0,,82509.3,47666.0,,73875.0,76167.1,87640.9,92876.8,138431.4,105030.5,,54174.6,79244.0,-125739.0,-129183.0,-91696.0,,-120334.7,-155178.0,,-128969.0,-126676.9,-115203.1,-109967.2,-64412.6,-97813.5,,-148669.4,-123600.0,False,True,,True,False,,False,False,True,True,True,True,,False,True
Rhode Island,29263,13780.0,12729.4,17093.0,,17086.8,13218.0,,40340.0,15251.3,13055.0,4737.0,32412.5,43379.0,,6547.2,7373.0,-15483.0,-16533.6,-12170.0,,-12176.2,-16045.0,,11077.0,-14011.7,-16208.0,-24526.0,3149.5,14116.0,,-22715.8,-21890.0,False,True,,True,False,,True,True,False,False,True,True,,False,False
South Carolina,52623,36355.0,73587.0,42889.0,,38013.3,15729.0,,34271.0,36750.4,37957.6,15479.8,31706.9,38639.5,,18319.5,31738.0,-16268.0,20964.0,-9734.0,,-14609.7,-36894.0,,-18352.0,-15872.6,-14665.4,-37143.2,-20916.1,-13983.5,,-34303.5,-20885.0,False,True,,True,False,,False,True,True,False,False,True,,False,False
South Dakota,39312,39255.0,38526.0,43418.0,,35135.1,26407.0,,39060.0,47240.9,63069.1,3429.6,66724.8,57505.0,,23065.3,10495.0,-57.0,-786.0,4106.0,,-4176.9,-12905.0,,-252.0,7928.9,23757.1,-35882.4,27412.8,18193.0,,-16246.7,-28817.0,False,False,,False,False,,False,False,False,False,False,False,,False,False
Tennessee,136850,82925.0,148117.6,73064.0,,91815.5,41205.0,,86083.0,104985.6,118175.4,30546.4,143321.1,76797.0,,63954.0,58526.0,-53925.0,11267.6,-63786.0,,-45034.5,-95645.0,,-50767.0,-31864.4,-18674.6,-106303.6,6471.1,-60053.0,,-72896.0,-78324.0,True,False,,True,False,,True,True,True,False,True,False,,False,False
Texas,431253,219495.0,218759.0,277590.0,,226356.8,71708.0,,275749.0,221834.4,305503.0,129731.2,329951.5,272138.5,,103898.1,236735.0,-211758.0,-212494.0,-153663.0,,-204896.2,-359545.0,,-155504.0,-209418.6,-125750.0,-301521.8,-101301.5,-159114.5,,-327354.9,-194518.0,False,True,,True,False,,True,True,True,False,True,True,,False,True
Utah,98188,57695.0,34491.6,52401.0,,55091.3,16336.0,,58931.0,66024.7,33624.0,30086.5,70185.3,73842.5,,29929.7,40978.0,-40493.0,-63696.4,-45787.0,,-43096.7,-81852.0,,-39257.0,-32163.3,-64564.0,-68101.5,-28002.7,-24345.5,,-68258.3,-57210.0,False,False,,False,False,,True,True,False,False,True,True,,False,False
Vermont,2715,680.0,139.7,1358.0,,118.3,236.0,,929.0,514.5,3650.6,779.7,1559.6,767.5,,538.9,1022.0,-2035.0,-2575.3,-1357.0,,-2596.7,-2479.0,,-1786.0,-2200.5,935.6,-1935.3,-1155.4,-1947.5,,-2176.1,-1693.0,False,True,,False,False,,True,False,True,True,True,True,,False,True
Virginia,69983,44090.0,89313.1,57140.0,,41812.6,8814.0,,38455.0,43132.3,60966.9,34442.7,51134.5,50968.0,,36957.0,48353.0,-25893.0,19330.1,-12843.0,,-28170.4,-61169.0,,-31528.0,-26850.7,-9016.1,-35540.3,-18848.5,-19015.0,,-33026.0,-21630.0,True,True,,False,False,,False,False,True,False,True,True,,False,True
Washington,72273,26185.0,36511.3,33255.0,,33310.0,13821.0,,22292.0,27343.1,26421.6,33338.8,33572.9,31603.5,,19618.2,31187.0,-46088.0,-35761.7,-39018.0,,-38963.0,-58452.0,,-49981.0,-44929.9,-45851.4,-38934.2,-38700.1,-40669.5,,-52654.8,-41086.0,True,True,,True,False,,False,True,True,True,True,True,,False,True
West Virginia,29112,13720.0,25610.9,20543.0,,12127.3,9898.0,,11011.0,14915.8,38477.6,8605.9,23000.1,20904.0,,7256.5,11149.0,-15392.0,-3501.1,-8569.0,,-16984.7,-19214.0,,-18101.0,-14196.2,9365.6,-20506.1,-6111.9,-8208.0,,-21855.5,-17963.0,True,True,,False,False,,False,True,True,False,True,True,,False,False
Wisconsin,200049,154145.0,279315.6,173392.0,,153551.8,67317.0,,140042.0,209937.2,274475.3,46743.2,320416.0,179906.5,,209141.5,85055.0,-45904.0,79266.6,-26657.0,,-46497.2,-132732.0,,-60007.0,9888.2,74426.3,-153305.8,120367.0,-20142.5,,9092.5,-114994.0,False,True,,False,False,,False,True,False,False,False,True,,True,False
Wyoming,22643,12465.0,39590.5,13208.0,,13831.1,7327.0,,13754.0,17572.9,44486.3,2092.9,25974.6,22558.0,,16362.7,10113.0,-10178.0,16947.5,-9435.0,,-8811.9,-15316.0,,-8889.0,-5070.1,21843.3,-20550.1,3331.6,-85.0,,-6280.3,-12530.0,False,True,,True,False,,True,True,False,False,True,True,,True,False
US,5517463,2743320.0,3088366.3,3434725.0,8078508.0,3519370.6,1998349.0,2910177.0,2698209.0,2932704.9,3324461.3,1733965.7,4753390.0,4119626.5,3469781.4,2875787.3,2841832.5,-2774143.0,-2429096.7,-2082738.0,2561045.0,-1998092.4,-3519114.0,-2607286.0,-2819254.0,-2584758.1,-2193001.7,-3783497.3,-764073.0,-1397836.5,-2047681.6,-2641675.7,-2675630.5,True,True,True,True,False,True,False,True,True,False,True,True,True,True,True
