,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Georgia,149766,61326.0,59935.7,72790.0,,63232.2,19282.0,,52224.0,58216.2,59575.3,36208.3,38664.8,34146.4,57427.9,53709.0,-88440.0,-89830.3,-76976.0,,-86533.8,-130484.0,,-97542.0,-91549.8,-90190.7,-113557.7,-111101.2,-115619.6,-92338.1,-96057.0,False,True,,True,False,,False,False,False,False,False,False,False,False
Hawaii,3980,3624.0,8686.9,4769.0,,3719.8,1095.0,,,4259.0,3750.3,8158.9,2516.3,3247.3,5902.8,2102.0,-356.0,4706.9,789.0,,-260.2,-2885.0,,,279.0,-229.7,4178.9,-1463.7,-732.7,1922.8,-1878.0,False,False,,True,False,,,True,True,False,False,False,False,False
Idaho,51011,36672.0,119090.6,54261.0,,37287.6,11582.0,,29002.0,50542.3,49715.1,10751.4,21876.6,14527.1,26683.0,25336.0,-14339.0,68079.6,3250.0,,-13723.4,-39429.0,,-22009.0,-468.7,-1295.9,-40259.6,-29134.4,-36483.9,-24328.0,-25675.0,False,True,,True,False,,False,True,True,False,False,False,False,False
Illinois,405074,189090.0,306095.5,220803.0,,207230.7,152705.0,,146148.0,250892.6,171242.5,130210.9,116524.1,95843.2,167523.0,178894.0,-215984.0,-98978.5,-184271.0,,-197843.3,-252369.0,,-258926.0,-154181.4,-233831.5,-274863.1,-288549.9,-309230.8,-237551.0,-226180.0,True,True,,True,False,,False,True,False,False,False,False,False,False
Indiana,214565,86862.0,122992.0,107730.0,,87304.9,83344.0,,83905.0,149185.2,93903.5,77893.8,62932.8,43165.1,100619.7,123895.0,-127703.0,-91573.0,-106835.0,,-127260.1,-131221.0,,-130660.0,-65379.8,-120661.5,-136671.2,-151632.2,-171399.9,-113945.3,-90670.0,True,True,,True,False,,False,True,True,False,False,False,True,True
Iowa,128549,48828.0,76759.7,51531.0,,52131.5,24419.0,,44060.0,65367.5,69145.9,22002.9,37489.7,18723.7,43218.9,54112.0,-79721.0,-51789.3,-77018.0,,-76417.5,-104130.0,,-84489.0,-63181.5,-59403.1,-106546.1,-91059.3,-109825.3,-85330.1,-74437.0,True,True,,True,False,,False,True,True,False,False,False,False,True
Kansas,92958,33090.0,45453.6,29973.0,,33283.0,36267.0,,30148.0,34235.8,64178.8,13487.0,13921.4,16153.3,18682.3,19726.0,-59868.0,-47504.4,-62985.0,,-59675.0,-56691.0,,-62810.0,-58722.2,-28779.2,-79471.0,-79036.6,-76804.7,-74275.7,-73232.0,True,False,,True,True,,False,True,True,False,False,False,False,False
Kentucky,102584,52098.0,83372.9,64771.0,,49988.1,38680.0,,50963.0,78973.8,69553.0,24853.8,40380.8,26374.7,68676.7,68664.0,-50486.0,-19211.1,-37813.0,,-52595.9,-63904.0,,-51621.0,-23610.2,-33031.0,-77730.2,-62203.2,-76209.3,-33907.3,-33920.0,True,True,,False,False,,False,True,True,False,False,False,True,True
Louisiana,64574,25392.0,20649.2,29184.0,,25642.2,5780.0,,26950.0,23400.2,25095.6,20378.9,15223.8,13342.4,19982.7,14813.0,-39182.0,-43924.8,-35390.0,,-38931.8,-58794.0,,-37624.0,-41173.8,-39478.4,-44195.1,-49350.2,-51231.6,-44591.3,-49761.0,False,True,,True,False,,True,False,False,False,False,False,False,False
Maine,6991,1344.0,428.2,1856.0,,1212.2,656.0,,1692.0,1638.6,7635.1,2760.5,1083.0,1035.5,4156.8,1896.0,-5647.0,-6562.8,-5135.0,,-5778.8,-6335.0,,-5299.0,-5352.4,644.1,-4230.5,-5908.0,-5955.5,-2834.2,-5095.0,False,True,,False,False,,True,True,True,True,False,False,True,True
Maryland,72897,26160.0,28425.0,29257.0,,27629.0,7498.0,,22434.0,34691.4,18627.8,28179.6,17612.6,16401.8,31297.6,27995.0,-46737.0,-44472.0,-43640.0,,-45268.0,-65399.0,,-50463.0,-38205.6,-54269.2,-44717.4,-55284.4,-56495.2,-41599.4,-44902.0,True,True,,True,False,,False,True,False,True,False,False,True,True
Massachusetts,102529,39348.0,37074.7,59346.0,,38447.2,22410.0,,26484.0,37301.8,22673.0,53480.1,26266.3,23062.8,55053.9,44177.0,-63181.0,-65454.3,-43183.0,,-64081.8,-80119.0,,-76045.0,-65227.2,-79856.0,-49048.9,-76262.7,-79466.2,-47475.1,-58352.0,False,True,,False,False,,False,False,False,True,False,False,True,True
Michigan,250964,87042.0,174013.0,108344.0,,99318.8,74294.0,,88903.0,152837.2,93813.1,100562.7,31087.2,44663.9,70016.2,157530.0,-163922.0,-76951.0,-142620.0,,-151645.2,-176670.0,,-162061.0,-98126.8,-157150.9,-150401.3,-219876.8,-206300.1,-180947.8,-93434.0,True,True,,True,False,,True,True,True,True,False,False,False,True
Minnesota,213159,66192.0,97496.1,70891.0,,93563.1,68938.0,,82051.0,93635.3,70492.0,28439.3,46999.5,24713.6,62909.3,62220.0,-146967.0,-115662.9,-142268.0,,-119595.9,-144221.0,,-131108.0,-119523.7,-142667.0,-184719.7,-166159.5,-188445.4,-150249.7,-150939.0,True,True,,True,True,,True,True,True,False,False,False,False,False
Mississippi,48370,30492.0,32170.6,29841.0,,25642.3,10421.0,,28045.0,52600.6,33658.5,11675.2,12321.8,11236.0,16837.2,22178.0,-17878.0,-16199.4,-18529.0,,-22727.7,-37949.0,,-20325.0,4230.6,-14711.5,-36694.8,-36048.2,-37134.0,-31532.8,-26192.0,True,False,,False,False,,False,True,True,False,False,False,False,False
Missouri,155759,76326.0,76860.2,76127.0,,82432.7,58547.0,,60560.0,116905.4,124422.4,29861.9,45567.5,44626.2,60406.3,44664.0,-79433.0,-78898.8,-79632.0,,-73326.3,-97212.0,,-95199.0,-38853.6,-31336.6,-125897.1,-110191.5,-111132.8,-95352.7,-111095.0,True,False,,True,False,,False,True,True,False,False,False,False,False
Montana,39927,29502.0,34108.6,30707.0,,28559.4,19205.0,,30179.0,49341.9,107468.0,3776.5,22905.6,10849.9,19361.2,18201.0,-10425.0,-5818.4,-9220.0,,-11367.6,-20722.0,,-9748.0,9414.9,67541.0,-36150.5,-17021.4,-29077.1,-20565.8,-21726.0,True,True,,False,False,,True,True,False,False,False,False,False,False
Nebraska,75353,35298.0,100018.4,34109.0,,39441.2,38367.0,,33030.0,50129.4,59149.7,19166.6,19862.2,17893.7,17120.1,16336.0,-40055.0,24665.4,-41244.0,,-35911.8,-36986.0,,-42323.0,-25223.6,-16203.3,-56186.4,-55490.8,-57459.3,-58232.9,-59017.0,True,False,,True,True,,False,True,True,False,False,False,False,False
Nevada,70816,30960.0,16769.0,38432.0,,31830.4,6898.0,,21057.0,42250.8,26989.0,20926.7,22498.2,14233.1,39586.1,25975.0,-39856.0,-54047.0,-32384.0,,-38985.6,-63918.0,,-49759.0,-28565.2,-43827.0,-49889.3,-48317.8,-56582.9,-31229.9,-44841.0,False,True,,True,False,,False,True,False,False,False,False,True,False
New Hampshire,13994,3678.0,682.8,4777.0,,3356.6,4374.0,,3159.0,6617.3,5991.0,4528.8,2595.0,1966.3,7160.0,4892.0,-10316.0,-13311.2,-9217.0,,-10637.4,-9620.0,,-10835.0,-7376.7,-8003.0,-9465.2,-11399.0,-12027.7,-6834.0,-9102.0,False,True,,False,True,,False,True,True,True,False,False,True,True
New Jersey,134647,51606.0,78832.9,76603.0,,86392.8,71059.0,,37382.0,49442.4,26138.0,77389.7,30360.9,35382.2,64552.5,59713.0,-83041.0,-55814.1,-58044.0,,-48254.2,-63588.0,,-97265.0,-85204.6,-108509.0,-57257.3,-104286.1,-99264.8,-70094.5,-74934.0,True,True,,True,True,,False,False,False,True,False,False,True,True
New Mexico,65816,28182.0,49101.3,32682.0,,29034.2,8473.0,,27309.0,50572.8,31781.4,14079.3,23487.9,11665.8,35428.9,36772.0,-37634.0,-16714.7,-33134.0,,-36781.8,-57343.0,,-38507.0,-15243.2,-34034.6,-51736.7,-42328.1,-54150.2,-30387.1,-29044.0,True,True,,True,False,,False,True,True,False,False,False,True,True
New York,202293,65646.0,38052.5,86683.0,,72255.2,36360.0,,49638.0,81490.0,52282.1,181666.1,41758.5,32411.9,99714.5,74589.0,-136647.0,-164240.5,-115610.0,,-130037.8,-165933.0,,-152655.0,-120803.0,-150010.9,-20626.9,-160534.5,-169881.1,-102578.5,-127704.0,False,True,,True,False,,False,True,False,True,False,False,True,True
North Carolina,130260,87402.0,156481.8,88327.0,,81541.4,47664.0,,86708.0,120150.0,93651.8,57288.7,52139.7,48533.0,83816.0,77535.0,-42858.0,26221.8,-41933.0,,-48718.6,-82596.0,,-43552.0,-10110.0,-36608.2,-72971.3,-78120.3,-81727.0,-46444.0,-52725.0,True,True,,False,False,,False,True,True,False,False,False,False,False
North Dakota,45630,33678.0,19386.4,26880.0,,30668.2,19758.0,,35078.0,33031.0,71589.8,6866.0,24431.1,30588.1,15888.6,37128.0,-11952.0,-26243.6,-18750.0,,-14961.8,-25872.0,,-10552.0,-12599.0,25959.8,-38764.0,-21198.9,-15041.9,-29741.4,-8502.0,False,False,,False,False,,True,False,False,False,False,False,False,True
Ohio,271626,93486.0,534246.8,120544.0,,97994.8,48718.0,,91921.0,148882.0,82081.5,101062.7,63822.3,42442.6,136174.1,119841.0,-178140.0,262620.8,-151082.0,,-173631.2,-222908.0,,-179705.0,-122744.0,-189544.5,-170563.3,-207803.7,-229183.4,-135451.9,-151785.0,False,True,,True,False,,False,True,False,True,False,False,True,True
Oklahoma,97560,55302.0,86348.8,56518.0,,52808.7,43121.0,,56124.0,68446.7,66964.3,23472.6,33630.6,23866.7,47314.7,43669.0,-42258.0,-11211.2,-41042.0,,-44751.3,-54439.0,,-41436.0,-29113.3,-30595.7,-74087.4,-63929.4,-73693.3,-50245.3,-53891.0,True,True,,False,False,,True,True,True,False,False,False,False,False
Oregon,41504,14544.0,24146.9,16017.0,,13271.9,9403.0,,13671.0,18561.3,19550.4,16258.7,10250.1,5714.4,24175.0,15080.0,-26960.0,-17357.1,-25487.0,,-28232.1,-32101.0,,-27833.0,-22942.7,-21953.6,-25245.3,-31253.9,-35789.6,-17329.0,-26424.0,True,True,,False,False,,False,True,True,True,False,False,True,True
Pennsylvania,218265,70212.0,89227.1,83676.0,,77228.9,55432.0,,66397.0,88528.4,71928.8,103353.1,39368.3,32882.3,84916.9,68311.0,-148053.0,-129037.9,-134589.0,,-141036.1,-162833.0,,-151868.0,-129736.6,-146336.2,-114911.9,-178896.7,-185382.7,-133348.1,-149954.0,True,True,,True,False,,False,True,True,True,False,False,True,False
Rhode Island,32019,14562.0,17082.3,10769.0,,17182.3,11742.0,,10270.0,14236.9,11151.2,7024.7,5681.2,7268.9,6331.2,8963.0,-17457.0,-14936.7,-21250.0,,-14836.7,-20277.0,,-21749.0,-17782.1,-20867.8,-24994.3,-26337.8,-24750.1,-25687.8,-23056.0,True,False,,True,False,,False,False,False,False,False,False,False,False
South Carolina,59894,36762.0,90691.5,41507.0,,43266.5,16477.0,,39687.0,43171.4,35742.4,11671.5,26639.9,13367.4,36702.1,30661.0,-23132.0,30797.5,-18387.0,,-16627.5,-43417.0,,-20207.0,-16722.6,-24151.6,-48222.5,-33254.1,-46526.6,-23191.9,-29233.0,False,True,,True,False,,True,True,False,False,False,False,False,False
South Dakota,47163,33180.0,42142.9,29068.0,,31951.3,30974.0,,33398.0,40451.1,66454.6,4102.0,31956.5,22875.0,24466.5,15322.0,-13983.0,-5020.1,-18095.0,,-15211.7,-16189.0,,-13765.0,-6711.9,19291.6,-43061.0,-15206.5,-24288.0,-22696.5,-31841.0,True,False,,False,False,,True,True,False,False,False,False,False,False
Tennessee,153435,107688.0,160439.5,156154.0,,100712.0,42151.0,,88128.0,137253.1,119911.0,39102.1,88628.8,51574.0,140034.5,68669.0,-45747.0,7004.5,2719.0,,-52723.0,-111284.0,,-65307.0,-16181.9,-33524.0,-114332.9,-64806.2,-101861.0,-13400.5,-84766.0,True,True,,False,False,,False,True,True,False,False,False,True,False
Texas,415424,239520.0,234512.1,316331.0,,224426.9,80060.0,,263395.0,204213.2,237921.3,160023.8,114359.7,123364.3,282081.2,186976.0,-175904.0,-180911.9,-99093.0,,-190997.1,-335364.0,,-152029.0,-211210.8,-177502.7,-255400.2,-301064.3,-292059.7,-133342.8,-228448.0,False,True,,False,False,,True,False,False,False,False,False,True,False
Utah,109727,58920.0,41990.3,54879.0,,56026.9,21437.0,,58366.0,64852.2,33381.4,29933.0,47490.4,30257.3,50185.0,46528.0,-50807.0,-67736.7,-54848.0,,-53700.1,-88290.0,,-51361.0,-44874.8,-76345.6,-79794.0,-62236.6,-79469.7,-59542.0,-63199.0,False,False,,False,False,,False,True,False,False,False,False,False,False
Vermont,2851,702.0,145.7,1497.0,,231.1,366.0,,563.0,692.3,2968.8,941.4,632.2,377.0,9199.6,1524.0,-2149.0,-2705.3,-1354.0,,-2619.9,-2485.0,,-2288.0,-2158.7,117.8,-1909.6,-2218.8,-2474.0,6348.6,-1327.0,False,True,,False,False,,False,False,True,True,False,False,False,True
Virginia,78801,41976.0,117489.3,45266.0,,44402.3,9520.0,,37366.0,54061.4,51452.1,41224.3,26281.7,26848.8,37534.4,35678.0,-36825.0,38688.3,-33535.0,,-34398.7,-69281.0,,-41435.0,-24739.6,-27348.9,-37576.7,-52519.3,-51952.2,-41266.6,-43123.0,False,True,,True,False,,False,True,True,False,False,False,False,False
Washington,73529,27558.0,52221.8,28914.0,,31824.9,14090.0,,20177.0,34949.6,25602.5,40138.6,18525.3,11941.2,38270.1,31424.0,-45971.0,-21307.2,-44615.0,,-41704.1,-59439.0,,-53352.0,-38579.4,-47926.5,-33390.4,-55003.7,-61587.8,-35258.9,-42105.0,True,True,,True,False,,False,True,False,True,False,False,True,True
West Virginia,31856,11466.0,34473.6,16050.0,,13283.2,8543.0,,9932.0,15780.7,48086.6,10296.9,6920.6,4806.7,9356.7,7176.0,-20390.0,2617.6,-15806.0,,-18572.8,-23313.0,,-21924.0,-16075.3,16230.6,-21559.1,-24935.4,-27049.3,-22499.3,-24680.0,True,True,,True,False,,False,True,True,False,False,False,False,False
Wisconsin,232779,170124.0,340979.7,217176.0,,146150.2,67821.0,,167064.0,161768.2,236905.5,50065.3,106738.9,164850.3,86530.9,64253.0,-62655.0,108200.7,-15603.0,,-86628.8,-164958.0,,-65715.0,-71010.8,4126.5,-182713.7,-126040.1,-67928.7,-146248.1,-168526.0,False,True,,False,False,,False,False,True,False,False,False,False,False
Wyoming,25061,11934.0,51767.9,11670.0,,11993.7,5466.0,,11205.0,18598.6,34057.7,2959.0,8955.6,10123.7,10884.0,7689.0,-13127.0,26706.9,-13391.0,,-13067.3,-19595.0,,-13856.0,-6462.4,8996.7,-22102.0,-16105.4,-14937.3,-14177.0,-17372.0,False,False,,True,False,,False,True,True,False,False,False,False,False
US,6008854,2812758.0,3723207.2,3433296.0,4056490.0,4181047.7,1647444.0,3128787.0,2612390.0,3396099.5,3080676.0,2008183.8,1582020.6,2396934.4,2918789.3,2782283.0,-3196096.0,-2285646.8,-2575558.0,-1952364.0,-1827806.3,-4361410.0,-2880067.0,-3396464.0,-2612754.5,-2928178.0,-4000670.2,-4426833.4,-3611919.6,-3090064.7,-3226571.0,True,True,True,True,False,True,False,True,True,False,False,False,True,False
