,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01021,304,201.0,,193.7,,195.0,184.0,,,,161.4,,230.0,,104.4,,140.6,234.0,,176.5,237.5,,215.0,,,,,186.7,,,,,305.6,-103.0,,-110.3,,-109.0,-120.0,,,,-142.6,,-74.0,,-199.6,,-163.4,-70.0,,-127.5,-66.5,,-89.0,,,,,-117.3,,,,,1.6,,False,,False,False,,,,False,,True,,False,,False,True,,False,True,,True,,,,,False,,,,,True
01023,28,9.0,,11.1,,11.0,0.0,,,,14.4,,51.0,,10.5,,25.6,,,9.0,23.6,,,,,,,,,,,,26.2,-19.0,,-16.9,,-17.0,-28.0,,,,-13.6,,23.0,,-17.5,,-2.4,,,-19.0,-4.4,,,,,,,,,,,,-1.8,,True,,True,False,,,,True,,False,,True,,True,,,False,True,,,,,,,,,,,,True
01025,166,180.0,,175.3,,160.0,129.0,,,,115.6,,117.0,,80.1,,115.1,,,177.0,194.0,,179.0,,,,,153.8,,,,,198.8,14.0,,9.3,,-6.0,-37.0,,,,-50.4,,-49.0,,-85.9,,-50.9,,,11.0,28.0,,13.0,,,,,-12.2,,,,,32.8,,True,,True,False,,,,False,,False,,False,,False,,,True,False,,True,,,,,True,,,,,False
01027,111,99.0,,98.9,,97.0,86.0,,,,78.3,,76.0,,20.9,,43.4,,,103.0,134.0,,131.0,,,,,,,,,,136.1,-12.0,,-12.1,,-14.0,-25.0,,,,-32.7,,-35.0,,-90.1,,-67.6,,,-8.0,23.0,,20.0,,,,,,,,,,25.1,,False,,False,False,,,,False,,False,,False,,False,,,True,False,,False,,,,,,,,,,False
01029,160,111.0,,103.9,,94.0,55.0,,,,64.6,,98.0,,54.1,,59.4,,,78.0,150.2,,173.0,,,,,,,,,,165.3,-49.0,,-56.1,,-66.0,-105.0,,,,-95.4,,-62.0,,-105.9,,-100.6,,,-82.0,-9.8,,13.0,,,,,,,,,,5.3,,False,,False,False,,,,False,,False,,False,,False,,,False,True,,True,,,,,,,,,,True
01031,482,555.0,,519.8,,530.0,485.0,,,,287.7,,211.0,,609.2,,396.8,509.0,,821.0,614.8,,779.0,,,,,438.2,,,,,622.5,73.0,,37.8,,48.0,3.0,,,,-194.3,,-271.0,,127.2,,-85.2,27.0,,339.0,132.8,,297.0,,,,,-43.8,,,,,140.5,,True,,True,True,,,,False,,False,,False,,False,True,,False,False,,False,,,,,True,,,,,False
01033,809,771.0,,830.9,,771.0,989.0,,,,363.7,,494.0,,264.7,,490.6,828.0,,1022.0,777.6,,534.0,,,,,372.0,,,,,694.7,-38.0,,21.9,,-38.0,180.0,,,,-445.3,,-315.0,,-544.3,,-318.4,19.0,,213.0,-31.4,,-275.0,,,,,-437.0,,,,,-114.3,,True,,False,False,,,,False,,False,,False,,False,True,,False,True,,False,,,,,False,,,,,False
01035,96,105.0,,106.2,,106.0,33.0,,,,40.4,,48.0,,193.9,,38.7,,,184.0,136.4,,173.0,,,,,,,,,,212.3,9.0,,10.2,,10.0,-63.0,,,,-55.6,,-48.0,,97.9,,-57.3,,,88.0,40.4,,77.0,,,,,,,,,,116.3,,False,,False,False,,,,False,,False,,False,,False,,,False,False,,False,,,,,,,,,,False
01037,126,96.0,,101.6,,83.0,64.0,,,,49.0,,45.0,,38.7,,32.4,,,113.0,107.8,,129.0,,,,,,,,,,82.5,-30.0,,-24.4,,-43.0,-62.0,,,,-77.0,,-81.0,,-87.3,,-93.6,,,-13.0,-18.2,,3.0,,,,,,,,,,-43.5,,True,,False,False,,,,False,,False,,False,,False,,,True,True,,True,,,,,,,,,,False
01039,336,243.0,,261.4,,212.0,209.0,,,,182.8,,174.0,,62.2,,185.0,269.0,,195.0,306.9,,222.0,,,,,183.7,,,,,276.0,-93.0,,-74.6,,-124.0,-127.0,,,,-153.2,,-162.0,,-273.8,,-151.0,-67.0,,-141.0,-29.1,,-114.0,,,,,-152.3,,,,,-60.0,,True,,False,False,,,,False,,False,,False,,False,True,,False,True,,False,,,,,False,,,,,True
01041,70,90.0,,84.6,,90.0,43.0,,,,41.5,,50.0,,144.8,,41.8,,,98.0,107.0,,129.0,,,,,,,,,,116.7,20.0,,14.6,,20.0,-27.0,,,,-28.5,,-20.0,,74.8,,-28.2,,,28.0,37.0,,59.0,,,,,,,,,,46.7,,True,,False,False,,,,False,,False,,False,,False,,,False,False,,False,,,,,,,,,,False
01043,1334,1533.0,,1546.7,,1545.0,1836.0,,,,732.0,,675.0,,1237.1,,959.9,1769.5,,1808.5,1639.7,,2147.0,,,,,926.9,,,,,2362.6,199.0,,212.7,,211.0,502.0,,,,-602.0,,-659.0,,-96.9,,-374.1,435.5,,474.5,305.7,,813.0,,,,,-407.1,,,,,1028.6,,False,,False,False,,,,False,,False,,True,,False,False,,False,False,,False,,,,,False,,,,,False
01045,353,390.0,,391.9,,392.0,553.0,,,,234.9,,221.0,,147.5,,365.6,460.0,,501.0,434.7,,356.0,,,,,251.1,,,,,597.3,37.0,,38.9,,39.0,200.0,,,,-118.1,,-132.0,,-205.5,,12.6,107.0,,148.0,81.7,,3.0,,,,,-101.9,,,,,244.3,,False,,False,False,,,,False,,False,,False,,True,False,,False,False,,True,,,,,False,,,,,False
01047,323,222.0,,209.9,,208.0,126.0,,,,138.1,,167.0,,204.3,,161.4,205.0,,489.0,297.1,,363.0,,,,,105.9,,,,,248.6,-101.0,,-113.1,,-115.0,-197.0,,,,-184.9,,-156.0,,-118.7,,-161.6,-118.0,,166.0,-25.9,,40.0,,,,,-217.1,,,,,-74.4,,False,,False,False,,,,False,,False,,False,,False,False,,False,True,,True,,,,,False,,,,,True
01049,1107,954.0,,1041.2,,798.0,791.0,,,,681.7,,575.0,,511.4,,593.3,880.0,,842.5,1055.9,,891.0,,,,,612.9,,,,,823.0,-153.0,,-65.8,,-309.0,-316.0,,,,-425.3,,-532.0,,-595.6,,-513.7,-227.0,,-264.5,-51.1,,-216.0,,,,,-494.1,,,,,-284.0,,True,,False,False,,,,False,,False,,False,,False,False,,False,True,,False,,,,,False,,,,,False
01051,822,558.0,,553.6,,542.0,639.0,,,,402.8,,341.0,,570.0,,332.5,498.5,,599.0,746.1,,866.0,,,,,406.9,,,,,519.3,-264.0,,-268.4,,-280.0,-183.0,,,,-419.2,,-481.0,,-252.0,,-489.5,-323.5,,-223.0,-75.9,,44.0,,,,,-415.1,,,,,-302.7,,False,,False,True,,,,False,,False,,True,,False,False,,True,True,,True,,,,,False,,,,,False
01053,227,138.0,,131.1,,138.0,24.0,,,,109.6,,189.0,,60.0,,114.9,149.0,,268.0,219.9,,273.0,,,,,118.0,,,,,168.9,-89.0,,-95.9,,-89.0,-203.0,,,,-117.4,,-38.0,,-167.0,,-112.1,-78.0,,41.0,-7.1,,46.0,,,,,-109.0,,,,,-58.1,,False,,False,False,,,,False,,True,,False,,False,True,,True,True,,True,,,,,False,,,,,True
01055,1878,1311.0,,1324.5,,1314.0,1470.0,,,,1591.0,,739.0,,696.1,,761.7,1346.5,,1548.0,1608.6,,2035.0,,,,,899.0,,,,,1422.2,-567.0,,-553.5,,-564.0,-408.0,,,,-287.0,,-1139.0,,-1181.9,,-1116.3,-531.5,,-330.0,-269.4,,157.0,,,,,-979.0,,,,,-455.8,,True,,True,True,,,,True,,False,,False,,False,True,,True,True,,True,,,,,False,,,,,True
01057,318,207.0,,207.0,,207.0,168.0,,,,91.3,,106.0,,456.9,,99.3,,,304.0,238.1,,317.0,,,,,,,,,,213.5,-111.0,,-111.0,,-111.0,-150.0,,,,-226.7,,-212.0,,138.9,,-218.7,,,-14.0,-79.9,,-1.0,,,,,,,,,,-104.5,,True,,False,False,,,,False,,False,,False,,False,,,True,True,,True,,,,,,,,,,True
01059,365,225.0,,205.9,,207.0,98.0,,,,162.1,,320.0,,40.8,,221.8,264.0,,164.0,283.7,,216.0,,,,,144.2,,,,,252.1,-140.0,,-159.1,,-158.0,-267.0,,,,-202.9,,-45.0,,-324.2,,-143.2,-101.0,,-201.0,-81.3,,-149.0,,,,,-220.8,,,,,-112.9,,False,,False,False,,,,False,,True,,False,,False,True,,False,True,,False,,,,,False,,,,,True
01061,221,204.0,,227.1,,194.0,228.0,,,,105.4,,121.0,,104.6,,125.7,,,316.0,270.2,,248.0,,,,,172.0,,,,,200.7,-17.0,,6.1,,-27.0,7.0,,,,-115.6,,-100.0,,-116.4,,-95.3,,,95.0,49.2,,27.0,,,,,-49.0,,,,,-20.3,,True,,False,True,,,,False,,False,,False,,False,,,False,False,,False,,,,,False,,,,,False
01063,92,48.0,,46.5,,42.0,0.0,,,,28.3,,32.0,,26.0,,24.5,,,38.0,46.0,,39.0,,,,,,,,,,58.4,-44.0,,-45.5,,-50.0,-92.0,,,,-63.7,,-60.0,,-66.0,,-67.5,,,-54.0,-46.0,,-53.0,,,,,,,,,,-33.6,,False,,False,False,,,,False,,False,,False,,False,,,False,False,,False,,,,,,,,,,True
01065,156,135.0,,141.2,,93.0,42.0,,,,84.5,,75.0,,47.7,,74.4,,,93.0,145.4,,191.0,,,,,,,,,,127.8,-21.0,,-14.8,,-63.0,-114.0,,,,-71.5,,-81.0,,-108.3,,-81.6,,,-63.0,-10.6,,35.0,,,,,,,,,,-28.2,,True,,False,False,,,,False,,False,,False,,False,,,False,True,,False,,,,,,,,,,False
01067,111,102.0,,128.9,,98.0,31.0,,,,63.3,,60.0,,35.5,,72.8,,,105.0,122.5,,78.0,,,,,,,,,,122.8,-9.0,,17.9,,-13.0,-80.0,,,,-47.7,,-51.0,,-75.5,,-38.2,,,-6.0,11.5,,-33.0,,,,,,,,,,11.8,,False,,False,False,,,,False,,False,,False,,False,,,True,False,,False,,,,,,,,,,False
01069,937,723.0,,839.0,,717.0,1028.0,,,,606.3,,520.0,,403.5,,519.5,681.5,,1205.0,918.3,,727.0,,,,,634.4,,,,,569.9,-214.0,,-98.0,,-220.0,91.0,,,,-330.7,,-417.0,,-533.5,,-417.5,-255.5,,268.0,-18.7,,-210.0,,,,,-302.6,,,,,-367.1,,True,,False,True,,,,False,,False,,False,,False,False,,False,True,,True,,,,,False,,,,,False
01071,1151,669.0,,649.1,,645.0,632.0,,,,382.6,,450.0,,325.6,,409.3,616.5,,654.5,809.7,,813.0,,,,,443.1,,,,,788.7,-482.0,,-501.9,,-506.0,-519.0,,,,-768.4,,-701.0,,-825.4,,-741.7,-534.5,,-496.5,-341.3,,-338.0,,,,,-707.9,,,,,-362.3,,False,,False,False,,,,False,,False,,False,,False,False,,False,True,,True,,,,,False,,,,,True
01073,8423,5856.0,,5849.4,7431.7,5887.0,9960.0,,,,7667.7,,3349.0,,5537.0,,3732.4,5620.5,,9950.5,7960.9,,8777.0,,,,,3691.0,12870.0,,,,5398.6,-2567.0,,-2573.6,-991.3,-2536.0,1537.0,,,,-755.3,,-5074.0,,-2886.0,,-4690.6,-2802.5,,1527.5,-462.1,,354.0,,,,,-4732.0,4447.0,,,,-3024.4,,False,True,True,True,,,,True,,False,,False,,False,False,,True,True,,True,,,,,False,False,,,,False
01075,163,84.0,,71.9,,84.0,88.0,,,,44.1,,99.0,,76.7,,42.4,,,59.0,92.6,,66.0,,,,,,,,,,105.9,-79.0,,-91.1,,-79.0,-75.0,,,,-118.9,,-64.0,,-86.3,,-120.6,,,-104.0,-70.4,,-97.0,,,,,,,,,,-57.1,,False,,False,True,,,,False,,True,,False,,False,,,False,True,,False,,,,,,,,,,True
01077,1334,1044.0,,1069.4,,929.0,796.0,,,,531.3,,815.0,,347.1,,751.0,1231.5,,1056.0,1058.1,,1113.0,,,,,474.1,,,,,1422.4,-290.0,,-264.6,,-405.0,-538.0,,,,-802.7,,-519.0,,-986.9,,-583.0,-102.5,,-278.0,-275.9,,-221.0,,,,,-859.9,,,,,88.4,,True,,False,False,,,,False,,False,,False,,False,True,,True,True,,True,,,,,False,,,,,True
01079,350,228.0,,232.0,,224.0,197.0,,,,142.4,,285.0,,60.7,,151.4,238.5,,184.0,245.0,,127.0,,,,,,,,,,293.2,-122.0,,-118.0,,-126.0,-153.0,,,,-207.6,,-65.0,,-289.3,,-198.6,-111.5,,-166.0,-105.0,,-223.0,,,,,,,,,,-56.8,,True,,False,False,,,,False,,True,,False,,False,True,,False,True,,False,,,,,,,,,,True
01081,950,909.0,,926.7,,895.0,1544.0,,,,1505.8,,699.0,,764.3,,411.1,746.0,,1794.0,1326.4,,1329.0,,,,,794.3,1483.0,,,,432.9,-41.0,,-23.3,,-55.0,594.0,,,,555.8,,-251.0,,-185.7,,-538.9,-204.0,,844.0,376.4,,379.0,,,,,-155.7,533.0,,,,-517.1,,True,,False,False,,,,False,,False,,False,,False,False,,False,False,,False,,,,,False,False,,,,False
01083,1082,912.0,,902.0,,900.0,1087.0,,,,554.8,,698.0,,626.3,,497.2,918.5,,995.0,1053.7,,837.0,,,,,676.6,,,,,1121.4,-170.0,,-180.0,,-182.0,5.0,,,,-527.2,,-384.0,,-455.7,,-584.8,-163.5,,-87.0,-28.3,,-245.0,,,,,-405.4,,,,,39.4,,False,,False,True,,,,False,,False,,False,,False,True,,True,True,,False,,,,,False,,,,,True
01085,75,39.0,,38.0,,35.0,0.0,,,,30.2,,34.0,,13.5,,31.7,,,34.0,62.0,,39.0,,,,,,,,,,63.1,-36.0,,-37.0,,-40.0,-75.0,,,,-44.8,,-41.0,,-61.5,,-43.3,,,-41.0,-13.0,,-36.0,,,,,,,,,,-11.9,,False,,False,False,,,,False,,False,,False,,False,,,False,True,,False,,,,,,,,,,True
01087,129,153.0,,147.5,,142.0,173.0,,,,57.2,,55.0,,81.0,,84.1,,,195.5,143.9,,212.0,,,,,,,,,,160.1,24.0,,18.5,,13.0,44.0,,,,-71.8,,-74.0,,-48.0,,-44.9,,,66.5,14.9,,83.0,,,,,,,,,,31.1,,True,,True,False,,,,False,,False,,False,,False,,,False,True,,False,,,,,,,,,,False
01089,3699,2613.0,,2614.5,,2848.0,4114.0,,,,3227.3,,1964.0,,3044.0,,1846.5,2375.0,,3992.0,3660.2,,3000.0,,,,,1684.0,4314.0,,,,3316.4,-1086.0,,-1084.5,,-851.0,415.0,,,,-471.7,,-1735.0,,-655.0,,-1852.5,-1324.0,,293.0,-38.8,,-699.0,,,,,-2015.0,615.0,,,,-382.6,,True,,True,True,,,,True,,False,,True,,False,False,,True,True,,True,,,,,False,True,,,,True
01091,162,120.0,,105.8,,99.0,32.0,,,,84.9,,100.0,,55.0,,92.4,,,68.0,127.3,,72.0,,,,,103.5,,,,,156.3,-42.0,,-56.2,,-63.0,-130.0,,,,-77.1,,-62.0,,-107.0,,-69.6,,,-94.0,-34.7,,-90.0,,,,,-58.5,,,,,-5.7,,False,,False,False,,,,False,,False,,False,,False,,,False,True,,False,,,,,False,,,,,True
01093,267,180.0,,187.1,,222.0,317.0,,,,94.2,,226.0,,71.2,,120.9,221.5,,310.0,256.2,,302.0,,,,,109.8,,,,,258.4,-87.0,,-79.9,,-45.0,50.0,,,,-172.8,,-41.0,,-195.8,,-146.1,-45.5,,43.0,-10.8,,35.0,,,,,-157.2,,,,,-8.6,,True,,True,True,,,,False,,True,,False,,False,True,,True,True,,True,,,,,False,,,,,True
01095,1820,1302.0,,1283.6,,1296.0,1661.0,,,,1267.3,,773.0,,1493.8,,734.8,1179.0,,2420.0,1735.6,,2040.0,,,,,729.2,,,,,1505.7,-518.0,,-536.4,,-524.0,-159.0,,,,-552.7,,-1047.0,,-326.2,,-1085.2,-641.0,,600.0,-84.4,,220.0,,,,,-1090.8,,,,,-314.3,,False,,False,True,,,,False,,False,,True,,False,False,,False,True,,True,,,,,False,,,,,True
01097,2319,2148.0,,2521.3,2489.3,2019.0,2942.0,,,,2446.3,,1840.0,,957.2,,2769.2,1782.5,,1862.0,2584.6,,3153.0,,,,,1366.8,,,,,2413.8,-171.0,,202.3,170.3,-300.0,623.0,,,,127.3,,-479.0,,-1361.8,,450.2,-536.5,,-457.0,265.6,,834.0,,,,,-952.2,,,,,94.8,,False,True,False,False,,,,True,,False,,False,,False,False,,False,False,,False,,,,,False,,,,,True
01099,133,93.0,,93.3,,93.0,79.0,,,,47.5,,80.0,,108.2,,66.0,,,112.0,154.3,,175.0,,,,,,,,,,80.3,-40.0,,-39.7,,-40.0,-54.0,,,,-85.5,,-53.0,,-24.8,,-67.0,,,-21.0,21.3,,42.0,,,,,,,,,,-52.7,,True,,False,False,,,,False,,False,,True,,False,,,True,True,,False,,,,,,,,,,False
01101,1391,1344.0,,1429.4,1883.6,1314.0,1799.0,,,,2201.2,,936.0,,605.0,,1304.1,1463.0,,1283.5,1787.6,,1234.0,,,,,881.0,943.0,,,,1490.0,-47.0,,38.4,492.6,-77.0,408.0,,,,810.2,,-455.0,,-786.0,,-86.9,72.0,,-107.5,396.6,,-157.0,,,,,-510.0,-448.0,,,,99.0,,True,False,False,False,,,,False,,False,,False,,False,False,,False,False,,False,,,,,False,False,,,,False
01103,2179,1545.0,,1540.3,,1519.0,2108.0,,,,2020.0,,904.0,,1274.8,,1051.0,1520.5,,1691.0,1830.0,,1321.0,,,,,978.5,,,,,1599.4,-634.0,,-638.7,,-660.0,-71.0,,,,-159.0,,-1275.0,,-904.2,,-1128.0,-658.5,,-488.0,-349.0,,-858.0,,,,,-1200.5,,,,,-579.6,,False,,False,True,,,,True,,False,,False,,False,False,,True,True,,False,,,,,False,,,,,True
01105,67,63.0,,60.2,,44.0,0.0,,,,37.1,,39.0,,43.6,,27.5,,,34.0,64.0,,85.0,,,,,,,,,,70.3,-4.0,,-6.8,,-23.0,-67.0,,,,-29.9,,-28.0,,-23.4,,-39.5,,,-33.0,-3.0,,18.0,,,,,,,,,,3.3,,False,,False,False,,,,False,,False,,False,,False,,,False,True,,False,,,,,,,,,,True
01107,239,228.0,,228.3,,204.0,120.0,,,,119.6,,119.0,,94.0,,148.6,,,255.0,252.8,,216.0,,,,,,,,,,228.9,-11.0,,-10.7,,-35.0,-119.0,,,,-119.4,,-120.0,,-145.0,,-90.4,,,16.0,13.8,,-23.0,,,,,,,,,,-10.1,,True,,False,False,,,,False,,False,,False,,False,,,False,False,,False,,,,,,,,,,True
