,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,Google_Harvard-CPF,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01021,228,152.0,,155.8,,149.0,89.0,,,,,277.1,223.1,,,290.0,,106.2,,110.9,,147.0,200.3,,194.0,242.0,,,,,129.3,176.2,,,,,177.5,-76.0,,-72.2,,-79.0,-139.0,,,,,49.1,-4.9,,,62.0,,-121.8,,-117.1,,-81.0,-27.7,,-34.0,14.0,,,,,-98.7,-51.8,,,,,-50.5,,True,,False,False,,,,,True,True,,,True,,False,,False,,False,True,,True,True,,,,,False,True,,,,,True
01023,22,12.0,,11.3,,12.0,0.0,,,,,48.5,29.0,,,66.0,,1.8,,15.1,,15.0,14.2,,16.0,47.0,,,,,,24.9,,,,,10.3,-10.0,,-10.7,,-10.0,-22.0,,,,,26.5,7.0,,,44.0,,-20.2,,-6.9,,-7.0,-7.8,,-6.0,25.0,,,,,,2.9,,,,,-11.7,,False,,False,False,,,,,False,True,,,False,,False,,True,,True,True,,True,False,,,,,,True,,,,,False
01025,114,104.0,,103.1,,95.0,78.0,,,,,203.4,164.1,,,147.0,,43.4,,93.5,,69.0,111.1,,125.0,165.0,,,,,90.3,91.0,,,,,109.3,-10.0,,-10.9,,-19.0,-36.0,,,,,89.4,50.1,,,33.0,,-70.6,,-20.5,,-45.0,-2.9,,11.0,51.0,,,,,-23.7,-23.0,,,,,-4.7,,False,,False,False,,,,,False,False,,,False,,False,,False,,False,True,,False,False,,,,,False,False,,,,,True
01027,73,76.0,,78.6,,75.0,47.0,,,,,135.3,116.1,,,93.0,,43.5,,31.1,,75.0,82.3,,103.0,113.0,,,,,,86.9,,,,,72.8,3.0,,5.6,,2.0,-26.0,,,,,62.3,43.1,,,20.0,,-29.5,,-41.9,,2.0,9.3,,30.0,40.0,,,,,,13.9,,,,,-0.2,,False,,True,False,,,,,False,False,,,False,,False,,False,,True,False,,False,False,,,,,,False,,,,,True
01029,79,162.0,,144.5,,132.0,31.0,,,,,160.4,227.4,,,108.0,,141.3,,42.5,,156.0,127.0,,198.0,182.0,,,,,,127.4,,,,,144.8,83.0,,65.5,,53.0,-48.0,,,,,81.4,148.4,,,29.0,,62.3,,-36.5,,77.0,48.0,,119.0,103.0,,,,,,48.4,,,,,65.8,,True,,True,True,,,,,True,False,,,True,,True,,True,,True,True,,False,False,,,,,,True,,,,,True
01031,356,252.0,,264.1,,287.0,316.0,,,,,432.9,338.9,,,289.0,,331.7,,172.0,,286.0,299.4,,349.0,425.0,,,,,184.4,319.5,,,,,330.2,-104.0,,-91.9,,-69.0,-40.0,,,,,76.9,-17.1,,,-67.0,,-24.3,,-184.0,,-70.0,-56.6,,-7.0,69.0,,,,,-171.6,-36.5,,,,,-25.8,,True,,True,True,,,,,True,True,,,True,,True,,False,,True,True,,True,True,,,,,False,True,,,,,True
01033,593,432.0,,470.9,,426.0,522.0,,,,,616.0,532.8,,,573.0,,419.7,,325.7,,444.0,406.9,,659.0,634.0,,,,,276.5,557.3,,,,,456.2,-161.0,,-122.1,,-167.0,-71.0,,,,,23.0,-60.2,,,-20.0,,-173.3,,-267.3,,-149.0,-186.1,,66.0,41.0,,,,,-316.5,-35.7,,,,,-136.8,,True,,False,True,,,,,True,True,,,True,,False,,False,,True,False,,True,True,,,,,False,True,,,,,True
01035,67,58.0,,59.5,,58.0,19.0,,,,,87.8,67.5,,,62.0,,40.1,,35.7,,62.0,56.2,,80.0,94.0,,,,,,79.7,,,,,51.4,-9.0,,-7.5,,-9.0,-48.0,,,,,20.8,0.5,,,-5.0,,-26.9,,-31.3,,-5.0,-10.8,,13.0,27.0,,,,,,12.7,,,,,-15.6,,True,,False,False,,,,,False,True,,,True,,False,,False,,True,False,,False,False,,,,,,False,,,,,False
01037,89,74.0,,69.4,,68.0,66.0,,,,,85.3,89.4,,,51.0,,384.3,,27.0,,56.0,67.9,,107.0,101.0,,,,,,63.7,,,,,93.5,-15.0,,-19.6,,-21.0,-23.0,,,,,-3.7,0.4,,,-38.0,,295.3,,-62.0,,-33.0,-21.1,,18.0,12.0,,,,,,-25.3,,,,,4.5,,False,,False,False,,,,,True,True,,,False,,False,,False,,False,False,,False,True,,,,,,False,,,,,True
01039,242,188.0,,219.8,,158.0,119.0,,,,,285.0,250.7,,,242.0,,73.2,,142.0,,145.0,163.3,,207.0,296.0,,,,,132.5,221.8,,,,,197.6,-54.0,,-22.2,,-84.0,-123.0,,,,,43.0,8.7,,,0.0,,-168.8,,-100.0,,-97.0,-78.7,,-35.0,54.0,,,,,-109.5,-20.2,,,,,-44.4,,True,,False,False,,,,,True,True,,,True,,False,,False,,False,False,,True,False,,,,,False,True,,,,,True
01041,41,58.0,,61.2,,56.0,18.0,,,,,89.6,77.5,,,77.0,,22.5,,42.5,,41.0,61.0,,75.0,100.0,,,,,,136.6,,,,,61.5,17.0,,20.2,,15.0,-23.0,,,,,48.6,36.5,,,36.0,,-18.5,,1.5,,0.0,20.0,,34.0,59.0,,,,,,95.6,,,,,20.5,,False,,True,False,,,,,False,False,,,False,,False,,True,,True,False,,False,False,,,,,,False,,,,,False
01043,920,828.0,,809.7,,784.0,811.0,,,,,1108.0,963.6,,,760.0,,909.2,,620.8,,751.0,737.9,,994.0,1065.0,,,,,478.1,682.9,,,,,983.3,-92.0,,-110.3,,-136.0,-109.0,,,,,188.0,43.6,,,-160.0,,-10.8,,-299.2,,-169.0,-182.1,,74.0,145.0,,,,,-441.9,-237.1,,,,,63.3,,False,,False,False,,,,,False,True,,,False,,True,,False,,False,False,,True,False,,,,,False,False,,,,,True
01045,268,170.0,,186.8,,179.0,223.0,,,,,326.0,251.2,,,294.0,,181.7,,159.9,,198.0,146.6,,141.0,333.0,,,,,153.1,257.6,,,,,218.7,-98.0,,-81.2,,-89.0,-45.0,,,,,58.0,-16.8,,,26.0,,-86.3,,-108.1,,-70.0,-121.4,,-127.0,65.0,,,,,-114.9,-10.4,,,,,-49.3,,True,,True,True,,,,,True,True,,,True,,True,,False,,True,False,,False,True,,,,,False,True,,,,,True
01047,190,266.0,,262.4,,214.0,99.0,,,,,335.1,299.1,,,198.0,,162.7,,152.6,,499.0,254.1,,343.0,329.0,,,,,188.5,212.4,,,,,215.0,76.0,,72.4,,24.0,-91.0,,,,,145.1,109.1,,,8.0,,-27.3,,-37.4,,309.0,64.1,,153.0,139.0,,,,,-1.5,22.4,,,,,25.0,,True,,True,False,,,,,False,False,,,True,,True,,True,,False,True,,False,False,,,,,True,True,,,,,True
01049,705,804.0,,795.1,,785.0,1063.0,,,,,968.4,884.9,,,567.0,,852.3,,458.6,,996.0,775.7,,1097.0,973.0,,,,,597.2,653.1,,,,,616.7,99.0,,90.1,,80.0,358.0,,,,,263.4,179.9,,,-138.0,,147.3,,-246.4,,291.0,70.7,,392.0,268.0,,,,,-107.8,-51.9,,,,,-88.3,,True,,True,False,,,,,False,False,,,False,,False,,False,,False,True,,False,False,,,,,False,True,,,,,True
01051,561,522.0,,522.9,,504.0,661.0,,,,,703.7,597.5,,,423.0,,753.6,,286.6,,525.0,519.8,,702.0,712.0,,,,,446.1,632.8,,,,,490.0,-39.0,,-38.1,,-57.0,100.0,,,,,142.7,36.5,,,-138.0,,192.6,,-274.4,,-36.0,-41.2,,141.0,151.0,,,,,-114.9,71.8,,,,,-71.0,,True,,False,False,,,,,False,True,,,False,,False,,False,,True,False,,False,False,,,,,False,False,,,,,False
01053,156,142.0,,141.9,,134.0,11.0,,,,,210.0,169.8,,,238.0,,137.8,,91.2,,102.0,128.8,,190.0,232.0,,,,,99.6,194.7,,,,,151.8,-14.0,,-14.1,,-22.0,-145.0,,,,,54.0,13.8,,,82.0,,-18.2,,-64.8,,-54.0,-27.2,,34.0,76.0,,,,,-56.4,38.7,,,,,-4.2,,False,,False,False,,,,,False,True,,,False,,False,,False,,False,False,,False,False,,,,,False,False,,,,,True
01055,1368,1020.0,,1000.8,,999.0,1319.0,,,,,1271.9,1027.8,,,783.0,,1509.3,,588.0,,1211.0,978.6,,1430.0,1255.0,,,,,697.2,1162.0,,,,,1179.6,-348.0,,-367.2,,-369.0,-49.0,,,,,-96.1,-340.2,,,-585.0,,141.3,,-780.0,,-157.0,-389.4,,62.0,-113.0,,,,,-670.8,-206.0,,,,,-188.4,,False,,False,True,,,,,True,True,,,False,,True,,False,,True,False,,True,True,,,,,False,True,,,,,True
01057,227,182.0,,185.7,,174.0,104.0,,,,,220.5,212.0,,,145.0,,144.3,,76.3,,231.0,186.1,,236.0,220.0,,,,,,190.8,,,,,175.0,-45.0,,-41.3,,-53.0,-123.0,,,,,-6.5,-15.0,,,-82.0,,-82.7,,-150.7,,4.0,-40.9,,9.0,-7.0,,,,,,-36.2,,,,,-52.0,,True,,False,False,,,,,True,True,,,False,,False,,False,,True,True,,True,True,,,,,,True,,,,,False
01059,265,200.0,,190.5,,157.0,83.0,,,,,369.5,265.1,,,357.0,,86.1,,163.5,,148.0,217.7,,241.0,297.0,,,,,154.3,225.8,,,,,153.8,-65.0,,-74.5,,-108.0,-182.0,,,,,104.5,0.1,,,92.0,,-178.9,,-101.5,,-117.0,-47.3,,-24.0,32.0,,,,,-110.7,-39.2,,,,,-111.2,,False,,False,False,,,,,False,True,,,False,,False,,False,,False,True,,True,True,,,,,False,True,,,,,False
01061,150,142.0,,146.0,,139.0,114.0,,,,,216.5,178.5,,,170.0,,126.3,,102.8,,140.0,152.9,,148.0,208.0,,,,,120.7,191.2,,,,,141.0,-8.0,,-4.0,,-11.0,-36.0,,,,,66.5,28.5,,,20.0,,-23.7,,-47.2,,-10.0,2.9,,-2.0,58.0,,,,,-29.3,41.2,,,,,-9.0,,True,,False,False,,,,,False,False,,,False,,False,,False,,False,True,,True,False,,,,,False,False,,,,,False
01063,70,44.0,,45.1,,45.0,0.0,,,,,66.8,52.7,,,35.0,,85.1,,18.3,,77.0,46.7,,62.0,55.0,,,,,,53.9,,,,,55.6,-26.0,,-24.9,,-25.0,-70.0,,,,,-3.2,-17.3,,,-35.0,,15.1,,-51.7,,7.0,-23.3,,-8.0,-15.0,,,,,,-16.1,,,,,-14.4,,True,,True,False,,,,,True,True,,,False,,True,,False,,True,True,,True,True,,,,,,True,,,,,True
01065,114,84.0,,86.3,,84.0,14.0,,,,,154.1,109.2,,,88.0,,124.5,,51.8,,69.0,88.7,,130.0,106.0,,,,,,79.0,,,,,79.8,-30.0,,-27.7,,-30.0,-100.0,,,,,40.1,-4.8,,,-26.0,,10.5,,-62.2,,-45.0,-25.3,,16.0,-8.0,,,,,,-35.0,,,,,-34.2,,True,,False,False,,,,,False,True,,,True,,True,,False,,False,True,,True,True,,,,,,False,,,,,False
01067,85,52.0,,41.3,,42.0,14.0,,,,,117.9,95.5,,,90.0,,13.8,,46.5,,39.0,57.2,,47.0,106.0,,,,,,60.2,,,,,60.1,-33.0,,-43.7,,-43.0,-71.0,,,,,32.9,10.5,,,5.0,,-71.2,,-38.5,,-46.0,-27.8,,-38.0,21.0,,,,,,-24.8,,,,,-24.9,,False,,False,False,,,,,True,True,,,True,,False,,False,,False,True,,False,True,,,,,,True,,,,,True
01069,655,564.0,,538.7,,563.0,830.0,,,,,860.2,645.4,,,563.0,,533.1,,383.8,,757.0,660.5,,786.0,844.0,,,,,469.8,681.1,,,,,509.7,-91.0,,-116.3,,-92.0,175.0,,,,,205.2,-9.6,,,-92.0,,-121.9,,-271.2,,102.0,5.5,,131.0,189.0,,,,,-185.2,26.1,,,,,-145.3,,False,,False,False,,,,,False,True,,,False,,False,,False,,False,True,,False,False,,,,,False,True,,,,,False
01071,954,394.0,,418.7,,376.0,315.0,,,,,574.3,530.2,,,466.0,,322.6,,282.6,,371.0,400.1,,528.0,564.0,,,,,256.6,311.9,,,,,379.0,-560.0,,-535.3,,-578.0,-639.0,,,,,-379.7,-423.8,,,-488.0,,-631.4,,-671.4,,-583.0,-553.9,,-426.0,-390.0,,,,,-697.4,-642.1,,,,,-575.0,,True,,False,False,,,,,True,True,,,True,,False,,False,,False,True,,True,True,,,,,False,False,,,,,False
01073,5975,4896.0,,4831.5,6127.9,4983.0,5306.0,,,,,6313.1,3982.9,,,3581.0,,6212.1,,2808.1,,6052.5,5344.9,,6699.0,6105.0,,,,,3382.9,5399.1,4880.0,,,,4864.7,-1079.0,,-1143.5,152.9,-992.0,-669.0,,,,,338.1,-1992.1,,,-2394.0,,237.1,,-3166.9,,77.5,-630.1,,724.0,130.0,,,,,-2592.1,-575.9,-1095.0,,,,-1110.3,,False,True,True,True,,,,,True,False,,,False,,True,,False,,True,True,,True,True,,,,,False,True,False,,,,False
01075,135,56.0,,56.0,,54.0,47.0,,,,,107.4,91.0,,,115.0,,24.7,,41.5,,49.0,91.8,,54.0,99.0,,,,,,63.1,,,,,55.4,-79.0,,-79.0,,-81.0,-88.0,,,,,-27.6,-44.0,,,-20.0,,-110.3,,-93.5,,-86.0,-43.2,,-81.0,-36.0,,,,,,-71.9,,,,,-79.6,,False,,False,False,,,,,True,True,,,True,,False,,False,,False,True,,False,True,,,,,,True,,,,,False
01077,881,906.0,,868.8,,902.0,972.0,,,,,1036.5,918.1,,,922.0,,931.9,,473.4,,1345.0,987.8,,1210.0,1171.0,,,,,647.1,815.3,,,,,613.0,25.0,,-12.2,,21.0,91.0,,,,,155.5,37.1,,,41.0,,50.9,,-407.6,,464.0,106.8,,329.0,290.0,,,,,-233.9,-65.7,,,,,-268.0,,True,,True,False,,,,,False,False,,,False,,False,,False,,False,False,,False,False,,,,,False,False,,,,,False
01079,220,260.0,,266.8,,263.0,207.0,,,,,294.2,307.9,,,328.0,,304.3,,129.3,,450.0,264.8,,329.0,329.0,,,,,190.3,202.5,,,,,199.0,40.0,,46.8,,43.0,-13.0,,,,,74.2,87.9,,,108.0,,84.3,,-90.7,,230.0,44.8,,109.0,109.0,,,,,-29.7,-17.5,,,,,-21.0,,False,,False,True,,,,,False,False,,,False,,False,,False,,False,False,,False,False,,,,,True,True,,,,,True
01081,653,594.0,,594.1,,660.0,660.0,,,,,1002.2,675.7,,,777.0,,1011.3,,364.1,,852.5,737.9,,915.0,1052.0,,,,,405.3,905.6,721.0,,,,614.6,-59.0,,-58.9,,7.0,7.0,,,,,349.2,22.7,,,124.0,,358.3,,-288.9,,199.5,84.9,,262.0,399.0,,,,,-247.7,252.6,68.0,,,,-38.4,,True,,True,True,,,,,False,True,,,False,,False,,False,,False,False,,False,False,,,,,False,False,False,,,,True
01083,727,710.0,,700.8,,709.0,795.0,,,,,916.9,826.9,,,715.0,,518.9,,400.8,,828.0,727.3,,971.0,948.0,,,,,499.5,673.9,,,,,813.4,-17.0,,-26.2,,-18.0,68.0,,,,,189.9,99.9,,,-12.0,,-208.1,,-326.2,,101.0,0.3,,244.0,221.0,,,,,-227.5,-53.1,,,,,86.4,,False,,False,False,,,,,False,False,,,True,,False,,False,,False,True,,False,False,,,,,False,False,,,,,False
01085,51,48.0,,43.7,,38.0,0.0,,,,,119.1,74.5,,,37.0,,38.8,,25.2,,34.0,54.4,,62.0,64.0,,,,,,58.9,,,,,44.9,-3.0,,-7.3,,-13.0,-51.0,,,,,68.1,23.5,,,-14.0,,-12.2,,-25.8,,-17.0,3.4,,11.0,13.0,,,,,,7.9,,,,,-6.1,,False,,False,False,,,,,False,False,,,False,,False,,False,,False,False,,False,False,,,,,,False,,,,,False
01087,90,78.0,,73.3,,72.0,124.0,,,,,123.5,103.9,,,66.0,,57.7,,52.8,,71.0,85.5,,102.0,124.0,,,,,,64.4,,,,,71.3,-12.0,,-16.7,,-18.0,34.0,,,,,33.5,13.9,,,-24.0,,-32.3,,-37.2,,-19.0,-4.5,,12.0,34.0,,,,,,-25.6,,,,,-18.7,,False,,False,False,,,,,False,False,,,False,,False,,False,,False,True,,False,False,,,,,,False,,,,,False
01089,2762,1874.0,,1870.7,,1874.0,1665.0,,,,,2457.6,1754.6,,,1954.0,,3401.2,,1438.4,,2213.5,1791.9,,2691.0,2639.0,,,,,1235.9,2270.6,2702.0,,,,1407.9,-888.0,,-891.3,,-888.0,-1097.0,,,,,-304.4,-1007.4,,,-808.0,,639.2,,-1323.6,,-548.5,-970.1,,-71.0,-123.0,,,,,-1526.1,-491.4,-60.0,,,,-1354.1,,False,,False,False,,,,,True,False,,,True,,True,,False,,True,False,,True,True,,,,,False,True,True,,,,False
01091,131,62.0,,64.0,,61.0,0.0,,,,,160.3,102.8,,,122.0,,38.6,,64.3,,39.0,69.7,,45.0,129.0,,,,,60.3,66.2,,,,,89.3,-69.0,,-67.0,,-70.0,-131.0,,,,,29.3,-28.2,,,-9.0,,-92.4,,-66.7,,-92.0,-61.3,,-86.0,-2.0,,,,,-70.7,-64.8,,,,,-41.7,,True,,False,False,,,,,True,True,,,True,,False,,True,,False,True,,False,True,,,,,False,True,,,,,True
