,actual_deaths,Baseline,BPagano-RtDriven,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,error-Baseline,error-BPagano-RtDriven,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,beat_baseline-BPagano-RtDriven,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting
Georgia,9179,8903.7,8628.0,8951.4,8256.1,8349.8,8538.0,,8355.0,8385.4,8197.5,8233.0,8326.8,,8140.2,7666.0,,,8725.9,8216.5,8482.0,8188.0,-275.3,-551.0,-227.6,-922.9,-829.2,-641.0,,-824.0,-793.6,-981.5,-946.0,-852.2,,-1038.8,-1513.0,,,-453.1,-962.5,-697.0,-991.0,False,True,False,False,False,,False,False,False,False,False,,False,False,,,False,False,False,False
Hawaii,231,245.1,332.4,257.9,791.1,222.6,229.0,,,253.8,251.0,319.7,240.1,,202.1,226.0,,,221.9,197.8,231.0,212.5,14.1,101.4,26.9,560.1,-8.4,-2.0,,,22.8,20.0,88.7,9.1,,-28.9,-5.0,,,-9.1,-33.2,0.0,-18.5,False,False,False,True,True,,,False,False,False,True,,False,True,,,True,False,True,False
Idaho,847,653.4,970.6,668.9,970.3,677.0,619.0,,636.0,714.6,693.0,689.0,589.0,,800.9,561.0,,,652.0,743.9,672.0,578.5,-193.6,123.6,-178.1,123.3,-170.0,-228.0,,-211.0,-132.4,-154.0,-158.0,-258.0,,-46.1,-286.0,,,-195.0,-103.1,-175.0,-268.5,True,True,True,True,False,,False,True,True,True,False,,True,False,,,False,True,True,False
Illinois,11951,10342.9,10941.3,10413.4,10811.9,10210.4,9930.0,,10170.0,10779.4,10701.0,10160.2,10076.6,12489.0,10037.6,10562.5,,,10101.6,13543.2,10703.0,9557.6,-1608.1,-1009.7,-1537.6,-1139.1,-1740.6,-2021.0,,-1781.0,-1171.6,-1250.0,-1790.8,-1874.4,538.0,-1913.4,-1388.5,,,-1849.4,1592.2,-1248.0,-2393.4,True,True,True,False,False,,False,True,True,False,False,True,False,True,,,False,True,True,False
Indiana,5246,4462.6,4836.2,4461.6,5124.3,4345.4,4288.0,,4230.0,4673.1,4635.4,4382.9,4289.0,4398.0,4628.2,4255.0,,,4216.7,6541.6,4874.0,3846.5,-783.4,-409.8,-784.4,-121.7,-900.6,-958.0,,-1016.0,-572.9,-610.6,-863.1,-957.0,-848.0,-617.8,-991.0,,,-1029.3,1295.6,-372.0,-1399.5,True,False,True,False,False,,False,True,True,False,False,False,True,False,,,False,False,True,False
Iowa,2191,1901.3,2188.5,1926.9,1967.2,1842.5,1834.0,,1757.0,1882.7,1854.9,1807.6,1734.4,,1764.2,1921.0,,,1831.6,2202.7,1976.0,1644.2,-289.7,-2.5,-264.1,-223.8,-348.5,-357.0,,-434.0,-308.3,-336.1,-383.4,-456.6,,-426.8,-270.0,,,-359.4,11.7,-215.0,-546.8,True,True,True,False,False,,False,False,False,False,False,,False,True,,,False,True,True,False
Kansas,1410,1266.0,2567.8,1271.0,1263.4,1029.0,1035.0,,1115.0,1051.7,1179.7,1062.2,966.5,,878.4,1483.0,,,969.5,1024.7,1216.0,916.8,-144.0,1157.8,-139.0,-146.6,-381.0,-375.0,,-295.0,-358.3,-230.3,-347.8,-443.5,,-531.6,73.0,,,-440.5,-385.3,-194.0,-493.2,False,True,False,False,False,,False,False,False,False,False,,False,True,,,False,False,False,False
Kentucky,1783,1503.9,1575.5,1512.9,2095.5,1584.5,1651.0,,1601.0,1655.7,1756.1,1718.9,1437.6,2353.0,1434.0,1350.0,,,1644.9,2097.8,1725.0,1409.5,-279.1,-207.5,-270.1,312.5,-198.5,-132.0,,-182.0,-127.3,-26.9,-64.1,-345.4,570.0,-349.0,-433.0,,,-138.1,314.8,-58.0,-373.5,True,True,False,True,True,,True,True,True,True,False,False,False,False,,,True,False,True,False
Louisiana,6233,6111.9,6015.8,6180.7,5882.2,6038.6,5931.0,,6051.0,5921.2,6105.2,6041.0,6027.7,,6033.8,5847.0,,,6601.7,6266.6,6030.0,5932.0,-121.1,-217.2,-52.3,-350.8,-194.4,-302.0,,-182.0,-311.8,-127.8,-192.0,-205.3,,-199.2,-386.0,,,368.7,33.6,-203.0,-301.0,False,True,False,False,False,,False,False,False,False,False,,False,False,,,False,True,False,False
Maine,174,148.9,165.8,151.8,149.6,152.4,154.0,,162.0,146.5,156.2,185.4,150.0,,147.7,147.0,,,147.7,179.3,152.0,151.9,-25.1,-8.2,-22.2,-24.4,-21.6,-20.0,,-12.0,-27.5,-17.8,11.4,-24.0,,-26.3,-27.0,,,-26.3,5.3,-22.0,-22.1,True,True,True,True,True,,True,False,True,True,True,,False,False,,,False,True,True,True
Maryland,4415,4239.1,4173.6,4235.3,4100.7,4183.3,4057.0,,4141.0,4270.9,4287.9,4474.2,4130.7,,4160.5,4204.0,,6340.0,4148.4,4870.4,4248.0,4136.5,-175.9,-241.4,-179.7,-314.3,-231.7,-358.0,,-274.0,-144.1,-127.1,59.2,-284.3,,-254.5,-211.0,,1925.0,-266.6,455.4,-167.0,-278.5,False,False,False,False,False,,False,True,True,True,False,,False,False,,False,False,False,True,False
Massachusetts,10488,10154.6,9908.6,10139.6,11536.1,10717.4,10300.0,,9963.0,10530.8,10397.0,10123.5,10004.1,,10113.9,10050.0,,,9852.0,11389.4,10275.0,9869.2,-333.4,-579.4,-348.4,1048.1,229.4,-188.0,,-525.0,42.8,-91.0,-364.5,-483.9,,-374.1,-438.0,,,-636.0,901.4,-213.0,-618.8,False,False,False,True,True,,False,True,True,False,False,,False,False,,,False,False,True,False
Michigan,8875,7775.4,8150.6,7814.2,7932.9,7666.6,7594.0,,7610.0,8148.6,8255.6,7974.1,7440.4,10151.0,7441.6,7524.5,,,7540.9,9712.4,8086.0,7300.4,-1099.6,-724.4,-1060.8,-942.1,-1208.4,-1281.0,,-1265.0,-726.4,-619.4,-900.9,-1434.6,1276.0,-1433.4,-1350.5,,,-1334.1,837.4,-789.0,-1574.6,True,True,True,False,False,,False,True,True,True,False,False,False,False,,,False,True,True,False
Minnesota,3257,2551.3,2744.2,2532.9,2979.6,2692.7,2867.0,,2614.0,2670.1,2741.2,2557.7,2494.1,3088.5,3476.6,2412.0,,,2565.8,3692.2,2722.0,2330.1,-705.7,-512.8,-724.1,-277.4,-564.3,-390.0,,-643.0,-586.9,-515.8,-699.3,-762.9,-168.5,219.6,-845.0,,,-691.2,435.2,-535.0,-926.9,True,False,True,True,True,,True,True,True,True,False,True,True,False,,,True,True,True,False
Mississippi,3657,3616.4,3603.1,3605.7,3913.7,3625.5,3386.0,,3714.0,3922.2,3643.5,3374.4,3434.2,,3346.0,3343.0,,,3601.9,3805.0,3814.0,3456.0,-40.6,-53.9,-51.3,256.7,-31.5,-271.0,,57.0,265.2,-13.5,-282.6,-222.8,,-311.0,-314.0,,,-55.1,148.0,157.0,-201.0,False,False,False,True,False,,False,False,True,False,False,,False,False,,,False,False,False,False
Missouri,3574,3818.0,5027.6,3905.8,3292.9,3257.7,3147.0,,3007.0,3557.3,2983.1,3102.7,3071.9,,3292.9,3891.0,,,2761.2,3907.3,4163.0,2605.4,244.0,1453.6,331.8,-281.1,-316.3,-427.0,,-567.0,-16.7,-590.9,-471.3,-502.1,,-281.1,317.0,,,-812.8,333.3,589.0,-968.6,False,False,False,False,False,,False,True,False,False,False,,False,False,,,False,False,False,False
Montana,600,344.7,529.7,347.0,932.1,486.7,346.0,,328.0,452.3,524.6,317.3,344.2,,355.6,359.5,,,317.6,574.8,409.0,255.8,-255.3,-70.3,-253.0,332.1,-113.3,-254.0,,-272.0,-147.7,-75.4,-282.7,-255.8,,-244.4,-240.5,,,-282.4,-25.2,-191.0,-344.2,True,True,False,True,True,,False,True,True,False,False,,True,True,,,False,True,True,False
Nebraska,905,624.4,618.6,650.8,715.3,716.4,730.0,,677.0,673.1,678.9,740.2,640.1,,675.4,699.0,,,597.9,879.6,737.0,580.7,-280.6,-286.4,-254.2,-189.7,-188.6,-175.0,,-228.0,-231.9,-226.1,-164.8,-264.9,,-229.6,-206.0,,,-307.1,-25.4,-168.0,-324.3,False,True,True,True,True,,True,True,True,True,True,,True,True,,,False,True,True,False
Nevada,2011,1883.6,1977.6,1892.7,2592.1,2038.8,1846.0,,1815.0,2036.3,1935.5,1904.8,1838.4,,1906.1,1781.0,,,2032.5,2091.1,2041.0,1856.9,-127.4,-33.4,-118.3,581.1,27.8,-165.0,,-196.0,25.3,-75.5,-106.2,-172.6,,-104.9,-230.0,,,21.5,80.1,30.0,-154.1,True,True,False,True,False,,False,True,True,True,False,,True,False,,,True,True,True,False
New Hampshire,508,532.1,620.7,533.5,563.9,465.4,513.0,,477.0,490.7,523.0,502.3,482.4,,537.3,473.0,,,501.6,727.1,588.0,468.1,24.1,112.7,25.5,55.9,-42.6,5.0,,-31.0,-17.3,15.0,-5.7,-25.6,,29.3,-35.0,,,-6.4,219.1,80.0,-39.9,False,False,False,False,True,,False,True,True,True,False,,False,False,,,True,False,False,False
New Jersey,16746,16396.6,16430.3,16668.3,16604.4,16651.1,16441.0,,16383.5,16629.5,16852.0,16610.6,16382.4,,16489.3,16184.0,,,16335.4,18716.5,16499.0,16376.7,-349.4,-315.7,-77.7,-141.6,-94.9,-305.0,,-362.5,-116.5,106.0,-135.4,-363.6,,-256.7,-562.0,,,-410.6,1970.5,-247.0,-369.3,True,True,True,True,True,,False,True,True,True,False,,True,False,,,False,False,True,False
New Mexico,1350,1022.3,984.8,1009.3,1776.5,1190.2,994.0,,1020.0,1300.8,1207.9,1103.3,1051.2,,1056.7,1043.0,,,982.9,1457.6,1197.0,995.5,-327.7,-365.2,-340.7,426.5,-159.8,-356.0,,-330.0,-49.2,-142.1,-246.7,-298.8,,-293.3,-307.0,,,-367.1,107.6,-153.0,-354.5,False,False,False,True,False,,False,True,True,True,True,,True,True,,,False,True,True,False
New York,34296,33815.3,34451.1,34410.9,34840.5,33958.5,33681.0,,33618.0,34307.4,34519.5,34054.6,33494.7,,33649.3,33309.0,,,33503.8,38081.0,34392.0,33324.1,-305.7,330.1,289.9,719.5,-162.5,-440.0,,-503.0,186.4,398.5,-66.4,-626.3,,-471.7,-812.0,,,-617.2,3960.0,271.0,-796.9,False,True,False,True,False,,False,True,False,True,False,,False,False,,,False,False,True,False
North Carolina,5005,4566.6,4332.6,4580.7,6075.9,4876.9,4514.0,,4770.0,5506.0,5065.9,4909.9,4393.7,,4334.8,4742.0,,,4514.3,5185.4,5170.0,4289.7,-438.4,-672.4,-424.3,1070.9,-128.1,-491.0,,-235.0,501.0,60.9,-95.1,-611.3,,-670.2,-263.0,,,-490.7,180.4,165.0,-715.3,False,True,False,True,False,,True,False,True,True,False,,False,True,,,False,True,True,False
North Dakota,840,706.0,921.1,726.0,774.3,690.5,522.0,,559.0,710.0,559.9,458.1,627.7,,695.9,763.5,,,433.9,615.4,843.0,433.9,-134.0,81.1,-114.0,-65.7,-149.5,-318.0,,-281.0,-130.0,-280.1,-381.9,-212.3,,-144.1,-76.5,,,-406.1,-224.6,3.0,-406.1,True,True,True,False,False,,False,True,False,False,False,,False,True,,,False,False,True,False
Ohio,5984,5432.4,5397.3,5450.9,6370.1,5889.3,5727.0,,5763.0,5734.8,6168.1,6244.7,5509.4,7107.5,5424.6,5925.0,,,5546.8,7181.2,5678.0,5506.9,-551.6,-586.7,-533.1,386.1,-94.7,-257.0,,-221.0,-249.2,184.1,260.7,-474.6,1123.5,-559.4,-59.0,,,-437.2,1197.2,-306.0,-477.1,False,True,True,True,True,,True,True,True,True,True,False,False,True,,,True,False,True,True
Oklahoma,1624,1373.3,1355.8,1358.9,1306.5,1454.8,1502.0,,1490.0,1467.3,1392.5,1476.4,1271.6,,1410.3,1313.0,,,1402.6,1785.8,1368.0,1256.1,-250.7,-268.2,-265.1,-317.5,-169.2,-122.0,,-134.0,-156.7,-231.5,-147.6,-352.4,,-213.7,-311.0,,,-221.4,161.8,-256.0,-367.9,False,False,False,True,True,,True,True,True,True,False,,True,False,,,True,True,False,False
Oregon,819,757.1,996.3,766.8,960.9,754.0,707.0,,718.0,806.0,794.2,916.6,706.7,,767.0,651.0,,,760.3,891.5,849.0,677.5,-61.9,177.3,-52.2,141.9,-65.0,-112.0,,-101.0,-13.0,-24.8,97.6,-112.3,,-52.0,-168.0,,,-58.7,72.5,30.0,-141.5,False,True,False,False,False,,False,True,True,False,False,,True,False,,,True,False,True,False
Pennsylvania,9775,9120.7,9649.0,9205.2,9463.3,9140.7,8731.0,,8913.0,9472.8,9422.8,9477.5,8815.5,,9439.0,8580.0,,,8829.6,11382.6,9389.0,8629.3,-654.3,-126.0,-569.8,-311.7,-634.3,-1044.0,,-862.0,-302.2,-352.2,-297.5,-959.5,,-336.0,-1195.0,,,-945.4,1607.6,-386.0,-1145.7,True,True,True,True,False,,False,True,True,True,False,,True,False,,,False,False,True,False
Rhode Island,1294,1200.3,1159.1,1210.9,1352.8,1223.8,1177.0,,1192.0,1222.2,1278.2,1255.5,1185.4,,1211.9,1237.0,,,1157.1,1326.3,1252.0,0.0,-93.7,-134.9,-83.1,58.8,-70.2,-117.0,,-102.0,-71.8,-15.8,-38.5,-108.6,,-82.1,-57.0,,,-136.9,32.3,-42.0,-1294.0,False,True,True,True,False,,False,True,True,True,False,,True,True,,,False,True,True,False
South Carolina,4274,4131.9,4373.0,4205.4,3917.8,4045.8,4034.0,,4148.0,4329.1,4023.2,3922.9,3907.2,,3939.2,3918.0,,,4185.9,4323.0,4107.0,3965.1,-142.1,99.0,-68.6,-356.2,-228.2,-240.0,,-126.0,55.1,-250.8,-351.1,-366.8,,-334.8,-356.0,,,-88.1,49.0,-167.0,-308.9,True,True,False,False,False,,True,True,False,False,False,,False,False,,,True,True,False,False
South Dakota,777,508.6,799.5,514.0,904.4,529.6,452.0,,429.0,570.7,555.9,411.3,478.3,,497.6,601.5,,,295.0,608.6,625.0,343.4,-268.4,22.5,-263.0,127.4,-247.4,-325.0,,-348.0,-206.3,-221.1,-365.7,-298.7,,-279.4,-175.5,,,-482.0,-168.4,-152.0,-433.6,True,True,True,True,False,,False,True,True,False,False,,False,True,,,False,True,True,False
Tennessee,4211,3879.9,4714.9,3945.9,4011.8,3691.9,3498.0,,3768.0,3834.1,3871.8,3534.7,3556.9,,3335.9,3709.5,,,3818.7,3576.1,4207.0,3198.1,-331.1,503.9,-265.1,-199.2,-519.1,-713.0,,-443.0,-376.9,-339.2,-676.3,-654.1,,-875.1,-501.5,,,-392.3,-634.9,-4.0,-1012.9,False,True,True,False,False,,False,False,False,False,False,,False,False,,,False,False,True,False
Texas,20903,20784.0,22054.3,20829.7,20301.6,21010.8,18912.0,,20026.0,20393.9,19365.0,20009.0,18585.3,,19001.9,19337.0,,18953.0,20093.2,20178.6,20305.0,18999.1,-118.0,1152.3,-72.3,-600.4,108.8,-1990.0,,-876.0,-508.1,-1537.0,-893.0,-2316.7,,-1900.1,-1565.0,,-1949.0,-808.8,-723.4,-597.0,-1902.9,False,True,False,True,False,,False,False,False,False,False,,False,False,,False,False,False,False,False
Utah,787,745.4,827.1,714.0,747.8,803.6,622.0,,679.0,662.1,604.3,730.3,654.9,,650.2,569.0,,,674.1,850.9,767.0,471.9,-41.6,40.1,-73.0,-39.2,16.6,-165.0,,-108.0,-124.9,-182.7,-56.7,-132.1,,-136.8,-218.0,,,-112.9,63.9,-20.0,-315.1,True,False,True,True,False,,False,False,False,False,False,,False,False,,,False,False,True,False
Vermont,63,58.0,59.5,61.0,69.8,60.2,59.0,,58.0,58.0,58.8,70.6,62.2,,68.3,58.0,,,58.6,75.4,58.0,57.9,-5.0,-3.5,-2.0,6.8,-2.8,-4.0,,-5.0,-5.0,-4.2,7.6,-0.8,,5.3,-5.0,,,-4.4,12.4,-5.0,-5.1,True,True,False,True,True,,False,False,True,False,True,,False,False,,,True,False,False,False
Virginia,3938,3852.9,3587.7,3858.8,3865.9,4033.8,3618.0,,3781.0,4104.9,3988.5,4006.4,3799.4,,3622.2,4183.0,,,3660.6,4430.5,4211.0,3728.8,-82.1,-347.3,-76.2,-69.1,98.8,-317.0,,-154.0,169.9,53.5,71.4,-135.6,,-312.8,248.0,,,-274.4,495.5,276.0,-206.2,False,True,True,False,False,,False,False,True,True,False,,False,False,,,False,False,False,False
Washington,2619,2471.1,2457.6,2478.5,2804.6,2585.1,2588.0,,2450.0,2676.1,2570.2,2641.4,2295.1,,2208.6,2244.0,,,2505.9,2602.3,2513.0,2378.2,-147.9,-161.4,-140.5,185.6,-33.9,-31.0,,-169.0,57.1,-48.8,22.4,-323.9,,-410.4,-375.0,,,-113.1,-16.7,-106.0,-240.8,False,True,False,True,True,,False,True,True,True,False,,False,False,,,True,True,True,False
West Virginia,658,508.0,508.9,530.9,437.5,531.9,583.0,,536.0,542.1,545.9,614.0,499.0,,456.0,439.0,,,505.8,600.3,530.0,464.1,-150.0,-149.1,-127.1,-220.5,-126.1,-75.0,,-122.0,-115.9,-112.1,-44.0,-159.0,,-202.0,-219.0,,,-152.2,-57.7,-128.0,-193.9,True,True,False,True,True,,True,True,True,True,False,,False,False,,,False,True,True,False
Wisconsin,3143,1980.4,2244.4,1974.2,2118.0,2206.7,1976.0,,1926.0,2192.1,2096.8,2049.6,1822.4,2686.0,2282.4,1642.0,,,1858.2,2998.0,2003.0,1641.4,-1031.6,-767.6,-1037.8,-894.0,-805.3,-1036.0,,-1086.0,-819.9,-915.2,-962.4,-1189.6,-326.0,-729.6,-1370.0,,,-1153.8,-14.0,-1009.0,-1370.6,True,False,True,True,False,,False,True,True,True,False,True,True,False,,,False,True,True,False
Wyoming,176,59.9,65.1,64.0,80.3,92.8,84.0,,73.0,71.3,85.9,95.3,77.3,,81.9,71.0,,,63.6,123.3,61.0,54.9,-116.1,-110.9,-112.0,-95.7,-83.2,-92.0,,-103.0,-104.7,-90.1,-80.7,-98.7,,-94.1,-105.0,,,-112.4,-52.7,-115.0,-121.1,True,True,True,True,True,,True,True,True,True,True,,True,True,,,True,True,True,False
US,255947,244329.0,244438.4,244305.0,251691.3,246600.2,235918.0,251605.0,241906.0,248845.2,243877.6,242493.1,231224.8,,235481.6,234810.5,249428.3,241536.0,241146.0,267904.8,247930.0,234226.1,-11306.0,-11196.6,-11330.0,-3943.7,-9034.8,-19717.0,-4030.0,-13729.0,-6789.8,-11757.4,-13141.9,-24410.2,,-20153.4,-20824.5,-6206.7,-14099.0,-14489.0,12269.8,-7705.0,-21408.9,True,False,True,True,False,True,False,True,False,False,False,,False,False,True,False,False,False,True,False
