,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,MSRA-DeepST,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,USC-SI_kJalpha_RF,UT-Mobility,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-MSRA-DeepST,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-USC-SI_kJalpha_RF,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-MSRA-DeepST,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-USC-SI_kJalpha_RF,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Georgia,9179,8472.4,8599.9,8479.6,8481.0,8492.5,8514.0,8560.0,8486.5,8829.0,8744.2,8413.0,8458.4,8513.4,8600.2,,8690.0,8559.1,8576.4,8374.0,8323.8,8508.0,8669.5,8350.0,8484.0,8515.0,8411.6,8504.3,,8379.8,8586.0,8611.0,,8761.3,8154.2,,8588.0,7936.1,8474.0,8467.4,,8505.6,8415.6,8564.0,8610.0,8619.0,8534.7,8334.0,8322.9,8305.0,-706.6,-579.1,-699.4,-698.0,-686.5,-665.0,-619.0,-692.5,-350.0,-434.8,-766.0,-720.6,-665.6,-578.8,,-489.0,-619.9,-602.6,-805.0,-855.2,-671.0,-509.5,-829.0,-695.0,-664.0,-767.4,-674.7,,-799.2,-593.0,-568.0,,-417.7,-1024.8,,-591.0,-1242.9,-705.0,-711.6,,-673.4,-763.4,-615.0,-569.0,-560.0,-644.3,-845.0,-856.1,-874.0,True,True,True,True,True,True,True,True,True,False,False,True,True,,True,True,True,False,False,True,True,False,True,True,False,True,,False,True,True,,True,False,,True,False,True,False,,True,False,True,True,True,True,False,False,False
Hawaii,231,239.0,346.1,246.1,255.0,240.0,255.0,224.0,248.5,,286.9,255.0,257.7,,245.7,,,284.7,261.9,258.0,278.2,261.0,262.6,245.0,237.0,261.0,234.3,270.0,,394.8,244.1,271.0,,,223.8,,253.0,203.7,276.0,232.3,,323.7,237.7,247.0,263.6,238.0,258.8,293.0,246.0,244.0,8.0,115.1,15.1,24.0,9.0,24.0,-7.0,17.5,,55.9,24.0,26.7,,14.7,,,53.7,30.9,27.0,47.2,30.0,31.6,14.0,6.0,30.0,3.3,39.0,,163.8,13.1,40.0,,,-7.2,,22.0,-27.3,45.0,1.3,,92.7,6.7,16.0,32.6,7.0,27.8,62.0,15.0,13.0,False,False,False,False,False,True,False,,False,False,False,,False,,,False,False,False,False,False,False,False,True,False,True,False,,False,False,False,,,True,,False,False,False,True,,False,True,False,False,True,False,False,False,False
Idaho,847,792.9,940.9,806.1,808.0,800.0,806.0,816.0,824.7,810.0,787.5,720.0,732.6,774.4,787.3,,788.0,812.2,738.3,839.0,717.5,783.5,855.2,867.0,807.7,827.0,845.9,813.8,,803.5,805.6,815.0,,,858.8,,870.0,887.2,805.0,788.0,,829.9,858.5,861.0,765.4,812.0,783.6,783.5,694.6,832.0,-54.1,93.9,-40.9,-39.0,-47.0,-41.0,-31.0,-22.3,-37.0,-59.5,-127.0,-114.4,-72.6,-59.7,,-59.0,-34.8,-108.7,-8.0,-129.5,-63.5,8.2,20.0,-39.3,-20.0,-1.1,-33.2,,-43.5,-41.4,-32.0,,,11.8,,23.0,40.2,-42.0,-59.0,,-17.1,11.5,14.0,-81.6,-35.0,-63.4,-63.5,-152.4,-15.0,False,True,True,True,True,True,True,True,False,False,False,False,False,,False,True,False,True,False,False,True,True,True,True,True,True,,True,True,True,,,True,,True,True,True,False,,True,True,True,False,True,False,False,False,True
Illinois,11951,10932.1,11553.9,10714.7,11167.0,10722.7,11140.0,11537.0,11025.6,12347.0,11901.9,11083.0,10952.9,11347.5,11373.0,,10918.0,11198.4,11409.9,10615.0,10599.8,10760.0,11692.6,11350.0,11456.9,10748.0,10888.9,11199.5,11367.0,10687.3,10918.4,10614.0,,10970.8,10749.3,,11318.0,10255.4,11575.0,10522.0,,11260.9,10882.2,11598.0,10819.3,11253.0,10719.6,10925.5,10183.5,10765.0,-1018.9,-397.1,-1236.3,-784.0,-1228.3,-811.0,-414.0,-925.4,396.0,-49.1,-868.0,-998.1,-603.5,-578.0,,-1033.0,-752.6,-541.1,-1336.0,-1351.2,-1191.0,-258.4,-601.0,-494.1,-1203.0,-1062.1,-751.5,-584.0,-1263.7,-1032.6,-1337.0,,-980.2,-1201.7,,-633.0,-1695.6,-376.0,-1429.0,,-690.1,-1068.8,-353.0,-1131.7,-698.0,-1231.4,-1025.5,-1767.5,-1186.0,True,False,True,False,True,True,True,True,True,True,True,True,True,,False,True,True,False,False,False,True,True,True,False,False,True,True,False,False,False,,True,False,,True,False,True,False,,True,False,True,False,True,False,False,False,False
Indiana,5246,5032.6,5280.1,4979.6,4984.0,4973.9,5165.0,5285.0,5012.7,5497.0,5500.3,5464.0,4982.0,5197.4,5182.3,,4922.0,5211.8,5140.5,4816.0,4690.3,4906.0,5464.4,5300.0,5212.7,4907.0,4983.4,5163.5,4850.0,5074.0,5133.4,4740.0,,4864.8,4659.5,,5182.0,4481.0,5317.0,4841.1,,5221.6,4998.6,5240.0,4770.4,5275.0,4982.1,5437.0,4326.3,5113.0,-213.4,34.1,-266.4,-262.0,-272.1,-81.0,39.0,-233.3,251.0,254.3,218.0,-264.0,-48.6,-63.7,,-324.0,-34.2,-105.5,-430.0,-555.7,-340.0,218.4,54.0,-33.3,-339.0,-262.6,-82.5,-396.0,-172.0,-112.6,-506.0,,-381.2,-586.5,,-64.0,-765.0,71.0,-404.9,,-24.4,-247.4,-6.0,-475.6,29.0,-263.9,191.0,-919.7,-133.0,True,False,False,False,True,True,False,False,False,False,False,True,True,,False,True,True,False,False,False,False,True,True,False,False,True,False,True,True,False,,False,False,,True,False,True,False,,True,False,True,False,True,False,True,False,True
Iowa,2191,2013.0,2165.5,1962.2,2026.0,1962.0,2042.0,1942.0,2007.0,2240.0,2161.6,2012.0,2022.4,1977.9,2111.0,,2014.0,2084.0,2122.0,2098.0,1866.8,1992.0,2040.4,2191.0,2239.2,2091.0,1976.1,2083.0,,2077.6,2140.7,1969.0,,2038.6,2109.8,,2053.0,1862.6,2196.0,1894.4,,2156.3,1984.9,2212.0,1914.3,2105.0,2006.6,1983.0,1871.7,2046.0,-178.0,-25.5,-228.8,-165.0,-229.0,-149.0,-249.0,-184.0,49.0,-29.4,-179.0,-168.6,-213.1,-80.0,,-177.0,-107.0,-69.0,-93.0,-324.2,-199.0,-150.6,0.0,48.2,-100.0,-214.9,-108.0,,-113.4,-50.3,-222.0,,-152.4,-81.2,,-138.0,-328.4,5.0,-296.6,,-34.7,-206.1,21.0,-276.7,-86.0,-184.4,-208.0,-319.3,-145.0,True,False,True,False,True,False,False,True,True,False,True,False,True,,True,True,True,True,False,False,True,True,True,True,False,True,,True,True,False,,True,True,,True,False,True,False,,True,False,True,False,True,False,False,False,True
Kansas,1410,1222.1,1408.9,1215.5,1218.0,1232.0,1305.0,1305.0,1240.3,1445.0,1506.2,1240.0,1245.0,1311.9,1342.1,,1303.0,1370.7,1400.6,1299.0,1178.0,1227.5,1303.8,1371.0,1258.7,1356.0,1319.3,1329.4,,1190.2,1289.7,1411.0,,,1137.6,,1265.0,1041.4,1301.0,1165.6,,1387.2,1330.2,1305.0,1331.4,1295.0,1282.6,1222.5,1154.1,1235.0,-183.9,2.9,-190.5,-188.0,-174.0,-101.0,-101.0,-165.7,39.0,100.2,-166.0,-161.0,-94.1,-63.9,,-103.0,-35.3,-5.4,-107.0,-228.0,-178.5,-102.2,-35.0,-147.3,-50.0,-86.7,-76.6,,-215.8,-116.3,5.0,,,-268.4,,-141.0,-364.6,-105.0,-240.4,,-18.8,-75.8,-101.0,-74.6,-111.0,-123.4,-183.5,-251.9,-171.0,True,False,False,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,False,True,True,True,True,True,True,True,,False,True,True,,,False,,True,False,True,False,,True,True,True,True,True,True,True,False,True
Kentucky,1783,1723.3,1913.1,1721.2,1781.0,1728.0,1811.0,1991.0,1793.5,1897.0,1854.2,1753.0,1698.1,1727.9,1829.2,,1809.0,1811.0,1833.0,1872.0,1708.7,1754.0,1837.9,1867.0,1843.5,1878.0,1835.0,1807.0,1960.0,1617.9,1823.0,1697.0,,,1628.8,,1790.0,1669.1,1813.0,1710.1,,1880.4,1847.9,1824.0,1687.7,1850.0,1770.5,1753.0,1603.0,1753.0,-59.7,130.1,-61.8,-2.0,-55.0,28.0,208.0,10.5,114.0,71.2,-30.0,-84.9,-55.1,46.2,,26.0,28.0,50.0,89.0,-74.3,-29.0,54.9,84.0,60.5,95.0,52.0,24.0,177.0,-165.1,40.0,-86.0,,,-154.2,,7.0,-113.9,30.0,-72.9,,97.4,64.9,41.0,-95.3,67.0,-12.5,-30.0,-180.0,-30.0,False,False,True,True,True,False,True,False,False,True,False,True,True,,True,True,True,False,False,True,True,False,False,False,True,True,False,False,True,False,,,False,,True,False,True,False,,False,False,True,False,False,True,True,False,True
Louisiana,6233,6180.3,6194.4,6217.7,6125.0,6215.8,6194.0,6115.0,6125.9,6314.0,6228.5,6044.0,6116.8,6244.3,6219.2,,6169.0,6212.1,6095.7,5976.0,6076.4,6193.0,6211.1,6164.0,6100.6,6163.0,6250.8,6194.1,,6167.7,6144.4,6058.0,,6224.1,6108.8,,6238.0,5640.4,6183.0,6274.2,,6211.0,6260.5,6126.0,6313.9,6195.0,6187.6,6133.5,5998.6,6215.0,-52.7,-38.6,-15.3,-108.0,-17.2,-39.0,-118.0,-107.1,81.0,-4.5,-189.0,-116.2,11.3,-13.8,,-64.0,-20.9,-137.3,-257.0,-156.6,-40.0,-21.9,-69.0,-132.4,-70.0,17.8,-38.9,,-65.3,-88.6,-175.0,,-8.9,-124.2,,5.0,-592.6,-50.0,41.2,,-22.0,27.5,-107.0,80.9,-38.0,-45.4,-99.5,-234.4,-18.0,True,True,False,True,True,False,False,False,True,False,False,True,True,,False,True,False,False,False,True,True,False,False,False,True,True,,False,False,False,,True,False,,True,False,True,True,,True,True,False,False,True,True,False,False,True
Maine,174,149.9,148.2,149.1,151.0,151.0,154.0,155.0,156.5,153.0,154.0,155.0,154.2,159.6,155.0,,171.0,150.1,160.8,163.0,161.1,150.0,151.8,150.0,147.0,182.0,153.4,168.2,,150.1,151.0,153.0,,,148.9,,150.0,171.4,157.0,149.8,,155.4,168.2,160.0,154.9,151.0,151.6,150.0,152.6,,-24.1,-25.8,-24.9,-23.0,-23.0,-20.0,-19.0,-17.5,-21.0,-20.0,-19.0,-19.8,-14.4,-19.0,,-3.0,-23.9,-13.2,-11.0,-12.9,-24.0,-22.2,-24.0,-27.0,8.0,-20.6,-5.8,,-23.9,-23.0,-21.0,,,-25.1,,-24.0,-2.6,-17.0,-24.2,,-18.6,-5.8,-14.0,-19.1,-23.0,-22.4,-24.0,-21.4,,False,False,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,False,True,True,True,,True,True,True,,,False,,True,True,True,False,,True,True,True,True,True,True,True,True,
Maryland,4415,4312.0,4337.4,4314.5,4339.0,4315.6,4329.0,4440.0,4346.0,4385.0,4302.9,4216.0,4292.5,4326.1,4356.6,,4268.0,4327.0,4295.0,4334.0,4344.2,4294.0,4361.6,4369.0,4361.3,4322.0,4343.3,4331.3,,4354.4,4360.5,4253.0,,4301.7,4208.5,6498.0,4343.0,4315.7,4371.0,4299.5,,4361.4,4357.6,4328.0,4333.1,4364.0,4345.9,4386.5,4249.9,4361.0,-103.0,-77.6,-100.5,-76.0,-99.4,-86.0,25.0,-69.0,-30.0,-112.1,-199.0,-122.5,-88.9,-58.4,,-147.0,-88.0,-120.0,-81.0,-70.8,-121.0,-53.4,-46.0,-53.7,-93.0,-71.7,-83.7,,-60.6,-54.5,-162.0,,-113.3,-206.5,2083.0,-72.0,-99.3,-44.0,-115.5,,-53.6,-57.4,-87.0,-81.9,-51.0,-69.1,-28.5,-165.1,-54.0,True,True,True,True,True,True,True,True,False,False,False,True,True,,False,True,False,True,True,False,True,True,True,True,True,True,,True,True,False,,False,False,False,True,True,True,False,,True,True,True,True,True,True,True,False,True
Massachusetts,10488,10438.7,10474.9,10425.9,10343.0,10448.6,10492.0,10719.0,10477.9,10753.0,10573.6,10534.0,10342.4,10404.6,10532.6,,10347.0,10559.0,10597.5,10386.0,10236.8,10251.5,10799.7,10544.0,10519.7,10270.0,10513.2,10482.4,,10468.9,10546.9,10253.0,,10428.6,10107.3,,10657.0,10922.6,10757.0,10373.6,,10414.3,10527.9,10630.0,10397.7,10682.0,10414.1,10505.0,10423.7,10317.0,-49.3,-13.1,-62.1,-145.0,-39.4,4.0,231.0,-10.1,265.0,85.6,46.0,-145.6,-83.4,44.6,,-141.0,71.0,109.5,-102.0,-251.2,-236.5,311.7,56.0,31.7,-218.0,25.2,-5.6,,-19.1,58.9,-235.0,,-59.4,-380.7,,169.0,434.6,269.0,-114.4,,-73.7,39.9,142.0,-90.3,194.0,-73.9,17.0,-64.3,-171.0,True,False,False,True,True,False,True,False,False,True,False,False,True,,False,False,False,False,False,False,False,False,True,False,True,True,,True,False,False,,False,False,,False,False,False,False,,False,True,False,False,False,False,True,False,False
Michigan,8875,8204.7,8707.1,8234.8,8370.0,8230.7,8399.0,8888.0,8340.3,9380.0,8840.6,8337.0,8070.8,,8497.7,,8318.0,8565.1,8719.4,8235.0,8125.3,8268.0,8892.5,8733.0,8393.3,8225.0,8423.0,8427.4,8543.5,7834.8,8432.0,8042.0,,8103.6,8220.2,,8491.0,8085.5,8124.0,8076.9,,8598.2,8431.0,8546.0,8107.6,8531.0,8274.9,8302.0,8021.8,8299.0,-670.3,-167.9,-640.2,-505.0,-644.3,-476.0,13.0,-534.7,505.0,-34.4,-538.0,-804.2,,-377.3,,-557.0,-309.9,-155.6,-640.0,-749.7,-607.0,17.5,-142.0,-481.7,-650.0,-452.0,-447.6,-331.5,-1040.2,-443.0,-833.0,,-771.4,-654.8,,-384.0,-789.5,-751.0,-798.1,,-276.8,-444.0,-329.0,-767.4,-344.0,-600.1,-573.0,-853.2,-576.0,True,True,True,True,True,True,True,True,True,True,False,,True,,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,False,,False,True,,True,False,False,False,,True,True,True,False,True,True,True,False,True
Minnesota,3257,2891.9,3015.5,2904.1,3002.0,2900.9,2982.0,2934.0,2919.5,3077.0,3028.0,3094.0,2877.4,3153.3,3082.2,,2953.0,2999.3,2838.2,2935.0,2759.1,2895.5,3105.7,3092.0,3097.6,2928.0,2977.8,2981.9,2802.0,2975.3,3041.2,2795.0,,2879.7,2822.6,,2982.0,2777.9,3092.0,2862.7,,2980.8,2992.3,3052.0,2854.8,3051.0,2862.7,3029.0,2611.4,3022.0,-365.1,-241.5,-352.9,-255.0,-356.1,-275.0,-323.0,-337.5,-180.0,-229.0,-163.0,-379.6,-103.7,-174.8,,-304.0,-257.7,-418.8,-322.0,-497.9,-361.5,-151.3,-165.0,-159.4,-329.0,-279.2,-275.1,-455.0,-281.7,-215.8,-462.0,,-377.3,-434.4,,-275.0,-479.1,-165.0,-394.3,,-276.2,-264.7,-205.0,-402.2,-206.0,-394.3,-228.0,-645.6,-235.0,True,True,True,True,True,True,True,True,True,True,False,True,True,,True,True,False,True,False,True,True,True,True,True,True,True,False,True,True,False,,False,False,,True,False,True,False,,True,True,True,False,True,False,True,False,True
Mississippi,3657,3613.7,3624.2,3569.5,3586.0,3570.9,3595.0,3640.0,3575.0,3615.0,3654.7,3509.0,3556.9,3647.7,3671.5,,3555.0,3563.0,3564.1,3619.0,3456.5,3527.0,3647.5,3571.0,3568.3,3601.0,3615.1,3668.7,,3612.2,3566.1,3596.5,,3587.0,3458.9,,3616.0,3003.3,3548.0,3589.1,,3594.5,3627.6,3618.0,3620.3,3598.0,3590.4,3553.5,3554.8,3588.0,-43.3,-32.8,-87.5,-71.0,-86.1,-62.0,-17.0,-82.0,-42.0,-2.3,-148.0,-100.1,-9.3,14.5,,-102.0,-94.0,-92.9,-38.0,-200.5,-130.0,-9.5,-86.0,-88.7,-56.0,-41.9,11.7,,-44.8,-90.9,-60.5,,-70.0,-198.1,,-41.0,-653.7,-109.0,-67.9,,-62.5,-29.4,-39.0,-36.7,-59.0,-66.6,-103.5,-102.2,-69.0,True,False,False,False,False,True,False,True,True,False,False,True,True,,False,False,False,True,False,False,True,False,False,False,True,True,,False,False,False,,False,False,,True,False,False,False,,False,True,True,True,False,False,False,False,False
Missouri,3574,3660.9,3725.6,3693.9,3699.0,3724.0,3797.0,3909.0,3568.3,3927.0,3872.0,3502.0,3550.7,,3658.5,,3555.0,3948.1,3371.1,3553.0,3360.3,3723.0,4006.5,3763.0,3597.1,3579.0,3789.5,3770.8,,3934.1,3865.9,3850.5,,3592.7,2858.8,,3819.0,3285.8,3912.0,3550.0,,3842.3,3823.9,3823.0,3529.6,4006.0,3705.7,3739.0,3125.2,3811.0,86.9,151.6,119.9,125.0,150.0,223.0,335.0,-5.7,353.0,298.0,-72.0,-23.3,,84.5,,-19.0,374.1,-202.9,-21.0,-213.7,149.0,432.5,189.0,23.1,5.0,215.5,196.8,,360.1,291.9,276.5,,18.7,-715.2,,245.0,-288.2,338.0,-24.0,,268.3,249.9,249.0,-44.4,432.0,131.7,165.0,-448.8,237.0,False,False,False,False,False,False,True,False,False,True,True,,True,,True,False,False,True,False,False,False,False,True,True,False,False,,False,False,False,,True,False,,False,False,False,True,,False,False,False,True,False,False,False,False,False
Montana,600,601.7,605.5,624.9,554.0,618.0,623.0,522.0,572.1,602.0,646.5,537.0,534.7,620.6,618.6,,623.0,628.8,545.3,633.0,426.1,619.0,637.4,660.0,599.9,600.0,778.5,589.3,,502.6,610.1,665.0,,,569.2,,664.0,805.1,633.0,597.5,,643.1,792.0,634.0,744.4,652.0,614.2,531.0,451.2,684.0,1.7,5.5,24.9,-46.0,18.0,23.0,-78.0,-27.9,2.0,46.5,-63.0,-65.3,20.6,18.6,,23.0,28.8,-54.7,33.0,-173.9,19.0,37.4,60.0,-0.1,0.0,178.5,-10.7,,-97.4,10.1,65.0,,,-30.8,,64.0,205.1,33.0,-2.5,,43.1,192.0,34.0,144.4,52.0,14.2,-69.0,-148.8,84.0,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,True,True,False,False,,False,False,False,,,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False
Nebraska,905,819.7,968.7,826.4,843.0,823.0,856.0,978.0,838.3,865.0,858.4,826.0,857.4,862.9,886.2,,828.0,870.7,798.9,882.0,769.9,818.0,888.0,1083.0,880.1,926.0,848.0,853.7,,802.5,882.2,798.0,,,739.1,,860.0,834.7,876.0,788.3,,864.4,862.5,820.0,758.0,848.0,810.3,817.0,709.3,863.0,-85.3,63.7,-78.6,-62.0,-82.0,-49.0,73.0,-66.7,-40.0,-46.6,-79.0,-47.6,-42.1,-18.8,,-77.0,-34.3,-106.1,-23.0,-135.1,-87.0,-17.0,178.0,-24.9,21.0,-57.0,-51.3,,-102.5,-22.8,-107.0,,,-165.9,,-45.0,-70.3,-29.0,-116.7,,-40.6,-42.5,-85.0,-147.0,-57.0,-94.7,-88.0,-195.7,-42.0,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,False,True,False,False,True,False,True,True,True,True,,False,True,False,,,False,,True,True,True,False,,True,True,True,False,True,False,False,False,True
Nevada,2011,1871.3,1852.1,1873.8,1920.0,1875.2,1899.0,1957.0,1921.6,1905.0,1965.3,1865.0,1866.0,1908.1,1917.6,,1886.0,1903.9,1916.3,1906.0,1878.1,1880.5,1908.0,1864.0,1911.0,1894.0,1822.3,1964.0,,1961.3,1893.5,1899.0,,1948.8,1772.2,,1924.0,1841.9,1884.0,1925.7,,1842.6,1834.0,1956.0,1902.5,1893.0,1880.5,1872.0,1892.2,1894.0,-135.7,-154.9,-133.2,-87.0,-131.8,-108.0,-50.0,-85.4,-102.0,-41.7,-142.0,-141.0,-98.9,-89.4,,-121.0,-103.1,-90.7,-101.0,-128.9,-126.5,-99.0,-143.0,-96.0,-113.0,-184.7,-43.0,,-45.7,-113.5,-108.0,,-58.2,-234.8,,-83.0,-165.1,-123.0,-81.3,,-164.4,-173.0,-51.0,-104.5,-114.0,-126.5,-135.0,-114.8,-113.0,False,True,True,True,True,True,True,True,True,False,False,True,True,,True,True,True,True,True,True,True,False,True,True,False,True,,True,True,True,,True,False,,True,False,True,True,,False,False,True,True,True,True,True,True,True
New Hampshire,508,511.6,491.2,511.6,517.0,513.0,526.0,518.0,526.2,528.0,559.0,529.0,536.5,534.5,547.3,,529.0,529.3,520.8,520.0,505.7,519.0,533.6,502.0,508.3,523.0,516.1,530.0,,499.8,525.9,520.0,,,487.0,,531.0,526.6,525.0,510.8,,541.7,531.3,526.0,518.0,523.0,514.7,529.0,507.1,518.0,3.6,-16.8,3.6,9.0,5.0,18.0,10.0,18.2,20.0,51.0,21.0,28.5,26.5,39.3,,21.0,21.3,12.8,12.0,-2.3,11.0,25.6,-6.0,0.3,15.0,8.1,22.0,,-8.2,17.9,12.0,,,-21.0,,23.0,18.6,17.0,2.8,,33.7,23.3,18.0,10.0,15.0,6.7,21.0,-0.9,10.0,False,True,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,True,False,False,False,True,False,False,False,,False,False,False,,,False,,False,False,False,True,,False,False,False,False,False,False,False,True,False
New Jersey,16746,16551.1,16739.3,16544.9,16658.0,16583.6,16635.0,16992.0,16688.1,16760.0,16624.4,16836.0,16523.4,16664.2,16725.3,,16567.0,16601.0,16902.2,16608.0,16617.4,16633.0,16711.3,16691.0,16679.0,16610.0,16632.7,16618.5,,16637.3,16633.4,16368.0,,16531.3,16767.9,,16635.0,21135.9,16695.0,16503.1,,16731.1,16646.7,16613.0,16979.5,16675.0,16610.9,16808.0,16850.8,16744.0,-194.9,-6.7,-201.1,-88.0,-162.4,-111.0,246.0,-57.9,14.0,-121.6,90.0,-222.6,-81.8,-20.7,,-179.0,-145.0,156.2,-138.0,-128.6,-113.0,-34.7,-55.0,-67.0,-136.0,-113.3,-127.5,,-108.7,-112.6,-378.0,,-214.7,21.9,,-111.0,4389.9,-51.0,-242.9,,-14.9,-99.3,-133.0,233.5,-71.0,-135.1,62.0,104.8,-2.0,True,False,True,True,True,False,True,True,True,True,False,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,False,,False,True,,True,False,True,False,,True,True,True,False,True,True,True,True,True
New Mexico,1350,1194.6,1194.7,1178.6,1176.0,1177.0,1207.0,1309.0,1236.0,1202.0,1257.0,1105.0,1143.5,1218.7,1247.4,,1154.0,1213.0,1186.9,1187.0,1103.8,1148.0,1289.1,1243.0,1207.2,1173.0,1231.6,1215.0,,1189.7,1211.7,1195.0,,,1158.5,,1265.0,2831.7,1303.0,1165.6,,1177.0,1246.6,1245.0,1150.5,1215.0,1162.8,1231.0,1083.8,1501.0,-155.4,-155.3,-171.4,-174.0,-173.0,-143.0,-41.0,-114.0,-148.0,-93.0,-245.0,-206.5,-131.3,-102.6,,-196.0,-137.0,-163.1,-163.0,-246.2,-202.0,-60.9,-107.0,-142.8,-177.0,-118.4,-135.0,,-160.3,-138.3,-155.0,,,-191.5,,-85.0,1481.7,-47.0,-184.4,,-173.0,-103.4,-105.0,-199.5,-135.0,-187.2,-119.0,-266.2,151.0,True,False,False,False,True,True,True,True,True,False,False,True,True,,False,True,False,False,False,False,True,True,True,False,True,True,,False,True,True,,,False,,True,False,True,False,,False,True,True,False,True,False,True,False,True
