,actual_deaths,Baseline,BPagano-RtDriven,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IowaStateLW-STEM,JCB-PRM,LANL-GrowthRate,QJHong-Encounter,RobertWalraven-ESG,STH-3PU,UCLA-SuEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,error-Baseline,error-BPagano-RtDriven,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-JCB-PRM,error-LANL-GrowthRate,error-QJHong-Encounter,error-RobertWalraven-ESG,error-STH-3PU,error-UCLA-SuEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,beat_baseline-BPagano-RtDriven,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-LANL-GrowthRate,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting
Georgia,9179,8643.1,7949.7,8665.9,8069.0,8460.8,8374.0,8128.8,8112.9,,7999.2,,8589.8,8032.0,8067.9,-535.9,-1229.3,-513.1,-1110.0,-718.2,-805.0,-1050.2,-1066.1,,-1179.8,,-589.2,-1147.0,-1111.1,False,True,False,False,False,False,False,,False,,False,False,False
Hawaii,231,320.6,654.5,307.0,232.0,193.9,,209.8,223.3,,176.2,,197.5,268.0,207.6,89.6,423.5,76.0,1.0,-37.1,,-21.2,-7.7,,-54.8,,-33.5,37.0,-23.4,False,True,True,True,,True,True,,True,,True,True,True
Idaho,847,632.9,810.9,619.9,1808.0,688.7,635.0,743.9,566.5,,493.8,,621.3,665.0,564.3,-214.1,-36.1,-227.1,961.0,-158.3,-212.0,-103.1,-280.5,,-353.2,,-225.7,-182.0,-282.7,True,False,False,True,True,True,False,,False,,False,True,False
Illinois,11952,10377.1,10945.5,10362.7,10151.0,9968.2,9939.0,10465.7,9636.3,,9824.4,,9951.0,10514.0,9204.5,-1574.9,-1006.5,-1589.3,-1801.0,-1983.8,-2013.0,-1486.3,-2315.7,,-2127.6,,-2001.0,-1438.0,-2747.5,True,False,False,False,False,True,False,,False,,False,True,False
Indiana,5246,4318.6,4356.5,4316.9,4359.0,4297.5,4267.0,4259.0,4064.3,,3863.6,,4097.2,4526.0,3754.1,-927.4,-889.5,-929.1,-887.0,-948.5,-979.0,-987.0,-1181.7,,-1382.4,,-1148.8,-720.0,-1491.9,True,False,True,False,False,False,False,,False,,False,True,False
Iowa,2191,1873.9,2092.5,1850.4,1777.0,1798.7,1746.0,1942.1,1545.5,,1542.4,,1789.9,1951.0,1575.4,-317.1,-98.5,-340.6,-414.0,-392.3,-445.0,-248.9,-645.5,,-648.6,,-401.1,-240.0,-615.6,True,False,False,False,False,True,False,,False,,False,True,False
Kansas,1410,1067.1,1162.9,1075.3,1279.0,1032.2,914.0,1051.7,832.1,,745.7,,970.4,944.0,822.5,-334.9,-239.1,-326.7,-123.0,-369.8,-488.0,-350.3,-569.9,,-656.3,,-431.6,-458.0,-579.5,True,True,True,False,False,False,False,,False,,False,False,False
Kentucky,1783,1565.6,1747.7,1561.9,1662.0,1556.6,1575.0,1695.2,1435.3,,1402.3,,1625.9,1773.0,1387.2,-217.4,-35.3,-221.1,-121.0,-226.4,-208.0,-87.8,-347.7,,-380.7,,-157.1,-10.0,-395.8,True,False,True,False,True,True,False,,False,,True,True,False
Louisiana,6233,6345.0,6345.2,6256.9,5842.0,6051.0,6088.0,6071.9,5972.3,,5921.0,,6483.5,5927.0,5926.4,112.0,112.2,23.9,-391.0,-182.0,-145.0,-161.1,-260.7,,-312.0,,250.5,-306.0,-306.6,False,True,False,False,False,False,False,,False,,False,False,False
Maine,174,155.7,148.4,158.0,152.0,157.9,161.0,160.4,151.8,,147.0,,147.5,159.0,152.5,-18.3,-25.6,-16.0,-22.0,-16.1,-13.0,-13.6,-22.2,,-27.0,,-26.5,-15.0,-21.5,False,True,False,True,True,True,False,,False,,False,True,False
Maryland,4415,4115.7,3990.9,4206.2,4161.0,4226.9,4144.0,4192.7,4086.0,,4049.3,,4111.1,4224.0,4087.5,-299.3,-424.1,-208.8,-254.0,-188.1,-271.0,-222.3,-329.0,,-365.7,,-303.9,-191.0,-327.5,False,True,True,True,True,True,False,,False,,False,True,False
Massachusetts,10488,10236.9,10233.9,10385.4,13219.0,11159.1,9911.0,10924.2,10041.0,,9672.7,,9894.1,11048.0,9820.6,-251.1,-254.1,-102.6,2731.0,671.1,-577.0,436.2,-447.0,,-815.3,,-593.9,560.0,-667.4,False,True,False,False,False,False,False,,False,,False,False,False
Michigan,8875,7672.6,8040.4,7739.7,7675.0,7618.2,7519.0,7805.0,7324.3,,7340.2,,7447.2,7852.0,7228.9,-1202.4,-834.6,-1135.3,-1200.0,-1256.8,-1356.0,-1070.0,-1550.7,,-1534.8,,-1427.8,-1023.0,-1646.1,True,True,True,False,False,True,False,,False,,False,True,False
Minnesota,3257,2633.6,3171.1,2615.3,3410.0,2571.0,2555.0,2761.2,2388.1,,2375.4,,2604.0,2842.0,2283.9,-623.4,-85.9,-641.7,153.0,-686.0,-702.0,-495.8,-868.9,,-881.6,,-653.0,-415.0,-973.1,True,False,True,False,False,True,False,,False,,False,True,False
Mississippi,3657,3657.6,3279.2,3709.9,3786.0,3655.6,3693.0,3710.4,3376.0,,3288.2,,3619.2,3665.0,3433.9,0.6,-377.8,52.9,129.0,-1.4,36.0,53.4,-281.0,,-368.8,,-37.8,8.0,-223.1,False,False,False,False,False,False,False,,False,,False,False,False
Missouri,3568,3098.0,2791.3,3037.9,3020.0,3391.5,3004.0,2889.0,4813.9,,2811.0,,2538.7,2997.0,2369.4,-483.0,-789.7,-543.1,-561.0,-189.5,-577.0,-692.0,1232.9,,-770.0,,-1042.3,-584.0,-1211.6,False,False,False,True,False,False,False,,False,,False,False,False
Montana,600,283.0,250.9,291.0,1837.0,512.7,293.0,490.5,292.9,,194.8,,272.3,488.0,231.0,-317.0,-349.1,-309.0,1237.0,-87.3,-307.0,-109.5,-307.1,,-405.2,,-327.7,-112.0,-369.0,False,True,False,True,True,True,True,,False,,False,True,False
Nebraska,905,713.6,841.1,693.2,879.0,727.0,625.0,672.6,597.0,,553.4,,546.3,731.0,567.1,-191.4,-63.9,-211.8,-26.0,-178.0,-280.0,-232.4,-308.0,,-351.6,,-358.7,-174.0,-337.9,True,False,True,True,False,False,False,,False,,False,True,False
Nevada,2011,1883.6,1688.9,1886.5,3392.0,2087.7,1840.0,2068.5,1856.2,,1787.9,,2065.9,2010.0,1851.3,-127.4,-322.1,-124.5,1381.0,76.7,-171.0,57.5,-154.8,,-223.1,,54.9,-1.0,-159.7,False,True,False,True,False,True,False,,False,,True,True,False
New Hampshire,508,470.4,903.0,473.2,459.0,457.6,471.0,456.0,470.3,,445.2,,474.3,509.0,451.7,-37.6,395.0,-34.8,-49.0,-50.4,-37.0,-52.0,-37.7,,-62.8,,-33.7,1.0,-56.3,False,True,False,False,True,False,False,,False,,True,True,False
New Jersey,16746,16341.7,16266.1,16766.6,17763.0,16695.6,16388.5,16672.1,16357.2,,16192.3,,16288.7,16633.0,16375.7,-404.3,-479.9,20.6,1017.0,-50.4,-357.5,-73.9,-388.8,,-553.7,,-457.3,-113.0,-370.3,False,True,False,True,True,True,True,,False,,False,True,True
New Mexico,1350,1042.9,1024.4,1030.0,2499.0,1172.9,1018.0,1249.9,1035.7,,1005.8,,982.5,1206.0,989.8,-307.1,-325.6,-320.0,1149.0,-177.1,-332.0,-100.1,-314.3,,-344.2,,-367.5,-144.0,-360.2,False,False,False,True,False,True,False,,False,,False,True,False
New York,34296,33712.4,34355.3,34645.3,33778.0,33939.7,33486.0,33600.4,33509.1,,33565.6,,33415.9,34148.0,33254.0,-399.6,243.3,533.3,-334.0,-172.3,-626.0,-511.6,-602.9,,-546.4,,-696.1,36.0,-858.0,True,False,True,True,False,False,False,,False,,False,True,False
North Carolina,5005,4957.4,4542.4,4950.7,4672.0,4908.6,4705.0,4997.7,4197.5,,4149.7,,4566.3,5091.0,4225.7,-47.6,-462.6,-54.3,-333.0,-96.4,-300.0,-7.3,-807.5,,-855.3,,-438.7,86.0,-779.3,False,False,False,False,False,True,False,,False,,False,False,False
North Dakota,840,568.9,555.0,579.1,686.0,675.7,489.0,640.5,455.6,,318.1,,388.8,686.0,350.6,-271.1,-285.0,-260.9,-154.0,-164.3,-351.0,-199.5,-384.4,,-521.9,,-451.2,-154.0,-489.4,False,True,True,True,False,True,False,,False,,False,True,False
Ohio,5984,6186.7,7254.5,6222.5,5733.0,5811.6,5436.5,5900.5,5552.1,,5448.8,,5774.9,6215.0,5526.3,202.7,1270.5,238.5,-251.0,-172.4,-547.5,-83.5,-431.9,,-535.2,,-209.1,231.0,-457.7,False,False,False,True,False,True,False,,False,,False,False,False
Oklahoma,1624,1359.6,1265.3,1380.0,1473.0,1527.4,1431.0,1549.4,1153.4,,1188.8,,1404.7,1392.0,1228.9,-264.4,-358.7,-244.0,-151.0,-96.6,-193.0,-74.6,-470.6,,-435.2,,-219.3,-232.0,-395.1,False,True,True,True,True,True,False,,False,,True,True,False
Oregon,819,770.9,915.0,774.1,1152.0,715.9,696.0,781.1,661.2,,647.5,,753.6,767.0,656.7,-48.1,96.0,-44.9,333.0,-103.1,-123.0,-37.9,-157.8,,-171.5,,-65.4,-52.0,-162.3,False,True,False,False,False,True,False,,False,,False,False,False
Pennsylvania,9775,8942.4,8613.5,8913.4,9216.0,9212.3,8807.0,9101.1,8727.4,,8503.2,,8585.4,9057.0,8529.6,-832.6,-1161.5,-861.6,-559.0,-562.7,-968.0,-673.9,-1047.6,,-1271.8,,-1189.6,-718.0,-1245.4,False,False,True,True,False,True,False,,False,,False,True,False
Rhode Island,1294,1193.4,1131.4,1211.0,1247.0,1264.5,1195.0,1301.4,1171.5,,1119.5,,1163.1,1216.0,0.0,-100.6,-162.6,-83.0,-47.0,-29.5,-99.0,7.4,-122.5,,-174.5,,-130.9,-78.0,-1294.0,False,True,True,True,True,True,False,,False,,False,True,False
South Carolina,4274,4323.9,4116.9,4275.4,3845.0,4148.7,4053.0,4354.2,3832.3,,3790.2,,4213.5,4163.0,3914.9,49.9,-157.1,1.4,-429.0,-125.3,-221.0,80.2,-441.7,,-483.8,,-60.5,-111.0,-359.1,False,True,False,False,False,False,False,,False,,False,False,False
South Dakota,777,453.7,566.4,457.9,714.0,482.0,343.0,431.3,360.9,,260.6,,312.0,546.0,297.5,-323.3,-210.6,-319.1,-63.0,-295.0,-434.0,-345.7,-416.1,,-516.4,,-465.0,-231.0,-479.5,True,True,True,True,False,False,False,,False,,False,True,False
Tennessee,4211,3948.4,5090.3,3860.8,3552.0,3636.1,3378.0,3579.9,3286.9,,2921.1,,3723.0,3638.0,3015.3,-262.6,879.3,-350.2,-659.0,-574.9,-833.0,-631.1,-924.1,,-1289.9,,-488.0,-573.0,-1195.7,False,False,False,False,False,False,False,,False,,False,False,False
Texas,21249,20262.9,19991.3,20413.1,27511.0,21839.6,19964.0,20775.8,18123.5,,18172.3,21396.0,19769.3,20627.0,18556.3,-705.1,-976.7,-554.9,6543.0,871.6,-1004.0,-192.2,-2844.5,,-2795.7,428.0,-1198.7,-341.0,-2411.7,False,True,False,False,False,True,False,,False,True,False,True,False
Utah,787,649.4,1108.7,672.0,801.0,725.1,554.0,648.9,633.0,,518.1,,635.7,724.0,436.3,-137.6,321.7,-115.0,14.0,-61.9,-233.0,-138.1,-154.0,,-268.9,,-151.3,-63.0,-350.7,False,True,True,True,False,False,False,,False,,False,True,False
Vermont,63,58.0,59.6,62.0,58.0,60.3,58.0,58.0,60.9,,58.0,,58.9,58.0,58.0,-5.0,-3.4,-1.0,-5.0,-2.7,-5.0,-5.0,-2.1,,-5.0,,-4.1,-5.0,-5.0,True,True,False,True,False,False,True,,False,,True,False,False
Virginia,3938,4044.9,3378.9,4142.2,4001.0,4270.9,3840.0,4184.8,3875.3,,3635.5,,3710.6,4038.0,3701.2,109.9,-556.1,207.2,66.0,335.9,-95.0,249.8,-59.7,,-299.5,,-224.4,103.0,-233.8,False,False,True,False,True,False,True,,False,,False,True,False
Washington,2595,2430.0,2382.9,2439.5,3335.0,2821.9,2367.0,2444.3,2359.6,,2229.3,,2588.1,2596.0,2355.8,-180.0,-227.1,-170.5,725.0,211.9,-243.0,-165.7,-250.4,,-380.7,,-21.9,-14.0,-254.2,False,True,False,False,False,True,False,,False,,True,True,False
West Virginia,658,535.4,422.8,545.1,483.0,567.5,545.0,584.0,473.1,,385.2,,496.5,528.0,455.1,-122.6,-235.2,-112.9,-175.0,-90.5,-113.0,-74.0,-184.9,,-272.8,,-161.5,-130.0,-202.9,False,True,False,True,True,True,False,,False,,False,False,False
Wisconsin,3143,2035.3,2879.6,2008.9,2880.0,2173.0,1803.0,2249.4,1654.0,,1586.3,,1883.5,2172.0,1555.2,-1031.7,-187.4,-1058.1,-187.0,-894.0,-1264.0,-817.6,-1413.0,,-1480.7,,-1183.5,-895.0,-1511.8,True,False,True,True,False,True,False,,False,,False,True,False
Wyoming,176,73.6,80.0,75.9,225.0,133.6,71.0,82.3,78.3,,53.0,,63.1,91.0,58.3,-102.4,-96.0,-100.1,49.0,-42.4,-105.0,-93.7,-97.7,,-123.0,,-112.9,-85.0,-117.7,True,True,True,True,False,True,True,,False,,False,True,False
US,256302,243766.7,236625.1,243675.8,263761.0,248833.3,241308.0,245721.5,226785.2,246303.1,223739.5,239078.0,238963.6,244481.0,231616.2,-12009.3,-19150.9,-12100.2,7985.0,-6942.7,-14468.0,-10054.5,-28990.8,-9472.9,-32036.5,-16698.0,-16812.4,-11295.0,-24159.8,False,False,True,True,False,True,False,True,False,False,False,True,False
