,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR
Oklahoma,1624,1417.6,1452.5,1731.0,,1338.2,-206.4,-171.5,107.0,,-285.8,True,True,,False
Oregon,819,785.0,690.1,812.0,,731.1,-34.0,-128.9,-7.0,,-87.9,False,True,,False
Pennsylvania,9775,8607.7,8862.1,8687.0,,8256.7,-1167.3,-912.9,-1088.0,,-1518.3,True,True,,False
Rhode Island,1331,1228.7,1172.3,1134.0,,1145.5,-77.3,-133.7,-172.0,,-160.5,False,False,,False
South Carolina,4274,4808.7,4691.7,4320.0,,4231.4,534.7,417.7,46.0,,-42.6,True,True,,True
South Dakota,777,292.4,355.4,426.0,,234.2,-484.6,-421.6,-351.0,,-542.8,True,True,,False
Tennessee,4211,4177.6,3264.2,3820.0,,3614.2,-33.4,-946.8,-391.0,,-596.8,False,False,,False
Texas,21249,21807.7,17835.3,21132.0,21396.0,19564.3,862.7,-3109.7,187.0,451.0,-1380.7,False,True,True,False
Utah,787,541.4,793.9,818.0,,596.0,-245.6,6.9,31.0,,-191.0,True,True,,True
Vermont,63,58.0,62.3,85.0,,59.8,-5.0,-0.7,22.0,,-3.2,True,False,,True
Virginia,3938,3177.4,3593.9,3911.0,,3034.2,-760.6,-344.1,-27.0,,-903.8,True,True,,False
Washington,2595,2365.6,2314.8,2295.0,,2498.6,-237.4,-288.2,-308.0,,-104.4,False,False,,True
West Virginia,658,444.4,895.7,722.0,,412.0,-213.6,237.7,64.0,,-246.0,False,True,,False
Wisconsin,3143,1624.0,2095.0,1805.0,,1542.0,-1461.0,-990.0,-1280.0,,-1543.0,True,True,,False
Wyoming,176,42.0,66.1,167.0,,47.1,-134.0,-109.9,-9.0,,-128.9,True,True,,True
US,257672,244638.1,227092.3,246306.0,240675.0,227748.4,-12921.9,-30467.7,-11254.0,-16885.0,-29811.6,False,True,False,False
