,actual_deaths,Baseline,BPagano-RtDriven,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,MITCovAlliance-SIR,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,STH-3PU,UCLA-SuEIR,UCM_MESALab-FoGSEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,error-Baseline,error-BPagano-RtDriven,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-STH-3PU,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,beat_baseline-BPagano-RtDriven,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting
Georgia,9179,8716.3,9112.6,8676.0,8602.2,8288.5,8360.0,,8510.8,8456.0,8517.5,8423.1,8357.3,8340.9,8398.9,8400.0,,8251.6,8178.0,,,8602.5,,8837.0,8246.1,-462.7,-66.4,-503.0,-576.8,-890.5,-819.0,,-668.2,-723.0,-661.5,-755.9,-821.7,-838.1,-780.1,-779.0,,-927.4,-1001.0,,,-576.5,,-342.0,-932.9,True,False,False,False,False,,False,False,False,False,False,False,False,False,,False,False,,,False,,True,False
Hawaii,231,274.4,276.2,276.0,,263.0,234.0,,294.7,,260.2,277.3,336.8,253.6,243.0,299.6,,289.9,241.0,,,215.4,,254.0,225.6,43.4,45.2,45.0,,32.0,3.0,,63.7,,29.2,46.3,105.8,22.6,12.0,68.6,,58.9,10.0,,,-15.6,,23.0,-5.4,False,False,,True,True,,False,,True,False,False,True,True,False,,False,True,,,True,,True,True
Idaho,847,630.0,624.7,639.1,691.9,684.9,601.0,,797.6,641.0,678.3,747.7,677.8,819.7,616.8,585.4,,712.4,569.0,,,639.3,,671.0,592.0,-217.0,-222.3,-207.9,-155.1,-162.1,-246.0,,-49.4,-206.0,-168.7,-99.3,-169.2,-27.3,-230.2,-261.6,,-134.6,-278.0,,,-207.7,,-176.0,-255.0,False,True,True,True,False,,True,True,True,True,True,True,False,False,,True,False,,,True,,True,False
Illinois,11952,10659.1,11982.9,10609.4,12784.4,10570.9,9918.0,,10882.6,10335.0,10710.6,10901.3,10416.7,11309.1,10495.4,10463.5,10612.5,10229.8,9886.0,,,10259.5,,11355.0,9755.0,-1292.9,30.9,-1342.6,832.4,-1381.1,-2034.0,,-1069.4,-1617.0,-1241.4,-1050.7,-1535.3,-642.9,-1456.6,-1488.5,-1339.5,-1722.2,-2066.0,,,-1692.5,,-597.0,-2197.0,True,False,True,False,False,,True,False,True,True,False,True,False,False,False,False,False,,,False,,True,False
Indiana,5697,4655.9,5363.0,4598.6,6733.9,4604.7,4251.0,,5044.0,4333.0,4649.6,4861.8,4438.4,4994.7,4390.2,4515.0,5400.0,4840.3,4494.0,,,4358.3,,5220.0,3959.9,-923.1,-216.0,-980.4,1154.9,-974.3,-1328.0,,-535.0,-1246.0,-929.4,-717.2,-1140.6,-584.3,-1188.8,-1064.0,-179.0,-738.7,-1085.0,,,-1220.7,,-359.0,-1619.1,True,False,False,False,False,,True,False,False,True,False,True,False,False,True,True,False,,,False,,True,False
Iowa,2191,1872.0,1884.6,1873.2,2448.7,1917.8,1717.0,,2066.3,1836.0,1923.0,2016.2,1806.7,2007.7,1719.6,1835.5,,1957.1,2185.0,,,1822.8,,1982.0,1699.6,-319.0,-306.4,-317.8,257.7,-273.2,-474.0,,-124.7,-355.0,-268.0,-174.8,-384.3,-183.3,-471.4,-355.5,,-233.9,-6.0,,,-368.2,,-209.0,-491.4,True,True,True,True,False,,True,False,True,True,False,True,False,False,,True,True,,,False,,True,False
Kansas,1410,1271.9,1508.8,1288.9,1568.8,1117.2,892.0,,1665.7,1116.0,1315.5,1333.0,1138.0,1272.3,1079.3,1189.5,,1118.6,1170.0,,,1146.8,,1333.0,1004.0,-138.1,98.8,-121.1,158.8,-292.8,-518.0,,255.7,-294.0,-94.5,-77.0,-272.0,-137.7,-330.7,-220.5,,-291.4,-240.0,,,-263.2,,-77.0,-406.0,True,True,False,False,False,,False,False,True,True,False,True,False,False,,False,False,,,False,,True,False
Kentucky,1783,1638.6,1949.3,1627.0,1725.2,1591.9,1583.0,,1855.1,1574.0,1652.2,1620.5,1689.7,1759.9,1483.9,1655.8,1944.0,1470.1,1432.0,,,1637.6,,1749.0,1465.0,-144.4,166.3,-156.0,-57.8,-191.1,-200.0,,72.1,-209.0,-130.8,-162.5,-93.3,-23.1,-299.1,-127.2,161.0,-312.9,-351.0,,,-145.4,,-34.0,-318.0,False,False,True,False,False,,True,False,True,False,True,True,False,True,False,False,False,,,False,,True,False
Louisiana,6233,6211.4,6080.1,6188.7,6073.8,6045.4,6015.0,,6283.3,6038.0,6101.1,6074.5,6049.7,6073.7,6082.6,6179.7,,6086.3,5876.0,,,6312.5,,6069.0,5940.3,-21.6,-152.9,-44.3,-159.2,-187.6,-218.0,,50.3,-195.0,-131.9,-158.5,-183.3,-159.3,-150.4,-53.3,,-146.7,-357.0,,,79.5,,-164.0,-292.7,False,False,False,False,False,,False,False,False,False,False,False,False,False,,False,False,,,False,,False,False
Maine,174,160.6,226.5,161.3,149.4,151.0,151.0,,150.1,160.0,151.8,153.7,176.8,158.9,151.6,166.8,,150.1,147.0,,,149.5,,159.0,153.7,-13.4,52.5,-12.7,-24.6,-23.0,-23.0,,-23.9,-14.0,-22.2,-20.3,2.8,-15.1,-22.4,-7.2,,-23.9,-27.0,,,-24.5,,-15.0,-20.3,False,True,False,False,False,,False,False,False,False,True,False,False,True,,False,False,,,False,,False,False
Maryland,4415,4221.6,4392.7,4247.4,4237.6,4170.6,4126.0,,4193.1,4170.0,4247.9,4267.8,4397.5,4218.4,4166.5,4250.0,,4245.9,4195.0,,5925.0,4173.4,,4294.0,4153.7,-193.4,-22.3,-167.6,-177.4,-244.4,-289.0,,-221.9,-245.0,-167.1,-147.2,-17.5,-196.6,-248.5,-165.0,,-169.1,-220.0,,1510.0,-241.6,,-121.0,-261.3,True,True,True,False,False,,False,False,True,True,True,False,False,True,,True,False,,False,False,,True,False
Massachusetts,10488,10383.0,10694.5,10421.8,10263.2,10405.5,10020.0,,10383.2,10168.0,10375.1,10346.6,10178.9,10700.9,10087.7,10423.9,,10264.8,9836.0,,,10093.9,,10583.0,9963.8,-105.0,206.5,-66.2,-224.8,-82.5,-468.0,,-104.8,-320.0,-112.9,-141.4,-309.1,212.9,-400.3,-64.1,,-223.2,-652.0,,,-394.1,,95.0,-524.2,False,True,False,True,False,,True,False,False,False,False,False,False,True,,False,False,,,False,,True,False
Michigan,8875,7927.7,8898.4,7952.9,8623.0,7869.0,7528.0,,7966.6,7704.0,7975.8,8289.6,8166.3,8380.7,7583.4,7943.9,8247.0,7540.9,8085.0,,,7688.8,,8379.0,7402.0,-947.3,23.4,-922.1,-252.0,-1006.0,-1347.0,,-908.4,-1171.0,-899.2,-585.4,-708.7,-494.3,-1291.6,-931.1,-628.0,-1334.1,-790.0,,,-1186.2,,-496.0,-1473.0,True,True,True,False,False,,True,False,True,True,True,True,False,True,True,False,True,,,False,,True,False
Minnesota,3257,2738.7,3196.2,2699.8,2962.4,2689.7,2673.0,,2813.8,2711.0,2700.6,2780.7,2623.4,2840.1,2613.3,2589.4,3099.5,2653.8,2607.0,,,2645.8,,2846.0,2408.8,-518.3,-60.8,-557.2,-294.6,-567.3,-584.0,,-443.2,-546.0,-556.4,-476.3,-633.6,-416.9,-643.7,-667.6,-157.5,-603.2,-650.0,,,-611.2,,-411.0,-848.2,True,False,True,False,False,,True,False,False,True,False,True,False,False,True,False,False,,,False,,True,False
Mississippi,3657,3511.0,3727.2,3546.4,4157.6,3608.8,3432.0,,3494.6,3535.0,3670.4,3665.4,3400.0,3999.6,3408.0,3483.0,,3515.9,3324.0,,,3549.3,,3714.0,3475.2,-146.0,70.2,-110.6,500.6,-48.2,-225.0,,-162.4,-122.0,13.4,8.4,-257.0,342.6,-249.0,-174.0,,-141.1,-333.0,,,-107.7,,57.0,-181.8,True,True,False,True,False,,False,True,True,True,False,False,False,False,,True,False,,,True,,True,False
Missouri,3597,3408.0,3727.8,3365.8,4102.4,3504.0,3024.0,,2950.8,3533.0,3507.6,3620.5,3098.4,3886.8,3311.5,3710.9,,3362.3,3764.0,,,2854.9,,3666.0,2757.0,-172.0,147.8,-214.2,522.4,-76.0,-556.0,,-629.2,-47.0,-72.4,40.5,-481.6,306.8,-268.5,130.9,,-217.7,184.0,,,-725.1,,86.0,-823.0,True,False,False,True,False,,False,True,True,True,False,False,False,True,,False,False,,,False,,True,False
Montana,600,391.6,571.9,389.0,689.5,422.1,367.0,,393.2,392.0,438.5,698.0,319.1,490.2,341.8,322.5,,387.5,371.0,,,351.8,,502.0,290.5,-208.4,-28.1,-211.0,89.5,-177.9,-233.0,,-206.8,-208.0,-161.5,98.0,-280.9,-109.8,-258.2,-277.5,,-212.5,-229.0,,,-248.2,,-98.0,-309.5,True,False,True,True,False,,True,True,True,True,False,True,False,False,,False,False,,,False,,True,False
Nebraska,905,688.9,926.6,687.0,829.6,713.8,631.0,,838.9,657.0,675.6,845.3,760.6,797.1,653.3,653.8,,657.5,691.0,,,587.8,,772.0,604.7,-216.1,21.6,-218.0,-75.4,-191.2,-274.0,,-66.1,-248.0,-229.4,-59.7,-144.4,-107.9,-251.7,-251.2,,-247.5,-214.0,,,-317.2,,-133.0,-300.3,True,False,True,True,False,,True,False,False,True,True,True,False,False,,False,True,,,False,,True,False
Nevada,2011,1948.0,2128.1,1947.3,2132.6,1951.4,1856.0,,1923.9,1895.0,1936.7,1955.4,1955.4,2143.9,1885.7,1921.4,,2358.6,1902.0,,,2020.1,,2039.0,1879.3,-63.0,117.1,-63.7,121.6,-59.6,-155.0,,-87.1,-116.0,-74.3,-55.6,-55.6,132.9,-125.3,-89.6,,347.6,-109.0,,,9.1,,28.0,-131.7,False,False,False,True,False,,False,False,False,True,True,False,False,False,,False,False,,,True,,True,False
New Hampshire,508,514.6,511.6,521.5,631.1,521.9,548.0,,536.8,502.0,504.4,564.4,502.9,572.7,484.9,516.8,,510.1,500.0,,,489.2,,560.0,477.8,6.6,3.6,13.5,123.1,13.9,40.0,,28.8,-6.0,-3.6,56.4,-5.1,64.7,-23.1,8.8,,2.1,-8.0,,,-18.8,,52.0,-30.2,True,False,False,False,False,,False,True,True,False,True,False,False,False,,True,False,,,False,,False,False
New Jersey,16746,16390.7,16391.7,16556.4,16424.7,16557.4,16449.0,,16258.6,16348.0,16451.6,16747.1,16574.6,16541.9,16356.8,16959.8,,16483.2,16222.0,,,16330.3,,16444.0,16364.3,-355.3,-354.3,-189.6,-321.3,-188.6,-297.0,,-487.4,-398.0,-294.4,1.1,-171.4,-204.1,-389.2,213.8,,-262.8,-524.0,,,-415.7,,-302.0,-381.7,True,True,True,True,True,,False,False,True,True,True,True,False,True,,True,False,,,False,,True,False
New Mexico,1350,1045.7,1140.5,1039.0,1578.8,1163.2,982.0,,1044.4,1012.0,1122.1,1218.5,1094.6,1372.4,1057.0,1088.8,,1090.3,974.0,,,1004.2,,1245.0,1006.4,-304.3,-209.5,-311.0,228.8,-186.8,-368.0,,-305.6,-338.0,-227.9,-131.5,-255.4,22.4,-293.0,-261.2,,-259.7,-376.0,,,-345.8,,-105.0,-343.6,True,False,True,True,False,,False,False,True,True,True,True,True,True,,True,False,,,False,,True,False
New York,34296,33663.0,33498.8,33931.8,34197.2,33959.6,33667.0,,33930.0,33600.0,33876.1,34440.2,33964.8,34216.6,33534.8,35263.2,,33735.9,33349.0,,,33553.5,,33921.0,33350.0,-431.0,-595.2,-162.2,103.2,-134.4,-427.0,,-164.0,-494.0,-217.9,346.2,-129.2,122.6,-559.2,1169.2,,-358.1,-745.0,,,-540.5,,-173.0,-744.0,False,True,True,True,True,,True,False,True,True,True,True,False,False,,True,False,,,False,,True,False
North Carolina,5005,4730.6,5930.4,4748.7,5981.4,4784.9,4411.0,,4699.3,4525.0,5050.2,4728.2,4764.4,5139.1,4514.4,4685.2,,4405.8,4536.0,,,4580.9,,5060.0,4393.5,-274.4,925.4,-256.3,976.4,-220.1,-594.0,,-305.7,-480.0,45.2,-276.8,-240.6,134.1,-490.6,-319.8,,-599.2,-469.0,,,-424.1,,55.0,-611.5,False,True,False,True,False,,False,False,True,False,True,True,False,False,,False,False,,,False,,True,False
North Dakota,840,729.4,845.7,714.0,1151.5,759.5,508.0,,759.4,648.0,751.0,759.8,470.5,889.5,688.3,573.0,,869.2,745.5,,,575.8,,941.0,510.2,-110.6,5.7,-126.0,311.5,-80.5,-332.0,,-80.6,-192.0,-89.0,-80.2,-369.5,49.5,-151.7,-267.0,,29.2,-94.5,,,-264.2,,101.0,-329.8,True,False,False,True,False,,True,False,True,True,False,True,False,False,,True,True,,,False,,True,False
Ohio,6797,5397.3,5309.5,5431.1,6145.0,5812.0,5480.0,,5931.3,5750.0,5644.0,6233.0,6072.4,5836.9,5427.8,5886.3,6363.0,5434.0,5524.0,,,5501.6,,5588.0,5484.3,-1655.7,-1743.5,-1621.9,-908.0,-1241.0,-1573.0,,-1121.7,-1303.0,-1409.0,-820.0,-980.6,-1216.1,-1625.2,-1166.7,-690.0,-1619.0,-1529.0,,,-1551.4,,-1465.0,-1568.7,False,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,,,True,,True,True
Oklahoma,1624,1525.6,1965.2,1497.0,1385.4,1393.5,1267.0,,1395.5,1477.0,1481.2,1407.6,1474.0,1509.1,1330.4,1413.4,,1257.1,1356.0,,,1461.8,,1490.0,1317.7,-98.4,341.2,-127.0,-238.6,-230.5,-357.0,,-228.5,-147.0,-142.8,-216.4,-150.0,-114.9,-293.6,-210.6,,-366.9,-268.0,,,-162.2,,-134.0,-306.3,False,False,False,False,False,,False,False,False,False,False,False,False,False,,False,False,,,False,,False,False
Oregon,819,722.0,703.4,719.0,821.1,791.3,663.0,,793.4,698.0,762.9,815.6,874.2,774.8,696.9,710.7,,744.6,704.0,,,731.2,,751.0,687.3,-97.0,-115.6,-100.0,2.1,-27.7,-156.0,,-25.6,-121.0,-56.1,-3.4,55.2,-44.2,-122.1,-108.3,,-74.4,-115.0,,,-87.8,,-68.0,-131.7,False,False,True,True,False,,True,False,True,True,True,True,False,False,,True,False,,,True,,True,False
Pennsylvania,9775,9120.7,9189.3,9045.6,9856.1,9216.8,8862.0,,9459.0,8990.0,9290.6,9597.1,9489.6,9695.5,8900.9,9551.4,,9459.3,8980.0,,,8798.2,,9418.0,8722.8,-654.3,-585.7,-729.4,81.1,-558.2,-913.0,,-316.0,-785.0,-484.4,-177.9,-285.4,-79.5,-874.1,-223.6,,-315.7,-795.0,,,-976.8,,-357.0,-1052.2,True,False,True,True,False,,True,False,True,True,True,True,False,True,,True,False,,,False,,True,False
Rhode Island,1331,1258.9,1541.0,1270.9,1398.8,1217.7,1185.0,,1183.8,1206.0,1241.7,1283.6,1248.5,1294.0,1198.8,1246.7,,1273.8,1201.0,,,1171.7,,1319.0,1152.2,-48.1,234.0,-36.1,91.8,-89.3,-122.0,,-123.2,-101.0,-65.3,-23.4,-58.5,-13.0,-108.2,-60.3,,-33.2,-106.0,,,-135.3,,12.0,-154.8,False,True,False,False,False,,False,False,False,True,False,True,False,False,,True,False,,,False,,True,False
South Carolina,4274,4126.0,4111.8,4067.0,3944.9,3978.2,4000.0,,4299.7,3930.0,4131.3,4038.3,3904.3,4160.9,3978.4,3973.3,,3942.2,3856.0,,,4096.5,,4090.0,4002.7,-148.0,-162.2,-207.0,-329.1,-295.8,-274.0,,25.7,-344.0,-142.7,-235.7,-369.7,-113.1,-295.6,-300.7,,-331.8,-418.0,,,-177.5,,-184.0,-271.3,False,False,False,False,False,,True,False,True,False,False,True,False,False,,False,False,,,False,,False,False
South Dakota,777,502.7,490.2,460.0,972.7,600.9,455.0,,607.3,419.0,538.8,715.9,362.6,643.7,480.5,427.7,,475.7,606.0,,,374.6,,565.0,380.1,-274.3,-286.8,-317.0,195.7,-176.1,-322.0,,-169.7,-358.0,-238.2,-61.1,-414.4,-133.3,-296.5,-349.3,,-301.3,-171.0,,,-402.4,,-212.0,-396.9,False,False,True,True,False,,True,False,True,True,False,True,False,False,,False,True,,,False,,True,False
Tennessee,4211,3598.7,3632.5,3628.7,4645.8,3874.2,3492.0,,4600.9,3618.0,3995.4,4294.0,3506.6,3737.0,3584.1,3449.3,,3453.1,3450.0,,,3666.4,,3732.0,3280.0,-612.3,-578.5,-582.3,434.8,-336.8,-719.0,,389.9,-593.0,-215.6,83.0,-704.4,-474.0,-626.9,-761.7,,-757.9,-761.0,,,-544.6,,-479.0,-931.0,True,True,True,True,False,,True,True,True,True,False,True,False,False,,False,False,,,True,,True,False
Texas,21249,19864.4,20114.0,19925.1,19200.8,19438.6,19004.0,,19695.2,20048.0,20250.6,19222.4,19845.8,21046.9,19440.6,19236.3,,19435.4,18774.0,,27557.0,19687.5,,20034.0,19264.2,-1096.6,-847.0,-1035.9,-1760.2,-1522.4,-1957.0,,-1265.8,-913.0,-710.4,-1738.6,-1115.2,85.9,-1520.4,-1724.7,,-1525.6,-2187.0,,6596.0,-1273.5,,-927.0,-1696.8,True,True,False,False,False,,False,True,True,False,False,True,False,False,,False,False,,False,False,,True,False
Utah,787,669.3,626.0,690.1,730.4,809.8,612.0,,1023.3,678.0,721.7,615.5,694.2,792.0,659.6,617.4,,673.5,686.5,,,676.5,,695.0,486.5,-117.7,-161.0,-96.9,-56.6,22.8,-175.0,,236.3,-109.0,-65.3,-171.5,-92.8,5.0,-127.4,-169.6,,-113.5,-100.5,,,-110.5,,-92.0,-300.5,False,True,True,True,False,,False,True,True,False,True,True,False,False,,True,True,,,True,,True,False
Vermont,63,58.0,58.3,60.0,58.6,59.0,58.0,,59.1,58.0,58.0,58.8,71.4,59.9,60.8,64.1,,60.8,60.0,,,58.6,,58.0,57.9,-5.0,-4.7,-3.0,-4.4,-4.0,-5.0,,-3.9,-5.0,-5.0,-4.2,8.4,-3.1,-2.2,1.1,,-2.2,-3.0,,,-4.4,,-5.0,-5.1,True,True,True,True,False,,True,False,False,True,False,True,True,True,,True,True,,,True,,False,False
Virginia,3938,3794.3,3892.7,3763.5,4023.8,3791.6,3671.0,,3801.5,3846.0,4070.6,4050.0,4020.6,3978.1,3692.3,3971.2,,3655.7,3685.0,,,3643.2,,3893.0,3741.2,-140.7,-42.3,-171.5,88.8,-143.4,-264.0,,-133.5,-89.0,135.6,115.0,85.6,43.1,-242.7,36.2,,-279.3,-250.0,,,-291.8,,-42.0,-193.8,True,False,True,False,False,,True,True,True,True,True,True,False,True,,False,False,,,False,,True,False
Washington,2595,2477.0,2698.8,2484.3,2525.6,2499.3,2327.0,,2443.1,2473.0,2556.2,2564.6,2598.8,2580.5,2386.1,2405.0,,2370.9,2349.0,,,2497.9,,2498.0,2401.8,-136.0,85.8,-128.7,-87.4,-113.7,-286.0,,-169.9,-140.0,-56.8,-48.4,-14.2,-32.5,-226.9,-208.0,,-242.1,-264.0,,,-115.1,,-115.0,-211.2,True,True,True,True,False,,False,False,True,True,True,True,False,False,,False,False,,,True,,True,False
West Virginia,658,484.6,521.9,471.1,503.6,494.4,515.0,,543.6,530.0,532.1,603.4,573.5,517.4,497.8,581.3,,471.2,461.0,,,494.6,,521.0,465.7,-173.4,-136.1,-186.9,-154.4,-163.6,-143.0,,-114.4,-128.0,-125.9,-54.6,-84.5,-140.6,-160.2,-76.7,,-186.8,-197.0,,,-163.4,,-137.0,-192.3,True,False,True,True,True,,True,True,True,True,True,True,True,True,,False,False,,,True,,True,False
