,actual_deaths,Baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,MITCovAlliance-SIR,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,error-Baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-MITCovAlliance-SIR,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-MITCovAlliance-SIR,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting
New Jersey,16746,16412.4,18544.0,16478.3,,18547.5,16365.0,16599.3,17204.2,16371.9,16304.4,19456.0,16575.0,16389.3,-333.6,1798.0,-267.7,,1801.5,-381.0,-146.7,458.2,-374.1,-441.6,2710.0,-171.0,-356.7,False,True,,False,False,True,False,False,False,False,True,False
New Mexico,1350,1035.0,1603.0,1026.3,,1079.6,1024.0,1110.2,1137.6,916.9,974.3,1446.3,1248.0,979.3,-315.0,253.0,-323.7,,-270.4,-326.0,-239.8,-212.4,-433.1,-375.7,96.3,-102.0,-370.7,True,False,,True,False,True,True,False,False,True,True,False
New York,34296,33476.7,33558.0,33433.9,,34083.3,33401.0,33618.4,36035.4,33380.1,33366.9,37065.0,33544.0,33216.6,-657.3,-576.0,-700.1,,-50.7,-733.0,-515.6,1901.4,-753.9,-767.1,2931.0,-590.0,-917.4,True,False,,True,False,True,False,False,False,False,True,False
North Carolina,5005,4996.7,4877.0,4637.5,,5645.3,4672.0,4748.5,4750.9,3970.3,4543.0,6646.6,5285.0,4077.9,-8.3,-128.0,-367.5,,640.3,-333.0,-256.5,-254.1,-1034.7,-462.0,1641.6,280.0,-927.1,False,False,,False,False,False,False,False,False,False,False,False
North Dakota,840,537.4,574.0,500.9,,504.3,339.0,542.5,410.8,393.7,304.9,457.7,464.0,293.8,-302.6,-266.0,-339.1,,-335.7,-501.0,-297.5,-429.2,-446.3,-535.1,-382.3,-376.0,-546.2,True,False,,False,False,True,False,False,False,False,False,False
Ohio,6797,5731.0,5501.0,5767.9,,6338.9,5449.0,5771.0,6668.7,4990.7,5618.9,6444.4,5544.0,5375.6,-1442.0,-1672.0,-1405.1,,-834.1,-1724.0,-1402.0,-504.3,-2182.3,-1554.1,-728.6,-1629.0,-1797.4,False,True,,True,False,True,True,False,False,True,False,False
Oklahoma,1624,1477.4,2170.0,1454.4,,1670.1,1385.0,1690.2,1632.3,1150.3,1431.0,1672.4,1477.0,1201.9,-146.6,546.0,-169.6,,46.1,-239.0,66.2,8.3,-473.7,-193.0,48.4,-147.0,-422.1,False,False,,True,False,True,True,False,False,True,False,False
Oregon,819,676.6,1182.0,695.7,,760.8,687.0,734.7,769.1,601.4,711.2,938.2,821.0,630.8,-142.4,363.0,-123.3,,-58.2,-132.0,-84.3,-49.9,-217.6,-107.8,119.2,2.0,-188.2,False,True,,True,True,True,True,False,True,True,True,False
Pennsylvania,9775,9076.0,9084.0,9055.9,,9499.9,8885.0,9090.6,9687.7,8340.4,8638.2,10742.1,9118.0,8461.7,-699.0,-691.0,-719.1,,-275.1,-890.0,-684.4,-87.3,-1434.6,-1136.8,967.1,-657.0,-1313.3,True,False,,True,False,True,True,False,False,False,True,False
Rhode Island,1331,1256.3,1495.0,1264.6,,1454.0,1176.0,1283.1,1543.3,1136.3,1178.6,1274.1,1189.0,0.0,-60.7,178.0,-52.4,,137.0,-141.0,-33.9,226.3,-180.7,-138.4,-42.9,-128.0,-1317.0,False,True,,False,False,True,False,False,False,True,False,False
South Carolina,4274,4323.9,4883.0,4263.2,,4695.2,3942.0,4573.7,4121.3,3619.9,4259.8,4393.4,4390.0,3831.1,49.9,609.0,-10.8,,421.2,-332.0,299.7,-152.7,-654.1,-14.2,119.4,116.0,-442.9,False,True,,False,False,False,False,False,True,False,False,False
South Dakota,777,343.7,358.0,365.1,,427.7,311.0,364.6,361.9,227.7,272.8,545.4,360.0,259.5,-433.3,-419.0,-411.9,,-349.3,-466.0,-412.4,-415.1,-549.3,-504.2,-231.6,-417.0,-517.5,True,True,,True,False,True,True,False,False,True,True,False
Tennessee,4211,3626.3,3867.0,3510.6,,5246.6,3249.0,3296.4,3350.5,2719.6,3583.1,3169.1,3296.0,2812.7,-584.7,-344.0,-700.4,,1035.6,-962.0,-914.6,-860.5,-1491.4,-627.9,-1041.9,-915.0,-1398.3,True,False,,False,False,False,False,False,False,False,False,False
Texas,21249,20907.1,75249.0,20865.2,,23447.2,19990.0,19926.1,19445.9,16840.1,20088.8,20186.8,20095.0,18049.9,-57.9,54284.0,-99.8,,2482.2,-975.0,-1038.9,-1519.1,-4124.9,-876.2,-778.2,-870.0,-2915.1,False,False,,False,False,False,False,False,False,False,False,False
Utah,787,555.1,1419.0,790.3,,513.1,556.0,692.7,558.3,469.9,571.3,895.3,593.0,417.6,-231.9,632.0,3.3,,-273.9,-231.0,-94.3,-228.7,-317.1,-215.7,108.3,-194.0,-369.4,False,True,,False,True,True,True,False,True,True,True,False
Vermont,63,58.0,58.0,60.0,,58.7,58.0,58.0,72.2,58.0,59.2,65.8,58.0,58.2,-5.0,-5.0,-3.0,,-4.3,-5.0,-5.0,9.2,-5.0,-3.8,2.8,-5.0,-4.8,False,True,,True,False,False,False,False,True,True,False,True
Virginia,3938,4288.4,4485.0,4515.0,,3380.8,4022.0,4043.4,4381.0,3554.2,3699.9,4022.6,3458.0,3625.3,352.4,549.0,579.0,,-555.2,86.0,107.4,445.0,-381.8,-236.1,86.6,-478.0,-310.7,False,False,,False,True,True,False,False,True,True,False,True
Washington,2595,2595.0,2997.0,2462.8,,2373.9,2330.0,2414.0,2464.9,2227.8,2566.9,3482.4,2801.0,2341.1,-19.0,383.0,-151.2,,-240.1,-284.0,-200.0,-149.1,-386.2,-47.1,868.4,187.0,-272.9,False,False,,False,False,False,False,False,False,False,False,False
West Virginia,658,535.4,588.0,636.7,,1147.0,535.0,740.0,766.3,388.2,476.0,549.1,532.0,438.5,-122.6,-70.0,-21.3,,489.0,-123.0,82.0,108.3,-269.8,-182.0,-108.9,-126.0,-219.5,True,True,,False,False,True,True,False,False,True,False,False
Wisconsin,3143,1587.4,6471.0,2029.5,,1730.9,1730.0,2162.8,1771.4,1365.5,1690.1,3248.3,1845.0,1447.5,-1466.6,3417.0,-1024.5,,-1323.1,-1324.0,-891.2,-1282.6,-1688.5,-1363.9,194.3,-1209.0,-1606.5,False,True,,True,True,True,True,False,True,True,True,False
Wyoming,176,57.9,1065.0,155.0,,61.1,73.0,68.4,352.5,50.0,58.5,150.2,60.0,54.1,-118.1,889.0,-21.0,,-114.9,-103.0,-107.6,176.5,-126.0,-117.5,-25.8,-116.0,-121.9,False,True,,True,True,True,False,False,True,True,True,False
US,257672,245982.4,264253.0,234177.2,254372.0,266348.3,227970.0,240703.9,,,233562.0,262318.1,246432.0,229045.7,-11475.6,6795.0,-23280.8,-3086.0,8890.3,-29488.0,-16754.1,,,-23896.0,4860.1,-11026.0,-28412.3,True,False,True,True,False,False,,,False,True,True,False
