,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,MSRA-DeepST,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-MSRA-DeepST,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-MSRA-DeepST,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Georgia,9179,8468.6,8667.5,8650.5,8625.0,8612.7,8622.0,8639.0,9366.0,8683.1,8411.0,8664.1,8586.1,8612.5,,8845.7,8636.0,8572.3,8666.8,8560.0,8329.4,8511.5,8733.8,8452.9,8518.5,8451.0,8424.3,8526.9,,8306.3,8806.6,7978.0,,8974.0,8479.8,,8732.0,9151.9,8734.0,8571.6,,8382.2,8439.4,8616.0,8730.6,8633.6,8901.0,8332.0,8256.4,8345.0,-710.4,-511.5,-528.5,-554.0,-566.3,-557.0,-540.0,187.0,-495.9,-768.0,-514.9,-592.9,-566.5,,-333.3,-543.0,-606.7,-512.2,-619.0,-849.6,-667.5,-445.2,-726.1,-660.5,-728.0,-754.7,-652.1,,-872.7,-372.4,-1201.0,,-205.0,-699.2,,-447.0,-27.1,-445.0,-607.4,,-796.8,-739.6,-563.0,-448.4,-545.4,-278.0,-847.0,-922.6,-834.0,True,True,True,True,True,True,True,True,False,True,True,True,,True,True,True,True,True,False,True,True,False,True,False,False,True,,False,True,False,,True,True,,True,True,True,True,,False,False,True,True,True,True,False,False,False
Hawaii,231,308.4,402.3,324.5,303.0,316.0,289.0,236.0,291.0,283.2,261.0,297.9,,244.2,,260.9,,294.7,256.6,296.0,316.7,302.0,275.3,260.0,257.0,270.0,293.0,287.4,,430.4,288.7,291.0,,,199.7,,290.7,195.0,338.0,239.4,,267.6,301.3,275.0,284.3,231.3,291.0,321.5,249.3,296.0,77.4,171.3,93.5,72.0,85.0,58.0,5.0,60.0,52.2,30.0,66.9,,13.2,,29.9,,63.7,25.6,65.0,85.7,71.0,44.3,29.0,26.0,39.0,62.0,56.4,,199.4,57.7,60.0,,,-31.3,,59.7,-36.0,107.0,8.4,,36.6,70.3,44.0,53.3,0.3,60.0,90.5,18.3,65.0,False,False,True,False,True,True,True,True,True,True,,True,,True,,True,True,True,False,True,True,True,True,True,True,True,,False,True,True,,,True,,True,True,False,True,,True,True,True,True,True,True,False,True,True
Idaho,847,746.6,1034.1,749.6,709.0,744.0,746.0,874.0,734.0,720.1,658.0,694.4,760.1,752.6,,622.5,709.0,761.3,746.1,877.0,693.0,697.5,840.6,661.8,778.8,779.0,828.4,781.1,,760.2,746.4,928.0,,,601.5,,739.0,644.4,774.0,707.7,,639.7,853.4,804.0,703.2,814.6,815.0,723.0,636.0,703.0,-100.4,187.1,-97.4,-138.0,-103.0,-101.0,27.0,-113.0,-126.9,-189.0,-152.6,-86.9,-94.4,,-224.5,-138.0,-85.7,-100.9,30.0,-154.0,-149.5,-6.4,-185.2,-68.2,-68.0,-18.6,-65.9,,-86.8,-100.6,81.0,,,-245.5,,-108.0,-202.6,-73.0,-139.3,,-207.3,6.4,-43.0,-143.8,-32.4,-32.0,-124.0,-211.0,-144.0,False,True,False,False,False,True,False,False,False,False,True,True,,False,False,True,False,True,False,False,True,False,True,True,True,True,,True,False,True,,,False,,False,False,True,False,,False,True,True,False,True,True,False,False,False
Illinois,11951,10936.0,11835.7,10956.5,11056.0,10947.0,11178.0,11546.0,13748.0,11407.9,11043.0,10827.0,11328.9,11214.6,,10928.2,10721.0,11281.8,11801.5,10725.0,10618.4,10710.5,12224.2,10613.2,11404.5,10522.0,11280.7,11141.7,11087.0,10424.3,11472.7,10776.0,,10657.0,10541.9,,11251.0,10501.7,11844.0,10580.7,,10737.3,11348.9,11422.0,10938.3,13616.7,11595.0,11200.0,9991.0,11009.0,-1015.0,-115.3,-994.5,-895.0,-1004.0,-773.0,-405.0,1797.0,-543.1,-908.0,-1124.0,-622.1,-736.4,,-1022.8,-1230.0,-669.2,-149.5,-1226.0,-1332.6,-1240.5,273.2,-1337.8,-546.5,-1429.0,-670.3,-809.3,-864.0,-1526.7,-478.3,-1175.0,,-1294.0,-1409.1,,-700.0,-1449.3,-107.0,-1370.3,,-1213.7,-602.1,-529.0,-1012.7,1665.7,-356.0,-751.0,-1960.0,-942.0,True,True,True,True,True,True,False,True,True,False,True,True,,False,False,True,True,False,False,False,True,False,True,False,True,True,True,False,True,False,,False,False,,True,False,True,False,,False,True,True,True,False,True,True,False,True
Indiana,5246,4874.4,5430.9,4914.2,4940.0,4917.2,4969.0,5133.0,6028.0,5269.3,4770.0,4729.1,4927.0,4969.5,,5034.5,4778.0,5107.4,5133.4,4805.0,4544.7,4829.0,5514.1,4712.8,5055.8,4664.0,4950.3,4838.5,5372.5,4956.0,5195.5,4548.0,,4677.2,4466.5,,5049.0,5460.3,5114.0,4639.2,,4730.1,4984.5,5028.0,4634.6,6174.2,5349.0,5362.0,4134.4,5242.0,-371.6,184.9,-331.8,-306.0,-328.8,-277.0,-113.0,782.0,23.3,-476.0,-516.9,-319.0,-276.5,,-211.5,-468.0,-138.6,-112.6,-441.0,-701.3,-417.0,268.1,-533.2,-190.2,-582.0,-295.7,-407.5,126.5,-290.0,-50.5,-698.0,,-568.8,-779.5,,-197.0,214.3,-132.0,-606.8,,-515.9,-261.5,-218.0,-611.4,928.2,103.0,116.0,-1111.6,-4.0,True,True,True,True,True,True,False,True,False,False,True,True,,True,False,True,True,False,False,False,True,False,True,False,True,False,True,True,True,False,,False,False,,True,True,True,False,,False,True,True,False,False,True,True,False,True
Iowa,2191,2032.3,2263.0,2059.9,1978.0,2058.1,2035.0,1804.0,2174.0,2055.7,1927.0,2015.5,1987.9,2074.5,,2035.4,1928.0,2093.4,2068.6,2263.0,1841.1,2028.5,2067.0,1937.6,2072.3,2064.0,2050.8,2014.2,,2035.7,2194.4,1962.0,,2010.5,1743.7,,2041.1,2297.8,2097.0,1959.3,,1966.7,2072.0,2000.0,1907.7,2225.6,2079.0,2014.0,1783.0,2052.0,-158.7,72.0,-131.1,-213.0,-132.9,-156.0,-387.0,-17.0,-135.3,-264.0,-175.5,-203.1,-116.5,,-155.6,-263.0,-97.6,-122.4,72.0,-349.9,-162.5,-124.0,-253.4,-118.7,-127.0,-140.2,-176.8,,-155.3,3.4,-229.0,,-180.5,-447.3,,-149.9,106.8,-94.0,-231.7,,-224.3,-119.0,-191.0,-283.3,34.6,-112.0,-177.0,-408.0,-139.0,True,True,False,True,True,False,True,True,False,False,False,True,,True,False,True,True,True,False,False,True,False,True,True,True,False,,True,True,False,,False,False,,True,True,True,False,,False,True,False,False,True,True,False,False,True
Kansas,1410,1330.1,1522.0,1345.9,1392.0,1344.1,1345.0,1177.0,1774.0,1372.6,1206.0,1289.5,1320.3,1328.7,,1566.3,1248.0,1462.0,1560.0,1425.0,1179.9,1391.5,1345.5,1156.4,1277.1,1365.0,1414.0,1285.3,,1264.3,1362.3,1494.0,,,1041.7,,1429.2,1179.7,1307.0,1226.9,,1403.8,1431.8,1460.0,1429.1,1163.1,1396.0,1319.0,1097.4,1310.0,-60.9,131.0,-45.1,1.0,-46.9,-46.0,-214.0,383.0,-18.4,-185.0,-101.5,-70.7,-62.3,,175.3,-143.0,71.0,169.0,34.0,-211.1,0.5,-45.5,-234.6,-113.9,-26.0,23.0,-105.7,,-126.7,-28.7,103.0,,,-349.3,,38.2,-211.3,-84.0,-164.1,,12.8,40.8,69.0,38.1,-227.9,5.0,-72.0,-293.6,-81.0,False,True,True,True,True,False,False,True,False,False,False,False,,False,False,False,False,True,False,True,True,False,False,True,True,False,,False,True,False,,,False,,True,False,False,False,,True,True,False,True,False,True,False,False,False
Kentucky,1783,1750.3,2017.5,1765.5,1734.0,1771.9,1759.0,1873.0,1770.0,1751.9,1711.0,1693.9,1676.9,1785.4,,1674.1,1761.0,1765.5,1756.9,1944.0,1699.0,1802.5,1817.2,1674.2,1796.1,1841.0,1897.5,1746.7,1820.0,1570.8,1885.1,1676.0,,1666.3,1641.7,,1769.2,1726.0,1837.0,1730.3,,1579.8,1924.4,1774.0,1639.7,2110.2,1869.0,1750.0,1544.1,1847.0,-32.7,234.5,-17.5,-49.0,-11.1,-24.0,90.0,-13.0,-31.1,-72.0,-89.1,-106.1,2.4,,-108.9,-22.0,-17.5,-26.1,161.0,-84.0,19.5,34.2,-108.8,13.1,58.0,114.5,-36.3,37.0,-212.2,102.1,-107.0,,-116.7,-141.3,,-13.8,-57.0,54.0,-52.7,,-203.2,141.4,-9.0,-143.3,327.2,86.0,-33.0,-238.9,64.0,False,True,False,True,True,False,True,True,False,False,False,True,,False,True,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,,False,False,,True,False,False,False,,False,False,True,False,False,False,False,False,False
Louisiana,6233,6172.6,6178.2,6195.7,6132.0,6193.1,6190.0,6157.0,6279.0,6189.8,5997.0,6155.9,6270.7,6172.9,,6259.6,6146.0,6151.9,6218.0,6118.0,6048.8,6134.5,6187.7,6114.8,6099.9,6114.0,6245.0,6190.2,,6149.3,6151.4,6294.5,,6272.4,6148.4,,6235.0,5855.3,6256.0,6274.3,,6068.9,6258.4,6143.0,6364.3,6333.0,6169.0,6094.0,5938.9,6166.0,-60.4,-54.8,-37.3,-101.0,-39.9,-43.0,-76.0,46.0,-43.2,-236.0,-77.1,37.7,-60.1,,26.6,-87.0,-81.1,-15.0,-115.0,-184.2,-98.5,-45.3,-118.2,-133.1,-119.0,12.0,-42.8,,-83.7,-81.6,61.5,,39.4,-84.6,,2.0,-377.7,23.0,41.3,,-164.1,25.4,-90.0,131.3,100.0,-64.0,-139.0,-294.1,-67.0,True,True,False,True,True,False,True,True,False,False,True,True,,True,False,False,True,False,False,False,True,False,False,False,True,True,,False,False,False,,True,False,,True,False,True,True,,False,True,False,False,False,False,False,False,False
Maine,174,146.0,148.3,148.2,154.0,149.0,154.0,147.0,153.0,152.9,155.0,163.0,153.9,152.4,,153.2,159.0,150.5,167.8,165.0,166.8,149.5,152.6,154.7,146.2,196.0,154.5,168.2,,149.0,152.7,151.0,,,163.2,,154.0,172.3,165.0,147.0,,150.4,180.9,156.0,157.8,178.5,153.0,150.0,151.8,,-28.0,-25.7,-25.8,-20.0,-25.0,-20.0,-27.0,-21.0,-21.1,-19.0,-11.0,-20.1,-21.6,,-20.8,-15.0,-23.5,-6.2,-9.0,-7.2,-24.5,-21.4,-19.3,-27.8,22.0,-19.5,-5.8,,-25.0,-21.3,-23.0,,,-10.8,,-20.0,-1.7,-9.0,-27.0,,-23.6,6.9,-18.0,-16.2,4.5,-21.0,-24.0,-22.2,,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,,,True,,True,True,True,True,,True,True,True,True,True,True,True,True,
Maryland,4415,4323.6,4319.5,4306.6,4289.0,4312.5,4303.0,4347.0,4280.0,4261.3,4194.0,4349.2,4306.4,4312.5,,4352.0,4238.0,4275.6,4333.6,4319.0,4333.9,4240.0,4309.6,4226.2,4350.0,4291.0,4331.4,4286.2,,4309.3,4308.9,4201.0,,4275.3,4182.9,6189.0,4291.0,4398.7,4290.0,4237.8,,4232.3,4358.9,4300.0,4321.4,4746.4,4313.0,4343.0,4184.1,4339.0,-91.4,-95.5,-108.4,-126.0,-102.5,-112.0,-68.0,-135.0,-153.7,-221.0,-65.8,-108.6,-102.5,,-63.0,-177.0,-139.4,-81.4,-96.0,-81.1,-175.0,-105.4,-188.8,-65.0,-124.0,-83.6,-128.8,,-105.7,-106.1,-214.0,,-139.7,-232.1,1774.0,-124.0,-16.3,-125.0,-177.2,,-182.7,-56.1,-115.0,-93.6,331.4,-102.0,-72.0,-230.9,-76.0,False,False,False,False,False,True,False,False,False,True,False,False,,True,False,False,True,False,True,False,False,False,True,False,True,False,,False,False,False,,False,False,False,False,True,False,False,,False,True,False,False,False,False,True,False,True
Massachusetts,10488,10353.9,10454.8,10281.4,10301.0,10314.6,10402.0,10626.0,10354.0,10544.6,10445.0,10430.6,10328.7,10609.5,,10405.8,10296.0,10435.1,10530.6,10274.0,10210.9,10126.5,10571.7,10273.0,10518.9,10160.0,10418.2,10390.7,,10389.0,10528.3,10288.0,,10379.4,10024.6,,10483.0,10780.5,10674.0,10123.8,,10309.0,10443.5,10630.0,10308.0,11491.5,10580.0,10427.0,10044.5,10187.0,-134.1,-33.2,-206.6,-187.0,-173.4,-86.0,138.0,-134.0,56.6,-43.0,-57.4,-159.3,121.5,,-82.2,-192.0,-52.9,42.6,-214.0,-277.1,-361.5,83.7,-215.0,30.9,-328.0,-69.8,-97.3,,-99.0,40.3,-200.0,,-108.6,-463.4,,-5.0,292.5,186.0,-364.2,,-179.0,-44.5,142.0,-180.0,1003.5,92.0,-61.0,-443.5,-301.0,True,False,False,False,True,False,True,True,True,True,False,True,,True,False,True,True,False,False,False,True,False,True,False,True,True,,True,True,False,,True,False,,True,False,False,False,,False,True,False,False,False,True,True,False,False
Michigan,8875,8224.0,9012.8,8248.2,8229.0,8251.4,8263.0,8628.0,9145.0,8421.5,8156.0,7986.7,8832.9,8194.2,,8390.5,8273.0,8433.8,8901.3,8172.0,8166.3,8155.0,8627.8,7791.9,8330.6,8047.0,8561.7,8151.0,10450.0,7729.5,8539.0,8191.0,,7891.4,7876.3,,8362.0,8681.0,8096.0,7960.6,,7978.7,8589.6,8771.0,8006.4,10241.8,8745.0,8249.0,7639.4,8263.0,-651.0,137.8,-626.8,-646.0,-623.6,-612.0,-247.0,270.0,-453.5,-719.0,-888.3,-42.1,-680.8,,-484.5,-602.0,-441.2,26.3,-703.0,-708.7,-720.0,-247.2,-1083.1,-544.4,-828.0,-313.3,-724.0,1575.0,-1145.5,-336.0,-684.0,,-983.6,-998.7,,-513.0,-194.0,-779.0,-914.4,,-896.3,-285.4,-104.0,-868.6,1366.8,-130.0,-626.0,-1235.6,-612.0,True,True,True,True,True,True,True,True,False,False,True,False,,True,True,True,True,False,False,False,True,False,True,False,True,False,False,False,True,False,,False,False,,True,True,False,False,,False,True,True,False,False,True,True,False,True
Minnesota,3257,2845.6,3037.8,2833.2,2808.0,2824.8,2882.0,2730.0,3032.0,2910.2,2909.0,2844.4,,2897.9,,2992.6,2870.0,2934.1,2875.6,2947.0,2698.3,2839.5,2893.8,2723.1,2939.9,2833.0,2969.0,2846.5,2750.0,2792.0,2994.5,3040.0,,2838.4,2746.2,,2772.0,3243.8,2908.0,2739.0,,2805.5,2999.4,2938.0,2754.4,3484.7,2926.0,3159.5,2506.2,2977.0,-411.4,-219.2,-423.8,-449.0,-432.2,-375.0,-527.0,-225.0,-346.8,-348.0,-412.6,,-359.1,,-264.4,-387.0,-322.9,-381.4,-310.0,-558.7,-417.5,-363.2,-533.9,-317.1,-424.0,-288.0,-410.5,-507.0,-465.0,-262.5,-217.0,,-418.6,-510.8,,-485.0,-13.2,-349.0,-518.0,,-451.5,-257.6,-319.0,-502.6,227.7,-331.0,-97.5,-750.8,-280.0,True,False,False,False,True,False,True,True,True,False,,True,,True,True,True,True,True,False,False,True,False,True,False,True,True,False,False,True,True,,False,False,,False,True,True,False,,False,True,True,False,True,True,True,False,True
Mississippi,3657,3579.0,3645.6,3589.4,3601.0,3591.1,3591.0,3666.0,3753.0,3696.2,3465.0,3581.7,3490.9,3671.6,,3781.9,3535.0,3636.4,3688.5,3672.0,3428.8,3511.5,3815.8,3416.6,3539.7,3568.0,3592.7,3656.6,,3540.0,3615.6,3585.0,,3556.7,,,3670.0,3038.0,3440.0,3576.7,,3436.4,3620.0,3708.0,3641.0,3818.0,3660.0,3420.0,3504.8,3467.0,-78.0,-11.4,-67.6,-56.0,-65.9,-66.0,9.0,96.0,39.2,-192.0,-75.3,-166.1,14.6,,124.9,-122.0,-20.6,31.5,15.0,-228.2,-145.5,158.8,-240.4,-117.3,-89.0,-64.3,-0.4,,-117.0,-41.4,-72.0,,-100.3,,,13.0,-619.0,-217.0,-80.3,,-220.6,-37.0,51.0,-16.0,161.0,3.0,-237.0,-152.2,-190.0,True,True,True,True,True,True,False,True,False,True,False,True,,False,False,True,True,True,False,False,False,False,False,False,True,True,,False,True,True,,False,,,True,False,False,False,,False,True,True,True,False,True,False,False,False
Missouri,3574,3699.4,3605.5,3782.6,3691.0,3715.7,3714.0,3734.0,4022.0,3953.5,3388.0,3525.0,3767.1,3528.9,,3091.4,3403.0,3969.2,3544.8,3573.0,3225.9,3541.5,3629.7,3386.1,3662.2,3459.0,3819.1,3641.2,,3481.9,3985.2,3611.0,,3696.9,3712.5,,3739.5,3658.2,3903.0,3037.2,,3835.7,3903.6,3400.0,3440.1,3740.8,3716.0,3892.5,2918.0,3765.0,125.4,31.5,208.6,117.0,141.7,140.0,160.0,448.0,379.5,-186.0,-49.0,193.1,-45.1,,-482.6,-171.0,395.2,-29.2,-1.0,-348.1,-32.5,55.7,-187.9,88.2,-115.0,245.1,67.2,,-92.1,411.2,37.0,,122.9,138.5,,165.5,84.2,329.0,-536.8,,261.7,329.6,-174.0,-133.9,166.8,142.0,318.5,-656.0,191.0,True,False,True,False,False,False,False,False,False,True,False,True,,False,False,False,True,True,False,True,True,False,True,True,False,True,,True,False,True,,True,False,,False,True,False,False,,False,False,False,False,False,False,False,False,False
Montana,600,513.0,606.6,513.6,438.0,514.0,526.0,464.0,543.0,543.4,456.0,423.8,542.9,592.5,,575.7,429.0,591.8,666.5,557.0,358.4,461.5,555.9,442.0,509.3,529.0,694.1,516.2,,448.9,585.9,432.0,,,338.8,,543.5,702.8,535.0,378.8,,425.7,717.7,566.0,456.8,558.0,567.0,428.5,358.3,606.0,-87.0,6.6,-86.4,-162.0,-86.0,-74.0,-136.0,-57.0,-56.6,-144.0,-176.2,-57.1,-7.5,,-24.3,-171.0,-8.2,66.5,-43.0,-241.6,-138.5,-44.1,-158.0,-90.7,-71.0,94.1,-83.8,,-151.1,-14.1,-168.0,,,-261.2,,-56.5,102.8,-65.0,-221.2,,-174.3,117.7,-34.0,-143.2,-42.0,-33.0,-171.5,-241.7,6.0,True,True,False,True,True,False,True,True,False,False,True,True,,True,False,True,True,True,False,False,True,False,False,True,False,True,,False,True,False,,,False,,True,False,True,False,,False,False,True,False,True,True,False,False,True
Nebraska,905,781.1,1090.9,780.7,798.0,787.1,789.0,924.0,859.0,789.3,804.0,792.0,846.5,824.3,,685.6,771.0,800.9,791.4,918.0,766.8,775.0,830.6,687.4,788.4,919.0,839.7,803.3,,737.9,876.5,691.0,,,676.1,,798.0,672.7,792.0,713.3,,711.7,866.9,761.0,684.1,839.0,829.0,753.5,656.0,779.0,-123.9,185.9,-124.3,-107.0,-117.9,-116.0,19.0,-46.0,-115.7,-101.0,-113.0,-58.5,-80.7,,-219.4,-134.0,-104.1,-113.6,13.0,-138.2,-130.0,-74.4,-217.6,-116.6,14.0,-65.3,-101.7,,-167.1,-28.5,-214.0,,,-228.9,,-107.0,-232.3,-113.0,-191.7,,-193.3,-38.1,-144.0,-220.9,-66.0,-76.0,-151.5,-249.0,-126.0,False,False,True,True,True,True,True,True,True,True,True,True,,False,False,True,True,True,False,False,True,False,True,True,True,True,,False,True,False,,,False,,True,False,True,False,,False,True,False,False,True,True,False,False,False
Nevada,2011,1875.1,1844.1,1852.7,1916.0,1866.9,1922.0,1966.0,1971.0,1993.9,1856.0,1925.9,1910.5,1921.2,,2212.6,1930.0,1927.8,2029.5,1920.0,1904.6,1879.0,2010.4,1899.7,1942.9,1887.0,1906.2,1993.5,,1925.6,1951.2,1792.0,,2100.8,1854.9,,1971.0,2151.5,1984.0,1944.9,,1890.7,1922.0,2012.0,1929.9,2138.9,1908.0,1867.0,1879.6,1879.0,-131.9,-162.9,-154.3,-91.0,-140.1,-85.0,-41.0,-36.0,-13.1,-151.0,-81.1,-96.5,-85.8,,205.6,-77.0,-79.2,22.5,-87.0,-102.4,-128.0,3.4,-107.3,-64.1,-120.0,-100.8,-13.5,,-81.4,-55.8,-215.0,,93.8,-152.1,,-36.0,144.5,-23.0,-62.1,,-116.3,-85.0,5.0,-77.1,131.9,-99.0,-140.0,-127.4,-128.0,False,False,True,False,True,True,True,True,False,True,True,True,,False,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,False,,True,False,,True,False,True,True,,True,True,True,True,False,True,False,True,True
New Hampshire,508,500.0,483.5,495.8,502.0,502.0,519.0,511.0,548.0,600.6,527.0,532.4,542.7,545.1,,563.9,508.0,530.0,557.0,515.0,507.6,515.0,557.7,500.6,499.0,525.0,500.7,535.4,,491.3,502.7,517.0,,,515.0,,521.0,512.4,525.0,495.1,,545.7,529.2,517.0,521.7,628.7,528.0,562.0,483.5,499.0,-8.0,-24.5,-12.2,-6.0,-6.0,11.0,3.0,40.0,92.6,19.0,24.4,34.7,37.1,,55.9,0.0,22.0,49.0,7.0,-0.4,7.0,49.7,-7.4,-9.0,17.0,-7.3,27.4,,-16.7,-5.3,9.0,,,7.0,,13.0,4.4,17.0,-12.9,,37.7,21.2,9.0,13.7,120.7,20.0,54.0,-24.5,-9.0,False,False,True,True,False,True,False,False,False,False,False,False,,False,True,False,False,True,True,True,False,True,False,False,True,False,,False,True,False,,,True,,False,True,False,False,,False,False,False,False,False,False,False,False,False
New Jersey,16746,16570.4,16830.9,16579.3,16616.0,16656.8,16622.0,16933.0,16554.0,16613.8,16903.0,16502.2,,16645.7,,16318.5,16498.0,16531.3,16854.6,16715.0,16626.4,16587.0,16643.9,16442.3,16661.5,16537.0,16739.1,16556.1,,16624.1,16579.9,16309.0,,16416.5,16322.3,,16593.0,19045.6,16540.0,16482.5,,16426.2,16771.4,16696.0,17173.4,18848.5,16699.0,16843.5,16393.6,16997.0,-175.6,84.9,-166.7,-130.0,-89.2,-124.0,187.0,-192.0,-132.2,157.0,-243.8,,-100.3,,-427.5,-248.0,-214.7,108.6,-31.0,-119.6,-159.0,-102.1,-303.7,-84.5,-209.0,-6.9,-189.9,,-121.9,-166.1,-437.0,,-329.5,-423.7,,-153.0,2299.6,-206.0,-263.5,,-319.8,25.4,-50.0,427.4,2102.5,-47.0,97.5,-352.4,251.0,True,True,True,True,True,False,False,True,True,False,,True,,False,False,False,True,True,True,True,True,False,True,False,True,False,,True,True,False,,False,False,,True,False,False,False,,False,True,True,False,False,True,True,False,False
New Mexico,1350,1094.3,1208.6,1114.3,1089.0,1108.9,1140.0,1287.0,1286.0,1225.6,1062.0,1108.0,,1198.8,,1180.1,1056.0,1193.0,1273.1,1176.0,1084.0,1083.0,1331.4,1090.1,1159.4,1114.0,1133.4,1172.5,,1094.2,1164.1,999.0,,,1020.4,,1184.0,1291.8,1173.0,1061.2,,1028.2,1161.2,1231.0,1097.7,1494.2,1293.0,1089.0,1029.5,1131.0,-255.7,-141.4,-235.7,-261.0,-241.1,-210.0,-63.0,-64.0,-124.4,-288.0,-242.0,,-151.2,,-169.9,-294.0,-157.0,-76.9,-174.0,-266.0,-267.0,-18.6,-259.9,-190.6,-236.0,-216.6,-177.5,,-255.8,-185.9,-351.0,,,-329.6,,-166.0,-58.2,-177.0,-288.8,,-321.8,-188.8,-119.0,-252.3,144.2,-57.0,-261.0,-320.5,-219.0,True,True,False,True,True,True,True,True,False,True,,True,,True,False,True,True,True,False,False,True,False,True,True,True,True,,False,True,False,,,False,,True,True,True,False,,False,True,True,True,True,True,False,False,True
