,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR
Michigan,8875,7603.6,,7252.0,,7140.9,-1271.4,,-1623.0,,-1734.1,,False,,False
Minnesota,3257,2500.3,,2259.0,,1858.9,-756.7,,-998.0,,-1398.1,,False,,False
Mississippi,3657,4689.1,,4134.0,,3395.2,1032.1,,477.0,,-261.8,,True,,True
Missouri,3574,2062.0,,1853.0,,2883.1,-1512.0,,-1721.0,,-690.9,,False,,True
Montana,600,179.0,,232.0,,101.7,-421.0,,-368.0,,-498.3,,True,,False
Nebraska,905,582.7,,557.0,,497.9,-322.3,,-348.0,,-407.1,,False,,False
Nevada,2011,2665.6,,2223.0,,1695.6,654.6,,212.0,,-315.4,,True,,True
New Hampshire,508,478.4,,429.0,,514.7,-29.6,,-79.0,,6.7,,False,,True
New Jersey,16746,16438.6,,16232.0,,16508.7,-307.4,,-514.0,,-237.3,,False,,True
New Mexico,1350,1115.9,,1002.0,,939.8,-234.1,,-348.0,,-410.2,,False,,False
New York,34296,33754.6,,33232.0,,33189.5,-565.4,,-1088.0,,-1130.5,,False,,False
North Carolina,5005,4494.9,,4371.0,,3066.2,-510.1,,-634.0,,-1938.8,,False,,False
North Dakota,840,305.1,,249.0,,258.7,-534.9,,-591.0,,-581.3,,False,,False
Ohio,5984,6001.6,,5291.0,,4979.4,17.6,,-693.0,,-1004.6,,False,,False
Oklahoma,1624,1464.7,,1194.0,,994.3,-159.3,,-430.0,,-629.7,,False,,False
Oregon,819,831.4,,672.0,,569.6,12.4,,-147.0,,-249.4,,False,,False
Pennsylvania,9775,9420.7,,7895.0,,8867.2,-354.3,,-1880.0,,-907.8,,False,,False
Rhode Island,1294,1118.0,,1084.0,,1117.3,-170.0,,-204.0,,-170.7,,False,,False
South Carolina,4274,5567.0,,3582.0,,3626.0,1293.0,,-692.0,,-648.0,,True,,True
South Dakota,777,250.0,,285.0,,307.0,-527.0,,-492.0,,-470.0,,True,,True
Tennessee,4211,3347.6,,2971.0,,2032.3,-863.4,,-1240.0,,-2178.7,,False,,False
Texas,20903,27565.0,,29074.0,19735.0,16630.5,6667.0,,8176.0,-1163.0,-4267.5,,False,True,True
Utah,787,737.1,,652.0,,624.8,-49.9,,-135.0,,-162.2,,False,,False
Vermont,63,58.0,,58.0,,60.5,-5.0,,-5.0,,-2.5,,False,,True
Virginia,3938,3143.1,,2931.0,,2649.3,-794.9,,-1007.0,,-1288.7,,False,,False
Washington,2619,3069.7,,2360.0,,2105.9,450.7,,-259.0,,-513.1,,True,,False
West Virginia,658,451.0,,306.0,,388.3,-207.0,,-352.0,,-269.7,,False,,False
Wisconsin,3143,1607.1,,1431.0,,1254.6,-1475.9,,-1652.0,,-1828.4,,False,,False
Wyoming,176,57.7,,33.0,,43.2,-118.3,,-143.0,,-132.8,,False,,False
US,255946,268631.7,210526.7,232014.0,245561.0,226947.7,12732.7,-45372.3,-23885.0,-10338.0,-28951.3,False,False,True,False
