,actual_deaths,Baseline,Auquan-SEIR,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,RobertWalraven-ESG,STH-3PU,UCLA-SuEIR,UCM_MESALab-FoGSEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,YYG-ParamSearch,error-Baseline,error-Auquan-SEIR,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-RobertWalraven-ESG,error-STH-3PU,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,error-YYG-ParamSearch,beat_baseline-Auquan-SEIR,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-YYG-ParamSearch
Illinois,8832,8739.9,9222.0,,8734.0,8557.0,8464.3,8649.0,9010.4,8755.9,8521.5,10798.0,8406.9,8298.0,,8282.7,,8608.4,,10621.5,8922.0,,8743.5,-92.1,390.0,,-98.0,-275.0,-367.7,-183.0,178.4,-76.1,-310.5,1966.0,-425.1,-534.0,,-549.3,,-223.6,,1789.5,90.0,,-88.5,False,,False,False,False,False,False,True,False,False,False,False,,False,,False,,False,True,,True
Indiana,3577,3642.6,3659.0,,3502.9,3515.0,3846.2,3558.0,3699.7,3735.8,3452.5,4343.5,3678.8,4046.5,,3522.9,,3545.7,,4263.7,3646.0,,3700.5,65.6,82.0,,-74.1,-62.0,269.2,-19.0,122.7,158.8,-124.5,766.5,101.8,469.5,,-54.1,,-31.3,,686.7,69.0,,123.5,False,,False,True,False,True,False,False,False,False,False,False,,True,,True,,False,False,,False
Iowa,1314,1338.1,1331.0,,1239.2,1081.0,1348.4,1262.0,1406.7,1292.1,1241.5,,1189.0,1479.0,,1183.5,,1269.2,,1397.9,1336.0,,1293.6,24.1,17.0,,-74.8,-233.0,34.4,-52.0,92.7,-21.9,-72.5,,-125.0,165.0,,-130.5,,-44.8,,83.9,22.0,,-20.4,True,,False,False,False,False,False,True,False,,False,False,,False,,False,,False,True,,True
Kansas,635,523.1,625.0,,634.6,574.0,550.2,545.0,716.3,545.5,508.1,,609.1,600.0,,492.6,,529.0,,614.7,549.0,,531.5,-111.9,-10.0,,-0.4,-61.0,-84.8,-90.0,81.3,-89.5,-126.9,,-25.9,-35.0,,-142.4,,-106.0,,-20.3,-86.0,,-103.5,True,,True,True,True,True,True,True,False,,True,True,,False,,True,,True,True,,True
Kentucky,1154,1173.1,1098.0,,1104.7,1151.0,1141.8,1041.0,1240.4,1131.3,962.9,1742.0,1330.6,1075.0,,986.2,,1183.7,,1225.2,1183.0,,1094.0,19.1,-56.0,,-49.3,-3.0,-12.2,-113.0,86.4,-22.7,-191.1,588.0,176.6,-79.0,,-167.8,,29.7,,71.2,29.0,,-60.0,False,,False,True,True,False,False,False,False,False,False,False,,False,,False,,False,False,,False
Louisiana,5444,5906.9,5473.0,,4760.7,5502.0,5738.7,5517.0,5279.9,5217.9,5411.1,,5905.6,5711.0,,5372.4,,5822.5,,5670.4,5163.0,,5477.7,462.9,29.0,,-683.3,58.0,294.7,73.0,-164.1,-226.1,-32.9,,461.6,267.0,,-71.6,,378.5,,226.4,-281.0,,33.7,True,,False,True,True,True,True,True,True,,True,True,,True,,True,,True,True,,True
Maine,140,150.4,153.0,,136.7,134.0,134.1,162.0,176.5,138.5,141.3,,197.4,132.0,,152.1,,139.3,,157.5,140.0,,143.0,10.4,13.0,,-3.3,-6.0,-5.9,22.0,36.5,-1.5,1.3,,57.4,-8.0,,12.1,,-0.7,,17.5,0.0,,3.0,False,,True,True,True,False,False,True,True,,False,True,,False,,True,,False,True,,True
Maryland,3925,3943.6,4219.0,,3935.4,3824.0,3986.2,3838.0,3957.6,3907.8,3842.8,,3827.1,3793.0,,4055.6,,3891.1,,4399.3,3855.0,,3948.4,18.6,294.0,,10.4,-101.0,61.2,-87.0,32.6,-17.2,-82.2,,-97.9,-132.0,,130.6,,-33.9,,474.3,-70.0,,23.4,False,,True,False,False,False,False,True,False,,False,False,,False,,False,,False,False,,False
Massachusetts,9391,9324.1,9529.0,,8790.3,9199.0,9486.9,9410.0,9254.6,9464.3,9091.8,,9248.8,9163.0,,9040.5,,9230.2,,9077.4,9325.0,,9329.0,-66.9,138.0,,-600.7,-192.0,95.9,19.0,-136.4,73.3,-299.2,,-142.2,-228.0,,-350.5,,-160.8,,-313.6,-66.0,,-62.0,False,,False,False,False,True,False,False,False,,False,False,,False,,False,,False,True,,True
Michigan,7044,6984.4,7188.0,,6921.4,7035.0,7128.0,7052.0,7471.4,7033.6,6852.8,9771.0,6870.6,6681.0,,6892.4,,6890.9,,8143.9,6960.0,,6958.3,-59.6,144.0,,-122.6,-9.0,84.0,8.0,427.4,-10.4,-191.2,2727.0,-173.4,-363.0,,-151.6,,-153.1,,1099.9,-84.0,,-85.7,False,,False,True,False,True,False,True,False,False,False,False,,False,,False,,False,False,,False
Minnesota,2056,2109.3,2173.0,,2077.5,1889.0,2239.2,1986.0,2145.9,2067.3,1988.9,2649.0,2016.1,1883.0,,2002.2,,2197.9,,2444.9,2183.0,,2077.1,53.3,117.0,,21.5,-167.0,183.2,-70.0,89.9,11.3,-67.1,593.0,-39.9,-173.0,,-53.8,,141.9,,388.9,127.0,,21.1,False,,True,False,False,False,False,True,False,False,True,False,,False,,False,,False,False,,True
Mississippi,2911,2997.7,2837.0,,2201.6,2830.0,2851.6,3006.0,2766.2,2848.6,2825.1,,3090.5,2890.5,,2614.5,,2938.0,,3035.7,2669.0,,2799.2,86.7,-74.0,,-709.4,-81.0,-59.4,95.0,-144.8,-62.4,-85.9,,179.5,-20.5,,-296.5,,27.0,,124.7,-242.0,,-111.8,True,,False,True,True,False,False,True,True,,False,True,,False,,True,,False,False,,False
Missouri,2054,1793.0,1853.0,,1959.4,1970.0,1708.2,1718.0,1981.7,1744.3,1618.7,,1860.4,1811.0,,1643.8,,1749.8,,2073.1,1743.0,,1743.3,-261.0,-201.0,,-94.6,-84.0,-345.8,-336.0,-72.3,-309.7,-435.3,,-193.6,-243.0,,-410.2,,-304.2,,19.1,-311.0,,-310.7,True,,True,True,False,False,True,False,False,,True,True,,False,,False,,True,False,,False
Montana,171,128.9,124.0,,126.1,133.0,126.7,144.0,194.8,145.6,120.5,,233.2,96.0,,102.2,,124.7,,139.1,107.0,,136.3,-42.1,-47.0,,-44.9,-38.0,-44.3,-27.0,23.8,-25.4,-50.5,,62.2,-75.0,,-68.8,,-46.3,,-31.9,-64.0,,-34.7,False,,False,True,False,True,True,True,False,,False,False,,False,,False,,True,False,,True
Nebraska,469,460.6,544.0,,484.9,411.0,471.0,453.0,561.3,485.2,406.3,,461.2,422.0,,409.9,,432.1,,461.7,445.0,,451.7,-8.4,75.0,,15.9,-58.0,2.0,-16.0,92.3,16.2,-62.7,,-7.8,-47.0,,-59.1,,-36.9,,-7.3,-24.0,,-17.3,False,,False,False,True,False,False,False,False,,True,False,,False,,False,,True,False,,False
Nevada,1582,1804.1,1592.0,,1358.9,1589.0,1847.1,1758.0,1696.6,1635.0,1549.6,,1620.5,2135.5,,1261.0,,1744.7,,1570.5,1656.0,,1631.1,222.1,10.0,,-223.1,7.0,265.1,176.0,114.6,53.0,-32.4,,38.5,553.5,,-321.0,,162.7,,-11.5,74.0,,49.1,True,,False,True,False,True,True,True,True,,True,False,,False,,True,,True,True,,True
New Hampshire,439,458.1,463.0,,423.3,435.0,431.0,457.0,477.1,438.8,440.8,,441.9,437.0,,439.6,,460.2,,470.5,441.0,,460.3,19.1,24.0,,-15.7,-4.0,-8.0,18.0,38.1,-0.2,1.8,,2.9,-2.0,,0.6,,21.2,,31.5,2.0,,21.3,False,,True,True,True,True,False,True,True,,True,True,,True,,False,,False,True,,False
New Jersey,16103,16111.1,16853.0,,15895.2,16004.0,16057.7,16211.0,16209.0,16165.8,16075.2,,16183.2,15969.0,,16316.9,,16075.8,,16922.5,16070.0,,16092.5,8.1,750.0,,-207.8,-99.0,-45.3,108.0,106.0,62.8,-27.8,,80.2,-134.0,,213.9,,-27.2,,819.5,-33.0,,-10.5,False,,False,False,False,False,False,False,False,,False,False,,False,,False,,False,False,,False
New Mexico,870,895.6,869.0,,760.5,854.0,850.2,931.0,948.5,829.6,836.8,,836.2,820.0,,814.3,,855.9,,913.4,831.0,,888.4,25.6,-1.0,,-109.5,-16.0,-19.8,61.0,78.5,-40.4,-33.2,,-33.8,-50.0,,-55.7,,-14.1,,43.4,-39.0,,18.4,True,,False,True,True,False,False,False,False,,False,False,,False,,True,,False,False,,True
New York,33286,33091.9,34951.0,,32978.5,32893.0,32658.2,33225.0,33482.2,33164.4,33086.5,,33662.0,33015.0,,33203.8,,33026.1,,34438.2,33104.0,,33090.4,-226.1,1633.0,,-339.5,-425.0,-659.8,-93.0,164.2,-153.6,-231.5,,344.0,-303.0,,-114.2,,-291.9,,1120.2,-214.0,,-227.6,False,,False,False,False,True,True,True,False,,False,False,,True,,False,,False,True,,False
North Carolina,3440,3424.7,3339.0,,3040.0,3378.0,3391.9,3138.0,3704.5,3244.1,3202.4,,3214.9,3866.5,,2848.3,,3250.3,,3403.0,3199.0,,3221.0,-15.3,-101.0,,-400.0,-62.0,-48.1,-302.0,264.5,-195.9,-237.6,,-225.1,426.5,,-591.7,,-189.7,,-37.0,-241.0,,-219.0,False,,False,False,False,False,False,False,False,,False,False,,False,,False,,False,False,,False
North Dakota,227,189.4,188.0,,200.5,141.0,195.4,177.0,222.8,199.4,183.6,,208.7,237.0,,153.1,,172.9,,236.3,214.0,,189.1,-37.6,-39.0,,-26.5,-86.0,-31.6,-50.0,-4.2,-27.6,-43.4,,-18.3,10.0,,-73.9,,-54.1,,9.3,-13.0,,-37.9,False,,True,False,True,False,True,True,False,,True,True,,False,,False,,True,True,,False
Ohio,4740,4716.3,4565.0,,4169.8,4715.0,4449.1,4639.0,5279.1,4604.8,4377.5,7531.0,5703.7,4853.5,,4389.3,,4669.3,,5088.8,4653.0,,4672.6,-23.7,-175.0,,-570.2,-25.0,-290.9,-101.0,539.1,-135.2,-362.5,2791.0,963.7,113.5,,-350.7,,-70.7,,348.8,-87.0,,-67.4,False,,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,False,,False
Oklahoma,1004,1041.7,1006.0,,992.6,1005.0,920.4,902.0,1276.6,965.4,940.2,,1114.6,1100.5,,886.5,,990.8,,1073.2,972.0,,988.0,37.7,2.0,,-11.4,1.0,-83.6,-102.0,272.6,-38.6,-63.8,,110.6,96.5,,-117.5,,-13.2,,69.2,-32.0,,-16.0,True,,True,True,False,False,False,False,False,,False,False,,False,,True,,False,True,,True
Oregon,542,557.9,547.0,,519.8,584.0,630.3,550.0,830.5,556.8,509.6,,629.5,723.0,,449.4,,555.7,,562.0,544.0,,563.9,15.9,5.0,,-22.2,42.0,88.3,8.0,288.5,14.8,-32.4,,87.5,181.0,,-92.6,,13.7,,20.0,2.0,,21.9,True,,False,False,False,True,False,True,False,,False,False,,False,,True,,False,True,,False
Pennsylvania,8083,8062.1,8220.0,,7682.4,7933.0,8792.3,7858.0,8836.7,8024.6,7842.9,,7843.3,8007.0,,7769.7,,7930.6,,8859.8,8035.0,,8030.0,-20.9,137.0,,-400.6,-150.0,709.3,-225.0,753.7,-58.4,-240.1,,-239.7,-76.0,,-313.3,,-152.4,,776.8,-48.0,,-53.0,False,,False,False,False,False,False,False,False,,False,False,,False,,False,,False,False,,False
Rhode Island,1107,1073.7,1134.0,,1054.3,1037.0,1060.8,1133.0,1110.2,1089.6,1048.2,,1043.0,1035.0,,1046.1,,1069.9,,1176.4,1057.0,,1073.0,-25.3,35.0,,-44.7,-62.0,-38.2,34.0,11.2,-9.4,-50.8,,-56.0,-64.0,,-52.9,,-29.1,,77.4,-42.0,,-26.0,False,,False,False,False,False,True,True,False,,False,False,,False,,False,,False,False,,False
South Carolina,3323,3645.4,3331.0,,2349.6,3437.0,3232.9,3094.0,3337.2,3239.0,3236.8,,4112.8,3095.0,,3053.9,,3381.2,,3156.9,3123.0,,3321.5,322.4,8.0,,-973.4,114.0,-90.1,-229.0,14.2,-84.0,-86.2,,789.8,-228.0,,-269.1,,58.2,,-166.1,-200.0,,-1.5,True,,False,True,True,True,True,True,True,,False,True,,True,,True,,True,True,,True
South Dakota,218,199.9,220.0,,210.5,176.0,193.7,210.0,212.1,225.6,214.0,,194.8,171.0,,174.6,,187.3,,250.6,238.0,,199.5,-18.1,2.0,,-7.5,-42.0,-24.3,-8.0,-5.9,7.6,-4.0,,-23.2,-47.0,,-43.4,,-30.7,,32.6,20.0,,-18.5,True,,True,False,False,True,True,True,True,,False,False,,False,,False,,False,False,,False
Tennessee,2374,2543.3,2324.0,,2078.6,2187.0,2277.3,2191.0,2553.3,2134.8,2251.5,,2897.2,2599.5,,2074.8,,2445.9,,2119.8,2081.0,,2207.2,169.3,-50.0,,-295.4,-187.0,-96.7,-183.0,179.3,-239.2,-122.5,,523.2,225.5,,-299.2,,71.9,,-254.2,-293.0,,-166.8,True,,False,False,True,False,False,False,True,,False,False,,False,,True,,False,False,,True
Texas,15720,18027.9,16245.0,,11538.8,17643.0,18962.7,18270.0,16590.7,16918.2,14974.6,,16580.6,15873.0,,15099.7,14579.0,16605.1,,15165.2,17008.0,,16120.0,2309.9,527.0,,-4179.2,1925.0,3244.7,2552.0,872.7,1200.2,-743.4,,862.6,155.0,,-618.3,-1139.0,887.1,,-552.8,1290.0,,402.0,True,,False,True,False,False,True,True,True,,True,True,,True,True,True,,True,True,,True
Utah,448,491.9,642.0,,530.2,449.0,481.6,516.0,630.7,471.0,462.3,,566.1,481.0,,423.5,,499.6,,462.7,457.0,,502.1,43.9,194.0,,82.2,1.0,33.6,68.0,182.7,23.0,14.3,,118.1,33.0,,-24.5,,51.6,,14.7,9.0,,54.1,False,,False,True,True,False,False,True,True,,False,True,,True,,False,,True,True,,False
Vermont,58,58.0,65.0,,62.0,58.0,61.0,58.0,71.9,60.3,59.1,,59.8,58.0,,58.0,,58.3,,67.0,58.0,,63.6,0.0,7.0,,4.0,0.0,3.0,0.0,13.9,2.3,1.1,,1.8,0.0,,0.0,,0.3,,9.0,0.0,,5.6,False,,False,True,False,True,False,False,False,,False,True,,True,,False,,False,True,,False
Virginia,3144,2884.7,3052.0,,2819.9,2598.0,2491.8,2683.0,3229.5,2803.4,2699.2,,2886.2,2853.0,,2743.9,,2672.1,,3164.1,2606.0,,2797.8,-259.3,-92.0,,-324.1,-546.0,-652.2,-461.0,85.5,-340.6,-444.8,,-257.8,-291.0,,-400.1,,-471.9,,20.1,-538.0,,-346.2,True,,False,False,False,False,True,False,False,,True,False,,False,,False,,True,False,,False
Washington,2100,2261.3,2228.0,,2044.6,2285.0,2265.0,2164.0,2538.6,2195.6,2113.8,,2527.2,2518.0,,2091.9,,2239.9,,2373.3,2221.0,,2250.9,161.3,128.0,,-55.4,185.0,165.0,64.0,438.6,95.6,13.8,,427.2,418.0,,-8.1,,139.9,,273.3,121.0,,150.9,True,,True,False,False,True,False,True,True,,False,False,,True,,True,,False,True,,True
West Virginia,337,271.3,236.0,,201.7,234.0,346.0,229.0,354.9,273.3,228.2,,326.3,575.0,,225.2,,232.1,,247.6,264.0,,274.8,-65.7,-101.0,,-135.3,-103.0,9.0,-108.0,17.9,-63.7,-108.8,,-10.7,238.0,,-111.8,,-104.9,,-89.4,-73.0,,-62.2,False,,False,False,True,False,True,True,False,,True,False,,False,,False,,False,False,,True
Wisconsin,1357,1285.0,1449.0,,1416.9,1386.0,1209.3,1241.0,1653.6,1285.1,1228.1,1942.0,1289.2,1302.0,,1175.8,,1255.3,,1449.3,1266.0,,1306.7,-18.0,146.0,,113.9,83.0,-93.7,-62.0,350.6,-17.9,-74.9,639.0,-13.8,-1.0,,-127.2,,-47.7,,146.3,-37.0,,3.7,False,,False,False,False,False,False,True,False,False,True,True,,False,,False,,False,False,,True
Wyoming,50,71.0,55.0,,50.1,49.0,33.9,38.0,73.2,55.2,45.3,,109.0,59.5,,37.0,,55.6,,51.3,37.0,,52.9,21.0,5.0,,0.1,-1.0,-16.1,-12.0,23.2,5.2,-4.7,,59.0,9.5,,-13.0,,5.6,,1.3,-13.0,,2.9,True,,True,True,True,True,False,True,True,,False,True,,True,,True,,True,True,,True
US,204745,209587.7,198355.0,201061.0,186392.3,205257.0,213141.6,204823.0,213575.3,206239.6,194718.0,,207424.4,210104.5,204221.8,190530.6,203923.0,202987.6,199836.0,210242.0,200834.0,199308.0,202005.4,4876.7,-6356.0,-3650.0,-18318.7,546.0,8430.6,112.0,8864.3,1528.6,-9993.0,,2713.4,5393.5,-489.2,-14180.4,-788.0,-1723.4,-4875.0,5531.0,-3877.0,-5403.0,-2705.6,False,True,False,True,False,True,False,True,False,,True,False,True,False,True,True,True,False,True,False,True
