,actual_deaths,Baseline,Auquan-SEIR,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,LANL-GrowthRate,MITCovAlliance-SIR,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,RobertWalraven-ESG,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,YYG-ParamSearch,error-Baseline,error-Auquan-SEIR,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-RobertWalraven-ESG,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-YYG-ParamSearch,beat_baseline-Auquan-SEIR,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-YYG-ParamSearch
Georgia,6914,7648.1,6330.0,,5844.2,6264.0,6124.0,5823.3,4647.9,,7857.9,6624.0,,5669.3,,6833.4,6734.5,7088.0,6752.6,734.1,-584.0,,-1069.8,-650.0,-790.0,-1090.7,-2266.1,,943.9,-290.0,,-1244.7,,-80.6,-179.5,174.0,-161.4,True,,False,True,False,False,False,,False,True,,False,,True,True,True,True
Hawaii,131,92.7,76.0,,192.3,115.0,,96.6,28.9,,110.7,85.0,,57.0,,91.9,132.1,68.0,106.4,-38.3,-55.0,,61.3,-16.0,,-34.4,-102.1,,-20.3,-46.0,,-74.0,,-39.1,1.1,-63.0,-24.6,False,,False,True,,True,False,,True,False,,False,,False,True,False,True
Idaho,460,456.4,422.0,,443.6,421.0,365.0,358.2,489.2,,690.5,569.0,,312.8,,374.4,410.9,408.0,472.6,-3.6,-38.0,,-16.4,-39.0,-95.0,-101.8,29.2,,230.5,109.0,,-147.2,,-85.6,-49.1,-52.0,12.6,False,,False,False,False,False,False,,False,False,,False,,False,False,False,False
Illinois,8832,8599.3,9051.0,,8703.1,8396.0,8424.0,8323.6,9174.5,10575.5,8319.4,8140.0,,8263.7,,8442.0,10701.7,8676.0,8792.6,-232.7,219.0,,-128.9,-436.0,-408.0,-508.4,342.5,1743.5,-512.6,-692.0,,-568.3,,-390.0,1869.7,-156.0,-39.4,True,,True,False,False,False,False,False,False,False,,False,,False,False,True,True
Indiana,3577,3671.9,3560.0,,3561.7,3444.0,3478.0,3409.0,3715.0,4248.5,3313.1,3607.0,,3420.4,,3620.2,4491.7,3768.0,3738.3,94.9,-17.0,,-15.3,-133.0,-99.0,-168.0,138.0,671.5,-263.9,30.0,,-156.6,,43.2,914.7,191.0,161.3,True,,True,False,False,False,False,False,False,True,,False,,True,False,False,False
Iowa,1314,1232.7,1258.0,,1196.5,1020.0,1235.0,1186.0,1068.6,,1380.6,1554.0,,1116.4,,1125.1,1425.4,1222.0,1248.5,-81.3,-56.0,,-117.5,-294.0,-79.0,-128.0,-245.4,,66.6,240.0,,-197.6,,-188.9,111.4,-92.0,-65.5,True,,False,False,True,False,False,,True,False,,False,,False,False,False,True
Kansas,635,558.3,591.0,,600.9,557.0,549.0,489.8,494.8,,618.5,646.0,,443.0,,516.4,616.1,569.0,551.8,-76.7,-44.0,,-34.1,-78.0,-86.0,-145.2,-140.2,,-16.5,11.0,,-192.0,,-118.6,-18.9,-66.0,-83.2,True,,True,False,False,False,False,,True,True,,False,,False,True,True,False
Kentucky,1154,1026.7,1022.0,,,1033.0,950.0,903.0,1217.1,1465.0,911.7,1006.0,,898.9,,1038.8,1248.9,1033.0,1045.0,-127.3,-132.0,,,-121.0,-204.0,-251.0,63.1,311.0,-242.3,-148.0,,-255.1,,-115.2,94.9,-121.0,-109.0,False,,,True,False,False,True,False,False,False,,False,,True,True,True,True
Louisiana,5444,5936.1,5242.0,,,5158.0,5613.0,5101.9,4250.3,,6092.0,7157.0,,5431.0,,5145.4,5798.7,5038.0,5416.1,492.1,-202.0,,,-286.0,169.0,-342.1,-1193.7,,648.0,1713.0,,-13.0,,-298.6,354.7,-406.0,-27.9,True,,,True,True,True,False,,False,False,,True,,True,True,True,True
Maine,140,138.7,148.0,,,130.0,136.0,140.7,147.7,,156.1,132.0,,131.0,,135.1,156.4,134.0,140.1,-1.3,8.0,,,-10.0,-4.0,0.7,7.7,,16.1,-8.0,,-9.0,,-4.9,16.4,-6.0,0.1,False,,,False,False,True,False,,False,False,,False,,False,False,False,True
Maryland,3925,3955.3,4168.0,,,3850.0,3822.0,3808.0,4013.5,,3803.5,3878.0,,3960.3,,3891.4,4592.3,3915.0,4108.9,30.3,243.0,,,-75.0,-103.0,-117.0,88.5,,-121.5,-47.0,,35.3,,-33.6,667.3,-10.0,183.9,False,,,False,False,False,False,,False,False,,False,,False,False,True,False
Massachusetts,9391,9441.3,9461.0,,,9276.0,8903.0,9188.6,8534.0,,9298.8,9298.0,,9227.3,,9287.2,9356.4,9466.0,9474.7,50.3,70.0,,,-115.0,-488.0,-202.4,-857.0,,-92.2,-93.0,,-163.7,,-103.8,-34.6,75.0,83.7,False,,,False,False,False,False,,False,False,,False,,False,True,False,False
Michigan,7044,7019.6,7118.0,,,6685.0,6931.0,6792.0,7788.3,14658.5,6844.2,6625.0,,6934.0,,6881.5,8468.3,6914.0,6989.1,-24.4,74.0,,,-359.0,-113.0,-252.0,744.3,7614.5,-199.8,-419.0,,-110.0,,-162.5,1424.3,-130.0,-54.9,False,,,False,False,False,False,False,False,False,,False,,False,False,False,False
Minnesota,2056,2068.3,2101.0,,,1830.0,1943.0,1905.1,1940.4,2704.0,1967.4,1748.0,,1932.5,,1783.7,2479.3,1920.0,2061.9,12.3,45.0,,,-226.0,-113.0,-150.9,-115.6,648.0,-88.6,-308.0,,-123.5,,-272.3,423.3,-136.0,5.9,False,,,False,False,False,False,False,False,False,,False,,False,False,False,True
Mississippi,2911,3185.1,2851.0,,,2929.0,2973.0,2551.4,2448.9,,3409.5,2210.0,,2554.5,,2914.3,2868.0,2679.0,2881.8,274.1,-60.0,,,18.0,62.0,-359.6,-462.1,,498.5,-701.0,,-356.5,,3.3,-43.0,-232.0,-29.2,True,,,True,True,False,False,,False,False,,False,,True,True,True,True
Missouri,2054,1670.0,1758.0,,,1877.0,1625.0,1623.2,1772.9,,2023.4,1752.0,,1522.7,,1929.2,2421.8,1634.0,1738.5,-384.0,-296.0,,,-177.0,-429.0,-430.8,-281.1,,-30.6,-302.0,,-531.3,,-124.8,367.8,-420.0,-315.5,True,,,True,False,False,True,,True,True,,False,,True,True,False,True
Montana,171,123.0,116.0,,,135.0,144.0,132.0,219.0,,243.0,199.5,,101.3,,99.5,150.1,157.0,151.8,-48.0,-55.0,,,-36.0,-27.0,-39.0,48.0,,72.0,28.5,,-69.7,,-71.5,-20.9,-14.0,-19.2,False,,,True,True,True,False,,False,True,,False,,False,True,True,True
Nebraska,469,454.7,525.0,,,391.0,452.0,405.3,427.1,,470.6,394.0,,400.0,,434.3,482.9,442.0,452.3,-14.3,56.0,,,-78.0,-17.0,-63.7,-41.9,,1.6,-75.0,,-69.0,,-34.7,13.9,-27.0,-16.7,False,,,False,False,False,False,,True,False,,False,,False,True,False,False
Nevada,1582,1745.6,1523.0,,,1464.0,1684.0,1516.1,1198.9,,1768.8,3828.0,,1238.0,,1487.0,1579.4,1583.0,1622.5,163.6,-59.0,,,-118.0,102.0,-65.9,-383.1,,186.8,2246.0,,-344.0,,-95.0,-2.6,1.0,40.5,True,,,True,True,True,False,,False,False,,False,,True,True,True,True
New Hampshire,439,446.4,458.0,,,431.0,424.0,443.7,471.0,,516.7,433.0,,441.8,,465.1,478.2,425.0,461.1,7.4,19.0,,,-8.0,-15.0,4.7,32.0,,77.7,-6.0,,2.8,,26.1,39.2,-14.0,22.1,False,,,False,False,True,False,,False,True,,True,,False,False,False,False
New Jersey,16103,16134.6,16840.0,,,15993.0,16164.0,16220.3,16080.0,,16238.0,15899.0,,16111.9,,16199.4,17402.1,16225.0,16054.3,31.6,737.0,,,-110.0,61.0,117.3,-23.0,,135.0,-204.0,,8.9,,96.4,1299.1,122.0,-48.7,False,,,False,False,False,True,,False,False,,True,,False,False,False,False
New Mexico,870,883.9,838.0,,,842.0,878.0,785.8,892.1,,908.2,968.0,,778.5,,849.5,903.4,801.0,892.1,13.9,-32.0,,,-28.0,8.0,-84.2,22.1,,38.2,98.0,,-91.5,,-20.5,33.4,-69.0,22.1,False,,,False,True,False,False,,False,False,,False,,False,False,False,False
New York,33125,33226.6,34967.0,,,32853.0,33150.0,33115.9,28606.7,,33542.2,32810.0,,33043.1,,33061.3,35236.9,33135.0,33127.5,77.6,1818.0,,,-296.0,1.0,-33.1,-4542.3,,393.2,-339.0,,-105.9,,-87.7,2087.9,-14.0,-21.5,False,,,False,True,True,False,,False,False,,False,,False,False,True,True
North Carolina,3440,3254.9,3132.0,,,3040.0,3204.0,2924.8,2588.5,,3518.9,4593.5,,2764.7,,2869.6,3158.0,2969.0,3240.7,-185.1,-308.0,,,-400.0,-236.0,-515.2,-851.5,,78.9,1153.5,,-675.3,,-570.4,-282.0,-471.0,-199.3,False,,,False,False,False,False,,True,False,,False,,False,False,False,False
North Dakota,227,201.1,172.0,,,133.0,176.0,156.0,198.8,,209.7,274.0,,159.6,,178.8,207.8,181.0,181.5,-25.9,-55.0,,,-94.0,-51.0,-71.0,-28.2,,-17.3,47.0,,-67.4,,-48.2,-19.2,-46.0,-45.5,False,,,False,False,False,False,,True,False,,False,,False,True,False,False
Ohio,4740,4745.6,4402.0,,,4545.0,4440.0,4295.4,4658.9,6306.5,5333.0,5344.0,,4317.4,,4519.0,5186.7,4561.0,4714.2,5.6,-338.0,,,-195.0,-300.0,-444.6,-81.1,1566.5,593.0,604.0,,-422.6,,-221.0,446.7,-179.0,-25.8,False,,,False,False,False,False,False,False,False,,False,,False,False,False,False
Oklahoma,1004,1000.7,927.0,,,971.0,861.0,812.1,819.6,,1183.7,1689.0,,851.9,,859.3,1061.3,888.0,963.6,-3.3,-77.0,,,-33.0,-143.0,-191.9,-184.4,,179.7,685.0,,-152.1,,-144.7,57.3,-116.0,-40.4,False,,,False,False,False,False,,False,False,,False,,False,False,False,False
Oregon,542,575.4,515.0,,,540.0,549.0,503.3,935.4,,681.3,828.0,,529.2,,500.2,588.4,555.0,587.3,33.4,-27.0,,,-2.0,7.0,-38.7,393.4,,139.3,286.0,,-12.8,,-41.8,46.4,13.0,45.3,True,,,True,True,False,False,,False,False,,True,,False,False,True,False
Pennsylvania,8083,8284.7,8118.0,,,7955.0,7656.0,7764.7,8087.8,,7787.3,7554.0,,7839.1,,8222.1,9386.7,8073.0,8151.7,201.7,35.0,,,-128.0,-427.0,-318.3,4.8,,-295.7,-529.0,,-243.9,,139.1,1303.7,-10.0,68.7,True,,,True,False,False,True,,False,False,,False,,True,False,True,True
Rhode Island,1107,1062.0,1126.0,,,1032.0,1064.0,1040.2,1035.1,,1030.0,1033.0,,1021.9,,1069.4,1198.2,1042.0,1073.0,-39.0,25.0,,,-69.0,-37.0,-60.8,-65.9,,-71.0,-68.0,,-79.1,,-31.6,97.2,-59.0,-28.0,True,,,False,True,False,False,,False,False,,False,,True,False,False,True
South Carolina,3323,3663.0,3172.0,,,3358.0,2979.0,2836.3,2544.9,,4553.7,2683.0,,2841.3,,3179.9,3020.0,3045.0,3402.1,340.0,-151.0,,,35.0,-344.0,-486.7,-778.1,,1230.7,-640.0,,-481.7,,-143.1,-303.0,-278.0,79.1,True,,,True,False,False,False,,False,False,,False,,True,True,True,True
South Dakota,218,194.0,208.0,,,173.0,208.0,199.8,204.3,,240.5,205.0,,175.4,,183.3,226.6,194.0,198.9,-24.0,-10.0,,,-45.0,-10.0,-18.2,-13.7,,22.5,-13.0,,-42.6,,-34.7,8.6,-24.0,-19.1,True,,,False,True,True,True,,True,True,,False,,False,True,False,True
Tennessee,2374,2203.6,2101.0,,,2066.0,2080.0,1945.3,1956.2,,2578.9,2650.5,,2400.4,,1813.8,2020.3,1800.0,2054.7,-170.4,-273.0,,,-308.0,-294.0,-428.7,-417.8,,204.9,276.5,,26.4,,-560.2,-353.7,-574.0,-319.3,False,,,False,False,False,False,,False,False,,True,,False,False,False,False
Texas,15707,17653.0,15966.0,,,15825.0,18330.0,16626.6,10324.9,,19553.1,13119.0,,14312.2,14579.0,14581.7,15440.0,16006.0,16121.3,1946.0,259.0,,,118.0,2623.0,919.6,-5382.1,,3846.1,-2588.0,,-1394.8,-1128.0,-1125.3,-267.0,299.0,414.3,True,,,True,False,True,False,,False,False,,True,True,True,True,True,True
Utah,448,521.1,617.0,,,452.0,489.0,453.4,433.9,,622.2,445.0,,427.8,,507.3,456.5,463.0,524.5,73.1,169.0,,,4.0,41.0,5.4,-14.1,,174.2,-3.0,,-20.2,,59.3,8.5,15.0,76.5,False,,,True,True,True,True,,False,True,,True,,True,True,True,False
Vermont,58,58.0,65.0,,,58.0,58.0,61.8,59.7,,60.9,59.0,,58.0,,58.5,71.6,58.0,64.7,0.0,7.0,,,0.0,0.0,3.8,1.7,,2.9,1.0,,0.0,,0.5,13.6,0.0,6.7,False,,,True,True,False,False,,False,False,,True,,False,False,True,False
Virginia,3144,2703.1,2956.0,,,2548.0,2725.0,2689.1,2654.5,,2901.1,2694.0,,2648.1,,2559.0,3243.9,2554.0,2979.3,-440.9,-188.0,,,-596.0,-419.0,-454.9,-489.5,,-242.9,-450.0,,-495.9,,-585.0,99.9,-590.0,-164.7,True,,,False,True,False,False,,True,False,,False,,False,True,False,True
Washington,2100,2325.7,2143.0,,,2253.0,2120.0,2074.7,2495.3,,2219.7,3607.0,,2544.2,,1997.8,2433.7,2142.0,2357.7,225.7,43.0,,,153.0,20.0,-25.3,395.3,,119.7,1507.0,,444.2,,-102.2,333.7,42.0,257.7,True,,,True,True,True,False,,True,False,,False,,True,False,True,False
West Virginia,337,283.0,219.0,,,211.0,223.0,234.0,172.0,,344.7,1011.5,,184.4,,293.5,265.8,344.0,299.4,-54.0,-118.0,,,-126.0,-114.0,-103.0,-165.0,,7.7,674.5,,-152.6,,-43.5,-71.2,7.0,-37.6,False,,,False,False,False,False,,True,False,,False,,True,False,True,True
Wisconsin,1281,1279.1,1398.0,,,1336.0,1200.0,1196.5,1269.4,1929.0,1430.6,1790.5,,1206.5,,1182.0,1546.1,1245.0,1340.1,-1.9,117.0,,,55.0,-81.0,-84.5,-11.6,648.0,149.6,509.5,,-74.5,,-99.0,265.1,-36.0,59.1,False,,,False,False,False,False,False,False,False,,False,,False,False,False,False
Wyoming,50,41.7,47.0,,,43.0,31.0,37.2,45.3,,102.5,53.0,,30.0,,37.4,50.4,30.0,39.5,-8.3,-3.0,,,-7.0,-19.0,-12.8,-4.7,,52.5,3.0,,-20.0,,-12.6,0.4,-20.0,-10.5,True,,,True,False,False,True,,False,True,,False,,False,True,False,False
US,204492,211719.7,191822.0,204192.0,186859.2,199713.0,200857.0,191976.9,182828.4,,214179.0,200314.5,205438.6,187999.2,204686.0,203772.8,215586.5,198707.0,205218.2,7209.7,-12688.0,-318.0,-17650.8,-4797.0,-3653.0,-12533.1,-21681.6,,9669.0,-4195.5,928.6,-16510.8,176.0,-737.2,11076.5,-5803.0,708.2,False,True,False,True,True,False,False,,False,True,True,False,True,True,False,True,True
