,actual_deaths,Baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,GT_CHHS-COVID19,Google_Harvard-CPF,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,SteveMcConnell-CovidComplete,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-Google_Harvard-CPF,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-SteveMcConnell-CovidComplete,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-Google_Harvard-CPF,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Georgia,6914,7424.6,7431.1,7024.0,7511.4,6907.0,6756.0,,6896.1,6817.0,7945.3,6573.1,8028.3,6743.0,7181.1,6694.0,6934.3,6164.1,6672.8,7043.7,6617.1,7053.6,7776.2,,6443.6,7421.5,7190.0,,8401.8,6723.0,,7189.0,6936.0,7147.4,,6650.0,6917.5,6906.3,7141.0,,6944.4,7150.0,510.6,517.1,110.0,597.4,-7.0,-158.0,,-17.9,-97.0,1031.3,-340.9,1114.3,-171.0,267.1,-220.0,20.3,-749.9,-241.2,129.7,-296.9,139.6,862.2,,-470.4,507.5,276.0,,1487.8,-191.0,,275.0,22.0,233.4,,-264.0,3.5,-7.7,227.0,,30.4,236.0,False,True,False,True,True,,True,True,False,True,False,True,True,True,True,False,True,True,True,True,False,,True,True,True,,False,True,,True,True,True,,True,True,True,True,,True,True
Hawaii,131,124.7,125.6,117.0,122.0,118.0,190.0,,137.4,115.0,106.0,,,309.5,61.0,,126.9,104.6,195.4,141.6,99.1,112.7,156.3,,119.5,132.2,154.0,,,95.3,,99.0,151.0,108.8,,134.0,87.4,110.9,137.0,,117.2,122.0,-6.3,-5.4,-14.0,-9.0,-13.0,59.0,,6.4,-16.0,-25.0,,,178.5,-70.0,,-4.1,-26.4,64.4,10.6,-31.9,-18.3,25.3,,-11.5,1.2,23.0,,,-35.7,,-32.0,20.0,-22.2,,3.0,-43.6,-20.1,6.0,,-13.8,-9.0,True,False,False,False,False,,False,False,False,,,False,False,,True,False,False,False,False,False,False,,False,True,False,,,False,,False,False,False,,True,False,False,True,,False,False
Idaho,460,559.6,569.4,533.0,566.0,498.0,432.0,,510.2,458.0,508.9,498.8,,553.2,511.9,521.0,488.0,428.4,627.3,490.2,463.9,483.3,479.2,,471.8,659.8,507.0,,,399.1,,513.0,502.0,508.7,,454.0,469.0,449.6,490.0,,494.7,466.0,99.6,109.4,73.0,106.0,38.0,-28.0,,50.2,-2.0,48.9,38.8,,93.2,51.9,61.0,28.0,-31.6,167.3,30.2,3.9,23.3,19.2,,11.8,199.8,47.0,,,-60.9,,53.0,42.0,48.7,,-6.0,9.0,-10.4,30.0,,34.7,6.0,False,True,False,True,True,,True,True,True,True,,True,True,True,True,True,False,True,True,True,True,,True,False,True,,,True,,True,True,True,,True,True,True,True,,True,True
Illinois,8832,8764.1,8777.3,8816.0,8756.9,8756.0,9004.0,,8911.7,8711.0,8720.5,8687.0,,8978.0,8874.6,8666.0,8839.9,9301.6,8823.1,8756.1,8600.1,8819.0,8451.5,10764.5,8709.6,8774.0,8690.0,,8748.1,8467.7,,8781.0,8999.0,8639.8,,8727.0,9155.4,10050.4,8795.0,,8731.9,8316.0,-67.9,-54.7,-16.0,-75.1,-76.0,172.0,,79.7,-121.0,-111.5,-145.0,,146.0,42.6,-166.0,7.9,469.6,-8.9,-75.9,-231.9,-13.0,-380.5,1932.5,-122.4,-58.0,-142.0,,-83.9,-364.3,,-51.0,167.0,-192.2,,-105.0,323.4,1218.4,-37.0,,-100.1,-516.0,True,True,False,False,False,,False,False,False,False,,False,True,False,True,False,True,False,False,True,False,False,False,True,False,,False,False,,True,False,False,,False,False,False,True,,False,False
Indiana,3577,3564.9,3549.5,3594.0,3555.3,3687.0,3979.0,,3637.1,3707.0,3595.5,3715.6,,3843.2,3762.3,3585.0,3671.3,3855.4,3910.5,3683.0,3513.7,3593.9,3643.5,5001.0,3653.5,3569.9,3695.0,,3593.1,3492.1,,3594.0,3689.0,3522.8,,3637.0,3777.1,4224.4,3594.0,,3531.2,3355.0,-12.1,-27.5,17.0,-21.7,110.0,402.0,,60.1,130.0,18.5,138.6,,266.2,185.3,8.0,94.3,278.4,333.5,106.0,-63.3,16.9,66.5,1424.0,76.5,-7.1,118.0,,16.1,-84.9,,17.0,112.0,-54.2,,60.0,200.1,647.4,17.0,,-45.8,-222.0,False,False,False,False,False,,False,False,False,False,,False,False,True,False,False,False,False,False,False,False,False,False,True,False,,False,False,,False,False,False,,False,False,False,False,,False,False
Iowa,1314,1406.1,1372.8,1371.0,1367.9,1402.0,1891.0,,1579.5,1426.0,1430.3,1346.4,,1390.5,1468.9,1400.0,1438.4,1500.7,1414.4,1548.1,1367.4,1448.1,1386.5,,1303.3,1482.3,1491.0,,1435.7,1223.1,,1386.0,1765.0,1320.5,,1652.0,1317.0,1579.9,1546.0,,1427.4,1346.0,92.1,58.8,57.0,53.9,88.0,577.0,,265.5,112.0,116.3,32.4,,76.5,154.9,86.0,124.4,186.7,100.4,234.1,53.4,134.1,72.5,,-10.7,168.3,177.0,,121.7,-90.9,,72.0,451.0,6.5,,338.0,3.0,265.9,232.0,,113.4,32.0,True,True,True,True,False,,False,False,False,True,,True,False,True,False,False,False,False,True,False,True,,True,False,False,,False,True,,True,False,True,,False,True,False,False,,False,True
Kansas,635,537.7,542.9,545.0,541.0,555.0,815.0,,593.1,570.0,522.4,555.3,,606.4,531.1,541.0,562.4,616.1,644.5,556.4,499.7,557.2,573.5,,525.2,574.1,582.0,,,475.9,,536.0,561.0,540.1,,529.0,513.4,597.7,570.0,,534.1,462.0,-97.3,-92.1,-90.0,-94.0,-80.0,180.0,,-41.9,-65.0,-112.6,-79.7,,-28.6,-103.9,-94.0,-72.6,-18.9,9.5,-78.6,-135.3,-77.8,-61.5,,-109.8,-60.9,-53.0,,,-159.1,,-99.0,-74.0,-94.9,,-106.0,-121.6,-37.3,-65.0,,-100.9,-173.0,True,True,True,True,False,,True,True,False,True,,True,False,True,True,True,True,True,False,True,True,,False,True,True,,,False,,False,True,True,,False,False,True,True,,False,False
Kentucky,1154,1148.9,1134.2,1132.0,1117.0,1141.0,1250.0,,1199.9,1155.0,1111.5,,,1180.6,1362.2,1074.0,1151.7,1190.7,1196.9,1147.8,1081.2,1139.7,1104.8,1494.5,1159.4,1141.4,1266.0,,,1005.3,,1141.0,1262.0,1135.2,,1106.0,1072.4,1273.6,1132.0,,1111.3,1064.0,-5.1,-19.8,-22.0,-37.0,-13.0,96.0,,45.9,1.0,-42.5,,,26.6,208.2,-80.0,-2.3,36.7,42.9,-6.2,-72.8,-14.3,-49.2,340.5,5.4,-12.6,112.0,,,-148.7,,-13.0,108.0,-18.8,,-48.0,-81.6,119.6,-22.0,,-42.7,-90.0,False,False,False,False,False,,False,True,False,,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,,,False,,False,False,False,,False,False,False,False,,False,False
Louisiana,5444,5644.6,5782.2,5419.0,5771.7,5565.0,5163.0,,5351.4,5437.0,5629.7,5649.6,,5338.6,5625.7,5650.0,5450.8,5119.4,5213.9,5293.5,5638.3,5442.0,5197.4,,5291.6,5547.8,6326.5,,6064.2,5154.5,,5757.0,6158.0,5728.0,,5368.0,5522.9,5601.0,5341.0,,5500.0,5598.0,200.6,338.2,-25.0,327.7,121.0,-281.0,,-92.6,-7.0,185.7,205.6,,-105.4,181.7,206.0,6.8,-324.6,-230.1,-150.5,194.3,-2.0,-246.6,,-152.4,103.8,882.5,,620.2,-289.5,,313.0,714.0,284.0,,-76.0,78.9,157.0,-103.0,,56.0,154.0,False,True,False,True,False,,True,True,True,False,,True,True,False,True,False,False,True,True,True,False,,True,True,False,,False,False,,False,False,False,,True,True,True,True,,True,True
Maine,140,135.9,138.8,142.0,140.6,144.0,146.0,,148.4,138.0,144.2,145.0,,148.2,139.1,163.0,147.7,144.9,167.0,139.2,143.8,132.1,139.8,,135.8,142.3,139.0,,,135.8,,145.0,147.0,137.9,,144.0,150.6,152.3,145.0,,139.9,,-4.1,-1.2,2.0,0.6,4.0,6.0,,8.4,-2.0,4.2,5.0,,8.2,-0.9,23.0,7.7,4.9,27.0,-0.8,3.8,-7.9,-0.2,,-4.2,2.3,-1.0,,,-4.2,,5.0,7.0,-2.1,,4.0,10.6,12.3,5.0,,-0.1,,True,True,True,True,False,,False,True,False,False,,False,True,False,False,False,False,True,True,False,True,,False,True,True,,,False,,False,False,True,,True,False,False,False,,True,
Maryland,3925,3987.3,4002.7,3975.0,3992.4,3937.0,4034.0,,3921.3,3829.0,3960.6,3991.2,,4069.9,3861.3,3857.0,3932.9,3977.6,3945.9,3906.1,3879.8,3945.6,3832.7,,3958.3,3937.9,3952.0,,3993.8,3932.5,,3955.0,4046.0,3925.8,,3935.0,,4319.7,3918.0,,3954.2,3887.0,62.3,77.7,50.0,67.4,12.0,109.0,,-3.7,-96.0,35.6,66.2,,144.9,-63.7,-68.0,7.9,52.6,20.9,-18.9,-45.2,20.6,-92.3,,33.3,12.9,27.0,,68.8,7.5,,30.0,121.0,0.8,,10.0,,394.7,-7.0,,29.2,-38.0,False,True,False,True,False,,True,False,True,False,,False,False,False,True,True,True,True,True,True,False,,True,True,True,,False,True,,True,False,True,,True,,False,True,,True,True
Massachusetts,9391,9542.7,9481.1,9339.0,9518.4,9416.0,9283.0,,9469.8,9233.0,9432.1,9429.0,,9255.4,9486.0,9512.0,9470.4,9232.5,9339.6,9436.3,9317.8,9371.3,9408.8,,9269.0,9464.6,9315.0,,9542.0,9395.1,,9472.0,9638.0,9339.9,,9428.0,,9131.1,9463.0,,9376.8,9042.0,151.7,90.1,-52.0,127.4,25.0,-108.0,,78.8,-158.0,41.1,38.0,,-135.6,95.0,121.0,79.4,-158.5,-51.4,45.3,-73.2,-19.7,17.8,,-122.0,73.6,-76.0,,151.0,4.1,,81.0,247.0,-51.1,,37.0,,-259.9,72.0,,-14.2,-349.0,True,True,True,True,True,,True,False,True,True,,True,True,True,True,False,True,True,True,True,True,,True,True,True,,True,True,,True,False,True,,True,,False,True,,True,False
Michigan,7044,7091.3,6945.2,6953.0,6960.4,7029.0,7087.0,,7096.5,7043.0,7024.5,7017.4,,7279.6,7103.6,7069.0,7022.5,7347.7,7304.8,7007.4,6993.0,7002.0,6888.3,9230.5,6864.5,6942.4,7271.0,,6932.1,7192.6,,6969.0,7337.0,6888.3,,7119.0,,7991.8,6973.0,,6989.5,6855.0,47.3,-98.8,-91.0,-83.6,-15.0,43.0,,52.5,-1.0,-19.5,-26.6,,235.6,59.6,25.0,-21.5,303.7,260.8,-36.6,-51.0,-42.0,-155.7,2186.5,-179.5,-101.6,227.0,,-111.9,148.6,,-75.0,293.0,-155.7,,75.0,,947.8,-71.0,,-54.5,-189.0,False,False,False,True,True,,False,True,True,True,,False,False,True,True,False,False,True,False,True,False,False,False,False,False,,False,False,,False,False,False,,False,,False,False,,False,False
Minnesota,2056,2065.6,2066.0,2105.0,2087.0,2118.0,2277.0,,2138.1,1916.0,2181.4,2080.3,,2157.7,2203.4,2051.0,2097.3,2201.6,2105.7,2086.4,2084.5,2099.3,2064.5,2565.5,2252.8,2136.4,2337.0,,2217.9,1995.5,,2099.0,2145.0,2082.7,,2042.0,2173.8,2418.1,2157.0,,2070.6,2053.0,9.6,10.0,49.0,31.0,62.0,221.0,,82.1,-140.0,125.4,24.3,,101.7,147.4,-5.0,41.3,145.6,49.7,30.4,28.5,43.3,8.5,509.5,196.8,80.4,281.0,,161.9,-60.5,,43.0,89.0,26.7,,-14.0,117.8,362.1,101.0,,14.6,-3.0,False,False,False,False,False,,False,False,False,False,,False,False,True,False,False,False,False,False,False,True,False,False,False,False,,False,False,,False,False,False,,False,False,False,False,,False,True
Mississippi,2911,3216.3,3158.3,2989.0,3187.2,2998.0,2746.0,,3025.2,2882.0,3073.4,2971.3,,2991.1,2906.5,3128.0,3053.0,2657.8,2847.1,2914.3,2832.8,2988.3,3212.6,,3324.0,3184.3,2798.0,,3274.8,2719.9,,3091.0,3189.0,3043.1,,2898.0,2989.6,3014.3,2965.0,,2904.1,2887.0,305.3,247.3,78.0,276.2,87.0,-165.0,,114.2,-29.0,162.4,60.3,,80.1,-4.5,217.0,142.0,-253.2,-63.9,3.3,-78.2,77.3,301.6,,413.0,273.3,-113.0,,363.8,-191.1,,180.0,278.0,132.1,,-13.0,78.6,103.3,54.0,,-6.9,-24.0,True,True,True,True,True,,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,,False,True,True,,False,True,,True,True,True,,True,True,True,True,,True,True
