,actual_deaths,Baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,MITCovAlliance-SIR,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,YYG-ParamSearch,error-Baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-MITCovAlliance-SIR,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-YYG-ParamSearch,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-MITCovAlliance-SIR,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-YYG-ParamSearch
Montana,171,178.9,,191.7,89.6,158.0,220.8,,121.0,164.2,203.0,181.7,7.9,,20.7,-81.4,-13.0,49.8,,-50.0,-6.8,32.0,10.7,,False,False,False,False,,False,True,False,False
Nebraska,469,457.7,,577.7,633.8,398.0,427.8,,421.9,547.8,434.0,477.9,-11.3,,108.7,164.8,-71.0,-41.2,,-47.1,78.8,-35.0,8.9,,False,False,False,False,,False,False,False,True
Nevada,1582,1602.0,,1665.4,1746.4,1548.0,1196.5,,1328.4,1688.1,1427.0,1490.0,20.0,,83.4,164.4,-34.0,-385.5,,-253.6,106.1,-155.0,-92.0,,False,False,False,False,,False,False,False,False
New Hampshire,439,479.9,,439.1,457.9,431.0,470.7,,469.9,575.9,489.0,522.5,40.9,,0.1,18.9,-8.0,31.7,,30.9,136.9,50.0,83.5,,True,True,True,True,,True,False,False,False
New Jersey,16103,16221.0,,15984.1,16678.5,16191.0,16073.1,,16174.9,18532.1,17703.0,16543.1,118.0,,-118.9,575.5,88.0,-29.9,,71.9,2429.1,1600.0,440.1,,False,False,True,True,,True,False,False,False
New Mexico,870,968.3,,875.3,822.8,1007.0,896.4,,915.0,961.0,994.0,984.8,98.3,,5.3,-47.2,137.0,26.4,,45.0,91.0,124.0,114.8,,True,True,False,True,,True,True,False,False
New York,33286,33338.6,,33016.5,33941.0,33131.0,28593.8,,32969.4,35578.1,33263.0,33216.5,39.6,,-282.5,642.0,-168.0,-4705.2,,-329.6,2279.1,-36.0,-82.5,,False,False,False,False,,False,False,True,False
North Carolina,3440,3287.3,,3316.8,3056.7,2898.0,2606.7,,2911.6,3143.9,3124.0,3131.1,-152.7,,-123.2,-383.3,-542.0,-833.3,,-528.4,-296.1,-316.0,-308.9,,True,False,False,False,,False,False,False,False
North Dakota,227,152.1,,226.9,156.3,125.0,199.5,,144.6,183.6,170.0,163.9,-74.9,,-0.1,-70.7,-102.0,-27.5,,-82.4,-43.4,-57.0,-63.1,,True,True,False,True,,False,True,True,True
Ohio,4348,5273.3,,4449.7,4833.6,4222.0,4666.1,,4856.3,5865.2,4919.0,4817.5,603.3,,-220.3,163.6,-448.0,-3.9,,186.3,1195.2,249.0,147.5,,True,True,True,True,,True,False,True,True
Oklahoma,1004,974.3,,1262.2,988.7,997.0,825.1,,814.9,1098.6,1215.0,968.4,-29.7,,258.2,-15.3,-7.0,-178.9,,-189.1,94.6,211.0,-35.6,,False,True,True,False,,False,False,False,False
Oregon,542,616.7,,574.7,505.0,471.0,937.8,,541.2,624.9,647.0,702.8,74.7,,32.7,-37.0,-71.0,395.8,,-0.8,82.9,105.0,160.8,,True,True,True,False,,True,False,False,False
Pennsylvania,8083,7977.3,,7950.6,7963.9,7629.0,8080.4,,7831.8,9765.3,8003.0,7993.5,-105.7,,-132.4,-119.1,-454.0,-2.6,,-251.2,1682.3,-80.0,-89.5,,False,False,False,True,,False,False,True,True
Rhode Island,1121,1046.3,,1086.5,1040.0,1108.0,1034.7,,1054.8,1224.2,1051.0,1083.0,-52.7,,-12.5,-59.0,9.0,-64.3,,-44.2,125.2,-48.0,-16.0,,True,False,True,False,,True,False,True,True
South Carolina,3323,4024.1,,2738.7,3088.2,2828.0,2532.1,,2766.1,3018.6,3282.0,3652.1,701.1,,-584.3,-234.8,-495.0,-790.9,,-556.9,-304.4,-41.0,329.1,,True,True,True,False,,True,True,True,True
South Dakota,218,229.3,,190.0,176.9,201.0,204.5,,255.6,224.4,176.0,197.9,11.3,,-28.0,-41.1,-17.0,-13.5,,37.6,6.4,-42.0,-20.1,,False,False,False,False,,False,True,False,False
Tennessee,2374,1905.9,,2768.7,1875.0,1866.0,1961.7,,1609.6,2054.5,1978.0,1937.0,-468.1,,394.7,-499.0,-508.0,-412.3,,-764.4,-319.5,-396.0,-437.0,,True,False,False,True,,False,True,True,True
Texas,15987,21036.6,,12863.8,16388.4,19300.0,9199.4,12991.0,18008.6,11463.7,13396.0,15153.1,6103.6,,-2069.2,1455.4,4367.0,-5733.6,-1942.0,3075.6,-3469.3,-1537.0,220.1,,True,True,True,True,True,True,True,True,True
Utah,448,601.7,,642.9,448.6,501.0,434.1,,536.8,446.8,480.0,631.3,153.7,,194.9,0.6,53.0,-13.9,,88.8,-1.2,32.0,183.3,,False,True,True,True,,True,True,True,False
Vermont,58,64.9,,59.8,56.5,58.0,59.7,,65.5,66.0,57.0,66.5,6.9,,1.8,-1.5,0.0,1.7,,7.5,8.0,-1.0,8.5,,True,True,True,True,,False,False,True,False
Virginia,3144,3318.0,,3145.8,2236.9,2441.0,2658.7,,3291.6,3316.0,2439.0,3388.3,174.0,,1.8,-907.1,-703.0,-485.3,,147.6,172.0,-705.0,244.3,,True,False,False,False,,True,True,False,False
Washington,2074,2342.4,,2271.2,1887.4,1987.0,2495.1,,2244.2,2826.8,2157.0,2345.6,300.4,,229.2,-154.6,-55.0,453.1,,202.2,784.8,115.0,303.6,,True,True,True,False,,True,False,True,False
West Virginia,337,227.0,,218.8,121.2,148.0,172.8,,211.2,267.6,233.0,205.7,-110.0,,-118.2,-215.8,-189.0,-164.2,,-125.8,-69.4,-104.0,-131.3,,False,False,False,False,,False,True,True,False
Wisconsin,1357,1388.0,,1653.5,1554.5,1191.0,1269.4,,1259.5,1764.8,1386.0,1468.6,71.0,,336.5,237.5,-126.0,-47.6,,-57.5,447.8,69.0,151.6,,False,False,False,True,,True,False,True,False
Wyoming,50,33.9,,61.4,33.4,34.0,45.3,,32.5,46.1,28.0,35.1,-16.1,,11.4,-16.6,-16.0,-4.7,,-17.5,-3.9,-22.0,-14.9,,True,False,True,True,,False,True,False,True
US,204654,217127.9,192105.0,203553.5,202949.0,198014.0,181647.8,285546.0,205928.6,221084.5,206060.0,206607.7,13250.9,-11772.0,-323.5,-928.0,-5863.0,-22229.2,81669.0,2051.6,17207.5,2183.0,2730.7,True,True,True,True,False,False,True,False,True,True
