,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-YYG-ParamSearch
Louisiana,5444,4172.9,3929.3,4196.0,4530.0,,4251.4,-1271.1,-1514.7,-1248.0,-914.0,,-1192.6,False,True,True,,True
Maine,140,114.9,151.5,181.2,138.0,,159.2,-25.1,11.5,41.2,-2.0,,19.2,True,False,True,,True
Maryland,3925,5761.9,4395.8,5079.6,3905.0,,5411.2,1836.9,470.8,1154.6,-20.0,,1486.2,True,True,True,,True
Massachusetts,9391,12200.0,8671.5,8626.2,8943.0,,9795.7,2809.0,-719.5,-764.8,-448.0,,404.7,True,True,True,,True
Michigan,7044,7338.3,6540.1,8244.7,8091.0,,7076.5,294.3,-503.9,1200.7,1047.0,,32.5,False,False,False,,True
Minnesota,2056,3290.1,2148.3,3067.3,3828.0,,3259.1,1234.1,92.3,1011.3,1772.0,,1203.1,True,True,False,,True
Mississippi,2911,1990.4,2231.2,1339.8,1318.0,,2160.8,-920.6,-679.8,-1571.2,-1593.0,,-750.2,True,False,False,,True
Missouri,2054,1405.0,1413.5,1612.7,1143.0,,2485.5,-645.0,-636.5,-437.3,-907.0,,435.5,True,True,False,,True
Montana,171,33.9,20.8,29.9,22.0,,24.4,-137.1,-150.2,-141.1,-149.0,,-146.6,False,False,False,,False
Nebraska,469,631.0,444.3,580.6,292.0,,586.3,162.0,-24.7,111.6,-177.0,,117.3,True,True,False,,True
Nevada,1582,834.4,739.6,834.4,614.0,,1011.9,-747.6,-842.4,-747.6,-968.0,,-570.1,False,False,False,,True
New Hampshire,439,825.1,604.0,767.9,351.0,,959.3,386.1,165.0,328.9,-88.0,,520.3,True,True,True,,False
New Jersey,16103,19835.0,13488.5,14190.2,13980.0,,15201.7,5588.0,-758.5,-56.8,-267.0,,954.7,True,True,True,,True
New Mexico,870,1014.4,937.2,949.1,560.0,,1141.9,144.4,67.2,79.1,-310.0,,271.9,True,True,False,,False
New York,33125,37525.6,31855.6,33564.6,32876.0,,32990.9,5170.6,-499.4,1209.6,521.0,,635.9,True,True,True,,True
North Carolina,3440,2617.7,3962.0,2672.3,3418.0,,3818.7,-822.3,522.0,-767.7,-22.0,,378.7,True,True,True,,True
North Dakota,227,103.7,110.7,127.1,394.0,,152.1,-123.3,-116.3,-99.9,167.0,,-74.9,True,True,False,,True
Ohio,4740,5233.3,3849.2,3623.8,3195.0,,5250.5,493.3,-890.8,-1116.2,-1545.0,,510.5,False,False,False,,False
Oklahoma,1004,522.4,462.8,581.8,853.0,,494.6,-481.6,-541.2,-422.2,-151.0,,-509.4,False,True,True,,False
Oregon,542,321.6,264.6,769.5,230.0,,312.2,-217.4,-274.4,230.5,-309.0,,-226.8,False,False,False,,False
Pennsylvania,8083,10256.1,8894.9,8696.5,6749.0,,9471.2,2173.1,811.9,613.5,-1334.0,,1388.2,True,True,True,,True
Rhode Island,1107,1739.3,1151.4,1145.8,1001.0,,1521.7,682.3,94.4,88.8,-56.0,,464.7,True,True,True,,True
South Carolina,3323,1402.3,2192.9,2727.8,1008.0,,1995.1,-1920.7,-1130.1,-595.2,-2315.0,,-1327.9,True,True,False,,True
South Dakota,218,223.6,142.9,177.1,114.0,,181.8,5.6,-75.1,-40.9,-104.0,,-36.2,False,False,False,,False
Tennessee,2374,1306.0,959.0,1902.5,1548.0,,1152.1,-1068.0,-1415.0,-471.5,-826.0,,-1221.9,False,True,True,,False
Texas,15707,4108.6,4930.1,5269.0,4770.0,12378.0,4331.1,-11435.4,-10613.9,-10275.0,-10774.0,-3166.0,-11212.9,True,True,True,True,True
Utah,448,406.4,1071.7,575.0,365.0,,555.8,-41.6,623.7,127.0,-83.0,,107.8,False,False,False,,False
Vermont,58,55.0,82.5,63.0,60.0,,66.5,-3.0,24.5,5.0,2.0,,8.5,False,False,True,,False
Virginia,3142,2645.4,2459.2,2153.6,2039.0,,3664.1,-496.6,-682.8,-988.4,-1103.0,,522.1,False,False,False,,False
Washington,2100,2108.4,1825.7,1708.9,1422.0,,2378.2,8.4,-274.3,-391.1,-678.0,,278.2,False,False,False,,False
West Virginia,337,147.4,118.4,144.6,87.0,,135.7,-189.6,-218.6,-192.4,-250.0,,-201.3,False,False,False,,False
Wisconsin,1281,1360.6,1297.6,1349.1,1268.0,,1864.2,79.6,16.6,68.1,-13.0,,583.2,True,True,True,,False
Wyoming,50,32.9,29.4,24.4,18.0,,27.5,-17.1,-20.6,-25.6,-32.0,,-22.5,False,False,False,,False
US,204490,192350.3,166420.1,194293.0,153521.0,158604.0,190187.3,-9293.7,-35223.9,-7351.0,-48123.0,-43040.0,-11456.7,False,True,False,False,False
