,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,USC-SI_kJalpha,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,error-USC-SI_kJalpha,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-YYG-ParamSearch
Iowa,1314,963.1,1150.4,826.7,898.0,,888.3,899.5,1030.2,-350.9,-163.6,-487.3,-416.0,,-425.7,-414.5,-283.8,True,False,False,,False,False,True
Kansas,635,423.3,467.5,420.1,294.0,,299.9,629.2,453.3,-211.7,-167.5,-214.9,-341.0,,-335.1,-5.8,-181.7,True,False,False,,False,True,True
Kentucky,1154,969.4,799.1,770.3,823.0,,842.7,894.3,1096.2,-184.6,-354.9,-383.7,-331.0,,-311.3,-259.7,-57.8,False,False,False,,False,False,True
Louisiana,5444,4407.6,4404.4,4236.2,3729.0,,3375.0,6338.5,4265.0,-1036.4,-1039.6,-1207.8,-1715.0,,-2069.0,894.5,-1179.0,False,False,False,,False,True,False
Maine,140,129.7,126.5,119.2,133.0,,109.5,243.4,148.1,-10.3,-13.5,-20.8,-7.0,,-30.5,103.4,8.1,False,False,True,,False,False,True
Maryland,3925,4479.4,3573.9,3506.6,3485.0,,3508.8,3531.1,4623.9,554.4,-351.1,-418.4,-440.0,,-416.2,-393.9,698.9,True,True,True,,True,True,False
Massachusetts,9391,10656.1,8318.9,10003.2,8314.0,,8508.4,9414.5,9730.3,1266.1,-1071.1,613.2,-1076.0,,-881.6,24.5,340.3,True,True,True,,True,True,True
Michigan,7044,7018.4,6557.8,6430.3,6889.0,,6494.5,6891.1,7200.8,-25.6,-486.2,-613.7,-155.0,,-549.5,-152.9,156.8,False,False,False,,False,False,False
Minnesota,2056,2077.1,1936.7,1816.7,1565.0,,1799.7,1927.0,2543.5,21.1,-119.3,-239.3,-491.0,,-256.3,-129.0,487.5,False,False,False,,False,False,False
Mississippi,2911,2337.6,2216.4,1942.0,2078.0,,1286.5,2314.7,2392.6,-573.4,-694.6,-969.0,-833.0,,-1624.5,-596.3,-518.4,False,False,False,,False,False,True
Missouri,2054,1505.4,1866.0,1640.7,1471.0,,1836.8,1742.6,1723.3,-538.6,-178.0,-403.3,-573.0,,-207.2,-301.4,-320.7,True,True,False,,True,True,True
Montana,171,47.7,122.7,46.2,47.0,,26.7,70.8,44.3,-123.3,-48.3,-124.8,-124.0,,-144.3,-100.2,-126.7,True,False,False,,False,True,False
Nebraska,469,562.7,373.9,489.6,379.0,,350.0,387.8,617.1,93.7,-95.1,20.6,-90.0,,-119.0,-81.2,148.1,False,True,True,,False,True,False
Nevada,1582,667.1,4563.2,920.1,563.0,,732.5,2152.3,1029.6,-914.9,2981.2,-661.9,-1019.0,,-849.5,570.3,-552.4,False,True,False,,True,True,True
New Hampshire,439,727.0,469.4,745.7,385.0,,531.2,452.6,669.6,288.0,30.4,306.7,-54.0,,92.2,13.6,230.6,True,False,True,,True,True,True
New Jersey,16103,41152.1,13518.4,16003.7,16311.0,,15339.4,16473.0,16513.5,25049.1,-2584.6,-99.3,208.0,,-763.6,370.0,410.5,True,True,True,,True,True,True
New Mexico,870,787.7,795.0,787.6,812.0,,627.4,624.2,924.0,-82.3,-75.0,-82.4,-58.0,,-242.6,-245.8,54.0,True,False,True,,False,False,True
New York,33125,34894.1,32022.5,33202.9,32044.0,,31811.4,31940.9,33362.5,2450.1,-421.5,758.9,-400.0,,-632.6,-503.1,918.5,True,True,True,,True,True,True
North Carolina,3440,3010.6,3287.4,2177.7,2985.0,,2196.4,2363.5,3327.7,-429.4,-152.6,-1262.3,-455.0,,-1243.6,-1076.5,-112.3,True,False,False,,False,False,True
North Dakota,227,104.7,105.8,89.4,124.0,,97.1,109.2,115.3,-122.3,-121.2,-137.6,-103.0,,-129.9,-117.8,-111.7,True,False,True,,False,True,True
Ohio,4740,4182.7,3875.7,4077.7,3421.0,,3960.0,5796.4,4920.1,-557.3,-864.3,-662.3,-1319.0,,-780.0,1056.4,180.1,False,False,False,,False,False,True
Oklahoma,1004,590.7,1711.2,491.9,592.0,,529.7,958.6,677.9,-413.3,707.2,-512.1,-412.0,,-474.3,-45.4,-326.1,False,False,True,,False,True,True
Oregon,542,356.3,818.8,474.6,522.0,,318.7,685.7,456.5,-185.7,276.8,-67.4,-20.0,,-223.3,143.7,-85.5,False,True,True,,False,True,True
Pennsylvania,8083,8958.9,7734.3,8080.0,7787.0,,7442.5,7116.2,9231.0,875.9,-348.7,-3.0,-296.0,,-640.5,-966.8,1148.0,True,True,True,,True,False,False
Rhode Island,1107,1351.3,1068.2,1320.7,1232.0,,1112.5,977.7,1384.4,244.3,-38.8,213.7,125.0,,5.5,-129.3,277.4,True,True,True,,True,True,False
South Carolina,3323,1526.0,3693.0,1343.0,1102.0,,941.7,1776.0,1929.0,-1797.0,370.0,-1980.0,-2221.0,,-2381.3,-1547.0,-1394.0,True,False,False,,False,True,True
South Dakota,218,219.6,182.6,219.4,130.0,,108.3,118.1,201.1,1.6,-35.4,1.4,-88.0,,-109.7,-99.9,-16.9,False,True,False,,False,False,False
Tennessee,2374,1329.7,2114.1,1533.2,2141.0,,834.0,1324.5,1664.8,-1044.3,-259.9,-840.8,-233.0,,-1540.0,-1049.5,-709.2,True,True,True,,False,False,True
Texas,15707,5114.9,14869.4,9114.6,4972.0,6009.0,4746.9,12968.4,6803.5,-10366.1,-611.6,-6366.4,-10509.0,-9472.0,-10734.1,-2512.6,-8677.5,True,True,False,True,False,True,True
Utah,448,282.7,1034.1,390.5,268.0,,253.0,329.2,467.1,-165.3,586.1,-57.5,-180.0,,-195.0,-118.8,19.1,False,True,False,,False,True,True
Vermont,58,56.0,66.9,73.3,57.0,,62.5,58.6,74.4,-2.0,8.9,15.3,-1.0,,4.5,0.6,16.4,False,False,True,,False,True,False
Virginia,3144,3287.7,2128.1,2226.3,2265.0,,1911.2,1872.8,2763.3,143.7,-1015.9,-917.7,-879.0,,-1232.8,-1271.2,-380.7,False,False,False,,False,False,False
Washington,2100,1824.3,2090.5,2002.4,1389.0,,1419.0,2023.6,2260.6,-275.7,-9.5,-97.6,-711.0,,-681.0,-76.4,160.6,True,True,False,,False,True,True
West Virginia,337,144.4,146.0,135.8,99.0,,132.9,314.9,132.6,-192.6,-191.0,-201.2,-238.0,,-204.1,-22.1,-204.4,True,False,False,,False,True,False
Wisconsin,1281,1201.3,1345.6,1241.2,1092.0,,891.6,1573.6,1560.3,-79.7,64.6,-39.8,-189.0,,-389.4,292.6,279.3,True,True,False,,False,False,False
Wyoming,50,20.0,106.9,23.7,23.0,,21.8,28.7,34.0,-30.0,56.9,-26.3,-27.0,,-28.2,-21.3,-16.0,False,True,True,,True,True,True
US,204492,200683.0,211961.1,172473.6,140604.0,142905.0,155472.5,199405.7,186402.5,-2891.0,8387.1,-31100.4,-62970.0,-60669.0,-48101.5,-4168.3,-17171.5,False,False,False,False,False,False,False
