,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,USC-SI_kJalpha,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,error-USC-SI_kJalpha,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-YYG-ParamSearch
Kansas,594,411.3,449.2,410.0,294.0,,299.6,598.3,440.7,-182.7,-144.8,-184.0,-300.0,,-294.4,4.3,-153.3,True,False,False,,False,True,True
Kentucky,1108,937.4,783.5,758.5,814.0,,834.6,877.6,1052.1,-170.6,-324.5,-349.5,-294.0,,-273.4,-230.4,-55.9,False,False,False,,False,False,True
Louisiana,5342,4313.6,4277.3,4203.1,3676.0,,3373.6,6137.6,4206.0,-1028.4,-1064.7,-1138.9,-1666.0,,-1968.4,795.6,-1136.0,False,False,False,,False,True,False
Maine,139,127.7,126.2,118.7,130.0,,109.5,226.0,143.9,-11.3,-12.8,-20.3,-9.0,,-29.5,87.0,4.9,False,False,True,,False,False,True
Maryland,3876,4377.4,3562.4,3494.5,3484.0,,3505.0,3527.2,4521.6,501.4,-313.6,-381.5,-392.0,,-371.0,-348.8,645.6,True,True,True,,True,True,False
Massachusetts,9295,10454.1,8318.0,9815.1,8314.0,,8503.7,9359.8,9619.4,1160.1,-976.0,521.1,-980.0,,-790.3,65.8,325.4,True,True,True,,True,True,True
Michigan,6969,6951.4,6513.3,6424.9,6843.0,,6491.8,6859.0,7122.0,-17.6,-455.7,-544.1,-126.0,,-477.2,-110.0,153.0,False,False,False,,False,False,False
Minnesota,2015,2029.1,1918.2,1808.0,1554.0,,1795.4,1918.3,2449.5,14.1,-96.8,-207.0,-461.0,,-219.6,-96.7,434.5,False,False,False,,False,False,False
Mississippi,2809,2236.6,2113.5,1898.2,1986.0,,1282.3,2273.9,2320.3,-572.4,-695.5,-910.8,-823.0,,-1526.7,-535.1,-488.7,False,False,False,,False,True,True
Missouri,1825,1466.4,1768.1,1613.0,1447.0,,1786.6,1711.2,1670.2,-348.6,-46.9,-202.0,-368.0,,-28.4,-103.8,-144.8,True,True,False,,True,True,True
Montana,156,45.7,102.4,43.6,44.0,,26.5,67.0,42.3,-110.3,-53.6,-112.4,-112.0,,-129.5,-89.0,-113.7,True,False,False,,False,True,False
Nebraska,442,539.7,368.9,476.7,372.0,,348.5,383.9,598.5,97.7,-73.1,34.7,-70.0,,-93.5,-58.1,156.5,True,True,True,,True,True,False
Nevada,1528,654.1,3578.2,885.2,562.0,,721.1,2130.2,985.0,-873.9,2050.2,-642.8,-966.0,,-806.9,602.2,-543.0,False,True,False,,True,True,True
New Hampshire,438,699.0,468.8,712.4,384.0,,525.3,451.4,646.5,261.0,30.8,274.4,-54.0,,87.3,13.4,208.5,True,False,True,,True,True,True
New Jersey,16064,39116.1,13515.7,15981.7,16309.0,,15335.3,16457.0,16423.7,23052.1,-2548.3,-82.3,245.0,,-728.7,393.0,359.7,True,True,True,,True,True,True
New Mexico,847,764.7,778.4,773.6,796.0,,624.8,623.9,888.9,-82.3,-68.6,-73.4,-51.0,,-222.2,-223.1,41.9,True,True,True,,False,False,True
New York,33081,34622.1,31981.9,33149.4,32043.0,,31809.9,31940.9,33246.1,2222.1,-418.1,749.4,-357.0,,-590.1,-459.1,846.1,True,True,True,,True,True,True
North Carolina,3235,2881.6,3137.9,2134.2,2827.0,,2169.5,2338.9,3198.3,-353.4,-97.1,-1100.8,-408.0,,-1065.5,-896.1,-36.7,True,False,False,,False,False,True
North Dakota,192,102.7,104.4,89.1,120.0,,96.8,108.3,114.0,-89.3,-87.6,-102.9,-72.0,,-95.2,-83.7,-78.0,True,False,True,,False,True,True
Ohio,4612,4075.7,3806.9,4020.0,3403.0,,3910.8,5604.4,4744.9,-536.3,-805.1,-592.0,-1209.0,,-701.2,992.4,132.9,False,False,False,,False,False,True
Oklahoma,943,574.7,1473.3,486.8,563.0,,519.2,927.5,656.9,-368.3,530.3,-456.2,-380.0,,-423.8,-15.5,-286.1,False,False,False,,False,True,True
Oregon,521,344.3,720.3,444.4,498.0,,311.2,636.4,434.6,-176.7,199.3,-76.6,-23.0,,-209.8,115.4,-86.4,False,True,True,,False,True,True
Pennsylvania,7940,8775.9,7695.2,8006.0,7736.0,,7427.1,7116.2,9060.0,835.9,-244.8,66.0,-204.0,,-512.9,-823.8,1120.0,True,True,True,,True,True,False
Rhode Island,1088,1318.3,1065.8,1301.4,1224.0,,1109.2,977.7,1361.4,230.3,-22.2,213.4,136.0,,21.2,-110.3,273.4,True,True,True,,True,True,False
South Carolina,3188,1463.0,3324.1,1307.4,1061.0,,934.2,1762.5,1851.9,-1725.0,136.1,-1880.6,-2127.0,,-2253.8,-1425.5,-1336.1,True,False,False,,False,True,True
South Dakota,200,209.6,171.2,210.9,127.0,,108.0,118.0,195.0,9.6,-28.8,10.9,-73.0,,-92.0,-82.0,-5.0,False,False,False,,False,False,True
Tennessee,2216,1271.7,1916.4,1474.9,2008.0,,825.9,1301.1,1588.9,-944.3,-299.6,-741.1,-208.0,,-1390.1,-914.9,-627.1,True,True,True,,False,True,True
Texas,15051,4903.9,12987.4,8380.3,4678.0,5717.0,4650.6,12445.6,6500.5,-9921.1,-1837.6,-6444.7,-10147.0,-9108.0,-10174.4,-2379.4,-8324.5,True,True,False,True,False,True,True
Utah,440,273.7,944.1,370.3,261.0,,249.0,326.0,446.1,-166.3,504.1,-69.7,-179.0,,-191.0,-114.0,6.1,False,True,False,,False,True,True
Vermont,58,56.0,65.9,71.0,57.0,,62.4,58.5,72.0,-2.0,7.9,13.0,-1.0,,4.4,0.5,14.0,False,False,True,,False,True,False
Virginia,2988,3166.7,2116.5,2206.1,2254.0,,1909.6,1872.8,2677.3,178.7,-871.5,-781.9,-734.0,,-1078.4,-1115.2,-310.7,False,False,False,,False,False,False
Washington,2037,1784.3,1998.3,1927.4,1387.0,,1417.1,1994.2,2167.1,-252.7,-38.7,-109.6,-650.0,,-619.9,-42.8,130.1,True,True,False,,False,True,True
West Virginia,311,140.4,140.2,133.5,99.0,,131.0,283.9,130.6,-170.6,-170.8,-177.5,-212.0,,-180.0,-27.1,-180.4,False,False,False,,False,True,False
Wisconsin,1238,1168.3,1268.8,1215.2,1071.0,,890.2,1528.3,1501.0,-69.7,30.8,-22.8,-167.0,,-347.8,290.3,263.0,True,True,False,,False,False,False
Wyoming,49,20.0,92.3,23.5,22.0,,21.7,28.4,33.3,-29.0,43.3,-25.5,-27.0,,-27.3,-20.6,-15.7,False,True,True,,True,True,True
US,199259,194859.0,200518.1,168952.5,139650.0,141510.0,154096.2,197602.6,182336.6,-3482.0,2177.1,-29388.5,-58691.0,-56831.0,-44244.8,-738.4,-16004.4,True,False,False,False,False,True,False
