,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-YYG-ParamSearch
Nevada,1528,1174.6,1677.1,1009.0,,931.6,1555.3,-353.4,149.1,-519.0,,-596.4,27.3,True,False,,False,True
New Hampshire,438,489.6,447.9,451.0,,493.6,443.6,51.6,9.9,13.0,,55.6,5.6,True,True,,False,True
New Jersey,16064,18620.1,16251.3,18704.0,,16698.3,16394.6,2556.1,187.3,2640.0,,634.3,330.6,True,False,,True,True
New Mexico,847,860.4,883.1,1135.0,,830.4,880.7,13.4,36.1,288.0,,-16.6,33.7,False,False,,False,False
New York,33081,33769.4,32778.0,34766.0,,32917.1,33263.4,733.4,-258.0,1730.0,,-118.9,227.4,True,False,,True,True
North Carolina,3235,2497.9,3152.3,3714.0,,2612.1,2819.0,-737.1,-82.7,479.0,,-622.9,-416.0,True,True,,True,True
North Dakota,192,156.0,145.3,182.0,,119.4,153.4,-36.0,-46.7,-10.0,,-72.6,-38.6,False,True,,False,False
Ohio,4612,4507.0,4701.7,4410.0,,4443.1,5176.5,-105.0,89.7,-202.0,,-168.9,564.5,True,False,,False,False
Oklahoma,943,658.6,1143.1,1533.0,,596.0,678.2,-284.4,200.1,590.0,,-347.0,-264.8,True,False,,False,True
Oregon,525,421.3,554.9,523.0,,349.6,620.6,-103.7,29.9,-2.0,,-175.4,95.6,True,True,,False,True
Pennsylvania,7940,8392.4,7992.5,8172.0,,8333.2,8459.0,452.4,52.5,232.0,,393.2,519.0,True,True,,True,False
Rhode Island,1088,1133.7,1087.9,1176.0,,1088.9,1091.3,56.7,10.9,99.0,,11.9,14.3,True,False,,True,True
South Carolina,3188,2350.9,3026.5,2504.0,,2002.8,3150.9,-837.1,-161.5,-684.0,,-1185.2,-37.1,True,True,,False,True
South Dakota,200,227.3,150.4,174.0,,139.2,185.5,27.3,-49.6,-26.0,,-60.8,-14.5,False,True,,False,True
Tennessee,2216,1687.3,2408.7,2578.0,,1366.9,2413.9,-528.7,192.7,362.0,,-849.1,197.9,True,True,,False,True
Texas,15059,8883.9,15304.8,13968.0,9624.0,8274.8,10598.5,-5645.1,775.8,-561.0,-4905.0,-6254.2,-3930.5,True,True,True,False,True
Utah,440,520.6,827.1,619.0,,476.2,695.3,80.6,387.1,179.0,,36.2,255.3,False,False,,True,False
Vermont,58,56.0,60.0,57.0,,57.1,66.5,-2.0,2.0,-1.0,,-0.9,8.5,True,True,,True,False
Virginia,2990,3079.9,2392.0,2635.0,,2518.2,3363.1,89.9,-598.0,-355.0,,-471.8,373.1,False,False,,False,False
Washington,2037,2216.7,2221.2,2098.0,,1932.7,2175.0,179.7,184.2,61.0,,-104.3,138.0,False,True,,True,True
West Virginia,311,115.7,281.6,159.0,,125.3,130.0,-195.3,-29.4,-152.0,,-185.7,-181.0,True,True,,True,True
Wisconsin,1296,1056.6,1548.3,1174.0,,1072.5,1350.7,-210.4,281.3,-93.0,,-194.5,83.7,False,True,,True,True
Wyoming,49,30.9,74.9,38.0,,26.9,36.3,-18.1,25.9,-11.0,,-22.1,-12.7,False,True,,False,True
US,199349,186905.7,202832.8,182794.0,146392.0,174539.0,195212.1,-11828.3,4098.8,-15940.0,-52342.0,-24195.0,-3521.9,True,False,False,False,True
