,actual_deaths,Baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,LANL-GrowthRate,MITCovAlliance-SIR,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,YYG-ParamSearch,error-Baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-YYG-ParamSearch,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-YYG-ParamSearch
South Carolina,3188,3738.1,,2636.1,3038.0,2732.0,2933.6,2504.1,,2713.5,2945.5,3196.0,3477.6,550.1,,-551.9,-150.0,-456.0,-254.4,-683.9,,-474.5,-242.5,8.0,289.6,,False,True,True,True,False,,True,True,True,True
South Dakota,200,217.3,,181.5,172.1,192.0,179.5,195.4,,238.4,206.4,172.0,191.0,17.3,,-18.5,-27.9,-8.0,-20.5,-4.6,,38.4,6.4,-28.0,-9.0,,False,False,True,False,True,,False,True,False,True
Tennessee,2216,1799.9,,2557.7,1808.7,1768.0,1433.1,1891.6,,1563.0,1968.7,1914.0,1841.9,-416.1,,341.7,-407.3,-448.0,-782.9,-324.4,,-653.0,-247.3,-302.0,-374.1,,True,True,False,False,True,,False,True,True,True
Texas,15059,19234.6,,12169.9,14946.2,17797.0,9537.7,9077.7,12447.0,17060.4,11270.5,13171.0,14379.5,4886.6,,-2178.1,598.2,3449.0,-4810.3,-5270.3,-1901.0,2712.4,-3077.5,-1177.0,31.5,,True,True,True,True,False,True,True,True,True,True
Utah,440,564.7,,600.8,433.8,479.0,408.6,425.8,,515.5,437.6,472.0,592.5,124.7,,160.8,-6.2,39.0,-31.4,-14.2,,75.5,-2.4,32.0,152.5,,False,True,True,True,True,,True,True,True,False
Vermont,58,63.9,,59.7,56.5,58.0,57.9,59.6,,64.5,65.4,57.0,64.9,5.9,,1.7,-1.5,0.0,-0.1,1.6,,6.5,7.4,-1.0,6.9,,True,True,True,True,True,,False,False,True,False
Virginia,2990,3178.0,,3013.5,2227.1,2424.0,2499.8,2620.9,,3181.0,3218.2,2439.0,3235.5,188.0,,23.5,-762.9,-566.0,-490.2,-369.1,,191.0,228.2,-551.0,245.5,,True,False,False,False,False,,False,False,False,False
Washington,2037,2247.4,,2181.2,1845.8,1960.0,1847.8,2360.0,,2182.5,2687.0,2111.0,2249.9,210.4,,144.2,-191.2,-77.0,-189.2,323.0,,145.5,650.0,74.0,212.9,,True,True,True,True,False,,True,False,True,False
West Virginia,311,213.0,,205.4,120.0,144.0,142.9,165.0,,202.2,243.7,215.0,193.4,-98.0,,-105.6,-191.0,-167.0,-168.1,-146.0,,-108.8,-67.3,-96.0,-117.6,,False,False,False,False,False,,False,True,True,False
Wisconsin,1296,1332.0,,1563.6,1476.8,1159.0,1139.2,1235.8,,1231.4,1679.8,1352.0,1402.1,76.0,,307.6,220.8,-97.0,-116.8,-20.2,,-24.6,423.8,96.0,146.1,,False,False,False,False,True,,True,False,False,False
Wyoming,49,32.9,,56.5,33.4,33.0,32.5,43.1,,31.7,44.1,27.0,33.9,-16.1,,7.5,-15.6,-16.0,-16.5,-5.9,,-17.3,-4.9,-22.0,-15.1,,True,True,True,False,True,,False,True,False,True
US,199352,209202.9,189725.0,197473.3,197710.3,193549.0,179448.6,178790.0,272703.0,201302.7,214568.6,203038.0,201411.9,10603.9,-8874.0,-1125.7,-888.7,-5050.0,-19150.4,-19809.0,74104.0,2703.7,15969.6,4439.0,2812.9,True,True,True,True,False,False,False,True,False,True,True
