,actual_deaths,Baseline,Auquan-SEIR,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,MITCovAlliance-SIR,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,RobertWalraven-ESG,STH-3PU,UCLA-SuEIR,UCM_MESALab-FoGSEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,YYG-ParamSearch,error-Baseline,error-Auquan-SEIR,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-RobertWalraven-ESG,error-STH-3PU,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-YYG-ParamSearch,beat_baseline-Auquan-SEIR,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-YYG-ParamSearch
Georgia,6599,7145.1,6237.0,,5627.3,6010.0,5942.0,6783.9,7212.4,5723.6,4603.9,,7130.1,6272.0,,5551.4,,6579.7,,6525.5,6798.0,6490.4,546.1,-362.0,,-971.7,-589.0,-657.0,184.9,613.4,-875.4,-1995.1,,531.1,-327.0,,-1047.6,,-19.3,,-73.5,199.0,-108.6,True,,False,False,False,True,False,False,False,,True,True,,False,,True,,True,True,True
Hawaii,120,83.7,74.0,,154.5,104.0,,200.2,142.9,88.0,28.8,,88.5,74.0,,54.8,,83.2,,105.2,62.0,93.9,-36.3,-46.0,,34.5,-16.0,,80.2,22.9,-32.0,-91.2,,-31.5,-46.0,,-65.2,,-36.8,,-14.8,-58.0,-26.1,False,,True,True,,False,True,True,False,,True,False,,False,,False,,True,False,True
Idaho,441,424.4,416.0,,419.3,397.0,350.0,756.2,506.2,351.1,448.5,,577.1,481.0,,309.4,,364.8,,397.0,399.0,441.7,-16.6,-25.0,,-21.7,-44.0,-91.0,315.2,65.2,-89.9,7.5,,136.1,40.0,,-131.6,,-76.2,,-44.0,-42.0,0.7,False,,False,False,False,False,False,False,True,,False,False,,False,,False,,False,False,True
Illinois,8672,8489.3,9011.0,,8548.6,8376.0,8370.0,8910.0,8527.7,8288.1,9070.4,9433.0,8273.5,8116.0,,8224.4,,8360.2,,10226.1,8570.0,8661.0,-182.7,339.0,,-123.4,-296.0,-302.0,238.0,-144.3,-383.9,398.4,761.0,-398.5,-556.0,,-447.6,,-311.8,,1554.1,-102.0,-11.0,False,,True,False,False,False,True,False,False,False,False,False,,False,,False,,False,True,True
Indiana,3503,3579.9,3545.0,,3463.6,3422.0,3419.0,3686.7,3762.0,3382.4,3660.6,3741.0,3291.2,3516.0,,3380.4,,3552.0,,4275.4,3661.0,3642.7,76.9,42.0,,-39.4,-81.0,-84.0,183.7,259.0,-120.6,157.6,238.0,-211.8,13.0,,-122.6,,49.0,,772.4,158.0,139.7,True,,True,False,False,False,False,False,False,False,False,True,,False,,True,,False,False,False
Iowa,1265,1188.7,1248.0,,1159.4,1018.0,1193.0,1397.2,1214.6,1162.7,1054.9,,1295.1,1417.0,,1097.1,,1111.4,,1332.0,1191.0,1206.2,-76.3,-17.0,,-105.6,-247.0,-72.0,132.2,-50.4,-102.3,-210.1,,30.1,152.0,,-167.9,,-153.6,,67.0,-74.0,-58.8,True,,False,False,True,False,True,False,False,,True,False,,False,,False,,True,True,True
Kansas,594,532.3,585.0,,575.7,534.0,533.0,809.6,558.3,481.4,482.7,,571.6,593.0,,439.9,,503.4,,578.2,543.0,527.6,-61.7,-9.0,,-18.3,-60.0,-61.0,215.6,-35.7,-112.6,-111.3,,-22.4,-1.0,,-154.1,,-90.6,,-15.8,-51.0,-66.4,True,,True,True,True,False,True,False,False,,True,True,,False,,False,,True,True,False
Kentucky,1108,989.7,1014.0,,,997.0,931.0,1410.1,1019.2,893.0,1165.4,1148.5,895.4,966.0,,886.6,,1005.2,,1185.9,998.0,1006.0,-118.3,-94.0,,,-111.0,-177.0,302.1,-88.8,-215.0,57.4,40.5,-212.6,-142.0,,-221.4,,-102.8,,77.9,-110.0,-102.0,True,,,True,False,False,True,False,True,True,False,False,,False,,True,,True,True,True
Louisiana,5342,5692.1,5215.0,,,5078.0,5424.0,5313.7,6060.7,5040.9,4236.7,,5706.7,6611.0,,5299.3,,5080.3,,5726.3,5006.0,5308.7,350.1,-127.0,,,-264.0,82.0,-28.3,718.7,-301.1,-1105.3,,364.7,1269.0,,-42.7,,-261.7,,384.3,-336.0,-33.3,True,,,True,True,True,False,True,False,,False,False,,True,,True,,False,True,True
Maine,139,136.7,148.0,,,130.0,135.0,168.2,136.3,139.1,145.3,,150.0,132.0,,130.5,,134.1,,149.5,133.0,137.7,-2.3,9.0,,,-9.0,-4.0,29.2,-2.7,0.1,6.3,,11.0,-7.0,,-8.5,,-4.9,,10.5,-6.0,-1.3,False,,,False,False,False,False,True,False,,False,False,,False,,False,,False,False,True
Maryland,3876,3901.3,4148.0,,,3842.0,3802.0,4004.0,3981.9,3791.2,3978.6,,3785.9,3840.0,,3915.9,,3857.9,,4487.6,3883.0,4036.8,25.3,272.0,,,-34.0,-74.0,128.0,105.9,-84.8,102.6,,-90.1,-36.0,,39.9,,-18.1,,611.6,7.0,160.8,False,,,False,False,False,False,False,False,,False,False,,False,,True,,False,True,False
Massachusetts,9295,9338.3,9438.0,,,9253.0,8887.0,9013.8,9389.6,9152.4,8532.6,,9220.9,9218.0,,9192.5,,9231.2,,9325.8,9374.0,9379.7,43.3,143.0,,,-42.0,-408.0,-281.2,94.6,-142.6,-762.4,,-74.1,-77.0,,-102.5,,-63.8,,30.8,79.0,84.7,False,,,True,False,False,False,False,False,,False,False,,False,,False,,True,False,False
Michigan,6969,6946.6,7098.0,,,6680.0,6884.0,7520.8,6959.2,6770.8,7669.1,12046.0,6801.3,6618.0,,6884.4,,6842.8,,8146.7,6860.0,6924.8,-22.4,129.0,,,-289.0,-85.0,551.8,-9.8,-198.2,700.1,5077.0,-167.7,-351.0,,-84.6,,-126.2,,1177.7,-109.0,-44.2,False,,,False,False,False,True,False,False,False,False,False,,False,,False,,False,False,False
Minnesota,2015,2014.3,2089.0,,,1828.0,1906.0,2211.3,1928.8,1889.8,1908.0,2249.0,1931.9,1747.0,,1907.3,,1771.8,,2367.2,1894.0,2013.5,-0.7,74.0,,,-187.0,-109.0,196.3,-86.2,-125.2,-107.0,234.0,-83.1,-268.0,,-107.7,,-243.2,,352.2,-121.0,-1.5,False,,,False,False,False,False,False,False,False,False,False,,False,,False,,False,False,False
Mississippi,2809,2997.1,2791.0,,,2805.0,2825.0,2823.1,2925.0,2511.3,2390.2,,3149.1,2206.0,,2493.9,,2823.3,,2812.5,2638.0,2786.4,188.1,-18.0,,,-4.0,16.0,14.1,116.0,-297.7,-418.8,,340.1,-603.0,,-315.1,,14.3,,3.5,-171.0,-22.6,True,,,True,True,True,True,False,False,,False,False,,False,,True,,True,True,True
Missouri,1825,1621.0,1744.0,,,1793.0,1593.0,2102.2,1736.4,1595.5,1725.1,,1888.3,1680.0,,1502.5,,1810.9,,2211.0,1602.0,1679.2,-204.0,-81.0,,,-32.0,-232.0,277.2,-88.6,-229.5,-99.9,,63.3,-145.0,,-322.5,,-14.1,,386.0,-223.0,-145.8,True,,,True,False,False,True,False,True,,True,True,,False,,True,,False,False,True
Montana,156,116.0,115.0,,,128.0,134.0,224.6,190.7,126.4,197.7,,195.7,174.0,,99.7,,98.5,,138.8,145.0,139.7,-40.0,-41.0,,,-28.0,-22.0,68.6,34.7,-29.6,41.7,,39.7,18.0,,-56.3,,-57.5,,-17.2,-11.0,-16.3,False,,,True,True,False,True,True,False,,True,True,,False,,False,,True,True,True
Nebraska,442,438.7,519.0,,,390.0,439.0,574.6,474.6,400.6,419.7,,447.8,390.0,,395.5,,425.0,,465.6,432.0,438.1,-3.3,77.0,,,-52.0,-3.0,132.6,32.6,-41.4,-22.3,,5.8,-52.0,,-46.5,,-17.0,,23.6,-10.0,-3.9,False,,,False,True,False,False,False,False,,False,False,,False,,False,,False,False,False
Nevada,1528,1630.6,1494.0,,,1396.0,1602.0,1726.9,1644.5,1471.5,1166.8,,1637.8,3054.0,,1224.8,,1446.0,,1523.7,1537.0,1547.6,102.6,-34.0,,,-132.0,74.0,198.9,116.5,-56.5,-361.2,,109.8,1526.0,,-303.2,,-82.0,,-4.3,9.0,19.6,True,,,False,True,False,False,True,False,,False,False,,False,,True,,True,True,True
New Hampshire,438,442.4,457.0,,,431.0,424.0,474.4,437.6,442.1,466.2,,490.7,432.0,,439.3,,457.6,,470.5,424.0,455.1,4.4,19.0,,,-7.0,-14.0,36.4,-0.4,4.1,28.2,,52.7,-6.0,,1.3,,19.6,,32.5,-14.0,17.1,False,,,False,False,False,True,True,False,,False,False,,True,,False,,False,False,False
New Jersey,16064,16096.6,16807.0,,,15991.0,16144.0,16226.4,16216.0,16188.4,16070.0,,16190.5,15899.0,,16084.0,,16153.8,,17143.6,16172.0,16036.5,32.6,743.0,,,-73.0,80.0,162.4,152.0,124.4,6.0,,126.5,-165.0,,20.0,,89.8,,1079.6,108.0,-27.5,False,,,False,False,False,False,False,True,,False,False,,True,,False,,False,False,True
New Mexico,847,854.9,833.0,,,827.0,856.0,1009.6,825.2,779.1,865.3,,874.6,917.0,,771.9,,832.1,,882.4,793.0,864.0,7.9,-14.0,,,-20.0,9.0,162.6,-21.8,-67.9,18.3,,27.6,70.0,,-75.1,,-14.9,,35.4,-54.0,17.0,False,,,False,False,False,False,False,False,,False,False,,False,,False,,False,False,False
New York,33081,33160.6,34889.0,,,32853.0,33125.0,33645.2,33287.8,33089.1,28577.0,,33369.6,32809.0,,33013.3,,33037.0,,34785.9,33086.0,33093.6,55.6,1784.0,,,-252.0,20.0,540.2,182.8,-15.9,-4528.0,,264.6,-296.0,,-91.7,,-68.0,,1680.9,-19.0,-11.4,False,,,False,True,False,False,True,False,,False,False,,False,,False,,False,True,True
North Carolina,3235,3099.9,3103.0,,,2938.0,3061.0,4092.6,3123.8,2864.1,2546.9,,3278.3,4071.0,,2709.8,,2816.0,,3068.9,2904.0,3103.1,-135.1,-132.0,,,-297.0,-174.0,857.6,-111.2,-370.9,-688.1,,43.3,836.0,,-525.2,,-419.0,,-166.1,-331.0,-131.9,True,,,False,False,False,True,False,False,,True,False,,False,,False,,False,False,True
North Dakota,192,188.1,170.0,,,133.0,167.0,233.5,175.3,152.5,186.6,,190.9,232.0,,155.5,,168.6,,192.8,172.0,172.0,-3.9,-22.0,,,-59.0,-25.0,41.5,-16.7,-39.5,-5.4,,-1.1,40.0,,-36.5,,-23.4,,0.8,-20.0,-20.0,False,,,False,False,False,False,False,False,,True,False,,False,,False,,True,False,False
Ohio,4612,4588.6,4381.0,,,4459.0,4333.0,5443.2,4758.5,4248.2,4584.4,5005.5,5011.2,5017.0,,4246.9,,4433.9,,5021.5,4465.0,4570.0,-23.4,-231.0,,,-153.0,-279.0,831.2,146.5,-363.8,-27.6,393.5,399.2,405.0,,-365.1,,-178.1,,409.5,-147.0,-42.0,False,,,False,False,False,False,False,False,False,False,False,,False,,False,,False,False,False
Oklahoma,943,942.7,917.0,,,914.0,821.0,1460.1,907.4,798.6,796.7,,1062.8,1408.5,,825.1,,836.5,,1007.1,861.0,913.3,-0.3,-26.0,,,-29.0,-122.0,517.1,-35.6,-144.4,-146.3,,119.8,465.5,,-117.9,,-106.5,,64.1,-82.0,-29.7,False,,,False,False,False,False,False,False,,False,False,,False,,False,,False,False,False
Oregon,525,543.4,510.0,,,514.0,530.0,885.2,559.5,491.5,825.7,,614.8,722.0,,508.4,,488.0,,557.4,530.0,552.7,18.4,-15.0,,,-11.0,5.0,360.2,34.5,-33.5,300.7,,89.8,197.0,,-16.6,,-37.0,,32.4,5.0,27.7,True,,,True,True,False,False,False,False,,False,False,,True,,False,,False,True,False
Pennsylvania,7940,8142.7,8093.0,,,7919.0,7623.0,8925.9,8066.8,7734.1,8019.4,,7741.7,7538.0,,7793.9,,8119.1,,9066.2,7981.0,8039.1,202.7,153.0,,,-21.0,-317.0,985.9,126.8,-205.9,79.4,,-198.3,-402.0,,-146.1,,179.1,,1126.2,41.0,99.1,True,,,True,False,False,True,False,True,,True,False,,True,,True,,False,True,True
Rhode Island,1088,1055.0,1122.0,,,1031.0,1059.0,1050.5,1084.7,1038.3,1034.3,,1029.3,1032.0,,1021.9,,1061.9,,1168.4,1040.0,1065.2,-27.0,40.0,,,-51.0,-23.0,-31.5,2.7,-43.7,-47.7,,-52.7,-50.0,,-60.1,,-20.1,,86.4,-42.0,-16.8,False,,,False,True,False,True,False,False,,False,False,,False,,True,,False,False,True
South Carolina,3188,3425.0,3108.0,,,3210.0,2886.0,3492.1,3384.4,2794.8,2516.0,,4017.1,2643.0,,2765.4,,3086.1,,2962.9,2997.0,3257.0,237.0,-80.0,,,22.0,-302.0,304.1,196.4,-393.2,-672.0,,829.1,-545.0,,-422.6,,-101.9,,-225.1,-191.0,69.0,True,,,True,False,False,True,False,False,,False,False,,False,,True,,True,True,True
South Dakota,200,187.0,206.0,,,171.0,199.0,211.2,219.8,195.1,195.2,,222.5,195.0,,172.6,,175.5,,209.4,188.0,191.8,-13.0,6.0,,,-29.0,-1.0,11.2,19.8,-4.9,-4.8,,22.5,-5.0,,-27.4,,-24.5,,9.4,-12.0,-8.2,True,,,False,True,True,False,True,True,,False,True,,False,,False,,True,True,True
Tennessee,2216,2060.6,2074.0,,,1953.0,1965.0,2622.5,2070.2,1883.4,1886.8,,2294.8,2355.5,,2224.3,,1765.0,,1943.1,1761.0,1950.6,-155.4,-142.0,,,-263.0,-251.0,406.5,-145.8,-332.6,-329.2,,78.8,139.5,,8.3,,-451.0,,-272.9,-455.0,-265.4,True,,,False,False,False,True,False,False,,True,True,,True,,False,,False,False,False
Texas,15051,16414.0,15593.0,,,15060.0,16971.0,16402.9,16373.1,15966.7,10188.8,,17705.8,12808.0,,13794.8,14160.0,14107.1,,14876.0,15427.0,15385.7,1363.0,542.0,,,9.0,1920.0,1351.9,1322.1,915.7,-4862.2,,2654.8,-2243.0,,-1256.2,-891.0,-943.9,,-175.0,376.0,334.7,True,,,True,False,True,True,True,False,,False,False,,True,True,True,,True,True,True
Utah,440,494.1,608.0,,,442.0,468.0,744.4,476.5,443.9,425.5,,565.8,434.0,,420.9,,487.5,,443.5,454.0,498.6,54.1,168.0,,,2.0,28.0,304.4,36.5,3.9,-14.5,,125.8,-6.0,,-19.1,,47.5,,3.5,14.0,58.6,False,,,True,True,False,True,True,True,,False,True,,True,,True,,True,True,False
Vermont,58,58.0,65.0,,,58.0,58.0,78.4,60.9,61.4,59.6,,59.9,59.0,,58.0,,58.3,,67.7,58.0,63.4,0.0,7.0,,,0.0,0.0,20.4,2.9,3.4,1.6,,1.9,1.0,,0.0,,0.3,,9.7,0.0,5.4,False,,,True,True,False,False,False,False,,False,False,,True,,False,,False,True,False
Virginia,2988,2648.1,2935.0,,,2542.0,2684.0,3409.9,2935.7,2659.6,2617.3,,2805.4,2659.0,,2612.7,,2540.6,,3130.7,2554.0,2884.1,-339.9,-53.0,,,-446.0,-304.0,421.9,-52.3,-328.4,-370.7,,-182.6,-329.0,,-375.3,,-447.4,,142.7,-434.0,-103.9,True,,,False,True,False,True,True,False,,True,True,,False,,False,,True,False,True
Washington,2037,2232.7,2129.0,,,2178.0,2079.0,2642.2,2229.4,2045.9,2360.0,,2128.5,3086.0,,2419.0,,1975.8,,2348.9,2092.0,2262.7,195.7,92.0,,,141.0,42.0,605.2,192.4,8.9,323.0,,91.5,1049.0,,382.0,,-61.2,,311.9,55.0,225.7,True,,,True,True,False,True,True,False,,True,False,,False,,True,,False,True,False
West Virginia,311,262.0,217.0,,,203.0,212.0,347.6,269.3,225.4,164.4,,301.6,696.0,,183.6,,278.2,,245.5,311.0,275.1,-49.0,-94.0,,,-108.0,-99.0,36.6,-41.7,-85.6,-146.6,,-9.4,385.0,,-127.4,,-32.8,,-65.5,0.0,-35.9,False,,,False,False,True,True,False,False,,True,False,,False,,True,,False,True,True
Wisconsin,1241,1238.1,1385.0,,,1289.0,1171.0,1873.8,1342.7,1179.3,1235.7,1473.0,1347.9,1598.0,,1182.5,,1167.3,,1469.9,1225.0,1289.8,-2.9,144.0,,,48.0,-70.0,632.8,101.7,-61.7,-5.3,232.0,106.9,357.0,,-58.5,,-73.7,,228.9,-16.0,48.8,False,,,False,False,False,False,False,False,False,False,False,,False,,False,,False,False,False
Wyoming,49,39.7,47.0,,,41.0,31.0,78.9,46.4,36.4,43.0,,79.3,47.0,,30.0,,36.5,,45.2,30.0,37.9,-9.3,-2.0,,,-8.0,-18.0,29.9,-2.6,-12.6,-6.0,,30.3,-2.0,,-19.0,,-12.5,,-3.8,-19.0,-11.1,True,,,True,False,False,True,False,True,,False,True,,False,,False,,True,False,False
US,199282,204605.7,191019.0,199799.0,183294.2,195405.0,196398.0,216937.4,207575.1,189571.6,179952.0,,205461.1,193848.0,200042.8,185311.7,199653.0,199382.0,201355.0,209333.0,195724.0,200300.4,5305.7,-8281.0,499.0,-16005.8,-3895.0,-2902.0,17637.4,8275.1,-9728.4,-19348.0,,6161.1,-5452.0,742.8,-13988.3,353.0,82.0,2055.0,10033.0,-3576.0,1000.4,False,True,False,True,True,False,False,False,False,,False,False,True,False,True,True,True,False,True,True
