,actual_deaths,Baseline,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,IHME-CurveFit,LANL-GrowthRate,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,YYG-ParamSearch,error-Baseline,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-LANL-GrowthRate,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-YYG-ParamSearch,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-LANL-GrowthRate,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-YYG-ParamSearch
Georgia,6599,6301.7,,5715.0,6594.3,5651.3,,5197.2,5915.0,,,5757.1,6633.2,5661.0,5985.9,-297.3,,-884.0,-4.7,-947.7,,-1401.8,-684.0,,,-841.9,34.2,-938.0,-613.1,,False,True,False,,False,False,,,False,True,False,False
Hawaii,120,60.3,,81.0,28.2,73.5,,82.5,32.0,,,62.1,133.3,31.0,73.1,-59.7,,-39.0,-91.8,-46.5,,-37.5,-88.0,,,-57.9,13.3,-89.0,-46.9,,True,False,True,,True,False,,,True,True,False,True
Idaho,441,471.3,,391.0,516.8,389.8,,720.4,2072.0,,,316.7,404.2,482.0,506.0,30.3,,-50.0,75.8,-51.2,,279.4,1631.0,,,-124.3,-36.8,41.0,65.0,,False,False,False,,False,False,,,False,False,False,False
Illinois,8672,8612.3,,7945.0,8350.3,8296.9,10932.0,7915.9,8118.0,,,8718.6,10865.0,8887.0,8839.5,-59.7,,-727.0,-321.7,-375.1,2260.0,-756.1,-554.0,,,46.6,2193.0,215.0,167.5,,False,False,False,False,False,False,,,True,False,False,False
Indiana,3503,3427.6,,3385.0,3523.6,3365.4,3886.5,3187.0,3706.0,,,3303.6,5064.0,3506.0,3653.7,-75.4,,-118.0,20.6,-137.6,383.5,-316.0,203.0,,,-199.4,1561.0,3.0,150.7,,False,True,False,False,False,False,,,False,False,True,False
Iowa,1265,1241.4,,990.0,1156.9,1081.0,,1338.7,1515.0,,,1125.8,1288.2,1222.0,1222.3,-23.6,,-275.0,-108.1,-184.0,,73.7,250.0,,,-139.2,23.2,-43.0,-42.7,,False,False,False,,False,False,,,False,True,False,False
Kansas,594,491.3,,510.0,716.7,446.0,,581.6,613.0,,,444.6,549.0,486.0,529.1,-102.7,,-84.0,122.7,-148.0,,-12.4,19.0,,,-149.4,-45.0,-108.0,-64.9,,True,False,False,,True,True,,,False,True,False,True
Kentucky,1108,954.6,,1017.0,1287.0,886.2,1207.5,1151.0,972.0,,,911.0,1243.3,956.0,1022.8,-153.4,,-91.0,179.0,-221.8,99.5,43.0,-136.0,,,-197.0,135.3,-152.0,-85.2,,True,False,False,True,True,True,,,False,True,True,True
Louisiana,5342,5762.4,,4996.0,5604.9,5182.5,,4875.1,7240.5,,,5245.9,6126.2,4820.0,5281.6,420.4,,-346.0,262.9,-159.5,,-466.9,1898.5,,,-96.1,784.2,-522.0,-60.4,,True,True,True,,False,False,,,True,False,False,True
Maine,139,136.7,,128.0,137.0,131.8,,175.6,133.0,,,129.9,143.8,132.0,137.4,-2.3,,-11.0,-2.0,-7.2,,36.6,-6.0,,,-9.1,4.8,-7.0,-1.6,,False,True,False,,False,False,,,False,False,False,True
Maryland,3876,3995.0,,3868.0,4008.6,3788.7,,3779.5,3845.0,,,3879.5,4710.7,3872.0,4176.5,119.0,,-8.0,132.6,-87.3,,-96.5,-31.0,,,3.5,834.7,-4.0,300.5,,True,False,True,,True,True,,,True,False,True,False
Massachusetts,9295,9303.1,,8754.0,9151.7,9113.1,,8793.9,8834.0,,,9071.6,9997.6,9537.0,9407.1,8.1,,-541.0,-143.3,-181.9,,-501.1,-461.0,,,-223.4,702.6,242.0,112.1,,False,False,False,,False,False,,,False,False,False,False
Michigan,6969,6882.1,,6809.0,6897.3,6697.3,8437.0,6664.5,6612.0,,,6808.8,8242.5,6813.0,6923.9,-86.9,,-160.0,-71.7,-271.7,1468.0,-304.5,-357.0,,,-160.2,1273.5,-156.0,-45.1,,False,True,False,False,False,False,,,False,False,False,True
Minnesota,2015,1955.7,,1784.0,1871.5,1861.0,2095.0,1729.6,1725.0,,,1922.2,2572.3,1958.0,2016.4,-59.3,,-231.0,-143.5,-154.0,80.0,-285.4,-290.0,,,-92.8,557.3,-57.0,1.4,,False,False,False,False,False,False,,,False,False,True,True
Mississippi,2809,3026.4,,2845.0,2919.1,2386.0,,3015.1,3891.5,,,2540.3,2861.9,2527.0,2821.7,217.4,,36.0,110.1,-423.0,,206.1,1082.5,,,-268.7,52.9,-282.0,12.7,,True,True,False,,True,False,,,False,True,False,True
Missouri,1825,1673.7,,1953.0,2330.8,1494.0,,1627.9,1710.0,,,1708.4,2051.6,1632.0,1753.8,-151.3,,128.0,505.8,-331.0,,-197.1,-115.0,,,-116.6,226.6,-193.0,-71.2,,True,False,False,,False,True,,,True,False,False,True
Montana,156,157.0,,120.0,126.4,119.6,,257.8,252.0,,,110.0,143.9,170.0,162.0,1.0,,-36.0,-29.6,-36.4,,101.8,96.0,,,-46.0,-12.1,14.0,6.0,,False,False,False,,False,False,,,False,False,False,False
Nebraska,442,421.1,,379.0,440.5,381.5,,470.5,375.0,,,392.6,460.9,413.0,439.5,-20.9,,-63.0,-1.5,-60.5,,28.5,-67.0,,,-49.4,18.9,-29.0,-2.5,,False,True,False,,False,False,,,False,True,False,True
Nevada,1528,1689.1,,1382.0,1634.6,1316.3,,1724.9,2964.0,,,1413.9,1486.6,1451.0,1556.2,161.1,,-146.0,106.6,-211.7,,196.9,1436.0,,,-114.1,-41.4,-77.0,28.2,,True,True,False,,False,False,,,True,True,True,True
New Hampshire,438,430.7,,432.0,467.7,454.6,,437.2,422.0,,,450.7,487.4,440.0,473.2,-7.3,,-6.0,29.7,16.6,,-0.8,-16.0,,,12.7,49.4,2.0,35.2,,True,False,False,,True,False,,,False,False,True,False
New Jersey,16064,16096.6,,15917.0,16181.0,16327.3,,16189.4,15959.0,,,16146.7,17717.8,16206.0,16142.1,32.6,,-147.0,117.0,263.3,,125.4,-105.0,,,82.7,1653.8,142.0,78.1,,False,False,False,,False,False,,,False,False,False,False
New Mexico,847,866.6,,844.0,924.6,769.8,,903.5,1055.0,,,789.9,907.7,815.0,890.1,19.6,,-3.0,77.6,-77.2,,56.5,208.0,,,-57.1,60.7,-32.0,43.1,,True,False,False,,False,False,,,False,False,False,False
New York,33081,33148.9,,32793.0,33128.8,33172.8,,32575.3,32823.0,,,33023.8,34764.9,33052.0,33099.9,48.9,,-307.0,28.8,72.8,,-524.7,-277.0,,,-76.2,1664.9,-48.0,-0.1,,False,True,False,,False,False,,,False,False,True,True
North Carolina,3235,3416.1,,3033.0,3353.1,2826.8,,2843.2,4848.5,,,3156.1,3108.8,3023.0,3200.6,181.1,,-202.0,118.1,-408.2,,-391.8,1613.5,,,-78.9,-126.2,-212.0,-34.4,,False,True,False,,False,False,,,True,True,False,True
North Dakota,192,153.0,,125.0,141.4,139.4,,147.4,183.5,,,167.2,192.2,173.0,158.0,-39.0,,-67.0,-50.6,-52.6,,-44.6,-8.5,,,-24.8,0.2,-19.0,-34.0,,False,False,False,,False,True,,,True,True,True,True
Ohio,4612,4489.0,,4493.0,5039.8,4182.7,5125.0,4277.2,5672.0,,,4137.1,5263.9,4454.0,4605.1,-123.0,,-119.0,427.8,-429.3,513.0,-334.8,1060.0,,,-474.9,651.9,-158.0,-6.9,,True,False,False,False,False,False,,,False,False,False,True
Oklahoma,943,913.4,,910.0,1127.3,740.8,,926.5,1736.0,,,807.8,988.1,846.0,917.9,-29.6,,-33.0,184.3,-202.2,,-16.5,793.0,,,-135.2,45.1,-97.0,-25.1,,False,False,False,,True,False,,,False,False,False,True
Oregon,525,531.7,,522.0,724.8,474.3,,631.9,772.0,,,429.3,562.5,508.0,574.3,6.7,,-3.0,199.8,-50.7,,106.9,247.0,,,-95.7,37.5,-17.0,49.3,,True,False,False,,False,False,,,False,False,False,False
Pennsylvania,7940,7826.4,,7457.0,7807.1,7571.4,,7542.7,9328.0,,,7768.6,9069.4,7733.0,7906.8,-113.6,,-483.0,-132.9,-368.6,,-397.3,1388.0,,,-171.4,1129.4,-207.0,-33.2,,False,False,False,,False,False,,,False,False,False,True
Rhode Island,1088,1055.0,,1029.0,1045.0,1049.6,,1030.2,1025.0,,,1075.1,1180.6,1036.0,1073.5,-22.0,,-48.0,-32.0,-27.4,,-46.8,-52.0,,,-1.9,103.6,-41.0,-3.5,,False,False,False,,False,False,,,True,False,False,True
South Carolina,3188,3518.7,,3191.0,3304.1,2788.3,,4660.3,2589.0,,,2861.7,2961.5,2986.0,3377.4,330.7,,3.0,116.1,-399.7,,1472.3,-599.0,,,-326.3,-226.5,-202.0,189.4,,True,True,False,,False,False,,,True,True,True,True
South Dakota,200,210.4,,169.0,177.4,196.7,,206.4,202.0,,,200.2,220.5,259.0,195.2,10.4,,-31.0,-22.6,-3.3,,6.4,2.0,,,0.2,20.5,59.0,-4.8,,False,False,True,,True,True,,,True,False,False,True
Tennessee,2216,2101.6,,1986.0,1746.4,1786.4,,2080.8,2504.5,,,1998.9,1933.8,1688.0,1951.2,-114.4,,-230.0,-469.6,-429.6,,-135.2,288.5,,,-217.1,-282.2,-528.0,-264.8,,False,False,False,,False,False,,,False,False,False,False
Texas,15051,18387.9,,14375.0,15331.0,15976.4,,21974.6,15971.0,,14416.0,13301.8,14238.6,15234.0,16116.7,3336.9,,-676.0,280.0,925.4,,6923.6,920.0,,-635.0,-1749.2,-812.4,183.0,1065.7,,True,True,True,,False,True,,True,True,True,True,True
Utah,440,482.4,,459.0,503.5,438.2,,682.8,504.0,,,431.0,442.0,442.0,522.2,42.4,,19.0,63.5,-1.8,,242.8,64.0,,,-9.0,2.0,2.0,82.2,,True,False,True,,False,False,,,True,True,True,False
Vermont,58,63.9,,59.0,58.9,60.3,,66.1,64.0,,,61.6,66.4,58.0,64.2,5.9,,1.0,0.9,2.3,,8.1,6.0,,,3.6,8.4,0.0,6.2,,True,True,True,,False,False,,,True,False,True,False
Virginia,2988,2958.6,,2518.0,3469.3,2728.2,,2677.3,2678.0,,,2653.0,3517.6,2550.0,3236.2,-29.4,,-470.0,481.3,-259.8,,-310.7,-310.0,,,-335.0,529.6,-438.0,248.2,,False,False,False,,False,False,,,False,False,False,False
Washington,2037,2226.9,,2189.0,2183.2,1975.4,,2272.5,3443.5,,,2027.8,2437.9,2167.0,2288.9,189.9,,152.0,146.2,-61.6,,235.5,1406.5,,,-9.2,400.9,130.0,251.9,,True,True,True,,False,False,,,True,False,True,False
West Virginia,311,267.9,,188.0,173.3,170.1,,175.4,308.0,,,185.7,228.3,205.0,258.6,-43.1,,-123.0,-137.7,-140.9,,-135.6,-3.0,,,-125.3,-82.7,-106.0,-52.4,,False,False,False,,False,True,,,False,False,False,False
Wisconsin,1241,1290.9,,1204.0,1409.8,1185.3,1806.0,1316.5,3882.0,,,1177.4,1568.9,1271.0,1374.9,49.9,,-37.0,168.8,-55.7,565.0,75.5,2641.0,,,-63.6,327.9,30.0,133.9,,True,False,False,False,False,False,,,False,False,True,False
Wyoming,49,39.7,,43.0,26.9,32.5,,59.9,32.0,,,38.9,40.1,29.0,36.1,-9.3,,-6.0,-22.1,-16.5,,10.9,-17.0,,,-10.1,-8.9,-20.0,-12.9,,True,False,False,,False,False,,,False,True,False,False
US,199282,206122.7,190349.0,193756.0,203299.4,186073.8,,203436.1,215369.5,201717.4,199534.0,192767.8,211833.7,193835.0,202288.9,6832.7,-8941.0,-5534.0,4009.4,-13216.2,,4146.1,16079.5,2427.4,244.0,-6522.2,12543.7,-5455.0,2998.9,False,True,True,False,,True,False,True,True,True,False,True,True
