,actual_deaths,Baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,MITCovAlliance-SIR,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,YYG-ParamSearch,error-Baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-MITCovAlliance-SIR,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-YYG-ParamSearch,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-MITCovAlliance-SIR,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-YYG-ParamSearch
Maryland,3876,3935.0,,3964.4,3961.6,3901.0,3811.8,,3972.4,5741.6,4134.0,4379.3,59.0,,88.4,85.6,25.0,-64.2,,96.4,1865.6,258.0,503.3,,False,False,True,False,,False,False,False,False
Massachusetts,9295,9299.0,,8637.2,9543.5,8811.0,8477.6,,9000.8,10702.9,9601.0,9116.3,4.0,,-657.8,248.5,-484.0,-817.4,,-294.2,1407.9,306.0,-178.7,,False,False,False,False,,False,False,False,False
Michigan,6969,6667.1,,6973.8,7032.3,6888.0,7697.2,,6675.1,9374.1,6592.0,6688.7,-301.9,,4.8,63.3,-81.0,728.2,,-293.9,2405.1,-377.0,-280.3,,True,True,True,False,,True,False,False,True
Minnesota,2015,1873.3,,2129.0,1804.1,1982.0,1893.1,,1870.6,3358.8,1925.0,2004.5,-141.7,,114.0,-210.9,-33.0,-121.9,,-144.4,1343.8,-90.0,-10.5,,True,False,True,True,,False,False,True,True
Mississippi,2809,2577.3,,2818.4,2232.1,2193.0,2301.0,,2335.8,3437.4,2470.0,2593.0,-231.7,,9.4,-576.9,-616.0,-508.0,,-473.2,628.4,-339.0,-216.0,,True,False,False,False,,False,False,False,True
Missouri,1825,1782.6,,2297.1,1493.9,1451.0,1666.5,,1969.3,4224.0,2129.0,1941.6,-42.4,,472.1,-331.1,-374.0,-158.5,,144.3,2399.0,304.0,116.6,,False,False,False,False,,False,False,False,False
Montana,156,116.7,,198.3,196.9,78.0,188.4,,68.5,152.1,91.0,140.7,-39.3,,42.3,40.9,-78.0,32.4,,-87.5,-3.9,-65.0,-15.3,,False,False,False,True,,False,True,False,True
Nebraska,442,433.9,,517.7,332.8,382.0,402.3,,394.5,542.4,464.0,435.3,-8.1,,75.7,-109.2,-60.0,-39.7,,-47.5,100.4,22.0,-6.7,,False,False,False,False,,False,False,False,True
Nevada,1528,1417.6,,1639.4,1320.3,1358.0,988.1,,1330.2,1445.7,1213.0,1607.2,-110.4,,111.4,-207.7,-170.0,-539.9,,-197.8,-82.3,-315.0,79.2,,False,False,False,False,,False,True,False,True
New Hampshire,438,495.4,,464.2,437.4,417.0,489.4,,556.2,578.3,569.0,486.9,57.4,,26.2,-0.6,-21.0,51.4,,118.2,140.3,131.0,48.9,,True,True,True,True,,False,False,False,True
New Jersey,16064,16423.4,,16456.6,17283.9,16020.0,16226.9,,15839.7,17357.1,16816.0,16373.8,359.4,,392.6,1219.9,-44.0,162.9,,-224.3,1293.1,752.0,309.8,,False,False,True,True,,True,False,False,True
New Mexico,847,951.9,,854.4,817.3,760.0,827.2,,913.4,1124.7,853.0,916.6,104.9,,7.4,-29.7,-87.0,-19.8,,66.4,277.7,6.0,69.6,,True,True,True,True,,True,False,True,True
New York,33081,33690.7,,32931.1,34292.8,33158.0,28554.0,,33179.6,35542.7,33650.0,33426.6,608.7,,-150.9,1210.8,76.0,-4528.0,,97.6,2460.7,568.0,344.6,,True,False,True,False,,True,False,True,True
North Carolina,3235,3113.4,,3257.0,2624.0,2636.0,2255.2,,2963.5,3249.4,2538.0,3075.2,-121.6,,22.0,-611.0,-599.0,-979.8,,-271.5,14.4,-697.0,-159.8,,True,False,False,False,,False,True,False,False
North Dakota,192,154.0,,202.2,144.3,119.0,194.4,,229.4,241.4,203.0,170.8,-38.0,,10.2,-47.7,-73.0,2.4,,37.4,49.4,11.0,-21.2,,True,False,False,True,,True,False,True,True
Ohio,4612,4352.0,,4612.7,3747.4,3829.0,4646.0,,4718.9,5869.7,4274.0,4506.1,-260.0,,0.7,-864.6,-783.0,34.0,,106.9,1257.7,-338.0,-105.9,,True,False,False,True,,True,False,False,True
Oklahoma,943,849.6,,1051.6,938.4,926.0,722.4,,785.9,1569.6,1059.0,806.7,-93.4,,108.6,-4.6,-17.0,-220.6,,-157.1,626.6,116.0,-136.3,,False,True,True,False,,False,False,False,False
Oregon,525,516.9,,519.8,502.6,387.0,856.6,,428.9,584.0,492.0,623.2,-8.1,,-5.2,-22.4,-138.0,331.6,,-96.1,59.0,-33.0,98.2,,True,False,False,False,,False,False,False,False
Pennsylvania,7940,7952.0,,7993.5,7762.8,7842.0,8191.4,,7849.3,10444.1,7969.0,8275.9,12.0,,53.5,-177.2,-98.0,251.4,,-90.7,2504.1,29.0,335.9,,False,False,False,False,,False,False,False,False
Rhode Island,1088,1096.3,,1187.3,1068.0,1111.0,1058.6,,1090.4,1182.1,1066.0,1117.2,8.3,,99.3,-20.0,23.0,-29.4,,2.4,94.1,-22.0,29.2,,False,False,False,False,,True,False,False,False
South Carolina,3188,4131.0,,2823.4,2305.7,2536.0,1619.6,,3780.4,2665.0,3112.0,3680.7,943.0,,-364.6,-882.3,-652.0,-1568.4,,592.4,-523.0,-76.0,492.7,,True,True,True,False,,True,True,True,True
South Dakota,200,162.3,,148.8,194.5,192.0,194.5,,213.4,202.0,189.0,179.9,-37.7,,-51.2,-5.5,-8.0,-5.5,,13.4,2.0,-11.0,-20.1,,False,True,True,True,,True,True,True,True
Tennessee,2216,1941.3,,3087.9,1719.0,1737.0,1721.1,,1817.6,2039.9,1643.0,1922.9,-274.7,,871.9,-497.0,-479.0,-494.9,,-398.4,-176.1,-573.0,-293.1,,False,False,False,False,,False,True,False,False
Texas,15323,13436.0,,13479.0,15595.6,15676.0,5990.5,12106.0,11573.5,9083.9,9009.0,12736.9,-830.0,,-787.0,1329.6,1410.0,-8275.5,-2160.0,-2692.5,-5182.1,-5257.0,-1529.1,,True,False,False,False,False,False,False,False,False
Utah,440,517.6,,744.1,597.0,481.0,338.8,,475.4,421.9,392.0,603.6,77.6,,304.1,157.0,41.0,-101.2,,35.4,-18.1,-48.0,163.6,,False,False,True,False,,True,True,True,False
Vermont,58,56.0,,62.6,56.7,56.0,59.8,,57.7,76.7,56.0,64.1,-2.0,,4.6,-1.3,-2.0,1.8,,-0.3,18.7,-2.0,6.1,,False,True,False,True,,True,False,False,False
Virginia,2990,2478.7,,2803.9,2441.1,2355.0,2611.6,,2469.1,3511.3,2142.0,2703.9,-511.3,,-186.1,-548.9,-635.0,-378.4,,-520.9,521.3,-848.0,-286.1,,True,False,False,True,,False,False,False,True
Washington,2026,1925.3,,2131.0,2248.3,1802.0,2688.2,,2016.8,2638.7,1852.0,1822.4,-64.7,,141.0,258.3,-188.0,698.2,,26.8,648.7,-138.0,-167.6,,False,False,False,False,,True,False,False,False
West Virginia,311,126.6,,234.3,117.3,118.0,142.3,,118.6,265.6,133.0,138.7,-184.4,,-76.7,-193.7,-193.0,-168.7,,-192.4,-45.4,-178.0,-172.3,,True,False,False,True,,False,True,True,True
Wisconsin,1296,1269.1,,1623.2,989.0,1073.0,1189.9,,1321.3,1904.2,1237.0,1448.2,22.1,,376.2,-258.0,-174.0,-57.1,,74.3,657.2,-10.0,201.2,,False,False,False,False,,False,False,True,False
Wyoming,49,25.0,,65.7,21.5,26.0,50.9,,26.0,54.9,40.0,34.4,-24.0,,16.7,-27.5,-23.0,1.9,,-23.0,5.9,-9.0,-14.6,,True,False,True,True,,True,True,True,True
US,199605,197228.6,186049.0,201789.0,194279.5,185432.0,169782.4,225801.0,192589.7,223448.5,174893.0,196534.3,-1235.4,-12415.0,3325.0,-4184.5,-13032.0,-28681.6,27337.0,-5874.3,24984.5,-23571.0,-1929.7,False,False,False,False,False,False,False,False,False,False
